"county","year","totalpopulation"
"Archuleta","2020","7"
"Archuleta","2020","140"
"Archuleta","2020","103"
"Archuleta","2020","160"
"Archuleta","2020","161"
"Archuleta","2020","209"
"Archuleta","2020","119"
"Archuleta","2020","130"
"Archuleta","2020","235"
"Archuleta","2020","238"
"Archuleta","2020","120"
"Archuleta","2020","147"
"Archuleta","2020","136"
"Archuleta","2020","126"
"Archuleta","2020","124"
"Archuleta","2020","261"
"Archuleta","2020","135"
"Archuleta","2020","187"
"Archuleta","2020","118"
"Archuleta","2020","141"
"Archuleta","2020","107"
"Archuleta","2020","71"
"Archuleta","2020","257"
"Archuleta","2020","241"
"Archuleta","2020","132"
"Archuleta","2020","141"
"Archuleta","2020","215"
"Archuleta","2020","133"
"Archuleta","2020","227"
"Archuleta","2020","161"
"Archuleta","2020","155"
"Archuleta","2020","136"
"Archuleta","2020","33"
"Archuleta","2020","2"
"Archuleta","2020","20"
"Archuleta","2020","103"
"Archuleta","2020","135"
"Archuleta","2020","155"
"Archuleta","2020","115"
"Archuleta","2020","147"
"Archuleta","2020","236"
"Archuleta","2020","21"
"Archuleta","2020","139"
"Archuleta","2020","139"
"Archuleta","2020","148"
"Archuleta","2020","137"
"Archuleta","2020","104"
"Archuleta","2020","129"
"Archuleta","2020","48"
"Archuleta","2020","27"
"Archuleta","2020","115"
"Archuleta","2020","124"
"Archuleta","2020","155"
"Archuleta","2020","138"
"Archuleta","2020","245"
"Archuleta","2020","208"
"Archuleta","2020","122"
"Archuleta","2020","108"
"Archuleta","2020","124"
"Archuleta","2020","259"
"Archuleta","2020","90"
"Archuleta","2020","236"
"Archuleta","2020","152"
"Archuleta","2020","164"
"Archuleta","2020","68"
"Archuleta","2020","34"
"Archuleta","2020","49"
"Archuleta","2020","144"
"Archuleta","2020","223"
"Archuleta","2020","168"
"Baca","2020","35"
"Baca","2020","34"
"Baca","2020","49"
"Baca","2020","22"
"Baca","2020","27"
"Baca","2020","41"
"Baca","2020","43"
"Baca","2020","24"
"Baca","2020","22"
"Baca","2020","9"
"Baca","2020","6"
"Baca","2020","4"
"Baca","2020","3"
"Baca","2020","4"
"Baca","2020","47"
"Baca","2020","30"
"Baca","2020","44"
"Baca","2020","35"
"Baca","2020","33"
"Baca","2020","42"
"Baca","2020","46"
"Baca","2020","42"
"Baca","2020","51"
"Baca","2020","9"
"Baca","2020","21"
"Baca","2020","33"
"Baca","2020","43"
"Baca","2020","14"
"Baca","2020","31"
"Baca","2020","53"
"Baca","2020","38"
"Baca","2020","38"
"Baca","2020","20"
"Baca","2020","32"
"Baca","2020","41"
"Baca","2020","43"
"Baca","2020","32"
"Baca","2020","52"
"Baca","2020","37"
"Baca","2020","14"
"Baca","2020","43"
"Baca","2020","36"
"Baca","2020","26"
"Baca","2020","50"
"Baca","2020","41"
"Baca","2020","45"
"Baca","2020","39"
"Baca","2020","35"
"Baca","2020","50"
"Baca","2020","33"
"Baca","2020","22"
"Baca","2020","17"
"Baca","2020","14"
"Baca","2020","38"
"Baca","2020","32"
"Baca","2020","46"
"Baca","2020","30"
"Baca","2020","52"
"Baca","2020","48"
"Baca","2020","41"
"Baca","2020","54"
"Baca","2020","54"
"Baca","2020","51"
"Baca","2020","41"
"Baca","2020","30"
"Baca","2020","19"
"Baca","2020","39"
"Baca","2020","20"
"Baca","2020","29"
"Baca","2020","36"
"Baca","2020","35"
"Baca","2020","33"
"Baca","2020","8"
"Baca","2020","35"
"Baca","2020","33"
"Baca","2020","45"
"Baca","2020","40"
"Baca","2020","41"
"Baca","2020","32"
"Baca","2020","52"
"Baca","2020","34"
"Baca","2020","40"
"Baca","2020","50"
"Baca","2020","53"
"Baca","2020","37"
"Baca","2020","39"
"Baca","2020","35"
"Baca","2020","41"
"Baca","2020","35"
"Baca","2020","25"
"Baca","2020","46"
"Baca","2020","10"
"Baca","2020","52"
"Baca","2020","39"
"Baca","2020","12"
"Baca","2020","36"
"Baca","2020","43"
"Baca","2020","44"
"Baca","2020","22"
"Baca","2020","38"
"Baca","2020","36"
"Bent","2020","13"
"Bent","2020","104"
"Bent","2020","109"
"Bent","2020","20"
"Bent","2020","50"
"Bent","2020","3"
"Bent","2020","66"
"Bent","2020","58"
"Bent","2020","55"
"Bent","2020","79"
"Bent","2020","59"
"Bent","2020","9"
"Bent","2020","43"
"Bent","2020","67"
"Bent","2020","10"
"Bent","2020","62"
"Bent","2020","30"
"Bent","2020","54"
"Bent","2020","20"
"Bent","2020","51"
"Bent","2020","61"
"Bent","2020","59"
"Bent","2020","48"
"Bent","2020","41"
"Bent","2020","67"
"Bent","2020","39"
"Bent","2020","21"
"Bent","2020","55"
"Bent","2020","74"
"Bent","2020","36"
"Bent","2020","63"
"Bent","2020","101"
"Bent","2020","22"
"Bent","2020","21"
"Bent","2020","64"
"Bent","2020","68"
"Bent","2020","115"
"Bent","2020","44"
"Bent","2020","88"
"Bent","2020","42"
"Bent","2020","6"
"Bent","2020","79"
"Bent","2020","35"
"Bent","2020","76"
"Bent","2020","69"
"Bent","2020","56"
"Bent","2020","110"
"Bent","2020","20"
"Bent","2020","71"
"Bent","2020","56"
"Bent","2020","37"
"Bent","2020","92"
"Bent","2020","65"
"Bent","2020","72"
"Bent","2020","40"
"Bent","2020","56"
"Bent","2020","62"
"Bent","2020","61"
"Bent","2020","58"
"Bent","2020","55"
"Bent","2020","53"
"Bent","2020","51"
"Bent","2020","50"
"Bent","2020","92"
"Bent","2020","45"
"Bent","2020","2"
"Bent","2020","3"
"Bent","2020","67"
"Bent","2020","64"
"Bent","2020","44"
"Bent","2020","7"
"Bent","2020","102"
"Bent","2020","99"
"Bent","2020","108"
"Bent","2020","30"
"Bent","2020","22"
"Bent","2020","97"
"Bent","2020","53"
"Bent","2020","6"
