"geofips","msa_name","year","industry","thousands_dollars","blank_key"
"17820","Colorado Springs, CO","2001","Finance, insurance, real estate, rental, and leasing","4683746",
"17820","Colorado Springs, CO","2001","Finance and insurance","1312041",
"17820","Colorado Springs, CO","2001","Real estate and rental and leasing","3359582",
"17820","Colorado Springs, CO","2001","Professional and business services","2618096",
"17820","Colorado Springs, CO","2001","Professional, scientific, and technical services","1721945",
"17820","Colorado Springs, CO","2001","Management of companies and enterprises","169875",
"17820","Colorado Springs, CO","2001","Administrative and support and waste management and remediation services","748667",
"17820","Colorado Springs, CO","2001","Educational services, health care, and social assistance","1483855",
"17820","Colorado Springs, CO","2001","Educational services","221494",
"17820","Colorado Springs, CO","2001","Health care and social assistance","1261281",
"17820","Colorado Springs, CO","2001","Arts, entertainment, recreation, accommodation, and food services","1101566",
"17820","Colorado Springs, CO","2001","Arts, entertainment, and recreation","212306",
"17820","Colorado Springs, CO","2001","Accommodation and food services","888472",
"17820","Colorado Springs, CO","2001","Other services (except government and government enterprises)","780301",
"17820","Colorado Springs, CO","2001","Government and government enterprises","6694902",
"17820","Colorado Springs, CO","2001","Natural resources and mining",,"(D)"
"17820","Colorado Springs, CO","2001","Trade","2255603",
"17820","Colorado Springs, CO","2001","Transportation and utilities","498139",
"17820","Colorado Springs, CO","2001","Manufacturing and information",,"(D)"
"17820","Colorado Springs, CO","2001","Private goods-producing industries 2/","2719248",
"17820","Colorado Springs, CO","2001","Private services-providing industries 3/","15273561",
"19740","Denver-Aurora-Lakewood, CO","2001","All industry total","134531914",
"19740","Denver-Aurora-Lakewood, CO","2001","Private industries","118688814",
"19740","Denver-Aurora-Lakewood, CO","2001","Agriculture, forestry, fishing and hunting",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2001","Mining, quarrying, and oil and gas extraction","2048957",
"19740","Denver-Aurora-Lakewood, CO","2001","Utilities","805873",
"19740","Denver-Aurora-Lakewood, CO","2001","Construction","10311421",
"19740","Denver-Aurora-Lakewood, CO","2001","Manufacturing",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2001","Durable goods manufacturing",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2001","Nondurable goods manufacturing",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2001","Wholesale trade",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2001","Retail trade","7341969",
"19740","Denver-Aurora-Lakewood, CO","2001","Transportation and warehousing",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2001","Information",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2001","Finance, insurance, real estate, rental, and leasing","29728767",
"19740","Denver-Aurora-Lakewood, CO","2001","Finance and insurance","10327898",
"19740","Denver-Aurora-Lakewood, CO","2001","Real estate and rental and leasing","19333620",
"19740","Denver-Aurora-Lakewood, CO","2001","Professional and business services","18107751",
"19740","Denver-Aurora-Lakewood, CO","2001","Professional, scientific, and technical services",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2001","Management of companies and enterprises","2398129",
"19740","Denver-Aurora-Lakewood, CO","2001","Administrative and support and waste management and remediation services",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2001","Educational services, health care, and social assistance",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2001","Educational services",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2001","Health care and social assistance",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2001","Arts, entertainment, recreation, accommodation, and food services",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2001","Arts, entertainment, and recreation",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2001","Accommodation and food services",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2001","Other services (except government and government enterprises)","3883047",
"19740","Denver-Aurora-Lakewood, CO","2001","Government and government enterprises","15895327",
"19740","Denver-Aurora-Lakewood, CO","2001","Natural resources and mining",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2001","Trade",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2001","Transportation and utilities",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2001","Manufacturing and information",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2001","Private goods-producing industries 2/",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2001","Private services-providing industries 3/",,"(D)"
"22660","Fort Collins, CO","2001","All industry total","10452837",
"22660","Fort Collins, CO","2001","Private industries","8465499",
"22660","Fort Collins, CO","2001","Agriculture, forestry, fishing and hunting","4433",
"22660","Fort Collins, CO","2001","Mining, quarrying, and oil and gas extraction","62427",
"22660","Fort Collins, CO","2001","Utilities","122829",
"22660","Fort Collins, CO","2001","Construction","1151132",
"22660","Fort Collins, CO","2001","Manufacturing","934559",
"22660","Fort Collins, CO","2001","Durable goods manufacturing","650149",
"22660","Fort Collins, CO","2001","Nondurable goods manufacturing","314156",
"22660","Fort Collins, CO","2001","Wholesale trade","389487",
"22660","Fort Collins, CO","2001","Retail trade","821072",
"22660","Fort Collins, CO","2001","Transportation and warehousing","133845",
"22660","Fort Collins, CO","2001","Information","256923",
"22660","Fort Collins, CO","2001","Finance, insurance, real estate, rental, and leasing","2175233",
"22660","Fort Collins, CO","2001","Finance and insurance","367805",
"22660","Fort Collins, CO","2001","Real estate and rental and leasing","1797877",
"22660","Fort Collins, CO","2001","Professional and business services","1030580",
"22660","Fort Collins, CO","2001","Professional, scientific, and technical services","671694",
"22660","Fort Collins, CO","2001","Management of companies and enterprises","34504",
"22660","Fort Collins, CO","2001","Administrative and support and waste management and remediation services","320882",
"22660","Fort Collins, CO","2001","Educational services, health care, and social assistance","755799",
"22660","Fort Collins, CO","2001","Educational services","61359",
"22660","Fort Collins, CO","2001","Health care and social assistance","695686",
"22660","Fort Collins, CO","2001","Arts, entertainment, recreation, accommodation, and food services","471442",
"22660","Fort Collins, CO","2001","Arts, entertainment, and recreation","58691",
"22660","Fort Collins, CO","2001","Accommodation and food services","413291",
"22660","Fort Collins, CO","2001","Other services (except government and government enterprises)","303114",
"22660","Fort Collins, CO","2001","Government and government enterprises","2033793",
"22660","Fort Collins, CO","2001","Natural resources and mining","69029",
"22660","Fort Collins, CO","2001","Trade","1209721",
"22660","Fort Collins, CO","2001","Transportation and utilities","255189",
"22660","Fort Collins, CO","2001","Manufacturing and information","1182225",
"22660","Fort Collins, CO","2001","Private goods-producing industries 2/","2005558",
"22660","Fort Collins, CO","2001","Private services-providing industries 3/","6458269",
"24300","Grand Junction, CO","2001","All industry total","4383942",
"24300","Grand Junction, CO","2001","Private industries","3719529",
"24300","Grand Junction, CO","2001","Agriculture, forestry, fishing and hunting","10235",
"24300","Grand Junction, CO","2001","Mining, quarrying, and oil and gas extraction","60542",
"24300","Grand Junction, CO","2001","Utilities","43501",
"24300","Grand Junction, CO","2001","Construction","453818",
"24300","Grand Junction, CO","2001","Manufacturing","261155",
"24300","Grand Junction, CO","2001","Durable goods manufacturing","151817",
"24300","Grand Junction, CO","2001","Nondurable goods manufacturing","107504",
"24300","Grand Junction, CO","2001","Wholesale trade","167571",
"24300","Grand Junction, CO","2001","Retail trade","403034",
"24300","Grand Junction, CO","2001","Transportation and warehousing","151979",
"24300","Grand Junction, CO","2001","Information","83974",
"24300","Grand Junction, CO","2001","Finance, insurance, real estate, rental, and leasing","995189",
"24300","Grand Junction, CO","2001","Finance and insurance","205418",
"24300","Grand Junction, CO","2001","Real estate and rental and leasing","784661",
"24300","Grand Junction, CO","2001","Professional and business services","317081",
"24300","Grand Junction, CO","2001","Professional, scientific, and technical services","160689",
"24300","Grand Junction, CO","2001","Management of companies and enterprises","30089",
"24300","Grand Junction, CO","2001","Administrative and support and waste management and remediation services","126820",
"24300","Grand Junction, CO","2001","Educational services, health care, and social assistance","432813",
"24300","Grand Junction, CO","2001","Educational services","9676",
"24300","Grand Junction, CO","2001","Health care and social assistance","423032",
"24300","Grand Junction, CO","2001","Arts, entertainment, recreation, accommodation, and food services","171927",
"24300","Grand Junction, CO","2001","Arts, entertainment, and recreation","18282",
"24300","Grand Junction, CO","2001","Accommodation and food services","153852",
"24300","Grand Junction, CO","2001","Other services (except government and government enterprises)","158196",
"24300","Grand Junction, CO","2001","Government and government enterprises","671485",
"24300","Grand Junction, CO","2001","Natural resources and mining","73138",
"24300","Grand Junction, CO","2001","Trade","573936",
"24300","Grand Junction, CO","2001","Transportation and utilities","198484",
"24300","Grand Junction, CO","2001","Manufacturing and information","341083",
"24300","Grand Junction, CO","2001","Private goods-producing industries 2/","791339",
"24300","Grand Junction, CO","2001","Private services-providing industries 3/","2932067",
"24540","Greeley, CO","2001","All industry total","7583049",
"24540","Greeley, CO","2001","Private industries","6754186",
"24540","Greeley, CO","2001","Agriculture, forestry, fishing and hunting","765583",
"24540","Greeley, CO","2001","Mining, quarrying, and oil and gas extraction","508976",
"24540","Greeley, CO","2001","Utilities","197919",
"24540","Greeley, CO","2001","Construction","737090",
"24540","Greeley, CO","2001","Manufacturing","1109007",
"24540","Greeley, CO","2001","Durable goods manufacturing","294037",
"24540","Greeley, CO","2001","Nondurable goods manufacturing","883329",
"24540","Greeley, CO","2001","Wholesale trade","324014",
"24540","Greeley, CO","2001","Retail trade","456040",
"24540","Greeley, CO","2001","Transportation and warehousing","174789",
"24540","Greeley, CO","2001","Information","100836",
"24540","Greeley, CO","2001","Finance, insurance, real estate, rental, and leasing","1240386",
"24540","Greeley, CO","2001","Finance and insurance","290436",
"24540","Greeley, CO","2001","Real estate and rental and leasing","945553",
"24540","Greeley, CO","2001","Professional and business services","412074",
"24540","Greeley, CO","2001","Professional, scientific, and technical services","156149",
"24540","Greeley, CO","2001","Management of companies and enterprises","107275",
"24540","Greeley, CO","2001","Administrative and support and waste management and remediation services","149193",
"24540","Greeley, CO","2001","Educational services, health care, and social assistance","410382",
"24540","Greeley, CO","2001","Educational services","16096",
"24540","Greeley, CO","2001","Health care and social assistance","394323",
"24540","Greeley, CO","2001","Arts, entertainment, recreation, accommodation, and food services","164135",
"24540","Greeley, CO","2001","Arts, entertainment, and recreation","19841",
"24540","Greeley, CO","2001","Accommodation and food services","144444",
"24540","Greeley, CO","2001","Other services (except government and government enterprises)","230871",
"24540","Greeley, CO","2001","Government and government enterprises","840598",
"24540","Greeley, CO","2001","Natural resources and mining","1321174",
"24540","Greeley, CO","2001","Trade","787530",
"24540","Greeley, CO","2001","Transportation and utilities","372423",
"24540","Greeley, CO","2001","Manufacturing and information","1197939",
"24540","Greeley, CO","2001","Private goods-producing industries 2/","3145204",
"24540","Greeley, CO","2001","Private services-providing industries 3/","3696358",
"39380","Pueblo, CO","2001","All industry total","4529852",
"39380","Pueblo, CO","2001","Private industries","3647687",
"39380","Pueblo, CO","2001","Agriculture, forestry, fishing and hunting","4460",
"39380","Pueblo, CO","2001","Mining, quarrying, and oil and gas extraction","12495",
"39380","Pueblo, CO","2001","Utilities","225646",
"39380","Pueblo, CO","2001","Construction","324771",
"39380","Pueblo, CO","2001","Manufacturing","438938",
"39380","Pueblo, CO","2001","Durable goods manufacturing","351663",
"39380","Pueblo, CO","2001","Nondurable goods manufacturing","84611",
"39380","Pueblo, CO","2001","Wholesale trade","89954",
"39380","Pueblo, CO","2001","Retail trade","366317",
"39380","Pueblo, CO","2001","Transportation and warehousing","183517",
"39380","Pueblo, CO","2001","Information","81606",
"39380","Pueblo, CO","2001","Finance, insurance, real estate, rental, and leasing","871127",
"39380","Pueblo, CO","2001","Finance and insurance","181159",
"39380","Pueblo, CO","2001","Real estate and rental and leasing","683533",
"39380","Pueblo, CO","2001","Professional and business services","232738",
"39380","Pueblo, CO","2001","Professional, scientific, and technical services","83615",
"39380","Pueblo, CO","2001","Management of companies and enterprises","30188",
"39380","Pueblo, CO","2001","Administrative and support and waste management and remediation services","121342",
"39380","Pueblo, CO","2001","Educational services, health care, and social assistance","504645",
"39380","Pueblo, CO","2001","Educational services","9452",
"39380","Pueblo, CO","2001","Health care and social assistance","494629",
"39380","Pueblo, CO","2001","Arts, entertainment, recreation, accommodation, and food services","165203",
"39380","Pueblo, CO","2001","Arts, entertainment, and recreation","19455",
"39380","Pueblo, CO","2001","Accommodation and food services","146677",
"39380","Pueblo, CO","2001","Other services (except government and government enterprises)","149475",
"39380","Pueblo, CO","2001","Government and government enterprises","888094",
"39380","Pueblo, CO","2001","Natural resources and mining","17872",
"39380","Pueblo, CO","2001","Trade","458958",
"39380","Pueblo, CO","2001","Transportation and utilities","399976",
"39380","Pueblo, CO","2001","Manufacturing and information","526815",
"39380","Pueblo, CO","2001","Private goods-producing industries 2/","781345",
"39380","Pueblo, CO","2001","Private services-providing industries 3/","2858849",
"14500","Boulder, CO","2002","All industry total","16864232",
"14500","Boulder, CO","2002","Private industries","14508638",
"14500","Boulder, CO","2002","Agriculture, forestry, fishing and hunting","6635",
"14500","Boulder, CO","2002","Mining, quarrying, and oil and gas extraction","60521",
"14500","Boulder, CO","2002","Utilities","93941",
"14500","Boulder, CO","2002","Construction","890082",
"14500","Boulder, CO","2002","Manufacturing","1597463",
"14500","Boulder, CO","2002","Durable goods manufacturing","920938",
"14500","Boulder, CO","2002","Nondurable goods manufacturing","756378",
"14500","Boulder, CO","2002","Wholesale trade","705046",
"14500","Boulder, CO","2002","Retail trade","961687",
"14500","Boulder, CO","2002","Transportation and warehousing","146884",
"14500","Boulder, CO","2002","Information","1887814",
"14500","Boulder, CO","2002","Finance, insurance, real estate, rental, and leasing","3531111",
"14500","Boulder, CO","2002","Finance and insurance","637576",
"14500","Boulder, CO","2002","Real estate and rental and leasing","2883984",
"14500","Boulder, CO","2002","Professional and business services","2702646",
"14500","Boulder, CO","2002","Professional, scientific, and technical services","2226079",
"14500","Boulder, CO","2002","Management of companies and enterprises","103317",
"14500","Boulder, CO","2002","Administrative and support and waste management and remediation services","355129",
"14500","Boulder, CO","2002","Educational services, health care, and social assistance","1080439",
"14500","Boulder, CO","2002","Educational services","128101",
"14500","Boulder, CO","2002","Health care and social assistance","954072",
"14500","Boulder, CO","2002","Arts, entertainment, recreation, accommodation, and food services","635767",
"14500","Boulder, CO","2002","Arts, entertainment, and recreation","139658",
"14500","Boulder, CO","2002","Accommodation and food services","494797",
"14500","Boulder, CO","2002","Other services (except government and government enterprises)","448952",
"14500","Boulder, CO","2002","Government and government enterprises","2420270",
"14500","Boulder, CO","2002","Natural resources and mining","70664",
"14500","Boulder, CO","2002","Trade","1681629",
"14500","Boulder, CO","2002","Transportation and utilities","236404",
"14500","Boulder, CO","2002","Manufacturing and information","3444959",
"14500","Boulder, CO","2002","Private goods-producing industries 2/","2416809",
"14500","Boulder, CO","2002","Private services-providing industries 3/","12172435",
"17820","Colorado Springs, CO","2002","All industry total","24675477",
"17820","Colorado Springs, CO","2002","Private industries","17885704",
"17820","Colorado Springs, CO","2002","Agriculture, forestry, fishing and hunting",,"(D)"
"17820","Colorado Springs, CO","2002","Mining, quarrying, and oil and gas extraction","120253",
"17820","Colorado Springs, CO","2002","Utilities","244862",
"17820","Colorado Springs, CO","2002","Construction","1640814",
"17820","Colorado Springs, CO","2002","Manufacturing",,"(D)"
"17820","Colorado Springs, CO","2002","Durable goods manufacturing",,"(D)"
"17820","Colorado Springs, CO","2002","Nondurable goods manufacturing",,"(D)"
"17820","Colorado Springs, CO","2002","Wholesale trade","547450",
"17820","Colorado Springs, CO","2002","Retail trade","1737073",
"17820","Colorado Springs, CO","2002","Transportation and warehousing","246635",
"17820","Colorado Springs, CO","2002","Information","1482244",
"17820","Colorado Springs, CO","2002","Finance, insurance, real estate, rental, and leasing","4694588",
"17820","Colorado Springs, CO","2002","Finance and insurance","1232289",
"17820","Colorado Springs, CO","2002","Real estate and rental and leasing","3450775",
"17820","Colorado Springs, CO","2002","Professional and business services","2588035",
"17820","Colorado Springs, CO","2002","Professional, scientific, and technical services","1707637",
"17820","Colorado Springs, CO","2002","Management of companies and enterprises","151957",
"17820","Colorado Springs, CO","2002","Administrative and support and waste management and remediation services","745513",
"17820","Colorado Springs, CO","2002","Educational services, health care, and social assistance","1556001",
"17820","Colorado Springs, CO","2002","Educational services","223717",
"17820","Colorado Springs, CO","2002","Health care and social assistance","1329862",
"17820","Colorado Springs, CO","2002","Arts, entertainment, recreation, accommodation, and food services","1106619",
"17820","Colorado Springs, CO","2002","Arts, entertainment, and recreation","209747",
"17820","Colorado Springs, CO","2002","Accommodation and food services","896265",
"17820","Colorado Springs, CO","2002","Other services (except government and government enterprises)","810483",
"17820","Colorado Springs, CO","2002","Government and government enterprises","6833203",
"17820","Colorado Springs, CO","2002","Natural resources and mining",,"(D)"
"17820","Colorado Springs, CO","2002","Trade","2297768",
"17820","Colorado Springs, CO","2002","Transportation and utilities","487100",
"17820","Colorado Springs, CO","2002","Manufacturing and information",,"(D)"
"17820","Colorado Springs, CO","2002","Private goods-producing industries 2/","2871616",
"17820","Colorado Springs, CO","2002","Private services-providing industries 3/","15022449",
"19740","Denver-Aurora-Lakewood, CO","2002","All industry total","134766071",
"19740","Denver-Aurora-Lakewood, CO","2002","Private industries","118347838",
"19740","Denver-Aurora-Lakewood, CO","2002","Agriculture, forestry, fishing and hunting",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2002","Mining, quarrying, and oil and gas extraction","1727132",
"19740","Denver-Aurora-Lakewood, CO","2002","Utilities",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2002","Construction","9615214",
"19740","Denver-Aurora-Lakewood, CO","2002","Manufacturing",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2002","Durable goods manufacturing",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2002","Nondurable goods manufacturing",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2002","Wholesale trade","10760394",
"19740","Denver-Aurora-Lakewood, CO","2002","Retail trade","7725098",
"19740","Denver-Aurora-Lakewood, CO","2002","Transportation and warehousing",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2002","Information",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2002","Finance, insurance, real estate, rental, and leasing","29355964",
"19740","Denver-Aurora-Lakewood, CO","2002","Finance and insurance","9965507",
"19740","Denver-Aurora-Lakewood, CO","2002","Real estate and rental and leasing","19322599",
"19740","Denver-Aurora-Lakewood, CO","2002","Professional and business services",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2002","Professional, scientific, and technical services",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2002","Management of companies and enterprises",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2002","Administrative and support and waste management and remediation services",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2002","Educational services, health care, and social assistance","8185504",
"19740","Denver-Aurora-Lakewood, CO","2002","Educational services",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2002","Health care and social assistance",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2002","Arts, entertainment, recreation, accommodation, and food services",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2002","Arts, entertainment, and recreation",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2002","Accommodation and food services",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2002","Other services (except government and government enterprises)","3993115",
"19740","Denver-Aurora-Lakewood, CO","2002","Government and government enterprises","16553850",
"19740","Denver-Aurora-Lakewood, CO","2002","Natural resources and mining",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2002","Trade","18490972",
"19740","Denver-Aurora-Lakewood, CO","2002","Transportation and utilities",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2002","Manufacturing and information",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2002","Private goods-producing industries 2/",,"(D)"
"19740","Denver-Aurora-Lakewood, CO","2002","Private services-providing industries 3/",,"(D)"
"22660","Fort Collins, CO","2002","All industry total","11110993",
"22660","Fort Collins, CO","2002","Private industries","9035581",
"22660","Fort Collins, CO","2002","Agriculture, forestry, fishing and hunting","23961",
"22660","Fort Collins, CO","2002","Mining, quarrying, and oil and gas extraction","72529",
"22660","Fort Collins, CO","2002","Utilities","119130",
"22660","Fort Collins, CO","2002","Construction","1147490",
"22660","Fort Collins, CO","2002","Manufacturing","1139429",
"22660","Fort Collins, CO","2002","Durable goods manufacturing","832242",
"22660","Fort Collins, CO","2002","Nondurable goods manufacturing","291482",
"22660","Fort Collins, CO","2002","Wholesale trade","402427",
"22660","Fort Collins, CO","2002","Retail trade","850750",
"22660","Fort Collins, CO","2002","Transportation and warehousing","138785",
"22660","Fort Collins, CO","2002","Information","250387",
"22660","Fort Collins, CO","2002","Finance, insurance, real estate, rental, and leasing","2279220",
"22660","Fort Collins, CO","2002","Finance and insurance","405824",
"22660","Fort Collins, CO","2002","Real estate and rental and leasing","1862649",
"22660","Fort Collins, CO","2002","Professional and business services","1040134",
"22660","Fort Collins, CO","2002","Professional, scientific, and technical services","695533",
"22660","Fort Collins, CO","2002","Management of companies and enterprises","32732",
"22660","Fort Collins, CO","2002","Administrative and support and waste management and remediation services","308882",
"22660","Fort Collins, CO","2002","Educational services, health care, and social assistance","820891",
"22660","Fort Collins, CO","2002","Educational services","65133",
"22660","Fort Collins, CO","2002","Health care and social assistance","756895",
"22660","Fort Collins, CO","2002","Arts, entertainment, recreation, accommodation, and food services","484257",
"22660","Fort Collins, CO","2002","Arts, entertainment, and recreation","63220",
"22660","Fort Collins, CO","2002","Accommodation and food services","421395",
"22660","Fort Collins, CO","2002","Other services (except government and government enterprises)","303924",
"22660","Fort Collins, CO","2002","Government and government enterprises","2116205",
"22660","Fort Collins, CO","2002","Natural resources and mining","110691",
"22660","Fort Collins, CO","2002","Trade","1252397",
"22660","Fort Collins, CO","2002","Transportation and utilities","256329",
"22660","Fort Collins, CO","2002","Manufacturing and information","1395086",
"22660","Fort Collins, CO","2002","Private goods-producing industries 2/","2299062",
"22660","Fort Collins, CO","2002","Private services-providing industries 3/","6684063",
"24300","Grand Junction, CO","2002","All industry total","4505331",
"24300","Grand Junction, CO","2002","Private industries","3817238",
"24300","Grand Junction, CO","2002","Agriculture, forestry, fishing and hunting","10370",
"24300","Grand Junction, CO","2002","Mining, quarrying, and oil and gas extraction","57530",
"24300","Grand Junction, CO","2002","Utilities","41775",
"24300","Grand Junction, CO","2002","Construction","459650",
"24300","Grand Junction, CO","2002","Manufacturing","253943",
"24300","Grand Junction, CO","2002","Durable goods manufacturing","153131",
"24300","Grand Junction, CO","2002","Nondurable goods manufacturing","97040",
"24300","Grand Junction, CO","2002","Wholesale trade","173001",
"24300","Grand Junction, CO","2002","Retail trade","427097",
"24300","Grand Junction, CO","2002","Transportation and warehousing","149614",
"24300","Grand Junction, CO","2002","Information","78176",
"24300","Grand Junction, CO","2002","Finance, insurance, real estate, rental, and leasing","1015972",
"24300","Grand Junction, CO","2002","Finance and insurance","212437",
"24300","Grand Junction, CO","2002","Real estate and rental and leasing","798177",
"24300","Grand Junction, CO","2002","Professional and business services","331862",
"24300","Grand Junction, CO","2002","Professional, scientific, and technical services","176048",
"24300","Grand Junction, CO","2002","Management of companies and enterprises","28189",
"24300","Grand Junction, CO","2002","Administrative and support and waste management and remediation services","128062",
"24300","Grand Junction, CO","2002","Educational services, health care, and social assistance","460420",
"24300","Grand Junction, CO","2002","Educational services","10137",
"24300","Grand Junction, CO","2002","Health care and social assistance","450149",
"24300","Grand Junction, CO","2002","Arts, entertainment, recreation, accommodation, and food services","186557",
"24300","Grand Junction, CO","2002","Arts, entertainment, and recreation","20888",
"24300","Grand Junction, CO","2002","Accommodation and food services","165817",
"24300","Grand Junction, CO","2002","Other services (except government and government enterprises)","165740",
"24300","Grand Junction, CO","2002","Government and government enterprises","695892",
"24300","Grand Junction, CO","2002","Natural resources and mining","70436",
"24300","Grand Junction, CO","2002","Trade","603940",
"24300","Grand Junction, CO","2002","Transportation and utilities","194227",
"24300","Grand Junction, CO","2002","Manufacturing and information","327491",
"24300","Grand Junction, CO","2002","Private goods-producing industries 2/","785676",
"24300","Grand Junction, CO","2002","Private services-providing industries 3/","3032588",
"24540","Greeley, CO","2002","All industry total","7507540",
"24540","Greeley, CO","2002","Private industries","6638645",
"24540","Greeley, CO","2002","Agriculture, forestry, fishing and hunting","316486",
"24540","Greeley, CO","2002","Mining, quarrying, and oil and gas extraction","641804",
"24540","Greeley, CO","2002","Utilities","242860",
"24540","Greeley, CO","2002","Construction","752336",
"24540","Greeley, CO","2002","Manufacturing","989693",
"24540","Greeley, CO","2002","Durable goods manufacturing","330140",
"24540","Greeley, CO","2002","Nondurable goods manufacturing","690019",
"24540","Greeley, CO","2002","Wholesale trade","328698",
"24540","Greeley, CO","2002","Retail trade","465426",
"24540","Greeley, CO","2002","Transportation and warehousing","178067",
"24540","Greeley, CO","2002","Information","101793",
"24540","Greeley, CO","2002","Finance, insurance, real estate, rental, and leasing","1356532",
"24540","Greeley, CO","2002","Finance and insurance","353643",
"24540","Greeley, CO","2002","Real estate and rental and leasing","996101",
