"businessname","dbas","city","statecode","zipcode","countyname","originaleffectivedate","expiredate","operationtypes"
"City Of Yuma Animal Shelter",",Lynch, Jon","Yuma","CO","80759","Yuma","2012-03-14T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"Jayne's Grooming LLC",",Mabus, Jayne","Salida","CO","81201","Chaffee","2015-10-21T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Pet Handler"
"Wanabe Ranch",",Grothe, Shirley","Cedaredge","CO","81413","Delta","2017-07-20T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"Wal-Mart Stores, Inc.","Walmart - 3382","Pueblo West","CO","81007","Pueblo","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Retail Aquarium Only"
"ASTRID GIFFORD ENTERPRISES, INC.","The Pampered Pooch Grooming","Boulder","CO","80304","Boulder","2012-02-28T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Kristine H. Rosen",",Rosen, Kristine H","Centennial","CO","80122","Arapahoe","2018-04-09T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"BROADWAY ENTERPRISES, LLC","CANYON VIEW CAR WASH","Grand Junction","CO","81507","Mesa","2016-04-07T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Self Wash Only"
"ON THE SPOT MOBILE GROOMING",,"Colorado Springs","CO","80909","El Paso","2015-06-08T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"Platte Valley Veterinary,LLC",",Julie Kidd","Severance","CO","80550","Weld","2015-09-04T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"Mountain Ridge Veterinary, LLC","Burge, Peter,Mountain Ridge Animal Hospital","Lafayette","CO","80026","Boulder","2017-08-08T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Roachan's, Inc.","Countryside Kennels,Roache, Elizabeth","Colorado Springs","CO","80908","El Paso","2012-03-01T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"Rocky Mountain Lab Rescue, Inc",,"Lakewood","CO","80235","Jefferson","2012-03-13T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"Circle 2 Ranch - An Animal Sanctuary","Circle 2 Rescue,Wanda Lilly","Evergreen","CO","80439","Jefferson","2016-10-13T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"Plant & Polyp Aquariums, LLC",",Buck, Rachel","Colorado Springs","CO","80909","El Paso","2018-06-06T00:00:00.000","2019-03-01T00:00:00.000","Retail Aquarium Only"
"PET DESIGNS INC.",,"Broomfield","CO","80021","Jefferson","2012-04-20T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Dog Spa",",LASATER, STACEY","Arvada","CO","80005","Jefferson","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"4 PAWS 4 LIFE RESCUE","STAR BOARDING KENNEL, INC,Toni Barge","Sedalia","CO","80135","Douglas","2016-08-24T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter > 3000 transfers,Boarding/Training"
"ASPEN LEAF AVIARIES, INC.","Smit-Ankerich, Cynthia,WORLD OF BIRDS","Lakewood","CO","80214","Jefferson","2016-04-19T00:00:00.000","2019-03-01T00:00:00.000","Bird Breeder,Boarding/Training,Retail/Wholesale"
"Luckydog Pet Grooming",",Harris, Christina L","Loveland","CO","80537","Larimer","2018-03-19T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"Joseph J. Yoder",",Yoder, Joseph J","Monte Vista","CO","81144","Rio Grande","2018-03-12T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale,Retail/Wholesale"
"DESTINY'S KENNEL LLLP",,"BERTHOUD","CO","80513","Larimer","2012-03-09T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"SNOOTY'S PET SALON",",Horton, Jane","Cortez","CO","81321","Montezuma","2012-03-23T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Hoof and Paw",",Stephens, Tonya M","Nucla","CO","81424","Montrose","2018-02-28T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"PJ PRACTICES","CAREFREE CATS,Cook, Starlene","Colorado Springs","CO","80917","El Paso","2017-03-22T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"The Animal Interest League and Sanctuary","TAILS","Delta","CO","81416","Delta","2017-10-19T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"Tracy A. Arkowski",",Arkowski, Tracy A","Colorado Springs","CO","80918","El Paso","2018-03-01T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"Jazzy Design & Pet Grooming LLC",",Deal, Sheree","Elizabeth","CO","80107","Elbert","2012-06-06T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"J BAR J RANCH",,"DURANGO","CO","81301","La Plata","2012-03-14T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Fernandez, Elisabeth A",,"Grand Junction","CO","81503","Mesa","2015-07-17T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"VALLEY PET MOTEL, LLC",,"COLORADO CITY","CO","81019","Pueblo","2012-03-26T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Rescued Pets Movement, Inc.","Perini, Cindy,RPM","Houston","TX","77018","Harris","2015-08-10T00:00:00.000","2019-03-01T00:00:00.000","Pet Transporter"
"Asgard-Blue JLC, LLC",",Bellah, Victoria","Kersey","CO","80644","Weld","2017-11-01T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Large Scale"
"Bark's Play and Stay, L.L.C.",",Dyer, Danielle E.","Grand Junction","CO","81505","Mesa","2017-10-26T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"PHATCATS, INC.","THE CAT HOUSE","Loveland","CO","80537","Larimer","2007-02-14T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"PETVET CARE CENTERS (COLORADO), LLC","PETS ON BROADWAY,Sheryl Scolnick","Denver","CO","80210","Denver","2016-06-24T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"KLB BOARDING KENNEL",,"Penrose","CO","81240","Fremont","2012-03-06T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Redog Kennels",",HAYES, REBECCA","Boulder","CO","80303","Boulder","2012-03-19T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"PAW PARLOR",",Amy Proctor","Rocky Ford","CO","81067","Otero","2012-03-06T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Primarily Pet Designs LLC",,"Howard","CO","81233","Fremont","2015-05-08T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"PETSMART, INC.","PetSmart - 1199","Denver","CO","80238","Denver","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Retail/Wholesale"
"KENDRA'S CRITTER CARE, LLC",,"LONGMONT","CO","80504","Weld","2012-03-20T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Cronkhite Investments, LLC","Patrick Cronkhite,The Pooch Mobile","Parker","CO","80134","Douglas","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"BAILY II, LLC","CAMP BOW WOW","Centennial","CO","80112","Arapahoe","2016-08-29T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"TAIL BLAZERS",,"Steamboat Springs","CO","80487","Routt","2013-05-06T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"BVH, LLC/Broomfield Vet","Broomfield Veterinary Hospital,Guerrera, William","Broomfield","CO","80020","Broomfield","2017-06-29T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Furry Friends Incorporated",",Debbie Brookham","Colorado Springs","CO","80920","El Paso","2016-05-12T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"BIG DOGS LLC","BIG DOGS GROOMING","CANON CITY","CO","81212","Fremont","2012-03-26T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"SUDS E DOGS",,"Silt","CO","81652","Garfield","2013-10-21T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Wal-Mart Stores, Inc.","Walmart - 3018","Colorado Springs","CO","80906","El Paso","2015-06-30T00:00:00.000","2019-03-01T00:00:00.000","Retail Aquarium Only"
"Pet Palace Inc.",",Tausha Wells","Aurora","CO","80014","Arapahoe","2012-04-05T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Self Wash Only,Retail/Wholesale"
"BRM CO MGMT, LLC","BLUE SKY ANIMAL CLINIC,Temple, Karmen","Loveland","CO","80538","Larimer","2016-02-22T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"ESTHER SOWARDS",,"MANASSA","CO","81141","Conejos","2012-03-20T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"HIGH COUNTRY BASSET RESCUE",,"Aurora","CO","80013","Arapahoe","2016-10-20T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"Rocky Hill Ranch Ltd.",",HILL, TANNER","Erie","CO","80516","Weld","2012-02-06T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"PETCO ANIMAL SUPPLIES STORES, INC","PETCO #2449","Castle Rock","CO","80108","Douglas","2016-09-22T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Retail/Wholesale"
"K-9 Kare, LLC","City Bark,Hradecky, Alfred","Denver","CO","80204","Denver","2018-02-06T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Self Wash Only"
"Kimberley Gross",",Kimberley Gross","Colorado Springs","CO","80921","El Paso","2018-02-12T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"DME ENTERPRISE, LLC","Dog Baths and Beyond","Loveland","CO","80537","Larimer","2012-03-22T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Persinger, Felicity M",,"Colorado Springs","CO","80915","El Paso","2015-08-24T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"COATS & TAILS GROOMING",",Peterson, Keri","Cortez","CO","81321","Montezuma","2012-03-28T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Doggy Style Mobile Pet Grooming, LLC",",Colton, Jennifer","Steamboat Springs","CO","80487","Routt","2018-02-07T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"A Best Friend, LLC","Mosshart, Rebecca,Pet City","Fort Collins","CO","80525","Larimer","2012-05-29T00:00:00.000","2019-03-01T00:00:00.000","Retail/Wholesale"
"Riverside Labradors LLC",",Core, Brooke","Sanford","CO","81151","Conejos","2017-01-26T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"ANNE'S GROOMING",,"Westcliffe","CO","81252","Custer","2015-08-14T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"PET PROJECT",,"PUEBLO WEST","CO","81007","Pueblo","2012-05-23T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"The Puppy Paw Firm LLC",",Mohney, Michael,Morales, Myranda","Mancos","CO","81328","Montezuma","2017-08-23T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"TTGL, INC.","DOUBLE T KENNEL","OAK CREEK","CO","80467","Routt","2012-03-07T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"Stotler, Patricia L",,"Peyton","CO","80831","El Paso","2016-08-26T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"Johnson, Haley K",",Johnson, Haley K","Clifton","CO","81520","Mesa","2018-03-14T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"DOGGIE STYLZE LLC","ALL FOUR PAWS DOG GROOMING,Hartkopf, Heidi","Thornton","CO","80229","Adams","2016-09-16T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"CHOW DOWN INC.","CHOW DOWN PET SUPPLIES","Montrose","CO","81401","Montrose","2013-05-02T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"IRON WILL DOG LODGE",",Kramer, Amanda","Montrose","CO","81403","Montrose","2015-01-20T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Handler"
"JOANN'S RUFF CUTS",,"Colorado Springs","CO","80907","El Paso","2012-04-02T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"BLACKPAW CORPORATION",,"Lafayette","CO","80026-9632","Boulder","2012-03-06T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Modrn Pup LLC","Modern Pup,Orjias, Briana","Delta","CO","81416","Delta","2017-10-27T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"CAMP BOW WOW FRANCHISING, INC.","CAMP BOW WOW - NORTHGLENN,Laura R Windler","Northglenn","CO","80234","Adams","2015-02-10T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"HIGHLANDS AUSTRALIAN LABRADOODLES INC",",La Barrie, Samantha","Elizabeth","CO","80107","Elbert","2017-02-02T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"CLAWS RESCUE AND ADOPTION CENTER","Cats League & Assistance of the Western Slope,CLAWS,Mazrin, Valerie","Grand Junction","CO","81505","Mesa","2012-03-22T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"Jon Langdon Inc","Jonathan Langdon,Sit Means Sit Dog Training","Lakewood","CO","80227","Jefferson","2018-03-08T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Handler"
"FT Pets, LLC","Fresh Tracks Pet Shoppe,Michonski, Stephen F","Avon","CO","81620","Eagle","2018-03-23T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Self Wash Only"
"MOUNTAIN PALS PET SITTING LLC",,"Alma","CO","80420","Park","2015-03-06T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Handler"
"Lucky Jack Dog Training Inc.",",Morais, Thomas","Longmont","CO","80504","Boulder","2017-05-16T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Pet Palace DIA",",Yiannos, Hannah","Aurora","CO","80018","Arapahoe","2017-09-25T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Milano 2008 LLC","Camp Bow Wow - Boulder,Susan Ryan","Boulder","CO","80301","Boulder","2012-02-27T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"WILD-N-CRAZY CRITTERS, LLC",",Gregory, Trevor","Pagosa Springs","CO","81147","Archuleta","2017-08-18T00:00:00.000","2019-03-01T00:00:00.000","Breeder Small Animal,Retail/Wholesale"
"Destination Pet, Inc.","BARK!,Michael Williams","Denver","CO","80203","Denver","2017-10-30T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"HIGH MESA DOODLES",",Heller, Carol","Montrose","CO","81403","Montrose","2015-04-13T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"HAPPY PUPS GROOMING",",Allman, Ralfph","Conifer","CO","80433","Jefferson","2017-03-20T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Keli's Pet Grooming LLC",",Grazier, Keli D","Denver","CO","80215","Jefferson","2018-03-02T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Dog Is My CoPilot",",Rork, Peter","Jackson","WY","83001","Teton","2016-12-06T00:00:00.000","2019-03-01T00:00:00.000","Pet Transporter"
"BOW-WOW-MEOWS FAIRY ""TAIL"" VILLA",,"BERTHOUD","CO","80513","Larimer","2012-04-05T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"GREEN DOG WASH, LLC",,"Boulder","CO","80302","Boulder","2015-01-21T00:00:00.000","2019-03-01T00:00:00.000",
"BEAR CREEK PET RESORT LLC",",Gunstanson, Joe ""Michael""","Lakewood","CO","80227","Jefferson","2015-09-28T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"MOUNTAIN SHADOWS PET HOSPITAL",,"Colorado Springs","CO","80919","El Paso","2012-03-22T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"Colorado's Finest Kennels and Ranch, LLC",",Colorados Finest Sporting Dogs,Deborah Willard,Willys Mountain View Kennels","Elizabeth","CO","80107","Elbert","2012-02-08T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Large Scale"
"Wal-Mart Stores, Inc.","Walmart - 5123","Colorado Springs","CO","80920","El Paso","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Retail Aquarium Only"
"PRISON TRAINED K-9 COMPANION PROGRAM - DENVER",,"DENVER","CO","80239","Denver","2012-04-09T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Fitzpatrick, Virginia I",,"Calhan","CO","80808","El Paso","2016-02-10T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"Jenny Yost",",Jenny M Yost","Englewood","CO","80110","Arapahoe","2017-09-26T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"PETSMART, INC.","PetSmart - 1855","Brighton","CO","80601","Adams","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Retail/Wholesale"
"Herpetorama, Inc.","HEALY, WILLIAM,Repticon","Aurora","CO","80016","Arapahoe","2012-07-02T00:00:00.000","2019-03-01T00:00:00.000","Retail/Wholesale"
"GOOD SAMARITAN PET ADOPTION CENTER, INC.",",Tapleshay, Mackai","Denver","CO","80211","Denver","2016-06-07T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"PAMPERED PETS PARLOR",",Allen, Michelle,PAMPERED PETS PARLOR","Loveland","CO","80537","Larimer","2016-06-28T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"CANINE DESIGN SALON AND DAY CARE, LLC",,"Colorado Springs","CO","80905","El Paso","2012-03-14T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"TLC KENNEL LLC",",CLOUD, TERESA","Kit Carson","CO","80825","Cheyenne","2012-03-02T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Large Scale"
"Wal-Mart Stores Inc","Walmart - 1280","Grand Junction","CO","81501","Mesa","2007-02-12T00:00:00.000","2019-03-01T00:00:00.000","Retail Aquarium Only"
"Wal-Mart Stores, Inc.","Walmart Supercenter - 921","Salida","CO","81201","Chaffee","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Retail Aquarium Only"
"DOGS (Dog Owners General Store) llc","DOGS,Lauzun, Cionne","Loveland","CO","80538","Larimer","2018-05-24T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Wal-Mart Stores, Inc.","Walmart - 984","Castle Rock","CO","80104","Douglas","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Retail Aquarium Only"
"MAXFUND, INC.","MAXFUND ANIMAL ADOPTION CENTER - Dog Shelter","Denver","CO","80204","Denver","2012-03-14T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"HARRIS FAMILY VENTURES, INC","ELIZABETH COUNTRY KENNELS RESORT & SPA","ELIZABETH","CO","80107","Elbert","2012-03-22T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"LA Styles Dog Grooming",,"Las Animas","CO","81054","Bent","2012-07-13T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"ROVER'S RANCH KENNEL",",Serene Flesch","Fort Collins","CO","80524","Larimer","2007-05-01T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"COLORADO DOG",,"PARKER","CO","80134","Douglas","2012-03-09T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Wal-Mart Stores, Inc.","Gutierrez, Nathalie,Walmart - 5370","Longmont","CO","80504","Boulder","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Retail Aquarium Only"
"CORTEZ ADOBE ANIMAL HOSPITAL, LLC",,"Cortez","CO","81321","Montezuma","2012-03-09T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"FRIENDS OF RETIRED GREYHOUNDS",",Murphy, Diana","Denver","CO","80219","Denver","2016-05-19T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"WOOFS 'N HOOFS",,"Littleton","CO","80127","Jefferson","2016-02-22T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Self Wash Only,Retail/Wholesale"
"HAPPY HOUNDS PET GROOMING",",BERNTSEN, BARBARA","Colorado Springs","CO","80918","El Paso","2012-03-07T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"K9 Cuts LLC",,"Arvada","CO","80002","Jefferson","2015-03-12T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"CARSON FAMILY ENTERPRISES, INC.","EXOTIC BIRDS OF DENVER","ENGLEWOOD","CO","80113","Arapahoe","2012-03-07T00:00:00.000","2019-03-01T00:00:00.000","Bird Breeder,Boarding/Training,Retail/Wholesale"
"Happy Dog Salon",",Schierenberg, Fawn R","Wiggins","CO","80654","Morgan","2018-02-28T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"Dog Sitting in My Home","Jutta Webb,Pampered Pets","Colorado Springs","CO","80918","El Paso","2012-03-28T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
