"start_date","end_date","filename","url","downloads"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","779_Henry WiseWood_Riverbend_Ogden.pdf","http://calgarytransit.com/content/dam/transit/files/route/779_Henry%20WiseWood_Riverbend_Ogden.pdf","363"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","shouldice-athletic-park-map.pdf","http://calgary.ca/content/dam/www/csps/recreation/documents/athletic-parks/shouldice-athletic-park-map.pdf","361"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","2021_PR_LocationsList_MediaRelease_20211105.pdf","http://calgary.ca/content/dam/www/cps/documents/traffic/2021_PR_LocationsList_MediaRelease_20211105.pdf","357"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","online_permits_user_manual.pdf","http://calgary.ca/PDA/pd/Documents/building/online_permits_user_manual.pdf","354"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","754_Joane Cardinal-Schubert_Copperfield.pdf","http://calgarytransit.com/content/dam/transit/files/route/754_Joane%20Cardinal-Schubert_Copperfield.pdf","349"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","city-of-calgary-organizational-chart.pdf","http://calgary.ca/content/dam/www/ca/city-manager/documents/city-of-calgary-organizational-chart.pdf","342"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","738_diefenbaker_panorama_0.pdf","http://calgarytransit.com/content/dam/transit/files/route/738_diefenbaker_panorama_0.pdf","334"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","online_permits_faq.pdf","http://calgary.ca/PDA/pd/Documents/building/online_permits_faq.pdf","332"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","yard-perimeter-maintenance.pdf","http://calgary.ca/content/dam/www/csps/abs/documents/bylaws-by-topic/yard-perimeter-maintenance.pdf","326"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","homeowner-electrical-wiring-guide.pdf","http://calgary.ca/content/dam/www/pda/pd/documents/brochures/homeowner-electrical-wiring-guide.pdf","324"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","766_ep_scarlett_evergreen.pdf","http://calgarytransit.com/content/dam/transit/files/route/766_ep_scarlett_evergreen.pdf","320"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","green-cart-yes-no.pdf","http://calgary.ca/content/dam/www/uep/wrs/documents/wrs-documents/cart-guides/green-cart-yes-no.pdf","318"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","776_henry_wisewood_oakridge_palliser_effnov9.pdf","http://calgarytransit.com/content/dam/transit/files/route/776_henry_wisewood_oakridge_palliser_effnov9.pdf","316"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","724_Bowness_Tuscany.pdf","http://calgarytransit.com/content/dam/transit/files/route/724_Bowness_Tuscany.pdf","314"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","2018-2021-signed-cpa-collective-agreement.pdf","http://calgary.ca/content/dam/www/cfod/hr/documents/union/2018-2021-signed-cpa-collective-agreement.pdf","311"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","739_0.pdf","http://calgarytransit.com/content/dam/transit/files/pocketschedule/739_0.pdf","307"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","756_Joane Cardinal-Schubert_NewBrighton.pdf","http://calgarytransit.com/content/dam/transit/files/route/756_Joane%20Cardinal-Schubert_NewBrighton.pdf","293"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","778_0.pdf","http://calgarytransit.com/content/dam/transit/files/pocketschedule/778_0.pdf","286"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","778_Henry WiseWood_Woodlands EffNov9.pdf","http://calgarytransit.com/content/dam/transit/files/route/778_Henry%20WiseWood_Woodlands%20EffNov9.pdf","282"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","new_transit_users_rider_guide.pdf","http://calgarytransit.com/content/dam/transit/rider-information/new_transit_users_rider_guide.pdf","280"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","779.pdf","http://calgarytransit.com/content/dam/transit/files/pocketschedule/779.pdf","278"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","Online-Identification.pdf","http://calgary.ca/PDA/pd/Documents/myBusiness/application-forms/Online-Identification.pdf","278"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","736_diefenbaker_panatella.pdf","http://calgarytransit.com/content/dam/transit/files/route/736_diefenbaker_panatella.pdf","269"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","719_01.pdf","http://calgarytransit.com/content/dam/transit/files/pocketschedule/719_01.pdf","267"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","862_allsaints_cranstonnorth.pdf","http://calgarytransit.com/content/dam/transit/files/route/862_allsaints_cranstonnorth.pdf","267"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","2022 Community Crime and Disorder Statistics.xls","http://calgary.ca/content/dam/www/cps/documents/statistical-reports/community-crime-stats/2022%20Community%20Crime%20and%20Disorder%20Statistics.xls","266"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","714_0.pdf","http://calgarytransit.com/content/dam/transit/files/pocketschedule/714_0.pdf","264"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","751_Fowler_CoralSprings.pdf","http://calgarytransit.com/content/dam/transit/files/route/751_Fowler_CoralSprings.pdf","263"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","fair-entry-senior-services-guide.pdf","http://calgary.ca/content/dam/www/csps/cns/documents/neighbourhood-services/fair-entry-senior-services-guide.pdf","261"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","dalhousie_rp.pdf","http://calgarytransit.com/content/dam/transit/parkride/reserved-parking-maps/dalhousie_rp.pdf","259"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","queens-park-cemetery-map.pdf","http://calgary.ca/content/dam/www/csps/parks/documents/cemeteries/queens-park-cemetery-map.pdf","257"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","NOA_Example 3_Redacted.pdf","http://fairentry.calgary.ca/examples/redacted/NOA_Example%203_Redacted.pdf","255"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","calgary-city-councillors-and-ward-map.pdf","http://calgary.ca/content/dam/www/citycouncil/documents/calgary-city-councillors-and-ward-map.pdf","255"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","723_bowness_tuscanyhills.pdf","http://calgarytransit.com/content/dam/transit/files/route/723_bowness_tuscanyhills.pdf","250"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","201_Jun_2020.pdf","http://calgarytransit.com/content/dam/transit/files/route/201_Jun_2020.pdf","244"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","102_proposed.pdf","http://calgarytransit.com/content/dam/transit/news/sundance-review-2022/102_proposed.pdf","238"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","739_diefenbaker_panorama.pdf","http://calgarytransit.com/content/dam/transit/files/route/739_diefenbaker_panorama.pdf","238"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","768_EP Scarlett_Walden.pdf","http://calgarytransit.com/content/dam/transit/files/route/768_EP%20Scarlett_Walden.pdf","237"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","704_0.pdf","http://calgarytransit.com/content/dam/transit/files/pocketschedule/704_0.pdf","234"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","redline_nw_station_crowfoot_mar_2018.pdf","http://calgarytransit.com/content/dam/transit/rider-information/lrt_maps/redline_nw/redline_nw_station_crowfoot_mar_2018.pdf","233"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","756_0.pdf","http://calgarytransit.com/content/dam/transit/files/pocketschedule/756_0.pdf","232"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","bpm-city.pdf","http://calgary.ca/content/dam/www/csps/parks/documents/pathways/bpm-city.pdf","230"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","754_0.pdf","http://calgarytransit.com/content/dam/transit/files/pocketschedule/754_0.pdf","230"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","706_0.pdf","http://calgarytransit.com/content/dam/transit/files/pocketschedule/706_0.pdf","229"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","746_crescent_coventry.pdf","http://calgarytransit.com/content/dam/transit/files/route/746_crescent_coventry.pdf","226"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","Agency Instructional Manual.pdf","http://calgary.ca/content/dam/www/cps/documents/police-information-checks/Agency%20Instructional%20Manual.pdf","225"
"2022-08-13T00:00:00.000","2022-09-12T00:00:00.000","vs-information-sheet-and-faq.pdf","http://calgary.ca/content/dam/www/cps/documents/vs-information-sheet-and-faq.pdf","225"
