"row_id","timestamp","vendor","battery_pct","instance_id","is_reserved_flag","is_disabled_flag","latitude","longitude","point"
"Neuron-9f20494b-2f84-41bb-b58a-7a31eae7ed14","2022-09-13T12:32:02.000","Neuron",,"9f20494b-2f84-41bb-b58a-7a31eae7ed14","1","1","51.043008","-114.054445","POINT (-114.054445 51.043008)"
"Neuron-5a9ec39a-c069-480f-b121-681cedc7e339","2022-09-13T12:32:02.000","Neuron",,"5a9ec39a-c069-480f-b121-681cedc7e339","1","1","51.04776001666667","-114.06817626666667","POINT (-114.068176266667 51.047760016667)"
"Neuron-7dc6b396-3914-44b8-97a0-a1cdc1996bd9","2022-09-13T12:32:02.000","Neuron",,"7dc6b396-3914-44b8-97a0-a1cdc1996bd9","1","1","51.05244065","-114.09454345","POINT (-114.09454345 51.05244065)"
"Neuron-9f18aaaf-885c-4877-8422-010cb1b499dc","2022-09-13T12:32:02.000","Neuron",,"9f18aaaf-885c-4877-8422-010cb1b499dc","1","1","51.07644816666666","-114.08488583333335","POINT (-114.084885833333 51.076448166667)"
"Bird-5a9ec39a-c069-480f-b121-681cedc7e339","2022-09-13T12:32:02.000","Bird",,"5a9ec39a-c069-480f-b121-681cedc7e339","0","0","51.04776001666667","-114.06817626666667","POINT (-114.068176266667 51.047760016667)"
"Bird-0e7bc89d-44d8-4e6b-aa68-663c0c60ac58","2022-09-13T12:32:02.000","Bird",,"0e7bc89d-44d8-4e6b-aa68-663c0c60ac58","0","0","51.04559708333333","-114.06522369999999","POINT (-114.0652237 51.045597083333)"
"Bird-6e48d64b-c0e5-493b-8bb6-d779e6b4cd61","2022-09-13T12:32:02.000","Bird",,"6e48d64b-c0e5-493b-8bb6-d779e6b4cd61","0","0","50.997562833333326","-114.07097999999999","POINT (-114.07098 50.997562833333)"
"Bird-b2671cea-8966-49d1-931b-d8dba107698f","2022-09-13T12:32:02.000","Bird",,"b2671cea-8966-49d1-931b-d8dba107698f","0","0","51.04946316666666","-114.067935","POINT (-114.067935 51.049463166667)"
"Bird-96ab0598-e2d2-4b99-b44b-ea123eaedd08","2022-09-13T12:32:02.000","Bird",,"96ab0598-e2d2-4b99-b44b-ea123eaedd08","0","0","51.04745983333334","-114.07897816666667","POINT (-114.078978166667 51.047459833333)"
"Neuron-cc571659-9841-4de8-bbe2-d9e3583305dd","2022-09-13T12:32:02.000","Neuron",,"cc571659-9841-4de8-bbe2-d9e3583305dd","1","1","51.04568863333334","-114.06352233333334","POINT (-114.063522333333 51.045688633333)"
"Bird-062e95cf-ae97-4133-a86a-18cd8172eda5","2022-09-13T12:32:02.000","Bird",,"062e95cf-ae97-4133-a86a-18cd8172eda5","0","0","51.0435515","-114.07067466666668","POINT (-114.070674666667 51.0435515)"
"Bird-e422ab24-877b-4020-8a3a-940f99e74d54","2022-09-13T12:32:02.000","Bird",,"e422ab24-877b-4020-8a3a-940f99e74d54","0","0","51.048442333333334","-114.06249199999999","POINT (-114.062492 51.048442333333)"
"Bird-93784082-fa6f-4503-863a-ca445562e4e0","2022-09-13T12:32:02.000","Bird",,"93784082-fa6f-4503-863a-ca445562e4e0","0","0","51.04488283333333","-114.05492516666666","POINT (-114.054925166667 51.044882833333)"
"Neuron-3628887b-9342-403b-a4b1-d589823df2b5","2022-09-13T12:32:02.000","Neuron",,"3628887b-9342-403b-a4b1-d589823df2b5","1","1","51.016182","-114.109132","POINT (-114.109132 51.016182)"
