"community_cd","snow_clearing_responsibility","direction","location","status_cd","point"
,"OTH-CONTRACTOR",,"SB Centre ST N @ 14 AV N","Active","POINT (-114.0626443 51.0650146)"
,"COC-RD-RM",,,"Active","POINT (-113.9492909 50.8838127)"
,"COC-RD-RM",,"SB Tuscany WY @ Tuscany BV NW","Active","POINT (-114.2459299 51.1234563)"
,"COC-RD-RM",,"SB Madigan DR @ Maitland DR NE","Active","POINT (-113.9406042 51.060919)"
,"COC-RD-RM",,"EB Memorial DR @ 39 ST SE","Active","POINT (-113.9759253 51.0524931)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.117774 50.9462162)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.1586793 51.0881106)"
,"COC-RD-RM",,"EB Springborough BV @ 69 ST SW","Active","POINT (-114.188003 51.0354043)"
,"COC-RD-RM",,"SB Panorama Hills WY NW @ Panorama Hills CR NW","Active","POINT (-114.0700816 51.1526221)"
,"COC-RD-RM",,"EB Rundlehorn DR @ Rundlewood DR NE","Active","POINT (-113.9694349 51.0705758)"
,"COC-RD-RM",,"SB 14 ST SW@ 12 AV SW","Active","POINT (-114.0948214 51.0419543)"
,"COC-RD-CM",,"NB Midridge DR @ Midglen DR SE","Active","POINT (-114.0480361 50.9185048)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.0411681 51.1107125)"
,"COC-RD-RM",,"SB Renfrew DR @ 15 AV NE","Active","POINT (-114.0340965 51.0649768)"
,"OTH-CONTRACTOR",,,"Active","POINT (-113.9424011 51.1656888)"
,"COC-RD-RM",,"WB Silver Springs BV @ Silvergrove DR NW","Active","POINT (-114.2043729 51.1153099)"
,"OTH-CONTRACTOR",,"EB Kensington RD @ 16 ST NW","Active","POINT (-114.0973776 51.0524357)"
,"COC-RD-RM",,"WB Southland DR @ Macleod TR S","Active","POINT (-114.0723971 50.965182)"
,"COC-RD-RM",,"NB Kincora Ga @ Shaganappi Tr NW","Active","POINT (-114.1475941 51.1662298)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.0829837 51.0096153)"
,"COC-RD-RM",,"NB Coral Springs BV @ Coral Springs PA NE","Active","POINT (-113.9250417 51.103156)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.013536 51.1432686)"
,"COC-RD-RM",,"WB 24 AV NW @ Upton PL","Active","POINT (-114.1360011 51.074527)"
,"COC-RD-RM",,"SB Citadel DR @ Citadel CL NW","Active","POINT (-114.171739 51.1418862)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.1642939 51.1674066)"
,"COC-RD-RM",,"SB Springborough BV @ Springborough GR SW","Active","POINT (-114.193817 51.032441)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.0007208 50.9533993)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.0362757 51.106297)"
,"COC-RD-RM",,"WB 8 AV NE @ Regal CR","Active","POINT (-114.0374034 51.0596907)"
,"OTH-CONTRACTOR",,"NB Taradale DR @ Taralake WY NE","Active","POINT (-113.926973 51.119263)"
,"COC-RD-RM",,"SB Chaparral DR @ Chapalina WY SE","Active","POINT (-114.0461954 50.8866875)"
,"COC-RD-RM",,"SB Berkley DR @ Berkshire BV NW","Active","POINT (-114.0998529 51.1315074)"
,"COC-RD-RM",,"EB 32 AV NW @ 39 ST NW","Active","POINT (-114.1442184 51.0813573)"
,"COC-RD-RM",,"WB Quarry Park BV @ Quarry DR SE","Active","POINT (-114.010136 50.9595729)"
,"COC-RD-RM",,"NB Hidden Creek BV @ N. of  Hidden Creek RD NW","Active","POINT (-114.1013707 51.1577017)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.0324535 50.9310086)"
,"OTH-CONTRACTOR",,,"Active","POINT (-113.9813651 51.055219)"
,"COC-RD-RM",,"SB Hawkwood DR @ Hawkstone DR NW","Active","POINT (-114.1819362 51.1357463)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.1062646 50.9612951)"
,"COC-RD-RM",,"SB 14 ST SW@ 30 AV SW","Active","POINT (-114.0947913 51.0265022)"
,"COC-RD-RM",,"WB Canyon Meadows DR @ Queensland DR SE (E. leg)","Active","POINT (-114.0181573 50.9320022)"
,"COC-RD-RM",,"NB Citadel WY @ N. of Country Hills BV NW","Active","POINT (-114.195257 51.1433749)"
,"COC-RD-RM",,"SB Sierra Morena BV @ Sierra Morena CO SW","Active","POINT (-114.185953 51.0162681)"
,"COC-RD-RM",,"EB 112 AV NW @ Rockyspring GA NW","Active","POINT (-114.252125 51.1539136)"
,"OTH-CONTRACTOR",,"SB Beacon Hill CTR @ Shoppers Drug Mart","Active","POINT (-114.1601767 51.1576342)"
,"COC-RD-RM",,"WB Parkdale BV @ 26 ST NW","Active","POINT (-114.1235009 51.0534689)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.0421984 50.9478787)"
,"COC-RD-RM",,"SB Mclaurin ST @ University AV NW","Active","POINT (-114.1476343 51.0771323)"
,"COC-RD-RM",,"NB Riverbend DR @ Riverside CL SE","Active","POINT (-114.0252991 50.9775286)"
,"COC-RD-RM",,"WB 46 AV SE @ 11 ST SE","Active","POINT (-114.0412193 51.0121196)"
,"COC-RD-RM",,"NB Legacy Village LI @ 210 AV SE","Active","POINT (-114.0260901 50.8634593)"
,"COC-RD-RM",,"SB Elbow DR @ Bel-Aire DR SW","Active","POINT (-114.0832815 50.9994644)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.1091908 51.0161749)"
,"COC-RD-RM",,"SB 4 ST NW @ 42 AV NW","Active","POINT (-114.0717106 51.090302)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.1251792 51.083587)"
,"COC-RD-RM",,"WB Berkshire BV @ Sandarac DR NW","Active","POINT (-114.1007659 51.1322227)"
,"COC-RD-RM",,"SB Tararidge DR @ Taradale DR NE","Active","POINT (-113.9405615 51.113476)"
,"COC-RD-RM",,,"Active","POINT (-114.0713864 51.0417492)"
,"COC-RD-RM",,"EB Canada Olympic RD @ Canada Olympic GT SW","Active","POINT (-114.2172628 51.0839206)"
,"COC-RD-CM",,"EB Sunpark PZ @ W. of Sunpark DR SE","Active","POINT (-114.0578131 50.901805)"
,"COC-RD-RM",,"EB Southland DR @ Oakmoor WY SW","Active","POINT (-114.1211876 50.9612057)"
,"COC-RD-RM",,"EB Memorial DR @ 47 ST SE","Active","POINT (-113.963023 51.0527249)"
,"COC-RD-RM",,"SB Oakwood DR @ 93 AV SW","Active","POINT (-114.1388349 50.9702387)"
,"OTH-CONTRACTOR",,"SB 85 ST NW @ 46 AV NW","Active","POINT (-114.2110739 51.0937391)"
,"COC-RD-RM",,"NB Citadel DR @ Citadel LI NW","Active","POINT (-114.1721629 51.1405652)"
,"COC-RD-RM",,"EB Coventry Hills WY @ Covette BA NE","Active","POINT (-114.0447157 51.1650529)"
,"COC-RD-RM",,"NB Simcoe BV @ Sirocco DR SW","Active","POINT (-114.1816628 51.0310419)"
,"OTH-CONTRACTOR",,"WB 17 AV SW @ 14 ST SW","Active","POINT (-114.0954768 51.0378888)"
,"OTH-CONTRACTOR",,"WB 9 AV SE @ 19 ST SE","Active","POINT (-114.0210501 51.0359769)"
,"OTH-CONTRACTOR",,,"Active","POINT (-113.9705361 51.1538915)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.0014239 51.156634)"
,"OTH-CONTRACTOR",,,"Active","POINT (-113.9082638 51.0402459)"
,"COC-RD-RM",,"SB North Haven DR@ Nordegg CR NW","Active","POINT (-114.0873764 51.0957936)"
,"COC-RD-RM",,"NB 14 ST NW @ Cambrian DR","Active","POINT (-114.0944875 51.0837648)"
,"COC-RD-RM",,"SB 8 ST NE @ N. of 65 AV NE","Active","POINT (-114.0446768 51.1130798)"
,"OTH-CONTRACTOR",,"NB 36 ST SE @ 26 AV SE","Active","POINT (-113.9814231 51.0311642)"
,"OTH-CONTRACTOR",,,"Active","POINT (-113.9983067 51.008813)"
,"COC-RD-RM",,"Franklin LRT Station S Lot (WB Radcliffe DR SE)","Active","POINT (-113.9943969 51.0466771)"
,"COC-RD-RM",,"WB 49 AV NE @ Aviation BV","Active","POINT (-114.0336576 51.0977161)"
,"COC-RD-RM",,"NB 1 ST SW@ 13 AV SW ns","Active","POINT (-114.0657142 51.0403846)"
,"COC-RD-RM",,"SB Fairmount DR @ Farrell RD SE","Active","POINT (-114.0600564 50.9855513)"
,"OTH-CONTRACTOR",,"WB 48 AV NW @ 88 ST NW","Active","POINT (-114.2164845 51.0959279)"
,"OTH-CONTRACTOR",,"NB Centre ST N @ 12 AV N","Active","POINT (-114.0623995 51.0636952)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.1177691 51.1682491)"
,"COC-RD-RM",,"NB Country Hills DR @ Country Hills  PL NW","Active","POINT (-114.0657127 51.1479971)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.054603 51.1412909)"
,"COC-RD-RM",,"EB 26 AV NE @ Rundlehill DR","Active","POINT (-113.9655804 51.077114)"
,"COC-RD-RM",,"SB Whitefield DR @ Whiteram HL NE","Active","POINT (-113.973606 51.088692)"
,"COC-RD-RM",,"WB 162 AV SW @ E. of Shawbrooke RD","Active","POINT (-114.0940462 50.9051959)"
,"COC-RD-RM",,"WB Dalhart RD @ Dalgleish RD NW","Active","POINT (-114.1522199 51.1086986)"
,"COC-RD-RM",,"EB Heritage DR @ 5 ST SW","Active","POINT (-114.0792764 50.97949)"
,"OTH-CONTRACTOR",,,"Active","POINT (-113.9586133 51.0964677)"
,"COC-RD-RM",,"WB Edgemont DR @ Edgemont RD NW","Active","POINT (-114.1494882 51.117096)"
,"COC-RD-RM",,"NB Hawkstone DR @ Hawkcliff WY NW","Active","POINT (-114.1660733 51.1314411)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.0112863 51.0925886)"
,"COC-RD-RM",,"EB Discovery Ridge BV @ Discovery Ridge MR SW","Active","POINT (-114.2183711 51.0156957)"
,"COC-RD-RM",,"SB 11 ST NE@ 55 AV NE","Active","POINT (-114.0365692 51.1017747)"
,"COC-RD-RM",,"EB 7 AV NW @ 5A ST NW","Active","POINT (-114.0754308 51.059192)"
,"COC-RD-RM",,"EB 110 AV SE @ 42 ST SE","Active","POINT (-113.9735252 50.9559944)"
,"COC-RD-RM",,"WB Douglas Glen GA @ 24 ST SE","Active","POINT (-114.0016527 50.954004)"
,"COC-RD-RM",,"SB Douglas Glen BV @ Douglas Glen GA SE","Active","POINT (-114.0041197 50.9541753)"
,"COC-RD-RM",,"WB 112 AV NW @ 85 ST NW","Active","POINT (-114.2099141 51.1518702)"
,"COC-RD-RM",,"SB Parkland BV @ Parkvalley RD SE","Active","POINT (-114.0256183 50.9181423)"
,"COC-RD-RM",,"NB 52 ST SE @ Mahogany ST","Active","POINT (-113.9438662 50.8989023)"
,"COC-RD-RM",,"SB Silverado Ridge LI @ Silverado BV SW","Active","POINT (-114.0856243 50.886528)"
,"OTH-CONTRACTOR",,,"Active","POINT (-113.9814555 51.1468827)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.1281113 51.0744407)"
,"COC-RD-CM",,"EB Northmount DR @ Brisebois DR NW","Active","POINT (-114.1284436 51.0928076)"
,"COC-RD-RM",,"NB 14 ST NW @ Roselawn CR","Active","POINT (-114.0945848 51.0751502)"
,"OTH-CONTRACTOR",,"SB 14 ST NW @ 16 AV NW","Active","POINT (-114.0953314 51.0657422)"
,"OTH-CONTRACTOR",,"WB 1 AV NE @ 7 ST NE","Active","POINT (-114.0463016 51.0533229)"
,"OTH-CONTRACTOR",,"SB Falconridge BV @ Castleridge BV NE","Active","POINT (-113.9585945 51.0991411)"
,"COC-RD-RM",,"SB 4 ST NW @ 14 AV NW","Active","POINT (-114.0716427 51.0651596)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.1514332 51.1678566)"
,"COC-RD-RM",,"NB 19 ST SW @ 98 AV SW","Active","POINT (-114.1062414 50.9654144)"
,"COC-RD-RM",,"EB Wentworth DR @ 85 ST SW","Active","POINT (-114.2100818 51.0568374)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.2465586 51.1143783)"
,"COC-RD-RM",,,"Active","POINT (-114.1305942 51.0645931)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.1961855 51.1258488)"
,"COC-RD-CM",,"NB Sunmills DR @ Sunbank WY SE","Active","POINT (-114.047939 50.9029588)"
,"COC-RD-RM",,"EB Country Hills RD @ Country Hills LD NW","Active","POINT (-114.071546 51.1432772)"
,"COC-RD-RM",,"EB Mission RD @ 34 AV SW","Active","POINT (-114.0659902 51.0229486)"
,"COC-RD-RM",,"WB Whitefield DR @ 38 ST NE","Active","POINT (-113.9789656 51.0884169)"
,"OTH-CONTRACTOR",,"EB 90 AV SE @ Bonaventure DR SE","Active","POINT (-114.0680811 50.9721887)"
,"OTH-CONTRACTOR",,,"Active","POINT (-113.9586921 50.954072)"
,"COC-RD-RM",,"EB Manhattan RD @ Blackfoot TR SE","Active","POINT (-114.0497114 51.0113415)"
,"COC-RD-CM",,"NB Brisebois DR @ Crawford RD NW","Active","POINT (-114.1271243 51.09819)"
,"COC-RD-RM",,"WB Kensington RD @ Crowchild TR NW","Active","POINT (-114.1189491 51.0525381)"
,"COC-RD-RM",,"NB University BV NW @ Pathway","Active","POINT (-114.1453928 51.0694068)"
,"COC-RD-RM",,"NB McKenzie Lake WY @ 1000McKenzie Lake BA SE","Active","POINT (-113.9777624 50.9135301)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.0739929 51.1597476)"
,"COC-RD-RM",,"NB Strathcona BV @ Bow TR SW","Active","POINT (-114.1824938 51.0507244)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.0990578 50.9614007)"
,"COC-RD-RM",,"SB Acadia DR @ Williow PK DR SE","Active","POINT (-114.0438085 50.9595771)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.0901968 51.0262765)"
,"OTH-CONTRACTOR",,"NB 52 ST SE @ 68 AV SE","Active","POINT (-113.9582579 50.9947804)"
,"COC-RD-RM",,"EB 39 AV NE @ 19 ST NE","Active","POINT (-114.0109298 51.0881958)"
,"OTH-CONTRACTOR",,"SB Edmonton TR @ 25 AV NE","Active","POINT (-114.0562119 51.074819)"
,"COC-RD-RM",,,"Active","POINT (-114.0843857 51.0379043)"
,"OTH-CONTRACTOR",,"WB Marbank DR @ Marlyn WY NE","Active","POINT (-113.977169 51.0631934)"
,"COC-RD-RM",,"WB Palliser DR @ Oakdale PL SW","Active","POINT (-114.1208142 50.9695437)"
,"COC-RD-RM",,"WB James McKevitt RD @ Shawnee GA SW","Active","POINT (-114.075686 50.9214409)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.1889223 51.0653223)"
,"COC-RD-RM",,"NB Edmonton TR @ 29 AV NE","Active","POINT (-114.0550091 51.0791422)"
,"OTH-CONTRACTOR",,,"Active","POINT (-113.995422 51.0374672)"
,"COC-RD-RM",,"NB 52 ST SE @ 72 AV SE","Active","POINT (-113.9582161 50.9901918)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.1723771 51.137259)"
,"COC-RD-RM",,"WB 6 AV SW @ 5 ST SW","Active","POINT (-114.0744475 51.0478518)"
,"COC-RD-RM",,"SB Shawnee DR @ S. of Shawnee GD SW","Active","POINT (-114.0909517 50.928119)"
,"OTH-CONTRACTOR",,"SB Elbow DR @ 47 AV SW","Active","POINT (-114.0815008 51.0110234)"
,"COC-RD-RM",,"EB 58 AV SE @ 9 ST SE","Active","POINT (-114.0401761 51.0016806)"
,"OTH-CONTRACTOR",,,"Active","POINT (-113.9407603 51.0816458)"
,"COC-RD-RM",,"SB Chapala DR @ Chapala WY SE","Active","POINT (-114.0294661 50.8809735)"
,"COC-RD-RM",,,"Active","POINT (-114.0582216 51.0453278)"
,"COC-RD-CM",,"SB 24 ST NW @ Charlebois DR","Active","POINT (-114.1180121 51.0825486)"
,"COC-RD-RM",,"EB Evanston VW @ Evansbrooke LI NW","Active","POINT (-114.1199915 51.1645348)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.0769237 51.1274257)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.141634 51.1010455)"
,"OTH-CONTRACTOR",,"WB 16 AV NW @ Banff TR","Active","POINT (-114.1113765 51.0671205)"
,"COC-RD-RM",,"NB Douglasdale BV @ Douglasbank DR SE","Active","POINT (-114.004859 50.9451182)"
,"OTH-CONTRACTOR",,,"Active","POINT (-113.9288524 50.8961858)"
,"OTH-CONTRACTOR",,,"Active","POINT (-113.9812124 50.9165507)"
,"COC-RD-RM",,,"Active","POINT (-114.055657 51.0471316)"
,"COC-RD-RM",,"EB 12 AV SE@ 1 ST SE","Active","POINT (-114.0604835 51.0412227)"
,"COC-RD-RM",,"EB 5 AV SW @ 6 ST SW","Active","POINT (-114.0764858 51.0486809)"
,"OTH-CONTRACTOR",,"WB 26 AV SW @ 17A ST SW","Active","POINT (-114.103999 51.0304908)"
,"COC-RD-RM",,"NB 52 ST NE @ S. of 32 AV NE","Active","POINT (-113.958218 51.0795311)"
,"COC-RD-RM",,"EB Palliser DR @ Oakfield DR SW","Active","POINT (-114.1306633 50.9703799)"
,"COC-RD-RM",,"SB Shaganappi TR @ Nolan Hill BV NW","Active","POINT (-114.154297 51.1718898)"
,"COC-RD-RM",,"SB 52 ST SE @ 90 AV SE","Active","POINT (-113.958773 50.9715216)"
,"OTH-CONTRACTOR",,"NB Elbow DR @ Southampton DR SW","Active","POINT (-114.0846591 50.9611264)"
,"COC-RD-RM",,"NB Varsity Estates DR @ Varsity Estates CR NW","Active","POINT (-114.1785469 51.1069267)"
,"COC-RD-RM",,"SB 52 ST NE @ S. of 44 AV NE","Active","POINT (-113.9586236 51.0884737)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.1341357 51.1807814)"
,"OTH-CONTRACTOR",,,"Active","POINT (-113.9820866 51.0569302)"
,"OTH-CONTRACTOR",,,"Active","POINT (-113.9987866 51.0230746)"
,"COC-RD-RM",,"EB Hidden Creek WY @ Hidden Creek PT NW","Active","POINT (-114.0950813 51.1592276)"
,"COC-RD-RM",,"EB 5 AV SE @ 58 ST SE","Active","POINT (-113.9490891 51.0484579)"
,"OTH-CONTRACTOR",,,"Active","POINT (-113.9695062 51.1655289)"
,"COC-RD-RM",,"EB Auburn Bay DR @ 56 ST SE","Active","POINT (-113.9475415 50.8991676)"
,"COC-RD-RM",,"SB Mountain Park DR @ Mount Norquay GA SE","Active","POINT (-113.9973715 50.9062107)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.1816285 51.0519106)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.2040136 51.1331447)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.200893 51.1212804)"
,"COC-RD-CM",,"SB 19 ST @ Collingwood DR NW","Active","POINT (-114.1065497 51.0799104)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.1286347 51.0744073)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.1601931 51.1385961)"
,"COC-RD-RM",,"WB 6 AV SW @ 3 ST SW","Active","POINT (-114.0706402 51.0477602)"
,"COC-RD-RM",,"NB 84 ST SE @ 17 AV SE","Active","POINT (-113.908306 51.041004)"
,"OTH-CONTRACTOR",,,"Active","POINT (-113.9556117 51.0534798)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.0602554 50.9523925)"
,"OTH-CONTRACTOR",,"EB 40 AV NW @ E. of 49 ST NW","Active","POINT (-114.1565694 51.0881257)"
,"OTH-CONTRACTOR",,,"Active","POINT (-113.9579593 51.1580154)"
,"OTH-CONTRACTOR",,,"Active","POINT (-113.9470049 51.1581363)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.1460549 51.0623065)"
,"OTH-CONTRACTOR",,"SB East Hills SQ @ East Hills BV SE","Active","POINT (-113.9111194 51.0408158)"
,"COC-RD-RM",,"WB Rundlehorn DR @ 38 ST NE","Active","POINT (-113.9790938 51.0715546)"
,"COC-RD-RM",,"SB Home RD @ 20 AV NW","Active","POINT (-114.1645193 51.0779391)"
,"COC-RD-RM",,"NB Tuscany CTrain Station","Active","POINT (-114.2355963 51.1344744)"
,"OTH-CONTRACTOR",,"WB Bowness RD @ 63 ST NW","Active","POINT (-114.1796994 51.0856552)"
,"OTH-CONTRACTOR",,,"Active","POINT (-113.9947046 51.0816074)"
,"OTH-CONTRACTOR",,"26th Avenue SW Station (SB)","Active","POINT (-114.1413036 51.0297379)"
,"COC-RD-RM",,"SB Inverness RD @ Inverness SQ SE","Active","POINT (-113.9693345 50.9129427)"
,"COC-RD-RM",,"EB 90 AV SE @ 40 ST SE","Active","POINT (-113.975226 50.9722064)"
,"COC-RD-RM",,"SB Silver Ridge DR @ Silver Hill RD NW","Active","POINT (-114.1977153 51.1070193)"
,"COC-RD-RM",,"SB 10 ST NW @ Kensington RD","Active","POINT (-114.0859791 51.0530514)"
,"OTH-CONTRACTOR",,,"Active","POINT (-113.9629637 51.1711976)"
,"COC-RD-RM",,"EB 26 AV SE @ 28 ST SE","Active","POINT (-113.9912832 51.0304562)"
,"OTH-CONTRACTOR",,,"Active","POINT (-113.9376702 50.8909928)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.08827 51.0244939)"
,"COC-RD-RM",,"NB Macleod TR @ 36 AV SE","Active","POINT (-114.0601104 51.0218833)"
,"COC-RD-RM",,,"Active","POINT (-114.0624534 51.05128)"
,"OTH-CONTRACTOR",,"WB Willowpark DR @ Bonaventure DR SE","Active","POINT (-114.069662 50.9579444)"
,"COC-RD-RM",,"WB 9th AV SE @ 9th St SE","Active","POINT (-114.040287 51.0431322)"
,"COC-RD-RM",,"NB Ogden RD @ 38 AV SE","Active","POINT (-114.029921 51.0204985)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.1003069 50.972357)"
,"COC-RD-RM",,,"Active","POINT (-114.0813123 51.0470931)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.1281063 51.1024972)"
,"COC-RD-RM",,"EB 9 AV SW @ 11 ST SW","Active","POINT (-114.0875981 51.0452212)"
,"COC-RD-RM",,"NB Country Village LI south of Country Village Rd","Active","POINT (-114.0676421 51.1582968)"
,"COC-RD-RM",,"WB McKenzie Towne DR @ Promenade WY SE","Active","POINT (-113.957193 50.9106117)"
,"COC-RD-RM",,"WB Hawksbrow DR @ Hawkwood BV NW","Active","POINT (-114.1679608 51.1251276)"
,"COC-RD-RM",,"WB Saddlemont BV @ Saddlelake GR NE","Active","POINT (-113.931348 51.1297772)"
,"COC-RD-RM",,"Tuscany Station - Tuscany Terminal","Active","POINT (-114.235998 51.1336969)"
,"COC-RD-RM",,"WB Hidden Valley DR @ Hidden Valley LD NW","Active","POINT (-114.1133328 51.1470962)"
,"OTH-CONTRACTOR",,"EB 8 AV NE @ 19 ST NE","Active","POINT (-114.0137477 51.059538)"
,"OTH-CONTRACTOR",,"EB Southland DR @ Southport RD SW","Active","POINT (-114.0737846 50.9649074)"
,"COC-RD-RM",,"EB Symons Valley PY @ Evanston Wy (North Leg)  NW","Active","POINT (-114.0993793 51.1809738)"
,"COC-RD-RM",,"EB Northmount DR @ 14 ST NW","Active","POINT (-114.0933429 51.0829097)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.1473716 51.1664924)"
,"COC-RD-RM",,"SB Shannon DR @ Shawnessy DR SW","Active","POINT (-114.0822831 50.9113067)"
,"COC-RD-RM",,,"Active","POINT (-114.073386 51.0504954)"
,"OTH-CONTRACTOR",,"EB Northmount DR @ Charleswood DR NW","Active","POINT (-114.1166939 51.0890463)"
,"COC-RD-RM",,"SB 52 ST SE@ 48 AV SE","Active","POINT (-113.9587534 51.0105168)"
,"OTH-CONTRACTOR",,,"Active","POINT (-114.2091309 51.1520254)"
,"COC-RD-RM",,"EB North Haven DR@ 14 ST NW","Active","POINT (-114.0939785 51.0921083)"
,"COC-RD-RM",,"NB Spruce DR @ Hemlock CR SW","Active","POINT (-114.135071 51.0479876)"
