"asset_cd","wam_id","type_description","sign_details","sign_material","support_type","support_material","life_cycle_status","minortype","steward","maintained_by","direction","modified_dt","asset_type","bylaw_number","point"
"BOW186","A-51084912","PATHWAY - WARNING",,"METAL","POST","METAL","ACTIVE","SLOW - STEEP HILL","CALGARY PARKS","CALGARY PARKS",,"2018-05-14T13:36:25.000Z","11",,"POINT (-114.202042 51.0822027)"
"SSD560","A-21006553","PATHWAY - REGULATIONS",,"METAL","POST","METAL","ACTIVE","CYCLISTS YIELD TO PEDESTRIANS","CALGARY PARKS","CALGARY PARKS","NW","2018-05-14T13:35:45.000Z","9",,"POINT (-114.0707764 51.0598432)"
"EAU121","A-51416262","PARK - INFO","RIVER CAFE DIRECTIONAL SIGN","METAL","LIGHT POLE","METAL","ACTIVE","DIRECTION TO - FACILITY","CALGARY PARKS","CALGARY PARKS",,"2022-04-06T15:17:57.000Z","5",,"POINT (-114.0677059 51.0547307)"
"DNW134","A-21002025","PARK - WARNING",,"METAL","WALL","NO BREAKDOWN","ACTIVE","VIDEO SURVEILLANCE","CALGARY PARKS","CALGARY PARKS","W","2018-05-14T13:35:45.000Z","7",,"POINT (-114.0920583 51.046354)"
"MCI091","A-50891362","VEHICLE - PARKING","PRIVATE PROPERTY","METAL","POST","METAL","ACTIVE","PARKING RESTRICTIONS","CALGARY RECREATION","CALGARY RECREATION","E","2013-04-04T07:42:06.000Z","15",,"POINT (-114.0153663 51.088313)"
"DIS100","A-50894020","PATHWAY - INFO",,"METAL","POST","WOOD","ACTIVE","DIRECTION / DISTANCE","CALGARY PARKS","CALGARY PARKS","N","2017-01-13T13:45:38.000Z","8",,"POINT (-114.2170471 51.0141841)"
"ING999","A-21003667","PARK - REGULATIONS","INGLEWOOD BIRD SANCTUARY - ACTIVITIES & RULES","METAL","POST, DUAL","WOOD","ACTIVE","GENERAL - PARK RULES","CALGARY PARKS","CALGARY PARKS","NW","2018-05-14T13:35:45.000Z","6",,"POINT (-114.0102888 51.0300232)"
"GPK056","A-21002759","PARK - INFO","MEN SYMBOL","METAL","BUILDING","METAL","ACTIVE","AMENITIES - WASHROOM","CALGARY PARKS","CALGARY PARKS","E","2019-05-07T13:38:15.000Z","5",,"POINT (-114.1359444 50.9777123)"
"PKH200","A-21004813","PARK - INFO","STANLEY PARK OUTDOOR/WADING POOL","METAL","POST, DUAL","METAL","ACTIVE","NAME - PARK FACILITY","CALGARY PARKS","CALGARY PARKS AND OTHER BU","W","2017-01-13T13:44:00.000Z","5",,"POINT (-114.0699987 51.0174042)"
"HID718","A-50883204","DOG - LEASH REGULATIONS","WARNING 
DOG OWNERS MUST REMOVE FECES FROM THIS PARK IMMEDIATELY.  
DOGS MUST BE ON LEASH.","METAL","POST","METAL","ACTIVE","NO DOGS WITHIN THIS AREA EXCEPT ON LEASH","OUTSIDE AGENCY","LEASE HOLDER","E","2018-05-14T13:35:45.000Z","2","23M89","POINT (-114.1209661 51.1485158)"
"RIV840","A-21005301","PATHWAY - INFO",,"METAL","POST","METAL","ACTIVE","NAME - RIVERBEND PATHWAY","CALGARY PARKS","CALGARY PARKS","NW","2018-05-14T13:35:45.000Z","8",,"POINT (-114.02921 50.9773643)"
"SCE352","A-50875391","DOG - LEASH REGULATIONS","OWNER MUST REMOVE DEFECATION","METAL","POST","METAL","ACTIVE","OFF LEASH AREA","CALGARY PARKS","CALGARY PARKS","SW","2017-01-13T13:54:27.000Z","2","23M89","POINT (-114.2218377 51.1080922)"
"ERL066","A-51065045","VEHICLE - WARNING",,"METAL","GATE","METAL","ACTIVE","DEAD END / BARRICADE","CALGARY PARKS","CALGARY PARKS","W","2017-01-13T13:43:48.000Z","17",,"POINT (-114.0628309 51.0240849)"
"NPK454","A-51415814","PATHWAY - INFO","NOSE HILL PARK TRAIL MARKER","METAL","NOT APPLICABLE","NOT APPLICABLE","ACTIVE","TRAIL MARKER","CALGARY PARKS","CALGARY PARKS",,"2022-04-04T14:16:31.000Z","8",,"POINT (-114.1020041 51.0994481)"
"OAK068","A-50880400","VEHICLE - PARKING","SMALL CAR ONLY","METAL","POST","METAL","ACTIVE","PARKING INFO","CALGARY PARKS SHARED","LEASE HOLDER","E","2013-04-04T07:42:36.000Z","15",,"POINT (-114.1323324 50.969014)"
"VAR456","A-21005931","DOG - LEASH REGULATIONS",,"PLASTIC","POST","WOOD","ACTIVE","OFF LEASH AREA ENTERING (POST)","CALGARY PARKS","CALGARY PARKS","S","2017-09-21T10:11:14.000Z","2","23M89","POINT (-114.1650103 51.0865729)"
"TUS599","A-51017331","DOG - LEASH REGULATIONS",,"METAL","POST","METAL","ACTIVE","OFF LEASH AREA ENTERING","CALGARY PARKS","CALGARY PARKS","W","2017-01-13T13:45:15.000Z","2",,"POINT (-114.2337907 51.1270144)"
"HAM461","A-21003150","PARK - INFO","SIT UP","METAL","POST","METAL","ACTIVE","AMENITIES - FITNESS STATION","CALGARY PARKS","CALGARY PARKS","W","2017-01-13T13:54:24.000Z","5",,"POINT (-114.1497462 51.1411403)"
"EDG055","A-51067175","PATHWAY - WARNING",,"METAL","POST","METAL","ACTIVE","SLOW - SHARP CURVE","CALGARY PARKS","CALGARY PARKS","SE","2017-01-13T13:45:18.000Z","11",,"POINT (-114.1508281 51.1328107)"
"VAR456","A-21005972","DOG - LEASH REGULATIONS",,"PLASTIC","POST","WOOD","ACTIVE","OFF LEASH AREA ENTERING (POST)","CALGARY PARKS","CALGARY PARKS","S","2017-09-21T10:10:53.000Z","2","23M89","POINT (-114.1697736 51.0902578)"
"ACA192","A-21000279","VEHICLE - REGULATIONS",,"METAL","GATE","METAL","ACTIVE","ACCESS RESTRICTIONS","CALGARY PARKS","CALGARY PARKS","E","2017-09-21T10:10:55.000Z","16",,"POINT (-114.0258714 50.961136)"
"EDG053","A-51015897","DOG - LEASH REGULATIONS",,"METAL","POST","METAL","ACTIVE","OFF LEASH AREA LEAVING","CALGARY PARKS","CALGARY PARKS","SE","2017-01-13T13:44:05.000Z","2",,"POINT (-114.1539367 51.1214697)"
"HUN676","A-51045404","DOG - LEASH REGULATIONS",,"METAL","POST","METAL","ACTIVE","OFF LEASH AREA ENTERING","CALGARY PARKS","CALGARY PARKS","E","2017-01-13T13:43:46.000Z","2",,"POINT (-114.0726408 51.1248344)"
"EAU131","A-51416259","PARK - INFO","RIVER CAFE DIRECTIONAL SIGN","METAL","LIGHT POLE","METAL","ACTIVE","DIRECTION TO - FACILITY","CALGARY PARKS","CALGARY PARKS",,"2022-04-06T15:10:00.000Z","5",,"POINT (-114.0700164 51.0539174)"
"CAM874","A-51039268","DOG - LEASH REGULATIONS",,"METAL","POST","METAL","ACTIVE","OFF LEASH AREA ENTERING","CALGARY PARKS","CALGARY PARKS","N","2017-01-13T13:44:57.000Z","2",,"POINT (-114.0852124 51.0830318)"
"APP904","A-50894004","PATHWAY - INFO","GREENWAY LOGO AND TEXT WITH DIRECTIONAL PLAQUES","METAL","PEDESTAL","CONCRETE","ACTIVE","NAME - GREENWAY PATHWAY","CALGARY PARKS","CALGARY PARKS","W","2022-08-23T11:14:06.000Z","8",,"POINT (-113.9228109 51.0428499)"
"ACA192","A-50888640","DOG - GENERAL REGULATIONS",,"METAL","POST","METAL","ACTIVE","GENERAL PARK RULES","CALGARY PARKS","CALGARY PARKS","N","2018-08-27T15:21:14.000Z","1",,"POINT (-114.029543 50.966876)"
"RAM415","A-51303166","PATHWAY - INFO","EMERGENCY LOCATE SIGN ALONG THE ELBOW RIVER","METAL","POST","METAL","ACTIVE","EMERGENCY WAYFINDING","CALGARY PARKS","CALGARY PARKS",,"2019-10-03T11:36:55.000Z","8",,"POINT (-114.049543 51.031949)"
"ING029","A-51045639","PATHWAY - WARNING",,"METAL","GATE","METAL","ACTIVE","DEAD END / BARRICADE","CALGARY PARKS","CALGARY PARKS","NE","2018-05-14T13:36:25.000Z","11",,"POINT (-114.0426632 51.0432635)"
"HAM461","A-21003149","PARK - INFO","VAULT BAR","METAL","POST","METAL","ACTIVE","AMENITIES - FITNESS STATION","CALGARY PARKS","CALGARY PARKS","SE","2018-05-14T13:36:25.000Z","5",,"POINT (-114.1507006 51.141936)"
"GPK701","A-50889579","VEHICLE - PARKING","PRIVATE PROPERTY; AUTHORIZED PARKING ONLY","METAL","POST","METAL","ACTIVE","PARKING RESTRICTIONS","CALGARY RECREATION","CALGARY RECREATION","N","2014-09-10T10:00:21.000Z","15",,"POINT (-114.1051391 51.0065146)"
"MCI091","A-50891348","VEHICLE - PARKING","FIRE LANE","METAL","POST","WOOD","ACTIVE","NO PARKING","CALGARY RECREATION","CALGARY RECREATION","E","2013-04-04T07:42:05.000Z","15",,"POINT (-114.0149325 51.0876678)"
"MAL504","A-51159518","PARK - REGULATIONS","SAFE SLEDDING","METAL","POST","METAL","ACTIVE","GENERAL - TOBOGGANING RULES","CALGARY PARKS","CALGARY PARKS","E","2016-08-30T09:30:26.000Z","6",,"POINT (-114.0227633 51.0627079)"
"WND371","A-51376069","SPORTS - REGULATIONS","TENNIS AND PICKLEBALL RULES","METAL","POST","METAL","ACTIVE","TENNIS RULES","CALGARY PARKS","CALGARY PARKS","N","2021-12-16T18:12:37.000Z","13",,"POINT (-114.0780234 51.0063968)"
"MON245","A-21004181","PATHWAY - REGULATIONS",,"METAL","POST","METAL","ACTIVE","SPEED 10KM/H","CALGARY PARKS","CALGARY PARKS","S","2018-05-14T13:35:46.000Z","9",,"POINT (-114.1715615 51.0782566)"
"CRE871","A-51294152","PARK - INFO",,"METAL","POST","METAL","ACTIVE","HOURS - PARK","CALGARY PARKS","CALGARY PARKS SHARED",,"2019-03-05T14:14:45.000Z","5",,"POINT (-114.0676165 51.0606066)"
"VAR456","A-21005994","DOG - LEASH REGULATIONS",,"PLASTIC","POST","WOOD","ACTIVE","ON LEASH AREA ENTERING (POST)","CALGARY PARKS","CALGARY PARKS","NW","2017-09-21T10:11:04.000Z","2","23M89","POINT (-114.1727642 51.0911859)"
"DOV899","A-50888034","PATHWAY - REGULATIONS",,"METAL","POST","METAL","ACTIVE","STOP","CALGARY PARKS","CALGARY PARKS","SW","2022-05-26T17:12:31.000Z","9",,"POINT (-113.9998091 51.0262325)"
"WHL495","A-50880487","PATHWAY - INFO",,"METAL","POST","METAL","ACTIVE","NAME - BOW RIVER PATHWAY","CALGARY PARKS","CALGARY PARKS","E","2018-05-14T13:35:45.000Z","8",,"POINT (-114.1142812 51.0477523)"
"ERI837","A-51096659","PARK - INFO","COMMUNITY SIGN","METAL","POST, DUAL","METAL","ACTIVE","NAME - NON CITY","CALGARY PARKS SHARED","OPTIONAL AMENITIES AGREEMENT","W","2020-08-14T11:31:32.000Z","5",,"POINT (-113.9729885 51.0193952)"
"BRA099","A-21000982","DOG - NO DOG REGULATIONS","NO DOGS SYMBOL RECTANGLE (CBE) STYLE","METAL","FENCE","METAL","ACTIVE","NO DOGS WITHIN THIS AREA / NO DOGS ALLOWED","CALGARY BOARD OF EDUCATION","CALGARY BOARD OF EDUCATION","W","2013-04-02T14:23:32.000Z","3",,"POINT (-114.1025244 50.9561371)"
"HUN588","A-21003428","PARK - INFO","NOSE HILL SPRING PARK","WOOD","POST","METAL","ACTIVE","NAME - PARK","CALGARY PARKS","CALGARY PARKS","NW","2017-01-13T13:54:32.000Z","5",,"POINT (-114.0774527 51.1199464)"
"WLD050","A-50871294","PARK - REGULATIONS","USER MAINTAINED SITE","METAL","POST","METAL","ACTIVE","NO DUMPING","CALGARY PARKS","CALGARY PARKS","E","2017-09-21T10:11:06.000Z","6",,"POINT (-114.1536566 51.0603532)"
"ING037","A-51365240","VEHICLE - PARKING",,"METAL","POST","METAL","ACTIVE","HANDICAP PARKING","CALGARY PARKS","CALGARY PARKS","E","2020-10-19T14:47:32.000Z","15",,"POINT (-114.0179147 51.0408984)"
"BLN004","A-51230721","PARK - REGULATIONS","RESPECT YOUR PARK","METAL","FENCE","METAL","ACTIVE","GENERAL - PARK RULES","CALGARY PARKS","CALGARY PARKS","S","2018-05-14T13:35:46.000Z","6",,"POINT (-114.0881569 51.0401127)"
"GPK704","A-21003119","PARK - INFO","ACCESS OFF TRAILS","METAL","POST","WOOD","ACTIVE","ACCESS RESTRICTIONS - TRAILS / NATURAL AREA","CALGARY PARKS","CALGARY PARKS","SW","2022-02-28T19:22:48.000Z","5","36/76","POINT (-114.1364562 50.9922064)"
"BNF322","A-50871300","PARK - REGULATIONS","NO VEHICLES","METAL","POST","METAL","ACTIVE","GENERAL - PARK RULES","CALGARY PARKS SHARED","LEASE HOLDER","N","2018-05-14T13:35:46.000Z","6",,"POINT (-114.10843 51.0703934)"
"EDG053","A-51000775","DOG - LEASH REGULATIONS",,"METAL","POST","METAL","ACTIVE","OFF LEASH AREA LEAVING","CALGARY PARKS","CALGARY PARKS","SE","2017-01-13T13:43:20.000Z","2",,"POINT (-114.1443937 51.1152287)"
"BOW220","A-51345535","VEHICLE - REGULATIONS",,"METAL","GATE","METAL","ACTIVE","ACCESS RESTRICTIONS","CALGARY PARKS","CALGARY PARKS","SW","2020-01-30T16:24:11.000Z","16",,"POINT (-114.2173991 51.0982312)"
"FHT622","A-50888012","PATHWAY - INFO","DIRECTION TO BIKE PATH","METAL","POST","METAL","ACTIVE","DIRECTION / DISTANCE","CALGARY PARKS","CALGARY PARKS","E","2017-01-13T13:43:15.000Z","8",,"POINT (-113.97799 51.0452639)"
"SIL251","A-21006277","VEHICLE - PARKING","PRIVATE PROPERTY/NO PARKING","METAL","POST","METAL","ACTIVE","NO PARKING","CALGARY PARKS","CALGARY PARKS","S","2018-05-14T13:35:45.000Z","15",,"POINT (-114.1860899 51.1037964)"
"PUM058","A-51056766","PATHWAY - INFO",,"METAL","POST","METAL","ACTIVE","NAME - CALGARY PATHWAYS","CALGARY PARKS","CALGARY PARKS","S","2017-01-13T13:43:03.000Z","8",,"POINT (-114.1062434 50.9637331)"
"NPK454","A-51415782","PATHWAY - INFO","NOSE HILL PARK TRAIL MARKER","METAL","NOT APPLICABLE","NOT APPLICABLE","ACTIVE","TRAIL MARKER","CALGARY PARKS","CALGARY PARKS",,"2022-04-04T14:16:31.000Z","8",,"POINT (-114.1164153 51.1019143)"
"ALT701","A-21000474","PATHWAY - REGULATIONS","WALK BIKE ACROSS BRIDGE","METAL","POST","METAL","ACTIVE","CYCLISTS DISMOUNT","CALGARY PARKS","CALGARY PARKS","E","2013-08-14T13:27:56.000Z","9",,"POINT (-114.0925059 51.0117929)"
"SOC642","A-21006367","PARK - REGULATIONS","NO TRESPASSING WHEN POOL IS CLOSED","METAL","FENCE","METAL","ACTIVE","NO TRESSPASSING - POOL","CALGARY PARKS SHARED","LEASE HOLDER","SE","2018-05-14T13:35:45.000Z","6",,"POINT (-114.0986052 51.0251634)"
"GPK701","A-50889483","DOG - NO DOG REGULATIONS","NO DOGS WITHIN THIS AREA","METAL","FENCE","METAL","ACTIVE","NO DOGS WITHIN THIS AREA / NO DOGS ALLOWED","CALGARY RECREATION","CALGARY RECREATION","SE","2014-09-10T10:00:20.000Z","3","23M89","POINT (-114.1027928 51.0066872)"
"RIC700","A-50886533","PARK - REGULATIONS",,"METAL","BUILDING","METAL","ACTIVE","NO SMOKING","CORPORATE PROPERTIES","CALGARY PARKS","E","2017-01-13T13:43:15.000Z","6",,"POINT (-114.124607 51.0230086)"
"FLI811","A-51114919","PARK - INFO","CORAL DEPOT","METAL","POST","METAL","ACTIVE","NAME - PARK DEPOT / OFFICE","CALGARY PARKS","CALGARY PARKS","W","2017-01-13T13:45:03.000Z","5",,"POINT (-113.9527095 51.0333548)"
"ERL246","A-21002486","PARK - REGULATIONS",,"PLASTIC","BUILDING","NO BREAKDOWN","ACTIVE","NO SMOKING","CALGARY RECREATION","CALGARY RECREATION","SW","2013-04-02T14:25:19.000Z","6",,"POINT (-114.0632204 51.0339508)"
"BLN004","A-21000620","INTERPRETIVE","BELTLINE GREENSPACE MAP","METAL","POST, DUAL","METAL","ACTIVE","INTERPRETIVE - WITH MAP","CALGARY PARKS","CALGARY PARKS","NW","2021-12-07T13:55:03.000Z","4",,"POINT (-114.088766 51.0401411)"
"RIV844","A-51089629","DOG - LEASH REGULATIONS",,"METAL","POST","METAL","ACTIVE","OFF LEASH AREA LEAVING","CALGARY PARKS","CALGARY PARKS","N","2021-03-08T08:50:31.000Z","2",,"POINT (-114.0242203 50.9806132)"
"ABP799","A-51061720","PATHWAY - WARNING",,"METAL","POST","METAL","ACTIVE","SLOW - STEEP HILL","CALGARY PARKS","CALGARY PARKS","N","2017-01-13T13:44:58.000Z","11",,"POINT (-114.0514429 51.1293664)"
"GPK701","A-50889576","VEHICLE - PARKING","NO PARKING EMERGENCY ZONE","METAL","POST","METAL","ACTIVE","NO PARKING","CALGARY RECREATION","CALGARY RECREATION","N","2014-09-10T10:00:21.000Z","15",,"POINT (-114.105766 51.0065153)"
"DNC100","A-21001910","PARK - REGULATIONS",,"METAL","BUILDING","CONCRETE","ACTIVE","NO SMOKING","CALGARY PARKS","CALGARY PARKS","SW","2016-03-14T14:20:46.000Z","6","15M85","POINT (-114.0589358 51.0461599)"
"DRG546","A-51089782","DOG - LEASH REGULATIONS",,"METAL","POST","METAL","ACTIVE","OFF LEASH AREA LEAVING","CALGARY PARKS","CALGARY PARKS","N","2017-01-13T13:45:01.000Z","2",,"POINT (-114.0170659 50.921572)"
"ROX261","A-51089903","DOG - LEASH REGULATIONS",,"METAL","POST","METAL","ACTIVE","OFF LEASH AREA LEAVING","CALGARY PARKS","CALGARY PARKS","N","2017-01-13T13:45:45.000Z","2",,"POINT (-114.0704435 51.0237362)"
"GPK704","A-50888613","PARK - INFO","CALGARY ROWING CLUB","METAL","BUILDING","CONCRETE","ACTIVE","NAME - REC FACILITY","CALGARY PARKS SHARED","LEASE HOLDER","SE","2017-09-21T10:11:22.000Z","5",,"POINT (-114.1171756 50.9862958)"
"ESH004","A-51303347","PATHWAY - INFO","EMERGENCY LOCATE SIGN FIXED TO A GREENWAY TOTEM","METAL","PEDESTAL","CONCRETE","ACTIVE","EMERGENCY WAYFINDING","CALGARY PARKS","CALGARY PARKS",,"2022-08-23T07:20:01.000Z","8",,"POINT (-113.9223762 50.9398761)"
"REN786","A-51089875","DOG - LEASH REGULATIONS",,"METAL","POST","METAL","ACTIVE","OFF LEASH AREA ENTERING","CALGARY PARKS","CALGARY PARKS","W","2017-01-13T13:43:07.000Z","2",,"POINT (-114.03248 51.0634338)"
"GPK023","A-50892464","PATHWAY - INFO",,"METAL","POST","METAL","ACTIVE","NAME - ELBOW RIVER PATHWAY","CALGARY PARKS","CALGARY PARKS","N","2013-04-04T07:41:12.000Z","8",,"POINT (-114.0975455 50.9938904)"
"ACA192","A-50888633","DOG - LEASH REGULATIONS",,"METAL","GATE","METAL","ACTIVE","OFF LEASH AREA ENTERING","CALGARY PARKS","CALGARY PARKS","N","2018-08-27T15:21:11.000Z","2",,"POINT (-114.0290761 50.9666894)"
"ACA192","A-50891859","PARK - REGULATIONS","NO ACCESS NATURE RESERVE","METAL","POST","METAL","ACTIVE","NO TRESSPASSING","CALGARY PARKS","CALGARY PARKS","W","2018-08-27T15:20:03.000Z","6",,"POINT (-114.0369303 50.9729497)"
"02F201","A-50879194","VEHICLE - REGULATIONS",,"METAL","POST","METAL","ACTIVE","NO STOPPING","CALGARY PARKS","CALGARY PARKS","S","2017-09-21T10:10:59.000Z","16",,"POINT (-114.1793823 51.1517841)"
"RAN161","A-50898258","DOG - LEASH REGULATIONS",,"METAL","POST","METAL","ACTIVE","OFF LEASH AREA ENTERING","CALGARY PARKS","CALGARY PARKS","SW","2017-01-13T13:54:32.000Z","2","23M89","POINT (-114.1718011 51.1223101)"
"NPK454","A-50888508","PARK - INFO",,"METAL","BUILDING","METAL","ACTIVE","AMENITIES - WASHROOM SEASONAL","CALGARY PARKS","CALGARY PARKS","SW","2017-01-13T13:43:20.000Z","5",,"POINT (-114.1263236 51.1037661)"
"GPK056","A-50892251","PATHWAY - REGULATIONS",,"METAL","POST","METAL","ACTIVE","SHARE THE PATHWAY / KEEP RIGHT","CALGARY PARKS","CALGARY PARKS","E","2018-05-14T13:35:45.000Z","9",,"POINT (-114.1046269 50.974055)"
"RUN248","A-51090361","PARK - REGULATIONS","SAFE SLEDDING","METAL","POST","METAL","ACTIVE","GENERAL - TOBOGGANING RULES","CALGARY PARKS","CALGARY PARKS","N","2017-01-13T13:45:21.000Z","6",,"POINT (-113.9743165 51.0717885)"
"GPK701","A-21002936","PARK - REGULATIONS",,"METAL","FENCE","METAL","ACTIVE","NO TRESSPASSING - DANGER","CALGARY WATER","CALGARY WATER","E","2013-04-02T14:22:42.000Z","6",,"POINT (-114.0967695 50.9986494)"
"NEB844","A-51079235","PARK - INFO","STORMWATER WET POND CAUTION","METAL","POST","METAL","ACTIVE","SAFETY INFO","CALGARY WATER","DEVELOPER CONSTRUCTION","NE","2017-01-13T13:54:26.000Z","5",,"POINT (-113.9462739 50.9213379)"
"MPL152","A-21004334","PARK - REGULATIONS","SAFE SLEDDING","METAL","POST","METAL","ACTIVE","GENERAL - TOBOGGANING RULES","CALGARY PARKS","CALGARY PARKS","W","2018-05-14T13:35:46.000Z","6",,"POINT (-114.0366581 50.9500854)"
"BRD099","A-21001025","PATHWAY - WARNING",,"METAL","POST","METAL","ACTIVE","SLOW - STEEP HILL","CALGARY PARKS","CALGARY PARKS","W","2017-01-13T13:45:12.000Z","11",,"POINT (-114.0312674 51.0468234)"
"SSD560","A-21006549","PATHWAY - REGULATIONS",,"METAL","POST","METAL","ACTIVE","CYCLISTS YIELD TO PEDESTRIANS","CALGARY PARKS","CALGARY PARKS","SE","2018-05-14T13:35:45.000Z","9",,"POINT (-114.0705394 51.0597104)"
"GRI829","A-51147206","PATHWAY - INFO",,"METAL","POST","METAL","ACTIVE","NAME - TRANS CANADA TRAIL","CALGARY PARKS","CALGARY PARKS","S","2016-07-19T09:42:03.000Z","8",,"POINT (-114.0513725 51.0900602)"
"BRI673","A-51079227","PARK - INFO","NO TRESSPASSING SIGN.","METAL","POST","METAL","ACTIVE","ACCESS RESTRICTIONS - GENERAL","CALGARY PARKS","CALGARY PARKS","W","2018-05-14T13:37:13.000Z","5",,"POINT (-114.0951913 50.899156)"
"FLN104","A-50888031","SPORTS - REGULATIONS",,"METAL","POST","METAL","ACTIVE","MINORS ONLY","CALGARY BOARD OF EDUCATION","CALGARY BOARD OF EDUCATION","SW","2013-04-02T14:26:48.000Z","13","36/76","POINT (-113.9759433 51.0408011)"
"CAN345","A-51114249","PARK - REGULATIONS",,"METAL","POST","METAL","ACTIVE","WATER - NO SWIMMING / WADING","CALGARY PARKS","CALGARY PARKS","S","2016-01-22T11:38:34.000Z","6",,"POINT (-114.0823688 50.9413237)"
"RYV001","A-51295105","INTERPRETIVE","THE ROTARY/MATTAMY GREENWAY","PLASTIC","POST, DUAL","METAL","ACTIVE","INTERPRETIVE - GENERAL","CALGARY PARKS","CALGARY PARKS","NW","2022-08-23T10:54:03.000Z","4",,"POINT (-114.2031801 51.1487457)"
"MNI211","A-21004083","PARK - INFO",,"PLASTIC","BUILDING","WOOD","ACTIVE","AMENITIES - WASHROOM","CALGARY PARKS","CALGARY PARKS","W","2017-03-01T13:14:54.000Z","5",,"POINT (-114.055862 51.0301003)"
"ING171","A-51113961","PARK - INFO",,"METAL","POST","METAL","ACTIVE","HOURS - PARK","CALGARY PARKS","CALGARY PARKS","NE","2017-01-13T13:45:21.000Z","5",,"POINT (-114.0124807 51.0316637)"
"GPK701","A-50892351","VEHICLE - REGULATIONS",,"METAL","LIGHT POLE","METAL","ACTIVE","NO STOPPING","CALGARY PARKS","CALGARY PARKS","SE","2020-12-16T14:56:48.000Z","16",,"POINT (-114.1060121 51.0029452)"
"FPW001","A-51303447","PATHWAY - INFO","EMERGENCY LOCATE SIGN LOCATED WITHIN FISH CREEK PARK","METAL","PEDESTAL","CONCRETE","ACTIVE","EMERGENCY WAYFINDING","CALGARY PARKS","CALGARY PARKS",,"2022-08-23T09:05:52.000Z","8",,"POINT (-114.0729561 50.9303504)"
"DIS100","A-21001811","INTERPRETIVE","CROSSINGS CAN MAKE IT BETTER","METAL","LOGS","WOOD","ACTIVE","INTERPRETIVE - GENERAL","CALGARY PARKS","CALGARY PARKS","SE","2021-12-07T13:59:14.000Z","4",,"POINT (-114.21869 51.012614)"
"ROX263","A-51408251","DOG - LEASH REGULATIONS",,"METAL","POST","METAL","ACTIVE","OFF LEASH AREA LEAVING","CALGARY PARKS","CALGARY PARKS","N","2022-07-20T09:44:54.000Z","2",,"POINT (-114.0650933 51.0266952)"
"DDG718","A-21001712","PATHWAY - INFO","BOW RIVER PATHWAY","METAL","POST","METAL","ACTIVE","NAME - BOW RIVER PATHWAY","CALGARY PARKS","CALGARY PARKS","E","2018-05-14T13:36:25.000Z","8",,"POINT (-114.0162638 50.9468536)"
