"name","address","council_district","total_units","affordable_housing_units","program","program_category","development_status","estimated_year_of_completion","rental","home_ownership","_30_ami","_35_ami","_40_ami","_50_ami","_60_ami","_65_ami","_70_ami","_75_ami","_80_ami","_85_ami","_90_ami","_100_ami","_120_ami","manager_s_unit_unrestricted","sleeping_room_group_home","sedu","studio","_1_br","_2_br","_3_br","_4_br","_5_br","latitude","longitude","reporting_date"
"836 NE 66th","836 NE 66TH ST","4","75","3","IZ PERFORMANCE (50 YEARS)","AFFORDABLE UNITS IN MARKET-RATE BUILDING (50 OR 75 YEARS)","Under Construction","2021","1",,,,"3",,,,,,,,,,,,,"3",,,,,,,"47.676746","-122.318472","2018-12-31T00:00:00.000"
"8558 Apartments","8558 NESBIT AVE N","5","68","14","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,,,,"14",,,,,,,,,,,"14",,,,,,"47.692042","-122.343208","2018-12-31T00:00:00.000"
"Acme Farms","1029 S JACKSON ST","2","321","4","IZ PERFORMANCE (50 YEARS)","AFFORDABLE UNITS IN MARKET-RATE BUILDING (50 OR 75 YEARS)","In Permitting","2021","1",,,,,,,,,,"4",,,,,,,,"1","3",,,,,"47.598991","-122.318201","2018-12-31T00:00:00.000"
"Avalon Apartments","3050 SW AVALON WAY","1","14","1","IZ PERFORMANCE (50 YEARS)","AFFORDABLE UNITS IN MARKET-RATE BUILDING (50 OR 75 YEARS)","Under Construction","2019","1",,,,,,,,,,"1",,,,,,,,,,,,,,"47.566324","-122.371961","2018-12-31T00:00:00.000"
"Beacon Station","2912 BEACON AVE S","2","66","14","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2021","1",,,,,,,"2",,"11",,"1",,,,,,,"2","11","1",,,,"47.577421","-122.310078","2018-12-31T00:00:00.000"
"Belmont Re-Entry (Pioneer Belmont)","1717 BELMONT AVE","3","89","89","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","In Permitting","2019","1",,"30",,,"37","22",,,,,,,,,"1",,,"89",,,,,,"47.616899","-122.32488","2018-12-31T00:00:00.000"
"Betula Apartments","355 15TH AVE","3","40","10","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,"7",,,"3",,,,,,,,,,"7","3",,,,,,"47.605969","-122.313108","2018-12-31T00:00:00.000"
"Bogtown Flats","9039 GREENWOOD AVE N","6","78","16","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2019","1",,,,,,,,,"15",,"1",,,,,,,,"15","1",,,,"47.695320","-122.355782","2018-12-31T00:00:00.000"
"Boren Ave Apartments","125 Boren Ave S","7","288","13","MPC-YT (50 YEARS)","AFFORDABLE UNITS IN MARKET-RATE BUILDING (50 OR 75 YEARS)","Under Construction","2021","1",,,,,,,,,,"13",,,,,,,,"2","9","2",,,,"47.601214","-122.317869","2018-12-31T00:00:00.000"
"Broadstone Saxton","1001 JAMES ST","3","325","65","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2019","1",,,,,,,,,,"65",,,,,,,,"7","46","12",,,,"47.606004","-122.323159","2018-12-31T00:00:00.000"
"Broadway TOD (Station House)","923 E JOHN ST","3","109","109","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","In Permitting","2020","1",,"8",,,"10","91",,,,,,,,,"1",,,"41","43","18","7",,,"47.619739","-122.319852","2018-12-31T00:00:00.000"
"Bryant Manor","1801 E YESLER WAY","3","95","95","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","In Permitting","2022","1",,"58",,,,,"2",,,"35",,,,,,,,,"35","24","22","14",,"47.601495","-122.308345","2018-12-31T00:00:00.000"
"Cadence 21","111 21ST AVE","3","29","8","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,,,,"8",,,,,,,,,,,"8",,,,,,"47.602027","-122.305339","2018-12-31T00:00:00.000"
"Center Steps","225 ROY ST","7","269","54","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2021","1",,,,,,,"15",,"29",,"10",,,,,,,"15","29","10",,,,"47.625284","-122.351787","2018-12-31T00:00:00.000"
"Centerline","6505 15TH AVE NE","4","235","48","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2019","1",,,,,,,"33",,"10",,"5",,,,,,,"33","10","5",,,,"47.676107","-122.312416","2018-12-31T00:00:00.000"
"Clement Place","931 N 96TH ST","5","100","100","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","Under Construction","2019","1",,"100",,,,,,,,,,,,,,,,"100",,,,,,"47.698465","-122.345866","2018-12-31T00:00:00.000"
"Columbia City Place","5201 RAINIER AVE S","2","108","22","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2019","1",,,,,,,"5",,"13",,"3","1",,,,,,"5","13","3","1",,,"47.555132","-122.283163","2018-12-31T00:00:00.000"
"Compass Broadview","147 N 132ND ST","5","58","58","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","Under Construction","2019","1",,"29",,,"29",,,,,,,,,,"1",,,"15","10","27","6",,,"47.724819","-122.356715","2018-12-31T00:00:00.000"
"Crown Hill Apartments","8541 15TH AVE NW","6","40","8","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2021","1",,,,"1",,,,,"6",,"1",,,,,,"1",,"6","1",,,,"47.691795","-122.377079","2018-12-31T00:00:00.000"
"EcoLuxe 2","6420 BROOKLYN AVE NE","5","41","9","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2021","1",,,,,,,"8",,"1",,,,,,,,,"8","1",,,,,"47.675568","-122.314038","2018-12-31T00:00:00.000"
"EcoLuxe 3","1403 NE 65TH ST","5","41","9","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,,,,"8",,"1",,,,,,,,,"8","1",,,,,"47.675591","-122.312899","2018-12-31T00:00:00.000"
"Encore Apartments","3010 1ST AVE","7","60","60","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","In Permitting","2020","1",,,,,,"60",,,,,,,,,,,,"13","47",,,,,"47.618137","-122.35391","2018-12-31T00:00:00.000"
"Eng House","1742 13TH AVE S","2","7","7","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","Under Construction","2019","1",,"7",,,,,,,,,,,,,"1","7",,,,,,,,"47.587209","-122.315678","2018-12-31T00:00:00.000"
"Federal 29","525 FEDERAL AVE E","3","29","6","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2021","1",,,,,,,,,,,"6",,,,,,,,,"6",,,,"47.623854","-122.319111","2018-12-31T00:00:00.000"
"Fifth & Roy","701 5TH AVE N","7","107","22","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2021","1",,,,,,,"1",,"19",,"2",,,,,,,"1","19","2",,,,"47.625683","-122.348067","2018-12-31T00:00:00.000"
"Filipino Community Village","5727 37TH AVE S","2","94","93","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","In Permitting","2021","1",,"24",,,"25","44",,,,,,,,,"1",,,"37","54","2",,,,"47.550403","-122.286456","2018-12-31T00:00:00.000"
"Fremont Apartments","106 N 36TH ST","4","37","8","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,,,,"1",,"6",,"1",,,,,,,"1","6","1",,,,"47.653145","-122.357416","2018-12-31T00:00:00.000"
"Gerrish Hall","1820 BOYLSTON AVE","3","55","11","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2019","1",,,,,,,,,"9",,"2",,,,,,,,"9","2",,,,"47.618220","-122.322979","2018-12-31T00:00:00.000"
"Hana","525 YESLER WAY","2","160","111","IZ PERFORMANCE (50 YEARS)","AFFORDABLE UNITS IN MARKET-RATE BUILDING (50 OR 75 YEARS)","Under Construction","2019","1",,,,,"16",,,,,"95",,,,,,,,"12","82","17",,,,"47.601371","-122.326866","2018-12-31T00:00:00.000"
"Harvard House","3120 HARVARD AVE E","3","32","8","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2021","1",,,,"8",,,,,,,,,,,,,"8",,,,,,,"47.649835","-122.321816","2018-12-31T00:00:00.000"
"Inhabit Rainier","700 RAINIER AVE S","3","129","26","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,,,,"18",,"4",,"4",,,,,,,"18","4","4",,,,"47.596506","-122.311263","2018-12-31T00:00:00.000"
"Interbay Apts (Sandbox)","3008 16TH AVE W","7","93","11","IZ PERFORMANCE (50 YEARS)","AFFORDABLE UNITS IN MARKET-RATE BUILDING (50 OR 75 YEARS)","In Permitting","2021","1",,,,"2",,,,,,"9",,,,,,,"1","3","6","1",,,,"47.646883","-122.377113","2018-12-31T00:00:00.000"
"Interbay Lofts Apartments","2235 15TH AVE W","7","47","12","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2021","1",,,,"2",,,"1",,"9",,,,,,,,"2","1","9",,,,,"47.639749","-122.376592","2018-12-31T00:00:00.000"
"Iron Flats","814 NE 66TH ST","4","289","40","IZ PERFORMANCE (50 YEARS)","AFFORDABLE UNITS IN MARKET-RATE BUILDING (50 OR 75 YEARS)","Under Construction","2021","1",,,,"2",,,,,,"38",,,,,,,"2","8","23","7",,,,"47.676762","-122.319177","2018-12-31T00:00:00.000"
"Jackson Apartments","2309 S JACKSON ST","3","532","107","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,,,,"6",,"89",,"10","2",,,,,,"6","89","10","2",,,"47.598807","-122.301888","2018-12-31T00:00:00.000"
"Jefferson Park Apartments","2902 BEACON AVE S","2","49","10","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,,,,"3",,"6",,"1",,,,,,,"3","6","1",,,,"47.577703","-122.310190","2018-12-31T00:00:00.000"
"Judkins Junction","2214 S JACKSON ST","3","74","74","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","Under Construction","2020","1",,,,,,"74",,,,,,,,,,,,"25","31","18",,,,"47.599455","-122.302474","2018-12-31T00:00:00.000"
"Junction Landing","4417 42ND AVE SW","1","62","13","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2021","1",,,,,,,"3",,"9",,"1",,,,,,,"3","9","1",,,,"47.564139","-122.385789","2018-12-31T00:00:00.000"
"K-Site","607 2ND AVE","7","91","91","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","In Permitting","2021","1",,"91",,,,,,,,,,,,,"1",,,"91",,,,,,"47.602382","-122.333076","2018-12-31T00:00:00.000"
"Lake City Townhomes","12535 35TH AVE NE","5","16","16","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","In Permitting","2021",,"1",,,,,,,,,"16",,,,,,,,,,,"16",,,"47.720418","-122.291059","2018-12-31T00:00:00.000"
"Lane Apartments","10702 5TH AVE NE","5","217","44","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2019","1",,,,,,,"7",,"30",,"7",,,,,,,"7","30","7",,,,"47.707585","-122.322271","2018-12-31T00:00:00.000"
"Leaf and Twig","3309 BEACON AVE S","2","18","5","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2019","1",,,,,,,,,"5",,,,,,,,,,"5",,,,,"47.573712","-122.309157","2018-12-31T00:00:00.000"
"Liberty Bank","2320 E UNION ST","3","115","114","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","Under Construction","2019","1",,"18",,,"10","86",,,,,,,,,"1",,,"25","74","15",,,,"47.613144","-122.301699","2018-12-31T00:00:00.000"
"Link Studios","2939 S MOUNT BAKER BLVD","2","60","60","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","Under Construction","2019","1",,,,"10","25","25",,,,,,,,,,,,"60",,,,,,"47.575637","-122.294352","2018-12-31T00:00:00.000"
"Little Saigon","1253 S JACKSON ST","3","69","69","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","In Permitting","2020","1",,,,,"15","54",,,,,,,,,"1",,,,"49","20",,,,"47.598876","-122.314934","2018-12-31T00:00:00.000"
"LIV Stone Way","4025 STONE WAY N","4","59","12","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,"2",,,"7",,"2",,"1",,,,,,"2","7","2","1",,,,"47.656142","-122.342608","2018-12-31T00:00:00.000"
"Louisa Hotel Apartments","665 S KING ST","2","84","21","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,,,,"16",,"5",,,,,,,,,"16","5",,,,,"47.597965","-122.323956","2018-12-31T00:00:00.000"
"Lucille","6717 ROOSEVELT WAY NE","4","106","7","IZ PERFORMANCE (50 YEARS)","AFFORDABLE UNITS IN MARKET-RATE BUILDING (50 OR 75 YEARS)","Under Construction","2020","1",,,,,,,,,,"7",,,,,,,,"1","5","1",,,,"47.677860","-122.317718","2018-12-31T00:00:00.000"
"Luna","2749 CALIFORNIA AVE SW","1","108","27","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,"4",,,"23",,,,,,,,,,"4","23",,,,,,"47.577745","-122.387041","2018-12-31T00:00:00.000"
"Maddux, The","2802 S MCCLELLAN ST","2","165","165","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","In Permitting","2020","1",,,,,"20","145",,,,,,,,,,,,"97","11","47","10",,,"47.578478","-122.295959","2018-12-31T00:00:00.000"
"Madison, The","823 MADISON ST","7","73","73","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","Under Construction","2019","1",,,,,"23","50",,,,,,,,,,,,"12","61",,,,,"47.608252","-122.327426","2018-12-31T00:00:00.000"
"Mercy Magnuson Place","7101 62ND AVE NE","4","148","148","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","Under Construction","2019","1",,"20",,,"20","108",,,,,,,,,,,,"32","47","60","9",,,"47.680574","-122.262855","2018-12-31T00:00:00.000"
"Meter at Green Lake","417 NE 73RD ST","6","45","12","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,"3",,,"6",,"3",,,,,,,,"3","6","3","0",,,,"47.681080","-122.324562","2018-12-31T00:00:00.000"
"Metro Line Flats","915 E SPRUCE ST","3","72","2","IZ PERFORMANCE (50 YEARS)","AFFORDABLE UNITS IN MARKET-RATE BUILDING (50 OR 75 YEARS)","Under Construction","2020","1",,,,,"2",,,,,,,,,,,,,"2",,,,,,"47.603380","-122.319947","2018-12-31T00:00:00.000"
"Mid-Block Apartments","8820 AURORA AVE N","6","27","7","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2019","1",,,,,,,"7",,,,,,,,,,,"7",,,,,,"47.693253","-122.343671","2018-12-31T00:00:00.000"
"Modera Broadway North","1812 BROADWAY","3","133","27","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2021","1",,,,,,,"6",,"18",,"3",,,,,,,"6","18","3",,,,"47.617955","-122.320521","2018-12-31T00:00:00.000"
"Modera Broadway South","1732 BROADWAY","3","85","17","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2021","1",,,,,,,"1",,"13",,"3",,,,,,,"1","13","3",,,,"47.617329","-122.320553","2018-12-31T00:00:00.000"
"Mt Baker Family Housing","2870 S HANFORD ST","2","95","94","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","Under Construction","2019","1",,"47",,,,"47",,,,,,,,,"1",,,,"36","41","17",,,"47.574971","-122.296265","2018-12-31T00:00:00.000"
"Mysa","3025 NE 130TH ST","2","117","24","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2021","1",,,,,,,"12",,"7",,"3","2",,,,,,"12","7","3","2",,,"47.722388","-122.295166","2018-12-31T00:00:00.000"
"Northaven III","11045 8TH AVE NE","5","85","85","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","In Permitting","2021","1",,"21",,,"43","21",,,,,,,,,,,,"65","20",,,,,"47.709781","-122.321562","2018-12-31T00:00:00.000"
"Northgate 3","10711 8TH AVE NE","5","135","27","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2020","1",,,,,,,"17",,"9",,"1",,,,,,,"17","9","1",,,,"47.707091","-122.321108","2018-12-31T00:00:00.000"
"Othello Apartments","7339 43RD AVE S","2","94","19","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2019","1",,,,,,,"19",,,,,,,,,,,"19",,,,,,"47.535925","-122.279801","2018-12-31T00:00:00.000"
"Othello Park","7345 43RD AVE S","2","93","92","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","In Permitting","2021","1",,"4",,,"11","77",,,,,,,,,"1",,,,"35","36","21",,,"47.535794","-122.279761","2018-12-31T00:00:00.000"
"Othello Square","7343 MARTIN LUTHER KING JR WAY S","2","68","68","CITY FUNDED (MINIMUM 50 YEARS)","CITY FUNDED (MINIMUM 50 YEARS)","In Permitting","2020",,"1",,,,,,,,,"68",,,,,,,,,"24","36","8",,,"47.535793","-122.281204","2018-12-31T00:00:00.000"
"Othello Station Building C","3939 S OTHELLO ST","2","176","36","MFTE (UP TO 12 YEARS)","MFTE: MULTIFAMILY PROPERTY TAX EXEMPTION (UP TO 12 YEARS)","Application Submitted","2021","1",,,,,,,"19",,"9",,"6","2",,,,,,"19","9","6","2",,,"47.536820","-122.282362","2018-12-31T00:00:00.000"
