"status","actioncategory","recvddate","recvdtime","dateresolv","timeresolv","actualhrs","measure","unit","company","department","ticketnumber","green","yellow","red","endofmth","htcodesat","valuegreen","valueyellow","valuered"
"Green","Networking - VPN Access for CoS Employee","2016-03-15T00:00:00.000","09:09:00","2016-03-16T00:00:00.000","09:19:30","10.18","3","Day","DoIT","Personnel Department","1608156","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-15T00:00:00.000","15:42:00","2016-03-15T00:00:00.000","15:51:44","0.16","3","Day","DoIT","Executive Departments","1608572","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-16T00:00:00.000","14:59:00","2016-03-17T00:00:00.000","09:38:45","4.66","3","Day","DOIT","Executive Departments","1609143","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-16T00:00:00.000","15:38:00","2016-03-18T00:00:00.000","13:19:36","15.69","3","Day","DoIT","Executive Departments","1609188","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-17T00:00:00.000","14:14:00","2016-03-22T00:00:00.000","09:39:53","21.43","3","Day","DoIT","Seattle Department of Transportation","1609666","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-18T00:00:00.000","11:24:00","2016-03-22T00:00:00.000","09:24:49","16.01","3","Day","DoIT","Human Services Department","1610147","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-18T00:00:00.000","12:05:00","2016-03-18T00:00:00.000","14:32:27","2.46","3","Day","DoIT","Human Services Department","1610196","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-21T00:00:00.000","11:17:00","2016-03-21T00:00:00.000","15:59:20","4.71","3","Day","DoIT","Human Services Department","1610674","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-21T00:00:00.000","13:58:00","2016-03-21T00:00:00.000","15:58:56","2.02","3","Day","DoIT","Human Services Department","1610808","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-22T00:00:00.000","14:15:00","2016-03-23T00:00:00.000","09:43:19","5.47","3","Day","DoIT","Department of Planning & Dev","1611428","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Red","Networking - VPN Access for CoS Employee","2016-03-22T00:00:00.000","14:26:00","2016-03-30T00:00:00.000","14:39:20","50.22","3","Day","DoIT","Department of Planning & Dev","1611444","0","0","1","2016-03-31T00:00:00.000","DCSD_NewVPN",,"0","36"
"Yellow","Networking - VPN Access for CoS Employee","2016-03-22T00:00:00.000","15:46:06","2016-03-29T00:00:00.000","08:22:58","34.61","3","Day","DOIT","Information Technology Department","1611515","0","1","0","2016-03-31T00:00:00.000","DCSD_NewVPN",,"24","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-22T00:00:00.000","16:01:00","2016-03-23T00:00:00.000","10:25:01","4.40","3","Day","DoIT","Information Technology Department","1611528","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-22T00:00:00.000","16:03:00","2016-03-23T00:00:00.000","10:26:57","4.40","3","Day","DoIT","Information Technology Department","1611529","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-23T00:00:00.000","08:01:53","2016-03-23T00:00:00.000","15:56:52","7.92","3","Day","DoIT","Finance and Administrative Services","1611637","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-23T00:00:00.000","10:06:00","2016-03-23T00:00:00.000","11:05:12","0.99","3","Day","DoIT","Finance and Administrative Services","1611800","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-23T00:00:00.000","10:09:00","2016-03-23T00:00:00.000","11:09:18","1.01","3","Day","DoIT","Finance and Administrative Services","1611808","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-24T00:00:00.000","07:29:00","2016-03-24T00:00:00.000","08:13:50","0.75","3","Day","DoIT","Information Technology Department","1612237","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-28T00:00:00.000","11:37:00","2016-03-28T00:00:00.000","13:12:46","1.60","3","Day","DoIT","Seattle Department of Transportation","1613815","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-29T00:00:00.000","09:52:00","2016-03-29T00:00:00.000","10:48:50","0.95","3","Day","DoIT","Seattle Department of Transportation","1614269","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-29T00:00:00.000","15:49:00","2016-03-30T00:00:00.000","09:29:30","3.68","3","Day","DoIT","Department of Planning & Dev","1614591","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-30T00:00:00.000","12:47:00","2016-03-30T00:00:00.000","14:38:04","1.85","3","Day","DoIT","Seattle Department of Transportation","1615054","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-31T00:00:00.000","14:40:00","2016-03-31T00:00:00.000","15:03:41","0.39","3","Day","DoIT","Executive Departments","1615755","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for CoS Employee","2016-03-31T00:00:00.000","14:46:00","2016-03-31T00:00:00.000","15:27:10","0.69","3","Day","DoIT","City Finance Office","1615761","1","0","0","2016-03-31T00:00:00.000","DCSD_NewVPN","24","0","0"
"Green","Networking - VPN Access for Vendor","2016-03-09T00:00:00.000","11:44:00","2016-03-14T00:00:00.000","16:01:32","30.29","7","Day","DOIT","Information Technology Department","1605829","1","0","0","2016-03-31T00:00:00.000","DCSD_VenVPN","56","0","0"
"Green","Networking - VPN Access for Vendor","2016-03-10T00:00:00.000","15:30:00","2016-03-11T00:00:00.000","11:38:07","6.14","7","Day","DOIT","Information Technology Department","1606828","1","0","0","2016-03-31T00:00:00.000","DCSD_VenVPN","56","0","0"
"Green","Networking - VPN Access for Vendor","2016-03-23T00:00:00.000","11:32:00","2016-03-30T00:00:00.000","07:57:16","38.42","7","Day","DoIT","Human Services Department","1611909","1","0","0","2016-03-31T00:00:00.000","DCSD_VenVPN","56","0","0"
"Green","Networking - VPN Access for Vendor","2016-03-23T00:00:00.000","11:31:00","2016-03-30T00:00:00.000","07:56:40","38.43","7","Day","DoIT","Human Services Department","1611910","1","0","0","2016-03-31T00:00:00.000","DCSD_VenVPN","56","0","0"
"Green","Networking - VPN Access for Vendor","2016-03-24T00:00:00.000","08:10:00","2016-03-25T00:00:00.000","15:51:27","17.69","7","Day","DoIT","Municipal Court","1612269","1","0","0","2016-03-31T00:00:00.000","DCSD_VenVPN","56","0","0"
"Red","Storage - Storage Expansion","2016-03-10T00:00:00.000","07:03:00","2016-03-10T00:00:00.000","14:09:38","7.11","4","Hour","DOIT","Seattle Department of Transportation","1606191","0","0","1","2016-03-31T00:00:00.000","DCSTO_StorExpand",,"0","6"
"Red","Virtual Hosting - New Virtual Server","2016-03-07T00:00:00.000","12:38:00","2016-03-16T00:00:00.000","16:30:02","61.87","5","Day","DoIT","Law Department","1604574","0","0","1","2016-03-31T00:00:00.000","DCVH_NewVMachin",,"0","60"
"Red","Virtual Hosting - New Virtual Server","2016-03-07T00:00:00.000","12:40:00","2016-03-16T00:00:00.000","16:30:58","61.85","5","Day","DoIT","Law Department","1604578","0","0","1","2016-03-31T00:00:00.000","DCVH_NewVMachin",,"0","60"
"Green","Virtual Hosting - New Virtual Server","2016-03-28T00:00:00.000","07:00:00","2016-03-28T00:00:00.000","07:00:00","0.00","5","Day","SCL","City Light","1614071","1","0","0","2016-03-31T00:00:00.000","DCVH_NewVMachin","40","0","0"
"Green","Virtual Hosting and Support - New Virtual Server","2016-03-08T00:00:00.000","12:16:00","2016-03-08T00:00:00.000","12:39:02","0.38","1","Day","DOIT","Information Technology Department","1605156","1","0","0","2016-03-31T00:00:00.000","DCVHS_NewVMachin","40","0","0"
