"rowid","account","month","year","activity_date","page_title","pageviews","unique_pageviews","average_time_on_page","entrances","bounce_rate_percent","exit_percent","users","new_users","sessions","city","network_location","browser","device_category","region","avg_session_duration"
"2019-01-24@Mesa Free WiFi | City of Mesa44","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-24T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","Mesa","mci communications services inc. d/b/a verizon bus","Chrome","mobile","Arizona","0"
"2019-01-25@Mesa Free WiFi | City of Mesa45","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-25T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","1102","1","0","0","1","1","1","Los Angeles","at&amp;t mobility llc","Chrome","mobile","California","1143"
"2019-01-25@Mesa Free WiFi | City of Mesa46","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-25T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","83","1","0","0","1","0","1","Mesa","cox communications","Chrome","mobile","Arizona","377"
"2019-01-26@Mesa Free WiFi | City of Mesa47","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-26T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","San Diego","cellco partnership dba verizon wireless","Safari","mobile","California","0"
"2019-01-26@Mesa Free WiFi | City of Mesa48","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-26T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","0","1","Mesa","city of mesa","Internet Explorer","desktop","Arizona","0"
"2019-01-27@Mesa Free WiFi | City of Mesa49","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-27T00:00:00.000","@Mesa Free WiFi | City of Mesa","2","2","0","2","100","100","1","1","2","Phoenix","cellco partnership dba verizon wireless","Chrome","mobile","Arizona","0"
"2019-01-28@Mesa Free WiFi | City of Mesa50","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-28T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","Regina","saskatchewan telecommunications","Safari","mobile","Saskatchewan","0"
"2019-01-28@Mesa Free WiFi | City of Mesa51","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-28T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","San Diego","sprint anaheim pop","Chrome","mobile","California","0"
"2019-01-30@Mesa Free WiFi | City of Mesa52","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-30T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","Mesa","cox communications","Chrome","mobile","Arizona","0"
"2019-01-30@Mesa Free WiFi | City of Mesa53","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-30T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","San Diego","t-mobile usa inc.","Safari","mobile","California","0"
"2019-01-31@Mesa Free WiFi | City of Mesa54","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-31T00:00:00.000","@Mesa Free WiFi | City of Mesa","1","1","0","1","100","100","1","1","1","Los Angeles","at&amp;t mobility llc","Safari","mobile","California","0"
"2019-01-31@Mesa Free WiFi | City of Mesa55","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-31T00:00:00.000","@Mesa Free WiFi | City of Mesa","6","1","26","1","0","0","1","0","1","Mesa","city of mesa","Chrome","tablet","Arizona","154"
"2019-01-12#OptOutside for Black Friday | News | City of Mesa56","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-12T00:00:00.000","#OptOutside for Black Friday | News | City of Mesa","1","1","11","0","0","0","1","0","0","Mesa","cox communications","Firefox","desktop","Arizona","0"
"2019-01-01| City of Mesa57","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-01T00:00:00.000","| City of Mesa","1","1","0","0","0","100","1","0","0","Midland","4pairless communications","Chrome","desktop","Ontario","0"
"2019-01-01| City of Mesa58","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-01T00:00:00.000","| City of Mesa","1","1","0","1","100","100","1","0","1","Phoenix","cellco partnership dba verizon wireless","Chrome","mobile","Arizona","0"
"2019-01-01| City of Mesa59","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-01T00:00:00.000","| City of Mesa","1","1","0","1","100","100","1","1","1","Phoenix","cellco partnership dba verizon wireless","Safari","mobile","Arizona","0"
"2019-01-01| City of Mesa60","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-01T00:00:00.000","| City of Mesa","2","2","0","1","100","100","2","1","1","Phoenix","centurylink communications llc","Chrome","mobile","Arizona","0"
"2019-01-01| City of Mesa61","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-01T00:00:00.000","| City of Mesa","2","2","10","1","0","0","2","0","1","Phoenix","centurylink communications llc","Safari","mobile","Arizona","112"
"2019-01-01| City of Mesa62","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-01T00:00:00.000","| City of Mesa","1","1","728","0","0","0","1","0","0","Chandler","cox communications","Chrome","desktop","Arizona","0"
"2019-01-01| City of Mesa63","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-01T00:00:00.000","| City of Mesa","1","1","0","1","100","100","1","0","1","Mesa","cox communications inc.","Chrome","desktop","Arizona","0"
"2019-01-01| City of Mesa64","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-01T00:00:00.000","| City of Mesa","1","1","0","0","0","100","1","0","0","Mesa","cox communications inc.","Safari","mobile","Arizona","0"
"2019-01-01| City of Mesa65","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-01T00:00:00.000","| City of Mesa","1","1","11","1","0","0","1","0","1","Tempe","cox communications inc.","Safari","mobile","Arizona","11"
"2019-01-01| City of Mesa66","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-01T00:00:00.000","| City of Mesa","1","1","0","0","0","100","1","0","0","Gilbert","cox communications inc.","Safari (in-app)","mobile","Arizona","0"
"2019-01-01| City of Mesa67","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-01T00:00:00.000","| City of Mesa","1","1","0","1","100","100","1","1","1","Glendale","cox communications inc.","Samsung Internet","mobile","Arizona","0"
"2019-01-01| City of Mesa68","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-01T00:00:00.000","| City of Mesa","1","1","0","1","100","100","1","1","1","Mesa","cox communications inc.","Samsung Internet","mobile","Arizona","0"
"2019-01-01| City of Mesa69","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-01T00:00:00.000","| City of Mesa","1","1","38","0","0","0","1","0","0","Phoenix","hughes network systems","Chrome","desktop","Arizona","0"
"2019-01-01| City of Mesa70","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-01T00:00:00.000","| City of Mesa","23","23","0","23","100","100","23","23","23","Chicago","microsoft corporation","Internet Explorer","desktop","Illinois","0"
"2019-01-01| City of Mesa71","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-01T00:00:00.000","| City of Mesa","1","1","9","0","0","0","1","0","0","Winnipeg","shaw communications inc.","Safari","tablet","Manitoba","0"
"2019-01-01| City of Mesa72","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-01T00:00:00.000","| City of Mesa","1","1","0","1","100","100","1","1","1","Phoenix","t-mobile usa inc.","Samsung Internet","mobile","Arizona","0"
"2019-01-01| City of Mesa73","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-01T00:00:00.000","| City of Mesa","1","1","9","0","0","0","1","0","0","Portland","t-mobile usa inc.","Chrome","mobile","Oregon","0"
"2019-01-01| City of Mesa74","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-01T00:00:00.000","| City of Mesa","1","1","0","1","100","100","1","1","1","Surrey","telus-hsia-lnglbc01","Chrome","tablet","British Columbia","0"
"2019-01-01| City of Mesa75","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-01T00:00:00.000","| City of Mesa","1","1","0","1","100","100","1","1","1","Paddock Lake","time warner cable internet llc","Chrome","mobile","Wisconsin","0"
"2019-01-02| City of Mesa76","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","2","1","12","1","0","0","1","0","1","Tempe","arizona state university","Opera","desktop","Arizona","24"
"2019-01-02| City of Mesa77","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","2","2","340","0","0","0","1","0","0","Phoenix","barrows neurological insttute","Internet Explorer","desktop","Arizona","0"
"2019-01-02| City of Mesa78","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","12","1","0","0","1","1","1","Dallas","brinker international payroll","Internet Explorer","desktop","Texas","12"
"2019-01-02| City of Mesa79","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","0","1","100","100","1","1","1","Phoenix","cellco partnership dba verizon wireless","Internet Explorer","desktop","Arizona","0"
"2019-01-02| City of Mesa80","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","2","1","22","1","0","0","1","0","1","Tempe","cellco partnership dba verizon wireless","Safari","mobile","Arizona","128"
"2019-01-02| City of Mesa81","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","0","0","0","100","1","0","0","Chandler","centurylink communications llc","Chrome","desktop","Arizona","0"
"2019-01-02| City of Mesa82","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","0","1","100","100","1","1","1","Mesa","centurylink communications llc","Edge","desktop","Arizona","0"
"2019-01-02| City of Mesa83","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","0","0","0","100","1","0","0","Chandler","centurylink communications llc","Internet Explorer","desktop","Arizona","0"
"2019-01-02| City of Mesa84","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","0","0","0","100","1","0","0","Glendale","centurylink communications llc","Safari","desktop","Arizona","0"
"2019-01-02| City of Mesa85","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","67","0","0","0","1","0","0","Logan","centurylink communications llc","Chrome","desktop","Utah","0"
"2019-01-02| City of Mesa86","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","2","2","2","1","100","50","2","0","1","Mesa","city of mesa","Chrome","desktop","Arizona","0"
"2019-01-02| City of Mesa87","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","3","3","100","1","100","33.33","3","0","1","Mesa","city of mesa","Internet Explorer","desktop","Arizona","0"
"2019-01-02| City of Mesa88","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","2","2","414","0","0","0","2","0","0","Mesa","cox communications","Chrome","desktop","Arizona","0"
"2019-01-02| City of Mesa89","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","0","0","0","100","1","0","0","Scottsdale","cox communications","Chrome","desktop","Arizona","0"
"2019-01-02| City of Mesa90","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","52","1","0","0","1","0","1","Sierra Vista","cox communications","Edge","desktop","Arizona","325"
"2019-01-02| City of Mesa91","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","7","0","0","0","1","0","0","Mesa","cox communications","Chrome","mobile","Arizona","0"
"2019-01-02| City of Mesa92","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","0","1","100","100","1","1","1","Chandler","cox communications inc.","Chrome","desktop","Arizona","0"
"2019-01-02| City of Mesa93","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","7","6","108","4","25","42.86","6","1","4","Mesa","cox communications inc.","Chrome","desktop","Arizona","112.5"
"2019-01-02| City of Mesa94","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","43","1","0","0","1","0","1","Phoenix","cox communications inc.","Chrome","desktop","Arizona","74"
"2019-01-02| City of Mesa95","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","3","0","0","0","1","0","0","Scottsdale","cox communications inc.","Chrome","desktop","Arizona","0"
"2019-01-02| City of Mesa96","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","0","0","0","100","1","0","0","Mesa","cox communications inc.","Safari","desktop","Arizona","0"
"2019-01-02| City of Mesa97","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","6","0","0","0","1","0","0","Mesa","cox communications inc.","Chrome","mobile","Arizona","0"
"2019-01-02| City of Mesa98","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","0","1","100","100","1","1","1","Mesa","cox communications inc.","Safari","mobile","Arizona","0"
"2019-01-02| City of Mesa99","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","3","1","15","0","0","0","1","0","0","Mesa","cox communications inc.","Amazon Silk","tablet","Arizona","0"
"2019-01-02| City of Mesa100","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","0","1","100","100","1","1","1","Glendale","csaa insurance exchange","Chrome","desktop","Arizona","0"
"2019-01-02| City of Mesa101","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","0","0","0","100","1","0","0","Lenexa","j. c. penney company inc.","Chrome","desktop","Kansas","0"
"2019-01-02| City of Mesa102","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","13","1","0","0","1","0","1","New York","jpmorgan chase & co.","Internet Explorer","desktop","New York","13"
"2019-01-02| City of Mesa103","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","27","27","0","27","100","100","27","27","27","Chicago","microsoft corporation","Internet Explorer","desktop","Illinois","0"
"2019-01-02| City of Mesa104","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","0","1","100","100","1","1","1","La Canada Flintridge","national aeronautics and space administration","Chrome","desktop","California","0"
"2019-01-02| City of Mesa105","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","82","0","0","0","1","0","0","Makati","pldt_mgohme60i01_dhcp","Chrome","desktop","Metro Manila","0"
"2019-01-02| City of Mesa106","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","8","1","0","0","1","1","1","New York","psinet inc.","Chrome","desktop","New York","495"
"2019-01-02| City of Mesa107","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","2","1","18","0","0","50","1","0","0","Phoenix","salt river project agricultural improvement and po","Chrome","desktop","Arizona","0"
"2019-01-02| City of Mesa108","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","0","0","0","100","1","0","0","Phoenix","sprint phoenix pop","Safari","mobile","Arizona","0"
"2019-01-02| City of Mesa109","City Of Mesa","2019-01-01T00:00:00.000","2019","2019-01-02T00:00:00.000","| City of Mesa","1","1","0","1","100","100","1","1","1","Phoenix","t-mobile usa inc.","Safari","mobile","Arizona","0"
