"rowid","date","calendar_year","fiscal_year","month","day","day_of_week","sunrise","sunset","cart_rentals","cart_revenue","club_rentals","club_revenue","food_and_beverage","green_fees","merchandise_revenue","range_sales","rounds_possible","round_capacity","rounds_played","total_revenue","revenue_round"
"91","2021-07-19T00:00:00.000","2021","FY21-22","July","19","Monday","05:31:31","19:35:50",,,,"220","1829","4532","1408","1563","396","0.533","211","9552","45.27"
"92","2021-07-20T00:00:00.000","2021","FY21-22","July","20","Tuesday","05:32:10","19:35:17",,,,"40","2196","5080","557","1201","392","0.577","226","9074","40.15"
"93","2021-07-21T00:00:00.000","2021","FY21-22","July","21","Wednesday","05:32:50","19:34:43",,,,"70","1880","3932","549","1579","392","0.518","203","8010","39.46"
"94","2021-07-22T00:00:00.000","2021","FY21-22","July","22","Thursday","05:33:30","19:34:08",,,,"80","2419","4698","422","1602","392","0.633","248","9221","37.18"
"95","2021-07-23T00:00:00.000","2021","FY21-22","July","23","Friday","05:34:10","19:33:31",,,,"10","1848","3955","274","1269","392","0.401","157","7356","46.85"
"96","2021-07-24T00:00:00.000","2021","FY21-22","July","24","Saturday","05:34:50","19:32:52",,,,"100","2698","5729","933","2725","392","0.61","239","12185","50.98"
"97","2021-07-25T00:00:00.000","2021","FY21-22","July","25","Sunday","05:35:31","19:32:12",,,,"30","4455","8412","1806","2109","392","0.809","317","16812","53.03"
"98","2021-07-26T00:00:00.000","2021","FY21-22","July","26","Monday","05:36:12","19:31:31",,,,"60","1174","2893","688","1705","388","0.384","149","6520","43.76"
"99","2021-07-27T00:00:00.000","2021","FY21-22","July","27","Tuesday","05:36:54","19:30:48",,,,"0","1951","3575","583","1582","388","0.469","182","7691","42.26"
"100","2021-07-28T00:00:00.000","2021","FY21-22","July","28","Wednesday","05:37:35","19:30:04",,,,"65","1897","4582","877","1938","388","0.575","223","9359","41.97"
"101","2021-07-29T00:00:00.000","2021","FY21-22","July","29","Thursday","05:38:17","19:29:18",,,,"0","3376","5499","1183","2282","388","0.706","274","12340","45.04"
"102","2021-07-30T00:00:00.000","2021","FY21-22","July","30","Friday","05:38:59","19:28:31",,,,"20","4326","7232","1355","2055","388","0.686","266","14988","56.35"
"103","2021-07-31T00:00:00.000","2021","FY21-22","July","31","Saturday","05:39:40","19:27:43",,,,"49","7260","8958","604","2146","388","0.82","318","19017","59.8"
"104","2021-08-01T00:00:00.000","2021","FY21-22","August","1","Sunday","05:40:23","19:26:53",,,,"20","3337","8254","615","1633","384","0.781","300","13859","46.2"
"105","2021-08-02T00:00:00.000","2021","FY21-22","August","2","Monday","05:41:05","19:26:02",,,,"10","1617","3384","640","1049","384","0.453","174","6700","38.51"
"106","2021-08-03T00:00:00.000","2021","FY21-22","August","3","Tuesday","05:41:47","19:25:10",,,,"0","1780","3904","942","1589","384","0.523","201","8215","40.87"
"107","2021-08-04T00:00:00.000","2021","FY21-22","August","4","Wednesday","05:42:29","19:24:16",,,,"120","1466","3880","813","1639","384","0.547","210","7918","37.7"
"108","2021-08-05T00:00:00.000","2021","FY21-22","August","5","Thursday","05:43:12","19:23:21",,,,"10","2724","5255","1666","1653","384","0.698","268","11308","42.19"
"109","2021-08-06T00:00:00.000","2021","FY21-22","August","6","Friday","05:43:54","19:22:25",,,,"10","3741","7395","1010","1530","380","0.784","298","13686","45.93"
"110","2021-08-07T00:00:00.000","2021","FY21-22","August","7","Saturday","05:44:36","19:21:28",,,,"10","4551","8442","859","1584","380","0.779","296","15446","52.18"
"111","2021-08-08T00:00:00.000","2021","FY21-22","August","8","Sunday","05:45:19","19:20:30",,,,"10","4316","8297","1800","2019","380","0.797","303","16442","54.26"
"112","2021-08-09T00:00:00.000","2021","FY21-22","August","9","Monday","05:46:01","19:19:30",,,,"105","2164","5424","753","2168","380","0.737","280","10614","37.91"
"113","2021-08-10T00:00:00.000","2021","FY21-22","August","10","Tuesday","05:46:43","19:18:29",,,,"70","2233","4047","857","1913","380","0.55","209","9120","43.64"
"114","2021-08-11T00:00:00.000","2021","FY21-22","August","11","Wednesday","05:47:25","19:17:28",,,,"10","2504","4792","1521","2312","376","0.62","233","11139","47.81"
"115","2021-08-12T00:00:00.000","2021","FY21-22","August","12","Thursday","05:48:08","19:16:25",,,,"0","3707","5503","1279","1841","376","0.782","294","12330","41.94"
"116","2021-08-13T00:00:00.000","2021","FY21-22","August","13","Friday","05:48:50","19:15:21",,,,"240","4513","9048","1457","1900","376","0.88","331","17158","51.84"
"117","2021-08-14T00:00:00.000","2021","FY21-22","August","14","Saturday","05:49:32","19:14:16",,,,"60","3459","7875","922","1681","376","0.739","278","13997","50.35"
"118","2021-08-15T00:00:00.000","2021","FY21-22","August","15","Sunday","05:50:14","19:13:10",,,,"30","4313","8923","1286","1766","372","0.879","327","16318","49.9"
"119","2021-08-16T00:00:00.000","2021","FY21-22","August","16","Monday","05:50:56","19:12:04",,,,"125","1938","4592","1107","2297","372","0.559","208","10059","48.36"
"120","2021-08-17T00:00:00.000","2021","FY21-22","August","17","Tuesday","05:51:38","19:10:56",,,,"160","1736","4479","962","1133","372","0.562","209","8470","40.53"
"121","2021-08-18T00:00:00.000","2021","FY21-22","August","18","Wednesday","05:52:19","19:09:47",,,,"50","2182","4164","759","1489","372","0.57","212","8644","40.77"
"122","2021-08-19T00:00:00.000","2021","FY21-22","August","19","Thursday","05:53:01","19:08:38",,,,"0","3880","5707","482","2602","368","0.807","297","12671","42.66"
"123","2021-08-20T00:00:00.000","2021","FY21-22","August","20","Friday","05:53:42","19:07:28",,,,"50","4000","7405","901","1664","368","0.783","288","14020","48.68"
"124","2021-08-21T00:00:00.000","2021","FY21-22","August","21","Saturday","05:54:24","19:06:17",,,,"100","3940","9516","1007","2176","368","0.834","307","16739","54.52"
"125","2021-08-22T00:00:00.000","2021","FY21-22","August","22","Sunday","05:55:05","19:05:05",,,,"0","3795","8539","2031","1769","368","0.807","297","16134","54.32"
"126","2021-08-23T00:00:00.000","2021","FY21-22","August","23","Monday","05:55:46","19:03:52",,,,"0","1573","3168","1669","1578","368","0.465","171","7988","46.71"
"127","2021-08-24T00:00:00.000","2021","FY21-22","August","24","Tuesday","05:56:27","19:02:38",,,,"30","2537","4150","933","1509","364","0.538","196","9159","46.73"
"128","2021-08-25T00:00:00.000","2021","FY21-22","August","25","Wednesday","05:57:08","19:01:24",,,,"130","2522","4104","522","1846","364","0.527","192","9124","47.52"
"129","2021-08-26T00:00:00.000","2021","FY21-22","August","26","Thursday","05:57:49","19:00:10",,,,"10","2822","4796","1111","1864","364","0.591","215","10603","49.32"
"130","2021-08-27T00:00:00.000","2021","FY21-22","August","27","Friday","05:58:30","18:58:54",,,,"50","3990","7115","549","1518","364","0.775","282","13222","46.89"
"131","2021-08-28T00:00:00.000","2021","FY21-22","August","28","Saturday","05:59:10","18:57:38",,,,"85","3906","8256","1368","1771","360","0.797","287","15386","53.61"
"132","2021-08-29T00:00:00.000","2021","FY21-22","August","29","Sunday","05:59:51","18:56:21",,,,"130","4598","6471","743","1780","360","0.647","233","13722","58.89"
"133","2021-08-30T00:00:00.000","2021","FY21-22","August","30","Monday","06:00:31","18:55:04",,,,"0","1874","3861","1674","1158","360","0.533","192","8567","44.62"
"134","2021-08-31T00:00:00.000","2021","FY21-22","August","31","Tuesday","06:01:12","18:53:46",,,,"0","2168","4212","864","1022","360","0.536","193","8266","42.83"
"135","2021-09-01T00:00:00.000","2021","FY21-22","September","1","Wednesday","06:01:52","18:52:28",,,,"25","1851","5152","808","2283","356","0.593","211","10119","47.96"
"136","2021-09-02T00:00:00.000","2021","FY21-22","September","2","Thursday","06:02:32","18:51:09",,,,"85","4059","7623","1229","1331","356","0.643","229","14327","62.56"
"137","2021-09-03T00:00:00.000","2021","FY21-22","September","3","Friday","06:03:12","18:49:50",,,,"150","5041","10482","686","2076","356","0.899","320","18435","57.61"
"138","2021-09-04T00:00:00.000","2021","FY21-22","September","4","Saturday","06:03:52","18:48:30",,,,"40","5494","10070","2633","1505","356","0.857","305","19742","64.73"
"139","2021-09-05T00:00:00.000","2021","FY21-22","September","5","Sunday","06:04:32","18:47:10",,,,"50","3698","9291","720","1468","352","0.756","266","15227","57.24"
"140","2021-09-06T00:00:00.000","2021","FY21-22","September","6","Monday","06:05:12","18:45:49",,,,"140","1461","10360","1133","2627","352","0.889","313","15721","50.23"
"141","2021-09-07T00:00:00.000","2021","FY21-22","September","7","Tuesday","06:05:52","18:44:29",,,,"10","2364","5045","718","1347","352","0.472","166","9484","57.13"
"142","2021-09-08T00:00:00.000","2021","FY21-22","September","8","Wednesday","06:06:32","18:43:07",,,,"0","1951","4965","2127","1514","352","0.628","221","10557","47.77"
"143","2021-09-09T00:00:00.000","2021","FY21-22","September","9","Thursday","06:07:12","18:41:46",,,,"10","2790","5545","763","1007","348","0.618","215","10115","47.05"
"144","2021-09-10T00:00:00.000","2021","FY21-22","September","10","Friday","06:07:52","18:40:24",,,,"260","5106","9475","1592","1568","348","0.868","302","18001","59.61"
"145","2021-09-11T00:00:00.000","2021","FY21-22","September","11","Saturday","06:08:31","18:39:02",,,,"70","6412","9330","1193","2109","348","0.799","278","19114","68.76"
"146","2021-09-12T00:00:00.000","2021","FY21-22","September","12","Sunday","06:09:11","18:37:40",,,,"22","4269","6710","518","1913","348","0.667","232","13432","57.9"
"147","2021-09-13T00:00:00.000","2021","FY21-22","September","13","Monday","06:09:51","18:36:18",,,,"0","1725","5998","225","888","344","0.561","193","8836","45.78"
"148","2021-09-14T00:00:00.000","2021","FY21-22","September","14","Tuesday","06:10:31","18:34:55",,,,"0","2069","5166","462","1693","344","0.587","202","9390","46.49"
"149","2021-09-15T00:00:00.000","2021","FY21-22","September","15","Wednesday","06:11:11","18:33:32",,,,"50","2791","5297","1045","2044","344","0.651","224","11227","50.12"
"150","2021-09-16T00:00:00.000","2021","FY21-22","September","16","Thursday","06:11:51","18:32:10",,,,"0","3230","7192","750","1564","344","0.709","244","12736","52.2"
"151","2021-09-17T00:00:00.000","2021","FY21-22","September","17","Friday","06:12:31","18:30:47",,,,"130","5993","10456","1614","2305","340","0.974","331","20498","61.93"
"152","2021-09-18T00:00:00.000","2021","FY21-22","September","18","Saturday","06:13:11","18:29:24",,,,"0","5579","6934","833","1489","340","0.621","211","14835","70.31"
"153","2021-09-19T00:00:00.000","2021","FY21-22","September","19","Sunday","06:13:51","18:28:01",,,,"105","7014","9710","1110","1774","340","0.891","303","19713","65.06"
"154","2021-09-20T00:00:00.000","2021","FY21-22","September","20","Monday","06:14:31","18:26:38",,,,"220","6938","7532","644","1375","340","0.756","257","16709","65.02"
"155","2021-09-21T00:00:00.000","2021","FY21-22","September","21","Tuesday","06:15:11","18:25:15",,,,"0","3646","5396","524","2196","336","0.554","186","11762","63.24"
"156","2021-09-22T00:00:00.000","2021","FY21-22","September","22","Wednesday","06:15:52","18:23:52",,,,"50","3176","3939","473","1649","336","0.625","210","9287","44.22"
"157","2021-09-23T00:00:00.000","2021","FY21-22","September","23","Thursday","06:16:33","18:22:30",,,,"60","3030","3456","994","1660","336","0.449","151","9200","60.93"
"158","2021-09-24T00:00:00.000","2021","FY21-22","September","24","Friday","06:17:13","18:21:07",,,,"155","5145","10231","1966","2878","336","0.952","320","20375","63.67"
"159","2021-09-25T00:00:00.000","2021","FY21-22","September","25","Saturday","06:17:54","18:19:45",,,,"280","10947","11589","1160","1938","332","0.967","321","25914","80.73"
"160","2021-09-26T00:00:00.000","2021","FY21-22","September","26","Sunday","06:18:35","18:18:22",,,,"30","3253","6719","886","1262","332","0.705","234","12150","51.92"
"161","2021-09-27T00:00:00.000","2021","FY21-22","September","27","Monday","06:19:16","18:17:00",,,,"50","2903","7256","592","2134","332","0.798","265","12935","48.81"
"162","2021-09-28T00:00:00.000","2021","FY21-22","September","28","Tuesday","06:19:58","18:15:39",,,,"150","3166","7089","694","2247","332","0.732","243","13346","54.92"
"163","2021-09-29T00:00:00.000","2021","FY21-22","September","29","Wednesday","06:20:40","18:14:17",,,,"28","2673","7611","511","3124","328","0.826","271","13947","51.46"
"164","2021-09-30T00:00:00.000","2021","FY21-22","September","30","Thursday","06:21:21","18:12:56",,,,"0","3407","8733","4542","1812","328","0.89","292","18494","63.34"
"165","2021-10-01T00:00:00.000","2021","FY21-22","October","1","Friday","06:22:03","18:11:35","180","2880","3","110","8903.68","7507","795.52","2215","328","0.905","297","22411.2","75.46"
"166","2021-10-02T00:00:00.000","2021","FY21-22","October","2","Saturday","06:22:46","18:10:14","247","3952","2","60","5898.58","5817.57","868.37","2260.23","328","0.896","294","18856.75","64.14"
"167","2021-10-03T00:00:00.000","2021","FY21-22","October","3","Sunday","06:23:28","18:08:54","219","3504","0","0","4362.96","5394.57","617.7","1680.82","324","0.88","285","15560.05","54.6"
"168","2021-10-04T00:00:00.000","2021","FY21-22","October","4","Monday","06:24:11","18:07:34","223","3568","3","150","2001.15","3803","775.81","1653.5","324","0.793","257","11951.46","46.5"
"169","2021-10-05T00:00:00.000","2021","FY21-22","October","5","Tuesday","06:24:54","18:06:15","221","3536","3","125","2596.68","3661.88","610.06","1443.5","324","0.809","262","11973.119999999999","45.7"
"170","2021-10-06T00:00:00.000","2021","FY21-22","October","6","Wednesday","06:25:38","18:04:56","237","3792","3","95","3176.77","4943","632.9","1937","320","0.922","295","14576.67","49.41"
"171","2021-10-07T00:00:00.000","2021","FY21-22","October","7","Thursday","06:26:21","18:03:38","289","4624","3","40","5450.19","6608.03","1071.94","1698","320","1.041","333","19492.16","58.54"
"172","2021-10-08T00:00:00.000","2021","FY21-22","October","8","Friday","06:27:05","18:02:20","258","4128","13","560","5567.57","6927.54","1922.94","1992.5","320","0.956","306","21098.55","68.95"
"173","2021-10-09T00:00:00.000","2021","FY21-22","October","9","Saturday","06:27:50","18:01:03","267","4272","20","550","13481.63","7044.67","976.35","1976","320","1.006","322","28300.65","87.89"
"174","2021-10-10T00:00:00.000","2021","FY21-22","October","10","Sunday","06:28:34","17:59:46","272","4352","1","30","2894.19","6343.42","779.34","1775.5","316","1.003","317","16174.45","51.02"
"175","2021-10-11T00:00:00.000","2021","FY21-22","October","11","Monday","06:29:19","17:58:30","0","0","1","14","781.82","275","428.6","2139","316","0","0","3638.42",
"176","2021-10-12T00:00:00.000","2021","FY21-22","October","12","Tuesday","06:30:04","17:57:14","0","0","0","0","328.36","727","125.26","2403","316","0","0","3583.6200000000003",
"177","2021-10-13T00:00:00.000","2021","FY21-22","October","13","Wednesday","06:30:50","17:56:00","0","0","0","0","700.66","154.33","386.88","2329.5","316","0","0","3571.37",
"178","2021-10-14T00:00:00.000","2021","FY21-22","October","14","Thursday","06:31:36","17:54:46","0","0","0","0","1389.77","686","438.96","2402.5","312","0","0","4917.23",
"179","2021-10-15T00:00:00.000","2021","FY21-22","October","15","Friday","06:32:22","17:53:32","0","0","0","0","1624.25","452","588.32","2501.2","312","0","0","5165.77",
"180","2021-10-16T00:00:00.000","2021","FY21-22","October","16","Saturday","06:33:09","17:52:20","0","0","0","0","583.04","676","351.15","2409.7","312","0","0","4019.89",
"181","2021-10-17T00:00:00.000","2021","FY21-22","October","17","Sunday","06:33:56","17:51:08","0","0","0","0","799.96","314","372.13","2021.6","312","0","0","3507.69",
"182","2021-10-18T00:00:00.000","2021","FY21-22","October","18","Monday","06:34:44","17:49:57","0","0","0","0","513.99","1110","58.55","2221","308","0","0","3903.54",
"183","2021-10-19T00:00:00.000","2021","FY21-22","October","19","Tuesday","06:35:31","17:48:47","0","0","0","0","662.64","471","318.74","2491","308","0","0","3943.3799999999997",
"184","2021-10-20T00:00:00.000","2021","FY21-22","October","20","Wednesday","06:36:20","17:47:38","0","0","0","0","605.59","236","187.43","2669","308","0","0","3698.02",
"185","2021-10-21T00:00:00.000","2021","FY21-22","October","21","Thursday","06:37:08","17:46:30","0","0","0","0","1301.04","519","852","2086.01","308","0","0","4758.05",
