"monthcy","type","fy20_original_projections","fy20_post_covid_19_projections","fy20_actual","month","cy","fy"
"2021-07-01T00:00:00.000","GF Consolidated Tax","9643451",,"12079625","July","2021","2022"
"2021-07-01T00:00:00.000","Franchise Fees","0",,"-29539","July","2021","2022"
"2021-07-01T00:00:00.000","Sales and Use Tax Fund","1461285",,"1899284","July","2021","2022"
"2021-07-01T00:00:00.000","Licenses and Permit","588433",,"599638","July","2021","2022"
"2021-07-01T00:00:00.000","Crime Prevention","393343",,"512315","July","2021","2022"
"2021-08-01T00:00:00.000","GF Consolidated Tax","9768675",,"11825700","August","2021","2022"
"2021-08-01T00:00:00.000","Franchise Fees","2285",,"31200","August","2021","2022"
"2021-08-01T00:00:00.000","Sales and Use Tax Fund","1430216",,"1857542","August","2021","2022"
"2021-08-01T00:00:00.000","Licenses and Permit","635166",,"986128","August","2021","2022"
"2021-08-01T00:00:00.000","Crime Prevention","386690",,"501275","August","2021","2022"
"2021-09-01T00:00:00.000","GF Consolidated Tax","11070895",,"13899806","September","2021","2022"
"2021-09-01T00:00:00.000","Franchise Fees","2284618",,"2444214","September","2021","2022"
"2021-09-01T00:00:00.000","Sales and Use Tax Fund","1547255",,"1940213","September","2021","2022"
"2021-09-01T00:00:00.000","Licenses and Permit","901032",,"1429575","September","2021","2022"
"2021-09-01T00:00:00.000","Crime Prevention","415888",,"523568","September","2021","2022"
"2021-10-01T00:00:00.000","GF Consolidated Tax","10423161",,"12492922","October","2021","2022"
"2021-10-01T00:00:00.000","Franchise Fees","7742438",,"6970990","October","2021","2022"
"2021-10-01T00:00:00.000","Sales and Use Tax Fund","1538952",,"1960908","October","2021","2022"
"2021-10-01T00:00:00.000","Licenses and Permit","1453069",,"1655001","October","2021","2022"
"2021-10-01T00:00:00.000","Crime Prevention","413883",,"529291","October","2021","2022"
"2021-11-01T00:00:00.000","GF Consolidated Tax","10104357",,"12492089","November","2021","2022"
"2021-11-01T00:00:00.000","Franchise Fees","903264",,"1409125","November","2021","2022"
"2021-11-01T00:00:00.000","Sales and Use Tax Fund","1504625",,"1958724","November","2021","2022"
"2021-11-01T00:00:00.000","Licenses and Permit","730297",,"1124199","November","2021","2022"
"2021-11-01T00:00:00.000","Crime Prevention","404734",,"528365","November","2021","2022"
"2021-12-01T00:00:00.000","GF Consolidated Tax","12842806",,"16084947.61","December","2021","2022"
"2021-12-01T00:00:00.000","Franchise Fees","1885604",,"1752497","December","2021","2022"
"2021-12-01T00:00:00.000","Sales and Use Tax Fund","1765125",,"2230940","December","2021","2022"
"2021-12-01T00:00:00.000","Licenses and Permit","1197087",,"1259580","December","2021","2022"
"2021-12-01T00:00:00.000","Crime Prevention","474482",,"601838","December","2021","2022"
"2022-01-01T00:00:00.000","GF Consolidated Tax","9637684",,"11306260","January","2022","2022"
"2022-01-01T00:00:00.000","Franchise Fees","1885604",,"4318346","January","2022","2022"
"2022-01-01T00:00:00.000","Sales and Use Tax Fund","1765125",,"1780994","January","2022","2022"
"2022-01-01T00:00:00.000","Licenses and Permit","1197087",,"1157083","January","2022","2022"
"2022-01-01T00:00:00.000","Crime Prevention","474482",,"480678","January","2022","2022"
"2022-02-01T00:00:00.000","GF Consolidated Tax","9652467",,"11258714","February","2022","2022"
"2022-02-01T00:00:00.000","Franchise Fees","1885604",,"1847982","February","2022","2022"
"2022-02-01T00:00:00.000","Sales and Use Tax Fund","1765125",,"1456053","February","2022","2022"
"2022-02-01T00:00:00.000","Licenses and Permit","1197087",,"768093","February","2022","2022"
"2022-02-01T00:00:00.000","Crime Prevention","474482",,"390380","February","2022","2022"
"2022-03-01T00:00:00.000","GF Consolidated Tax","12558634",,"15583571","March","2022","2022"
"2022-03-01T00:00:00.000","Franchise Fees","1583489",,"1669581","March","2022","2022"
"2022-03-01T00:00:00.000","Sales and Use Tax Fund","1986559.27",,"2197944","March","2022","2022"
"2022-03-01T00:00:00.000","Licenses and Permit","1042621",,"1375465","March","2022","2022"
"2022-03-01T00:00:00.000","Crime Prevention","531814",,"593025","March","2022","2022"
