"month","fires","automobile_accidents","emergency_medical_services","hazardous_condition","other_responses","alarms","total_incidents","inspections","inter_facility_transfers","intra_facility_transfers","mutual_aid_given","mutual_aid_received"
"2020-06-30T00:00:00.000","13","25","546","13","230","40","867","317","7","32","20","2"
"2020-07-31T00:00:00.000","10","36","580","22","228","73","949","629","17","52","13","3"
"2020-08-31T00:00:00.000","15","43","574","11","186","54","883","175","14","47","8","2"
"2020-09-30T00:00:00.000","11","31","541","7","192","48","830","514","5","36","7","4"
"2020-10-31T00:00:00.000","20","24","572","9","225","44","894","285","3","46","14","5"
"2020-11-30T00:00:00.000","13","19","548","6","236","51","873","109","2","38","13","8"
"2020-12-31T00:00:00.000","11","35","526","9","201","51","833","120","3","33","10","2"
"2021-01-31T00:00:00.000","6","26","551","7","177","46","813","91",,"34","15","3"
"2021-02-28T00:00:00.000","8","30","494","12","183","55","782","149",,"30","9","1"
"2021-03-31T00:00:00.000","16","21","551","9","185","57","839","273",,"36","8","3"
"2021-04-30T00:00:00.000","19","36","578","16","171","40","860","149",,"41","11","12"
"2021-05-31T00:00:00.000","20","27","636","8","212","58","961","128",,"52","13","3"
"2021-06-30T00:00:00.000","23","31","628","13","183","57","935","147",,"46","12","3"
"2021-07-31T00:00:00.000","29","34","608","14","210","57","952","205",,"44","10","16"
"2021-08-31T00:00:00.000","13","43","652","16","159","64","947","451",,"43","11","6"
"2021-09-30T00:00:00.000","21","28","637","18","174","57","935","549",,"41","5","2"
"2021-10-31T00:00:00.000","7","39","633","22","165","71","937","401",,"40","5","0"
"2021-11-30T00:00:00.000","14","31","607","13","174","52","891","375",,"37","12","1"
"2021-12-31T00:00:00.000","13","31","655","15","191","57","962","453",,"31","8","1"
"2022-01-31T00:00:00.000","10","18","639","6","176","61","910","193",,"39","11","1"
"2022-02-28T00:00:00.000","11","22","579","7","149","42","810","375",,"28","6","4"
"2022-03-31T00:00:00.000","7","19","568","6","169","59","828","527",,"45","10","1"
"2022-04-30T00:00:00.000","8","25","607","12","188","32","872","322",,"48","8","0"
"2022-05-31T00:00:00.000","7","34","635","11","213","43","943","264",,"48","17","3"
"2022-06-30T00:00:00.000","9","34","627","13","181","58","922","289",,"51","8","0"
"2022-07-31T00:00:00.000","21","22","651","13","207","65","979","381",,"56","11","7"
