"trip_id","start_time","stop_time","bike_id","trip_duration","from_station_id","from_station_name","to_station_id","to_station_name","user_type","gender","birth_year","from_location","to_location","location_1","location_2"
"10163265","2016-06-17T09:19:00.000","2016-06-17T09:33:00.000","4353","824","140","Dearborn Pkwy & Delaware Pl","143","Sedgwick St & Webster Ave","Subscriber","Male","1969",,,"(41.898969, -87.629912)","(41.922167, -87.638888)"
"542402","2013-09-20T07:54:00.000","2013-09-20T07:59:00.000","1028","244","210","Ashland Ave & Division St","130","Damen Ave & Division St","Subscriber","Male","1985",,,"(41.90345, -87.667747)","(41.90331, -87.67695)"
"8263612","2015-11-11T06:36:00.000","2015-11-11T06:44:00.000","4666","476","232","Pine Grove Ave & Waveland Ave","318","Southport Ave & Irving Park Rd","Subscriber","Male","1988",,,"(41.949275, -87.646303)","(41.954177, -87.664358)"
"8658033","2016-01-28T08:18:00.000","2016-01-28T08:35:00.000","3165","1005","127","Lincoln Ave & Fullerton Ave","194","Wabash Ave & Wacker Pl","Subscriber","Male","1985",,,"(41.925905, -87.64926)","(41.886875, -87.62603)"
"5925964","2015-06-30T08:36:00.000","2015-06-30T08:44:00.000","4149","496","284","Michigan Ave & Jackson Blvd","287","Franklin St & Arcade Pl","Subscriber","Male","1982",,,"(41.87785, -87.62408)","(41.880317, -87.635185)"
"8251676","2015-11-10T05:41:00.000","2015-11-10T06:01:00.000","850","1161","283","LaSalle St & Jackson Blvd","220","Hampden Ct & Diversey Pkwy","Subscriber","Male","1987",,,"(41.87817, -87.631985)","(41.93262, -87.642385)"
"7028494","2015-08-21T10:20:00.000","2015-08-21T10:41:00.000","3706","1218","291","Wells St & Evergreen Ave","299","Halsted St & Roscoe St","Subscriber","Female","1987",,,"(41.906724, -87.63483)","(41.94367, -87.64895)"
"7995900","2015-10-19T02:12:00.000","2015-10-19T02:27:00.000","2389","862","35","Streeter Dr & Illinois St","76","Lake Shore Dr & Monroe St","Customer",,,,,"(41.891071, -87.6122)","(41.880958, -87.616743)"
"5485086","2015-06-05T08:51:00.000","2015-06-05T08:56:00.000","2304","313","36","Franklin St & Jackson Blvd","5","State St & Harrison St","Subscriber","Male","1954",,,"(41.877707956, -87.635321141)","(41.874053, -87.627716)"
"6334400","2015-07-19T02:54:00.000","2015-07-19T04:07:00.000","496","4378","374","Western Ave & Walton St","374","Western Ave & Walton St","Customer",,,,,"(41.898417689, -87.686596016)","(41.898417689, -87.686596016)"
"2857666","2014-07-30T02:27:00.000","2014-07-30T02:36:00.000","2563","553","45","Michigan Ave & Congress Pkwy","36","Franklin St & Jackson Blvd","Customer",,,,,"(41.876243, -87.624426)","(41.877707956, -87.635321141)"
"8297702","2015-11-16T05:41:00.000","2015-11-16T05:46:00.000","2327","339","67","Sheffield Ave & Fullerton Ave","143","Sedgwick St & Webster Ave","Subscriber","Male","1973",,,"(41.925601882, -87.653708042)","(41.922167, -87.638888)"
"1134235","2014-01-17T10:18:00.000","2014-01-17T10:44:00.000","380","1575","26","McClurg Ct & Illinois St","57","Clinton St & Roosevelt Rd","Subscriber","Male","1984",,,"(41.89102, -87.6173)","(41.867117782, -87.641087959)"
"7961650","2015-10-16T01:07:00.000","2015-10-16T01:25:00.000","288","1082","268","Lake Shore Dr & North Blvd","141","Clark St & Lincoln Ave","Customer",,,,,"(41.911722, -87.626804)","(41.915689, -87.6346)"
"3924770","2014-10-11T01:32:00.000","2014-10-11T01:43:00.000","1875","633","134","Peoria St & Jackson Blvd","57","Clinton St & Roosevelt Rd","Customer",,,,,"(41.877749, -87.649633)","(41.867117782, -87.641087959)"
"3334558","2014-08-28T02:09:00.000","2014-08-28T02:14:00.000","2133","328","347","Ashland Ave & Grace St","292","Southport Ave & Clark St","Subscriber","Female","1963",,,"(41.950687, -87.6687)","(41.957081, -87.664199)"
"6818616","2015-08-10T06:05:00.000","2015-08-10T06:14:00.000","2256","569","56","Desplaines St & Kinzie St","112","Green St & Randolph St","Customer",,,,,"(41.888716036, -87.644447853)","(41.884078, -87.648684)"
"1809805","2014-05-25T03:49:00.000","2014-05-25T04:51:00.000","1945","3745","324","Stockton Dr & Wrightwood Ave","25","Michigan Ave & Pearson St","Customer",,,,,"(41.93132, -87.638742)","(41.89766, -87.62351)"
"5116293","2015-05-10T06:47:00.000","2015-05-10T06:58:00.000","2460","647","94","Clark St & Armitage Ave","85","Michigan Ave & Oak St","Subscriber","Female","1986",,,"(41.918306, -87.636282)","(41.90096039, -87.62377664)"
"3260392","2014-08-23T01:53:00.000","2014-08-23T02:06:00.000","2083","776","85","Michigan Ave & Oak St","99","Lake Shore Dr & Ohio St","Customer",,,,,"(41.90096039, -87.62377664)","(41.89257, -87.614492)"
"8318574","2015-11-18T12:59:00.000","2015-11-18T01:16:00.000","2438","983","111","Sedgwick St & Huron St","166","Ashland Ave & Wrightwood Ave","Subscriber","Male","1968",,,"(41.894666, -87.638437)","(41.92883, -87.668507)"
"6860971","2015-08-12T05:59:00.000","2015-08-12T06:02:00.000","2482","205","210","Ashland Ave & Division St","30","Ashland Ave & Augusta Blvd","Subscriber","Male","1978",,,"(41.90345, -87.667747)","(41.899643, -87.6677)"
"6683175","2015-08-04T12:34:00.000","2015-08-04T12:40:00.000","4579","350","117","Wilton Ave & Belmont Ave","229","Southport Ave & Roscoe St","Subscriber","Male","1994",,,"(41.94018, -87.65304)","(41.943739, -87.66402)"
"4537648","2015-02-16T06:22:00.000","2015-02-16T06:35:00.000","1767","814","195","Columbus Dr & Randolph St","48","Larrabee St & Kingsbury St","Subscriber","Male","1969",,,"(41.884728, -87.619521)","(41.897764, -87.642884)"
"2120516","2014-06-15T04:39:00.000","2014-06-15T05:06:00.000","660","1643","289","Wells St & Concord Ln","289","Wells St & Concord Ln","Customer",,,,,"(41.912133, -87.634656)","(41.912133, -87.634656)"
"3719321","2014-09-24T05:00:00.000","2014-09-24T05:14:00.000","1260","826","85","Michigan Ave & Oak St","329","Lake Shore Dr & Diversey Pkwy","Subscriber","Female","1984",,,"(41.90096039, -87.62377664)","(41.932684, -87.63625)"
