"year","month","airline_code","airline","number_of_power_run_ups","number_of_power_run_ups_per_1000_departures","percentage_of_power_run_ups_for_the_period"
"2006","4","ASA","ALASKA AIRLINES","1","1.7","3.00"
"2006","4","COA","CONTINENTAL AIR LINES","1","2.8","3.00"
"2006","4","AAL","AMERICAN AIRLINES","9","8.4","26.00"
"2006","4","UAL","UNITED AIR LINES","24","5.6","69.00"
"2006","5","AAL","AMERICAN AIRLINES","15","13.3","44.00"
"2006","5","UAL","UNITED AIR LINES","19","4.4","56.00"
"2006","6","ASA","ALASKA AIRLINES","1","1.0","4.00"
"2006","6","AAL","AMERICAN AIRLINES","11","20.5","42.00"
"2006","6","UAL","UNITED AIR LINES","14","3.3","54.00"
"2006","7","USA","US AIRWAYS","1","3.5","3.00"
"2006","7","AAL","AMERICAN AIRLINES","11","10.1","29.00"
"2006","7","UAL","UNITED AIR LINES","26","5.9","68.00"
"2006","8","COA","CONTINENTAL AIR LINES","1","2.1","2.00"
"2006","8","DAL","DELTA AIR LINES","1","2.0","2.00"
"2006","8","AAL","AMERICAN AIRLINES","14","12.4","29.00"
"2006","8","UAL","UNITED AIR LINES","32","6.8","67.00"
"2006","9","AAL","AMERICAN AIRLINES","9","8.8","26.00"
"2006","9","UAL","UNITED AIR LINES","25","5.9","74.00"
"2006","10","COA","CONTINENTAL AIR LINES","1","2.6","3.00"
"2006","10","DAL","DELTA AIR LINES","2","5.3","5.00"
"2006","10","AAL","AMERICAN AIRLINES","14","13.2","36.00"
"2006","10","UAL","UNITED AIR LINES","22","5.0","56.00"
"2006","11","AAL","AMERICAN AIRLINES","9","8.8","26.00"
"2006","11","UAL","UNITED AIR LINES","26","6.0","74.00"
"2006","12","COA","CONTINENTAL AIR LINES","1","2.5","3.00"
"2006","12","EJA","NETJETS AVIATION","1","4.4","3.00"
"2006","12","AAL","AMERICAN AIRLINES","11","10.5","32.00"
"2006","12","UAL","UNITED AIR LINES","21","4.8","62.00"
"2007","1","ABX","AIRBORNE EXPRESS","1","13.7","4.00"
"2007","1","AAL","AMERICAN AIRLINES","7","6.7","26.00"
"2007","1","UAL","UNITED AIR LINES","19","4.5","70.0"
"2007","2","DAL","DELTA AIR LINES","2","6.5","6.00"
"2007","2","UAL","UNITED AIR LINES","15","3.9","44.00"
"2007","2","AAL","AMERICAN AIRLINES","17","18.8","50.0"
"2007","3","COA","CONTINENTAL AIR LINES","1","2.7","3.00"
"2007","3","DAL","DELTA AIR LINES","1","2.9","3.00"
"2007","3","VIR","VIRGIN ATLANTIC","1","32.3","3.00"
"2007","3","AAL","AMERICAN AIRLINES","9","8.6","24.00"
"2007","3","UAL","UNITED AIR LINES","26","5.9","68.00"
"2007","4","COA","CONTINENTAL AIR LINES","1","2.7","2.00"
"2007","4","DAL","DELTA AIR LINES","1","2.8","2.00"
"2007","4","USA","US AIRWAYS","1","5.0","2.00"
"2007","4","AAL","AMERICAN AIRLINES","10","9.8","24.00"
"2007","4","UAL","UNITED AIR LINES","28","6.5","68.00"
"2007","5","COA","CONTINENTAL AIR LINES","1","2.3","2.00"
"2007","5","DAL","DELTA AIR LINES","1","2.3","2.00"
"2007","5","SIA","SINGAPORE AIRLINES","1","16.1","2.00"
"2007","5","USA","US AIRWAYS","3","14.9","6.00"
"2007","5","AAL","AMERICAN AIRLINES","15","14.1","32.00"
"2007","5","UAL","UNITED AIR LINES","26","5.8","55.00"
"2007","6","MEP","MIDWEST AIRLINES","1","11.0","2.00"
"2007","6","USA","US AIRWAYS","1","3.9","2.00"
"2007","6","DAL","DELTA AIR LINES","2","4.1","5.00"
"2007","6","AAL","AMERICAN AIRLINES","19","18.9","44.00"
"2007","6","UAL","UNITED AIR LINES","20","4.5","47.00"
"2007","7","COA","CONTINENTAL AIR LINES","1","2.0","3.00"
"2007","7","HAL","HAWAIIAN AIRLINES","1","32.3","3.00"
"2007","7","SKW","SKYWEST","1","0.3","3.00"
"2007","7","ASA","ALASKA AIRLINES","4","5.2","11.00"
"2007","7","AAL","AMERICAN AIRLINES","11","10.1","29.00"
"2007","7","UAL","UNITED AIR LINES","20","4.4","53.00"
"2007","8","COA","CONTINENTAL AIR LINES","1","2.1","2.00"
"2007","8","DAL","DELTA AIR LINES","1","1.8","2.00"
"2007","8","USA","US AIRWAYS","1","3.7","2.00"
"2007","8","VRD","VIRGIN AMERICA","1","5.5","2.00"
"2007","8","ASA","ALASKA AIRLINES","2","2.7","5.00"
"2007","8","AAL","AMERICAN AIRLINES","15","14.0","36.00"
"2007","8","UAL","UNITED AIR LINES","21","4.6","50.0"
"2007","9","VRD","VIRGIN AMERICA","1","3.8","3.00"
"2007","9","HAL","HAWAIIAN AIRLINES","2","61.5","5.00"
"2007","9","AAL","AMERICAN AIRLINES","15","14.3","38.00"
"2007","9","UAL","UNITED AIR LINES","21","5.0","54.00"
"2007","10","HAL","HAWAIIAN AIRLINES","1","29.9","2.00"
"2007","10","SWA","SOUTHWEST AIRLINES","1","1.9","2.00"
"2007","10","VRD","VIRGIN AMERICA","1","2.7","2.00"
"2007","10","AAL","AMERICAN AIRLINES","17","16.0","40.0"
"2007","10","UAL","UNITED AIR LINES","22","5.2","52.00"
"2007","11","COA","CONTINENTAL AIR LINES","1","2.9","2.00"
"2007","11","VRD","VIRGIN AMERICA","2","4.9","5.00"
"2007","11","AAL","AMERICAN AIRLINES","17","16.7","40.0"
"2007","11","UAL","UNITED AIR LINES","23","5.6","53.00"
"2007","12","COA","CONTINENTAL AIR LINES","1","2.6","3.00"
"2007","12","HAL","HAWAIIAN AIRLINES","1","29.9","3.00"
"2007","12","SKW","SKYWEST","1","0.3","3.00"
"2007","12","AAL","AMERICAN AIRLINES","12","11.9","36.00"
"2007","12","UAL","UNITED AIR LINES","18","4.2","55.00"
"2008","1","SKW","SKYWEST","1","0.3","2.00"
"2008","1","UAL","UNITED AIR LINES","23","5.7","44.00"
"2008","1","AAL","AMERICAN AIRLINES","28","30.6","54.00"
"2008","2","COA","CONTINENTAL AIR LINES","1","3.1","3.00"
"2008","2","HAL","HAWAIIAN AIRLINES","1","30.8","3.00"
"2008","2","UAL","UNITED AIR LINES","14","3.6","38.00"
"2008","2","AAL","AMERICAN AIRLINES","21","24.7","57.00"
"2008","3","ASA","ALASKA AIRLINES","1","1.6","5.00"
"2008","3","EJA","NETJETS AVIATION","1","3.1","5.00"
"2008","3","USA","US AIRWAYS","1","5.4","5.00"
"2008","3","UAL","UNITED AIR LINES","6","1.4","27.00"
"2008","3","AAL","AMERICAN AIRLINES","13","13.9","59.00"
"2008","4","VRD","VIRGIN AMERICA","1","1.3","3.00"
"2008","4","COA","CONTINENTAL AIR LINES","2","5.6","5.00"
"2008","4","DAL","DELTA AIR LINES","2","5.5","5.00"
"2008","4","UAL","UNITED AIR LINES","17","3.8","44.00"
"2008","4","AAL","AMERICAN AIRLINES","17","17.3","44.00"
"2008","5","USA","US AIRWAYS","1","4.9","2.00"
"2008","5","NWA","NORTHWEST AIRLINES","2","5.3","4.00"
"2008","5","DAL","DELTA AIR LINES","4","11.1","8.00"
"2008","5","AAL","AMERICAN AIRLINES","18","17.6","35.00"
"2008","5","UAL","UNITED AIR LINES","26","6.0","51.00"
"2008","6","ASA","ALASKA AIRLINES","1","1.9","3.00"
"2008","6","USA","US AIRWAYS","1","5.1","3.00"
"2008","6","VRD","VIRGIN AMERICA","1","1.3","3.00"
"2008","6","DAL","DELTA AIR LINES","2","4.8","6.00"
"2008","6","AAL","AMERICAN AIRLINES","13","12.9","41.00"
"2008","6","UAL","UNITED AIR LINES","14","3.2","44.00"
"2008","7","COA","CONTINENTAL AIR LINES","1","2.4","2.00"
"2008","7","DAL","DELTA AIR LINES","2","4.8","5.00"
"2008","7","AAL","AMERICAN AIRLINES","19","18.8","45.00"
"2008","7","UAL","UNITED AIR LINES","20","4.6","48.00"
"2008","8","HAL","HAWAIIAN AIRLINES","1","30.3","3.00"
"2008","8","DAL","DELTA AIR LINES","4","9.3","10.0"
"2008","8","AAL","AMERICAN AIRLINES","9","8.9","23.00"
"2008","8","UAL","UNITED AIR LINES","26","5.8","65.00"
"2008","9","ASA","ALASKA AIRLINES","1","2.2","4.00"
"2008","9","DAL","DELTA AIR LINES","2","5.7","8.00"
"2008","9","UAL","UNITED AIR LINES","10","2.6","38.00"
"2008","9","AAL","AMERICAN AIRLINES","13","13.5","50.0"
"2008","10","COA","CONTINENTAL AIR LINES","1","2.7","3.00"
"2008","10","AAL","AMERICAN AIRLINES","15","14.8","38.00"
"2008","10","UAL","UNITED AIR LINES","23","5.8","59.00"
"2008","11","ASA","ALASKA AIRLINES","1","2.2","3.00"
"2008","11","DAL","DELTA AIR LINES","1","2.9","3.00"
"2008","11","AAL","AMERICAN AIRLINES","14","15.4","45.00"
"2008","11","UAL","UNITED AIR LINES","15","4.1","48.00"
"2008","12","NWA","NORTHWEST AIRLINES","1","3.3","4.00"
"2008","12","SWA","SOUTHWEST AIRLINES","1","0.9","4.00"
"2008","12","AAL","AMERICAN AIRLINES","7","7.5","28.00"
"2008","12","UAL","UNITED AIR LINES","16","4.2","64.00"
"2009","1","COA","CONTINENTAL AIR LINES","1","2.9","3.00"
"2009","1","CPA","CATHAY PACIFIC AIRWAYS","1","14.9","3.00"
"2009","1","DAL","DELTA AIR LINES","1","2.8","3.00"
"2009","1","QXE","HORIZON AIR","1","11.7","3.00"
"2009","1","AAL","AMERICAN AIRLINES","12","13.0","34.00"
"2009","1","UAL","UNITED AIR LINES","19","5.3","54.00"
"2009","2","AAL","AMERICAN AIRLINES","14","16.7","38.00"
"2009","2","UAL","UNITED AIR LINES","23","6.8","62.00"
"2009","3","VRD","VIRGIN AMERICA","1","1.1","2.00"
"2009","3","AAL","AMERICAN AIRLINES","16","16.7","39.00"
"2009","3","UAL","UNITED AIR LINES","24","6.0","59.00"
"2009","4","DAL","DELTA AIR LINES","1","2.9","3.00"
"2009","4","COA","CONTINENTAL AIR LINES","2","5.5","6.00"
"2009","4","AAL","AMERICAN AIRLINES","12","13.0","36.00"
"2009","4","UAL","UNITED AIR LINES","18","5.0","55.00"
"2009","5","DLH","LUFTHANSA","1","16.1","3.00"
"2009","5","SKW","SKYWEST","1","0.3","3.00"
"2009","5","VRD","VIRGIN AMERICA","1","1.0","3.00"
"2009","5","SWA","SOUTHWEST AIRLINES","2","1.6","5.00"
"2009","5","AAL","AMERICAN AIRLINES","12","12.4","30.0"
"2009","5","UAL","UNITED AIR LINES","23","6.2","58.00"
"2009","6","COA","CONTINENTAL AIR LINES","1","2.3","2.00"
"2009","6","DAL","DELTA AIR LINES","1","2.3","2.00"
"2009","6","VRD","VIRGIN AMERICA","1","1.0","2.00"
"2009","6","AAL","AMERICAN AIRLINES","15","16.4","36.00"
"2009","6","UAL","UNITED AIR LINES","24","6.2","57.00"
"2009","7","VRD","VIRGIN AMERICA","1","1.0","3.00"
"2009","7","AAL","AMERICAN AIRLINES","13","13.9","45.00"
"2009","7","UAL","UNITED AIR LINES","15","3.7","52.00"
"2009","8","COA","CONTINENTAL AIR LINES","1","2.1","3.00"
"2009","8","SWA","SOUTHWEST AIRLINES","1","0.8","3.00"
"2009","8","UAL","UNITED AIR LINES","18","4.5","45.00"
"2009","8","AAL","AMERICAN AIRLINES","20","21.0","50.0"
"2009","9","AWE","US AIRWAYS","1","1.8","3.00"
"2009","9","DAL","DELTA AIR LINES","1","2.7","3.00"
"2009","9","VRD","VIRGIN AMERICA","1","1.1","3.00"
"2009","9","UAL","UNITED AIR LINES","12","3.3","36.00"
"2009","9","AAL","AMERICAN AIRLINES","18","19.4","55.00"
"2009","10","COA","CONTINENTAL AIR LINES","1","2.5","3.00"
"2009","10","USA","US AIRWAYS","1","1.8","3.00"
"2009","10","UAL","UNITED AIR LINES","11","3.0","37.00"
"2009","10","AAL","AMERICAN AIRLINES","17","17.6","57.00"
"2009","11","ASA","ALASKA AIRLINES","1","3.1","3.00"
"2009","11","DAL","DELTA AIR LINES","1","2.7","3.00"
"2009","11","UAL","UNITED AIR LINES","13","3.7","43.00"
"2009","11","AAL","AMERICAN AIRLINES","15","16.2","50.0"
"2009","12","AAL","AMERICAN AIRLINES","11","11.5","41.00"
"2009","12","UAL","UNITED AIR LINES","16","4.4","59.00"
"2010","1","AAL","AMERICAN AIRLINES","9","9.6","31.00"
"2010","1","UAL","UNITED AIR LINES","20","5.7","69.00"
"2010","2","COA","CONTINENTAL AIR LINES","1","3.1","3.00"
"2010","2","AAL","AMERICAN AIRLINES","12","14.3","40.0"
"2010","2","UAL","UNITED AIR LINES","17","5.3","57.00"
"2010","3","AWE","US AIRWAYS","1","3.0","3.00"
"2010","3","DAL","DELTA AIR LINES","1","1.4","3.00"
"2010","3","EJA","NETJETS AVIATION","1","4.5","3.00"
"2010","3","HAL","HAWAIIAN AIRLINES","2","60.6","6.00"
"2010","3","SKW","SKYWEST","2","0.5","6.00"
"2010","3","AAL","AMERICAN AIRLINES","11","11.5","31.00"
"2010","3","UAL","UNITED AIR LINES","17","4.6","49.00"
"2010","4","HAL","HAWAIIAN AIRLINES","1","33.3","3.00"
"2010","4","AWE","US AIRWAYS","1","2.8","3.00"
"2010","4","COA","CONTINENTAL AIR LINES","2","5.5","6.00"
"2010","4","UAL","UNITED AIR LINES","15","4.0","42.00"
"2010","4","AAL","AMERICAN AIRLINES","17","18.1","47.00"
"2010","5","DAL","DELTA AIR LINES","1","1.3","5.00"
"2010","5","AAL","AMERICAN AIRLINES","7","7.4","33.00"
"2010","5","UAL","UNITED AIR LINES","13","3.4","62.00"
"2010","6","ASA","ALASKA AIRLINES","1","3.0","3.00"
"2010","6","AWE","US AIRWAYS","1","2.4","3.00"
"2010","6","DAL","DELTA AIR LINES","1","1.1","3.00"
"2010","6","AAL","AMERICAN AIRLINES","13","14.1","37.00"
"2010","6","UAL","UNITED AIR LINES","19","5.1","54.00"
"2010","7","DAL","DELTA AIR LINES","1","1.0","3.00"
"2010","7","AWE","US AIRWAYS","2","4.5","7.00"
"2010","7","AAL","AMERICAN AIRLINES","13","13.3","45.00"
"2010","7","UAL","UNITED AIR LINES","13","3.3","45.00"
"2010","8","AWE","US AIRWAYS","1","2.2","5.00"
"2010","8","COA","CONTINENTAL AIR LINES","1","2.2","5.00"
"2010","8","AAL","AMERICAN AIRLINES","8","8.1","36.00"
"2010","8","UAL","UNITED AIR LINES","12","3.1","55.00"
"2010","9","DAL","DELTA AIR LINES","1","1.1","3.00"
"2010","9","HAL","HAWAIIAN AIRLINES","1","31.3","3.00"
"2010","9","JBU","JETBLUE","1","3.1","3.00"
"2010","9","SKW","SKYWEST","1","0.3","3.00"
"2010","9","VRD","VIRGIN AMERICA","1","1.2","3.00"
"2010","9","AAL","AMERICAN AIRLINES","10","10.6","30.0"
"2010","9","UAL","UNITED AIR LINES","18","4.9","55.00"
"2010","10","DAL","DELTA AIR LINES","2","2.2","9.00"
"2010","10","AAL","AMERICAN AIRLINES","10","10.3","43.00"
"2010","10","UAL","UNITED AIR LINES","11","2.9","48.00"
"2010","11","JBU","JETBLUE","1","3.3","8.00"
"2010","11","AAL","AMERICAN AIRLINES","4","4.4","24.00"
"2010","11","UAL","UNITED AIR LINES","12","3.4","71.00"
"2010","12","AWE","US AIRWAYS","1","2.2","3.00"
"2010","12","DAL","DELTA AIR LINES","1","1.3","3.00"
"2010","12","TRS","AIRTRAN AIRWAYS","1","9.2","3.00"
"2010","12","SKW","SKYWEST","2","0.5","6.00"
"2010","12","AAL","AMERICAN AIRLINES","6","6.7","18.00"
"2010","12","UAL","UNITED AIR LINES","23","6.3","68.00"
"2011","1","ACA","AIR CANADA","1","4.5","4.00"
"2011","1","ASA","ALASKA AIRLINES","1","2.8","4.00"
"2011","1","DAL","DELTA AIR LINES","1","1.4","4.00"
"2011","1","SKW","SKYWEST","1","0.2","4.00"
"2011","1","AWE","US AIRWAYS","2","4.9","8.00"
"2011","1","AAL","AMERICAN AIRLINES","6","6.7","24.00"
"2011","1","UAL","UNITED AIR LINES","13","3.8","52.00"
"2011","2","DAL","DELTA AIR LINES","1","1.6","5.00"
"2011","2","HAL","HAWAIIAN AIRLINES","1","37.0","5.00"
"2011","2","SWA","SOUTHWEST AIRLINES","1","0.9","5.00"
"2011","2","AAL","AMERICAN AIRLINES","3","3.8","16.00"
"2011","2","UAL","UNITED AIR LINES","13","4.2","68.00"
"2011","3","ASA","ALASKA AIRLINES","2","5.4","8.00"
"2011","3","VRD","VIRGIN AMERICA","2","1.9","8.00"
"2011","3","DAL","DELTA AIR LINES","3","4.2","12.00"
"2011","3","AAL","AMERICAN AIRLINES","4","4.4","15.00"
"2011","3","UAL","UNITED AIR LINES","15","4.2","58.00"
"2011","4","ABX","AIRBORNE EXPRESS","1","15.6","5.00"
"2011","4","DAL","DELTA AIR LINES","2","2.9","11.00"
"2011","4","AAL","AMERICAN AIRLINES","3","3.3","16.00"
"2011","4","UAL","UNITED AIR LINES","13","3.8","68.00"
"2011","5","HAL","HAWAIIAN AIRLINES","1","32.3","4.00"
"2011","5","AAL","AMERICAN AIRLINES","3","3.2","11.00"
"2011","5","DAL","DELTA AIR LINES","6","8.5","21.00"
"2011","5","UAL","UNITED AIR LINES","18","4.9","64.00"
"2011","6","ASA","ALASKA AIRLINES","1","2.6","3.00"
"2011","6","AWE","US AIRWAYS","1","1.9","3.00"
"2011","6","COA","CONTINENTAL AIR LINES","1","1.9","3.00"
"2011","6","DAL","DELTA AIR LINES","2","2.5","5.00"
"2011","6","HAL","HAWAIIAN AIRLINES","3","100.0","8.00"
"2011","6","AAL","AMERICAN AIRLINES","8","8.8","21.00"
"2011","6","UAL","UNITED AIR LINES","22","5.7","58.00"
"2011","7","DAL","DELTA AIR LINES","1","1.2","4.00"
"2011","7","VRD","VIRGIN AMERICA","1","0.8","4.00"
"2011","7","AAL","AMERICAN AIRLINES","9","9.7","35.00"
"2011","7","UAL","UNITED AIR LINES","15","3.8","58.00"
"2011","8","HAL","HAWAIIAN AIRLINES","1","30.3","3.00"
"2011","8","DAL","DELTA AIR LINES","2","2.4","6.00"
"2011","8","JBU","JETBLUE","2","6.7","6.00"
"2011","8","AAL","AMERICAN AIRLINES","7","7.6","22.00"
"2011","8","UAL","UNITED AIR LINES","20","5.1","63.00"
"2011","9","HAL","HAWAIIAN AIRLINES","1","32.3","3.00"
"2011","9","DAL","DELTA AIR LINES","6","7.3","20.0"
"2011","9","AAL","AMERICAN AIRLINES","8","8.7","27.00"
"2011","9","UAL","UNITED AIR LINES","15","4.0","50.0"
"2011","10","HAL","HAWAIIAN AIRLINES","2","66.7","7.00"
"2011","10","AAL","AMERICAN AIRLINES","6","6.5","21.00"
"2011","10","DAL","DELTA AIR LINES","7","8.8","25.00"
"2011","10","UAL","UNITED AIR LINES","13","3.3","46.00"
"2011","11","COA","CONTINENTAL AIR LINES","1","1.9","5.00"
"2011","11","HAL","HAWAIIAN AIRLINES","1","31.3","5.00"
"2011","11","AAL","AMERICAN AIRLINES","3","3.5","14.00"
"2011","11","DAL","DELTA AIR LINES","4","5.6","19.00"
"2011","11","UAL","UNITED AIR LINES","12","3.3","57.00"
"2011","12","DAL","DELTA AIR LINES","2","2.9","7.00"
"2011","12","AAL","AMERICAN AIRLINES","4","4.8","14.00"
"2011","12","UAL","UNITED AIR LINES","22","5.1","79.00"
"2012","1","SKW","SKYWEST","1","0.2","3.00"
"2012","1","SWA","SOUTHWEST AIRLINES","1","0.8","3.00"
"2012","1","DAL","DELTA AIR LINES","3","4.6","8.00"
"2012","1","AAL","AMERICAN AIRLINES","15","17.8","39.00"
"2012","1","UAL","UNITED AIR LINES","18","4.1","47.00"
"2012","2","DAL","DELTA AIR LINES","2","3.4","6.00"
"2012","2","AAL","AMERICAN AIRLINES","12","15.2","34.00"
"2012","2","UAL","UNITED AIR LINES","21","5.1","60.0"
"2012","3","AAL","AMERICAN AIRLINES","15","17.6","44.00"
"2012","3","UAL","UNITED AIR LINES","19","4.4","56.00"
"2012","4","CPA","CATHAY PACIFIC AIRWAYS","1","15.6","3.00"
"2012","4","VRD","VIRGIN AMERICA","1","0.7","3.00"
"2012","4","DAL","DELTA AIR LINES","2","2.9","7.00"
"2012","4","UAL","UNITED AIR LINES","11","2.5","37.00"
"2012","4","AAL","AMERICAN AIRLINES","15","16.2","50.0"
"2012","5","DAL","DELTA AIR LINES","2","2.7","9.00"
"2012","5","UAL","UNITED AIR LINES","8","1.7","36.00"
"2012","5","AAL","AMERICAN AIRLINES","12","12.2","55.00"
"2012","6","JBU","JETBLUE","1","2.9","2.00"
"2012","6","DAL","DELTA AIR LINES","2","2.2","4.00"
"2012","6","UAL","UNITED AIR LINES","20","4.0","43.00"
"2012","6","AAL","AMERICAN AIRLINES","23","25.1","50.0"
"2012","7","DAL","DELTA AIR LINES","1","1.0","3.00"
"2012","7","EJA","NETJETS AVIATION","1","6.3","3.00"
"2012","7","VRD","VIRGIN AMERICA","1","0.6","3.00"
"2012","7","AAL","AMERICAN AIRLINES","14","14.4","38.00"
"2012","7","UAL","UNITED AIR LINES","20","3.9","54.00"
"2012","8","DAL","DELTA AIR LINES","1","1.1","4.00"
"2012","8","VRD","VIRGIN AMERICA","2","1.2","7.00"
"2012","8","UAL","UNITED AIR LINES","11","2.1","41.00"
"2012","8","AAL","AMERICAN AIRLINES","13","13.6","48.00"
"2012","9","DAL","DELTA AIR LINES","2","2.5","9.00"
"2012","9","AAL","AMERICAN AIRLINES","8","9.5","36.00"
"2012","9","UAL","UNITED AIR LINES","12","2.5","55.00"
"2012","10","AWE","US AIRWAYS","1","2.2","3.00"
"2012","10","DAL","DELTA AIR LINES","1","1.2","3.00"
"2012","10","UAL","UNITED AIR LINES","13","2.7","42.00"
"2012","10","AAL","AMERICAN AIRLINES","16","17.9","52.00"
"2012","11","DAL","DELTA AIR LINES","2","2.8","13.00"
"2012","11","AAL","AMERICAN AIRLINES","4","4.7","27.00"
"2012","11","UAL","UNITED AIR LINES","9","2.1","60.0"
"2012","12","SKW","SKYWEST","1","0.2","3.00"
"2012","12","SWA","SOUTHWEST AIRLINES","1","0.8","3.00"
"2012","12","AAL","AMERICAN AIRLINES","14","15.9","42.00"
"2012","12","UAL","UNITED AIR LINES","17","3.9","52.00"
"2013","1","AAL","AMERICAN AIRLINES","10","11.6","38.00"
"2013","1","UAL","UNITED AIR LINES","16","3.8","62.00"
"2013","2","VRD","VIRGIN AMERICA","1","0.8","3.00"
"2013","2","AAL","AMERICAN AIRLINES","14","17.7","47.00"
"2013","2","UAL","UNITED AIR LINES","15","3.9","50.0"
"2013","3","AWE","US AIRWAYS","1","2.3","4.00"
"2013","3","DAL","DELTA AIR LINES","2","3.0","7.00"
"2013","3","UAL","UNITED AIR LINES","11","2.5","41.00"
"2013","3","AAL","AMERICAN AIRLINES","13","14.4","48.00"
"2013","4","AWE","US AIRWAYS","1","2.4","4.00"
"2013","4","EJA","NETJETS AVIATION","1","6.3","4.00"
"2013","4","AAL","AMERICAN AIRLINES","9","10.2","35.00"
"2013","4","UAL","UNITED AIR LINES","15","3.3","58.00"
"2013","5","HAL","HAWAIIAN AIRLINES","1","32.3","3.00"
"2013","5","DAL","DELTA AIR LINES","2","2.8","6.00"
"2013","5","AAL","AMERICAN AIRLINES","14","15.5","41.00"
"2013","5","UAL","UNITED AIR LINES","17","3.5","50.0"
"2013","6","DAL","DELTA AIR LINES","4","4.8","13.00"
"2013","6","AAL","AMERICAN AIRLINES","11","12.3","37.00"
"2013","6","UAL","UNITED AIR LINES","15","2.9","50.0"
"2013","7","DAL","DELTA AIR LINES","2","2.2","9.00"
"2013","7","AAL","AMERICAN AIRLINES","6","6.8","26.00"
"2013","7","UAL","UNITED AIR LINES","15","2.8","65.00"
"2013","8","AAL","AMERICAN AIRLINES","11","11.7","35.00"
"2013","8","UAL","UNITED AIR LINES","20","3.6","65.00"
"2013","9","SWA","SOUTHWEST AIRLINES","1","0.8","5.00"
"2013","9","VRD","VIRGIN AMERICA","1","0.7","5.00"
"2013","9","DAL","DELTA AIR LINES","2","2.6","10.0"
"2013","9","AAL","AMERICAN AIRLINES","5","5.5","24.00"
"2013","9","UAL","UNITED AIR LINES","12","2.4","57.00"
"2013","10","JBU","JETBLUE","1","2.7","3.00"
