"year","month","_01l_r","_01l_r_percent_of_departures","_10l_r","_10l_r_percent_of_departures","_19l_r","_19l_r_percent_of_departures","_28l_r","_28l_r_percent_of_departures"
"2018","3","292","47.00","117","19.00","5","1.00","201","33.00"
"2018","4","301","48.00","51","8.00","0","0","276","44.00"
"2018","5","309","44.00","1","0","0","0","400","56.00"
"2018","6","326","47.00","17","2.00","0","0","347","50.0"
"2018","7","341","48.00","1","0","0","0","371","52.00"
"2018","8","414","53.00","3","0","0","0","364","47.00"
"2018","9","267","44.00","0","0","0","0","342","56.00"
"2018","10","249","43.00","3","1.00","0","0","331","57.00"
"2018","11","249","51.00","20","4.00","14","3.00","205","42.00"
"2018","12","269","52.00","52","10.0","0","0","199","38.00"
"2019","1","159","37.00","55","13.00","16","4.00","200","47.00"
"2019","2","11","38.00","88","30.0","3","1.00","89","31.00"
"2019","3","201","43.00","88","19.00","0","0","181","39.00"
"2019","4","191","40.0","2","0","0","0","284","60.0"
"2019","5","182","31.00","14","2.00","0","0","388","66.00"
"2019","6","287","43.00","2","0","0","0","375","56.00"
"2019","7","324","48.00","1","0","0","0","350","52.00"
