"respnum","ccgid","runid","intdate","day","gate","barea","strata","peak","meth","saq","airline","destination","flight","airline_code","dest_code","destgeo","destmark","arrtime","deptime","q2purp1","q2purp2","q2purp3","q3getto1","q3getto2","q3getto3","q3park","q4bags","q4store","q4food","q4wifi","q5timesflown","q5firsttime","q6longuse","q7art","q7food","q7store","q7sign","q7walkway","q7screens","q7infodown","q7infoup","q7wifi","q7roads","q7park","q7airtrain","q7ltparking","q7rental","q7all","q8_1","q8_2","q8_3","q8_4","q8_5","q8_6","q9boarding","q9airtrain","q9rental","q9food","q9restroom","q9all","q9_1","q9_2","q9_3","q10safe","q10_1","q10_2","q10_3","q11tsapre","q12precheckrate","q12_1","q12_2","q12_3","q13county","q13getrate","q14find","q14passthru","q15problem","q15a","q15_1","q15_2","q15_3","netpro","q17live","q18county","q18zip","q18country","home","q19clear","q20age","q21gender","q22income","q23fly","q24sjc","q24oak","lang","weight"
"1831","1673","552","21","2","102","G","3","3","1","2","TURKISH AIRLINES","ISTANBUL","80","29","27","7","4","1899-12-31T13:30:00.000","1899-12-31T18:15:00.000","1",,,"6",,,,"1","1","2","1","2","1","2","5","5","5","5","5","4","6","6","4","6","6","6","6","6","5","0",,,,,,"5","6","6","6","4","5","0",,,"4","12",,,"2",,,,,"5","5","5","5","2",,,,,"9","3",,,"BULGARIA","15","2","3","1","0","2","0","1","1","0.6704842"
"1848","1684","552","21","2","102","G","3","3","1","1","TURKISH AIRLINES","ISTANBUL","80","29","27","7","4","1899-12-31T16:00:00.000","1899-12-31T18:15:00.000","2",,,"7",,,,"1","1","1","1","1","1","4","4","4","4","4","3","3","3","3","4","4","4","6","6","6","4","102",,,,,,"4","4","4","4","4","4","0",,,"3","23",,,"3",,,,,"5","4","4","5","2",,,,,"9","3",,,"TURKEY","15","2","6","1","1","2","2","2","1","0.6704842"
"1841","1679","552","21","2","102","G","3","3","1","2","TURKISH AIRLINES","ISTANBUL","80","29","27","7","4","1899-12-31T13:15:00.000","1899-12-31T18:15:00.000","13",,,"2",,,,"1","1","1","1","4","1","2","5","5","5","5","5","5","5","5","5","5","5","5","6","5","5","203","202",,,,,"5","5","5","5","4","5","0",,,"5","0",,,"2",,,,,"1","5","5","2","2",,,,,"9","2","HUMBOLDT COUNTY","95501","US","10","2","5","2","2","3","2","2","1","0.6704842"
"1835","1675","552","21","2","102","G","3","3","1","1","TURKISH AIRLINES","ISTANBUL","80","29","27","7","4","1899-12-31T13:00:00.000","1899-12-31T18:15:00.000","3",,,"2",,,,"1","2","2","1","1","2","0","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","8",,,,,,"5","5","5","5","5","5","0",,,"5","3",,,"3",,,,,"5","0","4","5","2",,,,,"10","2","YOLO COUNTY","95691","US","10","2","3","1","1","3","2","2","1","0.6704842"
"1849","1685","552","21","2","102","G","3","3","1","2","TURKISH AIRLINES","ISTANBUL","80","29","27","7","4","1899-12-31T13:30:00.000","1899-12-31T18:15:00.000","3",,,"5",,,,"0","1","0","0","1","2","1","0","4","0","5","5","5","0","0","0","6","6","6","6","6","5","60",,,,,,"5","6","0","5","5","5","0",,,"5","0",,,"0",,,,,"0","5","5","5","2",,,,,"10","3",,,,"99","2","3","2","0","0","0","0","1","0.6704842"
"2289","794","537","16","4","8","A","3","3","1","1","QANTAS","SYDNEY","74","26","67","9","4","1899-12-31T20:00:00.000","1899-12-31T22:45:00.000","4",,,"2",,,,"1","1","0","0","1","2","1","5","5","5","5","5","5","5","5","5","4","4","4","4","4","5","0",,,,,,"4","4","4","4","4","4","0",,,"5","0",,,"0",,,,,"7","4","4","0","0",,,,,"11","0",,,,"99","0","0","0","0","0","0","0","1","0.6704842"
"977","1355","542","18","6","99","G","3","3","1","2","LUFTHANSA","MUNICH","459","24","39","6","4","1899-12-31T13:00:00.000","1899-12-31T20:55:00.000","2","3",,"3",,,,"0","1","0","1","1","1","0","0","3","3","0","4","4","0","0","4","0","0","0","0","0","3","0",,,,,,"0","0","0","0","0","3","0",,,"3","0",,,"4",,,,,"11","1","3","0","2",,,,,"11","0",,,,"99","2","6","2","0","0","2","2","1","0.3607733"
"105","565","626","29","3","88","F","2","1","1","1","UNITED","WASHINGTON,DC-DULLES","727","30","72","2","2","1899-12-31T09:55:00.000","1899-12-31T12:20:00.000","3",,,"6",,,,"1","0","1","1","3","1","4","0","3","6","0","3","3","0","0","3","2","2","4","6","6","BLANK","101",,,,,,"4","5","6","4","4","3","0",,,"4","0",,,"2",,,,,"1","3","3","0","2",,,,,"11","1","ALAMEDA COUNTY","94703","US","1","2","7","2","4","2","2","1","1","1.4869248"
"1973","1109","105","11","6","7","A","2","3","1","1","CATHAY PACIFIC","HONG KONG","879","12","23","8","4","1899-12-31T11:00:00.000","1899-12-31T13:05:00.000","2",,,"2",,,,"1","2","2","2","1","2","1","6","4","6","4","5","5","6","6","6","6","6","6","6","6","5","1",,,,,,"5","6","6","6","5","5","0",,,"5","0",,,"2",,,,,"5","5","5","3","1","TRANSLATE","33",,,"0","3",,,"CHINA","16","2","7","2","3","2","2","2","3","0.3191648"
"2385","891","531","16","4","102","G","3","3","1","1","UNITED INTL","SYDNEY","863","31","67","9","4","1899-12-31T14:00:00.000","1899-12-31T22:35:00.000","2",,,"3",,,,"2","1","1","1","1","2","1","6","3","3","4","5","3","6","6","5","6","6","6","6","6","4","505",,,,,,"5","6","6","5","4","4","0",,,"5","0",,,"4",,,,,"11","6","4","6","1","MY AIRLINE LOST MY BAG.","41",,,"0","3",,,"AUSTRALIA","19","2","3","1","4","3","2","2","1","1.4869248"
"3209","2286","605","22","3","84","F","3","2","1","1","UNITED","SANTA BARBARA","5584","30","61","1","1","1899-12-31T19:45:00.000","1899-12-31T20:20:00.000","2",,,"3",,,,"2","2","2","1","2","1","4","6","6","6","4","6","0","3","0","0","6","6","6","6","6","1","5","501",,,,,"1","6","6","6","3","3","0",,,"4","12",,,"2",,,,,"11","0","3","2","1","6:38PM FLIHT DELAYED & THEN CHANGED, GATES CHANGED MANY TIMES, I WAS REBOOKED AND THEN MISSED DUE TO ATE CHANE NOW GOING ON FLIGHT.","53","54",,"0","3","SANTA BARBARA COUNTY","93117","US","10","0","7","2","0","2","2","2","1","1.4869248"
"1794","2108","550","20","1","50","D","3","2","1","1","ALASKA","RALEIGH-DURHAM","1074","7","53","2","2","1899-12-31T20:00:00.000","1899-12-31T22:25:00.000","1",,,"6",,,,"1","2","2","1","3","1","2","6","4","4","5","5","5","6","6","5","6","6","5","6","6","4","1",,,,,,"4","4","6","6","4","4","0",,,"5","16",,,"1","5","2","21",,"5","3","5","5","2",,,,,"0","3","KING COUNTY","98101","US","10","2","6","1","3","2","2","2","1","1.1063322"
"278","2538","57","3","5","90","F","3","2","1","1","UNITED","BALTIMORE","1153","30","6","2","2","1899-12-31T19:30:00.000","1899-12-31T21:44:00.000","2",,,"2",,,,"2","2","1","2","1","1","3","3","3","3","4","5","4","6","6","6","4","6","6","6","6","3","801",,,,,,"5","6","6","4","3","4","0",,,"4","6",,,"2",,,,,"8","2","5","4","2",,,,,"0","1","SOLANO COUNTY","94535","US","8","2","3","1","2","2","2","2","1","1.4869248"
"517","2641","77","6","1","69","E","2","2","1","1","UNITED","FT. LAUDERDALE","1843","30","21","2","3","1899-12-31T12:45:00.000","1899-12-31T14:30:00.000","3",,,"14",,,,"1","3","2","1","1","2","1","6","6","6","4","5","5","6","6","5","6","6","6","6","6","5","0",,,,,,"5","4","6","6","6","5","0",,,"5","2",,,"2",,,,,"11","0","5","6","2",,,,,"0","3",,,"HAITI","13","0","4","1","0","2","2","2","1","1.4869248"
"1265","120","50","3","5","3","A","2","3","1","1","CATHAY PACIFIC","HONG KONG","879","12","23","8","4","1899-12-31T09:30:00.000","1899-12-31T13:05:00.000","3",,,"2",,,,"1","2","1","1","3","1","4","6","4","6","4","6","4","6","6","4","6","6","6","6","6","4","3",,,,,,"4","6","6","4","4","4","0",,,"4","0",,,"2",,,,,"6","5","5","5","2",,,,,"0","1","SAN MATEO COUNTY","94401","US","6","2","6","2","2","1","2","2","3","0.3191648"
"2885","2129","180","18","6","7","G","2","3","1","1","EVA AIR","TAIPEI","7","18","68","8","4","1899-12-31T10:00:00.000","1899-12-31T13:00:00.000","1",,,"2",,,,"0","0","0","0","6","1","4","2","2","2","4","0","4","0","0","0","0","0","0","0","0","BLANK","31","105","110","43",,,"3","3","6","6","3","3","5",,,"5","0",,,"1","5","0",,,"5","3","3","3","1","WHEN IS CONSTRUCTION GOING TO STOP, AIR TRAIN BUS SIGNS BAD.","7",,,"2","1","SAN FRANCISCO COUNTY","94160","US","5","1","6","1","4","1","1","1","1","0.6704842"
"2457","943","905","11","6","67","E","2","2","1","1","UNITED","CHICAGO-O'HARE","268","30","12","3","4","1899-12-31T11:45:00.000","1899-12-31T14:19:00.000","1",,,"11",,,,"2","1","1","2","4","1","3","5","3","3","4","4","3","6","6","2","4","6","3","6","4","3","11","31","102","106","7","5","5","5","5","5","5","5","0",,,"5","4",,,"1","5","1",,,"5","5","5","4","2",,,,,"2","3","COOK COUNTY","60605","US","11","2","5","1","4","2","2","1","1","1.4869248"
"3198","522","1","1","3","84","F","1","1","1","1","UNITED","ONTARIO (CALIF)","5249","30","44","1","1","1899-12-31T22:50:00.000","1899-12-31T08:35:00.000","1","2",,"3",,,,"2","2","1","1","1","2","1","4","1","1","1","3","3","1","1","1","6","6","6","6","6","2","11",,,,,,"4","6","6","6","3","3","0",,,"4","0",,,"2",,,,,"11","2","3","6","1","9 HOUR LAYOVER.","53",,,"3","3",,,"CANADA","13","1","4","2","3","2","2","2","1","1.4869248"
"2128","720","532","16","4","22","B","3","2","1","1","FRONTIER","DENVER","668","19","14","1","4","1899-12-31T13:30:00.000","1899-12-31T17:33:00.000","6",,,"2",,,,"2","1","2","2","1","1","4","3","6","5","3","4","3","6","6","6","5","6","6","6","6","4","52","53","60","61",,,"5","6","6","6","5","5","0",,,"5","4",,,"1","3","20",,,"28","3","3","4","2",,,,,"3","2","MONTEREY COUNTY","95004","US","10","2","5","2","1","2","1","2","1","0.2080380"
"2199","198","41","3","5","23","B","1","1","1","1","SOUTHWEST","LAS VEGAS","1494","28","31","1","4","1899-12-31T07:45:00.000","1899-12-31T10:45:00.000","1",,,"14",,,,"1","2","1","2","3","1","2","6","4","6","3","6","4","6","6","6","6","6","6","6","6","2","5",,,,,,"4","6","6","4","4","4","0",,,"3","11",,,"2",,,,,"5","5","3","4","2",,,,,"4","1","SAN FRANCISCO COUNTY","94118","US","5","2","2","1","0","3","2","1","1","0.9942748"
"1376","24","85","8","3","96","G","2","3","1","1","UNITED INTL","SHANGHAI","891","31","64","8","4","1899-12-31T13:00:00.000","1899-12-31T16:25:00.000","3",,,"3",,,,"1","2","1","2","1","2","1","6","3","3","2","4","4","6","6","6","6","6","6","6","6","4","52",,,,,,"3","6","6","3","2","4","0",,,"4","0",,,"2",,,,,"11","6","6","6","1","THE SIGNS AND DIRECTIONS ARE NOT CLEAR / COMPLETE","1",,,"5","3","MECKLENBURG COUNTY","28213","US","12","2","6","2","1","2","2","2","3","1.4869248"
"2152","864","528","16","4","94","G","3","3","1","1","AIR CANADA","VANCOUVER","571","3","71","4","2","1899-12-31T18:15:00.000","1899-12-31T20:05:00.000","2",,,"3",,,,"2","2","2","1","1","2","1","4","4","4","3","5","5","6","6","5","6","6","6","6","6","4","56","35","803",,,,"3","6","6","3","3","3","0",,,"4","11",,,"4",,,,,"11","6","2","6","1","I DIDN'T SEE ANY TROLLIES TO HELP PEOPLE LIKE SENIORS, ELDERL TO GET AROUND.","61",,,"5","3",,,"CANADA","13","2","7","2","1","2","2","2","1","0.3461202"
"621","1517","517","15","3","50","D","3","2","1","1","ALASKA","WASHINGTON,DC-DULLES","1090","7","72","2","2","1899-12-31T19:40:00.000","1899-12-31T21:05:00.000","1",,,"1",,,"4","2","2","2","1","4","1","3","6","6","6","6","6","3","6","6","3","6","6","6","6","6","3","0",,,,,,"3","6","6","6","6","3","0",,,"5","6",,,"1","5","1",,,"9","3","3","4","2",,,,,"5","1","SONOMA COUNTY","95404","US","9","2","3","1","3","2","1","1","1","1.1063322"
"4","401","13","1","3","25","B","3","2","1","1","SOUTHWEST","LOS ANGELES","5821","28","34","1","4","1899-12-31T19:05:00.000","1899-12-31T20:20:00.000","1",,,"6",,,,"2","2","2","2","5","1","3","5","1","2","5","5","4","6","6","3","3","6","2","6","6","3","105","101","77","106",,,"5","5","6","3","4","4","0",,,"4","3",,,"1","5","21",,,"5","3","5","5","2",,,,,"5","3","LOS ANGELES COUNTY","90210","US","10","2","4","1","3","1","2","1","1","0.9942748"
"1541","307","35","2","4","99","G","2","3","1","1","AIR CHINA","BEIJING","986","4","7","8","4","1899-12-31T12:30:00.000","1899-12-31T14:50:00.000","2",,,"2",,,,"1","2","2","1","2","1","1","3","6","6","3","3","1","6","6","3","6","6","6","6","6","3","0",,,,,,"4","6","6","6","4","4","0",,,"5","0",,,"2",,,,,"5","3","5","1","2",,,,,"5","1","SAN FRANCISCO COUNTY","94112","US","5","2","6","2","1","2","2","2","3","0.6704842"
"2242","834","527","16","4","94","G","3","3","1","1","WOW","REYKJAVIK","162","33","54","6","1","1899-12-31T16:19:00.000","1899-12-31T18:55:00.000","2",,,"2",,,,"1","1","2","1","1","1","4","3","4","3","4","4","4","4","4","3","4","3","3","3","3","3","202",,,,,,"4","4","4","4","3","4","0",,,"4","0",,,"2",,,,,"7","4","5","3","2",,,,,"5","3","KING COUNTY","98050","US","10","2","3","2","2","2","1","2","1","0.6088813"
"1039","1300","540","18","6","94","G","3","3","1","1","AIR CANADA","CALGARY","8590","3","10","4","2","1899-12-31T14:50:00.000","1899-12-31T18:55:00.000","2",,,"3",,,,"2","2","1","1","1","1","3","6","3","6","3","6","3","6","6","4","6","6","6","6","6","3","5","59","64","803",,,"4","6","6","4","4","4","0",,,"3","5",,,"4",,,,,"11","4","4","6","2",,,,,"5","3",,,"CANADA","13","2","7","2","0","2","2","2","1","0.3461202"
"475","2419","547","20","1","54","D","3","2","1","1","ALASKA","PORTLAND","1811","7","50","1","2","1899-12-31T17:00:00.000","1899-12-31T19:58:00.000","2",,,"5",,,,"2","2","2","2","1","1","4","5","3","3","3","3","2","6","1","6","6","6","6","6","6","3","56","58","61","205","152","991","5","6","6","6","4","0","0",,,"5","8",,,"1","6","3",,,"5","5","3","3","2",,,,,"5","3","WASHINGTON COUNTY","97229","US","10","2","7","2","4","2","2","2","1","1.1063322"
"2460","966","907","11","6","2","A","3","2","1","1","ALASKA","SALT LAKE CITY","744","7","55","1","2","1899-12-31T15:45:00.000","1899-12-31T19:30:00.000","2",,,"3",,,,"1","2","1","1","2","1","1","4","4","6","2","4","4","5","6","4","6","6","4","6","6","4","53","56","57","8",,,"3","4","6","4","6","4","0",,,"5","16",,,"4",,,,,"11","5","2","2","2",,,,,"5","3","SALT LAKE COUNTY","84109","US","10","2","5","1","3","2","2","2","1","1.1063322"
"2132","721","532","16","4","22","B","3","2","1","1","FRONTIER","DENVER","668","19","14","1","4","1899-12-31T14:30:00.000","1899-12-31T17:33:00.000","3",,,"2",,,,"2","1","2","1","1","1","2","6","6","3","4","3","3","6","6","5","4","6","6","6","6","4","53",,,,,,"3","6","6","6","3","3","0",,,"5","8",,,"1","5","2",,,"7","3","3","4","2",,,,,"5","3","VOLUSIA COUNTY","32174","US","12","2","7","1","1","2","2","2","1","0.2080380"
"1594","274","32","2","4","97","G","2","3","1","1","SINGAPORE AIRLINES","SINGAPORE","31","27","65","8","4","1899-12-31T09:30:00.000","1899-12-31T11:30:00.000","3",,,"2",,,,"1","2","2","2","1","1","4","3","3","3","3","4","4","6","6","6","5","3","2","3","6","3","0",,,,,,"3","3","3","3","4","3","0",,,"3","0",,,"2",,,,,"5","3","5","5","2",,,,,"5","1","SAN FRANCISCO COUNTY","94102","US","5","2","7","2","1","2","2","2","3","0.6704842"
"1536","305","35","2","4","99","G","2","3","1","1","AIR CHINA","BEIJING","986","4","7","8","4","1899-12-31T12:00:00.000","1899-12-31T14:50:00.000","3",,,"2",,,,"1","2","2","1","3","1","2","6","6","6","3","3","3","6","6","4","6","6","6","6","6","3","0",,,,,,"4","6","6","6","5","4","0",,,"3","0",,,"2",,,,,"7","3","6","5","2",,,,,"5","3",,,"CHINA","16","2","5","2","3","2","2","2","3","0.6704842"
"1582","328","21","2","4","41","C","1","1","1","1","DELTA","SALT LAKE CITY","3576","16","55","1","2","1899-12-31T08:00:00.000","1899-12-31T10:05:00.000","6",,,"2",,,,"1","2","2","2","1","1","4","6","6","6","3","6","3","6","6","6","6","6","6","6","6","3","0",,,,,,"5","6","6","6","4","4","0",,,"4","11",,,"2",,,,,"6","4","5","5","2",,,,,"5","3","SALT LAKE COUNTY","84065","US","10","2","7","1","3","2","2","2","1","1.1789461"
"684","2346","638","30","4","6","A","2","3","1","1","CATHAY PACIFIC","HONG KONG","879","12","23","8","4","1899-12-31T09:15:00.000","1899-12-31T13:05:00.000","3",,,"2",,,,"1","2","2","1","3","1","3","6","3","3","4","5","4","6","6","5","6","6","6","6","6","4","102",,,,,,"5","6","6","3","4","4","0",,,"5","0",,,"2",,,,,"5","2","4","3","1","TSA IS RUDE.","32",,,"6","3",,,"CHINA","16","0","3","1","0","1","1","2","1","0.3191648"
"101","561","626","29","3","88","F","2","1","1","1","UNITED","WASHINGTON,DC-DULLES","727","30","72","2","2","1899-12-31T10:00:00.000","1899-12-31T12:20:00.000","1",,,"5",,,,"1","1","1","2","2","1","2","4","4","4","4","4","4","6","6","6","3","6","6","6","6","3","72",,,,,,"5","6","6","5","4","4","0",,,"4","0",,,"1","5","0",,,"7","1","4","3","2",,,,,"6","3","MONTGOMERY COUNTY","20852","US","12","2","4","2","0","2","1","2","1","1.4869248"
"2455","964","907","11","6","2","A","3","2","1","1","ALASKA","SALT LAKE CITY","744","7","55","1","2","1899-12-31T17:00:00.000","1899-12-31T19:30:00.000","2",,,"3",,,,"2","2","2","2","1","1","4","6","6","6","3","4","4","6","6","6","6","6","6","6","6","4","65","202","204",,,,"3","6","6","6","6","3","0",,,"5","5",,,"4",,,,,"11","0","3","1","2",,,,,"6","3","UTAH COUNTY","84003","US","10","2","5","1","4","2","2","2","1","1.1063322"
"294","2557","54","3","5","81","F","3","2","1","1","UNITED","SAN DIEGO","460","30","57","1","2","1899-12-31T16:30:00.000","1899-12-31T19:32:00.000","2",,,"2",,,,"2","1","1","2","3","1","4","5","5","4","5","5","4","6","6","6","4","4","4","6","6","5","72",,,,,,"4","4","6","4","4","4","0",,,"5","3",,,"2",,,,,"1","2","4","4","2",,,,,"6","0",,,,"99","0","0","0","0","0","0","0","1","1.4869248"
"1005","1327","541","18","6","98","G","3","3","1","1","AIR CANADA","VANCOUVER","571","3","71","4","2","1899-12-31T16:00:00.000","1899-12-31T20:05:00.000","2",,,"5",,,,"2","2","2","1","3","1","3","4","3","3","4","4","4","5","6","5","4","6","5","6","6","3","102","14","22",,,,"5","5","6","4","4","4","0",,,"5","4",,,"1","5","2",,,"1","3","5","4","2",,,,,"6","1","ALAMEDA COUNTY","94502","US","1","2","3","2","3","2","2","1","1","0.3461202"
"464","2417","547","20","1","54","D","3","2","1","1","ALASKA","PORTLAND","1811","7","50","1","2","1899-12-31T18:00:00.000","1899-12-31T19:58:00.000","2",,,"9",,,,"1","2","1","1","1","2","1","3","4","4","4","5","4","3","3","4","4","6","5","6","5","4","31","54","59",,,,"3","4","4","3","4","4","0",,,"4","1",,,"2",,,,,"18","3","3","5","2",,,,,"6","3","BENTON COUNTY","99352","US","10","2","5","2","2","2","2","2","1","1.1063322"
"728","2366","638","30","4","6","A","2","3","1","2","CATHAY PACIFIC","HONG KONG","879","12","23","8","4","1899-12-31T10:00:00.000","1899-12-31T13:05:00.000","3",,,"2",,,,"1","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0",,,,,,"5","0","0","0","0","5","4",,,"5","1",,,"0",,,,,"0","0","5","5","2",,,,,"1","0",,,,"99","0","6","2","0","2","2","2","1","0.3191648"
"1583","300","33","2","4","95","G","2","3","1","1","UNITED INTL","HONG KONG","869","31","23","8","4","1899-12-31T10:30:00.000","1899-12-31T13:00:00.000","2",,,"13",,,,"1","1","2","1","1","2","1","6","6","5","5","5","6","6","6","5","6","6","6","6","6","5","0",,,,,,"5","6","6","6","6","5","0",,,"5","0",,,"2",,,,,"5","3","6","5","2",,,,,"6","3",,,"CHINA","16","2","6","2","3","2","2","2","3","1.4869248"
"1579","299","33","2","4","95","G","2","3","1","1","UNITED INTL","HONG KONG","869","31","23","8","4","1899-12-31T10:00:00.000","1899-12-31T13:00:00.000","2",,,"8",,,,"2","2","1","1","1","1","4","6","3","6","4","4","3","6","6","4","4","6","6","6","6","4","102",,,,,,"5","6","6","4","4","4","0",,,"5","2",,,"1","4","2",,,"5","5","4","5","2",,,,,"6","3",,,"CHINA","16","2","7","2","2","2","2","2","3","1.4869248"
"1269","122","50","3","5","3","A","2","3","1","1","CATHAY PACIFIC","HONG KONG","879","12","23","8","4","1899-12-31T10:20:00.000","1899-12-31T13:05:00.000","3",,,"1",,,"0","1","1","2","2","1","1","4","6","6","3","4","6","4","6","6","6","3","6","6","6","6","4","0",,,,,,"3","6","6","6","3","3","13",,,"3","12",,,"2",,,,,"5","3","5","4","2",,,,,"6","1","SAN FRANCISCO COUNTY","94134","US","5","2","6","2","0","2","2","2","3","0.3191648"
"2654","1153","120","12","7","2","A","2","3","1","1","AEROMEXICO","MEXICO CITY","669","2","36","4","4","1899-12-31T09:45:00.000","1899-12-31T13:35:00.000","3",,,"2",,,,"1","2","1","2","1","2","1","6","6","6","5","5","6","6","6","6","6","6","6","6","6","4","10",,,,,,"5","6","6","6","5","5","0",,,"5","1",,,"2",,,,,"7","5","6","5","2",,,,,"6","1","SANTA CLARA COUNTY","95111","US","7","2","6","2","0","2","1","2","2","0.6704842"
