"objectid","cnn","streetname","from_st","to_st","facility_t","direct","surface_tr","barrier","notes","dir","double","fy","qtr","street_","length","number_","install_yr","install_mo","update_yr","update_mo","globalid","symbology","sharrow","buffered","raised","contraflow","greenwave","biap","sm_sweeper","shape"
"2946","0.0",,,,"CLASS I","2W",,,,,"0","0","0",,"0.16222728","85","0",,"0",,,"BIKE PATH","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.49317 37.767082, -122.49333 37.764732)"
"2657","0.0",,,,"CLASS I","2W",,,,,"1","0","0",,"0.38324751","91","0",,"0",,,"BIKE PATH","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.50229 37.711765, -122.504234 37.717106)"
"4544","0.0",,,,"CLASS I","2W",,,,,"1","0","0",,"0.2086306","91","0",,"0",,,"BIKE PATH","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.50399 37.716877, -122.504036 37.716896, -122.50408 37.716934, -122.50412 37.71697, -122.504166 37.717, -122.504196 37.717045, -122.50423 37.71709, -122.504234 37.717106, -122.50425 37.71712, -122.50426 37.717136, -122.504265 37.71715, -122.50428 37.717167, -122.50429 37.717182, -122.504295 37.717197, -122.50431 37.717213, -122.50432 37.717228, -122.504326 37.717247, -122.50433 37.717262, -122.50434 37.717278, -122.50435 37.717293, -122.50436 37.71731, -122.504364 37.717327, -122.50437 37.717346, -122.50438 37.71736, -122.50438 37.717377, -122.50439 37.717396, -122.504395 37.71741, -122.5044 37.71743, -122.5044 37.717445, -122.50441 37.717464, -122.50441 37.71748, -122.50442 37.7175, -122.50442 37.717514, -122.504425 37.717533, -122.504425 37.717552, -122.504425 37.717567, -122.504425 37.717587, -122.50443 37.7176, -122.50443 37.71762, -122.50443 37.717636, -122.50443 37.717655, -122.50443 37.717674, -122.50443 37.71769, -122.50443 37.71771, -122.50443 37.717724, -122.50443 37.717743, -122.504425 37.717762, -122.504425 37.717777, -122.504425 37.717796, -122.50442 37.71781, -122.50442 37.71783, -122.50442 37.717846, -122.50441 37.717865, -122.50441 37.717884, -122.5044 37.7179, -122.504395 37.71792, -122.504395 37.717934, -122.50439 37.71795, -122.50438 37.717968, -122.50438 37.717983, -122.50437 37.718002, -122.504364 37.718018, -122.50436 37.718033, -122.50435 37.718052, -122.50434 37.718067, -122.50433 37.718082, -122.504326 37.7181, -122.50432 37.718117, -122.5043 37.718132, -122.504295 37.718147, -122.50429 37.718163, -122.50428 37.718178, -122.504265 37.718197, -122.50426 37.718212, -122.50424 37.718227, -122.504234 37.718243, -122.50423 37.718254, -122.50421 37.71827, -122.504196 37.718285, -122.50419 37.7183, -122.50417 37.718315, -122.50416 37.71833, -122.50415 37.71834, -122.504135 37.718357, -122.50412 37.71837, -122.504105 37.718384, -122.50409 37.718395, -122.504074 37.71841, -122.50406 37.718422, -122.50405 37.718437, -122.50403 37.71845, -122.50401 37.71846, -122.504 37.71847, -122.50398 37.718487, -122.50397 37.7185, -122.50395 37.71851, -122.50394 37.71852, -122.50392 37.718533, -122.5039 37.718544, -122.50388 37.71855, -122.50387 37.718563, -122.503845 37.718575, -122.50383 37.718582, -122.503815 37.718594, -122.50379 37.718605, -122.50378 37.718613, -122.50375 37.71862, -122.50374 37.71863, -122.503716 37.71864, -122.5037 37.718647, -122.50368 37.718655, -122.503654 37.718662, -122.50364 37.71867, -122.50362 37.718678, -122.5036 37.718685, -122.50358 37.718693, -122.503555 37.7187, -122.50354 37.718704, -122.50352 37.71871, -122.503494 37.71872, -122.50347 37.718723, -122.503456 37.71873, -122.50343 37.718735, -122.50341 37.71874, -122.50339 37.718742, -122.503365 37.718746, -122.50335 37.71875, -122.50333 37.718754, -122.5033 37.718758, -122.50328 37.71876, -122.50326 37.718765, -122.503235 37.71877, -122.50322 37.71877, -122.5032 37.718773, -122.503174 37.718773, -122.50315 37.718777, -122.50313 37.718777, -122.503105 37.718777, -122.50308 37.718777, -122.50306 37.71878, -122.50304 37.71878, -122.50302 37.71878, -122.503 37.718777, -122.502975 37.718777, -122.50295 37.718777, -122.50293 37.718777, -122.50291 37.718773, -122.502884 37.718773, -122.50286 37.71877, -122.50284 37.71877, -122.50282 37.718765, -122.5028 37.71876, -122.50278 37.718758, -122.502754 37.718758, -122.50273 37.718754, -122.50271 37.718746, -122.50269 37.718742, -122.50267 37.71874, -122.50265 37.718735, -122.502625 37.71873, -122.5026 37.718723, -122.50259 37.71872, -122.50256 37.71871)"
"583","0.0",,,,"CLASS I","2W",,,,,"1","0","0",,"0.05579484","55","0",,"0",,,"BIKE PATH","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.44733 37.77189, -122.44736 37.771996, -122.44725 37.77201, -122.44738 37.772617)"
"3319","0.0",,,,"CLASS I","2W",,,,,"1","0","0",,"0.14142663","91","0",,"0",,,"BIKE PATH","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.50256 37.71871, -122.50258 37.718735, -122.502594 37.718758, -122.50261 37.71878, -122.502625 37.718807, -122.50263 37.71883, -122.50265 37.718853, -122.50266 37.718876, -122.50268 37.7189, -122.502686 37.718925, -122.5027 37.71895, -122.50271 37.71897, -122.50272 37.718998, -122.50273 37.71902, -122.50274 37.719048, -122.502754 37.71907, -122.50276 37.719097, -122.50277 37.71912, -122.50278 37.719147, -122.50279 37.71917, -122.5028 37.719196, -122.50281 37.71922, -122.502815 37.719246, -122.502815 37.719273, -122.50282 37.719296, -122.50283 37.719322, -122.50284 37.71935, -122.502846 37.71937, -122.502846 37.7194, -122.50285 37.719425, -122.50285 37.71945, -122.50286 37.719475, -122.50286 37.7195, -122.50287 37.71953, -122.50287 37.719555, -122.50287 37.71958, -122.50288 37.719604, -122.50288 37.71963, -122.50288 37.719658, -122.50288 37.719685, -122.50288 37.719707, -122.50288 37.719734, -122.50288 37.71976, -122.50288 37.719788, -122.50288 37.719814, -122.50288 37.719837, -122.50287 37.719864, -122.50287 37.71989, -122.50287 37.719917, -122.50286 37.719944, -122.50286 37.719967, -122.50285 37.719994, -122.50285 37.72002, -122.502846 37.720047, -122.50284 37.72007, -122.50283 37.720097, -122.50283 37.720108, -122.50283 37.720123, -122.50282 37.720135, -122.502815 37.72015, -122.502815 37.72016, -122.50281 37.720177, -122.5028 37.72019, -122.5028 37.7202, -122.50279 37.720215, -122.502785 37.720226, -122.50278 37.720238, -122.50277 37.72025, -122.50276 37.720264, -122.502754 37.720276, -122.50275 37.720287, -122.50274 37.7203, -122.50273 37.72031, -122.50272 37.72032, -122.50271 37.720333, -122.5027 37.720345, -122.50269 37.720356, -122.50268 37.720364, -122.50267 37.720375, -122.502655 37.720387, -122.50265 37.720398, -122.50263 37.720406, -122.502625 37.720417, -122.50261 37.720425, -122.5026 37.720436, -122.50259 37.720444, -122.50257 37.72045, -122.502556 37.720463, -122.50255 37.72047, -122.50253 37.720478, -122.50252 37.720486, -122.5025 37.720493, -122.50249 37.7205, -122.50247 37.72051, -122.50246 37.720512, -122.50245 37.72052, -122.50243 37.720528, -122.50242 37.72053, -122.5024 37.72054, -122.50238 37.720543, -122.502365 37.72055, -122.50235 37.720554)"
"4072","0.0",,,,"CLASS I","2W",,,,,"1","0","0",,"0.08011366","30","0",,"0",,,"BIKE PATH","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.43605 37.806557, -122.43618 37.80661, -122.43652 37.80665, -122.43748 37.80653, -122.437485 37.80653)"
"864","0.0",,,,"CLASS I","2W",,,,,"0","0","0",,"0.4677052","30","0",,"0",,,"BIKE PATH","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.44896 37.772274, -122.4489 37.772305, -122.448746 37.772415, -122.44862 37.772503, -122.44857 37.772533, -122.44854 37.772545, -122.44847 37.772552, -122.448395 37.772552, -122.44833 37.77255, -122.448265 37.772545, -122.44801 37.772537, -122.44784 37.77253, -122.44767 37.772556, -122.44751 37.772583, -122.447334 37.77263, -122.447174 37.772663, -122.447044 37.772697, -122.44697 37.77269, -122.4469 37.772675, -122.44682 37.772644, -122.44676 37.772625, -122.44669 37.77261, -122.446625 37.7726, -122.446556 37.7726, -122.44652 37.772602, -122.44644 37.772617, -122.44635 37.772655, -122.4462 37.772785, -122.44616 37.772816, -122.44601 37.77285, -122.445595 37.772896, -122.44524 37.77279, -122.44476 37.772926, -122.44399 37.77299, -122.44379 37.773014, -122.44247 37.773163, -122.44183 37.773243, -122.44149 37.773346, -122.44133 37.77339, -122.44118 37.773453, -122.44107 37.773552, -122.440926 37.773636)"
"1618","0.0",,,,"CLASS I","2W",,,,,"0","0","0",,"0.31978493","75","0",,"0",,,"BIKE PATH","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.48098 37.772713, -122.48072 37.77235, -122.48096 37.771927, -122.48101 37.771824, -122.481064 37.771713, -122.4812 37.771545, -122.48134 37.771454, -122.48127 37.77135, -122.48122 37.77124, -122.48122 37.771206, -122.48122 37.771168, -122.48125 37.771126, -122.481255 37.771088, -122.48124 37.77105, -122.48108 37.770863, -122.481064 37.77083, -122.481064 37.7708, -122.48108 37.770775, -122.48113 37.770725, -122.481735 37.770134, -122.481544 37.77014, -122.48137 37.77017, -122.48095 37.770294, -122.4801 37.770546, -122.479996 37.770336)"
"2159","0.0",,,,"CLASS I","2W",,,,,"1","0","0",,"0.16222728","85","0",,"0",,,"BIKE PATH","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.49317 37.767082, -122.49333 37.764732)"
"4791","0.0",,,,"CLASS I","2W",,,,,"1","0","0",,"0.11046968","395","0",,"0",,,"BIKE PATH","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.5088 37.782425, -122.50895 37.782955, -122.50768 37.782627)"
"3429","0.0",,,,"CLASS I","2W",,,,,"1","0","0",,"1.37241367","365","0",,"0",,,"BIKE PATH","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.50182 37.767727, -122.50178 37.76632, -122.50133 37.76605, -122.50066 37.76573, -122.50012 37.76563, -122.499695 37.7656, -122.49956 37.765587, -122.49945 37.765594, -122.499016 37.76571, -122.49845 37.76579, -122.49839 37.765804, -122.49824 37.76589, -122.4982 37.76591, -122.49816 37.765934, -122.49813 37.76594, -122.49778 37.766056, -122.497284 37.766247, -122.49668 37.766438, -122.49648 37.76651, -122.496376 37.766537, -122.496254 37.76657, -122.4955 37.766697, -122.494354 37.76663, -122.4942 37.766617, -122.49412 37.766613, -122.49396 37.76664, -122.49344 37.766773, -122.49293 37.7669, -122.4924 37.76713, -122.49187 37.767326, -122.49099 37.767574, -122.490364 37.767788, -122.49004 37.767906, -122.48976 37.768, -122.489456 37.768085, -122.48933 37.768112, -122.48894 37.7682, -122.48846 37.768307, -122.487946 37.768448, -122.48755 37.768505, -122.48701 37.768612, -122.486534 37.76875, -122.48637 37.76879, -122.48628 37.76881, -122.48616 37.76883, -122.486046 37.768833, -122.48592 37.768826, -122.48579 37.76883, -122.48548 37.768883, -122.48481 37.76888, -122.48476 37.76888, -122.48471 37.768883, -122.48466 37.76889, -122.484634 37.768894, -122.4846 37.768906, -122.484566 37.768913, -122.48432 37.769, -122.48429 37.769012, -122.48427 37.769016, -122.48423 37.76902, -122.48421 37.76902, -122.484085 37.769028, -122.48368 37.76908, -122.48354 37.769165, -122.48333 37.769356, -122.48326 37.76939, -122.48318 37.769417, -122.48301 37.769432, -122.48267 37.769444, -122.48251 37.769547, -122.48241 37.769596, -122.482315 37.769627, -122.482185 37.769665, -122.48209 37.7697, -122.48188 37.769817, -122.48174 37.769913, -122.481445 37.769928, -122.48103 37.77002, -122.48051 37.770157, -122.47998 37.770336)"
"1011","0.0",,,,"CLASS I","2W",,,,,"1","0","0",,"0.03766947","55","0",,"0",,,"BIKE PATH","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.44896 37.771667, -122.44909 37.772205)"
"979","0.0",,,,"CLASS I","2W",,,,,"1","0","0",,"0.21595333","830","0",,"0",,,"BIKE PATH","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.47166 37.773144, -122.471634 37.7729, -122.47165 37.77274, -122.4717 37.77265, -122.47178 37.772552, -122.471886 37.772465, -122.47204 37.77236, -122.47221 37.772293, -122.47243 37.772243, -122.47295 37.772293, -122.4731 37.77231, -122.47321 37.77232, -122.473274 37.77233, -122.47334 37.772312, -122.47338 37.772274, -122.473434 37.772213, -122.47347 37.772125, -122.47351 37.77204, -122.473854 37.77123)"
"4582","0.0",,,,"CLASS I","2W",,,"Not City Maintained (OTHER PATH)",,"0","0","0",,"0.38324751","91","0",,"0",,,"BIKE PATH","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.50229 37.711765, -122.504234 37.717106)"
"3009","0.0",,,,"CLASS I","2W",,,,,"1","0","0",,"0.04562575","95","0",,"0",,,"BIKE PATH","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.50797 37.783394, -122.507706 37.78277)"
"4243","0.0",,,,"CLASS I","2W",,,,,"1","0","0",,"0.39258233","65","0",,"0",,,"BIKE PATH","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.426575 37.80803, -122.42652 37.80803, -122.42643 37.807655, -122.42639 37.807568, -122.42632 37.80744, -122.42621 37.807285, -122.4261 37.807205, -122.42593 37.807083, -122.42573 37.80696, -122.42524 37.806713, -122.42487 37.80658, -122.4245 37.806522, -122.42417 37.806503, -122.423904 37.806515, -122.423676 37.806553, -122.42345 37.80664, -122.4231 37.806793, -122.422676 37.80704, -122.42229 37.8073, -122.42212 37.807384, -122.42199 37.807423, -122.42179 37.80748, -122.42074 37.807602)"
