"street","x_street","direction","st_facing","dist","cnn","concatenat","mtab_date","mtab_reso_text","mtab_motion","status","workorder","install_date","shape",":@computed_region_jwn9_ihcz",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md"
"GARDENSIDE","BURNETT","NW","SB","0","26118000.0","GARDENSIDE & BURNETT",,,,,,,"POINT (-122.44525 37.75093)","51","51","7","5","38"
"HAYES","BUCHANAN","SW","EB","0","25933000.0","HAYES & BUCHANAN",,,,,,,"POINT (-122.4279 37.77625)","22","22","4","11","9"
"PALOU","PHELPS","NE","WB","0","20680000.0","PALOU & PHELPS",,,,,,,"POINT (-122.394646 37.736103)","87","87","2","9","1"
"16TH AVE","CLEMENT","NW","SB","0","27491000.0","16TH AVE & CLEMENT",,,,,,,"POINT (-122.47522 37.78245)","5","5","8","4","29"
"47TH AVE","SANTIAGO","NW","SB","3S","23508000.0","47TH AVE & SANTIAGO",,,,"I",,,"POINT (-122.50581 37.74359)","39","39","10","7","35"
"18TH AVE","LAKE","NW","SB","0","27634000.0","18TH AVE & LAKE",,,,,,,"POINT (-122.47763 37.786076)","2","2","8","4","29"
"BRIDGEVIEW","TOPEKA","NW","SB","0","20615000.0","BRIDGEVIEW & TOPEKA",,,,,,,"POINT (-122.397675 37.733273)","87","87","2","9","1"
"CLIPPER","DOUGLASS","SW","EB","0","22316000.0","CLIPPER & DOUGLASS",,,,,,,"POINT (-122.43823 37.74866)","84","84","3","5","22"
"38TH AVE","JUDAH","SE","NB","0","27782000.0","38TH AVE & JUDAH",,,,,,,"POINT (-122.49734 37.7608)","39","39","10","7","35"
"MUNICH","PERSIA","SE","NB","0","21627000.0","MUNICH & PERSIA",,,,,,,"POINT (-122.42798 37.71932)","90","90","9","1","7"
"LOWER","LEVANT","SW","EB","0","26177000.0","LOWER TER & LEVANT ST",,,,"I",,,"POINT (-122.44197 37.76325)","112","112","7","5","5"
"DEL MONTE","MT VERNON","SE","NB",,"21516000.0","DEL MONTE & MT VERNON",,,,,,,"POINT (-122.443886 37.71555)","80","80","9","1","28"
"FELTON","GOETTINGEN",,"WB",,"20895000.0","FELTON ST & GOETTINGEN ST",,,,,,,"POINT (-122.40755 37.729256)","91","91","2","2","25"
"41ST AVE","RIVERA","SE","NB","0","23470000.0","41ST AVE & RIVERA",,,,,,,"POINT (-122.49951 37.745735)","39","39","10","7","35"
"GEARY","48TH AVE","NE","WB",,"28011000.0","GEARY BLVD & 48TH AVE",,,,,,,"POINT (-122.50935 37.77896)","6","6","8","4","29"
"SILLIMAN","GIRARD","SW","EB",,"20896000.0","SILLIMAN ST & GIRARD",,,,,,,"POINT (-122.406075 37.730972)","91","91","2","2","25"
"YORK","22ND ST","NW","SB","0","23970000.0","YORK & 22ND ST",,,,,,,"POINT (-122.408485 37.75605)","53","53","3","2","20"
"JENNINGS ST","HOLLISTER","NW","SB","0","20470000.0","JENNINGS ST & HOLLISTER",,,,,,,"POINT (-122.39429 37.72078)","88","88","2","9","1"
"CARDENAS","GONZALEZ","SW","EB","0","23020000.0","CARDENAS & GONZALEZ",,,,,,,"POINT (-122.4755 37.718914)","42","42","10","8","16"
"NEVADA","CRESCENT","NW","SB","0","21043000.0","NEVADA & CRESCENT",,,,,,,"POINT (-122.41181 37.734634)","83","83","9","2","2"
"HAYES","CENTRAL","NE","WB",,"26357000.0","HAYES & CENTRAL",,,,,,,"POINT (-122.44439 37.774143)","24","24","7","11","18"
"BRODERICK","O FARRELL","SE","NB","0","26801000.0","BRODERICK ST & O FARRELL ST",,,,,,,"POINT (-122.44095 37.782234)","13","13","7","11","39"
"BRAZIL","ATHENS","SW","EB","0","21635000.0","BRAZIL AVE & ATHENS",,,,,,,"POINT (-122.42842 37.72163)","90","90","9","1","7"
"UNION","LAGUNA","SW","EB","0","26583000.0","UNION & LAGUNA",,,,,,,"POINT (-122.43054 37.79771)","15","15","4","6","13"
"PRECITA","TREAT","SW","EB","00","21159000.0","PRECITA & TREAT",,,,,,,"POINT (-122.41254 37.74682)","83","83","9","2","2"
"CAROLINA","23RD ST","NW","SB","0","23702000.0","CAROLINA & 23RD ST",,,,,,,"POINT (-122.39973 37.754677)","54","54","2","9","26"
"20TH AVE","LAWTON",,"EB",,"27345000.0","20TH AVE & LAWTON",,,,,,,"POINT (-122.47779 37.757915)","39","39","10","7","35"
"LOWER GREAT HWY","ORTEGA ST","SE","NB",,"27926000.0","LOWER GREAT HIGHWAY & ORTEGA ST","20210604000000",,"6418","L",,,"POINT (-122.50817 37.750965)","39","39","10","7","35"
"23RD ST","CAPP","NE","WB",,"24076000.0","23RD ST & CAPP ST",,,,,,,"POINT (-122.417496 37.7539)","53","53","3","2","20"
"18TH ST","NOE","NE","WB","0","25791000.0","18TH ST & NOE",,,,,,,"POINT (-122.43278 37.761017)","52","52","3","5","5"
"LOWELL","MORSE","SE","NB","0","21501000.0","LOWELL ST & MORSE ST",,,,"I",,,"POINT (-122.44615 37.711033)","58","58","9","1","7"
"ARTHUR","QUINT ST","NE","WB",,"33117000.0","ARTHUR AVE & QUINT ST",,,,,,,"POINT (-122.387985 37.746613)","56","56","2","9","1"
"BURROWS","OXFORD","SW","EB",,"20978000.0","BURROWS ST & OXFORD ST",,,,"I",,,"POINT (-122.41888 37.72496)","92","92","9","2","25"
"EUCALYPTUS","SYLVAN","SW","EB",,"23131000.0","EUCALYPTUS DR & SYLVAN DR",,,,,,,"POINT (-122.48529 37.73094)","43","43","10","8","16"
"ANZAVISTA","BAKER","SW","EB",,"26366000.0","ANZAVISTA AVE & BAKER ST",,,,"I","20-00242",,"POINT (-122.441734 37.77986)","13","13","7","6","18"
"18TH AVE","TARAVAL","SE","WB","0","23182000.0","18TH AVE & TARAVAL",,,,,,,"POINT (-122.47461 37.74309)","46","46","10","8","41"
"VALLEJO","POLK","NE","WB","00","25317000.0","VALLEJO & POLK",,,,,,,"POINT (-122.42195 37.796894)","105","105","4","3","32"
"EL CAMINO DEL MAR","26TH AVE","NE","WB","0","27668000.0","EL CAMINO DEL MAR & 26TH AVE",,,,,,,"POINT (-122.48634 37.787556)","1","1","8","6","33"
"HALLECK","BATTERY","NE","WB",,"24684000.0","HALLECK ST & BATTERY ST",,,,,,,"POINT (-122.40005 37.79369)","108","108","6","3","8"
"REX","PORTOLA","SE","NB","0","22845000.0","REX & PORTOLA",,,,,,,"POINT (-122.45745 37.740963)","72","72","9","8","41"
"STOCKTON","FRANCISCO","NW","SB","0","25405000.0","STOCKTON & FRANCISCO",,,,,,,"POINT (-122.41011 37.80509)","106","106","6","3","23"
"BEAUMONT","ANZA","SE","NB","0","26487000.0","BEAUMONT AVE & ANZA ST","20200221000000",,"6218","I","20-00332","20210114000000","POINT (-122.4548 37.780113)","12","12","7","4","18"
"CORONA","URBANO","NW","SB",,"22712000.0","CORONA & URBANO",,,,,,,"POINT (-122.466675 37.72338)","67","67","10","8","41"
"LAFAYETTE STREET","HOWARD STREET","NW","SB",,"24360000.0","LAFAYETTE & HOWARD","20160405000000",,"16-036",,,,"POINT (-122.41629 37.77245)","32","32","1","10","20"
"OCTAVIA","SUTTER","NW","SB",,"26520000.0","OCTAVIA ST & SUTTER ST",,,,,,,"POINT (-122.42665 37.78692)","100","100","4","11","15"
"29TH ST","CASTRO","NE","WB",,"22004000.0","29TH ST & CASTRO",,,,,,,"POINT (-122.433304 37.74329)","84","84","9","5","22"
"POMONA","BAYVIEW","SE","NB","0","20528000.0","POMONA & BAYVIEW",,,,,,,"POINT (-122.39323 37.73261)","87","87","2","9","1"
"JASPER","GREEN","NW","SB",,"25353000.0","JASPER ST & GREEN ST","20190716000000",,"190716-086","I","19-8217","20200212000000","POINT (-122.40816 37.799595)","106","106","6","3","23"
"SENECA","CAYUGA","SW","EB","0","22059000.0","SENECA AVE & CAYUGA ST",,,,,,,"POINT (-122.442535 37.719616)","80","80","9","1","28"
"LEVANT ST","LOWER TERRACE","NW","SB","0","26177000.0","LEVANT ST & LOWER TERRACE",,,,,,,"POINT (-122.44197 37.76325)","112","112","7","5","5"
"LAWTON","43RD AVE","NE","WB","0","27777000.0","LAWTON ST & 43RD AVE",,,,,,,"POINT (-122.50243 37.75683)","39","39","10","7","35"
"PHELPS","JERROLD","NW","SB","0","20672000.0","PHELPS & JERROLD",,,,,,,"POINT (-122.39126 37.73985)","86","86","2","9","1"
"COLEMAN","HUDSON","NW","SB",,"35033000.0","COLEMAN ST & HUDSON AVE",,,,"I","19-7650","20190524000000","POINT (-122.36786 37.728462)","78","78","2","9","1"
"WHITNEY","FAIRMOUNT","SE","NB",,"21871000.0","WHITNEY & FAIRMOUNT",,,,,,,"POINT (-122.427414 37.73885)","59","59","9","5","10"
"WALLER","SCOTT","NE","WB","0","26024000.0","WALLER & SCOTT",,,,,,,"POINT (-122.43517 37.770542)","28","28","7","5","3"
"JACKSON ST","FRONT","NE","WB",,"24697000.0","JACKSON ST & FRONT",,,,,,,"POINT (-122.3995 37.79692)","77","77","6","3","8"
"24TH AVE","OCEAN","NW","SB",,"23119000.0","24TH AVE & OCEAN",,,,,,,"POINT (-122.480095 37.732506)","62","62","10","8","35"
"PLYMOUTH","LAKEVIEW","SE","NB","0","22573000.0","PLYMOUTH AVE & LAKEVIEW AVE",,,,,,,"POINT (-122.45609 37.71823)","81","81","10","1","24"
"WAITHMAN","ULLOA","NE","WB","0","22839000.0","WAITHMAN & ULLOA",,,,,,,"POINT (-122.456764 37.742146)","49","49","10","8","41"
"REDDY","WILLIAMS","NW","SB",,"20525000.0","REDDY & WILLIAMS",,,,,,,"POINT (-122.39536 37.72965)","86","86","2","9","1"
"SACRAMENTO","MAPLE","SW","EB",,"26947000.0","SACRAMENTO ST & MAPLE ST",,,,,,,"POINT (-122.45522 37.787132)","10","10","8","6","31"
"MAYNARD","MISSION","NE","WB",,"21694000.0","MAYNARD & MISSION",,,,,,,"POINT (-122.43079 37.72922)","94","94","9","1","7"
"FAIR","COLERIDGE","SW","EB",,"21321000.0","FAIR AVE & COLERIDGE ST","20150407000000",,"15-052","I",,,"POINT (-122.41877 37.745148)","83","83","9","2","2"
"HERMANN","CHURCH","NE","WB","0","25888000.0","HERMANN & CHURCH",,,,,,,"POINT (-122.429214 37.770344)","28","28","7","5","9"
"IVY","LAGUNA","NE","WB","0","25935000.0","IVY ST & LAGUNA ST",,,,,,,"POINT (-122.426346 37.776924)","22","22","4","11","9"
"BELLA VISTA","MOLIMO","SE","NB","0","22369000.0","BELLA VISTA & MOLIMO",,,,,,,"POINT (-122.45185 37.73671)","72","72","9","8","41"
"DIVISADERO","DUBOCE","NW","SB","0","26010000.0","DIVISADERO ST & DUBOCE AVE",,,,,,,"POINT (-122.43658 37.768997)","112","112","7","5","5"
"GREENWICH","BUCHANAN","NE","WB","0","26734000.0","GREENWICH ST & BUCHANAN ST",,,,,,,"POINT (-122.43256 37.799366)","15","15","4","6","13"
"LOBOS ST","PLYMOUTH","SW","EB","0","21596000.0","LOBOS ST & PLYMOUTH",,,,,,,"POINT (-122.45606 37.7149)","81","81","10","1","24"
"GOETTINGEN","WARD","SE","NB",,"20581000.0","GOETTINGEN ST & WARD ST",,,,"I",,,"POINT (-122.40306 37.71846)","91","91","9","9","40"
"42ND AVE","PACHECO","NW","SB",,"23484000.0","42ND AVE & PACHECO",,,,,,,"POINT (-122.50085 37.74942)","39","39","10","7","35"
"SADOWA","ORIZABA","NE","WB","0","22491000.0","SADOWA & ORIZABA",,,,,,,"POINT (-122.46257 37.71227)","81","81","10","1","24"
"21ST ST","HARRISON","SW","EB","0","23998000.0","21ST ST & HARRISON",,,,,,,"POINT (-122.41234 37.757423)","53","53","3","2","20"
"AVILA","ALHAMBRA","NW","SB","0","26971000.0","AVILA & ALHAMBRA",,,,,,,"POINT (-122.4405 37.801277)","17","17","4","6","13"
"WOOLSEY","SAN BRUNO","SW","EB","8W","33273000.0","WOOLSEY & SAN BRUNO",,,,,,,"POINT (-122.40259 37.72523)","91","91","2","2","25"
"AGUA","TERESITA","SW","EB","0","22409000.0","AGUA & TERESITA",,,,,,,"POINT (-122.45063 37.742218)","72","72","9","8","41"
"COLE","GROVE","SE","NB","0","26424000.0","COLE ST & GROVE ST",,,,,,,"POINT (-122.45115 37.774242)","24","24","7","11","18"
"CASHMERE","HUDSON","SW","EB","0","20191000.0","CASHMERE & HUDSON",,,,,,,"POINT (-122.383415 37.735798)","86","86","2","9","1"
"MIDDLEFIELD","SLOAT","SE","NB","0","23137000.0","MIDDLEFIELD & SLOAT",,,,,,,"POINT (-122.48639 37.73415)","62","62","10","8","35"
"GRIFFITH","PALOU","NW","SB","0","20073000.0","GRIFFITH & PALOU",,,,,,,"POINT (-122.379684 37.72761)","78","78","2","9","1"
"47TH AVE","VICENTE","SE","NB","0","23500000.0","47TH AVE & VICENTE",,,,,,,"POINT (-122.50542 37.738)","40","40","10","7","35"
"EUGENIA","ANDOVER","NE","WB","0","21215000.0","EUGENIA AVE & ANDOVER ST",,,,,,,"POINT (-122.41639 37.740433)","83","83","9","2","2"
"MINT","MISSION","NW","SB","0","24886000.0","MINT & MISSION",,,,,,,"POINT (-122.40715 37.782185)","32","32","1","10","34"
"BRODERICK","SUTTER","SE","NB","0","26809000.0","BRODERICK ST & SUTTER ST",,,,,,,"POINT (-122.44152 37.78503)","103","103","8","11","15"
"MENDELL","MCKINNON","NW","SB","0","20212000.0","MENDELL ST & MCKINNON AVE",,,,,,,"POINT (-122.389206 37.73585)","86","86","2","9","1"
"STANYAN","BEULAH","NE","WB",,"26428000.0","STANYAN & BEULAH",,,,,,,"POINT (-122.45315 37.767303)","29","29","7","11","3"
"39TH AVE","VICENTE","SE","NB","0","23435000.0","39TH AVE & VICENTE",,,,,,,"POINT (-122.49684 37.738373)","40","40","10","7","35"
"IRVING","41ST AVE","SW","WB","0","27798000.0","IRVING ST & 41ST AVE",,,,"I",,,"POINT (-122.50069 37.762516)","39","39","10","7","35"
"08TH AVE","JOHN F KENNEDY","NW","SB",,"27257000.0","08TH AVE & JOHN F KENNEDY DR",,,,"I","20-0884","20200821000000","POINT (-122.46581 37.772602)","9","9","8","4","12"
"18TH ST","YORK","SW","EB",,"24011000.0","18TH ST & YORK",,,,,,,"POINT (-122.40914 37.761814)","53","53","3","9","20"
"WASHINGTON","LARKIN","SW","EB","0","25299000.0","WASHINGTON ST & LARKIN",,,,,,,"POINT (-122.41956 37.79346)","16","16","6","3","32"
"18TH ST","DANVERS","SE","NB",,"32921000.0","18TH ST & DANVERS",,,,,,,"POINT (-122.44336 37.760372)","115","115","3","5","5"
"ALABAMA","24TH ST","SE","NB","0","23976000.0","ALABAMA ST & 24TH ST",,,,,,,"POINT (-122.41095 37.75268)","53","53","3","2","20"
"BURNETT","TWIN PEAKS","NE","WB","0","26134000.0","BURNETT & TWIN PEAKS",,,,,,,"POINT (-122.44694 37.756546)","47","47","7","5","38"
"BLAKE","ANZA","NW","SB",,"26468000.0","BLAKE ST & ANZA ST",,,,,,,"POINT (-122.45083 37.780617)","12","12","7","4","18"
"MIDDLE","JOHN F KENNEDY","SE","NB","0","27188000.0","MIDDLE DR & JOHN F KENNEDY",,,,"I",,,"POINT (-122.45915 37.77131)","9","9","7","11","12"
"POWHATTAN","PERALTA","SW","EB","0","21097000.0","POWHATTAN AVE & PERALTA AVE",,,,,,,"POINT (-122.40874 37.741272)","83","83","9","2","2"
"FILBERT","STOCKTON","NE","WB","0","25366000.0","FILBERT ST & STOCKTON",,,,,,,"POINT (-122.409355 37.801365)","106","106","6","3","23"
"INNES","COLEMAN","SW","EB",,"35034000.0","INNES AVE & COLEMAN ST","20170620000000",,"170620-076","I","19-7650","20190524000000","POINT (-122.368416 37.72784)","78","78","2","9","1"
"LAGUNA ST","GREEN","NW","SB",,"26580000.0","LAGUNA ST & GREEN",,,,,,,"POINT (-122.43036 37.79678)","102","102","4","6","13"
"18TH ST","DOUGLASS","NE","WB","0","26144000.0","18TH ST & DOUGLASS",,,,,,,"POINT (-122.43932 37.76062)","115","115","3","5","5"
"28TH AVE","KIRKHAM","SE","NB","9S","27429000.0","28TH AVE & KIRKHAM",,,,,,,"POINT (-122.486496 37.759403)","39","39","10","7","35"
"37TH AVE","PACHECO","NW","SB","0","23422000.0","37TH AVE & PACHECO",,,,,,,"POINT (-122.49548 37.749657)","39","39","10","7","35"
"TOMPKINS","FOLSOM","SE","NB","0","21055000.0","TOMPKINS & FOLSOM",,,,,,,"POINT (-122.41347 37.737064)","83","83","9","2","2"
"CORTLAND","BOCANA","SW","EB",,"21246000.0","CORTLAND AVE & BOCANA ST",,,,,,,"POINT (-122.41857 37.739292)",,,"9","2","2"
"PACIFIC","WEBSTER","SW","EB","0","26656000.0","PACIFIC & WEBSTER",,,,,,,"POINT (-122.433075 37.793552)","102","102","4","6","30"
"GREEN","BAKER","SW","EB","0","26889000.0","GREEN & BAKER",,,,,,,"POINT (-122.44521 37.79489)","102","102","4","6","30"
"GOLDEN GATE","LYON","SW","EB",,"26375000.0","GOLDEN GATE & LYON",,,,,,,"POINT (-122.4435 37.778084)","97","97","7","11","18"
"SARGENT","19TH AVE","NE","WB","0","22551000.0","SARGENT & 19TH AVE",,,,,,,"POINT (-122.47156 37.71612)","65","65","10","1","24"
