"type","location","height","comments","mtab_date","mtab_motion","mtab_reso_text","shape",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md",":@computed_region_jwn9_ihcz"
"OVERPASS","HWY 101 RAMP TO HWY 1(N&S BOUND OF HWY 101)","14'7""",,,,,"POINT (-122.470795 37.803513)","3",,"6","27","3"
"OVERPASS","FRONT(BTWN CALIFORNIA & SACRAMENTO)","14'7""",,,,,"POINT (-122.39883 37.793716)","108","6","3","8","108"
"OVERPASS","HWY 101 & HARRISON(BTWN 13TH ST & 14TH ST)","20'",,,,,"POINT (-122.413414 37.769444)","53","3","2","20","53"
"OVERPASS","HWY 101 & VALENCIA ST(BTWN DUBOCE & MCCOPPIN","15'3""",,,,,"POINT (-122.422424 37.77069)","32","1","2","20","32"
"OVERPASS","I-80 & 2ND ST(BTWN BRYANT & HARRISON)","20'",,,,,"POINT (-122.39437 37.78368)","30","1","10","8","30"
"OVERPASS","GEARY & STEINER","15'1""",,,,,"POINT (-122.43455 37.784145)","97","4","11","39","97"
"OVERPASS","ALEMANY BLVD. & JUNIPERO SERRA BLVD","15'9""",,,,,"POINT (-122.471 37.709045)","65","10","8","24","65"
"OVERPASS","HWY 101 & 17TH ST(BTWN SAN BRUNO & VERMONT)","17'",,,,,"POINT (-122.40478 37.764656)","54","3","9","20","54"
"OVERPASS","HWY 101(BTWN 25TH ST & 26TH ST)","16'1""",,,,,"POINT (-122.40279 37.7518)","54","2","9","26","54"
"OVERPASS","BAYSHORE FWY & BLANKEN","14'9""",,,,,"POINT (-122.39555 37.71093)","89","2","9","1","89"
"OVERPASS","I-80 & BRANNAN(BTWN 8TH ST & 9TH ST)","25'+",,,,,"POINT (-122.40571 37.77097)","33","1","10","34","33"
"TUNNEL","BROADWAY & TAYLOR","13'6""",,,,,"POINT (-122.41354 37.797035)","107","6","3","21","107"
"OVERPASS","HWY 101 & S. VAN NESS(BTWN ERIE & PLUM ST)","15'3""",,,,,"POINT (-122.41773 37.769657)","53","3","2","20","53"
"OVERPASS","HWY 101 & CESAR CHAVEZ(BTWN SAN BRUNO & VERM","14'5""",,,,,"POINT (-122.40341 37.74944)","54","2","9","1","54"
"OVERPASS","MONTEREY BLVD(BTWN I-280 S OFF RAMP & ACADIA","17'2""",,,,,"POINT (-122.436745 37.73155)","95","9","8","41","95"
"OVERPASS","INDIANA ST & 20TH ST","23'",,,,,"POINT (-122.3914 37.760284)","55","2","9","26","55"
"OVERPASS","I-80 W OFF RAMP & FOLSOM(BTWN 1ST ST & 2ND S","14'8""",,,,,"POINT (-122.39573 37.786194)","30","1","10","8","30"
"OVERPASS","I-80 E ON RAMP (AT ELDRIDGE & CHESLEY)","15'1""","ON RAMP",,,,"POINT (-122.40653 37.773815)","32","1","10","34","32"
"OVERPASS","HIGHLAND AVE & SAN JOSE","30'+",,,,,"POINT (-122.42516 37.737576)","61","9","5","2","61"
"RAILROAD","TRACK AT JERROLD(BTWN QUINT & RANKIN)","13'6""",,,,,"POINT (-122.39423 37.741543)","86","2","9","1","86"
"OVERPASS","LINCOLN WAY & SUNSET BLVD","13'10.5""",,,,,"POINT (-122.49598 37.764626)","9","10","7","35","9"
"TUNNEL","STOCKTON ST(BTWN CALFORNIA & SACRAMENTO)","13'10""",,,,,"POINT (-122.40771 37.792988)","16","6","3","6","16"
"OVERPASS","I-80 & 6TH ST(BTWN BRYANT & HARRISON)","17'",,,,,"POINT (-122.403496 37.776802)","32","1","10","34","32"
"OVERPASS","DUBOCE AVE(BTWN MISSION & WOODWARD)","15'2""",,,,,"POINT (-122.420654 37.76989)","53","3","2","20","53"
"OVERPASS","HWY 1 & SCHOFIELD RD","13'3""",,,,,"POINT (-122.46937 37.800194)","3",,"6","27","3"
"OVERPASS","INDIANA ST & 18TH ST","17'",,,,,"POINT (-122.39166 37.76287)","55","2","9","26","55"
"OVERPASS","GOLDEN GATE PLAZA PARKING LOT","10'4""",,,,,"POINT (-122.47579 37.8074)","3",,"6","27","3"
"OVERPASS","HWY 101 & BACON(BTWN BAYSHORE BLVD & SAN BRU","15'NB 15'","15'1""SB",,,,"POINT (-122.40259 37.72789)","91","2","9","25","91"
"OVERPASS","I-280 & SAN JOSE AVE(BTWN REGENT & SICKLES A","15'10""",,,,,"POINT (-122.45635 37.71072)","66","10","1","28","66"
"OVERPASS","HALLECK ST & OLD MASON ST","18'",,,,,"POINT (-122.45455 37.80418)","3",,"6","27","3"
"RAILROAD","TRACK AT QUINT(BTWN JERROLD & NEWCOMB)","15'3""","MARKED 13'6""",,,,"POINT (-122.39432 37.739365)","86","2","9","1","86"
"OVERPASS","HWY 101 & COURTLAND(BTWN HILTON & PERALTA)","14'1""",,,,,"POINT (-122.408035 37.739616)","83","9","2","2","83"
"OVERPASS","I-80 & 7TH ST(BTWN BRYANT & HARRISON)","14'9""",,,,,"POINT (-122.405716 37.775085)","32","1","10","34","32"
"OVERPASS","GEARY & MASONIC","15'11""",,,,,"POINT (-122.44729 37.782387)","13","8","6","18","13"
"OVERPASS","DAVIS(BTWN CALIFORNIA & SACRAMENTO)","14'",,,,,"POINT (-122.39774 37.794205)","108","6","3","8","108"
"OVERPASS","I-280 NB RAMP & CHARTER OAK AVE","15'4""",,,,,"POINT (-122.404625 37.735397)","87","2","9","1","87"
"OVERPASS","I-80 & 8TH ST(BTWN BRANNAN & BRYANT)","25'+",,,,,"POINT (-122.40635 37.772064)","33","1","10","34","33"
"OVERPASS","HWY 101 & 16TH ST(BTWN SAN BRUNO & VERMONT)","25'+",,,,,"POINT (-122.40481 37.765903)","54","3","9","20","54"
"RAILROAD","TRACK AT EVANS(BTWN SELBY & TOLAND)","15'2""",,,,,"POINT (-122.394135 37.746185)","85","2","9","1","85"
"OVERPASS","RICHLAND AVE & SAN JOSE","30'+",,,,,"POINT (-122.42648 37.736256)","61","9","5","2","61"
"PEDESTRIAN BRIDGE","BROTHERHOOD WY & THOMAS MORE WAY","15'",,,,,"POINT (-122.47279 37.712803)","43","10","8","16","43"
"OVERPASS","HOWARD(BTWN 3RD ST & 4TH ST)","15'",,,,,"POINT (-122.401985 37.783825)","32","1","10","34","32"
"OVERPASS","BAYSHORE FWY & ALANA WAY","15'10""",,,,,"POINT (-122.395065 37.70879)","89","2","9","1","89"
"OVERPASS","HWY 101 & LINCOLN BLVD (BTWN HOFFMAN & STORE","15'1""",,,,,"POINT (-122.474495 37.80628)","3",,"6","27","3"
"OVERPASS","HWY 101 & 18TH ST(BTWN SAN BRUNO & UTAH)","15.9'",,,,,"POINT (-122.40576 37.76197)","54","2","9","26","54"
"OVERPASS","HWY 101 S ON RAMP & POTRERO AVE","15'5""",,,,,"POINT (-122.40516 37.74907)","60","3","2","2","60"
"OVERPASS","I-80 TO HWY 101 RAMP(BTWN ALAMEDA & 15TH ST)","20'+",,,,,"POINT (-122.405426 37.768406)","33","3","9","20","33"
"OVERPASS","HWY 101 & CRISSY FIELD AVE(BTWN MASON & MCDO","40'",,,,,"POINT (-122.46708 37.802734)","3",,"6","27","3"
"OVERPASS","JACKSON ST(BTWN DAVIS & DRUMM)","20'2""",,,,,"POINT (-122.39772 37.797173)","77","6","3","8","77"
"OVERPASS","GORGAS AVE(BTWN HALLECK ST & MARSHALL ST)","20'",,,,,"POINT (-122.45401 37.80327)","3",,"6","27","3"
"OVERPASS","CROSS OVER DR & JOHN F KENNEDY DR","13'",,,,,"POINT (-122.47923 37.77074)","9","8","4","12","9"
"OVERPASS","HWY 101 & INDUSTRIAL ST(BTWN HILTON & PERALT","17'",,,,,"POINT (-122.40822 37.737583)","83","9","2","2","83"
"OVERPASS","HOWARD & SOUTH VAN NESS","16'",,,,,"POINT (-122.417595 37.7704)","32","1","10","20","32"
"OVERPASS","HARKNESS & SAN BRUNO AVE","17'",,,,,"POINT (-122.40015 37.71786)","91","9","9","40","91"
"OVERPASS","HWY 1 & WEST PACIFIC AVE","14'3""",,,,,"POINT (-122.47018 37.79061)","3",,"6","27","3"
"OVERPASS","I-80 W OFF RAMP(BTWN CLEMENTINA & FOLSOM)","12'",,,,,"POINT (-122.396 37.786655)","32","1","10","8","32"
"RAILROAD","TRACK AT NAPOLEON(BTWN EVANS & SELBY)","14'6""",,,,,"POINT (-122.39307 37.74739)","56","2","9","1","56"
"OVERPASS","HWY 101 & 23RD ST(BTWN KANSAS & VERMONT)","15'",,,,,"POINT (-122.40297 37.75444)","54","2","9","26","54"
"OVERPASS","FILLMORE & GEARY","15'11""",,,,,"POINT (-122.4329 37.78435)","101","4","11","39","101"
"OVERPASS","I-80 & BRYANT(BTWN 7TH ST & 8TH ST)","20'",,,,,"POINT (-122.40653 37.772846)","33","1","10","34","33"
"OVERPASS","I-280 & ALEMANY BLVD(BTWN ORIZABA AVE & PALM","16'5""","WB",,,,"POINT (-122.46078 37.71057)","66","10","1","28","66"
"TUNNEL","STOCKTON ST(BTWN CALIFORNIA & PINE)","20'+",,,,,"POINT (-122.40743 37.791855)","104","6","3","8","104"
"OVERPASS","JACKSON ST(DAVIS & FRONT)","19'8""",,,,,"POINT (-122.39898 37.79699)","77","6","3","8","77"
"TUNNEL","BROADWAY & HYDE","20'",,,,,"POINT (-122.41844 37.796272)","16","6","3","32","16"
