"cnn","street_name","pci_score","from_street","to_street","pci_change_date","treatment_or_survey","street_accepted_for_maintenance","functional_class","x","y","latitude","longitude","line","point",":@computed_region_jwn9_ihcz",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md"
"5293000","Euclid Ave","85","Iris Ave","Heather Ave","2021-09-18T16:37:07.000","Survey","Yes","Residential","5997516.553","2113851.086","37.78408890570995","-122.45231230657546","LINESTRING (-122.451875437083 37.784126741837, -122.451997825098 37.784105683803, -122.452751736894 37.784065459978)",,,,,,
"2943002","BERNAL HEIGHTS BLVD","43","FOLSOM ST","BERNAL HEIGHTS BLVD","2002-11-19T00:00:00.000","Survey","No",,"6008932.648","2098894.873","37.74366997857154","-122.41175942263203",,,,,,,
"5438000","FEDERAL ST","57","02ND ST","END","2008-10-29T13:59:26.000","Survey","No",,"6014735.22305","2113086.81917","37.78296176776716","-122.392687958394","LINESTRING (-122.393082475399 37.782649664953, -122.392293438043 37.783273896773)",,,,,,
"3174000","Broadway","75","Octavia St","Laguna St","2021-09-25T16:28:35.000","Survey","Yes","Arterial","6004285.71559","2117684.61552","37.79500026320473","-122.42916688135885","LINESTRING (-122.428344483661 37.795105610775, -122.429989276732 37.794894937437)",,,,,,
"4887201","Dolores St","100","Valley St","29th St","2021-09-02T17:12:01.000","Treatment","Yes","Arterial","6005251.891","2099175.066","37.74423215211705","-122.42450652879961","LINESTRING (-122.424459208132 37.744635998795, -122.424533181654 37.744513573292, -122.424479648763 37.743948330003, -122.42438486294 37.743838215892)",,,,,,
"4897001","DONAHUE ST","65","INNES AVE","CLEO RAND AVE","2008-10-29T13:59:26.000","Survey","No",,"6020823.34978","2093194.00436","37.728676356498674","-122.37024973412987",,,,,,,
"7681000","Judah St","65","44th Ave","45th Ave","2021-09-26T12:10:29.000","Survey","Yes","Collector","5982306.11787","2105579.88329","37.76049545310876","-122.50432110055367","LINESTRING (-122.503785478216 37.760519139749, -122.504856722533 37.760471791613)",,,,,,
"104002","01ST ST","100","TRANSBAY HUMP","MINNA ST","2002-11-19T00:00:00.000","Survey","Yes",,"6013449.936","2115511.39","37.7895476254144","-122.39730463088034",,,,,,,
"185207","03RD ST","77","NELSON RISING LN","WARRIORS WAY","2013-01-08T15:18:02.000","Survey","Yes",,"6015587.9636","2107917.67452","37.76881576804483","-122.38937671094564",,,,,,,
"11674003","SCHWERIN ST","48","HERITAGE LN","GARRISON AVE","2005-11-16T16:50:05.000","Survey","Yes",,"6008710.691","2086603.285","37.70990743792368","-122.41165860280685",,,,,,,
"12025000","South Van Ness Ave","81","18th St","19th St","2021-08-07T17:05:31.000","Survey","Yes","Arterial","6007518.59623","2105296.24937","37.76116726202274","-122.4171023751289","LINESTRING (-122.41717893671 37.76196752892, -122.417025815185 37.76036702254)",,,,,,
"6399000","Grant Ave","84","Jack Kerouac Aly","Broadway","2021-11-15T13:39:35.000","Survey","Yes","Residential","6010714.63866","2118516.27107","37.79764562394246","-122.40698039596866","LINESTRING (-122.406944628746 37.797468973132, -122.407016163317 37.797822302287)",,,,,,
"184101","03RD ST","50","CHANNEL ST","MISSION ROCK ST","2005-11-16T16:50:05.000","Survey","Yes",,"6015487.796","2110031.916","37.77461547057578","-122.38987088676573",,,,,,,
"4550002","CUMBERLAND ST","86","MID BLOCK","NOE ST","2008-10-29T13:59:26.000","Survey","Yes",,"6003352.521","2104479.413","37.75868919391346","-122.4314527242118",,,,,,,
"108001","01ST ST","80","TEHAMA ST","CLEMENTINA ST","2002-11-19T00:00:00.000","Survey","Yes",,"6014041.508","2114892.891","37.787882286802606","-122.39521449619406",,,,,,,
"2702202","BALTIMORE WAY","100","NAYLOR ST","END","2012-03-13T13:35:18.000","Survey","Yes",,"6002542.92","2086260.534","37.70861840131393","-122.43295108543701",,,,,,,
"699001","16TH ST","67","OWENS ST","07TH ST \ MISSISSIPPI ST","2002-08-16T00:00:00.000","Survey","Yes",,"6014384.842","2107150.491","37.76664248711265","-122.39348455615603",,,,,,,
"300001","05TH ST","41","SHIPLEY ST","JENNIFER PL","2002-11-19T00:00:00.000","Survey","Yes",,"6011844.149","2111936.987","37.779643620029454","-122.40260905387613",,,,,,,
"2785001","BAY ST","63","VAN NESS AVE","FORT MASON 21","2005-11-16T16:50:05.000","Survey","Yes",,"6005287.804","2120956.654","37.80404113467257","-122.42593253342936",,,,,,,
"15107000","GILROY ST","100","IGNACIO AVE","GILROY ST","2004-12-17T08:37:53.000","Treatment","Yes",,"6015277.071","2088666.018","37.71593746694889","-122.38910769436565",,,,,,,
"10740000","PRATT PL","57","END","CALIFORNIA ST","2008-10-29T13:59:26.000","Survey","No",,"6010342.73332","2116610.76554","37.792392750132365","-122.40813283779676","LINESTRING (-122.408176836389 37.792606320661, -122.408088839441 37.792179207097)",,,,,,
"366001","07TH ST","60","ODD FELLOWS WAY \ STEVENSON ST","MISSION ST","2002-11-19T00:00:00.000","Survey","Yes",,"6009357.269","2111909.8","37.77942981416446","-122.41121035934776",,,,,,,
"4559000","CUSTER AVE","39","03RD ST","QUINT ST","2008-10-29T13:59:26.000","Survey","No",,"6015727.4619","2099160.76859","37.744778897379454","-122.3882829467702","LINESTRING (-122.387372607331 37.744259406508, -122.389193298915 37.745298408815)",,,,,,
"944000","19th St","82","Pennsylvania Ave","Mississippi St","2021-08-22T16:19:22.000","Survey","Yes","Residential","6014203.07451","2105261.7741","37.76144637066684","-122.39398103431814","LINESTRING (-122.393488387063 37.76147616172, -122.394473681179 37.761416605161)",,,,,,
"185206","03RD ST","48","CAMPUS WAY","16TH ST","2005-11-16T16:50:05.000","Survey","Yes",,"6015587.043","2108318.802","37.76991713858321","-122.38940791004647",,,,,,,
"10502101","PIOCHE ST","40","MID BLOCK","MADISON ST","2012-03-13T13:35:18.000","Survey","Yes",,"6005611.52973","2093226.84206","37.727919947003755","-122.42284032085006",,,,,,,
"9876101","Octavia St","94","Haight St","Rose St","2022-08-17T10:44:36.000","Treatment","Yes","Residential","6005627.057","2109695.254","37.773139303314174","-122.42395723323615","LINESTRING (-122.423758378851 37.772957392797, -122.42393476597 37.773030503879, -122.42401188828 37.773403973144)",,,,,,
"23286000","29TH AVE","100","RIVERA ST","Intersection","2003-03-28T00:00:00.000","Treatment","No",,"5987299.79131","2100305.9136","37.746306993253306","-122.48666323476216",,"POINT (-122.48666323476 37.746307007058)","40","40","10","7","35"
"11533000","Sanchez St","100","26th St","Cesar Chavez St","2022-04-25T11:19:03.000","Treatment","Yes","Residential","6003891.81255","2100561.96917","37.7479633515918","-122.42930826352688","LINESTRING (-122.429346499718 37.748362263935, -122.429270027758 37.74756446683)",,,,,,
"25383000","Julius St: Lombard St Intersection","100","LOMBARD ST","Intersection","2018-06-29T13:47:25.000","Treatment","No",,"6010518.664","2120643.53","37.80347558701851","-122.40780860389525",,"POINT (-122.407808605557 37.803475599991)","18","18","6","3","23"
"20866000","DARTMOUTH ST","100","DWIGHT ST","Intersection","2000-06-30T00:00:00.000","Treatment","No",,"6009279.8838","2090986.01929","37.72197342027096","-122.4100005511846",,"POINT (-122.410000551181 37.721973434097)","91","91","2","2","25"
"21608000","Persia Ave: Dublin St Intersection","100","PERSIA AVE","Intersection","2016-03-10T15:34:45.000","Treatment","No",,"6004514.94135","2089840.80976","37.71856071133103","-122.42639027010686",,"POINT (-122.426390270098 37.718560725169)","90","90","9","1","7"
"23888000","05TH ST","100","WELSH ST","Intersection","2009-01-26T11:32:38.000","Treatment","No",,"6012649.82845","2111093.29986","37.7773719819464","-122.39976258542283",,"POINT (-122.399762585409 37.777371995732)","32","32","1","10","34"
"26705000","VAN NESS AVE","100","BAY ST","Intersection","2008-04-25T16:27:52.000","Treatment","No",,"6005526.31314","2120989.88182","37.80414583192555","-122.42510952128974",,"POINT (-122.425109521291 37.804145845677)","98","98","6","6","32"
"26651000","Washington St: Webster St Intersection","100","WEBSTER ST","Intersection","2018-02-20T10:01:54.000","Treatment","No",,"6003229.56869","2116540.74107","37.7917996335538","-122.43273955010798",,"POINT (-122.432739550096 37.791799647318)","102","102","4","6","30"
"33485000","Arballo Dr: Font Blvd \ Tapia Dr Intersection","100","FONT BLVD \ TAPIA DR","Intersection","2019-12-16T16:03:54.000","Treatment","No",,"5988370.31889","2091352.16669","37.721784672768656","-122.48230562074903",,"POINT (-122.482305620723 37.721784686602)","42","42","10","8","16"
"27399000","NORIEGA ST","100","28TH AVE","Intersection","2005-11-08T10:21:38.000","Treatment","No",,"5987515.40191","2103035.93158","37.75381545681842","-122.48611805894821",,"POINT (-122.486118058932 37.753815470634)","39","39","10","7","35"
"12692000","Treat Ave","100","Precita Ave","End","2022-09-12T16:56:17.000","Treatment","Yes","Residential","6008751.49101","2099636.15234","37.745695189699696","-122.41243820866188","LINESTRING (-122.412547049872 37.746825000287, -122.412329370714 37.744565406406)",,,,,,
"33352000","Morse St: Unnamed 070 Intersection","100","UNNAMED 070","Intersection","2021-03-17T11:03:54.000","Treatment","No",,"6000513.00066","2087821.12181","37.7127880672116","-122.44007855836752",,"POINT (-122.440078558344 37.712788081061)","58","58","9","1","7"
"11757000","Seneca Ave","84","Mission St","Bertita St","2022-08-17T10:44:36.000","Treatment","Yes","Residential","6000431.09312","2089712.88417","37.71797775826799","-122.4404972528574","LINESTRING (-122.440106607185 37.717665309709, -122.440887901805 37.718290233183)",,,,,,
"22355000","FOERSTER ST","100","GATUN ALY","Intersection","1999-08-26T00:00:00.000","Treatment","No",,"5998402.3382","2096537.93774","37.73660202543495","-122.44800086946177",,"POINT (-122.448000869458 37.736602039245)","72","72","9","8","41"
"25840000","Dolores St: 15th St Intersection","100","DOLORES ST","Intersection","2015-09-18T11:44:03.000","Treatment","No",,"6004829.66203","2107209.11762","37.76626790879094","-122.42653846487808",,"POINT (-122.426538464854 37.766267922572)","37","37","3","5","5"
"25088000","CALIFORNIA ST","100","TAYLOR ST","Intersection","2011-06-07T07:14:17.000","Treatment","No",,"6009086.69234","2116357.54546","37.791627061413266","-122.41246088120626",,"POINT (-122.412460881183 37.791627075193)","16","16","6","3","21"
"20369000","Schwerin St: Garrison Ave Intersection","100","SCHWERIN ST","Intersection","2016-02-19T13:57:57.000","Treatment","No",,"6008615.96644","2086351.34666","37.70921033854102","-122.41196819721613",,"POINT (-122.411968197201 37.709210352395)","75","75","9","9","40"
"23521000","48TH AVE","100","PACHECO ST","Intersection","2005-07-13T08:40:15.000","Treatment","No",,"5981360.29503","2101464.4459","37.749139957618105","-122.50728687902603",,"POINT (-122.507286879029 37.749139971417)","39","39","10","7","35"
"32904000","Sloat Blvd: Great Hwy Intersection","100","SLOAT BLVD","Intersection","2015-05-30T12:25:27.000","Treatment","No",,"5981418.17319","2096484.47261","37.73546974387595","-122.50671742825249",,"POINT (-122.506717428242 37.735469757709)","40","40","10","8","16"
"26424000","Cole St: Grove St Intersection","100","GROVE ST","Intersection","2022-04-25T11:05:46.000","Treatment","No",,"5997773.83104","2110261.92218","37.77424872056411","-122.45116329906983",,"POINT (-122.451163299055 37.774248734356)","24","24","7","11","18"
"26642000","Pine St: Scott St Intersection","100","SCOTT ST","Intersection","2020-04-28T15:03:57.000","Treatment","No",,"6001508.0934","2114946.65041","37.787324890644875","-122.438581571107",,"POINT (-122.438581571094 37.787324904425)","103","103","4","11","30"
"21268000","MOULTRIE ST","100","POWHATTAN AVE","Intersection","2011-05-13T10:43:50.000","Treatment","No",,"6007780.32461","2098167.80811","37.74160889468625","-122.41569242031804",,"POINT (-122.415692420313 37.741608908512)","83","83","9","2","2"
"21749000","MISSION ST","100","RUSSIA AVE","Intersection","2001-06-04T00:00:00.000","Treatment","No",,"6001426.30376","2091002.35957","37.72157498729885","-122.43714952408426",,"POINT (-122.437149524079 37.721575001148)","80","80","9","1","7"
"27915000","41ST AVE","100","CLEMENT ST","Intersection","2002-04-09T00:00:00.000","Treatment","No",,"5983134.95226","2113112.66856","37.78122702336084","-122.50201199093235",,"POINT (-122.502011990909 37.781227037148)","8","8","8","4","17"
"24794000","Columbus Ave: Jack Kerouac Aly \ Saroyan Pl Intersection","100","JACK KEROUAC ALY \ SAROYAN PL","Intersection","2017-11-27T10:09:34.000","Treatment","No",,"6010931.79315","2118480.22392","37.79755879637787","-122.4062264376794",,"POINT (-122.406226437685 37.797558810141)","106","106","6","3","6"
"33474000","BROTHERHOOD WAY","100","JUNIPERO SERRA BLVD OFF RAMP","Intersection","2000-11-18T00:00:00.000","Treatment","No",,"5991174.57779","2088045.55672","37.71286825399268","-122.47237119039377",,"POINT (-122.472371190393 37.712868267842)","42","42","10","8","16"
"22659000","Homewood Ct: Wildwood Way Intersection","100","WILDWOOD WAY","Intersection","2018-12-26T09:48:54.000","Treatment","No",,"5994643.92359","2093341.58324","37.72761006242479","-122.46076365678091",,"POINT (-122.460763656762 37.727610076246)","71","71","10","8","41"
"21827000","MISSION ST","100","RICHLAND AVE","Intersection","2005-10-11T15:35:33.000","Treatment","No",,"6005202.35364","2096200.24641","37.736061158579744","-122.42446626260445",,"POINT (-122.4244662626 37.736061172395)","61","61","9","5","2"
"4685000","Delano Ave","90","Mount Vernon Ave","Nahua Ave","2022-08-17T10:44:36.000","Treatment","Yes","Residential","5998609.30668","2089551.35937","37.71743034359741","-122.44678273140752","LINESTRING (-122.446616959605 37.717696406206, -122.446948501972 37.717164308412)",,,,,,
"25042000","WASHINGTON ST","100","STONE ST","Intersection","2006-01-04T10:24:24.000","Treatment","No",,"6010062.67143","2117495.90094","37.79480743205007","-122.40916435020884",,"POINT (-122.40916435021 37.794807445819)","104","104","6","3","6"
"25201000","Hemlock St: Polk St Intersection","100","POLK ST","Intersection","2018-10-15T11:52:18.000","Treatment","No",,"6006870.543","2114819.74073","37.78728001251545","-122.42001957398922",,"POINT (-122.420019573993 37.787280026279)","50","50","4","3","21"
"50005000","KATE ST","100","END: 1-99 BLOCK","Intersection","2000-03-30T00:00:00.000","Treatment","No",,"6010927.13349","2109319.79843","37.77240617236911","-122.40559703821735",,"POINT (-122.405597038195 37.772406186155)","33","33","1","10","34"
"24201000","08th St","100","Harrison St","Intersection","2012-05-21T10:11:50.000","Treatment","No",,"6010093.59105","2109829.73196","37.77375968648301","-122.40851633106114",,"POINT (-122.408516331042 37.77375970028)","32","32","1","10","34"
"21259000","Elsie St: Holly Park Cir Intersection","100","HOLLY PARK CIR","Intersection","2017-02-15T15:59:34.000","Treatment","No",,"6006311.21814","2096856.47841","37.73792558270693","-122.4206790343786",,"POINT (-122.420679034364 37.737925596522)","61","61","9","2","2"
"22840000","PORTOLA DR","100","LAGUNA HONDA BLVD","Intersection","2008-08-14T16:28:51.000","Treatment","No",,"5996349.50341","2098928.60375","37.743048651407676","-122.45527107482465",,"POINT (-122.455271074801 37.743048665229)","72","72","9","8","41"
"26363000","SAINT JOSEPHS AVE","100","TURK ST","Intersection","2000-06-12T00:00:00.000","Treatment","No",,"6000761.35417","2112062.81997","37.77936412574351","-122.44095816345938",,"POINT (-122.440958163448 37.779364139513)","13","13","7","6","18"
"21603000","MARGARET AVE","100","SUMMIT ST","Intersection","1999-11-23T00:00:00.000","Treatment","No",,"5996598.95863","2089111.98342","37.716108870561996","-122.45369982713781",,"POINT (-122.45369982712 37.716108884406)","81","81","10","1","24"
"26408000","Belvedere St: Waller St Intersection","100","WALLER ST","Intersection","2019-10-01T08:43:57.000","Treatment","No",,"5998225.85781","2108242.17349","37.768728878125344","-122.44945410509216",,"POINT (-122.449454105069 37.768728891912)","29","29","7","11","3"
"26362000","BAKER ST","100","TURK BLVD \ TURK ST","Intersection","2000-06-12T00:00:00.000","Treatment","No",,"6000444.01283","2112025.66071","37.77924401665768","-122.44205330922927",,"POINT (-122.442053309206 37.77924403045)","13","13","7","6","18"
"23478000","44TH AVE","100","SANTIAGO ST","Intersection","2003-02-28T00:00:00.000","Treatment","No",,"5982670.47617","2099468.79867","37.743737548008255","-122.50260863871084",,"POINT (-122.502608638709 37.743737561813)","39","39","10","7","35"
"27572000","Washington St: Cherry St Intersection","100","WASHINGTON ST","Intersection","2015-07-08T16:50:52.000","Treatment","No",,"5996129.53921","2115552.00089","37.78867959178162","-122.45723393186182",,"POINT (-122.457233931852 37.788679605546)","10","10","8","6","31"
"27824000","34th Ave: Fulton St Intersection","100","FULTON ST","Intersection","2017-04-19T16:50:15.000","Treatment","No",,"5985427.70097","2109750.41033","37.7721296480567","-122.49383247891902",,"POINT (-122.493832478902 37.772129661855)","8","8","8","4","12"
"51973000","BISHOP ST","100","END","Intersection","2007-11-08T11:08:21.000","Treatment","No",,"6010853.87148","2089504.80823","37.71799441050286","-122.40445543185513",,"POINT (-122.404455431854 37.717994424351)","75","75","9","9","40"
"24665000","SUTTER ST","100","CLAUDE LN","Intersection","2006-07-11T12:08:57.000","Treatment","No",,"6011457.2033","2115637.51275","37.789782768154716","-122.40420819230752",,"POINT (-122.404208192304 37.789782781923)","19","19","6","3","8"
"20610000","Bay Shore Blvd","100","Fitzgerald Ave","Intersection","2013-03-22T13:46:53.000","Treatment","No",,"6011666.42913","2092755.21744","37.72696474546222","-122.40187511803362",,"POINT (-122.401875118009 37.7269647593)","86","86","2","9","25"
"27503000","Clement St: 18th Ave Intersection","100","CLEMENT ST","Intersection","2016-11-15T16:36:16.000","Treatment","No",,"5990262.28363","2113373.94979","37.78236055534537","-122.47737431092806",,"POINT (-122.47737431091 37.782360569132)","5","5","8","4","29"
"20118000","Hawes St: Palou Ave Intersection","100","PALOU AVE","Intersection","2020-12-30T13:54:09.000","Treatment","No",,"6017551.79478","2093260.18932","37.72867799872451","-122.38156441484165",,"POINT (-122.381564414825 37.728678012545)","78","78","2","9","1"
"21177000","Cesar Chavez St","100","Folsom St","Intersection","2013-12-13T07:32:25.000","Treatment","No",,"6008414.80548","2100575.42232","37.748255315780334","-122.41366884448996",,"POINT (-122.413668844476 37.7482553296)","53","53","3","2","20"
"22714000","HOLLOWAY AVE","100","CORONA ST","Intersection","2011-04-29T15:07:05.000","Treatment","No",,"5992617.26159","2091216.6836","37.721658793915","-122.4676153229448",,"POINT (-122.467615322919 37.721658807743)","67","67","10","1","24"
"23767000","18th St: Vermont St Intersection","100","VERMONT ST","Intersection","2020-01-29T10:46:31.000","Treatment","No",,"6011237.5938","2105564.61964","37.76211265819083","-122.40425877311795",,"POINT (-122.404258773122 37.762112671988)","54","54","2","9","26"
"26957000","Pacific Ave","100","Walnut St","Intersection","2013-02-01T12:49:06.000","Treatment","No",,"5998423.54552","2116526.92804","37.79148796664066","-122.44936731342571",,"POINT (-122.449367313422 37.791487980399)","10","10","8","6","31"
"21389000","NAYLOR ST","100","WINDING WAY","Intersection","2001-05-03T00:00:00.000","Treatment","No",,"6002531.585","2086862.477","37.71027054918273","-122.43303323915391",,"POINT (-122.433033237464 37.71027056329)","58","58","9","1","7"
"5432000","Faxon Ave","93","Wildwood Way","Kenwood Way \ Northwood Dr","2022-08-17T10:44:36.000","Treatment","Yes","Residential","5994892.172","2093538.178","37.72816415933639","-122.45991970198183","LINESTRING (-122.459877399406 37.727586847395, -122.45988283677 37.72791024417, -122.45993877286 37.728295512433, -122.460002483418 37.728739437533)",,,,,,
"20558000","BRUSSELS ST","100","HARKNESS AVE","Intersection","1999-08-26T00:00:00.000","Treatment","No",,"6011675.51624","2089313.20609","37.71751419296602","-122.40160188809152",,"POINT (-122.401601888088 37.717514206809)","91","91","9","9","40"
"28245000","Acme Aly: Corwin St Intersection","100","CORWIN ST","Intersection","2018-06-01T16:04:37.000","Treatment","No",,"6000813.64559","2104009.42266","37.75725448044284","-122.44019959138097",,"POINT (-122.440199591363 37.757254494236)","115","115","3","5","38"
"22939000","PORTOLA DR","100","SAN FERNANDO WAY","Intersection","2008-10-21T15:39:18.000","Treatment","No",,"5992071.42834","2096492.13785","37.736112349458786","-122.46988600811983",,"POINT (-122.469886008116 37.73611236328)","46","46","10","8","41"
"22862000","WOODSIDE AVE","100","VASQUEZ AVE","Intersection","2011-05-09T09:40:14.000","Treatment","No",,"5995829.28686","2100268.57087","37.74669800728999","-122.45716674109487",,"POINT (-122.457166741093 37.746698021094)","49","49","7","8","41"
"23679000","18th St: Connecticut St Intersection","100","CONNECTICUT ST","Intersection","2020-01-29T15:19:06.000","Treatment","No",,"6013195.42151","2105673.63258","37.76252118958584","-122.39749499764228",,"POINT (-122.397494997633 37.762521203378)","54","54","2","9","26"
"26073000","BRODERICK ST","100","GOLDEN GATE AVE","Intersection","2001-11-03T00:00:00.000","Treatment","No",,"6000970.13045","2111747.94577","37.77851144987986","-122.44021333433756",,"POINT (-122.44021333434 37.77851146366)","97","97","7","11","39"
"24069000","24th St","100","Cypress St","Intersection","2013-06-06T16:46:41.000","Treatment","No",,"6007532.59404","2102079.94519","37.75233681560715","-122.41682608992376",,"POINT (-122.416826089919 37.752336829427)","53","53","3","2","20"
"33183000","San Bruno Ave","100","Thornton Ave","Intersection","2013-12-16T09:54:06.000","Treatment","No",,"6010872.61843","2093992.60033","37.7303180067332","-122.40470639412352",,"POINT (-122.404706394129 37.730318020575)","91","91","2","2","25"
"25677000","GUERRERO ST","100","18TH ST","Intersection","2012-03-14T15:56:30.000","Treatment","No",,"6005585.6744","2105481.01528","37.761565659036265","-122.42380067056385",,"POINT (-122.423800670565 37.761565672828)","37","37","3","5","20"
"24416000","Jessie St: 09th St Intersection","100","JESSIE ST","Intersection","2015-05-25T15:49:57.000","Treatment","No",,"6008149.43999","2110946.75268","37.776717689970795","-122.4153205692005",,"POINT (-122.415320569201 37.776717703757)","32","32","5","10","34"
"20127000","George Ct: Ingalls St Intersection","100","INGALLS ST","Intersection","2020-03-26T16:00:02.000","Treatment","No",,"6017361.93498","2093971.11583","37.73061957881372","-122.38227021725251",,"POINT (-122.382270217258 37.730619592645)","86","86","2","9","1"
"21678000","AVALON AVE","100","EDINBURGH ST","Intersection","2003-07-28T00:00:00.000","Treatment","No",,"6003965.04197","2092525.36227","37.72590080074711","-122.4284822921448",,"POINT (-122.428482292145 37.72590081459)","90","90","9","1","7"
"8665101","Mansell St","100","Salinas Ave \ San Bruno Ave","Girard St","2022-08-16T17:08:51.000","Treatment","Yes","Arterial","6011725.616","2090688.361","37.7212928992291","-122.40152530815814","LINESTRING (-122.40107413028 37.721534399081, -122.401109044418 37.721401261854, -122.401953281066 37.721181486585, -122.40205647167 37.721277451905)",,,,,,
"24636000","04TH ST","100","STEVENSON ST","Intersection","2002-06-09T00:00:00.000","Treatment","No",,"6011126.8617","2113998.908","37.785265084289236","-122.40523571222283",,"POINT (-122.405235712214 37.785265098069)","32","32","5","10","8"
"23253000","28th Ave: Ulloa St Intersection","100","ULLOA ST","Intersection","2017-05-01T11:26:52.000","Treatment","No",,"5987678.56888","2098276.94415","37.740758054840164","-122.4852046352239",,"POINT (-122.48520463522 37.74075806865)","40","40","10","7","35"
"26359000","BAKER ST","100","GOLDEN GATE AVE","Intersection","2001-11-03T00:00:00.000","Treatment","No",,"6000491.10288","2111680.70508","37.7782995398336","-122.44186564065726",,"POINT (-122.44186564064 37.778299553604)","97","97","7","11","39"
"21382000","BALTIMORE WAY","100","NAYLOR ST","Intersection","2006-12-12T14:18:33.000","Treatment","No",,"6002844.066514","2086469.628864","37.70920959354267","-122.43192520686588",,"POINT (-122.431925206849 37.709209607397)","58","58","9","1","7"
"26534000","BUCHANAN ST","100","CALIFORNIA ST","Intersection","2001-07-02T00:00:00.000","Treatment","No",,"6003843.23858","2115626.62357","37.78932448342683","-122.43055099876595",,"POINT (-122.43055099876 37.789324497207)","102","102","4","6","30"
"24295000","06TH ST","100","STEVENSON ST","Intersection","2005-11-21T10:55:48.000","Treatment","No",,"6009812.89597","2112747.07959","37.781754313839485","-122.40969326158144",,"POINT (-122.409693261577 37.781754327631)","32","32","5","10","34"
"20804000","Oakdale Ave: Barneveld Ave Intersection","100","OAKDALE AVE","Intersection","2015-05-25T15:49:55.000","Treatment","No",,"6011397.86062","2098194.86064","37.7418858679712","-122.40318603560216",,"POINT (-122.403186035585 37.74188588178)","82","82","2","9","1"
"27017000","BEACH ST","100","BRODERICK ST","Intersection","2003-05-01T00:00:00.000","Treatment","No",,"5999697.98181","2120872.53952","37.80349267599429","-122.44527037860831",,"POINT (-122.445270378608 37.803492689741)","17","17","4","6","13"
"25712000","CHURCH ST","100","18TH ST","Intersection","2010-09-24T08:40:23.000","Treatment","No",,"6004267.61537","2105407.59127","37.761289559261314","-122.42835406450259",,"POINT (-122.428354064501 37.761289573053)","37","37","3","5","5"
"23967000","22nd St: Potrero Ave Intersection","100","POTRERO AVE","Intersection","2017-04-07T10:25:41.000","Treatment","No",,"6010493.18002","2103657.21215","37.7568337205322","-122.40669900128573",,"POINT (-122.406699001272 37.756833734335)","53","53","3","2","20"
"27474000","15TH AVE","100","BALBOA ST","Intersection","2012-02-02T15:31:54.000","Treatment","No",,"5991281.68473","2111324.60216","37.77679270656271","-122.47369812329461",,"POINT (-122.47369812328 37.776792720355)","5","5","8","4","29"
"25705000","Dolores St: Chula Ln Intersection","100","DOLORES ST","Intersection","2015-12-11T11:56:45.000","Treatment","No",,"6004876.30443","2106371.26","37.76396998865834","-122.42631747794306",,"POINT (-122.426317477947 37.763970002467)","37","37","3","5","5"
