"respnum","ccgid","term","strata","atype","airline","dest","gatenum","intdate","q1","q2_1","q2_2","q2_3","q2_4","q2_5","q2_6","q3_1","q3_2","q3_3","q3_4","q3_5","q3_6","q3a","q4a","q4b","q4c","q5","q5avg","saq","q6a","q6b","q6c","q6d","q6e","q6f","q6g","q6h","q6i","q6j","q6k","q6l","q6m","q6n","q7com1","q7com2","q7com3","q7a1","q7a2","q7a3","q8a","q8b","q8c","q8d","q8e","q8f","q8com1","q8com2","q8com3","q9","q9apos1","q9apos2","q9apos3","q9aneg1","q9aneg2","q9aneg3","q9antr1","q9antr2","q9antr3","q10","q11","q11a1","q11a2","q11a3","q12","q13a","q13b","q13_com","q13com1","q13com2","q13com3","q14","q14a","q14a1","q14a2","q14a3","q15","sfflag","country","q17","age","q18","q19","inc","mail","lang","destmark","destination","destgeo","weight","location_1"
"47","287","3","1","1","28","2","84","2","2","1","8",,,,,"1","11",,,,,"1","1","2","2","3","4.5","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4",,,,,,,"4","4","4","4","4","4",,,,"5",,,,,,,,,,"1","5",,,,"15","5","5",,,,,"2",,,,,"4","3","62","4","39.5","1","3","125000","1","1","4","CHICAGO","3","1.592296",
"48","288","3","1","1","28","2","84","2","2","1","8",,,,,"1","11",,,,,"1","1","2","2","3","4.5","2","5","3","3","4","4","4","3","3","4","4","4","3","4","4",,,,,,,"3","3","4","4","4","3",,,,"4",,,,,,,,,,"2",,,,,"7","5","3",,,,,"2",,,,,"1","13","62","5","49.5","1","4","175000","1","1","4","CHICAGO","3","1.592296",
"49","289","3","1","1","28","2","84","2","1","1","8",,,,,"3","11",,,,,"9","1","2","2","1","1","2","6","6","6","6","6","6","6","6","6","6","6","6","6","6",,,,,,,"6","6","6","6","6","6",,,,"4",,,,,,,,,,"0",,,,,"11","5","4",,,,,"2",,,,,"3","5","0","5","49.5","1","0",,"1","1","4","CHICAGO","3","1.592296",
"50","290","3","1","1","28","2","84","2","1","1","8",,,,,"3","11",,,,,"9","1","2","2","4","9.5","2","3","3","3","3","3","3","3","3","3","3","3","3","3","0",,,,,,,"0","0","0","0","0","0",,,,"3",,,,,,,,,,"2",,,,,"11","0","0",,,,,"3",,,,,"3","5","0","0",,"0","0",,"1","1","4","CHICAGO","3","1.592296",
"51","291","3","1","1","28","2","84","2","0","1","8",,,,,"5","11",,,,,"9","2","1","1","3","4.5","2","4","4","3","4","3","4","4","4","4","3","4","6","4","4",,,,,,,"4","3","4","4","4","4",,,,"4",,,,,,,,,,"1","4",,,,"5","4","4",,,,,"2",,,,,"0","5","0","3","29.5","0","0",,"1","1","4","CHICAGO","3","1.592296",
"52","292","3","1","1","28","2","84","2","2","1","8",,,,,"4","11",,,,,"9","1","0","0","3","4.5","2","4","4","4","4","4","4","6","6","3","6","4","6","6","4",,,,,,,"5","6","4","6","4","4",,,,"5","7",,,,,,,,,"2",,,,,"5","5","5",,,,,"2",,,,,"1","1","62","5","49.5","2","3","125000","1","1","4","CHICAGO","3","1.592296",
"53","339","2","2","2","7","3","101","2","1","1","8",,,,,"3","11",,,,,"9","1","2","2","3","4.5","1","3","3","3","3","4","3","6","6","6","6","6","6","6","4","55",,,,,,"4","6","6","6","6","5",,,,"3",,,,,,,"8",,,"2",,,,,"11","6","5",,,,,"2",,,,,"3","4","30","4","39.5","1","2","75000","1","4","3","TOKYO","8","0.636476",
"54","340","2","2","2","7","3","101","2","1","3","8",,,,,"3","11",,,,,"9","2","1","1","1","1","1","3","2","2","4","3","3","3","3","6","6","6","6","6","6",,,,,,,"5","6","6","6","5","5",,,,"3",,,,,,,,,,"2",,,,,"11","4","6",,,,,"3",,,,,"3","4","30","7","75","1","1","25000","1","4","3","TOKYO","8","0.636476",
"55","341","2","2","2","7","3","101","2","1","3","8",,,,,"3","11",,,,,"9","2","2","1","2","2","1","6","3","3","4","4","4","6","3","6","6","6","6","6","6",,,,,,,"5","6","6","6","5","5",,,,"5",,,,,,,,,,"2",,,,,"11","5","6",,,,,"2",,,,,"3","4","30","5","49.5","2","4","175000","1","4","3","TOKYO","8","0.636476",
"56","342","2","2","2","7","3","101","2","2","2","8",,,,,"6","11",,,,,"9","1","2","1","2","2","1","6","4","6","5","5","6","5","5","6","6","6","6","6","5",,,,,,,"5","6","6","6","5","5",,,,"5",,,,,,,,,,"2",,,,,"23","5","5",,,,,"2",,,,,"2","4","30","6","59.5","2","1","25000","1","4","3","TOKYO","8","0.636476",
"57","343","2","2","2","7","3","101","2","2","2","8",,,,,"5","11",,,,,"9","1","1","2","3","4.5","1","5","6","5","5","5","5","6","6","6","6","6","6","6","5",,,,,,,"5","6","5","5","6","4",,,,"5",,,,,,,,,,"1","5","11",,,"5","5","5",,,,,"2",,,,,"2","4","30","3","29.5","1","1","25000","1","4","3","TOKYO","8","0.636476",
"58","344","2","2","2","7","3","101","2","2","3","8",,,,,"2","11",,,,,"9","1","1","2","1","1","1","6","6","4","5","5","5","6","6","6","6","6","6","6","5",,,,,,,"5","6","6","6","6","3",,,,"5",,,,,,,,,,"1","4","5",,,"5","5","5",,,,,"2",,,,,"2","4","30","6","59.5","2","1","25000","1","4","3","TOKYO","8","0.636476",
"59","345","2","2","2","7","3","101","2","2","2","8",,,,,"2","11",,,,,"9","1","1","2","3","4.5","1","6","6","2","5","5","5","6","6","6","6","6","6","6","4","6","7",,,,,"4","6","6","6","6","5",,,,"3",,,,,,,,,,"2",,,,,"7","5","5",,,,,"2",,,,,"2","4","30","3","29.5","1","1","25000","1","4","3","TOKYO","8","0.636476",
"60","346","2","2","2","7","3","101","2","2","1","8",,,,,"4","11",,,,,"9","1","2","1","3","4.5","1","6","3","1","3","4","6","6","6","6","6","6","6","6","4","1","2",,,,,"5","6","6","6","6","3",,,,"4",,,,,,,,,,"1","3",,,,"5","5","1",,"1",,,"2",,,,,"2","4","30","5","49.5","1","4","175000","1","4","3","TOKYO","8","0.636476",
"61","356","2","2","2","7","3","101","2","1","1","8",,,,,"3","11",,,,,"9","0","0","0","5","18.5","2","4","3","3","4","0","4","5","5","4","5","3","4","5","4",,,,,,,"5","4","4","4","4","3",,,,"5",,,,,,,,,,"0",,,,,"11","1","3",,,,,"0",,,,,"3","5","0","5","49.5","2","1","25000","1","1","3","TOKYO","8","0.636476",
"62","355","2","2","2","7","3","101","2","2","1","8",,,,,"8","11",,,,,"9","1","2","1","4","9.5","2","4","3","3","4","4","3","6","6","3","6","6","6","6","4","6","7",,,,,"5","6","6","6","4","5",,,,"5","1",,,,,,,,,"3",,,,,"7","5","3",,"1",,,"2",,,,,"1","13","62","4","39.5","1","4","175000","1","1","3","TOKYO","8","0.636476",
"63","354","2","2","2","7","3","101","2","1","3","8",,,,,"3","11",,,,,"9","1","1","1","1","1","2","3","3","3","4","4","4","4","4","6","6","6","6","6","4","7",,,,,,"5","6","6","6","5","3",,,,"4","7",,,,,,,,,"1","3","6",,,"11","5","5",,,,,"2",,,,,"3","4","30","3","29.5","2","3","125000","1","1","3","TOKYO","8","0.636476",
"64","353","2","2","2","7","3","101","2","2","1","8",,,,,"2","11",,,,,"9","1","1","1","2","2","2","4","3","3","4","4","3","4","3","3","3","4","3","2","4","6",,,,,,"5","4","4","6","3","3",,,,"4",,,,,,,,,,"1","4",,,,"7","3","3",,,,,"1",,"2",,,"1","13","62","4","39.5","1","3","125000","1","1","3","TOKYO","8","0.636476",
"65","352","2","2","2","7","3","101","2","1","4","8",,,,,"3","11",,,,,"9","2","2","1","3","4.5","2","6","2","6","3","4","3","6","6","6","6","6","6","6","3","6",,,,,,"5","6","6","6","6","4","6",,,"3",,,,,,,"20",,,"2",,,,,"11","5","6",,,,,"2",,,,,"3","4","62","2","21","1","3","125000","1","1","3","TOKYO","8","0.636476",
"66","347","2","2","2","7","3","101","2","1","4","8",,,,,"3","11",,,,,"9","3","2","1","2","2","2","3","4","4","4","4","4","4","3","2","6","6","6","6","4",,,,,,,"5","5","6","6","3","4",,,,"0",,,,,,,,,,"3",,,,,"11","3","3",,,,,"2",,,,,"3","4","30","2","21","2","1","25000","1","1","3","TOKYO","8","0.636476",
