"id","sex","age","member_created_m_d_yyyy","start_of_first_full_membership"
"99",,,"2017-04-24T00:00:00.000",
"100",,"65","2019-06-07T00:00:00.000","2019-08-09T00:00:00.000"
"101","male","69","2017-09-20T00:00:00.000","2017-10-04T00:00:00.000"
"102","female","26","2017-06-07T00:00:00.000","2017-06-07T00:00:00.000"
"103","male","68","2017-04-26T00:00:00.000","2017-04-26T00:00:00.000"
"104","male","34","2020-03-11T00:00:00.000","2020-03-11T00:00:00.000"
"105",,,"2020-09-22T00:00:00.000",
"106","male","36","2019-05-29T00:00:00.000","2019-05-29T00:00:00.000"
"107",,,"2018-10-02T00:00:00.000",
"108",,,"2018-07-08T00:00:00.000",
"109","male",,"2019-11-04T00:00:00.000","2019-11-04T00:00:00.000"
"110",,,"2019-06-07T00:00:00.000","2019-06-07T00:00:00.000"
"111",,"69","2019-10-10T00:00:00.000","2019-10-11T00:00:00.000"
"112","female",,"2016-08-09T00:00:00.000","2016-08-09T00:00:00.000"
"113",,"72","2019-03-14T00:00:00.000","2019-03-18T00:00:00.000"
"114",,,"2017-09-08T00:00:00.000",
"115",,,"2019-10-11T00:00:00.000","2019-10-11T00:00:00.000"
"116",,"77","2018-07-20T00:00:00.000","2018-07-20T00:00:00.000"
"117","male",,"2018-11-18T00:00:00.000","2018-12-10T00:00:00.000"
"118","male","42","2017-12-13T00:00:00.000","2017-12-13T00:00:00.000"
"119",,"46","2017-08-11T00:00:00.000","2017-08-11T00:00:00.000"
"120","would rather not say",,"2020-02-27T00:00:00.000","2020-02-26T00:00:00.000"
"121","female",,"2019-12-16T00:00:00.000","2019-12-16T00:00:00.000"
"122",,,"2018-02-02T00:00:00.000","2018-02-07T00:00:00.000"
"123","male","76","2018-10-15T00:00:00.000","2018-10-17T00:00:00.000"
"124","female","38","2019-09-06T00:00:00.000","2019-09-06T00:00:00.000"
"125","female","52","2017-07-07T00:00:00.000",
"126","female","35","2018-08-22T00:00:00.000","2018-08-22T00:00:00.000"
"127",,"55","2019-07-05T00:00:00.000","2019-07-05T00:00:00.000"
"128",,"32","2017-05-27T00:00:00.000",
"129",,,"2019-07-29T00:00:00.000","2019-07-29T00:00:00.000"
"130","female","34","2017-02-10T00:00:00.000",
"131","male","33","2017-02-16T00:00:00.000","2017-02-15T00:00:00.000"
"132",,"38","2018-08-29T00:00:00.000","2018-08-29T00:00:00.000"
"133",,"62","2020-11-09T00:00:00.000","2020-11-09T00:00:00.000"
"134","female","72","2018-05-18T00:00:00.000","2018-05-18T00:00:00.000"
"135",,,"2017-09-07T00:00:00.000",
"136","female","52","2017-06-21T00:00:00.000","2017-06-21T00:00:00.000"
"137","male","44","2017-06-09T00:00:00.000","2017-06-09T00:00:00.000"
"138",,,"2019-05-28T00:00:00.000","2019-05-29T00:00:00.000"
"139","other","20","2019-02-12T00:00:00.000","2019-02-15T00:00:00.000"
"140",,"44","2020-11-02T00:00:00.000","2020-11-02T00:00:00.000"
"141","male","44","2016-08-19T00:00:00.000","2016-08-19T00:00:00.000"
"142","male","26","2017-12-07T00:00:00.000","2017-12-07T00:00:00.000"
"143","male",,"2018-06-11T00:00:00.000","2018-06-11T00:00:00.000"
"144",,,"2017-07-14T00:00:00.000","2017-07-14T00:00:00.000"
"145",,"42","2019-03-21T00:00:00.000","2019-03-20T00:00:00.000"
"146",,,"2016-08-16T00:00:00.000","2016-08-16T00:00:00.000"
"147",,"38","2017-06-09T00:00:00.000","2017-06-23T00:00:00.000"
"148","female","61","2017-06-12T00:00:00.000",
"149",,"53","2020-10-03T00:00:00.000",
"150","female","37","2018-08-29T00:00:00.000","2018-08-29T00:00:00.000"
"151",,"33","2018-09-12T00:00:00.000","2018-09-12T00:00:00.000"
"152",,"45","2018-07-11T00:00:00.000","2018-07-11T00:00:00.000"
"153","male","47","2017-09-01T00:00:00.000","2017-09-01T00:00:00.000"
"154",,,"2019-10-16T00:00:00.000","2019-10-16T00:00:00.000"
"155",,"85","2018-09-06T00:00:00.000","2018-09-05T00:00:00.000"
"156","female","62","2016-10-21T00:00:00.000","2017-10-27T00:00:00.000"
"157",,"35","2019-03-25T00:00:00.000","2019-03-25T00:00:00.000"
"158","female","72","2019-09-30T00:00:00.000","2019-09-30T00:00:00.000"
"159",,,"2017-07-07T00:00:00.000",
"160","female","57","2017-03-29T00:00:00.000","2018-08-20T00:00:00.000"
"161","male",,"2019-07-31T00:00:00.000","2019-07-31T00:00:00.000"
"162",,"61","2020-11-30T00:00:00.000",
"163","female","61","2016-08-08T00:00:00.000","2016-08-08T00:00:00.000"
