"socrata_entity_number","home_cost_center","home_cost_center_description","cost_center","employment_status","union_name","age_range","gender","ethnic_code_description","title","current_hire_date","date_terminated","longevity_range","total_wages","total_benefits","total_taxes","total_cost","date","regular_pay","premium_pay"
"116","230000","PS - POLICE BUREAU","Police-Compensation","Full-time","Police","60-69 years old","Male","Black or African-American","Master Police Officer","1989-04-17T00:00:00.000",,"26-30 years with the City","45787.06","14985.79","639.37","61412.22","2019",,
"116","230000","PS - POLICE BUREAU","Police-Narcotics/Vice","Full-time","Police","60-69 years old","Male","Black or African-American","Police Officer/Detective","1989-04-17T00:00:00.000",,"31-35 years with the City","50916.17","16417.49",,"67333.66","2020","40273.60","10642.57"
"116","230000","PS - POLICE BUREAU","Police-Narcotics/Vice","Full-time","Police","60-69 years old","Male","Black or African American","Police Officer/Detective","1989-04-17T00:00:00.000",,"31-35 years with the City","38016.97","18063.20",,"56080.17","2021","26578.85","11438.12"
"172","420000","PW - BUREAU OF ADMINISTRATION","PW-1st Division","Full-time","PJCBC","60-69 years old","Female","White","Laborer-SH","1983-08-15T00:00:00.000","2018-05-21T00:00:00.000","31-35 years with the City","43387.17","6463.40","1864.72","51715.29","2017",,
"172","420000","PW - BUREAU OF ADMINISTRATION","PW-1st Division","Full-time","PJCBC","60-69 years old","Female","White","Laborer-SH","1983-08-15T00:00:00.000","2018-05-21T00:00:00.000","31-35 years with the City","24933.48","2978.58","1864.72","29776.78","2018",,
"188","250000","PS - FIRE BUREAU","Fire Engine Co. 29","Full-time","Fire","60-69 years old","Male","White","Firefighter 4th Year","1979-04-23T00:00:00.000",,"36-40 years with the City","74068.00","11861.76","997.58","86927.34","2017",,
"188","250000","PS - FIRE BUREAU","Fire Engine Co. 29","Full-time","Fire","60-69 years old","Male","White","Firefighter 4th Year","1979-04-23T00:00:00.000",,"36-40 years with the City","71347.38","12096.40","997.58","84441.36","2018",,
"188","250000","PS - FIRE BUREAU","Fire Engine Co. 29","Full-time","Fire","60-69 years old","Male","White","Firefighter 4th Year","1979-04-23T00:00:00.000","2019-02-07T00:00:00.000","36-40 years with the City","31366.76","2095.56","448.49","33910.81","2019",,
"222","250000","PS - FIRE BUREAU","Fire Engine Co. 13","Full-time","Fire","60-69 years old","Male","Black or African-American","Master Fire Fighter","1981-11-30T00:00:00.000","2018-09-01T00:00:00.000","36-40 years with the City","125803.63","11861.76","0.00","137665.39","2017",,
"222","250000","PS - FIRE BUREAU","Fire Engine Co. 13","Full-time","Fire","60-69 years old","Male","Black or African-American","Master Fire Fighter","1981-11-30T00:00:00.000","2018-09-01T00:00:00.000","36-40 years with the City","118423.64","8564.90","0.00","126988.54","2018",,
"240","250000","PS - FIRE BUREAU","Fire Engine Co. 33","Full-time","Fire","50-59 years old","Male","Black or African-American","Fire Captain","1993-11-08T00:00:00.000","2017-10-12T00:00:00.000","21-25 years with the City","142598.42","4719.40","0.00","147317.82","2017",,
"246","230000","PS - POLICE BUREAU","Police Zone 4 - Squirrel Hill","Full-time","Police","60-69 years old","Female","White","Master Police Officer","1985-09-23T00:00:00.000","2018-01-03T00:00:00.000","31-35 years with the City","105374.12","5166.82","0.00","110540.94","2017",,
"246","230000","PS - POLICE BUREAU","Police Zone 4 - Squirrel Hill","Full-time","Police","60-69 years old","Female","White","Master Police Officer","1985-09-23T00:00:00.000","2018-01-03T00:00:00.000","31-35 years with the City","32246.04","461.52","0.00","32707.56","2018",,
"246","230000","PS - POLICE BUREAU","Police Zone 4 - Squirrel Hill","Full-time","Police","60-69 years old","Female","White","Master Police Officer","1985-09-23T00:00:00.000","2018-01-03T23:59:00.000","31-35 years with the City","169.54","0.00",,"169.54","2020","169.54","0.00"
"256","500000","PARKS AND RECREATION","Housing","Full-time","Recreation Teachers","50-59 years old","Male","Black or African-American","Recreation Leader 1","2005-02-14T00:00:00.000",,"11-15 years with the City","31526.55","0.00","2312.34","33838.89","2017",,
"256","500000","PARKS AND RECREATION","Housing","Full-time","Recreation Teachers","50-59 years old","Male","Black or African-American","Recreation Leader 1","2005-02-14T00:00:00.000",,"11-15 years with the City","31229.87","0.00","2312.34","33542.21","2018",,
"256","500000","PARKS AND RECREATION","Housing","Full-time","Recreation Teachers","50-59 years old","Male","Black or African-American","Recreation Leader 1","2005-02-14T00:00:00.000",,"11-15 years with the City","31509.72","0.00","2336.95","33846.67","2019",,
"256","500000","PARKS AND RECREATION","PR-Housing","Full-time","Rec Teachers","50-59 years old","Male","Black or African-American","Recreation Leader","1997-01-27T00:00:00.000",,"21-25 years with the City","34726.81","340.82",,"35067.63","2020","34726.81","0.00"
"256","500000","PARKS AND RECREATION","PR-Housing","Full-time","Rec Teachers","50-59 years old","Male","Black or African American","Recreation Leader","1997-01-27T00:00:00.000",,"21-25 years with the City","35383.96","419.07",,"35803.03","2021","35383.96","0.00"
"272","230000","PS - POLICE BUREAU","Police Warrant Office","Full-time","Police","50-59 years old","Male","White","Master Police Officer","1993-04-20T00:00:00.000","2018-04-30T00:00:00.000","21-25 years with the City","53908.03","15283.37","124.21","69315.61","2017",,
"272","230000","PS - POLICE BUREAU","Police Warrant Office","Full-time","Police","50-59 years old","Male","White","Master Police Officer","1993-04-20T00:00:00.000","2018-04-30T00:00:00.000","21-25 years with the City","8566.40","6103.44","124.21","14794.05","2018",,
"272","230000","PS - POLICE BUREAU","Police Warrant Office","Full-time","Police","50-59 years old","Male","White","Master Police Officer","1993-04-20T00:00:00.000","2018-04-30T23:59:00.000","26-30 years with the City","1145.67","0.00",,"1145.67","2020","1145.67","0.00"
"272","230000","PS - POLICE BUREAU","Police Warrant Office","Full-time","Police","50-59 years old","Male","White","Master Police Officer","1993-04-20T00:00:00.000","2018-04-30T23:59:00.000","26-30 years with the City","19.25","0.00",,"19.25","2021","19.25","0.00"
"278","250000","PS - FIRE BUREAU","Fire Engine Co. 17","Full-time","Fire","50-59 years old","Male","White","Fire Captain","1980-05-05T00:00:00.000",,"36-40 years with the City","122123.09","18006.96","0.00","140130.05","2017",,
"278","250000","PS - FIRE BUREAU","Fire Engine Co. 17","Full-time","Fire","50-59 years old","Male","White","Fire Captain","1980-05-05T00:00:00.000",,"36-40 years with the City","135865.55","18144.60","0.00","154010.15","2018",,
"278","250000","PS - FIRE BUREAU","Fire Engine Co. 17","Full-time","Fire","50-59 years old","Male","White","Fire Captain","1980-05-05T00:00:00.000",,"36-40 years with the City","141079.29","14407.02","0.00","155486.31","2019",,
"278","250000","PS - FIRE BUREAU","Fire Engine Co. 17","Full-time","Fire","50-59 years old","Male","White","Fire Captain","1980-05-05T00:00:00.000",,"36-40 years with the City","156952.19","12200.63",,"169152.82","2020","136716.85","20235.34"
"278","250000","PS - FIRE BUREAU","Fire Engine Co. 17","Full-time","Fire","60-69 years old","Male","White","Fire Captain","1980-05-05T00:00:00.000","2021-01-16T23:59:00.000","41-45 years with the City","72372.00","1470.06",,"73842.06","2021","60971.54","11400.46"
"304","230000","PS - POLICE BUREAU","Police Zone 6 - West End","Full-time","Police","50-59 years old","Male","White","Master Police Officer","1995-02-20T00:00:00.000",,"21-25 years with the City","108488.97","15305.40","1370.53","125164.90","2017",,
"304","230000","PS - POLICE BUREAU","Police Zone 6 - West End","Full-time","Police","50-59 years old","Male","White","Master Police Officer","1995-02-20T00:00:00.000",,"21-25 years with the City","99473.30","16361.64","1370.53","117205.47","2018",,
"304","230000","PS - POLICE BUREAU","Police Zone 6 - West End","Full-time","Police","50-59 years old","Male","White","Master Police Officer","1995-02-20T00:00:00.000",,"21-25 years with the City","92368.28","15680.68","1266.13","109315.09","2019",,
"304","230000","PS - POLICE BUREAU","Police Zone 6 - West End","Full-time","Police","50-59 years old","Male","White","Master Police Officer","1995-02-20T00:00:00.000",,"21-25 years with the City","100120.41","17280.45",,"117400.86","2020","87585.51","12534.90"
"304","230000","PS - POLICE BUREAU","Police Zone 6 - West End","Full-time","Police","50-59 years old","Male","White","Master Police Officer","1995-02-20T00:00:00.000","2021-05-03T23:59:00.000","26-30 years with the City","47184.52","7878.88",,"55063.40","2021","37784.52","9400.00"
"326","230000","PS - POLICE BUREAU","Police Zone 5 - East Liberty","Full-time","Police","60-69 years old","Female","Black or African-American","Master Police Officer","1990-04-09T00:00:00.000",,"26-30 years with the City","81746.48","6438.76","917.02","89102.26","2017",,
"326","230000","PS - POLICE BUREAU","Police Zone 5 - East Liberty","Full-time","Police","60-69 years old","Female","Black or African-American","Master Police Officer","1990-04-09T00:00:00.000",,"26-30 years with the City","66754.62","10951.66","917.02","78623.30","2018",,
"326","230000","PS - POLICE BUREAU","Police Zone 5 - East Liberty","Full-time","Police","60-69 years old","Female","Black or African-American","Master Police Officer","1990-04-09T00:00:00.000",,"26-30 years with the City","86516.51","10526.00","1192.93","98235.44","2019",,
"326","230000","PS - POLICE BUREAU","Police Zone 5 - East Liberty","Full-time","Police","60-69 years old","Female","Black or African-American","Master Police Officer","1990-04-09T00:00:00.000",,"26-30 years with the City","100113.48","10766.64",,"110880.12","2020","85144.58","14968.90"
"326","230000","PS - POLICE BUREAU","Police Zone 5 - East Liberty","Full-time","Police","60-69 years old","Female","Black or African American","Master Police Officer","1990-04-09T00:00:00.000",,"31-35 years with the City","101514.88","6353.36",,"107868.24","2021","84610.61","16904.27"
"410","250000","PS - FIRE BUREAU","Fire Engine Co. 29","Full-time","Fire","50-59 years old","Male","White","Master Fire Fighter","1999-08-09T00:00:00.000","2018-08-06T00:00:00.000","16-20 years with the City","4000.00","5663.28","143.44","9806.72","2017",,
"410","250000","PS - FIRE BUREAU","Fire Engine Co. 29","Full-time","Fire","50-59 years old","Male","White","Master Fire Fighter","1999-08-09T00:00:00.000","2018-08-06T00:00:00.000","16-20 years with the City","9892.48","4030.20","143.44","14066.12","2018",,
"426","107000","FINANCE","Finance/OBM","Full-time","Non-Union","50-59 years old","Female","White","Supervisory Clerk, Real Estate","2000-03-27T00:00:00.000",,"16-20 years with the City","35351.19","6428.90","2769.82","44549.91","2017",,
"426","107000","FINANCE","Finance/OBM","Full-time","Non-Union","50-59 years old","Female","White","Supervisory Clerk, Real Estate","2000-03-27T00:00:00.000",,"16-20 years with the City","39140.61","6749.00","2769.82","48659.43","2018",,
"426","107000","FINANCE","Finance/OBM","Full-time","Non-Union","50-59 years old","Female","White","Supervisory Clerk, Real Estate","2000-03-27T00:00:00.000",,"16-20 years with the City","38140.69","0.00","2830.64","40971.33","2019",,
"426","107000","FINANCE","Finance","Full-time","Non Union","60-69 years old","Female","White","Supervisory Clerk, Real Estate","2000-03-27T00:00:00.000",,"16-20 years with the City","42140.94","716.86",,"42857.80","2020","42140.94","0.00"
"426","107000","FINANCE","Finance","Full-time","Non Union","60-69 years old","Female","White","Supervisory Clerk, Real Estate","2000-03-27T00:00:00.000","2021-08-13T23:59:00.000","21-25 years with the City","27628.30","539.28",,"28167.58","2021","27628.30","0.00"
"442","230000","PS - POLICE BUREAU","PS-Asst Chief-Admin","Full-time","Police","50-59 years old","Male","White","Police Lieutenant","1994-08-15T00:00:00.000",,"21-25 years with the City","150648.75","15356.72","2225.63","168231.10","2017",,
"442","230000","PS - POLICE BUREAU","PS-Asst Chief-Admin","Full-time","Police","50-59 years old","Male","White","Police Lieutenant","1994-08-15T00:00:00.000",,"21-25 years with the City","158129.19","16376.72","2225.63","176731.54","2018",,
"442","230000","PS - POLICE BUREAU","PS-Asst Chief-Admin","Full-time","Police","50-59 years old","Male","White","Police Lieutenant","1994-08-15T00:00:00.000",,"21-25 years with the City","147187.38","15695.18","2069.79","164952.35","2019",,
"442","230000","PS - POLICE BUREAU","Police Zone 2 - Hill Dist","Full-time","Police","50-59 years old","Male","White","Police Lieutenant","1994-08-15T00:00:00.000",,"26-30 years with the City","158536.15","17190.26",,"175726.41","2020","127590.50","30945.65"
"442","230000","PS - POLICE BUREAU","Police Zone 2 - Hill Dist","Full-time","Police","50-59 years old","Male","White","Police Lieutenant","1994-08-15T00:00:00.000",,"26-30 years with the City","145573.76","18853.36",,"164427.12","2021","136448.76","9125.00"
"456","250000","PS - FIRE BUREAU","Fire Boat 24/7","Full-time","Fire","50-59 years old","Male","White","Fire Captain","1997-07-07T00:00:00.000",,"21-25 years with the City","117198.14","11861.76","1928.34","130988.24","2017",,
"456","250000","PS - FIRE BUREAU","Fire Boat 24/7","Full-time","Fire","50-59 years old","Male","White","Fire Captain","1997-07-07T00:00:00.000",,"21-25 years with the City","135259.41","12096.40","1928.34","149284.15","2018",,
"456","250000","PS - FIRE BUREAU","Fire Boat 24/7","Full-time","Fire","50-59 years old","Male","White","Fire Captain","1997-07-07T00:00:00.000",,"21-25 years with the City","122220.42","12049.47","1741.10","136010.99","2019",,
"456","250000","PS - FIRE BUREAU","Fire Boat 24/7","Full-time","Fire","50-59 years old","Male","White","Fire Captain","1997-07-07T00:00:00.000",,"21-25 years with the City","14500.20","12200.63",,"26700.83","2020","5392.96","9107.24"
"456","250000","PS - FIRE BUREAU","Fire Boat 24/7","Full-time","Fire","50-59 years old","Male","White","Fire Captain","1997-07-07T00:00:00.000","2021-03-29T23:59:00.000","21-25 years with the City","41594.46","3920.16",,"45514.62","2021","35594.46","6000.00"
"460","102200","OFFICE OF MANAGEMENT & BUDGET","Management & Budget","Full-time","AFSCME Local 2719","40-49 years old","Female","Black or African-American","Procurement Specialist","1999-10-04T00:00:00.000","2017-03-31T00:00:00.000","16-20 years with the City","12248.47","1596.15","0.00","13844.62","2017",,
"474","220000","PS - EMERGENCY MED SERVICES","Emergency Medical Service","Full-time","Paramedics","50-59 years old","Female","Black or African-American","Crew Chief","1998-02-09T00:00:00.000",,"16-20 years with the City","99574.53","6366.52","7555.47","113496.52","2017",,
"474","220000","PS - EMERGENCY MED SERVICES","Emergency Medical Service","Full-time","Paramedics","50-59 years old","Female","Black or African-American","Crew Chief","1998-02-09T00:00:00.000",,"16-20 years with the City","104275.88","6758.94","7555.47","118590.29","2018",,
"474","220000","PS - EMERGENCY MED SERVICES","Emergency Medical Service","Full-time","Paramedics","50-59 years old","Female","Black or African-American","Crew Chief","1998-02-09T00:00:00.000",,"21-25 years with the City","121058.56","6877.92","8793.43","136729.91","2019",,
"474","220000","PS - EMERGENCY MED SERVICES","Emergency Medical Service","Full-time","Paramedics","50-59 years old","Female","Black or African-American","Crew Chief","1998-02-09T00:00:00.000",,"21-25 years with the City","24602.22","8165.24",,"32767.46","2020","14853.32","9748.90"
"474","220000","PS - EMERGENCY MED SERVICES","Emergency Medical Service","Full-time","Paramedics","50-59 years old","Female","Black or African American","Crew Chief","1998-02-09T00:00:00.000",,"21-25 years with the City","20474.95","8826.98",,"29301.93","2021","13070.73","7404.22"
"518","420000","PW - BUREAU OF ADMINISTRATION","PW-2nd Division-Admin","Full-time","AFSCME Local 2037","60-69 years old","Male","Black or African-American","Foreman-SH","2005-08-17T00:00:00.000",,"11-15 years with the City","51032.61","340.80","3863.13","55236.54","2017",,
"518","420000","PW - BUREAU OF ADMINISTRATION","PW-2nd Division-Admin","Full-time","AFSCME Local 2037","60-69 years old","Male","Black or African-American","Foreman-SH","2005-08-17T00:00:00.000",,"11-15 years with the City","56499.97","355.34","3863.13","60718.44","2018",,
"518","420000","PW - BUREAU OF ADMINISTRATION","PW-2nd Division-Admin","Full-time","AFSCME Local 2037","60-69 years old","Male","Black or African-American","Foreman-SH","2005-08-17T00:00:00.000","2019-01-30T00:00:00.000","11-15 years with the City","10320.84","1233.64","752.59","12307.07","2019",,
"538","230000","PS - POLICE BUREAU","Police Zone 3 - Southside","Full-time","Police","60-69 years old","Male","White","Master Police Officer","1980-11-03T00:00:00.000","2017-03-02T00:00:00.000","36-40 years with the City","47290.27","52.78","0.00","47343.05","2017",,
"540","600000","MOBILITY AND INFRASTRUCTURE","DOMI Administration","Full-time","Non-Union","50-59 years old","Female","White","Inspector 3","1977-06-29T00:00:00.000",,"41-45 years with the City","57187.68","19014.24","4827.63","81029.55","2017",,
"540","600000","MOBILITY AND INFRASTRUCTURE","DOMI Administration","Full-time","Non-Union","50-59 years old","Female","White","Inspector 3","1977-06-29T00:00:00.000",,"41-45 years with the City","58081.58","20098.56","4827.63","83007.77","2018",,
"540","600000","MOBILITY AND INFRASTRUCTURE","DOMI Administration","Full-time","Non-Union","60-69 years old","Female","White","Inspector 3","1977-06-29T00:00:00.000",,"41-45 years with the City","55677.55","19725.47","4414.83","79817.85","2019",,
"540","600000","MOBILITY AND INFRASTRUCTURE","DOMI Administration","Full-time","Non Union","60-69 years old","Female","White","Inspector 3","1977-06-29T00:00:00.000","2020-07-06T23:59:00.000","41-45 years with the City","40552.87","4451.83",,"45004.70","2020","40552.87","0.00"
"562","420000","PW - BUREAU OF ADMINISTRATION","PW-2nd Division","Full-time","PJCBC","60-69 years old","Male","Black or African-American","Laborer-SH","1977-06-27T00:00:00.000","2018-05-31T00:00:00.000","41-45 years with the City","46349.19","6463.40","1898.36","54710.95","2017",,
"562","420000","PW - BUREAU OF ADMINISTRATION","PW-2nd Division","Full-time","PJCBC","60-69 years old","Male","Black or African-American","Laborer-SH","1977-06-27T00:00:00.000","2018-05-31T00:00:00.000","41-45 years with the City","25508.42","2978.58","1898.36","30385.36","2018",,
"622","230000","PS - POLICE BUREAU","Police Zone 5 - East Liberty","Full-time","Police","50-59 years old","Female","Black or African-American","Master Police Officer","1994-01-03T00:00:00.000",,"21-25 years with the City","111960.84","5115.40","1660.23","118736.47","2017",,
"622","230000","PS - POLICE BUREAU","Police Zone 5 - East Liberty","Full-time","Police","50-59 years old","Female","Black or African-American","Master Police Officer","1994-01-03T00:00:00.000",,"21-25 years with the City","116797.72","5471.44","1660.23","123929.39","2018",,
"622","230000","PS - POLICE BUREAU","Police Zone 5 - East Liberty","Full-time","Police","50-59 years old","Female","Black or African-American","Master Police Officer","1994-01-03T00:00:00.000",,"21-25 years with the City","124059.79","5017.82","1770.56","130848.17","2019",,
"622","230000","PS - POLICE BUREAU","Police Zone 5 - East Liberty","Full-time","Police","50-59 years old","Female","Black or African-American","Master Police Officer","1994-01-03T00:00:00.000",,"26-30 years with the City","150103.41","5791.03",,"155894.44","2020","94783.17","55320.24"
"622","230000","PS - POLICE BUREAU","Police Zone 5 - East Liberty","Full-time","Police","50-59 years old","Female","Black or African American","Master Police Officer","1994-01-03T00:00:00.000",,"26-30 years with the City","143543.86","6394.40",,"149938.26","2021","89267.81","54276.05"
"670","4000280300","ARAD-PUBLIC WORKS","PW-1st Division","Full-time","PJCBC","50-59 years old","Male","White","Tractor Operator","1989-05-30T00:00:00.000",,"26-30 years with the City","46504.83","21487.40","3702.34","71694.57","2017",,
"670","4000280300","ARAD-PUBLIC WORKS","PW-1st Division","Full-time","PJCBC","50-59 years old","Male","White","Tractor Operator","1989-05-30T00:00:00.000",,"26-30 years with the City","50808.86","25413.19","3702.34","79924.39","2018",,
"670","4000280300","ARAD-PUBLIC WORKS","PW-1st Division","Full-time","PJCBC","50-59 years old","Male","White","Tractor Operator","1989-05-30T00:00:00.000",,"26-30 years with the City","53857.27","23722.14","3895.91","81475.32","2019",,
"670","420000","PW - BUREAU OF ADMINISTRATION","PW-1st Division","Full-time","PJCBC","50-59 years old","Male","White","Tractor Operator","1989-05-30T00:00:00.000",,"31-35 years with the City","55503.84","843.57",,"56347.41","2020","50407.37","5096.47"
"670","420000","PW - BUREAU OF ADMINISTRATION","PW-1st Division","Full-time","PJCBC","50-59 years old","Male","White","Tractor Operator","1989-05-30T00:00:00.000",,"31-35 years with the City","63870.71","11214.44",,"75085.15","2021","54186.35","9684.36"
"726","106000","CITY CONTROLLER","City Controller","Full-time","Non-Union","40-49 years old","Female","Black or African-American","Account Clerk-Controller","1998-11-09T00:00:00.000",,"16-20 years with the City","44687.17","6338.16","3485.41","54510.74","2017",,
"726","106000","CITY CONTROLLER","City Controller","Full-time","Non-Union","40-49 years old","Female","Black or African-American","Account Clerk-Controller","1998-11-09T00:00:00.000",,"16-20 years with the City","47579.66","6699.60","3485.41","57764.67","2018",,
"726","106000","CITY CONTROLLER","City Controller","Full-time","Non-Union","40-49 years old","Female","Black or African-American","Account Clerk-Controller","1998-11-09T00:00:00.000",,"21-25 years with the City","48694.15","6773.81","3570.58","59038.54","2019",,
"726","106000","CITY CONTROLLER","City Controller","Full-time","Non Union","40-49 years old","Female","Black or African-American","Account Clerk-Controller","1998-11-09T00:00:00.000",,"21-25 years with the City","56028.72","7176.18",,"63204.90","2020","56028.72","0.00"
"726","106000","CITY CONTROLLER","City Controller","Full-time","Non Union","40-49 years old","Female","Black or African American","Account Clerk-Controller","1998-11-09T00:00:00.000",,"21-25 years with the City","56352.54","8252.80",,"64605.34","2021","56352.54","0.00"
"730","250000","PS - FIRE BUREAU","Fire-Gen Office","Full-time","Fire","50-59 years old","Male","White","Battalion Chief-2010","1994-07-18T00:00:00.000",,"21-25 years with the City","132422.94","18006.96","2126.32","152556.22","2017",,
"730","250000","PS - FIRE BUREAU","Fire-Gen Office","Full-time","Fire","50-59 years old","Male","White","Battalion Chief-2010","1994-07-18T00:00:00.000",,"21-25 years with the City","150382.37","18144.60","2126.32","170653.29","2018",,
"730","250000","PS - FIRE BUREAU","Fire-Gen Office","Full-time","Fire","50-59 years old","Male","White","Battalion Chief-2010","1994-07-18T00:00:00.000",,"21-25 years with the City","151877.35","14145.12","2157.32","168179.79","2019",,
"730","250000","PS - FIRE BUREAU","Fire-Gen Office","Full-time","Fire","50-59 years old","Male","White","Battalion Chief-2010","1994-07-18T00:00:00.000",,"26-30 years with the City","34627.62","18336.79",,"52964.41","2020","24089.46","10538.16"
"730","250000","PS - FIRE BUREAU","Fire-Gen Office","Full-time","Fire","50-59 years old","Male","White","Battalion Chief-2010","1994-07-18T00:00:00.000","2021-04-26T23:59:00.000","26-30 years with the City","36719.93","7365.30",,"44085.23","2021","30719.93","6000.00"
"744","250000","PS - FIRE BUREAU","Fire Engine Co. 7","Full-time","Fire","50-59 years old","Male","White","Fire Lieutenant","1999-03-08T00:00:00.000",,"16-20 years with the City","95294.80","18006.96","1292.76","114594.52","2017",,
"744","250000","PS - FIRE BUREAU","Fire Engine Co. 7","Full-time","Fire","50-59 years old","Male","White","Fire Lieutenant","1999-03-08T00:00:00.000",,"16-20 years with the City","92775.25","18144.60","1292.76","112212.61","2018",,
"744","250000","PS - FIRE BUREAU","Fire Engine Co. 7","Full-time","Fire","50-59 years old","Male","White","Fire Lieutenant","1999-03-08T00:00:00.000",,"16-20 years with the City","100981.78","18074.32","1412.49","120468.59","2019",,
"744","250000","PS - FIRE BUREAU","Fire Engine Co. 7","Full-time","Fire","50-59 years old","Male","White","Fire Lieutenant","1999-03-08T00:00:00.000",,"21-25 years with the City","107918.25","13801.36",,"121719.61","2020","102918.25","5000.00"
"744","250000","PS - FIRE BUREAU","Fire Engine Co. 7","Full-time","Fire","50-59 years old","Male","White","Fire Lieutenant","1999-03-08T00:00:00.000","2021-03-09T23:59:00.000","21-25 years with the City","68758.80","3427.65",,"72186.45","2021","56460.47","12298.33"
"748","600000","MOBILITY AND INFRASTRUCTURE","DOMI Administration","Full-time","AFSCME Local 2719","60-69 years old","Male","White","Inspector 2","2005-03-28T00:00:00.000",,"11-15 years with the City","53918.07","19229.08","3950.72","77097.87","2017",,
"748","600000","MOBILITY AND INFRASTRUCTURE","DOMI Administration","Full-time","AFSCME Local 2719","60-69 years old","Male","White","Inspector 2","2005-03-28T00:00:00.000",,"11-15 years with the City","56341.85","20442.98","3950.72","80735.55","2018",,
"748","600000","MOBILITY AND INFRASTRUCTURE","DOMI Administration","Full-time","AFSCME Local 2037","60-69 years old","Male","White","Asphalt Paving Foreman","1993-05-24T00:00:00.000",,"26-30 years with the City","72641.31","20750.45","5200.57","98592.33","2019",,
"748","600000","MOBILITY AND INFRASTRUCTURE","DOMI Administration","Full-time","Foreman","60-69 years old","Male","White","Asphalt Paving Foreman","1993-05-24T00:00:00.000",,"26-30 years with the City","76150.60","22046.72",,"98197.32","2020","65626.61","10523.99"
"748","600000","MOBILITY AND INFRASTRUCTURE","DOMI Administration","Full-time","Foreman","60-69 years old","Male","White","Asphalt Paving Foreman","1993-05-24T00:00:00.000",,"26-30 years with the City","79835.94","25419.49",,"105255.43","2021","63907.14","15928.80"
"836","230000","PS - POLICE BUREAU","Police Training Academy","Full-time","Police","40-49 years old","Male","White","Police Lieutenant","1995-02-20T00:00:00.000",,"21-25 years with the City","133328.82","15303.72","1917.70","150550.24","2017",,
"836","230000","PS - POLICE BUREAU","Police Training Academy","Full-time","Police","40-49 years old","Male","White","Police Lieutenant","1995-02-20T00:00:00.000",,"21-25 years with the City","138348.11","16341.54","1917.70","156607.35","2018",,
"836","230000","PS - POLICE BUREAU","Police Training Academy","Full-time","Police","40-49 years old","Male","White","Police Lieutenant","1995-02-20T00:00:00.000",,"21-25 years with the City","129729.17","14983.02","1791.69","146503.88","2019",,
