"recordid","year","month","gender","missing","_2","_7","_2_1","_6","_3","_5","_2_2","_4","_1_1_1"
"102010-MISSING","2010","10","MISSING",,,"2","12","9","3","12","1",,
"92010-FEMALE","2010","9","FEMALE","65","1","109","916","873","1046","1004","383","46","6"
"92010-MALE","2010","9","MALE","68",,"136","1237","1223","1286","1098","353","44","6"
"92010-MISSING","2010","9","MISSING","1",,,"6","11","8","3","2",,
"82010-FEMALE","2010","8","FEMALE","44",,"114","884","754","921","900","330","55","5"
"82010-MALE","2010","8","MALE","72","2","165","1275","1281","1338","1064","343","47","5"
"82010-MISSING","2010","8","MISSING",,,,"1","7","4","4","1",,
"72010-FEMALE","2010","7","FEMALE","48","2","130","909","807","889","851","303","43","6"
"72010-MALE","2010","7","MALE","51","1","191","1244","1170","1277","1097","362","45","2"
"72010-MISSING","2010","7","MISSING","1",,"1","10","5","3","6","4",,
"62010-FEMALE","2010","6","FEMALE","50","1","151","926","834","990","956","337","45","10"
"62010-MALE","2010","6","MALE","64",,"178","1242","1231","1225","1051","323","37","4"
"62010-MISSING","2010","6","MISSING",,,"1","6","7","4","7","2",,
"52010-FEMALE","2010","5","FEMALE","56","1","120","899","910","1008","1034","375","50","5"
"52010-MALE","2010","5","MALE","56",,"126","1118","1132","1202","1001","380","56","9"
"52010-MISSING","2010","5","MISSING",,,"1","8","7","4","4","1",,
"42010-FEMALE","2010","4","FEMALE","50",,"81","888","808","1030","955","349","40","11"
"42010-MALE","2010","4","MALE","51",,"114","1001","1053","1163","995","367","29","8"
"42010-MISSING","2010","4","MISSING",,,,"8","6","6","7",,"1",
"32010-FEMALE","2010","3","FEMALE","44","1","95","961","919","1078","1081","366","53","8"
"32010-MALE","2010","3","MALE","50","1","91","1064","1069","1207","1047","423","50","8"
"32010-MISSING","2010","3","MISSING",,,"1","5","13","5","7","2",,
"22010-FEMALE","2010","2","FEMALE","58",,"84","826","903","1102","1070","396","42","6"
"22010-MALE","2010","2","MALE","58","1","80","937","974","1156","1077","378","51","5"
"22010-MISSING","2010","2","MISSING","1",,"1","11","9","12","8","4",,
"12010-FEMALE","2010","1","FEMALE","44",,"72","759","796","1019","1043","326","41","7"
"12010-MALE","2010","1","MALE","44","1","94","868","999","1144","1024","356","36","4"
"12010-MISSING","2010","1","MISSING","2",,,"7","9","9","8","5","1",
"122009-FEMALE","2009","12","FEMALE","40",,"85","828","796","904","982","364","46","7"
"122009-MALE","2009","12","MALE","47",,"82","933","1068","1098","940","349","39","4"
"122009-MISSING","2009","12","MISSING",,,"2","8","10","10","11","4",,
"112009-FEMALE","2009","11","FEMALE","44",,"94","835","792","912","848","351","41","2"
"112009-MALE","2009","11","MALE","54",,"111","959","1056","1107","936","301","37","6"
"112009-MISSING","2009","11","MISSING","1",,,"11","8","2","6","3",,
"102009-FEMALE","2009","10","FEMALE","58",,"102","953","815","1057","976","350","51","8"
"102009-MALE","2009","10","MALE","61",,"131","1082","1149","1213","963","323","55","9"
"102009-MISSING","2009","10","MISSING",,,"4","9","16","7","9","1",,
"92009-FEMALE","2009","9","FEMALE","45","1","102","906","859","1047","998","358","52","9"
"92009-MALE","2009","9","MALE","47",,"123","1102","1237","1264","1035","325","43","5"
"92009-MISSING","2009","9","MISSING","1",,,"8","4","9","7","3",,
"82009-FEMALE","2009","8","FEMALE","34",,"138","935","767","974","923","364","28","7"
"82009-MALE","2009","8","MALE","53","2","165","1152","1207","1248","983","368","37","3"
"82009-MISSING","2009","8","MISSING",,,"3","9","6","19","5","2",,
"72009-FEMALE","2009","7","FEMALE","40","1","144","927","752","877","797","304","37","4"
"72009-MALE","2009","7","MALE","60","1","166","1196","1131","1192","984","324","33","6"
"72009-MISSING","2009","7","MISSING",,,,"6","8","7","5","2",,
"62009-FEMALE","2009","6","FEMALE","50","1","117","911","840","966","922","338","48","7"
"62009-MALE","2009","6","MALE","69","1","172","1138","1144","1160","998","354","34","10"
"62009-MISSING","2009","6","MISSING",,,"2","6","6","2","7","2","1",
"52009-FEMALE","2009","5","FEMALE","39",,"93","787","792","925","833","326","45","6"
"52009-MALE","2009","5","MALE","44","1","117","1018","1082","1126","870","282","25","4"
"52009-MISSING","2009","5","MISSING","1",,"1",,"5","7","1",,,
"42009-FEMALE","2009","4","FEMALE","51",,"123","858","804","934","916","318","48","5"
"42009-MALE","2009","4","MALE","55","1","130","1067","1062","1072","929","331","30","5"
"42009-MISSING","2009","4","MISSING",,,"1","9","9","5","4","1",,
"32009-FEMALE","2009","3","FEMALE","48","1","86","867","889","995","1001","359","44","5"
"32009-MALE","2009","3","MALE","69","2","119","1074","1167","1223","1073","368","46","7"
"32009-MISSING","2009","3","MISSING",,,"2","2","10","8","5",,"1",
"22009-FEMALE","2009","2","FEMALE","42",,"98","797","743","959","952","354","44","6"
"22009-MALE","2009","2","MALE","51",,"102","999","1099","1159","1025","350","48","4"
"22009-MISSING","2009","2","MISSING","1",,,"5","7","4","7","3",,
"12009-FEMALE","2009","1","FEMALE","38",,"109","812","845","1017","952","356","53","3"
"12009-MALE","2009","1","MALE","53","1","125","990","1161","1242","972","348","37","4"
"12009-MISSING","2009","1","MISSING",,,,"3","3","6","5",,"1",
"122008-FEMALE","2008","12","FEMALE","43","3","128","911","951","1025","986","355","53","4"
"122008-MALE","2008","12","MALE","42",,"129","1043","1124","1184","945","303","49","3"
"122008-MISSING","2008","12","MISSING","1",,,"6","4","4","5","1",,
"112008-FEMALE","2008","11","FEMALE","38","1","104","707","633","860","771","285","42","6"
"112008-MALE","2008","11","MALE","51",,"133","1005","1002","1057","841","271","35","7"
"112008-MISSING","2008","11","MISSING",,,,"5","4","6","4","2",,"1"
"102008-FEMALE","2008","10","FEMALE","44",,"149","1066","988","1128","1103","370","50","2"
