"the_geom","address","suffix","street","onstr","fromstr","tostr","side","site","spp","dbh","wires","pittype","ward"
"POINT (-71.39604950240347 41.82757289298485)","149","Y","WATERMAN ST","WATERMAN ST","HOPE ST","COOKE ST","Front","4","Zelkova serrata","9.0","No","Sidewalk Pit","1.0"
"POINT (-71.45103637904401 41.843244200138756)","97",,"HILARY DR","CATHEDRAL AVE","CATHEDRAL AVE","SMITH ST","Front","1","Acer rubrum","13.0","No","Lawn - No Sidewalk","5.0"
"POINT (-71.39584195144943 41.84756192305662)","756",,"HOPE ST","HOPE ST","GLENDALE AVE","BURLINGTON ST","Front","1","Zelkova serrata","3.8","Yes","Sidewalk Pit","3.0"
"POINT (-71.39435980308588 41.84848228659565)","807",,"HOPE ST","LAURISTON ST","LORIMER AVE","HOPE ST","Side","3","Gleditsia triacanthos","1.0","No","Sidewalk Pit","3.0"
"POINT (-71.42910111534393 41.84631890581808)","389",,"ADMIRAL ST","ADMIRAL ST","LONGMONT ST","TAPPAN ST","Front","2","Platanus x acerifolia","13.0","Yes","Sidewalk Pit","4.0"
"POINT (-71.40416730035017 41.84576543622757)","18",,"STEELE ST","WOODBINE ST","LANCASTER ST","WOODBINE ST","Side","4","Gleditsia triacanthos","1.0","No","Sidewalk Pit","3.0"
"POINT (-71.40307489502504 41.83733238974491)","35",,"CAMP ST","HOWELL ST","HOPE ST","CARRINGTON AVE","Side","2","Fraxinus spp.","17.0","No","Lawn Strip","3.0"
"POINT (-71.44281357365759 41.84628643706761)","375",,"SHARON ST","SHARON ST","APRIL CT","ADMIRAL ST","Front","1","Acer platanoides","17.4","Yes","Lawn Strip","14.0"
"POINT (-71.40144485819457 41.78646002865886)","1517",,"BROAD ST","MASSACHUSETTS AVE","BROAD ST","VIRGINIA AVE","Side","2","Gleditsia triacanthos","12.0","No","Sidewalk Pit","10.0"
"POINT (-71.38139666701791 41.83222093328175)","60",,"ORIOLE AVE","ORIOLE AVE","PARKSIDE RD","PATERSON ST","Front","2","Acer platanoides","20.3","No","Lawn Strip","2.0"
"POINT (-71.39785874478164 41.84124808614783)","49",,"BELAIR AVE","BELAIR AVE","CYPRESS ST","LARCH ST","Front","1","Pyrus calleryana","1.0","Yes","Lawn Strip","3.0"
"POINT (-71.46145844515769 41.817707545295676)","169",,"PETTEYS AVE","PETTEYS AVE","NYE ST","HARTFORD AVE","Front","1","Fraxinus pennsylvanica","17.0","Yes","Sidewalk Pit","7.0"
"POINT (-71.39515262373273 41.85155387782443)","19",,"OVERHILL RD","BAYARD ST","OVERHILL RD","6TH ST","Side","1","Amelanchier canadensis","9.0","Yes","Lawn - No Sidewalk","3.0"
"POINT (-71.39192301619525 41.84520097223953)","87",,"WOODBURY ST","ELMGROVE AVE","WOODBURY ST","VASSAR AVE","Side","1","Acer tataricum","2.0","Yes","Lawn Strip","3.0"
"POINT (-71.4482406883185 41.82067744885172)","1",,"CURTIS ST","PELHAM ST","PELHAM ST","PELHAM ST","Side","1","Ulmus americana","10.0","No","Sidewalk Pit","15.0"
"POINT (-71.4110283910068 41.829302022765816)","1",,"CANAL ST","CANAL ST","SMITH ST","PARK ROW WEST","Front","10","Platanus x acerifolia","12.0","No","Sidewalk Pit","12.0"
"POINT (-71.43271874475484 41.812704431145455)","29",,"WOOD ST","WOOD ST","PARADE ST","MESSER ST","Front","1","Acer rubrum","9.5","No","Sidewalk Pit","13.0"
"POINT (-71.39223421892348 41.82020481175894)","505",,"WICKENDEN ST","WICKENDEN ST","GOVERNOR ST","IVES ST","Front","8","Fraxinus pennsylvanica","8.3","Yes","Sidewalk Pit","1.0"
"POINT (-71.3923333270672 41.854336013063445)","1001",,"HOPE ST","HOPE ST","NORTH AVE","BLACKSTONE BLVD","Front","4","Zelkova serrata","32.0","No","Lawn Strip","3.0"
"POINT (-71.38881912099983 41.85090508663774)","750",,"ELMGROVE AVE","ELMGROVE AVE","BLACKSTONE BLVD","WESTFORD RD","Front","3","Pyrus calleryana","7.7","No","Lawn Strip","3.0"
"POINT (-71.45237598406811 41.831437000036594)","222",,"LYNCH ST","LYNCH ST","CHALKSTONE AVE","BEAUFORT ST","Front","3","Picea spp.","1.0","Yes","Lawn Strip","5.0"
"POINT (-71.39771631042214 41.844767380588856)","37",,"HART ST","HART ST","FIRGLADE AVE","HOPE ST","Front","1","Zelkova serrata","15.0","No","Lawn Strip","3.0"
"POINT (-71.40996686702437 41.79032529020403)","74",,"MILLER AVE","MILLER AVE","VERNDALE AVE","BROAD ST","Front","1","Platanus x acerifolia","17.0","Yes","Lawn Strip","9.0"
"POINT (-71.39979462910155 41.82241594864279)","101",,"POWER ST","WILLIAMS ST","BROOK ST","THAYER ST","Side","9","Acer platanoides","5.25","Yes","Sidewalk Pit","1.0"
"POINT (-71.4172900079482 41.82211387581631)","217",,"WASHINGTON ST","FOUNTAIN ST","EMPIRE ST","GREENE ST","Rear","1","Ginkgo biloba","9.0","No","Sidewalk Pit","1.0"
"POINT (-71.42442669558115 41.821841176970764)","37",,"KENYON ST","KENYON ST","DEAN ST","DE PASQUALE AVE","Front","1","Amelanchier canadensis","2.9","Yes","Sidewalk Pit","13.0"
"POINT (-71.3949163614208 41.84596674384076)","5",,"WOODBURY ST","WOODBURY ST","MORRIS AVE","ELMGROVE AVE","Front","1","Cornus florida","1.0","Yes","Lawn Strip","3.0"
"POINT (-71.42276131671458 41.80535456870513)","80",,"PRINCETON AVE","PRINCETON AVE","ELMWOOD AVE","UPDIKE ST","Front","1","Acer platanoides","14.0","Yes","Lawn Strip","11.0"
"POINT (-71.42212737190839 41.796732422396126)","182",,"ADELAIDE AVE","ADELAIDE AVE","ELMWOOD AVE","MELROSE ST","Front","3","Zelkova serrata","14.0","No","Lawn Strip","9.0"
"POINT (-71.4079359199945 41.84022796028322)","17",,"JENKINS ST","JENKINS ST","N MAIN ST","PADELFORD ST","Front","2","Malus spp","1.0","Yes","Sidewalk Pit","3.0"
"POINT (-71.39024849287233 41.83480901554239)","22",,"HOBART AVE","HOBART AVE","PRESIDENT AVE","LLOYD AVE","Front","3","Acer ginnala","1.0","No","Lawn Strip","2.0"
"POINT (-71.39371819513086 41.83833055608662)","100",,"HAZARD AVE","HAZARD AVE","ELMGROVE AVE","TABER AVE","Front","2","Acer saccharum","39.0","No","Lawn Strip","3.0"
"POINT (-71.40212931461248 41.83213421034379)","89",,"KEENE ST","KEENE ST","BROWN ST","THAYER ST","Front","1","Gleditsia triacanthos","13.3","Yes","Sidewalk Pit","2.0"
"POINT (-71.41698138627329 41.821362560324104)","234",,"WASHINGTON ST","WASHINGTON ST","GREENE ST","WALNUT ST","Front","2","Tilia cordata","3.0","No","Sidewalk Pit","1.0"
"POINT (-71.3815541375146 41.837136036234405)","310",,"PRESIDENT AVE","PRESIDENT AVE","LORING AVE","GROTTO AVE","Front","1","Acer saccharum","10.0","No","Lawn Strip","2.0"
"POINT (-71.39150301961233 41.84862898721673)","274",,"4TH ST","HOLLY ST","5TH ST","4TH ST","Side","1","Tilia cordata","4.6","No","Lawn Strip","3.0"
"POINT (-71.44695294528667 41.8099625799009)","38",,"PRISCILLA AVE","PRISCILLA AVE","WALLACE ST","CLARENCE ST","Front","1","Prunus virginiana 'Schubert'","3.0","Yes","Sidewalk Pit","15.0"
"POINT (-71.44334752561882 41.84120504573532)","214",,"JASTRAM ST","JASTRAM ST","WABUN AVE","SMITH ST","Front","1","Ulmus spp.","12.0","No","Lawn Strip","5.0"
"POINT (-71.43819782722103 41.85204813369167)","874",,"RIVER AVE","HYMER ST","SUNBURY ST","HYMER ST","Side","1","Fraxinus pennsylvanica","17.0","No","Lawn - No Sidewalk","14.0"
"POINT (-71.39872040439046 41.81884495202833)","88",,"ALVES ST","ALVES ST","BROOK ST","TRAVERSE ST","Front","1","Tilia cordata","35.0","No","Sidewalk Pit","1.0"
"POINT (-71.45552450885566 41.8103288876493)","25",,"LOWELL AVE","LOWELL AVE","POCASSET AVE","DORCHESTER AVE","Front","1","Acer rubrum","9.0","No","Sidewalk Pit","7.0"
"POINT (-71.41876119959353 41.83179923460621)","35",,"JEWETT ST","JEWETT ST","HOLDEN ST","CALVERLEY ST","Front","1","Acer platanoides","10.0","Yes","Sidewalk Pit","12.0"
"POINT (-71.41823414552151 41.85248916806205)","57",,"MARIETTA ST","MARIETTA ST","CHARLES ST","HALL ST","Front","2","Styphnolobium japonicum","6.5","No","Sidewalk Pit","4.0"
"POINT (-71.42019935063337 41.780467143573745)","1149",,"ELMWOOD AVE","ELMWOOD AVE","HAMLIN ST","DIXON ST","Front","1","Gleditsia triacanthos","4.6","Yes","Sidewalk Pit","8.0"
"POINT (-71.41754089036834 41.813473448178684)","380",,"FRIENDSHIP ST","FRIENDSHIP ST","PEARL ST","LOCKWOOD ST","Front","1","Tilia spp.","11.0","No","Sidewalk Pit","11.0"
"POINT (-71.40468910401057 41.82624223569862)","20",,"PROSPECT ST","PROSPECT ST","WATERMAN ST","COLLEGE ST","Front","4","Ulmus spp.","3.0","No","Sidewalk Pit","2.0"
"POINT (-71.40983196767539 41.83633601883734)","520",,"N MAIN ST","N MAIN ST","HEWES ST","OLNEY ST","Median","6","Liquidambar syraciflua","12.0","No","Unassigned","3.0"
"POINT (-71.39566851183677 41.83958611601739)","52",,"EMELINE ST","EMELINE ST","STADIUM RD","MORRIS AVE","Front","1","Prunus virginiana 'Schubert'","12.0","No","Lawn Strip","3.0"
"POINT (-71.44123481210876 41.839286935243024)","226",,"RANKIN AVE","RANKIN AVE","WABUN AVE","WHITFORD AVE","Front","1","Liquidambar syraciflua","25.0","No","Lawn Strip","5.0"
"POINT (-71.44869834023439 41.84509022603283)","25",,"RAVENSWOOD AVE","RAVENSWOOD AVE","MODENA AVE","ARDMORE AVE","Front","2","Fraxinus pennsylvanica","18.0","No","Lawn Strip","5.0"
"POINT (-71.40501353729043 41.82144751156587)","311",,"S MAIN ST","S MAIN ST","WILLIAMS ST","POWER ST","Rear","1","Fraxinus pennsylvanica","8.0","No","Sidewalk Pit","1.0"
"POINT (-71.38992928586835 41.83540780943018)","99",,"PRESIDENT AVE","PRESIDENT AVE","HOBART AVE","WAYLAND AVE","Front","3","Prunus serrulata 'Kwanzan'","29.9","Yes","Lawn Strip","2.0"
"POINT (-71.39802178079961 41.847881760666986)","32","No","SUMMIT AVE","SUMMIT AVE","DEXTERDALE RD","COLONIAL RD","Front","1","Platanus x acerifolia","36.0","Yes","Lawn Strip","3.0"
"POINT (-71.41931366829105 41.802207160146104)","13","N","LAURA ST","LAURA ST","BROAD ST","NIAGARA ST","Front","1","Acer platanoides","11.0","None","Lawn Strip","9.0"
"POINT (-71.42343620039276 41.83429372754211)","350",,"SMITH ST","SMITH ST","ESTEN ST","ORMS ST","Front","1","Pyrus calleryana","0.8","Yes","Sidewalk Pit","12.0"
"POINT (-71.41903767991896 41.833112676613744)","71",,"COMMON ST","WASHBURN ST","COMMON ST","ORMS ST","Side","2","Pyrus calleryana","10.0","Yes","Sidewalk Pit","12.0"
"POINT (-71.39339118889897 41.82157118687119)","8",,"E TRANSIT ST","E TRANSIT ST","IVES ST","GOVERNOR ST","Front","1","Prunus cerasifera","6.0","No","Sidewalk Pit","1.0"
"POINT (-71.42350133347405 41.79780821129685)","178",,"LEXINGTON AVE","LEXINGTON AVE","ELMWOOD AVE","MELROSE ST","Front","1","Acer platanoides","18.0","No","Lawn Strip","9.0"
"POINT (-71.4367557207768 41.83496513997364)","1",,"VIEW ST","WINROOTH AVE","PLEASANT VALLEY PKWY","VIEW ST","Side","1","Styphnolobium japonicum","8.0","No","Lawn Strip","12.0"
"POINT (-71.44905540930795 41.81371723034037)","1",,"POCASSET AVE","PLAINFIELD ST","PLAINFIELD ST","BANCROFT ST","Side","3","Gleditsia triacanthos","20.0","Yes","Sidewalk Pit","15.0"
"POINT (-71.38624831845831 41.8330680836829)","112",,"ELTON ST","ELTON ST","BLACKSTONE BLVD","HUMBOLDT AVE","Front","1","Syringa reticulata","2.0","Yes","Lawn Strip","2.0"
"POINT (-71.42413483633874 41.80919430414063)","53",,"PARKIS AVE","PARKIS AVE","BROAD ST","ELMWOOD AVE","Front","1","Celtis occidentalis","4.5","No","Sidewalk Pit","11.0"
"POINT (-71.43043953764096 41.83879420671067)","82",,"PEMBROKE AVE","PEMBROKE AVE","CHAD BROWN ST","SMITH ST","Front","1","Pyrus calleryana","6.0","No","Lawn Strip","12.0"
"POINT (-71.43021222042933 41.81059881709464)","10",,"HOLLIS ST","HOLLIS ST","CRANSTON ST","DIAMOND ST","Front","1","Pyrus calleryana","2.5","No","Sidewalk Pit","11.0"
"POINT (-71.42692986713845 41.78972345558529)","55",,"DELMAR ST","DELMAR ST","RESERVOIR AVE","LOUIS AVE","Front","1","Acer platanoides","14.0","Yes","Lawn Strip","8.0"
"POINT (-71.38363882485362 41.83673084370841)","260",,"PRESIDENT AVE","PRESIDENT AVE","BLACKSTONE BLVD","GROTTO AVE","Front","1","Platanus x acerifolia","12.0","No","Lawn Strip","2.0"
