"plate_no","year_make","vin_number","days_registered","original_value","tax_exemption_on_original_value","adjusted_net_value","original_tax","value_less_5","new_2017_tax","savings"
"58499","07 CHEV","1GCFG15X571220563","91","2038.95","497.00","1541.95","92.52","1937.00","86.40","6.12"
"101325","09 CHEV","1GCFG15X791122735","366","9950.53","2000.00","7950.53","477.03","9453.00","447.20","29.83"
"49836","06 CHEV","1GCFG15X961261356","366","7125.26","2000.00","5125.26","307.52","6769.00","286.16","21.36"
"86366","06 CHEV","1GCFG15XX61238622","366","7125.26","2000.00","5125.26","307.52","6769.00","286.16","21.36"
"33386","07 CHEV","1GCFG15XX71220753","91","2038.95","497.00","1541.95","92.52","1937.00","86.40","6.12"
"62372","99 CHEV","1GCFG25M2X1074098","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"46392","05 CHEV","1GCGG25V151238581","366","6600.00","2000.00","4600.00","276.00","6270.00","256.20","19.80"
"40089","07 CHEV","1GCGG25V371166415","366","8374.74","2000.00","6374.74","382.48","7956.00","357.36","25.12"
"40148","07 CHEV","1GCGG25V671166313","366","8374.74","2000.00","6374.74","382.48","7956.00","357.36","25.12"
"470516","05 NISS","JN8AZ08W05W436262","366","7300.00","2000.00","5300.00","318.00","6935.00","296.12","21.88"
"23918","13 RAM","3C6UR5DL4DG584601","366","26025.26","2000.00","24025.26","1441.52","24724.00","1363.44","78.08"
"105704","06 FORD","1FTPX14536NA27047","366","12025.26","2000.00","10025.26","601.52","11424.00","565.44","36.08"
"439881","05 CHRY","2C8GF68405R276293","366","5750.53","2000.00","3750.53","225.03","5463.00","207.80","17.23"
"488808","07 AUDI","WAUDF78E27A066690","6","127.37","33.00","94.37","5.66","121.00","10.00",
"492528","05 TOYT","JTDKB20U557036685","321","4561.05","1754.00","2807.05","168.42","4333.00","154.76","13.66"
"547877","13 CHRY","1C3CCBBB8DN500841","282","7840.00","1541.00","6299.00","377.94","7448.00","354.44","23.50"
"437256","07 BMW","5UXFE43507L012859","274","10331.58","1497.00","8834.58","530.07","9815.00","499.08","30.99"
"467762","06 TOYT","4T1BK36B76U100803","121","2834.74","661.00","2173.74","130.42","2693.00","121.92","8.50"
"460558","08 BMW","WBANW53548CT54555","121","4083.16","661.00","3422.16","205.33","3879.00","193.08","12.25"
"978303","04 TOYT","4T1BE32K84U293876","366","5125.26","2000.00","3125.26","187.52","4869.00","172.16","15.36"
"31354","09 HD","1HD4CR2109K449861","26","276.84","142.00","134.84","8.09","263.00","7.28","0.81"
"YC 953","11 MERZ","WDDGF8BB4BR147162","22","835.79","120.00","715.79","42.95","794.00","40.44","2.51"
"496411","02 NISS","JN1DA31DX2T444170","366","3600.00","2000.00","1600.00","96.00","3420.00","85.20","10.80"
"65063","13 HMT","ROSA11041976","366","466.32","443.00","23.32","1.40","443.00",,"1.40"
"99591","00 HOND","1HGEM1152YL107752","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"645687","09 HYUN","5NPET46C69H520466","366","5725.26","2000.00","3725.26","223.52","5439.00","206.36","17.16"
"479354","96 HOND","2HGEJ6675TH541895","305","438.95","417.00","21.95","1.32","417.00",,"1.32"
"777734","12 KIA","KNDJT2A57C7429925","335","7322.11","1831.00","5491.11","329.47","6956.00","307.52","21.95"
"498878","03 PONT","1GMDX13E93D251859","81","852.63","443.00","409.63","24.58","810.00","22.04","2.54"
"486729","14 HOND","5FNRL5H67EB015494","217","15608.42","1186.00","14422.42","865.35","14828.00","818.52","46.83"
"540827","02 HOND","1HGCG66822A066024","366","4425.26","2000.00","2425.26","145.52","4204.00","132.24","13.28"
"830014","98 HOND","1HGCG6670WA012654","39","55.79","53.00","2.79","0.17","53.00",,"0.17"
"917938","04 HOND","1HGCM56314A010506","39","586.32","213.00","373.32","22.40","557.00","20.64","1.76"
"AU 628","03 NISS","JN8DR09Y83W817657","62","838.95","339.00","499.95","30.00","797.00","27.48","2.52"
"470935","00 HOND","1HGEJ8241YL069325","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"454894","01 BMW","WBADT43451GF58997","59","85.26","81.00","4.26","0.26","81.00",,"0.26"
"417793","99 CHRY","3C3EL55H3XT604622","305","438.95","417.00","21.95","1.32","417.00",,"1.32"
"552288","03 MITS","4A3AE75HX3E023674","15","172.63","82.00","90.63","5.44","164.00","4.92","0.52"
"TY 182","99 OLDS","1G3WS52KXXF328081","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"938944","98 MERZ","WDBJF65F6WA607024","180","258.95","246.00","12.95","0.78","246.00",,"0.78"
"4167","11 HYUN","5NPDH4AE9BH033368","366","8150.53","2000.00","6150.53","369.03","7743.00","344.60","24.43"
"927731","96 HOND","1HGCD5637TA061507","39","55.79","53.00","2.79","0.17","53.00",,"0.17"
"UG 227","02 LEXS","JTHBF30G920057787","366","6000.00","2000.00","4000.00","240.00","5700.00","222.00","18.00"
"470168","96 HOND","1HGCD5535TA151174","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"VT 922","98 CHEV","2G1WL52M6W1126688","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"YN  16","01 NISS","1N4DL01D21C180923","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"477198","98 NISS","1N4DL01D6WC233386","103","148.42","141.00","7.42","0.45","141.00",,"0.45"
"NJ 243","08 CHEV","1GNDT13SX82225352","366","8225.26","2000.00","6225.26","373.52","7814.00","348.84","24.68"
"999580","01 FORD","1FAFP53U61G134849","31","44.21","42.00","2.21","0.13","42.00",,"0.13"
"436126","06 MAZD","4F2CZ96116KM09127","366","5500.00","2000.00","3500.00","210.00","5225.00","193.52","16.48"
"481131","10 FORD","1FMCU9C78AKB20807","159","3801.05","869.00","2932.05","175.92","3611.00","164.52","11.40"
"459559","05 NISS","1N4AL11D35C202054","366","4200.00","2000.00","2200.00","132.00","3990.00","119.40","12.60"
"556789","07 TOYT","4T1BE46KX7U568894","250","5021.05","1366.00","3655.05","219.30","4770.00","204.24","15.06"
"532538","04 BMW","WBAEW53404PG10669","366","6325.26","2000.00","4325.26","259.52","6009.00","240.56","18.96"
"431107","10 AUDI","WAU4GBFB4AN069745","152","7569.47","831.00","6738.47","404.31","7191.00","381.60","22.71"
"492921","97 TOYO","2T1BA02E1VC180794","305","438.95","417.00","21.95","1.32","417.00",,"1.32"
"AI 182","99 HOND","1HGCG1655XA015021","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"482263","04 HOND","1HGCM72714A009702","366","5750.53","2000.00","3750.53","225.03","5463.00","207.80","17.23"
"474745","98 HOND","2HGEJ6676WH514838","50","71.58","68.00","3.58","0.21","68.00",,"0.21"
"417004","08 VOLV","YV4BZ982281038941","366","11050.53","2000.00","9050.53","543.03","10498.00","509.88","33.15"
"438134","11 TOYO","4T1BK3EK1BU619132","366","10625.26","2000.00","8625.26","517.52","10094.00","485.64","31.88"
"423062","03 NISS","JN8AZ08W53W231100","366","5950.53","2000.00","3950.53","237.03","5653.00","219.20","17.83"
"471641","09 DODG","1B3HB48A99D147877","121","1817.89","661.00","1156.89","69.41","1727.00","63.96","5.45"
"OF 903","04 TOYT","JTEEP21A740044678","366","8600.00","2000.00","6600.00","396.00","8170.00","370.20","25.80"
"488340","08 HOND","5FNYF187X8B033366","366","12700.00","2000.00","10700.00","642.00","12065.00","603.92","38.08"
"562505","11 NISS","3N1AB6AP5BL637312","366","7074.74","2000.00","5074.74","304.48","6721.00","283.28","21.20"
"426004","07 KIA","KNDJF724877334676","366","5400.00","2000.00","3400.00","204.00","5130.00","187.80","16.20"
"434041","10 TOYO","2T3BF4DV8AW059167","366","11300.00","2000.00","9300.00","558.00","10735.00","524.12","33.88"
"651653","07 HOND","2HKYF18177H536610","366","9974.74","2000.00","7974.74","478.48","9476.00","448.56","29.92"
"494071","00 MAZD","JM1BJ2215Y0200701","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"29729","13 TRIU","SMT905RN7DT572952","366","4870.53","2000.00","2870.53","172.23","4627.00","157.64","14.59"
"LF 719","13 SUBA","JF2GPACC9D2867267","366","16800.00","2000.00","14800.00","888.00","15960.00","837.60","50.40"
"448311","13 SUBA","4S4BRBKC8D3299271","366","19574.74","2000.00","17574.74","1054.48","18596.00","995.76","58.72"
"TK 878","13 TOYT","4T3BK3BB4DU086739","366","21100.00","2000.00","19100.00","1146.00","20045.00","1082.72","63.28"
"LG 592","13 SUBA","JF1GPAL67D2839174","366","15025.26","2000.00","13025.26","781.52","14274.00","736.44","45.08"
"455959","03 SUBA","4S3BH675637626251","366","4400.00","2000.00","2400.00","144.00","4180.00","130.80","13.20"
"440431","00 JEEP","1J4GW58S9YC263320","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"474088","13 HOND","1HGCR2F82DA253253","366","16950.53","2000.00","14950.53","897.03","16103.00","846.20","50.83"
"485097","06 HOND","SHSRD78986U435150","366","8550.53","2000.00","6550.53","393.03","8123.00","367.40","25.63"
"430733","10 NISS","JN8AS5MV2AW140443","366","9174.74","2000.00","7174.74","430.48","8716.00","402.96","27.52"
"652040","99 MERC","4M2XV11T9XDJ50118","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"ZN 276","99 TOYT","JT2BF28KXX0186268","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"887306","13 VOLK","3VWML7AJ3DM640633","366","13500.00","2000.00","11500.00","690.00","12825.00","649.52","40.48"
"497629","02 HOND","2HGES16562H501886","366","3725.26","2000.00","1725.26","103.52","3539.00","92.36","11.16"
"1839","65 FORD","5H15C181813","101","145.26","138.00","7.26","0.44","138.00",,"0.44"
"656199","03 NISS","JN8AZ08W43W208343","305","4958.95","1667.00","3291.95","197.52","4711.00","182.64","14.88"
"91829","11 TOYO","3TMMU4FN8BM033294","366","22725.26","2000.00","20725.26","1243.52","21589.00","1175.36","68.16"
"XC 440","14 SUBA","JF2SJAPC0EH454416","366","22674.74","2000.00","20674.74","1240.48","21541.00","1172.48","68.00"
"481611","01 TOYO","2T1CF28P81C437972","152","218.95","208.00","10.95","0.66","208.00",,"0.66"
"489909","02 BMW","5UXFB33512LH35165","305","5145.26","1667.00","3478.26","208.70","4888.00","193.28","15.42"
"XC 334","13 TOYT","4T1BF1FK9DU670551","366","12600.00","2000.00","10600.00","636.00","11970.00","598.20","37.80"
"437105","05 INFI","JNKCV51F75M300471","305","5792.63","1667.00","4125.63","247.54","5503.00","230.16","17.38"
"481147","01 NISS","1N4DL01D01C238687","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"586953","07 NISS","1N4AL21E37C159479","366","6174.74","2000.00","4174.74","250.48","5866.00","231.96","18.52"
"999482","04 HOND","2HKYF18494H556962","366","7150.53","2000.00","5150.53","309.03","6793.00","287.60","21.43"
"250","16 MERZ","4JGED6EB1GA011094","366","73150.53","2000.00","71150.53","4269.03","69493.00","4049.60","219.43"
"18006","97 BGT","4K8L0812V1A16429","366","466.32","443.00","23.32","1.40","443.00",,"1.40"
"37310","00 BIGTE","4K8NX1622Y1D58090","366","466.32","443.00","23.32","1.40","443.00",,"1.40"
"SHF 35","15 IC","4KAAMAAM6FB679326","366","29643.16","28161.00","1482.16","88.93","28161.00",,"88.93"
"45397","03 ISU","4KLB4B1R33J800277","366","4125.26","2000.00","2125.26","127.52","3919.00","115.16","12.36"
"HA 206","03 MERC","4M2DU86K73ZJ41817","161","1913.68","880.00","1033.68","62.02","1818.00","56.28","5.74"
"OV 339","00 HOND","JHLRD1873YC044106","304","436.84","415.00","21.84","1.31","415.00",,"1.31"
"JW 662","03 NISS","JN1DA31D23T511877","243","2572.63","1328.00","1244.63","74.68","2444.00","66.96","7.72"
"DS 497","08 TOYT","4T1BB46K78U043477","78","1646.32","426.00","1220.32","73.22","1564.00","68.28","4.94"
"DS 497","13 TOYT","4T1BK1EB2DU008212","169","9315.79","923.00","8392.79","503.57","8850.00","475.64","27.93"
"DS 497","14 TOYT","5TDJKRFHXES056130","121","9810.53","661.00","9149.53","548.97","9320.00","519.56","29.41"
"IN 730","99 MERC","1MEFM53SXXG648924","305","438.95","417.00","21.95","1.32","417.00",,"1.32"
"JP 881","04 MERC","2MEFM74W84X683559","256","2377.89","1399.00","978.89","58.73","2259.00","51.60","7.13"
"IR 534","13 HYUN","5NPEB4AC6DH654803","296","9301.05","1617.00","7684.05","461.04","8836.00","433.16","27.88"
"MR 915","03 JEEP","1J4GL48K43W580657","143","1622.11","781.00","841.11","50.47","1541.00","45.60","4.87"
"734097","04 ACUR","JH4DC53004S000218","93","1753.68","508.00","1245.68","74.74","1666.00","69.48","5.26"
"OF 412","99 DODG","1B3EJ46X0XN653862","176","252.63","240.00","12.63","0.76","240.00",,"0.76"
"HW 941","09 TOYT","JTMBK32V895082430","342","10863.16","1869.00","8994.16","539.65","10320.00","507.08","32.57"
"353986","10 TOYT","JTDKN3DU6A0165156","16","411.58","87.00","324.58","19.47","391.00","18.24","1.23"
"500196","00 SUBA","4S3BH6861Y7617231","256","368.42","350.00","18.42","1.11","350.00",,"1.11"
"NQ 673","01 FORD","1FAFP55U31A101193","13","18.95","18.00","0.95","0.06","18.00",,"0.06"
"LQ 615","01 BMW","WBADT63431CF00695","131","188.42","179.00","9.42","0.57","179.00",,"0.57"
"LW 872","04 HOND","1HGCM56324A096800","125","1877.89","683.00","1194.89","71.69","1784.00","66.08","5.61"
"IB 693","13 NISS","5N1AR2MM3DC685629","282","13907.37","1541.00","12366.37","741.98","13212.00","700.28","41.70"
"5434","13 CHRY","2C4RC1BGXDR775013","366","16874.74","2000.00","14874.74","892.48","16031.00","841.88","50.60"
"6059","13 DODG","2C4RDGBG6DR736046","212","7790.53","1158.00","6632.53","397.95","7401.00","374.60","23.35"
"ND 810","07 TOYT","4T1BE46K47U049243","65","1305.26","355.00","950.26","57.02","1240.00","53.12","3.90"
"455889","08 PONT","1G2ZH17NX84111834","271","4609.47","1481.00","3128.47","187.71","4379.00","173.88","13.83"
"MM 375","03 TOYT","4T1BF28B03U298227","79","1144.21","432.00","712.21","42.73","1087.00","39.32","3.41"
"550937","04 TOYT","4T1BF32K44U077150","208","3125.26","1137.00","1988.26","119.30","2969.00","109.92","9.38"
"311945","04 HOND","2HKYF186X4H549908","220","4552.63","1202.00","3350.63","201.04","4325.00","187.40","13.64"
"309037","08 ACUR","2HNYD28388H534124","185","7784.21","1011.00","6773.21","406.39","7395.00","383.04","23.35"
"MC 537","05 TOYT","4T1BE32K95U965381","114","1775.79","623.00","1152.79","69.17","1687.00","63.84","5.33"
"540838","01 HOND","1HGCG22561A024085","134","192.63","183.00","9.63","0.58","183.00",,"0.58"
"958277","13 HOND","1HGCR2F56DA224666","62","2583.16","339.00","2244.16","134.65","2454.00","126.92","7.73"
"920376","13 HOND","2HGFB2F51DH566870","291","9064.21","1590.00","7474.21","448.45","8611.00","421.28","27.17"
"108956","04 FORD","1FMZU77K94UA57691","222","5383.16","1213.00","4170.16","250.21","5114.00","234.08","16.13"
"313141","13 HOND","2HGFB2F56DH597726","172","5357.89","940.00","4417.89","265.07","5090.00","249.00","16.07"
"879026","05 DODG","1B3EL46T35N609715","366","3250.53","2000.00","1250.53","75.03","3088.00","65.28","9.75"
"NB 378","04 FORD","1FAFP58U64A121793","52","507.37","284.00","223.37","13.40","482.00","11.88","1.52"
"IQ 962","01 VOLK","3VWSK69MX1M101571","83","118.95","113.00","5.95","0.36","113.00",,"0.36"
"522034","99 TOYT","4T1BG22K0XU442886","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"SQ 121","10 HOND","5J6RE4H7XAL046348","366","13074.74","2000.00","11074.74","664.48","12421.00","625.28","39.20"
"483703","07 NISS","1N4BL21E47C112272","366","6974.74","2000.00","4974.74","298.48","6626.00","277.56","20.92"
"850774","06 HOND","2HGFG12806H537794","366","5974.74","2000.00","3974.74","238.48","5676.00","220.56","17.92"
"OU 219","03 CHEV","1GNET16S336236923","366","5050.53","2000.00","3050.53","183.03","4798.00","167.88","15.15"
"440169","06 TOYT","4T1BE32K66U682681","108","1851.58","590.00","1261.58","75.69","1759.00","70.16","5.53"
"449281","03 LEXU","JTHBF30G830117124","152","2668.42","831.00","1837.42","110.25","2535.00","102.24","8.01"
"UE 976","12 NISS","1N4AL2AP1CC169634","366","9874.74","2000.00","7874.74","472.48","9381.00","442.88","29.60"
"468581","02 SATU","1G8ZP12812Z179332","244","1583.16","1333.00","250.16","15.01","1504.00","10.28","4.73"
"65069","08 LORI","5A4YKHL1482004684","121","153.68","146.00","7.68","0.46","146.00",,"0.46"
"684497","05 HOND","5FNRL387X5B001764","232","4484.21","1268.00","3216.21","192.97","4260.00","179.52","13.45"
"OG 964","96 JEEP","1J4GZ78S7TC275204","334","480.00","456.00","24.00","1.44","456.00",,"1.44"
"438456","04 TOYT","5TDZA23CX4S088094","366","5600.00","3000.00","2600.00","156.00","5320.00","139.20","16.80"
"IS  10","14 MERZ","4JGDA2EB5EA272268","366","34025.26","2000.00","32025.26","1921.52","32324.00","1819.44","102.08"
"JJV","06 FORD","1FAFP53U56A195121","335","3203.16","1831.00","1372.16","82.33","3043.00","72.72","9.61"
"NEIL87","99 JEEP","1J4FF68S5XL626437","119","171.58","163.00","8.58","0.51","163.00",,"0.51"
"XQ 171","06 VOLK","3VWDT81K06M015690","40","625.26","219.00","406.26","24.38","594.00","22.52","1.86"
"447903","98 HOND","1HGCG6679WA160365","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"412332","07 NISS","JN8AZ08WX7W621020","366","8925.26","2000.00","6925.26","415.52","8479.00","388.76","26.76"
"QG 711","99 HOND","JHMCG5656XC060977","75","107.37","102.00","5.37","0.32","102.00",,"0.32"
"133860","01 FORD","1FTNE24261HA43436","76","109.47","104.00","5.47","0.33","104.00",,"0.33"
"433855","01 CHEV","1GNDT13W012177630","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"444651","13 SUBA","JF1GPAC68D2861345","366","14000.00","2000.00","12000.00","720.00","13300.00","678.00","42.00"
"476436","93 TOYT","2T1AE09E9PC040954","70","101.05","96.00","5.05","0.30","96.00",,"0.30"
"485571","01 HOND","JHLRD18641C012438","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"11632","02 YAMA","JYAVP14E02A000943","366","2950.53","2000.00","950.53","57.03","2803.00","48.20","8.83"
"6947","69 BUIC","194879H932548","152","193.68","184.00","9.68","0.58","184.00",,"0.58"
"KI 599","08 VOLV","YV1RS592782676524","366","6650.53","2000.00","4650.53","279.03","6318.00","259.08","19.95"
"67103","06 BEAR","41YEB191261021640","366","466.32","443.00","23.32","1.40","443.00",,"1.40"
"477163","00 SAAB","YS3DD58H0Y2030881","55","78.95","75.00","3.95","0.24","75.00",,"0.24"
"RJ 333","02 TOYT","JTEGH20V526002966","257","3458.95","1404.00","2054.95","123.30","3286.00","112.92","10.38"
"CQ 432","96 GMC","1GKEK13R7TJ745248","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
