"department","employee_title","minimum_salary","maximum_salary"
"Communications","Police Department Dispatcher","65807.66","65807.87"
"Communications","Police Dispatcher Crew Chief","71741.49","71741.49"
"Communications","Radio Engineer","65814.74","65814.74"
"Communications","Radio Repair Technician","57437.33","57437.33"
"Communications","Senior Switchbd. Oper.","40928.16","40928.16"
"Communications","Telephone Technician","59160.82","59160.82"
"Communications","Validation Officer","58519.14","58519.14"
"Council Members","Council Majority Leader","20850","20850"
"Council Members","Councilman","16888.43","18765"
"Council Members","President  City Council","20850","20850"
"DPW Administration","Acct Payable Officer","46184.14","46184.14"
"DPW Administration","Act. Dir. Of Public Works","101571.11","101571.11"
"DPW Administration","Admin Assistant","54505.91","54505.91"
"DPW Administration","Dept. Switchboard Operator","35396.26","35396.26"
"DPW Administration","Env Court Liaison","49367.68","49367.68"
"DPW Administration","Fiscal Adviser","55434.47","55434.47"
"DPW Administration","Public Works Clerk","41822.33","42665.35"
"DPW Engineering","Assoc Engineer III","52800.02","52800.2"
"DPW Engineering","CAD/Draftsman/GIS Tech.","49748.43","49748.43"
"DPW Engineering","Civil Engineer-P.W","57386.78","57386.78"
"DPW Engineering","Deputy Chief Engineer-P.W","73684.34","73684.34"
"DPW Engineering","Jr. Civil Eng. in Training","41972.29","41972.29"
"DPW Environmental Services","City Recycling Co-Ordinator","51291.79","51291.79"
"DPW Environmental Services","Environmental Services Clerk","42666.08","42666.08"
"DPW Environmental Services","Environmental Specialist","49225.72","49225.72"
"DPW Environmental Services","Laborer-Rodent Control","34214.12","34214.12"
"DPW Environmental Services","LTD Environmental Specialist","49226.09","49226.09"
"DPW Garage Maintenance","City Welder","61360.21","61360.21"
"DPW Garage Maintenance","Equip Body Repair Sr Mech","61359.79","61359.79"
"DPW Garage Maintenance","Equip Maint Supervisor","64272","64272"
"DPW Garage Maintenance","Senior Mechanic","36463.65","42918.1"
"DPW Garage Maintenance","Shop Supervisor","64272","64272"
"DPW Highway","Carpenter","57149.04","57149.04"
"DPW Highway","Cement Finisher","40856.40","40862.22"
"DPW Highway","Deputy Superintendent (Dpw)","61502.9","61502.9"
"DPW Highway","Dispatcher","43195.36","43195.36"
"DPW Highway","Equip Operator","33635.68","39540.37"
"DPW Highway","Foreman","50175.01","50178.13"
"DPW Highway","Heavy Equip Operator","50175.01","50175.01"
"DPW Highway","Highway Superintendent","94029.52","94029.52"
"DPW Highway","Jr. Env. Enforcement Officer","39068.01","39068.01"
"DPW Highway","Laborer","30724.1","36146.23"
"DPW Highway","Limited City Welder","61340.86","61340.86"
"DPW Highway","Ltd Laborer","36144.37","36146.03"
"DPW Parking Administration","Parking Administrator","79596.97","79596.97"
"DPW Parking Administration","Parking Meter Maint Man I","36284.55","36284.55"
"DPW Parking Administration","Parking Meter Maint Man II","41279.89","41279.89"
"DPW Sewer Construction","Cement Finisher","40862.85","40862.85"
"DPW Sewer Construction","Foreman","50178.13","50178.13"
"DPW Sewer Construction","Laborer","36145.62","36146.03"
"DPW Sewer Construction","Sewer Construction Worker","36599.26","36599.26"
"DPW Sewer Construction","Sewer Equip Operator","34214.12","39891.49"
"DPW Sewer Construction","Supt of Sewer & Construction","57682.98","57682.98"
"Electrical Installation","Chief Eletrical Insp.","67303.60","67303.60"
"Electrical Installation","Electrical Inspector II","37330.75","37330.75"
"Electrical Installation","Electrical Inspector III","49913.14","49913.14"
"Emergency Management","Admin. Asst.EMA","41766.44","41766.44"
"Emergency Management","Deputy Dir-Prov Emergency Mgmt","72204.13","72204.13"
"Emergency Management","Director Emergency Management","114320.57","114320.57"
"Emergency Management","Preparedness Coord.EMA","36888.31","36888.31"
"Emergency Management","Recovery Coordinator EMA","36888.31","36888.31"
"Finance Administration","Admin Assist. Finance Dir.","57386.23","57386.23"
"Finance Administration","Budget Analyst","81223.14","81223.14"
"Finance Administration","Dep.Finance Dir/Budget Officer","110991.97","110991.97"
"Finance Administration","Director Of Finance","144200.06","144200.06"
"Finance Administration","Jr. Budge Analyst","39202.80","39202.80"
"Fire","Acting Deputy Asst. Chief","93212.29","93212.29"
"Fire","Acting Fire Battalion Chief","86043.36","86043.36"
"Fire","Acting Fire Captain","70320.42","70320.42"
"Fire","Acting Fire Chief (limited)","123599.42","123599.42"
"Fire","Acting Fire Lieutenant","64826.53","64826.53"
"Fire","Air Supply Technician","70320.42","70320.42"
"Fire","Assistant Fire Chief","98063.47","98063.47"
"Fire","Asst Chief Of Operations","98063.47","98063.47"
"Fire","Asst To Shop Supervisor","55971.97","55971.97"
"Fire","Chief of Communications (Fire)","93212.29","93212.29"
"Fire","Clerk III","25344.59","30061.3"
"Fire","Clerk IV","34547.24","34547.24"
"Fire","Coord. of Public Safety","47872.01","47872.01"
"Fire","Deputy Ass'T Fire Chief","93212.29","93212.29"
"Fire","Dispatcher Lieutenant","60914.87","62226.53"
"Fire","Fire Battalion Chief","83443.36","86043.36"
"Fire","Fire Captain","59269.39","73548.59"
"Fire","Fire Captain Dispatcher","70320.42","70320.42"
"Fire","Fire Equipment Man","45631.66","45631.66"
"Fire","Fire Lieutenant","60914.87","66126.53"
"Fire","Fire Prevention Captain","79528.59","79528.59"
"Fire","Fire Rescue Captain","70320.42","70320.42"
"Fire","Fire Rescue Lieutenant","64826.53","64826.53"
"Fire","Fire Rescue Technician","62012.29","62012.29"
"Fire","Fire Trainee","16120","16120"
"Fire","Firefighter","55369.39","60569.39"
"Fire","Firefighter - ADSFM","60569.39","60569.39"
"Fire","Firefighter Car 56","62905.65","65505.65"
"Fire","Firefighter Car 79","64551.55","67151.55"
"Fire","Firefighter/Plan Reviewer","59614.87","62214.87"
"Fire","Juvenile Firesetter Coord","63526.53","63526.53"
"Fire","Man-In-Charge (Carpenter Shop)","70320.42","70320.42"
"Fire","Person-In-Chg Supply Room","67720.42","67720.42"
"Fire","Plans Reviewer/Inspector Comm","59160.82","59160.82"
"Fire","Sec. -Office of Chief/Bilingua","49914.05","49914.05"
"Fire","Senior Mechanic","43512.14","51217.71"
"Fire","Shop Supervisor","77086.67","77086.67"
"Forestry","Equip Operator","39541.22","39541.22"
"Forestry","Forestry Clerk","39474.33","39474.33"
"Forestry","Forestry Crew Leader","50410.67","50410.67"
"Forestry","Forestry Technician","53302.91","53302.91"
"Forestry","Tree Inspector","47925.49","47925.49"
"Forestry","Tree Trimmer","40281.49","47375.95"
"Greenhouse","Equip Operator","33610.1","33610.1"
"Greenhouse","General Foreman","52017.47","52017.47"
"Greenhouse","Landscape Gardener","36757.33","36757.97"
"Housing Court","Assoc Justice-H Court","37160.21","39427.39"
"Housing Court","Court Clerk","39621.4","39621.4"
"Housing Court","Court Clerk Housing Ct","45150.2","45150.2"
"Housing Court","Housing Court Administrator","50476.79","50476.79"
"Housing Court","Judge Housing Crt","51365.86","51365.86"
"Human Relations","Housing Investigator","41599.19","41599.19"
"Human Services","Dir. Substance Abuse Prev.Coun","67960.03","67960.03"
"Human Services","Director of Sr. Services","56492.80","56492.80"
"Human Services","Drug Free Communities Coord","50463.69","50463.69"
"Human Services","Tobacco Free Campaign Coord","48712.76","48712.76"
"Human Services","Vetcorps Prevention Coord","12503.58","12503.58"
"IFR Engineering","Eng Proj Coordinator (Wsb)","54406.53","59984.29"
"IFR Engineering","Prin.Engineer WSB","75985","75985"
"Information Technology Departm","Application Programmer Analyst","47524.93","47524.93"
"Information Technology Departm","Applications Project MGR","74307.32","81195.83"
"Information Technology Departm","Business Systems Analyst","43774.82","43774.82"
"Information Technology Departm","Chief Information Officer","116506.39","116506.39"
"Information Technology Departm","Data Base Administrator","73416.07","73416.07"
"Information Technology Departm","Data Network Administrator","71139.61","71139.61"
"Information Technology Departm","Information Tech Admin. Asst.","31125.27","31125.27"
"Information Technology Departm","Jr. Systems/Desktop Admin.","45841.07","45841.07"
"Information Technology Departm","Lead Production Serv.Operator","45840.89","45840.89"
"Information Technology Departm","Network Engineer","77350.36","77350.36"
"Information Technology Departm","Systems Engineer","73416.07","73416.07"
"Information Technology Departm","Webmaster","57695.64","57695.64"
"Internal Audit Office","Auditor in Charge-School Dept","64883.73","64883.73"
"Internal Audit Office","Internal Auditor","114321.84","114321.84"
"Law Department","Assist City Solicitor","39984.62","59386.78"
"Law Department","City Solicitor","126017.35","126017.35"
"Law Department","Conf.Secretary to City Sol.","54962.91","54962.91"
"Law Department","Dep.City Sol/Labor&Emp Counsel","110991.61","110991.61"
"Law Department","Deputy City Solicitor","110991.61","114321.84"
"Law Department","Law Clerk/Courier","28488.46","28488.46"
"Law Department","Legal Secretary","54505.72","54505.72"
"Law Department","Paralegal I","43712.76","43712.76"
"Law Department","Senior Asst City Solicitor","78092.56","95843.93"
"Law Department","Spec.Asst.to City Sol.Claims C","54962.18","54962.18"
"Mayor Staff","Admin.Asst. To Dir. Of Admin.","47380.61","47380.61"
"Mayor Staff","Clerical Assistant (Mayor's)","36747.07","42023.8"
"Mayor Staff","Comm.Rel.&Public Aff.Coord","37079.58","37079.58"
"Mayor Staff","Community Outreach&Events Coor","49433.2","49433.2"
"Mayor Staff","Dep Dir. Communications/Mayors","71999.56","71999.56"
"Mayor Staff","Dep Dir. of Municipal Affairs","48409.82","48409.82"
"Mayor Staff","Dep.Dir.Community Relations","41199.89","41199.89"
"Mayor Staff","Deputy Chief Of Staff","92717.72","131839.53"
"Mayor Staff","Deputy Dir. Of Policy","61799.56","61799.56"
"Mayor Staff","Dir Mayors Office of Neigh.Ser","63666.33","63666.33"
"Mayor Staff","Dir. of Communications/Mayor's","89999","89999"
"Mayor Staff","Director Of Administration","180250.25","180250.25"
"Mayor Staff","Director of Advance","58276.22","58276.22"
"Mayor Staff","Director of Community Relation","81181.83","81181.83"
"Mayor Staff","Director Of Operations","118456.52","118456.52"
"Mayor Staff","Mayor","112500.02","112500.02"
"Mayor Staff","Mayoral Advance","21424","38624.22"
"Mayor Staff","Mayor's Scheduler","39649.79","39649.79"
"Mayor Staff","Multimedia &Social Media Coord","32444.78","32444.78"
"Mayor Staff","ONS Admin. Asst.","25831.99","25831.99"
"Mayor Staff","ONS Rep.Spec.in Community Rel","30899.96","30899.96"
"Mayor Staff","Policy Associate","673.07","673.07"
"Mayor Staff","Writer","30274.79","30274.79"
"Mech Equip Installation","Chief Insp-Mech Equip & Instal","67309.97","67309.97"
"Mech Equip Installation","Mechanical Equipment Insp II","35554.61","37332.39"
"MIS Department","Appl Sys Integration Analyst","60607.46","60607.46"
"MIS Department","Application Oper.Specialist","49348.94","49348.94"
"MIS Department","Network Hardware Mgr","68213.96","68213.96"
"MIS Department","Sr. Manager,WSB","80727.74","80727.74"
"MIS Department","Sys Tech Spec","38515.57","38515.57"
"MIS Department","Systems Analyst","61233.9","61233.9"
"Municipal Court","Clerk Prov Municipal Court","56544.85","56544.85"
"Municipal Court","Court Clerk","37396.62","39471.98"
"Municipal Court","Court Clerk II","47873.27","47873.27"
"Municipal Court","Court Clerk/Bilingual","33656.9","33656.9"
"Municipal Court","Deputy Clerk Prov Mun Court","50759.98","50759.98"
"Municipal Court","Deputy Court Administrator","58580.16","58580.16"
"Municipal Court","Judge-Prov Municipal Court","32462.25","51230.09"
"Neighborhood Park Services","Admin Asst Parks","45152.38","45152.38"
"Neighborhood Park Services","Athletic Coordinator","38821.87","38821.87"
"Neighborhood Park Services","Clerk I","27158.59","27158.59"
"Neighborhood Park Services","Dep.Dir Neigh.Park Ser (south)","64879.98","64879.98"
"Neighborhood Park Services","Dep.Dir.Neigh Park Ser North","61147.42","61147.42"
"Neighborhood Park Services","Deputy Director of Recreation","55431.92","55431.92"
"Neighborhood Park Services","Director NPS & Recreation","86934.22","86934.22"
"Neighborhood Park Services","Director of Support Services","62148.81","62148.81"
"Neighborhood Park Services","Equip Operator","35297.18","39548.69"
"Neighborhood Park Services","General Foreman","52017.47","52017.47"
"Neighborhood Park Services","Heavy Equip Operator","47376.37","47376.37"
"Neighborhood Park Services","Laborer","30722.02","39541.42"
"Neighborhood Park Services","Laborer/Custodian","36146.44","36146.44"
"Neighborhood Park Services","Light Equipment Operator","37851.42","37851.83"
"Neighborhood Park Services","Limited Equip. Oper.","39540.37","39542.46"
"Neighborhood Park Services","Limited Foreman","50175.01","50175.01"
"Neighborhood Park Services","Maintenance Man III","38820.29","38820.29"
"Neighborhood Park Services","Maintenance Man IV","42376.67","42381.46"
"Neighborhood Park Services","Parks Electrician","76629.49","76629.49"
"Neighborhood Park Services","Recreation Center Director","46010.15","47381.15"
"Neighborhood Park Services","Senior Mechanic","42884.82","42884.82"
"Neighborhood Park Services","Shop Supervisor Park","67939.25","67939.25"
"Neighborhood Park Services","Small Equip.Mech/Inven.Control","42884.82","42884.82"
"Neighborhood Park Services","Supervisor Maintenance (Parks)","50175.01","63459.76"
"North Burial Ground","Heavy Equip Operator","47375.95","47375.95"
"North Burial Ground","Laborer","33870.93","36146.23"
"North Burial Ground","Light Equipment Operator","37851.83","37851.83"
"North Burial Ground","Limited Clerk II","28497.20","28497.20"
"North Burial Ground","Limited Equip. Oper.","42885.65","42885.65"
"North Burial Ground","Limited Foreman","50175.01","50175.01"
"North Burial Ground","Office Manager NBG","42800.94","42800.94"
"PERA","Confidential Secretary PERA","40794.94","40794.94"
"Personnel Administration","Admin. Confidential Asst.HR","63652.86","63652.86"
"Personnel Administration","Benefits HR Asst./Specialist","43345.48","43345.48"
"Personnel Administration","Clerk IV","32975.12","32975.12"
"Personnel Administration","Coor Of Employee Benefits","62144.63","62144.63"
"Personnel Administration","Deputy Director Personnel","78042.87","78042.87"
"Personnel Administration","EEO /Compliance Monitor","77350.36","77350.36"
"Personnel Administration","Human Resource Asst.","42886.12","42886.12"
"Personnel Administration","Human Resource Director","108837.46","108837.46"
"Personnel Administration","Medical Health Plan Administr","55664.52","55664.52"
"Personnel Administration","Mgr. of Employees Benefits","90320.59","90320.59"
"Personnel Administration","Personnel Technician I","47029.16","47029.16"
"Personnel Administration","Personnel Technician II","58580.16","58580.16"
"Personnel Administration","Sr. Claims Examiner W.C","56374.5","58579.98"
"Personnel Administration","Union Training Coord. (Persnl)","62145.72","62145.72"
"Planning & Development","Acting Director P & D","77346","77346"
"Planning & Development","Admin Asst Planning (Dpd)","39969.93","39969.93"
"Planning & Development","Admin Asst Purchasing","42250.83","42250.83"
"Planning & Development","Admin. Asst.DPD","47367.68","47367.68"
"Planning & Development","Business Serv.Program Mgr.","72935.5","72935.5"
"Planning & Development","Chief Clerk P & D","42665.35","42665.35"
"Planning & Development","Clerk III","29630.69","31155.85"
"Planning & Development","Commercial Lending Officer","56461.58","56461.58"
"Planning & Development","Compliance Officer","44428.56","47453.53"
"Planning & Development","Compliance Officer Green Jobs","47870","47870"
"Planning & Development","Confidenl Asst.to Dir.Econ.Dev","35023.9","35023.9"
"Planning & Development","Dir. of Admin.-Planning & Dev.","77350.73","77350.73"
"Planning & Development","Dir. of Economic Development","154499.98","154499.98"
"Planning & Development","Dir. of Long Range Planning","76674.84","76674.84"
"Planning & Development","Dir.Pathways to Opportunities","77346","77346"
"Planning & Development","Director of Community Dev.","72916.84","72916.84"
"Planning & Development","Director of Fiscal Oper. P&D","76111.77","76111.77"
"Planning & Development","Director of Real Estate","76562.36","76562.36"
"Planning & Development","Director Plan & Development","99579.3","99579.3"
"Planning & Development","Econ Dev Coord","54714.11","54714.11"
"Planning & Development","Employ & Training Program Mgr","60279.86","60279.86"
"Planning & Development","Fiscal Officer","37941.46","37941.46"
"Planning & Development","Fiscal Officer III/Bi- P&D","59314.01","59314.01"
"Planning & Development","GIS Manager","59262.95","59262.95"
"Planning & Development","Housing Prog.Coord","69126.50","69126.50"
"Planning & Development","Info Systems Coordinator","68559.22","68559.22"
"Planning & Development","Prin Plan/HUD Comm.Challenge","60286.04","60286.04"
"Planning & Development","Principal Planner","44885.39","60279.67"
"Planning & Development","Principle Planner Review DPD","59927.25","59927.25"
"Planning & Development","Sr Spvisor Rehab Services","65838.07","65838.07"
"Planning & Development","Sr. Compliance Monitor/Bi-ling","55529.47","55529.47"
"Planning & Development","Sr. Compliance Officer","52570.23","52570.23"
"Plumbing Drainage & Gas","Chief Plumb Drain & Gas Piping","67303.42","67303.42"
"Plumbing Drainage & Gas","Plumbing Inspector II","46510.65","46510.65"
"Plumbing Drainage & Gas","Plumbing Inspector III","57386.23","57386.23"
"Police","Admin Bureau Legal Clerk","47871.82","47871.82"
"Police","Admin. Asst. Confidential","45050.28","45050.28"
"Police","Animal Control Officer","54818.61","56463.26"
"Police","Animal Control Technician","44304.83","44304.83"
"Police","Animal Handler-Mounted Police","34737.46","38927.41"
"Police","Asst.Public Info Officer","38757.44","38757.44"
"Police","Auto Equipment Supt","75103.81","75103.81"
"Police","Coord. of Public Safety","47871.82","47871.82"
"Police","Customer Service Clerk","38821.15","42667.53"
"Police","Deputy Police Chief","117029.06","117029.06"
"Police","Detention Officer","48911.62","48912.03"
"Police","HR/Crime & Info Sys Spec.","62367.94","62367.94"
"Police","Investigative Clerk","46173.4","46178.68"
"Police","Kennel Director","66403.78","66403.78"
"Police","Laborer","36144.37","36144.37"
"Police","Limited Clerk II","28737.62","28737.62"
"Police","Limited Investigative Clerk","46178.68","46178.68"
"Police","Ltd Laborer","32260.18","36144.37"
"Police","Parking Enforcement Officer","31578.98","46776.03"
"Police","Police Captain","78565.5","105739.92"
"Police","Police Chief","133120.07","133120.07"
"Police","Police Lieutenant","72982.46","76882.46"
"Police","Police Major","105739.92","105739.92"
"Police","Police Person","53462.57","65230.43"
"Police","Police Sergeant","61330.43","76882.46"
"Police","Secretary/Mounted Command","39401.36","39401.36"
"Police","Sr Animal Control Officer","57853.33","57853.33"
"Police","Sr Parking Enforcement Officer","42852.37","42852.37"
"Police","Stable Supervsr-Mounted Police","49325.54","49325.54"
"Police","VIn Station Clerk","46075.74","46075.74"
"Police","VIn Station Inspector","46075.74","46075.74"
"Probate Court","Clerk - Probate Court","44174.31","44174.31"
"Probate Court","Court Clerk","40998.95","40998.95"
"Probate Court","Court Clerk/Bilingual","41827.97","41827.97"
"Probate Court","Deputy Clerk  Probate Court","52805.66","52805.66"
"Probate Court","Judge  Probate Court","55944.43","55944.43"
"Prosecution","Lead Court Legal Sec. LTD","35999.78","35999.78"
"Prosecution","Legal Secretary","45150.55","45150.55"
"Prosecution","Prosecution Coordinator","57736.77","57736.77"
"Providence Housing Authority","Chairman, PHA","135","135"
"Providence Housing Authority","Commission  Pha","75","900"
"Providence/Cranston Workforce","Administrator","100407.43","100407.43"
"Providence/Cranston Workforce","Asst.Account Officer","49792.81","49792.81"
"Providence/Cranston Workforce","Career & Employment Counselor","50309.17","58869.91"
"Providence/Cranston Workforce","Dir. of Administration/WFS","79713.17","79713.17"
"Providence/Cranston Workforce","Dir. of Operations/WFS","79072.87","79072.87"
"Providence/Cranston Workforce","Dislocated Wrkr/Monitor Chief","17167.41","17167.41"
"Providence/Cranston Workforce","Internal Auditor","64528.95","64528.95"
"Providence/Cranston Workforce","Job Developer","10161.83","10161.83"
"Providence/Cranston Workforce","Jtpa Secretary/Clerk","42546.55","42546.55"
"Providence/Cranston Workforce","Prog. Mgr./Workforce Solutions","74167.05","74167.05"
"Providence/Cranston Workforce","Program Assist","41865.27","41865.27"
"Providence/Cranston Workforce","Project Coordinator","59550.12","59550.12"
"Providence/Cranston Workforce","Statewide Youth CTR. Mgr.","57729.85","57729.85"
"Public Property Administration","Admin Asst-Pub Property","62994.2","62994.2"
"Public Property Administration","Clerk IV","32488.82","32488.82"
"Public Property Administration","Coordinator/Public Property","63276.12","63276.12"
"Public Property Administration","Electrician Public Property","85288.94","85288.94"
"Public Property Administration","Energy Manager","64296.13","95154.83"
"Public Property Administration","Fleet Manager","78340.99","78340.99"
"Public Property Administration","Foreman","50175.01","50175.01"
"Public Property Administration","Laborer","36146.23","36146.23"
"Public Property Administration","Laborer/Custodian","30722.02","36144.37"
"Public Property Administration","Limited Laborer/Custodian","36144.37","36144.37"
"Public Property Administration","Mail Room Clerk","40150.86","40150.86"
"Public Property Administration","Maint. Man III (Pools & Rec.)","52848.02","52848.02"
"Public Property Administration","Purchasing Agent II","45646.51","45648.51"
"Public Property Administration","Purchasing Agent III","55522.92","55522.92"
"Public Property Administration","Stationary Equip Operator","37241.98","37241.98"
"Public Property Administration","Supv.Purchasing/MBE/WBE Coord.","70758.14","70758.14"
"Public Property Administration","Sustainability Director","76219.60","76219.60"
"Recorder of Deeds","Clerk II","28497.20","28497.20"
"Recorder of Deeds","Land Records Clerk","36617.85","36617.85"
"Recorder of Deeds","Sr Land Records Clerk","42660.62","42660.62"
"Retirement","Clerk IV","32488.82","32488.82"
"Retirement","Pension Administrator","70175.92","70175.92"
"Retirement","Sr Ret Div Clerk","55666.7","55666.7"
"Roger Williams Park Services","Clerk IV","34547.24","34547.24"
"Roger Williams Park Services","Curator  Museum","49802.12","49802.12"
"Roger Williams Park Services","Director of RW Park Services","78854.88","78854.88"
"Roger Williams Park Services","Dir-Museum Of Natural History","57683.99","57683.99"
"Roger Williams Park Services","Equip Operator","33610.1","39553.9"
"Roger Williams Park Services","Foreman","50175.01","50175.01"
"Roger Williams Park Services","Heavy Equip Operator","47376.16","47376.37"
