"department","employee_title","minofsalary","maxofsalary"
"Communications","Police Dispatcher Crew Chief","69651.92","69651.92"
"Communications","Director Of Communications","105667.74","105667.74"
"Communications","Fire Alarm Technician","57437.74","57437.74"
"Communications","Foreman  Cable Crew","65811.41","65811.41"
"Communications","Fire Department Dispatcher","57438.11","57438.29"
"Communications","Police Department Dispatcher","63890.94","63891.15"
"Communications","Control Center Operator","35466.08","51324.78"
"Communications","Chief Radio Engineer","82774.02","82774.02"
"Communications","Radio Engineer","63897.81","63897.81"
"Communications","Laborer","35091.68","35091.68"
"Communications","Validation Officer","56814.78","56814.78"
"Communications","Senior Switchbd. Oper.","39736.06","39736.06"
"Communications","Telephone Technician","57437.74","57437.74"
"Council Members","President  City Council","20850","20850"
"Council Members","Councilman","16888.43","18765"
"Council Members","Council Majority Leader","20850","20850"
"DPW Administration","Act. Dir. Of Public Works","98612.7","98612.7"
"DPW Administration","Env Court Liaison","47929.7","47929.7"
"DPW Administration","Admin Assistant","52918.32","52918.32"
"DPW Administration","Acct Payable Officer","44838.98","44838.98"
"DPW Administration","Dept. Switchboard Operator","34365.24","34365.24"
"DPW Administration","Public Works Clerk","40604.19","41422.65"
"DPW Administration","Fiscal Adviser","53819.95","53819.95"
"DPW Engineering","CAD/Draftsman/GIS Tech.","48299.51","48299.51"
"DPW Engineering","Civil Engineer-P.W","55715.3","55715.3"
"DPW Engineering","Deputy Chief Engineer-P.W","71538.19","71538.19"
"DPW Engineering","Jr. Civil Eng. in Training","40749.80","40749.80"
"DPW Engineering","Assoc Engineer III","51262.12","51262.3"
"DPW Environmental Services","Environmental Services Clerk","41423.37","41423.37"
"DPW Environmental Services","Laborer-Rodent Control","33217.59","33217.59"
"DPW Environmental Services","LTD Environmental Specialist","47792.29","47792.29"
"DPW Environmental Services","City Recycling Co-Ordinator","49797.93","49797.93"
"DPW Environmental Services","Environmental Specialist","47791.93","47791.93"
"DPW Garage Maintenance","Equip Body Repair Sr Mech","59572.66","59572.66"
"DPW Garage Maintenance","Shop Supervisor","62400","62400"
"DPW Garage Maintenance","City Welder","59573.07","59573.07"
"DPW Garage Maintenance","Senior Mechanic","35401.59","41668.01"
"DPW Garage Maintenance","Equip Maint Supervisor","62400","62400"
"DPW Highway","Ltd Laborer","35091.68","35093.14"
"DPW Highway","Limited City Welder","59554.14","59554.14"
"DPW Highway","Dispatcher","41937.17","41937.17"
"DPW Highway","Deputy Superintendent (Dpw)","59711.6","59711.6"
"DPW Highway","Carpenter","55484.42","55484.42"
"DPW Highway","Cement Finisher","39666.43","39672.05"
"DPW Highway","Equip Operator","32656","38388.69"
"DPW Highway","Heavy Equip Operator","48713.59","48713.59"
"DPW Highway","Laborer","29829.27","35093.33"
"DPW Highway","Foreman","48713.59","48716.72"
"DPW Highway","Highway Superintendent","91290.78","91290.78"
"DPW Parking Administration","Parking Administrator","77278.66","77278.66"
"DPW Parking Administration","Parking Meter Maint Man II","40077.65","40077.65"
"DPW Parking Administration","Parking Meter Maint Man I","35227.71","35227.71"
"DPW Sewer Construction","Cement Finisher","39672.67","39672.67"
"DPW Sewer Construction","Heavy Equip Operator","45996.5","45996.5"
"DPW Sewer Construction","Sewer Equip Operator","33217.59","38729.59"
"DPW Sewer Construction","Laborer","35092.93","35093.14"
"DPW Sewer Construction","Foreman","48716.72","48716.72"
"DPW Sewer Construction","Sewer Construction Worker","35533.26","35533.26"
"DPW Sewer Construction","Supt of Sewer & Construction","56002.96","56002.96"
"Electrical Installation","Electrical Inspector III","48459.32","48459.32"
"Electrical Installation","Electrical Inspector II","36243.48","36243.48"
"Electrical Installation","Chief Eletrical Insp.","65343.28","65343.28"
"Emergency Management","Admin. Asst.EMA","40549.96","40549.96"
"Emergency Management","Preparedness Coord.EMA","35813.96","35813.96"
"Emergency Management","Recovery Coordinator EMA","35813.96","35813.96"
"Emergency Management","Deputy Dir-Prov Emergency Mgmt","70101.11","70101.11"
"Emergency Management","Director Emergency Management","110990.88","110990.88"
"Finance Administration","Director Of Finance","140000.04","140000.04"
"Finance Administration","Jr. Budge Analyst","38060.93","38060.93"
"Finance Administration","Budget Analyst","78857.50","78857.50"
"Finance Administration","Budget Officer-Dep Dir Fin","97717.98","97717.98"
"Finance Administration","Admin Assist. Finance Dir.","55714.75","55714.75"
"Fire","Fire Trainee","16120","16120"
"Fire","Plans Reviewer/Inspector Comm","57437.74","57437.74"
"Fire","Asst Chief Of Operations","94244.80","94244.80"
"Fire","Firefighter Car ","60363.68","62963.68"
"Fire","Juvenile Firesetter Coord","60962.72","60962.72"
"Fire","Firefighter/Plan Reviewer","57183.36","59783.36"
"Fire","Person-In-Chg Supply Room","64972.95","64972.95"
"Fire","Clerk III","24606.40","29185.7"
"Fire","Clerk IV","33540.95","33540.95"
"Fire","Firefighter Car ","61954.87","64554.87"
"Fire","Chief of Communications (Fire)","89689.60","89689.60"
"Fire","Coord. of Public Safety","46477.7","46477.7"
"Fire","Acting Fire Battalion Chief","82763.19","82763.19"
"Fire","Acting Fire Captain","67572.96","67572.96"
"Fire","Sec. -Office of Chief/Bilingua","48460.23","48460.23"
"Fire","Acting Fire Chief (limited)","119999.36","119999.36"
"Fire","Acting Deputy Asst. Chief","89689.60","89689.60"
"Fire","Acting Fire Lieutenant","62262.72","62262.72"
"Fire","Firefighter - ADSFM","58194.23","58194.23"
"Fire","Asst To Shop Supervisor","54341.66","54341.66"
"Fire","Fire Equipment Man","44302.54","44302.54"
"Fire","Assistant Fire Chief","94244.80","94244.80"
"Fire","Deputy Ass'T Fire Chief","89689.60","89689.60"
"Fire","Fire Battalion Chief","80163.19","82763.19"
"Fire","Fire Captain Dispatcher","67572.96","67572.96"
"Fire","Fire Captain","63672.95","72612.80"
"Fire","Fire Lieutenant","58362.72","63562.72"
"Fire","Fire Rescue Lieutenant","62262.72","62262.72"
"Fire","Firefighter","52994.23","58194.23"
"Fire","Fire Rescue Technician","58244.16","59544.16"
"Fire","Shop Supervisor","74841.52","74841.52"
"Fire","Fire Rescue Captain","67572.96","67572.96"
"Fire","Fire Prevention Captain","76512.80","76512.80"
"Fire","Man-In-Charge (Carpenter Shop)","67572.96","67572.96"
"Fire","Dispatcher Lieutenant","58362.72","59662.72"
"Fire","Senior Mechanic","42244.80","49725.94"
"Fire","Air Supply Technician","67572.96","67572.96"
"Forestry","Forestry Clerk","38324.65","38324.65"
"Forestry","Tree Inspector","46529.59","46529.59"
"Forestry","Forestry Technician","51750.40","51750.40"
"Forestry","Forestry Crew Leader","48942.40","48942.40"
"Forestry","Equip Operator","38389.51","38389.51"
"Forestry","Tree Trimmer","39108.16","45996.08"
"Greenhouse","Landscape Gardener","35686.76","35687.39"
"Greenhouse","Equip Operator","32631.25","32631.25"
"Greenhouse","General Foreman","50502.40","50502.40"
"Housing Court","Court Clerk Housing Ct","43835.06","43835.06"
"Housing Court","Court Clerk","38467.33","38467.33"
"Housing Court","Housing Court Administrator","49006.59","49006.59"
"Housing Court","Judge Housing Crt","49869.82","49869.82"
"Housing Court","Assoc Justice-H Court","36077.86","38278.97"
"Human Relations","Housing Investigator","40387.62","40387.62"
"Human Services","Director of Sr. Services","56492.80","56492.80"
"Human Services","Drug Free Communities Coord","48993.85","48993.85"
"Human Services","Tobacco Free Campaign Coord","47992.86","47992.86"
"Human Services","Dir. Substance Abuse Prev.Coun","67655.59","67655.59"
"Human Services","Vetcorps Prevention Coord","12139.4","12139.4"
"IFR Engineering","Eng Proj Coordinator (Wsb)","52821.86","58237.09"
"IFR Engineering","Prin.Engineer WSB","73771.88","73771.88"
"Information Technology Departm","Information Tech Admin. Asst.","30218.73","30218.73"
"Information Technology Departm","Network Engineer","75097.39","75097.39"
"Information Technology Departm","Chief Information Officer","113113","113113"
"Information Technology Departm","Webmaster","56015.23","56015.23"
"Information Technology Departm","Data Network Administrator","69067.53","69067.53"
"Information Technology Departm","Data Base Administrator","71277.75","71277.75"
"Information Technology Departm","Lead Production Serv.Operator","44276.95","44276.95"
"Information Technology Departm","Applications Project MGR","72142.98","78830.92"
"Information Technology Departm","Systems Engineer","71277.75","71277.75"
"Information Technology Departm","Business Systems Analyst","42499.91","42499.91"
"Information Technology Departm","Jr. Systems/Desktop Admin.","44234.19","44234.19"
"Information Technology Departm","Application Programmer Analyst","42499.91","42499.91"
"Internal Audit Office","Auditor in Charge-School Dept","62993.84","62993.84"
"Internal Audit Office","Internal Auditor","110992.15","110992.15"
"Law Department","City Solicitor","122346.95","122346.95"
"Law Department","Spec.Asst.to City Sol.Claims C","53361.31","53361.31"
"Law Department","Law Clerk/Courier","27658.72","27658.72"
"Law Department","Conf.Secretary to City Sol.","51283.96","51283.96"
"Law Department","Legal Secretary","51267.58","58523.01"
"Law Department","Senior Asst City Solicitor","72142.98","91226.95"
"Law Department","Assist City Solicitor","38060.08","57657.05"
"Law Department","Deputy City Solicitor","105641.9","110992.15"
"Law Department","Paralegal I","42439.49","42439.49"
"Law Department","Dep.City Sol/Labor&Emp Counsel","107758.92","107758.92"
"Mayor Staff","Mayoral Advance","20800","37499.27"
"Mayor Staff","Deputy Dir. Of Policy","59999.58","59999.58"
"Mayor Staff","Director Of Operations","118456.52","118456.52"
"Mayor Staff","Admin.Asst. To Dir. Of Admin.","46000.5","46000.5"
"Mayor Staff","Mayor's Scheduler","38495","38495"
"Mayor Staff","Director of Advance","56578.89","56578.89"
"Mayor Staff","Dir. of Communications/Mayor's","89999","89999"
"Mayor Staff","Director of Community Relation","78817.27","78817.27"
"Mayor Staff","Clerical Assistant (Mayor's)","35676.73","40799.85"
"Mayor Staff","Director Of Administration","175000.28","175000.28"
"Mayor Staff","Dir Mayors Office of Neigh.Ser","61811.93","61811.93"
"Mayor Staff","ONS Rep.Spec.in Community Rel","29999.97","29999.97"
"Mayor Staff","ONS Admin. Asst.","25079.59","25079.59"
"Mayor Staff","Multimedia &Social Media Coord","31499.83","31499.83"
"Mayor Staff","Dep.Dir.Community Relations","39999.96","39999.96"
"Mayor Staff","Comm.Rel.&Public Aff.Coord","35999.59","35999.59"
"Mayor Staff","Dep Dir. of Municipal Affairs","46999.86","46999.86"
"Mayor Staff","Community Outreach&Events Coor","47993.4","47993.4"
"Mayor Staff","Dep Dir. Communications/Mayors","71999.56","71999.56"
"Mayor Staff","Writer","29393","29393"
"Mayor Staff","Deputy Chief Of Staff","90017.2","127999.51"
"Mayor Staff","Mayor","112500.02","112500.02"
"Mech Equip Installation","Chief Insp-Mech Equip & Instal","65349.47","65349.47"
"Mech Equip Installation","Mechanical Equipment Insp II","34519.03","36245.12"
"MIS Department","Sys Tech Spec","37393.72","37393.72"
"MIS Department","Appl Sys Integration Analyst","58842.23","58842.23"
"MIS Department","Application Oper.Specialist","47911.5","47911.5"
"MIS Department","Network Hardware Mgr","66227.07","66227.07"
"MIS Department","Sr. Manager,WSB","78376.47","78376.47"
"MIS Department","Systems Analyst","59450.3","59450.3"
"Municipal Court","Judge-Prov Municipal Court","31516.76","49737.87"
"Municipal Court","Clerk Prov Municipal Court","54897.93","54897.93"
"Municipal Court","Deputy Clerk Prov Mun Court","49281.59","49281.59"
"Municipal Court","Court Clerk/Bilingual","32676.63","32676.63"
"Municipal Court","Deputy Court Administrator","56873.91","56873.91"
"Municipal Court","Court Clerk II","46478.98","46478.98"
"Municipal Court","Court Clerk","36307.36","38322.28"
"Neighborhood Park Services","Shop Supervisor Park","65960.34","65960.34"
"Neighborhood Park Services","Parks Electrician","74397.64","74397.64"
"Neighborhood Park Services","Laborer/Custodian","35093.55","35093.55"
"Neighborhood Park Services","Limited Equip. Oper.","38388.69","38390.76"
"Neighborhood Park Services","Athletic Coordinator","37691.11","37691.11"
"Neighborhood Park Services","Supervisor Maintenance (Parks)","48713.59","61611.47"
"Neighborhood Park Services","Deputy Director of Recreation","53817.4","53817.4"
"Neighborhood Park Services","Director of Support Services","60338.64","60338.64"
"Neighborhood Park Services","Clerk I","26367.61","26367.61"
"Neighborhood Park Services","Light Equipment Operator","36749.01","36749.44"
"Neighborhood Park Services","Director NPS & Recreation","84402.24","84402.24"
"Neighborhood Park Services","Dep.Dir Neigh.Park Ser (south)","62990.3","62990.3"
"Neighborhood Park Services","Dep.Dir.Neigh Park Ser North","59366.53","59366.53"
"Neighborhood Park Services","Maintenance Man IV","41142.40","41146.98"
"Neighborhood Park Services","Limited Foreman","48713.59","48713.59"
"Neighborhood Park Services","Small Equip.Mech/Inven.Control","41635.78","41635.78"
"Neighborhood Park Services","Equip Operator","34269.04","38396.80"
"Neighborhood Park Services","Heavy Equip Operator","45996.5","45996.5"
"Neighborhood Park Services","Laborer","29827.20","38389.73"
"Neighborhood Park Services","General Foreman","50502.40","50502.40"
"Neighborhood Park Services","Maintenance Man III","37689.59","37689.59"
"Neighborhood Park Services","Senior Mechanic","41635.78","41635.78"
"Neighborhood Park Services","Recreation Center Director","44670.08","46001.05"
"Neighborhood Park Services","Admin Asst Parks","43837.25","43837.25"
"North Burial Ground","Office Manager NBG","41554.23","41554.23"
"North Burial Ground","Limited Equip. Oper.","41636.61","41636.61"
"North Burial Ground","Light Equipment Operator","36749.44","36749.44"
"North Burial Ground","Limited Foreman","48713.59","48713.59"
"North Burial Ground","Limited Clerk II","27667.09","27667.09"
"North Burial Ground","Heavy Equip Operator","45996.08","45996.08"
"North Burial Ground","Laborer","32884.37","35093.33"
"PERA","Confidential Secretary PERA","39606.66","39606.66"
"Personnel Administration","Personnel Technician I","45659.43","45659.43"
"Personnel Administration","Human Resource Director","105667.38","105667.38"
"Personnel Administration","Personnel Technician II","56873.91","56873.91"
"Personnel Administration","Union Training Coord. (Persnl)","60335.73","60335.73"
"Personnel Administration","Benefits HR Asst./Specialist","42082.95","42082.95"
"Personnel Administration","EEO /Compliance Monitor","75097.39","75097.39"
"Personnel Administration","Human Resource Asst.","41637.05","41637.05"
"Personnel Administration","Clerk IV","31542.42","31542.42"
"Personnel Administration","Sr. Claims Examiner W.C","54732.5","56873.73"
"Personnel Administration","Mgr. of Employees Benefits","87689.97","87689.97"
"Personnel Administration","Medical Health Plan Administr","54043.26","54043.26"
"Personnel Administration","Coor Of Employee Benefits","60334.64","60334.64"
"Personnel Administration","Admin. Confidential Asst.HR","59997.21","59997.21"
"Personnel Administration","Deputy Director Personnel","75769.69","75769.69"
"Planning & Development","Director Plan & Development","96678.95","96678.95"
"Planning & Development","Sr Spvisor Rehab Services","65057.36","65057.36"
"Planning & Development","Info Systems Coordinator","67546.02","67546.02"
"Planning & Development","Admin. Asst.DPD","45988.12","45988.12"
"Planning & Development","Housing Prog.Coord","68919.75","68919.75"
"Planning & Development","Director of Real Estate","75097.92","75097.92"
"Planning & Development","Clerk III","29192.79","30248.40"
"Planning & Development","Housing Inspector","46477.89","46477.89"
"Planning & Development","Principle Planner Review DPD","58522.65","58522.65"
"Planning & Development","Dir. of Admin.-Planning & Dev.","75097.75","75097.75"
"Planning & Development","Compliance Officer","43760.99","46477.71"
"Planning & Development","Employ & Training Program Mgr","58524.1","58524.1"
"Planning & Development","GIS Manager","58033.8","58033.8"
"Planning & Development","Sr. Compliance Officer","51263.03","51263.03"
"Planning & Development","Compliance Officer Green Jobs","46475.7","46475.7"
"Planning & Development","Chief Clerk P & D","41422.65","41422.65"
"Planning & Development","Dir.Pathways to Opportunities","75093.2","75093.2"
"Planning & Development","Business Serv.Program Mgr.","71857.60","71857.60"
"Planning & Development","Dir. of Long Range Planning","75097.75","75097.75"
"Planning & Development","Sr. Compliance Monitor/Bi-ling","53912.04","53912.04"
"Planning & Development","Dir. of Economic Development","150000.03","150000.03"
"Planning & Development","Fiscal Officer III/Bi- P&D","58523.92","58523.92"
"Planning & Development","Director of Fiscal Oper. P&D","75097.92","75097.92"
"Planning & Development","Prin Plan/HUD Comm.Challenge","58530.11","58530.11"
"Planning & Development","Confidenl Asst.to Dir.Econ.Dev","35023.9","35023.9"
"Planning & Development","Acting Director P & D","75093.2","75093.2"
"Planning & Development","Admin Asst Planning (Dpd)","39432.58","39432.58"
"Planning & Development","Commercial Lending Officer","55627.19","55627.19"
"Planning & Development","Director-Comprehensive Plan","75097.94","75097.94"
"Planning & Development","Principal Planner","43578.08","58523.92"
"Planning & Development","Fiscal Officer","37476.78","37476.78"
"Planning & Development","Admin Asst Purchasing","42124.44","42124.44"
"Planning & Development","Econ Dev Coord","53905.48","53905.48"
"Plumbing Drainage & Gas","Plumbing Inspector II","45156.02","45156.02"
"Plumbing Drainage & Gas","Chief Plumb Drain & Gas Piping","65343.1","65343.1"
"Plumbing Drainage & Gas","Plumbing Inspector III","55714.75","55714.75"
"Police","Parking Enforcement Officer","30659.20","45694.02"
"Police","Kennel Director","64469.59","64469.59"
"Police","VIn Station Clerk","44733.73","44733.73"
"Police","Auto Equipment Supt","72916.27","72916.27"
"Police","VIn Station Inspector","44733.73","44733.73"
"Police","Animal Control Technician","43014.40","43014.40"
"Police","Sr Animal Control Officer","56168.32","56168.32"
"Police","Secretary/Mounted Command","38253.67","38253.67"
"Police","Ltd Laborer","31320.63","35091.68"
"Police","Deputy Police Chief","112528.65","112528.65"
"Police","Coord. of Public Safety","46477.52","46477.52"
"Police","Customer Service Clerk","37690.37","41424.83"
"Police","Investigative Clerk","44828.6","44833.7"
"Police","Admin. Asst. Confidential","43738.06","43738.06"
"Police","Sr Parking Enforcement Officer","41604.16","41604.16"
"Police","Asst.Public Info Officer","37628.5","37628.5"
"Police","Limited Investigative Clerk","44833.7","44833.7"
"Police","Limited Clerk II","27900.6","27900.6"
"Police","HR/Crime & Info Sys Spec.","60551.4","60551.4"
"Police","Admin Bureau Legal Clerk","46477.52","46477.52"
"Police","Police Chief","127998","127998"
"Police","Police Major","101673","101674.95"
"Police","Police Captain","75543","77623.64"
"Police","Police Lieutenant","70174.64","74076.60"
"Police","Police Sergeant","58971.9","69948.45"
"Police","Police Person","51405.9","61475.7"
"Police","Detention Officer","47487.02","47487.44"
"Police","Animal Control Officer","54818.61","54818.61"
"Police","Stable Supervsr-Mounted Police","47888.88","47888.88"
"Police","Animal Handler-Mounted Police","32124.56","37793.59"
"Police","Laborer","35091.68","35091.68"
"Probate Court","Judge  Probate Court","54314.99","54314.99"
"Probate Court","Clerk - Probate Court","42887.75","42887.75"
"Probate Court","Court Clerk/Bilingual","40609.66","40609.66"
"Probate Court","Deputy Clerk  Probate Court","51267.58","51267.58"
"Probate Court","Court Clerk","39804.86","39804.86"
"Prosecution","Legal Secretary","43835.43","43835.43"
"Prosecution","Lead Court Legal Sec. LTD","34951.27","34951.27"
"Prosecution","Prosecution Coordinator","56055.09","56055.09"
"Providence/Cranston Workforce","Project Coordinator","59159.65","59159.65"
"Providence/Cranston Workforce","Jtpa Secretary/Clerk","42495.55","42495.55"
"Providence/Cranston Workforce","Dislocated Wrkr/Monitor Chief","16667.38","16667.38"
"Providence/Cranston Workforce","Internal Auditor","64105.85","64105.85"
"Providence/Cranston Workforce","Job Developer","9865.86","9865.86"
"Providence/Cranston Workforce","Prog. Mgr./Workforce Solutions","72238.35","72238.35"
"Providence/Cranston Workforce","Statewide Youth CTR. Mgr.","56048.36","56048.36"
"Providence/Cranston Workforce","Asst.Account Officer","49554.95","49554.95"
"Providence/Cranston Workforce","Dir. of Operations/WFS","79049.14","79049.14"
"Providence/Cranston Workforce","Dir. of Administration/WFS","79049.16","79049.16"
"Providence/Cranston Workforce","Administrator","100257.04","100257.04"
"Providence/Cranston Workforce","Career & Employment Counselor","50233.82","58258.2"
"Providence/Cranston Workforce","Program Assist","41615.57","41615.57"
"Public Property Administration","Purchasing Agent II","44317","44319"
"Public Property Administration","Laborer/Custodian","29827.20","35091.68"
"Public Property Administration","Fleet Manager","76059.25","76059.25"
"Public Property Administration","Clerk IV","31542.6","31542.6"
"Public Property Administration","Purchasing Agent III","53905.67","53905.67"
"Public Property Administration","Limited Laborer/Custodian","35091.68","35091.68"
"Public Property Administration","Supv.Purchasing/MBE/WBE Coord.","68697.17","68697.17"
"Public Property Administration","Sustainability Director","73999.56","73999.56"
"Public Property Administration","Energy Manager","62423.5","93354.8"
"Public Property Administration","Mail Room Clerk","38981.49","38981.49"
"Public Property Administration","Coordinator/Public Property","61433.19","61433.19"
"Public Property Administration","Laborer","35093.33","35093.33"
"Public Property Administration","Foreman","48713.59","48713.59"
"Public Property Administration","Stationary Equip Operator","36157.26","36157.26"
"Public Property Administration","Electrician Public Property","82804.80","82804.80"
"Public Property Administration","Admin Asst-Pub Property","61159.46","61159.46"
"Public Property Administration","Maint. Man III (Pools & Rec.)","51308.82","51308.82"
"Recorder of Deeds","Land Records Clerk","35551.33","35551.33"
"Recorder of Deeds","Sr Land Records Clerk","41418.1","41418.1"
"Recorder of Deeds","Clerk II","27667.09","27667.09"
"Retirement","Sr Ret Div Clerk","54045.26","54045.26"
"Retirement","Pension Administrator","68131.88","68131.88"
"Retirement","Clerk IV","31542.6","31542.6"
"Roger Williams Park Services","Limited Security Officer","40851.41","40851.41"
"Roger Williams Park Services","Planetarium Programmer","34104.07","34104.07"
"Roger Williams Park Services","Clerk IV","33540.95","33540.95"
"Roger Williams Park Services","Director of RW Park Services","76558.14","76558.14"
"Roger Williams Park Services","Mgr. of Events Facilities","62153.73","62153.73"
"Roger Williams Park Services","Security Officer","40851.41","47060.83"
"Roger Williams Park Services","Curator  Museum","48351.58","48351.58"
"Roger Williams Park Services","Equip Operator","32631.25","38401.79"
