"numdays","quarter","count","offensetype"
"8 to 15","2014-08-01T00:00:00.000","190","Misdemeanor"
"16 to 30","2014-08-01T00:00:00.000","103","Misdemeanor"
"31 to 60","2014-08-01T00:00:00.000","72","Misdemeanor"
"61 to 90","2014-08-01T00:00:00.000","13","Misdemeanor"
"91 to 180","2014-08-01T00:00:00.000","10","Misdemeanor"
"0 to 1","2014-09-01T00:00:00.000","381","Misdemeanor"
"2 to 7","2014-09-01T00:00:00.000","308","Misdemeanor"
"8 to 15","2014-09-01T00:00:00.000","135","Misdemeanor"
"16 to 30","2014-09-01T00:00:00.000","96","Misdemeanor"
"31 to 60","2014-09-01T00:00:00.000","51","Misdemeanor"
"61 to 90","2014-09-01T00:00:00.000","25","Misdemeanor"
"91 to 180","2014-09-01T00:00:00.000","6","Misdemeanor"
"0 to 1","2014-10-01T00:00:00.000","351","Misdemeanor"
"2 to 7","2014-10-01T00:00:00.000","318","Misdemeanor"
"8 to 15","2014-10-01T00:00:00.000","199","Misdemeanor"
"16 to 30","2014-10-01T00:00:00.000","110","Misdemeanor"
"31 to 60","2014-10-01T00:00:00.000","65","Misdemeanor"
"61 to 90","2014-10-01T00:00:00.000","13","Misdemeanor"
"91 to 180","2014-10-01T00:00:00.000","8","Misdemeanor"
"0 to 1","2014-11-01T00:00:00.000","253","Misdemeanor"
"2 to 7","2014-11-01T00:00:00.000","296","Misdemeanor"
"8 to 15","2014-11-01T00:00:00.000","132","Misdemeanor"
"16 to 30","2014-11-01T00:00:00.000","67","Misdemeanor"
"31 to 60","2014-11-01T00:00:00.000","41","Misdemeanor"
"61 to 90","2014-11-01T00:00:00.000","11","Misdemeanor"
"91 to 180","2014-11-01T00:00:00.000","10","Misdemeanor"
"0 to 1","2014-12-01T00:00:00.000","360","Misdemeanor"
"2 to 7","2014-12-01T00:00:00.000","274","Misdemeanor"
"8 to 15","2014-12-01T00:00:00.000","113","Misdemeanor"
"16 to 30","2014-12-01T00:00:00.000","90","Misdemeanor"
"31 to 60","2014-12-01T00:00:00.000","38","Misdemeanor"
"61 to 90","2014-12-01T00:00:00.000","8","Misdemeanor"
"91 to 180","2014-12-01T00:00:00.000","7","Misdemeanor"
"0 to 1","2015-01-01T00:00:00.000","375","Misdemeanor"
"2 to 7","2015-01-01T00:00:00.000","279","Misdemeanor"
"8 to 15","2015-01-01T00:00:00.000","131","Misdemeanor"
"16 to 30","2015-01-01T00:00:00.000","61","Misdemeanor"
"31 to 60","2015-01-01T00:00:00.000","33","Misdemeanor"
"61 to 90","2015-01-01T00:00:00.000","8","Misdemeanor"
"91 to 180","2015-01-01T00:00:00.000","15","Misdemeanor"
"0 to 1","2015-02-01T00:00:00.000","280","Misdemeanor"
"2 to 7","2015-02-01T00:00:00.000","269","Misdemeanor"
"8 to 15","2015-02-01T00:00:00.000","92","Misdemeanor"
"16 to 30","2015-02-01T00:00:00.000","61","Misdemeanor"
"31 to 60","2015-02-01T00:00:00.000","28","Misdemeanor"
"61 to 90","2015-02-01T00:00:00.000","10","Misdemeanor"
"91 to 180","2015-02-01T00:00:00.000","8","Misdemeanor"
"0 to 1","2015-03-01T00:00:00.000","366","Misdemeanor"
"2 to 7","2015-03-01T00:00:00.000","292","Misdemeanor"
"8 to 15","2015-03-01T00:00:00.000","90","Misdemeanor"
"16 to 30","2015-03-01T00:00:00.000","71","Misdemeanor"
"31 to 60","2015-03-01T00:00:00.000","23","Misdemeanor"
"61 to 90","2015-03-01T00:00:00.000","8","Misdemeanor"
"91 to 180","2015-03-01T00:00:00.000","7","Misdemeanor"
"0 to 1","2015-04-01T00:00:00.000","389","Misdemeanor"
"2 to 7","2015-04-01T00:00:00.000","263","Misdemeanor"
"8 to 15","2015-04-01T00:00:00.000","118","Misdemeanor"
"16 to 30","2015-04-01T00:00:00.000","54","Misdemeanor"
"31 to 60","2015-04-01T00:00:00.000","47","Misdemeanor"
"61 to 90","2015-04-01T00:00:00.000","10","Misdemeanor"
"91 to 180","2015-04-01T00:00:00.000","9","Misdemeanor"
"0 to 1","2015-05-01T00:00:00.000","358","Misdemeanor"
"2 to 7","2015-05-01T00:00:00.000","251","Misdemeanor"
"8 to 15","2015-05-01T00:00:00.000","97","Misdemeanor"
"16 to 30","2015-05-01T00:00:00.000","70","Misdemeanor"
"31 to 60","2015-05-01T00:00:00.000","45","Misdemeanor"
"61 to 90","2015-05-01T00:00:00.000","8","Misdemeanor"
"91 to 180","2015-05-01T00:00:00.000","4","Misdemeanor"
"0 to 1","2015-06-01T00:00:00.000","351","Misdemeanor"
"2 to 7","2015-06-01T00:00:00.000","245","Misdemeanor"
"8 to 15","2015-06-01T00:00:00.000","115","Misdemeanor"
"16 to 30","2015-06-01T00:00:00.000","56","Misdemeanor"
"31 to 60","2015-06-01T00:00:00.000","32","Misdemeanor"
"61 to 90","2015-06-01T00:00:00.000","7","Misdemeanor"
"91 to 180","2015-06-01T00:00:00.000","12","Misdemeanor"
"0 to 1","2015-07-01T00:00:00.000","407","Misdemeanor"
"2 to 7","2015-07-01T00:00:00.000","258","Misdemeanor"
"8 to 15","2015-07-01T00:00:00.000","129","Misdemeanor"
"16 to 30","2015-07-01T00:00:00.000","76","Misdemeanor"
"31 to 60","2015-07-01T00:00:00.000","38","Misdemeanor"
"61 to 90","2015-07-01T00:00:00.000","6","Misdemeanor"
"91 to 180","2015-07-01T00:00:00.000","4","Misdemeanor"
"0 to 1","2015-08-01T00:00:00.000","434","Misdemeanor"
"2 to 7","2015-08-01T00:00:00.000","277","Misdemeanor"
"8 to 15","2015-08-01T00:00:00.000","108","Misdemeanor"
"16 to 30","2015-08-01T00:00:00.000","72","Misdemeanor"
"31 to 60","2015-08-01T00:00:00.000","35","Misdemeanor"
"61 to 90","2015-08-01T00:00:00.000","7","Misdemeanor"
"91 to 180","2015-08-01T00:00:00.000","5","Misdemeanor"
"0 to 1","2015-09-01T00:00:00.000","356","Misdemeanor"
"2 to 7","2015-09-01T00:00:00.000","280","Misdemeanor"
"8 to 15","2015-09-01T00:00:00.000","127","Misdemeanor"
"16 to 30","2015-09-01T00:00:00.000","56","Misdemeanor"
"31 to 60","2015-09-01T00:00:00.000","31","Misdemeanor"
"61 to 90","2015-09-01T00:00:00.000","8","Misdemeanor"
"91 to 180","2015-09-01T00:00:00.000","8","Misdemeanor"
"0 to 1","2015-10-01T00:00:00.000","378","Misdemeanor"
"2 to 7","2015-10-01T00:00:00.000","253","Misdemeanor"
"8 to 15","2015-10-01T00:00:00.000","115","Misdemeanor"
"16 to 30","2015-10-01T00:00:00.000","59","Misdemeanor"
"31 to 60","2015-10-01T00:00:00.000","38","Misdemeanor"
"61 to 90","2015-10-01T00:00:00.000","14","Misdemeanor"
"91 to 180","2015-10-01T00:00:00.000","8","Misdemeanor"
"0 to 1","2015-11-01T00:00:00.000","317","Misdemeanor"
"2 to 7","2015-11-01T00:00:00.000","207","Misdemeanor"
"8 to 15","2015-11-01T00:00:00.000","95","Misdemeanor"
"16 to 30","2015-11-01T00:00:00.000","55","Misdemeanor"
"31 to 60","2015-11-01T00:00:00.000","21","Misdemeanor"
"61 to 90","2015-11-01T00:00:00.000","10","Misdemeanor"
"91 to 180","2015-11-01T00:00:00.000","12","Misdemeanor"
"0 to 1","2015-12-01T00:00:00.000","340","Misdemeanor"
"2 to 7","2015-12-01T00:00:00.000","238","Misdemeanor"
"8 to 15","2015-12-01T00:00:00.000","85","Misdemeanor"
"16 to 30","2015-12-01T00:00:00.000","54","Misdemeanor"
"31 to 60","2015-12-01T00:00:00.000","36","Misdemeanor"
"61 to 90","2015-12-01T00:00:00.000","8","Misdemeanor"
"91 to 180","2015-12-01T00:00:00.000","6","Misdemeanor"
"0 to 1","2016-01-01T00:00:00.000","369","Misdemeanor"
"2 to 7","2016-01-01T00:00:00.000","220","Misdemeanor"
"8 to 15","2016-01-01T00:00:00.000","86","Misdemeanor"
"16 to 30","2016-01-01T00:00:00.000","64","Misdemeanor"
"31 to 60","2016-01-01T00:00:00.000","27","Misdemeanor"
"61 to 90","2016-01-01T00:00:00.000","6","Misdemeanor"
"91 to 180","2016-01-01T00:00:00.000","8","Misdemeanor"
"0 to 1","2016-02-01T00:00:00.000","389","Misdemeanor"
"2 to 7","2016-02-01T00:00:00.000","242","Misdemeanor"
"8 to 15","2016-02-01T00:00:00.000","99","Misdemeanor"
"16 to 30","2016-02-01T00:00:00.000","60","Misdemeanor"
"31 to 60","2016-02-01T00:00:00.000","35","Misdemeanor"
"61 to 90","2016-02-01T00:00:00.000","6","Misdemeanor"
"91 to 180","2016-02-01T00:00:00.000","4","Misdemeanor"
"0 to 1","2016-03-01T00:00:00.000","364","Misdemeanor"
"2 to 7","2016-03-01T00:00:00.000","270","Misdemeanor"
"8 to 15","2016-03-01T00:00:00.000","92","Misdemeanor"
"16 to 30","2016-03-01T00:00:00.000","51","Misdemeanor"
"31 to 60","2016-03-01T00:00:00.000","19","Misdemeanor"
"61 to 90","2016-03-01T00:00:00.000","10","Misdemeanor"
"91 to 180","2016-03-01T00:00:00.000","10","Misdemeanor"
"0 to 1","2016-04-01T00:00:00.000","348","Misdemeanor"
"2 to 7","2016-04-01T00:00:00.000","232","Misdemeanor"
"8 to 15","2016-04-01T00:00:00.000","95","Misdemeanor"
"16 to 30","2016-04-01T00:00:00.000","59","Misdemeanor"
"31 to 60","2016-04-01T00:00:00.000","22","Misdemeanor"
"61 to 90","2016-04-01T00:00:00.000","11","Misdemeanor"
"91 to 180","2016-04-01T00:00:00.000","1","Misdemeanor"
"0 to 1","2016-05-01T00:00:00.000","348","Misdemeanor"
"2 to 7","2016-05-01T00:00:00.000","247","Misdemeanor"
"8 to 15","2016-05-01T00:00:00.000","73","Misdemeanor"
"16 to 30","2016-05-01T00:00:00.000","58","Misdemeanor"
"31 to 60","2016-05-01T00:00:00.000","18","Misdemeanor"
"61 to 90","2016-05-01T00:00:00.000","2","Misdemeanor"
"91 to 180","2016-05-01T00:00:00.000","6","Misdemeanor"
"0 to 1","2016-06-01T00:00:00.000","369","Misdemeanor"
"2 to 7","2016-06-01T00:00:00.000","239","Misdemeanor"
"8 to 15","2016-06-01T00:00:00.000","115","Misdemeanor"
"16 to 30","2016-06-01T00:00:00.000","57","Misdemeanor"
"31 to 60","2016-06-01T00:00:00.000","32","Misdemeanor"
"61 to 90","2016-06-01T00:00:00.000","6","Misdemeanor"
"91 to 180","2016-06-01T00:00:00.000","4","Misdemeanor"
"0 to 1","2016-07-01T00:00:00.000","322","Misdemeanor"
"2 to 7","2016-07-01T00:00:00.000","236","Misdemeanor"
"8 to 15","2016-07-01T00:00:00.000","106","Misdemeanor"
"16 to 30","2016-07-01T00:00:00.000","59","Misdemeanor"
"31 to 60","2016-07-01T00:00:00.000","27","Misdemeanor"
"61 to 90","2016-07-01T00:00:00.000","9","Misdemeanor"
"91 to 180","2016-07-01T00:00:00.000","6","Misdemeanor"
"0 to 1","2016-08-01T00:00:00.000","364","Misdemeanor"
"2 to 7","2016-08-01T00:00:00.000","285","Misdemeanor"
"8 to 15","2016-08-01T00:00:00.000","103","Misdemeanor"
"16 to 30","2016-08-01T00:00:00.000","81","Misdemeanor"
"31 to 60","2016-08-01T00:00:00.000","31","Misdemeanor"
"61 to 90","2016-08-01T00:00:00.000","6","Misdemeanor"
"91 to 180","2016-08-01T00:00:00.000","4","Misdemeanor"
"0 to 1","2016-09-01T00:00:00.000","383","Misdemeanor"
"2 to 7","2016-09-01T00:00:00.000","255","Misdemeanor"
"8 to 15","2016-09-01T00:00:00.000","136","Misdemeanor"
"16 to 30","2016-09-01T00:00:00.000","58","Misdemeanor"
"31 to 60","2016-09-01T00:00:00.000","33","Misdemeanor"
"61 to 90","2016-09-01T00:00:00.000","4","Misdemeanor"
"91 to 180","2016-09-01T00:00:00.000","8","Misdemeanor"
"0 to 1","2016-10-01T00:00:00.000","348","Misdemeanor"
"2 to 7","2016-10-01T00:00:00.000","211","Misdemeanor"
"8 to 15","2016-10-01T00:00:00.000","104","Misdemeanor"
"16 to 30","2016-10-01T00:00:00.000","73","Misdemeanor"
"31 to 60","2016-10-01T00:00:00.000","28","Misdemeanor"
"61 to 90","2016-10-01T00:00:00.000","13","Misdemeanor"
"91 to 180","2016-10-01T00:00:00.000","7","Misdemeanor"
"0 to 1","2016-11-01T00:00:00.000","335","Misdemeanor"
"2 to 7","2016-11-01T00:00:00.000","191","Misdemeanor"
"8 to 15","2016-11-01T00:00:00.000","103","Misdemeanor"
"16 to 30","2016-11-01T00:00:00.000","65","Misdemeanor"
"31 to 60","2016-11-01T00:00:00.000","30","Misdemeanor"
"61 to 90","2016-11-01T00:00:00.000","10","Misdemeanor"
"91 to 180","2016-11-01T00:00:00.000","15","Misdemeanor"
"0 to 1","2016-12-01T00:00:00.000","361","Misdemeanor"
"2 to 7","2016-12-01T00:00:00.000","242","Misdemeanor"
"8 to 15","2016-12-01T00:00:00.000","93","Misdemeanor"
"16 to 30","2016-12-01T00:00:00.000","81","Misdemeanor"
"31 to 60","2016-12-01T00:00:00.000","42","Misdemeanor"
"61 to 90","2016-12-01T00:00:00.000","10","Misdemeanor"
"91 to 180","2016-12-01T00:00:00.000","10","Misdemeanor"
"0 to 1","2017-01-01T00:00:00.000","447","Misdemeanor"
"2 to 7","2017-01-01T00:00:00.000","212","Misdemeanor"
"8 to 15","2017-01-01T00:00:00.000","94","Misdemeanor"
"16 to 30","2017-01-01T00:00:00.000","85","Misdemeanor"
"31 to 60","2017-01-01T00:00:00.000","28","Misdemeanor"
"61 to 90","2017-01-01T00:00:00.000","8","Misdemeanor"
"91 to 180","2017-01-01T00:00:00.000","10","Misdemeanor"
"0 to 1","2017-02-01T00:00:00.000","325","Misdemeanor"
"2 to 7","2017-02-01T00:00:00.000","224","Misdemeanor"
"8 to 15","2017-02-01T00:00:00.000","107","Misdemeanor"
"16 to 30","2017-02-01T00:00:00.000","99","Misdemeanor"
"31 to 60","2017-02-01T00:00:00.000","32","Misdemeanor"
"61 to 90","2017-02-01T00:00:00.000","8","Misdemeanor"
"91 to 180","2017-02-01T00:00:00.000","10","Misdemeanor"
"0 to 1","2017-03-01T00:00:00.000","414","Misdemeanor"
"2 to 7","2017-03-01T00:00:00.000","252","Misdemeanor"
"8 to 15","2017-03-01T00:00:00.000","114","Misdemeanor"
"16 to 30","2017-03-01T00:00:00.000","95","Misdemeanor"
"31 to 60","2017-03-01T00:00:00.000","43","Misdemeanor"
"61 to 90","2017-03-01T00:00:00.000","7","Misdemeanor"
"91 to 180","2017-03-01T00:00:00.000","10","Misdemeanor"
"0 to 1","2017-04-01T00:00:00.000","406","Misdemeanor"
"2 to 7","2017-04-01T00:00:00.000","229","Misdemeanor"
"8 to 15","2017-04-01T00:00:00.000","120","Misdemeanor"
"16 to 30","2017-04-01T00:00:00.000","116","Misdemeanor"
"31 to 60","2017-04-01T00:00:00.000","41","Misdemeanor"
"61 to 90","2017-04-01T00:00:00.000","13","Misdemeanor"
"91 to 180","2017-04-01T00:00:00.000","9","Misdemeanor"
"0 to 1","2017-05-01T00:00:00.000","382","Misdemeanor"
"2 to 7","2017-05-01T00:00:00.000","235","Misdemeanor"
"8 to 15","2017-05-01T00:00:00.000","123","Misdemeanor"
"16 to 30","2017-05-01T00:00:00.000","129","Misdemeanor"
"31 to 60","2017-05-01T00:00:00.000","39","Misdemeanor"
"61 to 90","2017-05-01T00:00:00.000","10","Misdemeanor"
"91 to 180","2017-05-01T00:00:00.000","8","Misdemeanor"
"0 to 1","2017-06-01T00:00:00.000","370","Misdemeanor"
"2 to 7","2017-06-01T00:00:00.000","213","Misdemeanor"
"8 to 15","2017-06-01T00:00:00.000","147","Misdemeanor"
"16 to 30","2017-06-01T00:00:00.000","123","Misdemeanor"
"31 to 60","2017-06-01T00:00:00.000","59","Misdemeanor"
"61 to 90","2017-06-01T00:00:00.000","12","Misdemeanor"
"91 to 180","2017-06-01T00:00:00.000","6","Misdemeanor"
"0 to 1","2017-07-01T00:00:00.000","371","Misdemeanor"
"2 to 7","2017-07-01T00:00:00.000","235","Misdemeanor"
"8 to 15","2017-07-01T00:00:00.000","108","Misdemeanor"
"16 to 30","2017-07-01T00:00:00.000","102","Misdemeanor"
"31 to 60","2017-07-01T00:00:00.000","38","Misdemeanor"
"61 to 90","2017-07-01T00:00:00.000","7","Misdemeanor"
"91 to 180","2017-07-01T00:00:00.000","6","Misdemeanor"
"0 to 1","2017-08-01T00:00:00.000","426","Misdemeanor"
"2 to 7","2017-08-01T00:00:00.000","272","Misdemeanor"
"8 to 15","2017-08-01T00:00:00.000","140","Misdemeanor"
"16 to 30","2017-08-01T00:00:00.000","92","Misdemeanor"
"31 to 60","2017-08-01T00:00:00.000","41","Misdemeanor"
"61 to 90","2017-08-01T00:00:00.000","13","Misdemeanor"
"91 to 180","2017-08-01T00:00:00.000","6","Misdemeanor"
"0 to 1","2017-09-01T00:00:00.000","375","Misdemeanor"
"2 to 7","2017-09-01T00:00:00.000","238","Misdemeanor"
"8 to 15","2017-09-01T00:00:00.000","98","Misdemeanor"
"16 to 30","2017-09-01T00:00:00.000","86","Misdemeanor"
"31 to 60","2017-09-01T00:00:00.000","41","Misdemeanor"
"61 to 90","2017-09-01T00:00:00.000","10","Misdemeanor"
"91 to 180","2017-09-01T00:00:00.000","6","Misdemeanor"
"0 to 1","2017-10-01T00:00:00.000","434","Misdemeanor"
"2 to 7","2017-10-01T00:00:00.000","254","Misdemeanor"
"8 to 15","2017-10-01T00:00:00.000","120","Misdemeanor"
"16 to 30","2017-10-01T00:00:00.000","68","Misdemeanor"
"31 to 60","2017-10-01T00:00:00.000","36","Misdemeanor"
"61 to 90","2017-10-01T00:00:00.000","6","Misdemeanor"
"91 to 180","2017-10-01T00:00:00.000","9","Misdemeanor"
"0 to 1","2017-11-01T00:00:00.000","401","Misdemeanor"
"2 to 7","2017-11-01T00:00:00.000","246","Misdemeanor"
"8 to 15","2017-11-01T00:00:00.000","140","Misdemeanor"
"16 to 30","2017-11-01T00:00:00.000","58","Misdemeanor"
"31 to 60","2017-11-01T00:00:00.000","35","Misdemeanor"
"61 to 90","2017-11-01T00:00:00.000","8","Misdemeanor"
"91 to 180","2017-11-01T00:00:00.000","10","Misdemeanor"
"0 to 1","2017-12-01T00:00:00.000","435","Misdemeanor"
"2 to 7","2017-12-01T00:00:00.000","295","Misdemeanor"
"8 to 15","2017-12-01T00:00:00.000","83","Misdemeanor"
"16 to 30","2017-12-01T00:00:00.000","61","Misdemeanor"
"31 to 60","2017-12-01T00:00:00.000","28","Misdemeanor"
"61 to 90","2017-12-01T00:00:00.000","1","Misdemeanor"
"91 to 180","2017-12-01T00:00:00.000","10","Misdemeanor"
"0 to 1","2018-01-01T00:00:00.000","427","Misdemeanor"
"2 to 7","2018-01-01T00:00:00.000","231","Misdemeanor"
"8 to 15","2018-01-01T00:00:00.000","88","Misdemeanor"
"16 to 30","2018-01-01T00:00:00.000","59","Misdemeanor"
"31 to 60","2018-01-01T00:00:00.000","32","Misdemeanor"
"61 to 90","2018-01-01T00:00:00.000","11","Misdemeanor"
"91 to 180","2018-01-01T00:00:00.000","6","Misdemeanor"
"0 to 1","2018-02-01T00:00:00.000","461","Misdemeanor"
"2 to 7","2018-02-01T00:00:00.000","218","Misdemeanor"
"8 to 15","2018-02-01T00:00:00.000","95","Misdemeanor"
"16 to 30","2018-02-01T00:00:00.000","53","Misdemeanor"
"31 to 60","2018-02-01T00:00:00.000","22","Misdemeanor"
"61 to 90","2018-02-01T00:00:00.000","12","Misdemeanor"
"91 to 180","2018-02-01T00:00:00.000","7","Misdemeanor"
"0 to 1","2018-03-01T00:00:00.000","550","Misdemeanor"
"2 to 7","2018-03-01T00:00:00.000","235","Misdemeanor"
"8 to 15","2018-03-01T00:00:00.000","80","Misdemeanor"
"16 to 30","2018-03-01T00:00:00.000","52","Misdemeanor"
"31 to 60","2018-03-01T00:00:00.000","34","Misdemeanor"
"61 to 90","2018-03-01T00:00:00.000","8","Misdemeanor"
"91 to 180","2018-03-01T00:00:00.000","8","Misdemeanor"
"0 to 1","2018-04-01T00:00:00.000","474","Misdemeanor"
"2 to 7","2018-04-01T00:00:00.000","197","Misdemeanor"
"8 to 15","2018-04-01T00:00:00.000","60","Misdemeanor"
"16 to 30","2018-04-01T00:00:00.000","48","Misdemeanor"
"31 to 60","2018-04-01T00:00:00.000","31","Misdemeanor"
"61 to 90","2018-04-01T00:00:00.000","7","Misdemeanor"
"91 to 180","2018-04-01T00:00:00.000","5","Misdemeanor"
"0 to 1","2018-05-01T00:00:00.000","499","Misdemeanor"
"2 to 7","2018-05-01T00:00:00.000","238","Misdemeanor"
"8 to 15","2018-05-01T00:00:00.000","75","Misdemeanor"
"16 to 30","2018-05-01T00:00:00.000","44","Misdemeanor"
"31 to 60","2018-05-01T00:00:00.000","32","Misdemeanor"
"61 to 90","2018-05-01T00:00:00.000","5","Misdemeanor"
"91 to 180","2018-05-01T00:00:00.000","9","Misdemeanor"
"0 to 1","2018-06-01T00:00:00.000","461","Misdemeanor"
"2 to 7","2018-06-01T00:00:00.000","211","Misdemeanor"
"8 to 15","2018-06-01T00:00:00.000","88","Misdemeanor"
"16 to 30","2018-06-01T00:00:00.000","53","Misdemeanor"
"31 to 60","2018-06-01T00:00:00.000","30","Misdemeanor"
"61 to 90","2018-06-01T00:00:00.000","2","Misdemeanor"
"91 to 180","2018-06-01T00:00:00.000","6","Misdemeanor"
"0 to 1","2018-07-01T00:00:00.000","443","Misdemeanor"
"2 to 7","2018-07-01T00:00:00.000","214","Misdemeanor"
"8 to 15","2018-07-01T00:00:00.000","55","Misdemeanor"
"16 to 30","2018-07-01T00:00:00.000","50","Misdemeanor"
"31 to 60","2018-07-01T00:00:00.000","31","Misdemeanor"
"61 to 90","2018-07-01T00:00:00.000","4","Misdemeanor"
"91 to 180","2018-07-01T00:00:00.000","3","Misdemeanor"
"0 to 1","2018-08-01T00:00:00.000","466","Misdemeanor"
"2 to 7","2018-08-01T00:00:00.000","227","Misdemeanor"
"8 to 15","2018-08-01T00:00:00.000","53","Misdemeanor"
"16 to 30","2018-08-01T00:00:00.000","68","Misdemeanor"
"31 to 60","2018-08-01T00:00:00.000","31","Misdemeanor"
"61 to 90","2018-08-01T00:00:00.000","8","Misdemeanor"
"91 to 180","2018-08-01T00:00:00.000","8","Misdemeanor"
"0 to 1","2018-09-01T00:00:00.000","383","Misdemeanor"
"2 to 7","2018-09-01T00:00:00.000","207","Misdemeanor"
"8 to 15","2018-09-01T00:00:00.000","60","Misdemeanor"
"16 to 30","2018-09-01T00:00:00.000","68","Misdemeanor"
"31 to 60","2018-09-01T00:00:00.000","26","Misdemeanor"
"61 to 90","2018-09-01T00:00:00.000","6","Misdemeanor"
"91 to 180","2018-09-01T00:00:00.000","5","Misdemeanor"
"0 to 1","2018-10-01T00:00:00.000","421","Misdemeanor"
"2 to 7","2018-10-01T00:00:00.000","215","Misdemeanor"
"8 to 15","2018-10-01T00:00:00.000","65","Misdemeanor"
"16 to 30","2018-10-01T00:00:00.000","52","Misdemeanor"
"31 to 60","2018-10-01T00:00:00.000","38","Misdemeanor"
"61 to 90","2018-10-01T00:00:00.000","7","Misdemeanor"
"91 to 180","2018-10-01T00:00:00.000","10","Misdemeanor"
"0 to 1","2018-11-01T00:00:00.000","404","Misdemeanor"
"2 to 7","2018-11-01T00:00:00.000","208","Misdemeanor"
"8 to 15","2018-11-01T00:00:00.000","62","Misdemeanor"
"16 to 30","2018-11-01T00:00:00.000","52","Misdemeanor"
"31 to 60","2018-11-01T00:00:00.000","25","Misdemeanor"
"61 to 90","2018-11-01T00:00:00.000","8","Misdemeanor"
"91 to 180","2018-11-01T00:00:00.000","13","Misdemeanor"
"0 to 1","2018-12-01T00:00:00.000","365","Misdemeanor"
"2 to 7","2018-12-01T00:00:00.000","193","Misdemeanor"
"8 to 15","2018-12-01T00:00:00.000","54","Misdemeanor"
"16 to 30","2018-12-01T00:00:00.000","42","Misdemeanor"
"31 to 60","2018-12-01T00:00:00.000","14","Misdemeanor"
"61 to 90","2018-12-01T00:00:00.000","8","Misdemeanor"
"91 to 180","2018-12-01T00:00:00.000","11","Misdemeanor"
"0 to 1","2019-01-01T00:00:00.000","407","Misdemeanor"
"2 to 7","2019-01-01T00:00:00.000","218","Misdemeanor"
"8 to 15","2019-01-01T00:00:00.000","61","Misdemeanor"
