"numdays","quarter","count","offensetype"
"0 to 1","2015-01-01T00:00:00.000","142","Felony"
"2 to 7","2015-01-01T00:00:00.000","289","Felony"
"8 to 15","2015-01-01T00:00:00.000","116","Felony"
"16 to 30","2015-01-01T00:00:00.000","129","Felony"
"31 to 60","2015-01-01T00:00:00.000","132","Felony"
"61 to 90","2015-01-01T00:00:00.000","78","Felony"
"91 to 180","2015-01-01T00:00:00.000","94","Felony"
"181 to 365","2015-01-01T00:00:00.000","48","Felony"
"Over 365","2015-01-01T00:00:00.000","25","Felony"
"0 to 1","2015-02-01T00:00:00.000","142","Felony"
"2 to 7","2015-02-01T00:00:00.000","296","Felony"
"8 to 15","2015-02-01T00:00:00.000","114","Felony"
"16 to 30","2015-02-01T00:00:00.000","132","Felony"
"31 to 60","2015-02-01T00:00:00.000","119","Felony"
"61 to 90","2015-02-01T00:00:00.000","67","Felony"
"91 to 180","2015-02-01T00:00:00.000","114","Felony"
"181 to 365","2015-02-01T00:00:00.000","70","Felony"
"Over 365","2015-02-01T00:00:00.000","30","Felony"
"0 to 1","2015-03-01T00:00:00.000","168","Felony"
"2 to 7","2015-03-01T00:00:00.000","315","Felony"
"8 to 15","2015-03-01T00:00:00.000","110","Felony"
"16 to 30","2015-03-01T00:00:00.000","134","Felony"
"31 to 60","2015-03-01T00:00:00.000","131","Felony"
"61 to 90","2015-03-01T00:00:00.000","67","Felony"
"91 to 180","2015-03-01T00:00:00.000","127","Felony"
"181 to 365","2015-03-01T00:00:00.000","53","Felony"
"Over 365","2015-03-01T00:00:00.000","30","Felony"
"0 to 1","2015-04-01T00:00:00.000","176","Felony"
"2 to 7","2015-04-01T00:00:00.000","286","Felony"
"8 to 15","2015-04-01T00:00:00.000","119","Felony"
"16 to 30","2015-04-01T00:00:00.000","164","Felony"
"31 to 60","2015-04-01T00:00:00.000","165","Felony"
"61 to 90","2015-04-01T00:00:00.000","84","Felony"
"91 to 180","2015-04-01T00:00:00.000","92","Felony"
"181 to 365","2015-04-01T00:00:00.000","75","Felony"
"Over 365","2015-04-01T00:00:00.000","40","Felony"
"0 to 1","2015-05-01T00:00:00.000","164","Felony"
"2 to 7","2015-05-01T00:00:00.000","283","Felony"
"8 to 15","2015-05-01T00:00:00.000","88","Felony"
"16 to 30","2015-05-01T00:00:00.000","110","Felony"
"31 to 60","2015-05-01T00:00:00.000","130","Felony"
"61 to 90","2015-05-01T00:00:00.000","74","Felony"
"91 to 180","2015-05-01T00:00:00.000","99","Felony"
"181 to 365","2015-05-01T00:00:00.000","55","Felony"
"Over 365","2015-05-01T00:00:00.000","27","Felony"
"0 to 1","2015-06-01T00:00:00.000","179","Felony"
"2 to 7","2015-06-01T00:00:00.000","319","Felony"
"8 to 15","2015-06-01T00:00:00.000","82","Felony"
"16 to 30","2015-06-01T00:00:00.000","109","Felony"
"31 to 60","2015-06-01T00:00:00.000","153","Felony"
"61 to 90","2015-06-01T00:00:00.000","86","Felony"
"91 to 180","2015-06-01T00:00:00.000","93","Felony"
"181 to 365","2015-06-01T00:00:00.000","72","Felony"
"Over 365","2015-06-01T00:00:00.000","40","Felony"
"0 to 1","2015-07-01T00:00:00.000","211","Felony"
"2 to 7","2015-07-01T00:00:00.000","277","Felony"
"8 to 15","2015-07-01T00:00:00.000","107","Felony"
"16 to 30","2015-07-01T00:00:00.000","128","Felony"
"31 to 60","2015-07-01T00:00:00.000","131","Felony"
"61 to 90","2015-07-01T00:00:00.000","71","Felony"
"91 to 180","2015-07-01T00:00:00.000","108","Felony"
"181 to 365","2015-07-01T00:00:00.000","73","Felony"
"Over 365","2015-07-01T00:00:00.000","46","Felony"
"0 to 1","2015-08-01T00:00:00.000","161","Felony"
"2 to 7","2015-08-01T00:00:00.000","236","Felony"
"8 to 15","2015-08-01T00:00:00.000","83","Felony"
"16 to 30","2015-08-01T00:00:00.000","110","Felony"
"31 to 60","2015-08-01T00:00:00.000","153","Felony"
"61 to 90","2015-08-01T00:00:00.000","76","Felony"
"91 to 180","2015-08-01T00:00:00.000","100","Felony"
"181 to 365","2015-08-01T00:00:00.000","81","Felony"
"Over 365","2015-08-01T00:00:00.000","43","Felony"
"0 to 1","2015-09-01T00:00:00.000","170","Felony"
"2 to 7","2015-09-01T00:00:00.000","261","Felony"
"8 to 15","2015-09-01T00:00:00.000","111","Felony"
"16 to 30","2015-09-01T00:00:00.000","116","Felony"
"31 to 60","2015-09-01T00:00:00.000","143","Felony"
"61 to 90","2015-09-01T00:00:00.000","63","Felony"
"91 to 180","2015-09-01T00:00:00.000","91","Felony"
"181 to 365","2015-09-01T00:00:00.000","68","Felony"
"Over 365","2015-09-01T00:00:00.000","32","Felony"
"0 to 1","2015-10-01T00:00:00.000","173","Felony"
"2 to 7","2015-10-01T00:00:00.000","256","Felony"
"8 to 15","2015-10-01T00:00:00.000","113","Felony"
"16 to 30","2015-10-01T00:00:00.000","142","Felony"
"31 to 60","2015-10-01T00:00:00.000","135","Felony"
"61 to 90","2015-10-01T00:00:00.000","64","Felony"
"91 to 180","2015-10-01T00:00:00.000","95","Felony"
"181 to 365","2015-10-01T00:00:00.000","67","Felony"
"Over 365","2015-10-01T00:00:00.000","24","Felony"
"0 to 1","2015-11-01T00:00:00.000","182","Felony"
"2 to 7","2015-11-01T00:00:00.000","223","Felony"
"8 to 15","2015-11-01T00:00:00.000","109","Felony"
"16 to 30","2015-11-01T00:00:00.000","121","Felony"
"31 to 60","2015-11-01T00:00:00.000","105","Felony"
"61 to 90","2015-11-01T00:00:00.000","53","Felony"
"91 to 180","2015-11-01T00:00:00.000","112","Felony"
"181 to 365","2015-11-01T00:00:00.000","50","Felony"
"Over 365","2015-11-01T00:00:00.000","27","Felony"
"0 to 1","2015-12-01T00:00:00.000","152","Felony"
"2 to 7","2015-12-01T00:00:00.000","234","Felony"
"8 to 15","2015-12-01T00:00:00.000","127","Felony"
"16 to 30","2015-12-01T00:00:00.000","145","Felony"
"31 to 60","2015-12-01T00:00:00.000","140","Felony"
"61 to 90","2015-12-01T00:00:00.000","63","Felony"
"91 to 180","2015-12-01T00:00:00.000","87","Felony"
"181 to 365","2015-12-01T00:00:00.000","64","Felony"
"Over 365","2015-12-01T00:00:00.000","40","Felony"
"0 to 1","2016-01-01T00:00:00.000","185","Felony"
"2 to 7","2016-01-01T00:00:00.000","212","Felony"
"8 to 15","2016-01-01T00:00:00.000","92","Felony"
"16 to 30","2016-01-01T00:00:00.000","131","Felony"
"31 to 60","2016-01-01T00:00:00.000","123","Felony"
"61 to 90","2016-01-01T00:00:00.000","70","Felony"
"91 to 180","2016-01-01T00:00:00.000","102","Felony"
"181 to 365","2016-01-01T00:00:00.000","48","Felony"
"Over 365","2016-01-01T00:00:00.000","27","Felony"
"0 to 1","2016-02-01T00:00:00.000","174","Felony"
"2 to 7","2016-02-01T00:00:00.000","250","Felony"
"8 to 15","2016-02-01T00:00:00.000","140","Felony"
"16 to 30","2016-02-01T00:00:00.000","148","Felony"
"31 to 60","2016-02-01T00:00:00.000","121","Felony"
"61 to 90","2016-02-01T00:00:00.000","89","Felony"
"91 to 180","2016-02-01T00:00:00.000","114","Felony"
"181 to 365","2016-02-01T00:00:00.000","70","Felony"
"Over 365","2016-02-01T00:00:00.000","23","Felony"
"0 to 1","2016-03-01T00:00:00.000","215","Felony"
"2 to 7","2016-03-01T00:00:00.000","261","Felony"
"8 to 15","2016-03-01T00:00:00.000","161","Felony"
"16 to 30","2016-03-01T00:00:00.000","133","Felony"
"31 to 60","2016-03-01T00:00:00.000","142","Felony"
"61 to 90","2016-03-01T00:00:00.000","59","Felony"
"91 to 180","2016-03-01T00:00:00.000","107","Felony"
"181 to 365","2016-03-01T00:00:00.000","74","Felony"
"Over 365","2016-03-01T00:00:00.000","34","Felony"
"0 to 1","2016-04-01T00:00:00.000","208","Felony"
"2 to 7","2016-04-01T00:00:00.000","265","Felony"
"8 to 15","2016-04-01T00:00:00.000","132","Felony"
"16 to 30","2016-04-01T00:00:00.000","152","Felony"
"31 to 60","2016-04-01T00:00:00.000","105","Felony"
"61 to 90","2016-04-01T00:00:00.000","51","Felony"
"91 to 180","2016-04-01T00:00:00.000","91","Felony"
"181 to 365","2016-04-01T00:00:00.000","76","Felony"
"Over 365","2016-04-01T00:00:00.000","37","Felony"
"0 to 1","2016-05-01T00:00:00.000","145","Felony"
"2 to 7","2016-05-01T00:00:00.000","277","Felony"
"8 to 15","2016-05-01T00:00:00.000","129","Felony"
"16 to 30","2016-05-01T00:00:00.000","156","Felony"
"31 to 60","2016-05-01T00:00:00.000","150","Felony"
"61 to 90","2016-05-01T00:00:00.000","89","Felony"
"91 to 180","2016-05-01T00:00:00.000","104","Felony"
"181 to 365","2016-05-01T00:00:00.000","105","Felony"
"Over 365","2016-05-01T00:00:00.000","43","Felony"
"0 to 1","2016-06-01T00:00:00.000","192","Felony"
"2 to 7","2016-06-01T00:00:00.000","244","Felony"
"8 to 15","2016-06-01T00:00:00.000","113","Felony"
"16 to 30","2016-06-01T00:00:00.000","141","Felony"
"31 to 60","2016-06-01T00:00:00.000","131","Felony"
"61 to 90","2016-06-01T00:00:00.000","56","Felony"
"91 to 180","2016-06-01T00:00:00.000","104","Felony"
"181 to 365","2016-06-01T00:00:00.000","83","Felony"
"Over 365","2016-06-01T00:00:00.000","48","Felony"
"0 to 1","2016-07-01T00:00:00.000","162","Felony"
"2 to 7","2016-07-01T00:00:00.000","223","Felony"
"8 to 15","2016-07-01T00:00:00.000","131","Felony"
"16 to 30","2016-07-01T00:00:00.000","133","Felony"
"31 to 60","2016-07-01T00:00:00.000","129","Felony"
"61 to 90","2016-07-01T00:00:00.000","67","Felony"
"91 to 180","2016-07-01T00:00:00.000","79","Felony"
"181 to 365","2016-07-01T00:00:00.000","61","Felony"
"Over 365","2016-07-01T00:00:00.000","47","Felony"
"0 to 1","2016-08-01T00:00:00.000","201","Felony"
"2 to 7","2016-08-01T00:00:00.000","265","Felony"
"8 to 15","2016-08-01T00:00:00.000","149","Felony"
"16 to 30","2016-08-01T00:00:00.000","159","Felony"
"31 to 60","2016-08-01T00:00:00.000","144","Felony"
"61 to 90","2016-08-01T00:00:00.000","95","Felony"
"91 to 180","2016-08-01T00:00:00.000","145","Felony"
"181 to 365","2016-08-01T00:00:00.000","71","Felony"
"Over 365","2016-08-01T00:00:00.000","31","Felony"
"0 to 1","2016-09-01T00:00:00.000","165","Felony"
"2 to 7","2016-09-01T00:00:00.000","257","Felony"
"8 to 15","2016-09-01T00:00:00.000","144","Felony"
"16 to 30","2016-09-01T00:00:00.000","166","Felony"
"31 to 60","2016-09-01T00:00:00.000","130","Felony"
"61 to 90","2016-09-01T00:00:00.000","66","Felony"
"91 to 180","2016-09-01T00:00:00.000","108","Felony"
"181 to 365","2016-09-01T00:00:00.000","68","Felony"
"Over 365","2016-09-01T00:00:00.000","39","Felony"
"0 to 1","2016-10-01T00:00:00.000","142","Felony"
"2 to 7","2016-10-01T00:00:00.000","256","Felony"
"8 to 15","2016-10-01T00:00:00.000","137","Felony"
"16 to 30","2016-10-01T00:00:00.000","156","Felony"
"31 to 60","2016-10-01T00:00:00.000","122","Felony"
"61 to 90","2016-10-01T00:00:00.000","68","Felony"
"91 to 180","2016-10-01T00:00:00.000","103","Felony"
"181 to 365","2016-10-01T00:00:00.000","72","Felony"
"Over 365","2016-10-01T00:00:00.000","24","Felony"
"0 to 1","2016-11-01T00:00:00.000","126","Felony"
"2 to 7","2016-11-01T00:00:00.000","210","Felony"
"8 to 15","2016-11-01T00:00:00.000","105","Felony"
"16 to 30","2016-11-01T00:00:00.000","122","Felony"
"31 to 60","2016-11-01T00:00:00.000","145","Felony"
"61 to 90","2016-11-01T00:00:00.000","71","Felony"
"91 to 180","2016-11-01T00:00:00.000","100","Felony"
"181 to 365","2016-11-01T00:00:00.000","54","Felony"
"Over 365","2016-11-01T00:00:00.000","31","Felony"
"0 to 1","2016-12-01T00:00:00.000","137","Felony"
"2 to 7","2016-12-01T00:00:00.000","220","Felony"
"8 to 15","2016-12-01T00:00:00.000","135","Felony"
"16 to 30","2016-12-01T00:00:00.000","174","Felony"
"31 to 60","2016-12-01T00:00:00.000","141","Felony"
"61 to 90","2016-12-01T00:00:00.000","72","Felony"
"91 to 180","2016-12-01T00:00:00.000","113","Felony"
"181 to 365","2016-12-01T00:00:00.000","72","Felony"
"Over 365","2016-12-01T00:00:00.000","22","Felony"
"0 to 1","2017-01-01T00:00:00.000","162","Felony"
"2 to 7","2017-01-01T00:00:00.000","248","Felony"
"8 to 15","2017-01-01T00:00:00.000","106","Felony"
"16 to 30","2017-01-01T00:00:00.000","134","Felony"
"31 to 60","2017-01-01T00:00:00.000","132","Felony"
"61 to 90","2017-01-01T00:00:00.000","60","Felony"
"91 to 180","2017-01-01T00:00:00.000","80","Felony"
"181 to 365","2017-01-01T00:00:00.000","56","Felony"
"Over 365","2017-01-01T00:00:00.000","31","Felony"
"0 to 1","2017-02-01T00:00:00.000","189","Felony"
"2 to 7","2017-02-01T00:00:00.000","266","Felony"
"8 to 15","2017-02-01T00:00:00.000","140","Felony"
"16 to 30","2017-02-01T00:00:00.000","139","Felony"
"31 to 60","2017-02-01T00:00:00.000","103","Felony"
"61 to 90","2017-02-01T00:00:00.000","53","Felony"
"91 to 180","2017-02-01T00:00:00.000","93","Felony"
"181 to 365","2017-02-01T00:00:00.000","58","Felony"
"Over 365","2017-02-01T00:00:00.000","51","Felony"
"0 to 1","2017-03-01T00:00:00.000","221","Felony"
"2 to 7","2017-03-01T00:00:00.000","256","Felony"
"8 to 15","2017-03-01T00:00:00.000","162","Felony"
"16 to 30","2017-03-01T00:00:00.000","195","Felony"
"31 to 60","2017-03-01T00:00:00.000","172","Felony"
"61 to 90","2017-03-01T00:00:00.000","79","Felony"
"91 to 180","2017-03-01T00:00:00.000","84","Felony"
"181 to 365","2017-03-01T00:00:00.000","74","Felony"
"Over 365","2017-03-01T00:00:00.000","40","Felony"
"0 to 1","2017-04-01T00:00:00.000","173","Felony"
"2 to 7","2017-04-01T00:00:00.000","262","Felony"
"8 to 15","2017-04-01T00:00:00.000","127","Felony"
"16 to 30","2017-04-01T00:00:00.000","158","Felony"
"31 to 60","2017-04-01T00:00:00.000","154","Felony"
"61 to 90","2017-04-01T00:00:00.000","77","Felony"
"91 to 180","2017-04-01T00:00:00.000","71","Felony"
"181 to 365","2017-04-01T00:00:00.000","67","Felony"
"Over 365","2017-04-01T00:00:00.000","34","Felony"
"0 to 1","2017-05-01T00:00:00.000","176","Felony"
"2 to 7","2017-05-01T00:00:00.000","244","Felony"
"8 to 15","2017-05-01T00:00:00.000","143","Felony"
"16 to 30","2017-05-01T00:00:00.000","189","Felony"
"31 to 60","2017-05-01T00:00:00.000","147","Felony"
"61 to 90","2017-05-01T00:00:00.000","77","Felony"
"91 to 180","2017-05-01T00:00:00.000","90","Felony"
"181 to 365","2017-05-01T00:00:00.000","62","Felony"
"Over 365","2017-05-01T00:00:00.000","37","Felony"
"0 to 1","2017-06-01T00:00:00.000","165","Felony"
"2 to 7","2017-06-01T00:00:00.000","251","Felony"
"8 to 15","2017-06-01T00:00:00.000","160","Felony"
"16 to 30","2017-06-01T00:00:00.000","195","Felony"
"31 to 60","2017-06-01T00:00:00.000","179","Felony"
"61 to 90","2017-06-01T00:00:00.000","90","Felony"
"91 to 180","2017-06-01T00:00:00.000","119","Felony"
"181 to 365","2017-06-01T00:00:00.000","90","Felony"
"Over 365","2017-06-01T00:00:00.000","60","Felony"
"0 to 1","2017-07-01T00:00:00.000","200","Felony"
"2 to 7","2017-07-01T00:00:00.000","259","Felony"
"8 to 15","2017-07-01T00:00:00.000","121","Felony"
"16 to 30","2017-07-01T00:00:00.000","152","Felony"
"31 to 60","2017-07-01T00:00:00.000","138","Felony"
"61 to 90","2017-07-01T00:00:00.000","59","Felony"
"91 to 180","2017-07-01T00:00:00.000","87","Felony"
"181 to 365","2017-07-01T00:00:00.000","65","Felony"
"Over 365","2017-07-01T00:00:00.000","22","Felony"
"0 to 1","2017-08-01T00:00:00.000","204","Felony"
"2 to 7","2017-08-01T00:00:00.000","316","Felony"
"8 to 15","2017-08-01T00:00:00.000","133","Felony"
"16 to 30","2017-08-01T00:00:00.000","151","Felony"
"31 to 60","2017-08-01T00:00:00.000","171","Felony"
"61 to 90","2017-08-01T00:00:00.000","81","Felony"
"91 to 180","2017-08-01T00:00:00.000","126","Felony"
"181 to 365","2017-08-01T00:00:00.000","78","Felony"
"Over 365","2017-08-01T00:00:00.000","31","Felony"
"0 to 1","2017-09-01T00:00:00.000","186","Felony"
"2 to 7","2017-09-01T00:00:00.000","229","Felony"
"8 to 15","2017-09-01T00:00:00.000","136","Felony"
"16 to 30","2017-09-01T00:00:00.000","128","Felony"
"31 to 60","2017-09-01T00:00:00.000","148","Felony"
"61 to 90","2017-09-01T00:00:00.000","61","Felony"
"91 to 180","2017-09-01T00:00:00.000","93","Felony"
"181 to 365","2017-09-01T00:00:00.000","67","Felony"
"Over 365","2017-09-01T00:00:00.000","28","Felony"
"0 to 1","2017-10-01T00:00:00.000","175","Felony"
"2 to 7","2017-10-01T00:00:00.000","261","Felony"
"8 to 15","2017-10-01T00:00:00.000","149","Felony"
"16 to 30","2017-10-01T00:00:00.000","142","Felony"
"31 to 60","2017-10-01T00:00:00.000","156","Felony"
"61 to 90","2017-10-01T00:00:00.000","78","Felony"
"91 to 180","2017-10-01T00:00:00.000","127","Felony"
"181 to 365","2017-10-01T00:00:00.000","71","Felony"
"Over 365","2017-10-01T00:00:00.000","33","Felony"
"0 to 1","2017-11-01T00:00:00.000","182","Felony"
"2 to 7","2017-11-01T00:00:00.000","290","Felony"
"8 to 15","2017-11-01T00:00:00.000","125","Felony"
"16 to 30","2017-11-01T00:00:00.000","138","Felony"
"31 to 60","2017-11-01T00:00:00.000","165","Felony"
"61 to 90","2017-11-01T00:00:00.000","69","Felony"
"91 to 180","2017-11-01T00:00:00.000","103","Felony"
"181 to 365","2017-11-01T00:00:00.000","61","Felony"
"Over 365","2017-11-01T00:00:00.000","43","Felony"
"0 to 1","2017-12-01T00:00:00.000","183","Felony"
"2 to 7","2017-12-01T00:00:00.000","296","Felony"
"8 to 15","2017-12-01T00:00:00.000","124","Felony"
"16 to 30","2017-12-01T00:00:00.000","156","Felony"
"31 to 60","2017-12-01T00:00:00.000","137","Felony"
"61 to 90","2017-12-01T00:00:00.000","59","Felony"
"91 to 180","2017-12-01T00:00:00.000","74","Felony"
"181 to 365","2017-12-01T00:00:00.000","51","Felony"
"Over 365","2017-12-01T00:00:00.000","27","Felony"
"0 to 1","2018-01-01T00:00:00.000","147","Felony"
"2 to 7","2018-01-01T00:00:00.000","250","Felony"
"8 to 15","2018-01-01T00:00:00.000","85","Felony"
"16 to 30","2018-01-01T00:00:00.000","124","Felony"
"31 to 60","2018-01-01T00:00:00.000","114","Felony"
"61 to 90","2018-01-01T00:00:00.000","51","Felony"
"91 to 180","2018-01-01T00:00:00.000","92","Felony"
"181 to 365","2018-01-01T00:00:00.000","66","Felony"
"Over 365","2018-01-01T00:00:00.000","27","Felony"
"0 to 1","2018-02-01T00:00:00.000","182","Felony"
"2 to 7","2018-02-01T00:00:00.000","256","Felony"
"8 to 15","2018-02-01T00:00:00.000","149","Felony"
"16 to 30","2018-02-01T00:00:00.000","138","Felony"
"31 to 60","2018-02-01T00:00:00.000","138","Felony"
"61 to 90","2018-02-01T00:00:00.000","86","Felony"
"91 to 180","2018-02-01T00:00:00.000","111","Felony"
"181 to 365","2018-02-01T00:00:00.000","77","Felony"
"Over 365","2018-02-01T00:00:00.000","39","Felony"
"0 to 1","2018-03-01T00:00:00.000","256","Felony"
"2 to 7","2018-03-01T00:00:00.000","292","Felony"
"8 to 15","2018-03-01T00:00:00.000","168","Felony"
"16 to 30","2018-03-01T00:00:00.000","167","Felony"
"31 to 60","2018-03-01T00:00:00.000","137","Felony"
"61 to 90","2018-03-01T00:00:00.000","72","Felony"
"91 to 180","2018-03-01T00:00:00.000","95","Felony"
"181 to 365","2018-03-01T00:00:00.000","65","Felony"
"Over 365","2018-03-01T00:00:00.000","30","Felony"
"0 to 1","2018-04-01T00:00:00.000","195","Felony"
"2 to 7","2018-04-01T00:00:00.000","259","Felony"
"8 to 15","2018-04-01T00:00:00.000","129","Felony"
"16 to 30","2018-04-01T00:00:00.000","128","Felony"
"31 to 60","2018-04-01T00:00:00.000","180","Felony"
"61 to 90","2018-04-01T00:00:00.000","67","Felony"
"91 to 180","2018-04-01T00:00:00.000","84","Felony"
"181 to 365","2018-04-01T00:00:00.000","82","Felony"
"Over 365","2018-04-01T00:00:00.000","43","Felony"
"0 to 1","2018-05-01T00:00:00.000","191","Felony"
"2 to 7","2018-05-01T00:00:00.000","272","Felony"
"8 to 15","2018-05-01T00:00:00.000","136","Felony"
"16 to 30","2018-05-01T00:00:00.000","172","Felony"
"31 to 60","2018-05-01T00:00:00.000","155","Felony"
"61 to 90","2018-05-01T00:00:00.000","79","Felony"
"91 to 180","2018-05-01T00:00:00.000","99","Felony"
"181 to 365","2018-05-01T00:00:00.000","62","Felony"
"Over 365","2018-05-01T00:00:00.000","46","Felony"
"0 to 1","2018-06-01T00:00:00.000","235","Felony"
"2 to 7","2018-06-01T00:00:00.000","298","Felony"
"8 to 15","2018-06-01T00:00:00.000","173","Felony"
"16 to 30","2018-06-01T00:00:00.000","151","Felony"
"31 to 60","2018-06-01T00:00:00.000","186","Felony"
"61 to 90","2018-06-01T00:00:00.000","66","Felony"
