"arrestid","incident","arrestdate","arresttime","age","sex","race","ethnicity","law","crimelongid","codedescription","attempt","arresttype","last_30_days","city","state","neighborhood","neighborhoodxy"
"APD*220000502","22039450","2022-03-24T00:00:00.000","09:10","30","M","B","H","PL","PL 140.15   01    AM2","CRIMINAL TRESPASS 2ND","C","Crime in Progress","false","Albany","NY","No. Albany / Shaker Park","POINT (-73.7452874985 42.6728269867)"
"APD*220000503","22039450","2022-03-24T00:00:00.000","09:10","30","F","W","N","PL","PL 140.15   01    AM2","CRIMINAL TRESPASS 2ND","C","Crime in Progress","false","Albany","NY","No. Albany / Shaker Park","POINT (-73.7452874985 42.6728269867)"
"APD*220000556","22044195","2022-04-03T00:00:00.000","01:33","19","M","O","H","PL","PL 195.05         AM2","OBSTRUCT GOVERNMENTL ADMIN 2ND","C","Crime in Progress","false","Albany","NY","Pine Hills","POINT (-73.7866126905 42.6626959378)"
"APD*220000695","21099270","2022-04-21T00:00:00.000","11:45","50","M","W","N","PL","PL 155.35   01    DF3","GRAND LARCENY 3RD DEGREE: PROPERTY VALUE EXCEEDS $3000","C","Crime in Progress","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*220000438","22034374","2022-03-13T00:00:00.000","21:15","18","M","B","N","PL","PL 165.50         DF3","CRIM POSS STLN PROP GREATER THAN $3000","C","Crime in Progress","false","Albany","NY","West End","POINT (-73.7781040852 42.6749695802)"
"APD*220000700","22053224","2022-04-21T00:00:00.000","22:02","37","M","B","N","PL","PL 120.05   02    DF2","ASLT W/INT CAUSE PH INJ W/WEAP","C","Complaint","false","Albany","NY",,
"APD*220000634","21172943","2022-04-13T00:00:00.000","09:45","46","M","B","N","PL","PL 220.39   01    BF3","CRIM SALE NARCO DRUG","C","Summons","false","Albany","NY","Pine Hills","POINT (-73.7866126905 42.6626959378)"
"APD*220000867","22067742","2022-05-19T00:00:00.000","14:56","41","M","B","H","PL","PL 220.16   01    BF3","CRIM POSS NARCO DRUG INT/SELL","C","Crime in Progress","false","Albany","NY","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*220000869","22067889","2022-05-19T00:00:00.000","21:23","36","F","B","N","PL","PL 120.00   01    AM3","ASLT W/INT CAUSES PHYS INJURY","C","Crime in Progress","false","Albany","NY","Park South","POINT (-73.7732191679 42.6541973756)"
"APD*210002182","21156696","2021-11-17T00:00:00.000","16:25","28","M","B","N","PL","PL 120.14   01    AM2","MENACING-2ND - WEAPON","C","Crime in Progress","false","Albany","NY","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*220000653","22049670","2022-04-13T00:00:00.000","22:34","35","M","B","N","PL","PL 120.00   01    AM3","ASLT W/INT CAUSES PHYS INJURY",,"Complaint","false","Albany","NY","Delaware Area","POINT (-73.7808874143 42.639906085)"
"APD*220000635","22049278","2022-04-13T00:00:00.000","10:26","30","M","B","N","PL","PL 220.39   01    BF3","CRIM SALE NARCO DRUG","C","Indictment Warrant","false","Albany","NY","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*220000018","21166897","2022-01-03T00:00:00.000","17:30","19","M","B","N","PL","PL 120.14   01    AM2","MENACING-2ND - WEAPON","C","Complaint","false","Albany","NY",,
"APD*220000696","22053069","2022-04-21T00:00:00.000","09:30","27","M","B","N","PL","PL 215.40         EF0","TAMPER WITH PHYSICAL EVIDENCE","C","Crime in Progress","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*220000511","22025865","2022-03-24T00:00:00.000","22:07","41","M","B","N","PL","PL 125.25   01    AF2","MURDER  INTENTION","A","Complaint","false","Albany","NY","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*220000302","22023373","2022-02-18T00:00:00.000","13:18","34","F","H","H","PL","PL 120.05   03    DF2","ASLT W/INT CAUS PH INJ TO OFF","C","Crime in Progress","false","Albany","NY","Downtown","POINT (-73.7532379834 42.6495622808)"
"APD*220000114","21141943","2022-01-21T00:00:00.000","19:23","32","F","B","N","PL","PL 155.25         AM0","PETIT LARCENY","C","Complaint","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*220000697","20153597","2022-04-21T00:00:00.000","19:19","28","M","B","N","PL","PL 120.00   01    AM3","ASLT W/INT CAUSES PHYS INJURY","C","Arrest Warrant","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*220000242","22018074","2022-02-08T00:00:00.000","10:03","45","M","B","N","PL","PL 220.16   01    BF3","CRIM POSS NARCO DRUG INT/SELL","C","Crime in Progress","false","Albany","NY","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*220000437","22034111","2022-03-13T00:00:00.000","05:16","26","M","B","N","PL","PL 120.00         AM3","ASSAULT 3RD - SECTION","C","Complaint","false","Albany","NY","Pine Hills","POINT (-73.7866126905 42.6626959378)"
"APD*220000510","22039669","2022-03-24T00:00:00.000","18:05","29","M","B","N","PL","PL 220.03         AM7","CRIM POSS CONTRL SUBST","C","Crime in Progress","false","Albany","NY","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*220000059","22005241","2022-01-12T00:00:00.000","04:22","31","M","B","N","PL","PL 195.05         AM2","OBSTRUCT GOVERNMENTL ADMIN 2ND",,"Crime in Progress","false","Albany","NY","Arbor Hill Concerned Citizens","POINT (-73.7532258347 42.6622200365)"
"APD*220000058","22005231","2022-01-12T00:00:00.000","02:29","31","M","B","N","PL","PL 215.51   C     EF1","CRIM CONTEMPT 1/PRIOR CONV","C","Crime in Progress","false","Albany","NY","Arbor Hill Concerned Citizens","POINT (-73.7532258347 42.6622200365)"
"APD*220001033","22079647","2022-06-10T00:00:00.000","02:38","38","F","W","N","PL","PL 190.25   01    AM2","CRIM IMPERS  ANOTHR PERS W/INT","C","Crime in Progress","false","Albany","NY","Beverwyck","POINT (-73.7822271336 42.6700629397)"
"APD*220000699","22053386","2022-04-21T00:00:00.000","21:15","23","M","B","N","PL","PL 120.11         BF0","ASLT POL/PEACE OFFR W/FIREARM","A","Crime in Progress","false","Albany","NY",,
"APD*210001909","21137366","2021-10-12T00:00:00.000","01:25","43","M","B","N","PL","PL 120.14   01    AM2","MENACING-2ND - WEAPON","C","Crime in Progress","false","Albany","NY","Port of Albany","POINT (-73.7603626972 42.6261665879)"
"APD*220000065","22005394","2022-01-12T00:00:00.000","13:30","27","M","B","N","PL","PL 215.50   03    AM2","DISOBEY MANDATE EXC  JL 753A-2","C","Crime in Progress","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*210001786","21111319","2021-09-27T00:00:00.000","09:55","42","F","W","N","PL","PL 165.45   01    EF4","CPSP-4 PROPERTY VALUE GREATER THAN $1000","C","Complaint","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*220000179","22013772","2022-01-30T00:00:00.000","01:40","35","F","B","N","PL","PL 165.05   01    AM3","UNAUTH USE VEH W/O OWNR CONST","C","Crime in Progress","false","Albany","NY",,
"APD*220000967","22065151","2022-06-02T00:00:00.000","04:30","22","M","B","N","PL","PL 120.05   02    DF2","ASLT W/INT CAUSE PH INJ W/WEAP","C","Complaint","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*220000968","21166417","2022-06-02T00:00:00.000","08:00","27","F","B","N","PL","PL 215.50   03    AM2","DISOBEY MANDATE EXC  JL 753A-2","C","Arrest Warrant","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*220000110","21072145","2022-01-21T00:00:00.000","14:18","30","M","W","N","PL","PL 240.30   02    AM2","AGG/HAR PHONE W/O LEGIT COMMUNICATIONS","C","Complaint","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*220000297","22023156","2022-02-18T00:00:00.000","02:12","50","M","W","N","PL","PL 240.45         BM2","CRIMINAL NUISANCE 2ND","C","Crime in Progress","false","Albany","NY","Park South","POINT (-73.7732191679 42.6541973756)"
"APD*220000054","22004492","2022-01-10T00:00:00.000","15:13","54","F","W","N","PL","PL 155.25         AM0","PETIT LARCENY","C","Crime in Progress","false","Albany","NY","The Dunes","POINT (-73.8632178578 42.7057702039)"
"APD*220000509","22010700","2022-03-24T00:00:00.000","19:00","38","F","W","N","PL","PL 155.30   08    EF4","GRAND LARCENY  AUTO OVER $100","C","Complaint","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*220000304","22023455","2022-02-18T00:00:00.000","16:20","32","F","B","N","PL","PL 155.25         AM0","PETIT LARCENY","C","Crime in Progress","false","Albany","NY",,
"APD*220000508","22034828","2022-03-24T00:00:00.000","18:05","29","M","B","N","PL","PL 220.03         AM7","CRIM POSS CONTRL SUBST","C","Crime in Progress","false","Albany","NY","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*220001286","22084830","2022-07-18T00:00:00.000","16:45","24","M","B","H","PL","PL 265.03   03    CF2","CPW-2ND: LOADED FIREARM","C","Crime in Progress","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*220001303","22101227","2022-07-19T00:00:00.000","22:24","29","F","B","N","PL","PL 120.07         BF1","GANG ASSAULT 1ST DEGREE","C","Crime in Progress","false","Albany","NY","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*220001278","21100140","2022-07-17T00:00:00.000","02:28","27","M","B","N","PL","PL 145.10         DF2","CRIMINAL MISCHIEF - 2ND","C","Arrest Warrant","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*220001519","22116897","2022-08-17T00:00:00.000","07:50","27","F","W","N","PL","PL 205.55         AM3","HINDERING PROSECUTION-3RD","C","Crime in Progress","true","Albany","NY","Washington Square","POINT (-73.7718254949 42.6617090681)"
"APD*210002383","21173311","2021-12-22T00:00:00.000","20:35","43","M","B","H","PL","PL 155.30   04    EF4","GRAND LARCENY 4  CREDIT CARD","C","Crime in Progress","false","Albany","NY","Hudson Park","POINT (-73.7660255299 42.6510030671)"
"APD*210002378","21119159","2021-12-22T00:00:00.000","10:35","35","F","B","N","PL","PL 145.00   01    AM4","CRIM MIS INTENT DAMAGE PROPRTY","C","Arrest Warrant","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*210002382","20017903","2021-12-22T00:00:00.000","22:35","41","M","W","N","PL","PL 140.20         DF3","BURGLARY 3RD","C","Arrest Warrant","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*210002379","21160627","2021-12-22T00:00:00.000","10:35","35","F","B","N","PL","PL 120.14   01    AM2","MENACING-2ND - WEAPON","C","Arrest Warrant","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*220001523","21101812","2022-08-19T00:00:00.000","01:02","19","M","B","N","PL","PL 195.05         AM2","OBSTRUCT GOVERNMENTL ADMIN 2ND",,"Arrest Warrant","true","Albany","NY","Pine Hills","POINT (-73.7866126905 42.6626959378)"
"APD*220000178","22013801","2022-01-30T00:00:00.000","01:40","46","M","H","H","PL","PL 165.05   01    AM3","UNAUTH USE VEH W/O OWNR CONST","C","Complaint","false","Albany","NY","West End","POINT (-73.7781040852 42.6749695802)"
"APD*220001035","19165844","2022-06-10T00:00:00.000","14:40","20","M","W","N","PL","PL 140.25   02    CF2","BURG:W/CRI INT - DWELLING","C","Complaint","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*210001495","21040089","2021-09-01T00:00:00.000","09:00","35","M","B","U","PL","PL 160.15   01    BF1","ROB  FORC THEFT W/INJ-INCNT IND","C","Complaint","false","Albany","NY","West End","POINT (-73.7781040852 42.6749695802)"
"APD*220000237","21131576","2022-02-08T00:00:00.000","10:00","32","F","B","N","PL","PL 140.25   02    CF2","BURG:W/CRI INT - DWELLING","C","Complaint","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*220000244","21052622","2022-02-08T00:00:00.000","12:55","47","M","W","N","PL","PL 215.50   03    AM2","DISOBEY MANDATE EXC  JL 753A-2","C","Complaint","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*220000235","22017948","2022-02-08T00:00:00.000","03:47","40","M","W","N","PL","PL 121.11   A     AM0","OBSTRUCTION BREATHING/BLOOD CIRCULATION-APPLY PRESSURE","C","Crime in Progress","false","Albany","NY","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*220000300","21095512","2022-02-18T00:00:00.000","08:26","32","M","B","N","PL","PL 265.03   03    CF2","CPW-2ND: LOADED FIREARM","C","Arrest Warrant","false","Albany","NY",,
"APD*220000512","22039759","2022-03-24T00:00:00.000","22:07","41","M","B","N","PL","PL 265.02   03    DF3","CRIM POSS WEAP DEFACE/CONCEAL","C","Crime in Progress","false","Albany","NY","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*220000505","22039647","2022-03-24T00:00:00.000","17:03","19","M","B","N","PL","PL 165.40         AM5","CRIM POSSESSION STOLN PROP 5TH","C","Crime in Progress","false","Albany","NY","Beverwyck","POINT (-73.7822271336 42.6700629397)"
"APD*220000298","22023300","2022-02-18T00:00:00.000","10:14","32","M","B","N","PL","PL 220.16   07    BF3","CRIM POSS METHAMPH W/INT/SELL","C","Crime in Progress","false","Albany","NY",,
"APD*220000500","22039365","2022-03-24T00:00:00.000","01:37","49","M","B","N","PL","PL 120.00   01    AM3","ASLT W/INT CAUSES PHYS INJURY","C","Complaint","false","Albany","NY","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*220000504","22039492","2022-03-24T00:00:00.000","10:27","32","M","B","N","PL","PL 220.03         AM7","CRIM POSS CONTRL SUBST","C","Crime in Progress","false","Albany","NY",,
"APD*220001032","22079640","2022-06-10T00:00:00.000","01:47","20","M","W","N","PL","PL 120.14   01    AM2","MENACING-2ND - WEAPON",,"Crime in Progress","false","Albany","NY","Downtown","POINT (-73.7532379834 42.6495622808)"
"APD*210002205","21158322","2021-11-21T00:00:00.000","14:10","39","M","B","N","PL","PL 125.25   01    AF2","MURDER  INTENTION","C","Crime in Progress","false","Albany","NY",,
"APD*210002362","21171984","2021-12-19T00:00:00.000","21:50","24","M","O","N","PL","PL 160.15   04    BF1","ROB 1ST/DISPLAY FIREARM","C","Crime in Progress","false","Albany","NY","Eagle Hill","POINT (-73.8202291732 42.6704089123)"
"APD*220001484","22114279","2022-08-12T00:00:00.000","11:10","21","F","B","N","PL","PL 120.00   01    AM3","ASLT W/INT CAUSES PHYS INJURY","C","Complaint","true","Albany","NY","The Dunes","POINT (-73.8632178578 42.7057702039)"
"APD*220000301","22023264","2022-02-18T00:00:00.000","08:26","32","M","B","N","PL","PL 215.57         DF1","BAIL JUMPING - 1ST DEGREE","C","Crime in Progress","false","Albany","NY",,
"APD*220000928","22071720","2022-05-26T00:00:00.000","18:46","30","M","B","N","PL","PL 265.03   03    CF2","CPW-2ND: LOADED FIREARM","C","Crime in Progress","false","Albany","NY","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*220000246","22018286","2022-02-08T00:00:00.000","16:08","22","M","B","N","PL","PL 260.10   01    AM0","ACT IN MANNER INJUR CHILD LESS THAN 16","C","Crime in Progress","false","Albany","NY","Beverwyck","POINT (-73.7822271336 42.6700629397)"
"APD*210001494","21115077","2021-09-01T00:00:00.000","02:40","32","M","W","N","PL","PL 220.16   12    BF3","CRIM POSS CONTR SUB/NARCO","C","Crime in Progress","false","Albany","NY","Beverwyck","POINT (-73.7822271336 42.6700629397)"
"APD*220001482","22114221","2022-08-12T00:00:00.000","09:04","47","M","B","N","PL","PL 120.05   02    DF2","ASLT W/INT CAUSE PH INJ W/WEAP","C","Complaint","true","Albany","NY",,
"APD*210002324","21168501","2021-12-12T00:00:00.000","21:11","24","M","B","N","PL","PL 215.50   03    AM2","DISOBEY MANDATE EXC  JL 753A-2","C","Crime in Progress","false","Albany","NY","Ten Broeck Triangle Preservation League","POINT (-73.7511999486 42.656937257)"
"APD*210001589","21119283","2021-09-08T00:00:00.000","22:38","48","M","B","N","PL","PL 215.51   C     EF1","CRIM CONTEMPT 1/PRIOR CONV","C","Order of Protection","false","Albany","NY","West End","POINT (-73.7781040852 42.6749695802)"
"APD*220000755","22057299","2022-04-29T00:00:00.000","16:47","40","F","W","N","PL","PL 140.15   01    AM2","CRIMINAL TRESPASS 2ND","C","Crime in Progress","false","Albany","NY",,
"APD*220000923","22071334","2022-05-26T00:00:00.000","08:12","33","M","W","N","PL","PL 220.03         AM7","CRIM POSS CONTRL SUBST","C","Crime in Progress","false","Albany","NY",,
"APD*210002389","21173735","2021-12-23T00:00:00.000","15:47","29","F","B","N","PL","PL 205.30         AM0","RESISTING ARREST","C","Crime in Progress","false","Albany","NY","No. Albany / Shaker Park","POINT (-73.7452874985 42.6728269867)"
"APD*220000052","20038462","2022-01-10T00:00:00.000","14:45","19","M","W","H","PL","PL 205.30         AM0","RESISTING ARREST","C","Arrest Warrant","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*220001486","22114560","2022-08-12T00:00:00.000","19:25","40","M","B","N","PL","PL 145.10         DF2","CRIMINAL MISCHIEF - 2ND","C","Crime in Progress","true","Albany","NY","Beverwyck","POINT (-73.7822271336 42.6700629397)"
"APD*220000553","22043943","2022-04-02T00:00:00.000","14:27","20","F","B","N","PL","PL 121.12         DF2","STRANGULATION 2ND-OBSTRUCT BREATH/BLOOD CIRC-CAUSE PHYS INJ","C","Complaint","false","Albany","NY","Eagle Hill","POINT (-73.8202291732 42.6704089123)"
"APD*210002271","21163262","2021-12-01T00:00:00.000","21:45","19","M","B","N","PL","PL 240.26   01    0V2","HARRASSMENT 2ND- PHY CONTACT","C","Crime in Progress","false","Albany","NY","Beverwyck","POINT (-73.7822271336 42.6700629397)"
"APD*220000640","22014535","2022-04-13T00:00:00.000","11:32","24","M","B","N","PL","PL 220.39   01    BF3","CRIM SALE NARCO DRUG","C","Indictment Warrant","false","Albany","NY",,
"APD*220001251","22097621","2022-07-13T00:00:00.000","06:39","43","M","W","N","PL","PL 120.00   02    AM3","ASLT  RECKLSLY CAUSE PHYS INJRY",,"Crime in Progress","false","Albany","NY",,
"APD*220000062","21135135","2022-01-12T00:00:00.000","09:40","21","F","I","N","PL","PL 120.14   01    AM2","MENACING-2ND - WEAPON","C","Arrest Warrant","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*210001588","21119110","2021-09-08T00:00:00.000","16:24","36","F","B","N","PL","PL 240.30   02    AM2","AGG/HAR PHONE W/O LEGIT COMMUNICATIONS","C","Crime in Progress","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*210002267","21130192","2021-12-01T00:00:00.000","09:15","19","M","B","N","PL","PL 120.00   01    AM3","ASLT W/INT CAUSES PHYS INJURY","C","Arrest Warrant","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*220000926","22071516","2022-05-26T00:00:00.000","13:24","61","M","B","N","PL","PL 145.00   01    AM4","CRIM MIS INTENT DAMAGE PROPRTY","C","Complaint","false","Albany","NY","Campus Area","POINT (-73.8190201566 42.6848032061)"
"APD*220000060","22005268","2022-01-12T00:00:00.000","07:12","23","M","B","N","PL","PL 125.25   01    AF2","MURDER  INTENTION","A","Crime in Progress","false","Albany","NY","Sheridan Hollow","POINT (-73.7574072754 42.6566895795)"
"APD*210001992","21127378","2021-10-21T00:00:00.000","13:00","39","M","B","N","PL","PL 130.52         AM0","FORCIBLE TOUCHING","C","Arrest Warrant","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*220000557","22044222","2022-04-03T00:00:00.000","03:58","63","M","B","N","PL","PL 215.50   03    AM2","DISOBEY MANDATE EXC  JL 753A-2","C","Complaint","false","Albany","NY","Pine Hills","POINT (-73.7866126905 42.6626959378)"
"APD*220000863","20031184","2022-05-19T00:00:00.000","03:56","42","M","B","N","PL","PL 240.20   01    0V0","DIS/CON  FIGHT/VIOLENT BEHAVIOR","C","Arrest Warrant","false","Albany","NY","West End","POINT (-73.7781040852 42.6749695802)"
"APD*210001580","21014077","2021-09-08T00:00:00.000","09:53","28","M","B","N","PL","PL 125.25   01    AF2","MURDER  INTENTION","C","Indictment Warrant","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*210002387","21173628","2021-12-23T00:00:00.000","10:51","54","M","B","N","PL","PL 120.14   01    AM2","MENACING-2ND - WEAPON","C","Complaint","false","Albany","NY","Upper Washington Avenue","POINT (-73.7985897295 42.6817391392)"
"APD*220000112","22009827","2022-01-21T00:00:00.000","15:59","32","F","B","N","PL","PL 145.00   01    AM4","CRIM MIS INTENT DAMAGE PROPRTY","C","Crime in Progress","false","Albany","NY","Mansion","POINT (-73.7586477974 42.645152019)"
"APD*220000558","22021194","2022-04-03T00:00:00.000","09:35","35","M","B","N","PL","PL 121.11   A     AM0","OBSTRUCTION BREATHING/BLOOD CIRCULATION-APPLY PRESSURE","C","Arrest Warrant","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*220000637","22049278","2022-04-13T00:00:00.000","10:26","30","M","B","N","PL","PL 220.16   01    BF3","CRIM POSS NARCO DRUG INT/SELL","C","Crime in Progress","false","Albany","NY","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*220001580","22121377","2022-08-25T00:00:00.000","04:22","35","M","B","N","PL","PL 140.15   01    AM2","CRIMINAL TRESPASS 2ND",,"Crime in Progress","true","Albany","NY","Melrose","POINT (-73.7990796239 42.6727006271)"
"APD*220000639","22049297","2022-04-13T00:00:00.000","10:36","31","M","B","N","PL","PL 220.16   01    BF3","CRIM POSS NARCO DRUG INT/SELL",,"Crime in Progress","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*220001488","22114629","2022-08-12T00:00:00.000","22:30","36","F","B","N","PL","PL 120.05   02    DF2","ASLT W/INT CAUSE PH INJ W/WEAP","C","Crime in Progress","true","Albany","NY",,
"APD*220000866","22067575","2022-05-19T00:00:00.000","09:10","23","F","B","N","PL","PL 145.05   02    EF3","CRIMINAL MISCHIEF 3RD:DAMAGE ANOTHER'S PROPERTY-AMOUNT> $250","C","Crime in Progress","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*210002268","19173880","2021-12-01T00:00:00.000","10:30","24","F","H","H","PL","PL 155.25         AM0","PETIT LARCENY","C","Arrest Warrant","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*220000864","21136068","2022-05-19T00:00:00.000","06:09","32","F","B","N","PL","PL 165.05   01    AM3","UNAUTH USE VEH W/O OWNR CONST","C","Arrest Warrant","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*210002270","21162980","2021-12-01T00:00:00.000","10:49","26","M","O","N","PL","PL 145.05   02    EF3","CRIMINAL MISCHIEF 3RD:DAMAGE ANOTHER'S PROPERTY-AMOUNT> $250","C","Crime in Progress","false","Albany","NY","Pine Hills","POINT (-73.7866126905 42.6626959378)"
"APD*210001995","21130130","2021-10-21T00:00:00.000","18:14","59","M","B","N","PL","PL 220.39   01    BF3","CRIM SALE NARCO DRUG","C","Crime in Progress","false","Albany","NY","Downtown","POINT (-73.7532379834 42.6495622808)"
"APD*210002269","21098994","2021-12-01T00:00:00.000","12:00","35","M","B","N","PL","PL 240.30   01A   AM2","AGG/HAR INTENT HARASS ANNOY/ COMM. ANNON","C","Arrest Warrant","false","Albany","NY","Sheridan Hollow","POINT (-73.7574072754 42.6566895795)"
"APD*220000645","22049460","2022-04-13T00:00:00.000","14:57","45","M","B","N","PL","PL 195.05         AM2","OBSTRUCT GOVERNMENTL ADMIN 2ND","C","Complaint","false","Albany","NY","South End","POINT (-73.7592617522 42.6392747943)"
"APD*210001581","21118904","2021-09-08T00:00:00.000","11:00","26","F","B","N","PL","PL 260.10         AM0","ENDANGERING WELFARE OF CHILD","C","Complaint","false","Albany","NY","Sheridan Hollow","POINT (-73.7574072754 42.6566895795)"
"APD*210001532","21102264","2021-09-02T00:00:00.000","19:55","58","M","W","N","PL","PL 155.25         AM0","PETIT LARCENY","C","Crime in Progress","false","Albany","NY","Downtown","POINT (-73.7532379834 42.6495622808)"
"APD*220001434","22100977","2022-08-07T00:00:00.000","13:37","47","M","H","H","PL","PL 140.25   02    CF2","BURG:W/CRI INT - DWELLING","C","Complaint","true","Albany","NY","Beverwyck","POINT (-73.7822271336 42.6700629397)"
"APD*220000647","21176096","2022-04-13T00:00:00.000","15:13","35","M","W","N","PL","PL 160.15   03    BF1","ROB  FORCBLE THEFT W/USE-INSTRM","A","Arrest Warrant","false","Albany","NY",,
"APD*220000651","22049570","2022-04-13T00:00:00.000","18:44","42","M","W","N","PL","PL 120.15         BM3","MENACING 3RD","C","Crime in Progress","false","Albany","NY",,
"APD*210002323","21168130","2021-12-12T00:00:00.000","00:07","33","M","B","N","PL","PL 215.50   03    AM2","DISOBEY MANDATE EXC  JL 753A-2",,"Order of Protection","false","Albany","NY","Center Square","POINT (-73.7632947405 42.6541097581)"
