"operation_number","country_name","date","transaction_type","amount","fund_code","fund_code_description","year","month","loan_number"
"AR-L1002","Argentina","2011-06-30T00:00:00.000","DISBURSEMENT","432106.85","ORC","Ordinary Capital","2011","6","1588/OC-AR"
"AR-L1002","Argentina","2010-09-30T00:00:00.000","DISBURSEMENT","400227.19","ORC","Ordinary Capital","2010","9","1588/OC-AR"
"AR-L1002","Argentina","2011-08-31T00:00:00.000","INTEREST REPAYMENT","82997.18","ORC","Ordinary Capital","2011","8","1588/OC-AR"
"AR-L1002","Argentina","2010-08-31T00:00:00.000","DISBURSEMENT","355488.46","ORC","Ordinary Capital","2010","8","1588/OC-AR"
"AR-L1002","Argentina","2011-09-30T00:00:00.000","DISBURSEMENT","419470.33","ORC","Ordinary Capital","2011","9","1588/OC-AR"
"AR-L1002","Argentina","2014-08-31T00:00:00.000","INTEREST REPAYMENT","152554.15","ORC","Ordinary Capital","2014","8","1588/OC-AR"
"AR-L1002","Argentina","2006-10-31T00:00:00.000","DISBURSEMENT","231522.04","ORC","Ordinary Capital","2006","10","1588/OC-AR"
"AR-L1002","Argentina","2009-08-31T00:00:00.000","INTEREST REPAYMENT","30933.25","ORC","Ordinary Capital","2009","8","1588/OC-AR"
"AR-L1002","Argentina","2009-09-30T00:00:00.000","DISBURSEMENT","340154.22","ORC","Ordinary Capital","2009","9","1588/OC-AR"
"AR-L1006","Argentina","2013-03-31T00:00:00.000","INTEREST REPAYMENT","5053642.07","ORC","Ordinary Capital","2013","3","1669/OC-AR"
"AR-L1006","Argentina","2015-09-30T00:00:00.000","INTEREST REPAYMENT","7123827.31","ORC","Ordinary Capital","2015","9","1669/OC-AR"
"AR-L1006","Argentina","2007-03-31T00:00:00.000","INTEREST REPAYMENT","3983095.9","ORC","Ordinary Capital","2007","3","1669/OC-AR"
"AR-L1006","Argentina","2008-09-30T00:00:00.000","INTEREST REPAYMENT","6286344.65","ORC","Ordinary Capital","2008","9","1669/OC-AR"
"AR-L1006","Argentina","2008-11-30T00:00:00.000","DISBURSEMENT","31945722.35","ORC","Ordinary Capital","2008","11","1669/OC-AR"
"AR-L1006","Argentina","2007-07-31T00:00:00.000","DISBURSEMENT","15311500.63","ORC","Ordinary Capital","2007","7","1669/OC-AR"
"AR-L1006","Argentina","2007-09-30T00:00:00.000","INTEREST REPAYMENT","5560785.89","ORC","Ordinary Capital","2007","9","1669/OC-AR"
"AR-L1006","Argentina","2015-09-30T00:00:00.000","LOAN REPAYMENT","15911735.71","ORC","Ordinary Capital","2015","9","1669/OC-AR"
"AR-L1006","Argentina","2007-10-31T00:00:00.000","DISBURSEMENT","40999487.88","ORC","Ordinary Capital","2007","10","1669/OC-AR"
"AR-L1006","Argentina","2008-01-31T00:00:00.000","DISBURSEMENT","36036605.81","ORC","Ordinary Capital","2008","1","1669/OC-AR"
"AR-L1006","Argentina","2013-03-31T00:00:00.000","LOAN REPAYMENT","15911735.71","ORC","Ordinary Capital","2013","3","1669/OC-AR"
"AR-L1006","Argentina","2007-04-30T00:00:00.000","DISBURSEMENT","17127574.21","ORC","Ordinary Capital","2007","4","1669/OC-AR"
"AR-L1006","Argentina","2007-12-31T00:00:00.000","DISBURSEMENT","18395736.25","ORC","Ordinary Capital","2007","12","1669/OC-AR"
"AR-L1006","Argentina","2009-08-31T00:00:00.000","DISBURSEMENT","2346319.62","ORC","Ordinary Capital","2009","8","1669/OC-AR"
"AR-L1006","Argentina","2012-03-31T00:00:00.000","LOAN REPAYMENT","15911735.71","ORC","Ordinary Capital","2012","3","1669/OC-AR"
"AR-L1006","Argentina","2012-09-30T00:00:00.000","LOAN REPAYMENT","15911735.71","ORC","Ordinary Capital","2012","9","1669/OC-AR"
"AR-L1006","Argentina","2008-12-31T00:00:00.000","DISBURSEMENT","27122920.59","ORC","Ordinary Capital","2008","12","1669/OC-AR"
"AR-L1006","Argentina","2008-08-31T00:00:00.000","DISBURSEMENT","20000000","ORC","Ordinary Capital","2008","8","1669/OC-AR"
"AR-L1006","Argentina","2009-03-31T00:00:00.000","DISBURSEMENT","123362.67","ORC","Ordinary Capital","2009","3","1669/OC-AR"
"AR-L1006","Argentina","2009-12-31T00:00:00.000","INTEREST REPAYMENT","934.91","ORC","Ordinary Capital","2009","12","1669/OC-AR"
"AR-L1006","Argentina","2009-09-30T00:00:00.000","LOAN REPAYMENT","15795364.61","ORC","Ordinary Capital","2009","9","1669/OC-AR"
"AR-L1006","Argentina","2007-05-31T00:00:00.000","DISBURSEMENT","27117731.46","ORC","Ordinary Capital","2007","5","1669/OC-AR"
"AR-L1006","Argentina","2015-03-31T00:00:00.000","LOAN REPAYMENT","15911735.71","ORC","Ordinary Capital","2015","3","1669/OC-AR"
"AR-L1006","Argentina","2006-10-31T00:00:00.000","DISBURSEMENT","42077200.32","ORC","Ordinary Capital","2006","10","1669/OC-AR"
"AR-L1006","Argentina","2009-09-30T00:00:00.000","INTEREST REPAYMENT","4485029.68","ORC","Ordinary Capital","2009","9","1669/OC-AR"
"AR-L1006","Argentina","2008-07-31T00:00:00.000","DISBURSEMENT","41513274.12","ORC","Ordinary Capital","2008","7","1669/OC-AR"
"AR-L1006","Argentina","2012-09-30T00:00:00.000","INTEREST REPAYMENT","3384834.85","ORC","Ordinary Capital","2012","9","1669/OC-AR"
"AR-L1006","Argentina","2007-11-30T00:00:00.000","DISBURSEMENT","41128116.66","ORC","Ordinary Capital","2007","11","1669/OC-AR"
"AR-L1006","Argentina","2007-08-31T00:00:00.000","DISBURSEMENT","22842850.8","ORC","Ordinary Capital","2007","8","1669/OC-AR"
"AR-L1006","Argentina","2007-09-30T00:00:00.000","DISBURSEMENT","16412129.91","ORC","Ordinary Capital","2007","9","1669/OC-AR"
"AR-L1006","Argentina","2011-09-30T00:00:00.000","LOAN REPAYMENT","15911735.71","ORC","Ordinary Capital","2011","9","1669/OC-AR"
"AR-L1006","Argentina","2015-03-31T00:00:00.000","INTEREST REPAYMENT","7226667.88","ORC","Ordinary Capital","2015","3","1669/OC-AR"
"AR-L1006","Argentina","2005-10-31T00:00:00.000","COMMITMENT","700000000","ORC","Ordinary Capital","2005","10","1669/OC-AR"
"AR-L1006","Argentina","2011-09-30T00:00:00.000","INTEREST REPAYMENT","3413886.88","ORC","Ordinary Capital","2011","9","1669/OC-AR"
"AR-L1006","Argentina","2010-09-30T00:00:00.000","INTEREST REPAYMENT","4268351.44","ORC","Ordinary Capital","2010","9","1669/OC-AR"
"AR-L1006","Argentina","2014-09-30T00:00:00.000","LOAN REPAYMENT","15911735.71","ORC","Ordinary Capital","2014","9","1669/OC-AR"
"AR-L1006","Argentina","2011-03-31T00:00:00.000","LOAN REPAYMENT","15911735.71","ORC","Ordinary Capital","2011","3","1669/OC-AR"
"AR-L1006","Argentina","2006-07-31T00:00:00.000","DISBURSEMENT","70000000","ORC","Ordinary Capital","2006","7","1669/OC-AR"
"AR-L1006","Argentina","2006-12-31T00:00:00.000","DISBURSEMENT","37704699.97","ORC","Ordinary Capital","2006","12","1669/OC-AR"
"AR-L1006","Argentina","2014-09-30T00:00:00.000","INTEREST REPAYMENT","7578068.63","ORC","Ordinary Capital","2014","9","1669/OC-AR"
"AR-L1006","Argentina","2008-04-30T00:00:00.000","DISBURSEMENT","23870433.66","ORC","Ordinary Capital","2008","4","1669/OC-AR"
"AR-L1006","Argentina","2012-03-31T00:00:00.000","INTEREST REPAYMENT","3714318.81","ORC","Ordinary Capital","2012","3","1669/OC-AR"
"AR-L1006","Argentina","2014-03-31T00:00:00.000","LOAN REPAYMENT","15911735.71","ORC","Ordinary Capital","2014","3","1669/OC-AR"
"AR-L1006","Argentina","2010-03-31T00:00:00.000","LOAN REPAYMENT","15911735.71","ORC","Ordinary Capital","2010","3","1669/OC-AR"
"AR-L1006","Argentina","2011-03-31T00:00:00.000","INTEREST REPAYMENT","4464296.83","ORC","Ordinary Capital","2011","3","1669/OC-AR"
"AR-L1006","Argentina","2010-03-31T00:00:00.000","INTEREST REPAYMENT","4751743.61","ORC","Ordinary Capital","2010","3","1669/OC-AR"
"AR-L1006","Argentina","2008-06-30T00:00:00.000","DISBURSEMENT","604302.02","ORC","Ordinary Capital","2008","6","1669/OC-AR"
"AR-L1006","Argentina","2009-07-31T00:00:00.000","DISBURSEMENT","2657637.69","ORC","Ordinary Capital","2009","7","1669/OC-AR"
"AR-L1006","Argentina","2007-06-30T00:00:00.000","DISBURSEMENT","29397264.89","ORC","Ordinary Capital","2007","6","1669/OC-AR"
"AR-L1007","Argentina","2013-05-31T00:00:00.000","LOAN REPAYMENT","3434048.94","ORC","Ordinary Capital","2013","5","1700/OC-AR"
"AR-L1007","Argentina","2011-12-31T00:00:00.000","DISBURSEMENT","1989471.45","ORC","Ordinary Capital","2011","12","1700/OC-AR"
"AR-L1007","Argentina","2010-10-31T00:00:00.000","DISBURSEMENT","7003958.48","ORC","Ordinary Capital","2010","10","1700/OC-AR"
"AR-L1007","Argentina","2009-08-31T00:00:00.000","DISBURSEMENT","497906.51","ORC","Ordinary Capital","2009","8","1700/OC-AR"
"AR-L1007","Argentina","2013-11-30T00:00:00.000","LOAN REPAYMENT","4206141.44","ORC","Ordinary Capital","2013","11","1700/OC-AR"
"AR-L1007","Argentina","2009-03-31T00:00:00.000","DISBURSEMENT","120623.12","ORC","Ordinary Capital","2009","3","1700/OC-AR"
"AR-L1007","Argentina","2014-11-30T00:00:00.000","INTEREST REPAYMENT","2210427.95","ORC","Ordinary Capital","2014","11","1700/OC-AR"
"AR-L1007","Argentina","2010-06-30T00:00:00.000","DISBURSEMENT","179545.83","ORC","Ordinary Capital","2010","6","1700/OC-AR"
"AR-L1007","Argentina","2010-08-31T00:00:00.000","DISBURSEMENT","4000000","ORC","Ordinary Capital","2010","8","1700/OC-AR"
"AR-L1007","Argentina","2010-04-30T00:00:00.000","DISBURSEMENT","275498.36","ORC","Ordinary Capital","2010","4","1700/OC-AR"
"AR-L1007","Argentina","2014-05-31T00:00:00.000","LOAN REPAYMENT","4678446.47","ORC","Ordinary Capital","2014","5","1700/OC-AR"
"AR-L1007","Argentina","2015-11-30T00:00:00.000","INTEREST REPAYMENT","2369809.67","ORC","Ordinary Capital","2015","11","1700/OC-AR"
"AR-L1007","Argentina","2010-11-30T00:00:00.000","DISBURSEMENT","2210674.92","ORC","Ordinary Capital","2010","11","1700/OC-AR"
"AR-L1007","Argentina","2011-11-30T00:00:00.000","INTEREST REPAYMENT","1173525.78","ORC","Ordinary Capital","2011","11","1700/OC-AR"
"AR-L1007","Argentina","2014-11-30T00:00:00.000","LOAN REPAYMENT","5301336.45","ORC","Ordinary Capital","2014","11","1700/OC-AR"
"AR-L1007","Argentina","2005-12-31T00:00:00.000","COMMITMENT","230000000","ORC","Ordinary Capital","2005","12","1700/OC-AR"
"AR-L1007","Argentina","2011-11-30T00:00:00.000","DISBURSEMENT","7687765.95","ORC","Ordinary Capital","2011","11","1700/OC-AR"
"AR-L1007","Argentina","2011-04-30T00:00:00.000","DISBURSEMENT","6183910.41","ORC","Ordinary Capital","2011","4","1700/OC-AR"
"AR-L1007","Argentina","2011-10-31T00:00:00.000","DISBURSEMENT","4582424.36","ORC","Ordinary Capital","2011","10","1700/OC-AR"
"AR-L1007","Argentina","2013-10-31T00:00:00.000","DISBURSEMENT","8075031.36","ORC","Ordinary Capital","2013","10","1700/OC-AR"
"AR-L1007","Argentina","2014-05-31T00:00:00.000","INTEREST REPAYMENT","2096291.66","ORC","Ordinary Capital","2014","5","1700/OC-AR"
"AR-L1007","Argentina","2013-12-31T00:00:00.000","DISBURSEMENT","8927949.59","ORC","Ordinary Capital","2013","12","1700/OC-AR"
"AR-L1007","Argentina","2015-06-30T00:00:00.000","DISBURSEMENT","12555039.51","ORC","Ordinary Capital","2015","6","1700/OC-AR"
"AR-L1007","Argentina","2012-09-30T00:00:00.000","DISBURSEMENT","4040933.82","ORC","Ordinary Capital","2012","9","1700/OC-AR"
"AR-L1007","Argentina","2009-06-30T00:00:00.000","DISBURSEMENT","388245.49","ORC","Ordinary Capital","2009","6","1700/OC-AR"
"AR-L1007","Argentina","2012-12-31T00:00:00.000","DISBURSEMENT","5940338.07","ORC","Ordinary Capital","2012","12","1700/OC-AR"
"AR-L1007","Argentina","2011-02-28T00:00:00.000","DISBURSEMENT","3910919.49","ORC","Ordinary Capital","2011","2","1700/OC-AR"
"AR-L1007","Argentina","2009-07-31T00:00:00.000","DISBURSEMENT","3291878.37","ORC","Ordinary Capital","2009","7","1700/OC-AR"
"AR-L1007","Argentina","2014-09-30T00:00:00.000","DISBURSEMENT","9101775.47","ORC","Ordinary Capital","2014","9","1700/OC-AR"
"AR-L1007","Argentina","2009-10-31T00:00:00.000","DISBURSEMENT","820489.8","ORC","Ordinary Capital","2009","10","1700/OC-AR"
"AR-L1007","Argentina","2009-11-30T00:00:00.000","DISBURSEMENT","3033556.62","ORC","Ordinary Capital","2009","11","1700/OC-AR"
"AR-L1007","Argentina","2013-05-31T00:00:00.000","INTEREST REPAYMENT","1808544.52","ORC","Ordinary Capital","2013","5","1700/OC-AR"
"AR-L1007","Argentina","2014-12-31T00:00:00.000","DISBURSEMENT","10294344.93","ORC","Ordinary Capital","2014","12","1700/OC-AR"
"AR-L1007","Argentina","2015-05-31T00:00:00.000","LOAN REPAYMENT","5871400.33","ORC","Ordinary Capital","2015","5","1700/OC-AR"
"AR-L1007","Argentina","2015-12-31T00:00:00.000","DISBURSEMENT","-2781445.28","ORC","Ordinary Capital","2015","12","1700/OC-AR"
"AR-L1007","Argentina","2011-03-31T00:00:00.000","DISBURSEMENT","2932546.58","ORC","Ordinary Capital","2011","3","1700/OC-AR"
"AR-L1007","Argentina","2010-11-30T00:00:00.000","INTEREST REPAYMENT","640250.45","ORC","Ordinary Capital","2010","11","1700/OC-AR"
"AR-L1007","Argentina","2010-02-28T00:00:00.000","DISBURSEMENT","944116.79","ORC","Ordinary Capital","2010","2","1700/OC-AR"
"AR-L1007","Argentina","2012-08-31T00:00:00.000","DISBURSEMENT","5234212.25","ORC","Ordinary Capital","2012","8","1700/OC-AR"
"AR-L1007","Argentina","2010-03-31T00:00:00.000","DISBURSEMENT","4500000","ORC","Ordinary Capital","2010","3","1700/OC-AR"
"AR-L1007","Argentina","2012-05-31T00:00:00.000","INTEREST REPAYMENT","1272221.89","ORC","Ordinary Capital","2012","5","1700/OC-AR"
"AR-L1007","Argentina","2015-12-31T00:00:00.000","COMMITMENT","-2781445.28","ORC","Ordinary Capital","2015","12","1700/OC-AR"
"AR-L1007","Argentina","2009-05-31T00:00:00.000","DISBURSEMENT","271183.24","ORC","Ordinary Capital","2009","5","1700/OC-AR"
"AR-L1007","Argentina","2011-06-30T00:00:00.000","DISBURSEMENT","5616007.54","ORC","Ordinary Capital","2011","6","1700/OC-AR"
"AR-L1007","Argentina","2013-09-30T00:00:00.000","DISBURSEMENT","21388531.79","ORC","Ordinary Capital","2013","9","1700/OC-AR"
"AR-L1007","Argentina","2013-11-30T00:00:00.000","INTEREST REPAYMENT","1896279.56","ORC","Ordinary Capital","2013","11","1700/OC-AR"
"AR-L1013","Argentina","2014-08-31T00:00:00.000","LOAN REPAYMENT","180149.09","ORC","Ordinary Capital","2014","8","2005/OC-AR"
"AR-L1013","Argentina","2009-12-31T00:00:00.000","DISBURSEMENT","194775.67","ORC","Ordinary Capital","2009","12","2005/OC-AR"
