"countryname","ifs","year","system","yrsoffc","finittrm","yrcurnt","multpl","military","defmin","percent1","percentl","prtyin","execme","execrlc","execnat","execrurl","execreg","execrel","execage","allhouse","nonchief","totalseats","gov1me","gov1seat","gov1vote","gov1rlc","gov1nat","gov1rurl","gov1reg","gov1rel","gov1age","gov2me","gov2seat","gov2vote","gov2rlc","gov2nat","gov2rurl","gov2reg","gov2rel","gov2age","gov3me","gov3seat","gov3vote","gov3rlc","gov3nat","gov3rurl","gov3reg","gov3rel","gov3age","govoth","govothst","govothvt","opp1me","opp1seat","opp1vote","opp1rlc","opp1nat","opp1rurl","opp1reg","opp1rel","opp1age","opp2me","opp2seat","opp2vote","opp3me","opp3seat","opp3vote","oppoth","oppothst","oppothvt","ulprty","numul","ulvote","oppmajh","oppmajs","dateleg","dateexec","legelec","exelec","liec","eiec","mdmh","mdms","ssh","pluralty","pr","housesys","thresh","dhondt","cl","select","fraud","auton","muni","author","stconst","gwno","location_1"
"Malta","MLT","1975","2","4","1","1","1","0","-999","-999","-999","4","MLP","3","0","0","0","0","54","1","-999","0","MLP",,,"3","0","0","0","0","54","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","-999","0","0",,,,,,"0","0","0",,"NA","0","0","NA","0","0","-999","0","0","-999","0","0","0","-999","-999","-999","0","0","7","7","5","-999","-999","0","1","0","0","0","0",,"0","0","0",,"-999","338","
, 0 "
"Solomon Is.","SLB","2012","2","2","1","2","1","0","0","-999","-999","2","SIRDP","0","0","0","0","0","3","0","-999","43","SIDP","13",,"0","0","0","0","0","7","SIRDP","3",,"0","0","0","0","0","2","OUR","3",,"0","0","0","0","0",,"6","8",,"PAP","2",,"3","0","0","0","0","33","RDP","1",,"SILP","1",,"0","0","0","19","19",,"0","-999","-999","-999","0","0","7","7","1","-999","-999","1","0","1","-999","-999","-999",,"0","0",,,"-999","940","
, 2 "
"Vanuatu","VUT","1993","2","2","1","2","1","0","-999","-999","-999","2","UMP","1","0","0","0","0","14","0","-999","46","UMP","19",,"1","0","0","0","0","14","NUP","10",,"3","0","0","0","0","2","Fren Melanesia","1",,"0","0","0","0","0",,"0","0","0","VP","12",,"3","1","0","0","0","21","MPP","4",,"NA","0","0","0","0","0","0","0","0","0","0","-999","-999","0","0","7","7",,"-999","-999","1","0","1","-999","-999","1",,"0","0",,,"-999",,
"Malaysia","MYS","2000","2","19","1","0","1","0","0","-999","-999","26","UMNO","0","0","0","0","0","12","1","-999","193","UMNO-Baru","72",,"0","1","0","0","0","12","MCA","28",,"2","0","0","1","0","51","PBB","10",,"0","0","0","0","0","17","9","38",,"PMIP","27",,"1","0","1","0","3","49","DAP","10",,"PKN","5",,"1","3",,"0","0","0","0","0","-999","-999","0","0","7","7","1","888","0.24","1","0","1","0","-999","-999",,"0","0",,"1","0","820","
, 1 "
"Malaysia","MYS","2003","2","22","1","2","1","0","0","-999","-999","29","UMNO","0","0","0","0","0","15","1","-999","193","UMNO-Baru","72",,"0","1","0","0","0","15","MCA","28",,"2","0","0","1","0","54","PBB","10",,"0","0","0","0",,"20","9","38",,"PMIP","27",,"1","0","1","0","3","52","DAP","10",,"PKN","5",,"1","3",,"0","0","0","0","0","-999","-999","0","0","7","7","1","888","0.24","1","0","1","0","-999","-999",,"0","0",,"1","0","820","
, 1 "
"Bosnia-Herz","BIH","2014","2","4","1","0","1","0","0","-999","-999","-999","NA","0","0","0","0","0","0","-999","-999","42","SDP","8","17.329999999999998","3","0","0","0","0","15","SNSD","8",,"0","0","0","0","0","18",,,,,,,,,,,,,"SDA","7",,"0","1","0","1","0","24","SDS","4",,"SBB","4",,"7","11",,,,,,,"10","10","1","1","7","7","42","-999","-999","0","1","0","0","0","0",,"0","0","2","1","1","346","
, 1 "
"Panama","PAN","1992","0","3","1","2",,"0","-999","62","-999","2","PA","1","0","0","0","0","2","0","-999","67","PDC","28",,"1","0","0","0","1",,"Molirena","16",,"1","0","0","0","0","11","PA","7",,"1","0","0","0","0","2","1","4",,"PRD","10",,"0","0","0","0","0","14","Pala","1",,"PLN","1",,"0","0","0","0","0","0","0","-999","-999","-999","0","0","7","7",,"-999","-999","1","1",,"5","0","0",,"1","1","1",,"-999","95","
, 1 "
"Ecuador","ECU","1994","0","2","1","2","0","0","1","32.9","58","2","PUR","3","0","0","0","0","3","0","-999","77","PUR","12",,"3","0","0","0","0","3","PCE","6",,"1","0","0","0","0","18","NA","0","0","-999","-999","-999","-999","-999","-999","0","0","0","PSC","21",,"1","0","0","0","0","43","PRE","13",,"ID","7",,"8","18",,"0","0","0","0","-999","5","-999","1","0","7","7","5.6","-999","-999","0","1","0",,,"1",,"0","0","2","0","-999","130","
, 0 "
"Cent. Af. Rep.","CAF","1997","0","4","1","2","1","0","0","37.299999999999997","52.47","4","MLPC","1","0","0","0","0","18","1","-999","76","MLPC","34",,"1","0","0","0","0","18","PLD","7",,"1","0","0","0","0","4","ADP","6",,"3","0","0","0","0","6","2","6",,"CFD","7",,"0","0","0","0","0","6","RDC","13",,"PSD","3",,"0","0","0","0","0","0","0","0","-999","-999","0","0","7","7","3.9","-999","-999","1","0","1","-999","-999",,,"1","0","0","0","0","482","
, 0 "
"Nepal","NPL","2010","2","2","1",,"1","0","0","-999","-999","2","CPN-M","3","0","0","0","0","16","0","-999","601","CPN-M","220",,"3","0","0","0","0","16","CPN (UML)","103",,"3","0","0","0","0","19","MJF","52",,"0","1","0","1","0","13","3","21",,"NC","110",,"3","0","0","0","0","63","TMLP","20",,"RPP","8",,"16","39",,"28","28",,"0","-999","-999","-999","0","0","7","7","195.59","-999","-999","1","1","0","0","0","1",,"0","0","2","1","-999","790","
, 0 "
"Guinea-Bissau","GNB","2000","0","2","1","-999","1","1","0","38.799999999999997","72","1","PRS","0","0","0","0","0","8","0","-999","105","PRS","38",,"0","0","0","0","0","8","RGB-MB","28",,"0","0","0","0","0","14","AD","4",,"0","0","0","0","0","-999","4","11",,"PAIGC","24",,"3","0","0","0","0","26","NA","0","0","NA","0","0","0","0","0","0","0","0","0","-999","-999","1","0","1","7","2","3.8","-999","-999",,,"-999","-999",,,,"0","0",,,"-999","404",
"Mauritius","MUS","1988","2","6","1","4","1","0","0","-999","-999","6","MSM","3","0","0","0","0","5","0","-999","70","MSM","26",,"3","0","0","0","0","5","Labour","14",,"3","0","0","1","4",,"PMSD","4",,"1","0","0","0","0",,"1","2",,"MMM","24",,"3","0","0","0","0","19","NA","0","0","NA","0","0","0","0","0","0","0","0","0","-999","-999","-999","0","0","7","7","3","-999","-999","1","0","1","-999","-999","-999",,"0","1","2",,"-999","590",
"Indonesia","IDN","2011","0","7","1","3","1","1","0","60.8","-999","7","PD","0","0","0","0","0","9","0","-999","548","PD","148",,"0","0","0","0","0","9","Golkar","108",,"0","0","0","0","0","47","PKS","59",,"0","0","0","0","3","13","3","107",,"PDI-P","93",,"0","0","0","0","0","38","Gerinda","30",,"Hanura","15",,"0","0","0","0","0","0","0","0","-999","-999","0","0","7","7","16.97","-999","-999","0","1","0","2.5","0","1",,"0","1","2",,"-999","850","
, 2 "
"Tajikistan","TJK","1997","0","5","1","2","1","0","1","58.3","-999","6","PDPT","3","0","0","0","0","4",,"-999","68","PDPT","5",,"3","0","0","0","0","4","independent",,,"0","0","0","0","0","-999","independent",,,"0","0","0","0","0","-999",,,,"CPT","60",,"3","1","0","0","0","73","PPUA","2",,"TPEPR","1",,,,,,,,,,"-999","-999","0","0","7","7","1","-999","-999","1","0","1","-999","0","1",,"1","1","1",,,"702","
, 1 "
"Mauritius","MUS","1992","2","10","1","4","1","0","0","-999","-999","10","MSM","3","0","0","0","0","9","0","-999","66","MSM","29",,"3","0","0","0","0","9","MMM","26",,"2","0","0","0","0","23","MTD","2",,"3","0","0","0","0",,"1","2",,"Labour","6",,"3","0","0","1","4",,"PMSD","1",,"NA","0","0","0","0","0","0","0","0","0","-999","-999","-999","0","0","7","7","3","-999","-999","1","0","1","-999","-999","-999",,"0","1","2",,"-999","590",
"ROK","KOR","1976","1","15","1","1","1","1","0","-999","-999","13","DRP","1","0","0","0","0",,"1",,"215","DRP","141",,"1","0","0","0","0",,"NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","0","0","0","NDP","57",,"0","0","0","0","0",,"DUP","3",,"independent","1",,"13","13",,"0","0","0","0","-999","-999","-999","0","0","7","6.5",,"-999","-999","1","1","1","5","0",,,"0","0",,,"-999","732",
"Mongolia","MNG","2014","0","5","1","4","1","0","0","50.23","-999","5","DP","0","0","0","0","0","14","0","-999","76","DP","36",,"0","0","0","0","0","14","CW-GP","2",,"0","0","0","0","0",,"Justice Coalition","11",,"0","0","0","0","0",,"0","0","0","MPP","24",,"0","0","0","0","0",,"NA","0","0","NA","0",,"0","0",,"3","3",,"0","-999","-999","-999","0","0","7","7","2.9","-999","-999","0","1","0","5",,"1","1","1","0","1",,"-999","712","
, 1 "
"Azerbaijan","AZE","2006","0","3","1","2","1","0","1","79.53","-999","13","YAP","0","0","0","0","0","14","0","-999","115","YAP","56",,"0","0","0","0","0","14","AP","2",,"0","0","0","0","0","16","NA","0","0","-999","-999","-999","-999","-999","-999","0","0","0","Freedom","6",,"0","0","0","0","0","1","VHP","2",,"NA","0","0","6","6",,"43","43",,"0","-999","-999","-999","0","0","7","6","1","-999","-999","1","0","1",,"-999","1","-999","0","1","1",,"-999","373","
, 1 "
"Bulgaria","BGR","2011","2","2","1","2","1","0","0","-999","-999","2","GERB","1","0","0","0","0","5","0","-999","240","GERB","116","43.06","1","0","0","0","0","5","ATAKA","22","10.050000000000001","1","1","0","0","0","6","SK","15","7.18","1","0","0","0","0","2","1","10","4.1500000000000004","KZB","40","19.940000000000001","0","0","0","0","0","9","DPS","38","15.79","NA","0","0","0","0","0","0","0","0","0","-999","-999","10","0","1","7","7","7.74","-999","-999","0","1","0","4","1","1",,"0","0","2","0","-999","355","
, 2 "
"Congo","COG","2007","0","10","1","2","1","1","1","89.4","-999","10","PCT","3","0","0","0","0","38","0","-999","130","PCT","53",,"3","0","0","0","0","38","FDU","30",,"0","0","0","0","0","13","NA","0","0","-999","-999","-999","-999","-999","-999","0","0","0","UDR-Mwinda","6",,"0","0","0","0","0","15","UPADS","5",,"NA","0","0","0","0","0","20","36",,"0","0","6","-999","1","0","7","6","1","888","0.33","1","0","1","-999",,,,"0","0",,"0","1","484","
, 1 "
"Belarus","BLR","1998","0","4","1","1","1","0","1","44.8","80.099999999999994","-999","independent","0","0","0","0","0","-999","0","-999","0","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","-999","0","0","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","NA","0","0","-999","0","0","-999","0","0","0","-999","-999","-999","0","0","1","6","-999","888",,"-999","-999","-999","-999","0","1",,"1","0","0","0","1","370","
, 0 "
"Burkina Faso","BFA","2003","0","12","1","2","1","1","0","87.53","-999","12","independent","0","-999","-999","-999","-999","-999","-999","-999","111","CDP","57","49.47","0","0","0","0","0","7","ADF-RDA","17","12.65","3","0","0","0","0","1","NA","0","0","-999","-999","-999","-999","-999","-999","0","0","0","PDP-PS","10","7.54","0","1","0","0","0","1","CFD","5","4.42","PAI","5","3.62","0","0","0","8","17","22.19","0","0","-999","-999","0","0","7","3","7.9","-999","-999","0","1","0","0","0","1","1","1","0",,,"-999","439",
"Azerbaijan","AZE","1989","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","NA","-999","-999","-999","-999","-999","-999","-999","-999","0","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","-999","0","0","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","NA","0","0","-999","0","0","-999","0","0","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","373","
, -999 "
"Belarus","BLR","1984","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","NA","-999","-999","-999","-999","-999","-999","-999","-999","0","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","-999","0","0","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","NA","0","0","-999","0","0","-999","0","0","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","370","
, -999 "
"Angola","AGO","2014","0","35","0","2","-999","0","1","49.57","-999","39","MPLA","3","1","0","0","0","58","1","-999","220","MPLA","175","71.849999999999994","3","1","0","0","0","58","NA","0","0","0","0","0","0","0","48","NA","0","0","-999","-999","-999","-999","-999","-999","0","0","0","UNITA","32","18.670000000000002","0","0","0","0","0",,"CASA-CE","8","6","PRS","3","1.7","20","2","1.1299999999999999","0","0","0","0","-999","-999","-999","0","0","7","2","78.900000000000006","-999","-999","0","1","0","0","1","1",,"0","0","0",,"-999","540","
, 1 "
"Brazil","BRA","2004","0","2","1","2","1","0","0","46.4","61.3","2","PT","3","0","0","0","0","24","0","-999","507","PT","91","18.2","3","0","0","0","0","24","PMDB","75","13.2","2","0","0","0","0","25","PP","49","7.7","2","0","0","0","0","9","2","27","4.5999999999999996","PFL","84","13.3","1","0","0","0","0","20","PSDB","70","14.1","PTB","26","4.5999999999999996","6","76","18.8","9","9","2.4","0","0","-999","-999","0","0","7","7","19","3","0.14000000000000001","1","1","0","5","0","0",,"0","0","2","1","1","140","
, 2 "
"Benin","BEN","1995","0","4","1","1","1","0","0","36.159999999999997","-999","4","PRB","3","0","0","0","0","3","1","-999","0","PRB","0",,"0","0","0","0","0",,"RAP",,,"0","0","0","0","0",,"NA","0","0","-999","-999","-999","-999","-999","-999","-999","0","0","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","NA","0","0","-999","0","0","7",,,"0","-999","5","-999","1","0","6.5","7","13.8","-999","-999","0","1","0","0","0","1",,"0","0","2","1","-999","434","
, 2 "
"Vanuatu","VUT","1982","2","3","1","1","1","0","-999","-999","-999","3","VP","3","1","0","0","0","10","1","-999","39","VP","26",,"3","1","0","0","0","10","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","0","0","0","NAG","13",,"0","1","0","1","0",,"NA","0","0","NA","0","0","0","0","0","0","0","0","0","0","-999","-999","0","0","7","7",,"-999","-999","1","0","1","-999","-999","1",,"0","0",,,"-999",,
"Argentina","ARG","1995","0","6","1","0","1","0","0","48.5","-999","6","PJ","1","1","0","0","0","23","1","-999","231","PJ","126","42.3","1","1","0","0","0","23","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","0","0","0","UCR","83","30","2","0","0","0","0","24","UdCD","5","2.6","FR","3","1.4","8","14","23.9","0","0","0","0","0","5","5","1","1","7","7","10.7","888","0.15","0","1","0","3","1","1",,"0","0",,"1","1","160","
, 2 "
"Bolivia","BOL","1983","0","1","1","3","0","0","0","-999","-999","1","UDP","3","0","0","0","0",,"0","-999","142","MIR/MNR-I/PCB","57","0","3","0","0","0","0",,"NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","0","0","0","MNRH","44",,"1","0","0","0","0",,"ADN","30",,"Socialist","11",,"0","0","0","0","0","0","0","0","-999","-999","0","0","7","2",,"3","0.17","1","1","0",,"0","1",,"0","0",,,"1","145","
, 0 "
"Angola","AGO","1996","0","17","1","1","1","0","1","49.57","-999","21","MPLA","3","1","0","0","0","40","1","-999","221","MPLA","130","53.74","3","1","0","0","0","40","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","0","0","0","UNITA","70","34.1","0","0","0","0","0","30","NA","0","0","NA","0","0","0","0","0","10","21","12.15","0","-999","-999","-999","0","0","7","7","78.900000000000006","5","-999","0","1","0","0","1","1",,"1","0","0",,"-999","540","
, 1 "
"Bangladesh","BGD","2002","2","1","1","4","1","0","0","-999","-999","1","BNP","0","1","0","0","0","24","1","-999","298","BNP","191","40.97","1","1","0","0","0","24","Jamaat-i-Islami","17","4.28","0","0","0","0","3","23","BJP","4",,"3","0","0","0","0","1","1","2",,"AL","62","40.130000000000003","0","0","0","0","0","53","Ershad","14","7.5","JP","1",,"1","1",,"6","6",,"0","-999","-999","-999","0","0","7","7","1","-999","-999","1","0","1","-999","-999","-999",,"0","0","0","0","-999","771","
, 0 "
"Bahrain","BHR","1987","0","16","0","-999","-999","0","0","-999","-999","-999","independent","0","0","0","0","0","-999","-999","-999","0","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","-999","0","0","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","NA","0","0","-999","0","0","-999","0","0","-999","-999","-999","-999","0","0","1","2","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","0","0","0","-999","692","
, 0 "
"Angola","AGO","1980","0","1","0","-999","-999","0","0","-999","-999","5","MPLA","3","1","0","0","0","24","-999","-999","0","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","-999","0","0","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","NA","0","0","-999","0","0","-999","0","0","-999","-999","11","-999","1","0","1","2","-999","-999","-999","-999","-999","-999","-999","-999","-999",,"-999","0",,,"-999","540",
"Azerbaijan","AZE","1988","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","NA","-999","-999","-999","-999","-999","-999","-999","-999","0","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","-999","0","0","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","NA","0","0","-999","0","0","-999","0","0","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","373","
, -999 "
"Belarus","BLR","1991","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","NA","-999","-999","-999","-999","-999","-999","-999","-999","0","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","-999","0","0","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","NA","0","0","-999","0","0","-999","0","0","-999","-999","-999","-999","0","0","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","370","
, -999 "
"Turk Cyprus","0","1976","0","1","1","0","1",,,,,"-999","independent","0","1","0","0","0",,"1","-999","0","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","-999","0","0","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","NA","0","0","-999","0","0","-999","0","0","0","-999","-999","6","0","1","1","2",,"-999","-999","-999","-999","-999","2","-999","-999","-999",,,,"0",,,
"Bulgaria","BGR","2012","2","3","1","1","1","0","0","-999","-999","3","GERB","1","0","0","0","0","6","0","-999","240","GERB","116","43.06","1","0","0","0","0","6","ATAKA","23","10.050000000000001","1","1","0","0","0","7","SK","15","7.18","1","0","0","0","0","3","1","10","4.1500000000000004","KZB","40","19.940000000000001","0","0","0","0","0","9","DPS","38","15.79","NA","0","0","0","0","0","0","0","0","0","-999","-999","-999","0","0","7","7","7.74","-999","-999","0","1","0","4","1","1",,"0","0","2","0","-999","355","
, 2 "
"Armenia","ARM","1996","0","6","1","0","1","0","0","83","-999","6","PANM","0","1","0","0","0","7","1","-999","189","PANM/Repub. Bloc","119","42.66","0","1","0","0","0","7","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","0","0","0","Shamiram Women's Party","8","16.88","0","0","0","0","0","5","DPA","7","12.1","NDU","5","7.51","48","50","9.3800000000000008","0","0","0","0","-999","-999","9","0","1","7","6","24.5","-999","-999","1","1","1","5","-999","1","-999","0","0","2",,"-999","371","
, 1 "
"Belize","BLZ","2004","2","6","1","4","1","0","0","-999","-999","6","PUP","1","0","0","0","0","54","1","-999","29","PUP","22","53.2","1","0","0","0","0","54","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","0","0","0","UDP","7","45.6","1","0","0","0","0","30","NA","0","0","NA","0","0","0","0","0","0","0","0","0","-999","-999","-999","0","0","6","7","1","-999","-999","1","0","1","-999","-999","-999",,"0","0","0","0","0","80","
, 0 "
"Bahamas","BHS","1998","2","1","1","4","1","0","0","-999","-999","6","FNM","1","0","0","0","0","26","1","-999","40","FNM","34","57.7","1","0","0","0","0","26","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","0","0","0","PLP","6","41.9","2","0","0","0","0","45","NA","0","0","NA","0","0","0","0","0","0","0","0","0","0","-999","-999","0","0","7","7","1","-999",,"1","0","1","-999","-999","-999",,"0","0",,,"0","31","
, 0 "
"Argentina","ARG","1984","0","1","1","5","0","0","0","51.8","-999","1","UCR","2","0","0","0","0","13","1","-999","253","UCR","129","46.81","2","0","0","0","0","13","NA","0","0","-999","-999","-999","-999","-999","-999","NA","0","0","-999","-999","-999","-999","-999","-999","0","0","0","FJDL","111","37.08","3","0","0","0","0",,"Partido Intrans.","3","2.72","UdCD","1","1.59","24","9","2.3199999999999998","0","0","0","0","0","-999","-999","0","0","7","7","10.7","888","0.15","0","1","0","3","1","1",,"0","0",,"1","1","160","
, 2 "
"Congo","COG","1994","0","2","1","3","1","0","1","35.89","61.3","2","UPADS","3","0","0","0","0",,"0","-999","125","UPADS","47",,"3","0","0","0","0",,"RDD","6",,"2","0","0","0","0",,"UFD","3",,"2","0","0","0","0",,"4","9",,"MCDDI","28",,"1","0","0","0","0",,"PCT","15",,"RDPS","10",,"5","7",,"0","0","0","0","0","-999","-999","0","0","7","6.5",,,"0.32",,,"-999","-999",,,,"0","0",,"0","1","484","
, 1 "
