"operation_number","document_title","iati_document_code","iati_document_code_name","language","document_link","document_type"
"AR-L1001","Informe para Publicación_PMR-#AR-L1001-2010-2º-Periodo","A08","Results, outcomes and outputs","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312406","Project Monitoring Report ( Public version)"
"AR-L1001","Report for Publication_PMR-#AR-L1001-2010-2º-Period","A01","Pre- and post-project impact appraisal","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312982","Project Monitoring Report ( Public version)"
"AR-L1001","Report for Publication_PMR-#AR-L1001-2010-2º-Period","A05","Budget","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312982","Project Monitoring Report ( Public version)"
"AR-L1001","Report for Publication_PMR-#AR-L1001-2010-2º-Period","A07","Review of project performance and evaluation","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312982","Project Monitoring Report ( Public version)"
"AR-L1001","Report for Publication_PMR-#AR-L1001-2010-2º-Period","A08","Results, outcomes and outputs","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312982","Project Monitoring Report ( Public version)"
"AR-L1001","Programa de Fortalecimiento Institucional de la Secretaría de Política Económica (PCR - AR-L1001) ","A01","Pre- and post-project impact appraisal","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36326811","Project Completion Report"
"AR-L1001","Programa de Fortalecimiento Institucional de la Secretaría de Política Económica (PCR - AR-L1001) ","A02","Objectives / Purpose of activity","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36326811","Project Completion Report"
"AR-L1001","Programa de Fortalecimiento Institucional de la Secretaría de Política Económica (PCR - AR-L1001) ","A03","Intended ultimate beneficiaries","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36326811","Project Completion Report"
"AR-L1001","Programa de Fortalecimiento Institucional de la Secretaría de Política Económica (PCR - AR-L1001) ","A05","Budget","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36326811","Project Completion Report"
"AR-L1001","Programa de Fortalecimiento Institucional de la Secretaría de Política Económica (PCR - AR-L1001) ","A06","Summary information about contract","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36326811","Project Completion Report"
"AR-L1001","Programa de Fortalecimiento Institucional de la Secretaría de Política Económica (PCR - AR-L1001) ","A07","Review of project performance and evaluation","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36326811","Project Completion Report"
"AR-L1001","Programa de Fortalecimiento Institucional de la Secretaría de Política Económica (PCR - AR-L1001) ","A08","Results, outcomes and outputs","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36326811","Project Completion Report"
"AR-L1002","Informe para Publicación_PMR-#AR-L1002-2011-1º-Periodo","A01","Pre- and post-project impact appraisal","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36624835","Project Monitoring Report ( Public version)"
"AR-L1002","Informe para Publicación_PMR-#AR-L1002-2011-1º-Periodo","A05","Budget","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36624835","Project Monitoring Report ( Public version)"
"AR-L1002","Informe para Publicación_PMR-#AR-L1002-2011-1º-Periodo","A07","Review of project performance and evaluation","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36624835","Project Monitoring Report ( Public version)"
"AR-L1002","Informe para Publicación_PMR-#AR-L1002-2011-1º-Periodo","A08","Results, outcomes and outputs","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36624835","Project Monitoring Report ( Public version)"
"AR-L1002","Report for Publication_PMR-#AR-L1002-2011-1º-Period","A01","Pre- and post-project impact appraisal","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36625403","Project Monitoring Report ( Public version)"
"AR-L1002","Report for Publication_PMR-#AR-L1002-2011-1º-Period","A05","Budget","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36625403","Project Monitoring Report ( Public version)"
"AR-L1002","Report for Publication_PMR-#AR-L1002-2011-1º-Period","A07","Review of project performance and evaluation","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36625403","Project Monitoring Report ( Public version)"
"AR-L1002","Report for Publication_PMR-#AR-L1002-2011-1º-Period","A08","Results, outcomes and outputs","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36625403","Project Monitoring Report ( Public version)"
"AR-L1002","Informe para Publicación_PMR-#AR-L1002-2011-2º-Periodo","A01","Pre- and post-project impact appraisal","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36923685","Project Monitoring Report ( Public version)"
"AR-L1002","Informe para Publicación_PMR-#AR-L1002-2011-2º-Periodo","A05","Budget","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36923685","Project Monitoring Report ( Public version)"
"AR-L1002","Informe para Publicación_PMR-#AR-L1002-2011-2º-Periodo","A07","Review of project performance and evaluation","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36923685","Project Monitoring Report ( Public version)"
"AR-L1002","Informe para Publicación_PMR-#AR-L1002-2011-2º-Periodo","A08","Results, outcomes and outputs","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36923685","Project Monitoring Report ( Public version)"
"AR-L1002","Report for Publication_PMR-#AR-L1002-2010-2º-Period","A01","Pre- and post-project impact appraisal","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312983","Project Monitoring Report ( Public version)"
"AR-L1002","Report for Publication_PMR-#AR-L1002-2010-2º-Period","A05","Budget","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312983","Project Monitoring Report ( Public version)"
"AR-L1002","Report for Publication_PMR-#AR-L1002-2010-2º-Period","A07","Review of project performance and evaluation","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312983","Project Monitoring Report ( Public version)"
"AR-L1002","Report for Publication_PMR-#AR-L1002-2010-2º-Period","A08","Results, outcomes and outputs","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312983","Project Monitoring Report ( Public version)"
"AR-L1002","Informe para Publicación_PMR-#AR-L1002-2010-2º-Periodo","A01","Pre- and post-project impact appraisal","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312407","Project Monitoring Report ( Public version)"
"AR-L1002","Informe para Publicación_PMR-#AR-L1002-2010-2º-Periodo","A05","Budget","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312407","Project Monitoring Report ( Public version)"
"AR-L1002","Informe para Publicación_PMR-#AR-L1002-2010-2º-Periodo","A07","Review of project performance and evaluation","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312407","Project Monitoring Report ( Public version)"
"AR-L1002","Informe para Publicación_PMR-#AR-L1002-2010-2º-Periodo","A08","Results, outcomes and outputs","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312407","Project Monitoring Report ( Public version)"
"AR-L1002","Report for Publication_PMR-#AR-L1002-2011-2º-Period","A01","Pre- and post-project impact appraisal","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36926293","Project Monitoring Report ( Public version)"
"AR-L1002","Report for Publication_PMR-#AR-L1002-2011-2º-Period","A05","Budget","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36926293","Project Monitoring Report ( Public version)"
"AR-L1002","Report for Publication_PMR-#AR-L1002-2011-2º-Period","A07","Review of project performance and evaluation","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36926293","Project Monitoring Report ( Public version)"
"AR-L1002","Report for Publication_PMR-#AR-L1002-2011-2º-Period","A08","Results, outcomes and outputs","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36926293","Project Monitoring Report ( Public version)"
"AR-L1002","Informe para Publicación_PMR-#AR-L1002-2012-1º-Periodo","A01","Pre- and post-project impact appraisal","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37353088","Project Monitoring Report ( Public version)"
"AR-L1002","Informe para Publicación_PMR-#AR-L1002-2012-1º-Periodo","A05","Budget","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37353088","Project Monitoring Report ( Public version)"
"AR-L1002","Informe para Publicación_PMR-#AR-L1002-2012-1º-Periodo","A07","Review of project performance and evaluation","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37353088","Project Monitoring Report ( Public version)"
"AR-L1002","Informe para Publicación_PMR-#AR-L1002-2012-1º-Periodo","A08","Results, outcomes and outputs","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37353088","Project Monitoring Report ( Public version)"
"AR-L1002","Report for Publication_PMR-#AR-L1002-2012-1º-Period","A01","Pre- and post-project impact appraisal","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37353748","Project Monitoring Report ( Public version)"
"AR-L1002","Report for Publication_PMR-#AR-L1002-2012-1º-Period","A05","Budget","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37353748","Project Monitoring Report ( Public version)"
"AR-L1002","Report for Publication_PMR-#AR-L1002-2012-1º-Period","A07","Review of project performance and evaluation","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37353748","Project Monitoring Report ( Public version)"
"AR-L1002","Report for Publication_PMR-#AR-L1002-2012-1º-Period","A08","Results, outcomes and outputs","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37353748","Project Monitoring Report ( Public version)"
"AR-L1002","Informe para Publicación_PMR-#AR-L1002-2012-2º-Periodo","A01","Pre- and post-project impact appraisal","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37874191","Project Monitoring Report ( Public version)"
"AR-L1002","Informe para Publicación_PMR-#AR-L1002-2012-2º-Periodo","A05","Budget","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37874191","Project Monitoring Report ( Public version)"
"AR-L1002","Informe para Publicación_PMR-#AR-L1002-2012-2º-Periodo","A07","Review of project performance and evaluation","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37874191","Project Monitoring Report ( Public version)"
"AR-L1002","Informe para Publicación_PMR-#AR-L1002-2012-2º-Periodo","A08","Results, outcomes and outputs","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37874191","Project Monitoring Report ( Public version)"
"AR-L1002","Report for Publication_PMR-#AR-L1002-2012-2º-Period","A01","Pre- and post-project impact appraisal","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37874915","Project Monitoring Report ( Public version)"
"AR-L1002","Report for Publication_PMR-#AR-L1002-2012-2º-Period","A05","Budget","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37874915","Project Monitoring Report ( Public version)"
"AR-L1002","Report for Publication_PMR-#AR-L1002-2012-2º-Period","A07","Review of project performance and evaluation","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37874915","Project Monitoring Report ( Public version)"
"AR-L1002","Report for Publication_PMR-#AR-L1002-2012-2º-Period","A08","Results, outcomes and outputs","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37874915","Project Monitoring Report ( Public version)"
"AR-L1002","ARGENTINA_PCR_Programa de Fortalecimiento Institucional Productivo y Gestion Fiscal Provincial (PROFIP)","A01","Pre- and post-project impact appraisal","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37884444","Project Completion Report"
"AR-L1002","ARGENTINA_PCR_Programa de Fortalecimiento Institucional Productivo y Gestion Fiscal Provincial (PROFIP)","A02","Objectives / Purpose of activity","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37884444","Project Completion Report"
"AR-L1002","ARGENTINA_PCR_Programa de Fortalecimiento Institucional Productivo y Gestion Fiscal Provincial (PROFIP)","A03","Intended ultimate beneficiaries","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37884444","Project Completion Report"
"AR-L1002","ARGENTINA_PCR_Programa de Fortalecimiento Institucional Productivo y Gestion Fiscal Provincial (PROFIP)","A05","Budget","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37884444","Project Completion Report"
"AR-L1002","ARGENTINA_PCR_Programa de Fortalecimiento Institucional Productivo y Gestion Fiscal Provincial (PROFIP)","A06","Summary information about contract","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37884444","Project Completion Report"
"AR-L1002","ARGENTINA_PCR_Programa de Fortalecimiento Institucional Productivo y Gestion Fiscal Provincial (PROFIP)","A07","Review of project performance and evaluation","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37884444","Project Completion Report"
"AR-L1002","ARGENTINA_PCR_Programa de Fortalecimiento Institucional Productivo y Gestion Fiscal Provincial (PROFIP)","A08","Results, outcomes and outputs","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37884444","Project Completion Report"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2011-2º-Periodo","A01","Pre- and post-project impact appraisal","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36923686","Project Monitoring Report ( Public version)"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2011-2º-Periodo","A05","Budget","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36923686","Project Monitoring Report ( Public version)"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2011-2º-Periodo","A07","Review of project performance and evaluation","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36923686","Project Monitoring Report ( Public version)"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2011-2º-Periodo","A08","Results, outcomes and outputs","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36923686","Project Monitoring Report ( Public version)"
"AR-L1003","Report for Publication_PMR-#AR-L1003-2011-1º-Period","A01","Pre- and post-project impact appraisal","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36625404","Project Monitoring Report ( Public version)"
"AR-L1003","Report for Publication_PMR-#AR-L1003-2011-1º-Period","A05","Budget","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36625404","Project Monitoring Report ( Public version)"
"AR-L1003","Report for Publication_PMR-#AR-L1003-2011-1º-Period","A07","Review of project performance and evaluation","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36625404","Project Monitoring Report ( Public version)"
"AR-L1003","Report for Publication_PMR-#AR-L1003-2011-1º-Period","A08","Results, outcomes and outputs","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36625404","Project Monitoring Report ( Public version)"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2011-1º-Periodo","A01","Pre- and post-project impact appraisal","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36624836","Project Monitoring Report ( Public version)"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2011-1º-Periodo","A05","Budget","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36624836","Project Monitoring Report ( Public version)"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2011-1º-Periodo","A07","Review of project performance and evaluation","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36624836","Project Monitoring Report ( Public version)"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2011-1º-Periodo","A08","Results, outcomes and outputs","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36624836","Project Monitoring Report ( Public version)"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2010-2º-Periodo","A01","Pre- and post-project impact appraisal","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312408","Project Monitoring Report ( Public version)"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2010-2º-Periodo","A05","Budget","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312408","Project Monitoring Report ( Public version)"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2010-2º-Periodo","A07","Review of project performance and evaluation","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312408","Project Monitoring Report ( Public version)"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2010-2º-Periodo","A08","Results, outcomes and outputs","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312408","Project Monitoring Report ( Public version)"
"AR-L1003","Report for Publication_PMR-#AR-L1003-2010-2º-Period","A01","Pre- and post-project impact appraisal","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312984","Project Monitoring Report ( Public version)"
"AR-L1003","Report for Publication_PMR-#AR-L1003-2010-2º-Period","A05","Budget","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312984","Project Monitoring Report ( Public version)"
"AR-L1003","Report for Publication_PMR-#AR-L1003-2010-2º-Period","A07","Review of project performance and evaluation","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312984","Project Monitoring Report ( Public version)"
"AR-L1003","Report for Publication_PMR-#AR-L1003-2010-2º-Period","A08","Results, outcomes and outputs","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36312984","Project Monitoring Report ( Public version)"
"AR-L1003","Report for Publication_PMR-#AR-L1003-2012-1º-Period","A01","Pre- and post-project impact appraisal","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37353749","Project Monitoring Report ( Public version)"
"AR-L1003","Report for Publication_PMR-#AR-L1003-2012-1º-Period","A05","Budget","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37353749","Project Monitoring Report ( Public version)"
"AR-L1003","Report for Publication_PMR-#AR-L1003-2012-1º-Period","A07","Review of project performance and evaluation","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37353749","Project Monitoring Report ( Public version)"
"AR-L1003","Report for Publication_PMR-#AR-L1003-2012-1º-Period","A08","Results, outcomes and outputs","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37353749","Project Monitoring Report ( Public version)"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2012-1º-Periodo","A01","Pre- and post-project impact appraisal","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37353090","Project Monitoring Report ( Public version)"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2012-1º-Periodo","A05","Budget","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37353090","Project Monitoring Report ( Public version)"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2012-1º-Periodo","A07","Review of project performance and evaluation","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37353090","Project Monitoring Report ( Public version)"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2012-1º-Periodo","A08","Results, outcomes and outputs","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37353090","Project Monitoring Report ( Public version)"
"AR-L1003","Report for Publication_PMR-#AR-L1003-2011-2º-Period","A01","Pre- and post-project impact appraisal","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36926294","Project Monitoring Report ( Public version)"
"AR-L1003","Report for Publication_PMR-#AR-L1003-2011-2º-Period","A05","Budget","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36926294","Project Monitoring Report ( Public version)"
"AR-L1003","Report for Publication_PMR-#AR-L1003-2011-2º-Period","A07","Review of project performance and evaluation","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36926294","Project Monitoring Report ( Public version)"
"AR-L1003","Report for Publication_PMR-#AR-L1003-2011-2º-Period","A08","Results, outcomes and outputs","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=36926294","Project Monitoring Report ( Public version)"
"AR-L1003","Report for Publication_PMR-#AR-L1003-2012-2º-Period","A01","Pre- and post-project impact appraisal","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37874917","Project Monitoring Report ( Public version)"
"AR-L1003","Report for Publication_PMR-#AR-L1003-2012-2º-Period","A05","Budget","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37874917","Project Monitoring Report ( Public version)"
"AR-L1003","Report for Publication_PMR-#AR-L1003-2012-2º-Period","A07","Review of project performance and evaluation","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37874917","Project Monitoring Report ( Public version)"
"AR-L1003","Report for Publication_PMR-#AR-L1003-2012-2º-Period","A08","Results, outcomes and outputs","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37874917","Project Monitoring Report ( Public version)"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2012-2º-Periodo","A01","Pre- and post-project impact appraisal","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37874192","Project Monitoring Report ( Public version)"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2012-2º-Periodo","A05","Budget","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37874192","Project Monitoring Report ( Public version)"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2012-2º-Periodo","A07","Review of project performance and evaluation","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37874192","Project Monitoring Report ( Public version)"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2012-2º-Periodo","A08","Results, outcomes and outputs","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=37874192","Project Monitoring Report ( Public version)"
"AR-L1003","AR-L1003 Second period Jan-Dec 2013-Public Report","A01","Pre- and post-project impact appraisal","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=40169250","Project Monitoring Report ( Public version)"
"AR-L1003","AR-L1003 Second period Jan-Dec 2013-Public Report","A05","Budget","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=40169250","Project Monitoring Report ( Public version)"
"AR-L1003","AR-L1003 Second period Jan-Dec 2013-Public Report","A07","Review of project performance and evaluation","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=40169250","Project Monitoring Report ( Public version)"
"AR-L1003","AR-L1003 Second period Jan-Dec 2013-Public Report","A08","Results, outcomes and outputs","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=40169250","Project Monitoring Report ( Public version)"
"AR-L1003","AR-L1003 First period Jan-Jun 2014-Public Report","A01","Pre- and post-project impact appraisal","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=40175872","Project Monitoring Report ( Public version)"
"AR-L1003","AR-L1003 First period Jan-Jun 2014-Public Report","A05","Budget","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=40175872","Project Monitoring Report ( Public version)"
"AR-L1003","AR-L1003 First period Jan-Jun 2014-Public Report","A07","Review of project performance and evaluation","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=40175872","Project Monitoring Report ( Public version)"
"AR-L1003","AR-L1003 First period Jan-Jun 2014-Public Report","A08","Results, outcomes and outputs","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=40175872","Project Monitoring Report ( Public version)"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2013-1º-Periodo","A01","Pre- and post-project impact appraisal","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=38266409","Project Monitoring Report ( Public version)"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2013-1º-Periodo","A05","Budget","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=38266409","Project Monitoring Report ( Public version)"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2013-1º-Periodo","A07","Review of project performance and evaluation","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=38266409","Project Monitoring Report ( Public version)"
"AR-L1003","Informe para Publicación_PMR-#AR-L1003-2013-1º-Periodo","A08","Results, outcomes and outputs","Spanish","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=38266409","Project Monitoring Report ( Public version)"
"AR-L1003","Report for Publication_PMR-#AR-L1003-2013-1º-Period","A01","Pre- and post-project impact appraisal","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=38267073","Project Monitoring Report ( Public version)"
"AR-L1003","Report for Publication_PMR-#AR-L1003-2013-1º-Period","A05","Budget","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=38267073","Project Monitoring Report ( Public version)"
"AR-L1003","Report for Publication_PMR-#AR-L1003-2013-1º-Period","A07","Review of project performance and evaluation","English","http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=38267073","Project Monitoring Report ( Public version)"
