"year","county","mortality_per_100_000","geocoded_column"
"2016","Marquette","48.2","POINT (-87.559382 46.644579)"
"2015","Sanilac","43.4","POINT (-84.185712 42.949754)"
"2012","Isabella","28.3","POINT (-84.856793 43.598799)"
"2013","Grand Traverse","53.3","POINT (-85.520024 44.687984)"
"2017","Tuscola","34.1","POINT (-83.50702 43.530114000000005)"
"2014","Newaygo","41.7","POINT (-85.766664 43.559358)"
"2016","Menominee","25.8","POINT (-87.574628 45.499528)"
"2014","Saginaw","46.1","POINT (-84.016742 43.404425)"
"2010","Alcona","73.5","POINT (-83.60224 44.672794)"
"2011","Otsego","70.4","POINT (-84.64824 45.099206)"
"2010","Presque Isle","82.7","POINT (-83.961353 45.369264)"
"2013","Ottawa","38","POINT (-86.093731 42.953023)"
"2015","Huron","47.1","POINT (-82.820974 43.946679)"
"2013","Saginaw","50.3","POINT (-84.016742 43.404425)"
"2015","Barry","40.4","POINT (-85.354965 42.53543200000001)"
"2014","Alcona",,"POINT (-83.60224 44.672794)"
"2015","Ontonagon",,"POINT (-89.313119 46.872791)"
"2011","Newaygo","26.8","POINT (-85.766664 43.559358)"
"2014","St. Joseph","37.7","POINT (-86.190362 46.069352)"
"2015","Mason","93.7","POINT (-86.2801 43.9547)"
"2011","Huron","45.8","POINT (-82.820974 43.946679)"
"2016","Montmorency","130.8","POINT (-84.140314 45.074279)"
"2010","Muskegon","51.2","POINT (-86.126106 43.294941)"
"2016","Calhoun","47.6","POINT (-85.023346 42.207391)"
"2017","Gogebic","84.7","POINT (-89.921474 46.439279)"
"2015","Charlevoix","42","POINT (-85.061904 45.244217)"
"2012","Antrim","34.3","POINT (-85.176909 44.973044)"
"2016","Ontonagon",,"POINT (-89.313119 46.872791)"
"2016","Allegan","52.8","POINT (-85.908443 42.593874)"
"2013","Schoolcraft","84.8","POINT (-82.648344 43.016179)"
"2010","Van Buren","39.4","POINT (-86.012157 42.245967)"
"2016","Lapeer","46.4","POINT (-83.1649 43.048243)"
"2012","Monroe","49.1","POINT (-83.50702 41.973889)"
"2013","Lake","158.1","POINT (-85.848624 43.9447)"
"2013","Lapeer","39.6","POINT (-83.1649 43.048243)"
"2014","Genesee","64","POINT (-83.677393 43.077729)"
"2017","Arenac","66.5","POINT (-83.893019 44.074876)"
"2011","Hillsdale","49.3","POINT (-84.522219 41.868596)"
"2013","Kalkaska","34.7","POINT (-85.023346 44.667444)"
"2012","Berrien","71.8","POINT (-86.520538 41.95246100000001)"
"2014","Gladwin","39.3","POINT (-84.354205 44.032789)"
"2015","Lake","87.8","POINT (-85.848624 43.9447)"
"2011","Jackson","43.2","POINT (-84.354205 42.176436)"
"2012","Montcalm","50.7","POINT (-85.189405 43.305734)"
"2010","Oscoda","69.7","POINT (-84.185712 44.62789)"
"2016","Livingston","36.1","POINT (-83.84730200000001 42.620795)"
"2017","Washtenaw","33.7","POINT (-83.84730200000001 42.307649)"
"2017","Clare","75","POINT (-84.856793 44.056505)"
"2016","Osceola","77.9","POINT (-85.354965 43.925728)"
"2014","Lake","97.1","POINT (-85.848624 43.9447)"
"2010","Leelanau","64.5","POINT (-85.8556 44.8555)"
"2015","Crawford","72.4","POINT (-84.68975 44.652432)"
"2016","Houghton","65.7","POINT (-88.569401 47.121122)"
"2015","Tuscola","63.2","POINT (-83.50702 43.530114000000005)"
"2011","Kalkaska","69.9","POINT (-85.023346 44.667444)"
"2016","Macomb","44.5","POINT (-82.820974 42.716876)"
"2015","Mackinac","82.6","POINT (-84.996308 46.023372)"
"2011","Wayne","46.1","POINT (-83.336188 42.279075)"
"2013","Barry","57.5","POINT (-85.354965 42.53543200000001)"
"2014","Chippewa","62.7","POINT (-84.593209 46.311708)"
"2017","Livingston","43.2","POINT (-83.84730200000001 42.620795)"
"2014","Alpena","31.1","POINT (-83.540541 45.031721)"
"2013","Osceola","43","POINT (-85.354965 43.925728)"
"2017","Monroe","42.8","POINT (-83.50702 41.973889)"
"2011","Alpena","64.8","POINT (-83.540541 45.031721)"
"2015","Gogebic","58.3","POINT (-89.921474 46.439279)"
"2014","Benzie","85.7","POINT (-86.037126 44.645845)"
"2016","Hillsdale","50.2","POINT (-84.522219 41.868596)"
"2017","Kent","32.4","POINT (-85.520024 43.009703)"
"2014","Gratiot","38.5","POINT (-84.68975 43.283651)"
"2015","Dickinson","89.4","POINT (-87.86161 45.960139)"
"2013","Gratiot","57.1","POINT (-84.68975 43.283651)"
"2011","St. Clair","51.4","POINT (-82.734714 43.406904)"
"2017","Jackson","47.9","POINT (-84.354205 42.176436)"
"2014","Emmet","72.3","POINT (-84.976907 45.641897)"
"2012","Midland","32.3","POINT (-84.354205 43.575098)"
"2012","Luce",,"POINT (-85.513329 46.582751)"
"2011","Berrien","63.3","POINT (-86.520538 41.95246100000001)"
"2013","Leelanau","55.3","POINT (-85.8556 44.8555)"
"2015","Kalkaska","63.7","POINT (-85.023346 44.667444)"
"2011","Luce",,"POINT (-85.513329 46.582751)"
"2015","Presque Isle","62.3","POINT (-83.961353 45.369264)"
"2010","Shiawassee","53.8","POINT (-85.520024 41.911804)"
"2015","Chippewa","44.7","POINT (-84.593209 46.311708)"
"2010","Ottawa","29.2","POINT (-86.093731 42.953023)"
"2016","Roscommon","50.6","POINT (-84.68975 44.351611)"
"2017","Huron","51.2","POINT (-82.820974 43.946679)"
"2011","Dickinson","69","POINT (-87.86161 45.960139)"
"2014","Lapeer","46.5","POINT (-83.1649 43.048243)"
"2017","Baraga",,"POINT (-88.30104 46.735276)"
"2011","Charlevoix","76.8","POINT (-85.061904 45.244217)"
"2012","Charlevoix","57.5","POINT (-85.061904 45.244217)"
"2014","Washtenaw","34.8","POINT (-83.84730200000001 42.307649)"
"2015","Arenac","65.4","POINT (-83.893019 44.074876)"
"2011","Kent","30.9","POINT (-85.520024 43.009703)"
"2015","Ogemaw","81.1","POINT (-84.185712 44.327074)"
"2017","Newaygo","76.7","POINT (-85.766664 43.559358)"
"2016","Oscoda","84.7","POINT (-84.185712 44.62789)"
"2013","Eaton","35.1","POINT (-84.773332 42.58865)"
"2011","Emmet","61","POINT (-84.976907 45.641897)"
"2015","Manistee","32.7","POINT (-86.324223 44.24447)"
"2011","Van Buren","43.5","POINT (-86.012157 42.245967)"
"2011","Marquette","51.9","POINT (-87.559382 46.644579)"
"2017","Barry","36.3","POINT (-85.354965 42.53543200000001)"
"2014","Ingham","38","POINT (-84.354205 42.646894)"
"2011","Missaukee","53.5","POINT (-85.023346 44.366621)"
"2012","Emmet","66.9","POINT (-84.976907 45.641897)"
"2012","Huron","61.6","POINT (-82.820974 43.946679)"
"2012","Lake",,"POINT (-85.848624 43.9447)"
"2017","Ottawa","38.1","POINT (-86.093731 42.953023)"
"2014","Houghton","63","POINT (-88.569401 47.121122)"
"2010","Gogebic","91.5","POINT (-89.921474 46.439279)"
"2010","Hillsdale","47.2","POINT (-84.522219 41.868596)"
"2017","Muskegon","50.7","POINT (-86.126106 43.294941)"
"2010","Lenawee","53.2","POINT (-84.016742 41.843386)"
"2017","St. Clair","52.7","POINT (-82.734714 43.406904)"
"2012","Presque Isle","122","POINT (-83.961353 45.369264)"
"2015","Iosco","78.9","POINT (-83.638623 44.334046)"
"2017","Chippewa","47.7","POINT (-84.593209 46.311708)"
"2010","Antrim","51.1","POINT (-85.176909 44.973044)"
"2016","Charlevoix","61.1","POINT (-85.061904 45.244217)"
"2015","Oceana","42.1","POINT (-86.289505 43.643476)"
"2017","Gratiot","48.8","POINT (-84.68975 43.283651)"
"2012","Alcona","94.3","POINT (-83.60224 44.672794)"
"2012","Clinton","36.6","POINT (-84.522219 42.966346)"
"2010","Alpena","50.8","POINT (-83.540541 45.031721)"
"2011","Menominee","41.8","POINT (-87.574628 45.499528)"
"2011","Gladwin","61.9","POINT (-84.354205 44.032789)"
"2012","Iosco","82.7","POINT (-83.638623 44.334046)"
"2012","Sanilac","30.7","POINT (-84.185712 42.949754)"
"2011","Eaton","43.6","POINT (-84.773332 42.58865)"
"2016","Gladwin","47.8","POINT (-84.354205 44.032789)"
"2011","Baraga","102.1","POINT (-88.30104 46.735276)"
"2016","Mackinac","55.5","POINT (-84.996308 46.023372)"
"2017","St. Joseph","55.8","POINT (-86.190362 46.069352)"
"2015","Alger",,"POINT (-86.490452 46.424618)"
"2011","Oscoda",,"POINT (-84.185712 44.62789)"
"2012","Alpena","61.6","POINT (-83.540541 45.031721)"
"2016","Kalamazoo","35.9","POINT (-85.520024 42.227835)"
"2016","Antrim","43.2","POINT (-85.176909 44.973044)"
"2017","Benzie","45.5","POINT (-86.037126 44.645845)"
"2012","Oceana","34.3","POINT (-86.289505 43.643476)"
"2013","Gladwin","35.3","POINT (-84.354205 44.032789)"
"2013","Bay","44","POINT (-84.016742 43.710973)"
"2015","Leelanau","82.1","POINT (-85.8556 44.8555)"
"2015","Montcalm","49.3","POINT (-85.189405 43.305734)"
"2015","Ionia","40.5","POINT (-85.023346 42.989212)"
"2012","Kalamazoo","36.8","POINT (-85.520024 42.227835)"
"2014","St. Clair","47.5","POINT (-82.734714 43.406904)"
"2012","Jackson","50.6","POINT (-84.354205 42.176436)"
"2016","Wexford","36.2","POINT (-85.520024 44.387157)"
"2010","Huron","75.6","POINT (-82.820974 43.946679)"
"2016","Presque Isle","94","POINT (-83.961353 45.369264)"
"2012","Gratiot","59.5","POINT (-84.68975 43.283651)"
"2016","Wayne","48.5","POINT (-83.336188 42.279075)"
"2017","Schoolcraft","74.5","POINT (-82.648344 43.016179)"
"2010","Benzie","57.1","POINT (-86.037126 44.645845)"
"2016","Keweenaw",,"POINT (-88.049091 47.340015)"
"2012","Allegan","35.7","POINT (-85.908443 42.593874)"
"2015","Bay","50.2","POINT (-84.016742 43.710973)"
"2013","Muskegon","56.9","POINT (-86.126106 43.294941)"
"2012","Wexford","73.7","POINT (-85.520024 44.387157)"
"2015","Alcona","96.8","POINT (-83.60224 44.672794)"
"2013","Allegan","40.9","POINT (-85.908443 42.593874)"
"2017","Luce",,"POINT (-85.513329 46.582751)"
"2017","Macomb","46","POINT (-82.820974 42.716876)"
"2014","Iron","158.6","POINT (-88.490278 46.275815)"
"2012","Crawford","50","POINT (-84.68975 44.652432)"
"2012","Dickinson","110.6","POINT (-87.86161 45.960139)"
"2012","Menominee","25.3","POINT (-87.574628 45.499528)"
"2012","Leelanau","55.5","POINT (-85.8556 44.8555)"
"2011","Ionia","37.6","POINT (-85.023346 42.989212)"
"2014","Otsego","29","POINT (-84.64824 45.099206)"
"2011","Mason","83.8","POINT (-86.2801 43.9547)"
"2010","Branch","55.3","POINT (-85.023346 41.891384)"
"2015","Gratiot","53","POINT (-84.68975 43.283651)"
"2013","Ingham","31.1","POINT (-84.354205 42.646894)"
"2014","Shiawassee","50.8","POINT (-85.520024 41.911804)"
"2017","Keweenaw",,"POINT (-88.049091 47.340015)"
"2015","Midland","39.5","POINT (-84.354205 43.575098)"
"2014","Dickinson","96.4","POINT (-87.86161 45.960139)"
"2012","Eaton","41.7","POINT (-84.773332 42.58865)"
"2014","Manistee","45.1","POINT (-86.324223 44.24447)"
"2014","Calhoun","43","POINT (-85.023346 42.207391)"
"2010","Montcalm","45.8","POINT (-85.189405 43.305734)"
"2011","Wexford","45.9","POINT (-85.520024 44.387157)"
"2017","Roscommon","54.4","POINT (-84.68975 44.351611)"
"2012","Ionia","40.7","POINT (-85.023346 42.989212)"
"2012","Newaygo","66.7","POINT (-85.766664 43.559358)"
"2012","Mason","48.8","POINT (-86.2801 43.9547)"
"2014","Jackson","47","POINT (-84.354205 42.176436)"
"2016","Tuscola","58.1","POINT (-83.50702 43.530114000000005)"
"2017","Eaton","55","POINT (-84.773332 42.58865)"
"2015","Alpena","72.9","POINT (-83.540541 45.031721)"
"2016","Mecosta","44","POINT (-85.354965 43.620103)"
"2013","Kent","32.9","POINT (-85.520024 43.009703)"
"2017","Cheboygan","90.7","POINT (-84.56362800000001 45.547226)"
"2013","St. Joseph","49.2","POINT (-86.190362 46.069352)"
"2015","Menominee","42.5","POINT (-87.574628 45.499528)"
"2015","Iron","105.8","POINT (-88.490278 46.275815)"
"2016","Oakland","48.6","POINT (-83.336188 42.592192)"
"2011","Oakland","41.3","POINT (-83.336188 42.592192)"
"2014","Allegan","36.9","POINT (-85.908443 42.593874)"
"2012","Otsego","45.8","POINT (-84.64824 45.099206)"
"2013","Huron","80.6","POINT (-82.820974 43.946679)"
"2013","Kalamazoo","34.6","POINT (-85.520024 42.227835)"
"2014","Mason","69.5","POINT (-86.2801 43.9547)"
"2012","Van Buren","38.5","POINT (-86.012157 42.245967)"
"2013","Ontonagon","95","POINT (-89.313119 46.872791)"
"2014","Gogebic","76.5","POINT (-89.921474 46.439279)"
"2015","Kalamazoo","37.3","POINT (-85.520024 42.227835)"
"2011","Grand Traverse","55.6","POINT (-85.520024 44.687984)"
"2014","Ontonagon",,"POINT (-89.313119 46.872791)"
"2017","Houghton","52.3","POINT (-88.569401 47.121122)"
"2015","Missaukee","46.9","POINT (-85.023346 44.366621)"
"2015","Shiawassee","37.9","POINT (-85.520024 41.911804)"
"2016","Missaukee","59.6","POINT (-85.023346 44.366621)"
"2017","Mackinac",,"POINT (-84.996308 46.023372)"
"2010","Keweenaw",,"POINT (-88.049091 47.340015)"
"2012","Calhoun","66","POINT (-85.023346 42.207391)"
"2012","Mecosta","34.5","POINT (-85.354965 43.620103)"
"2015","Delta","46.7","POINT (-86.9377261 45.7406948)"
"2011","Muskegon","56.5","POINT (-86.126106 43.294941)"
"2011","Osceola","106.6","POINT (-85.354965 43.925728)"
"2010","Midland","39.4","POINT (-84.354205 43.575098)"
"2012","Missaukee","46.5","POINT (-85.023346 44.366621)"
"2011","Bay","54","POINT (-84.016742 43.710973)"
"2015","Clinton","40.1","POINT (-84.522219 42.966346)"
"2016","Crawford","65.5","POINT (-84.68975 44.652432)"
"2010","Crawford","64","POINT (-84.68975 44.652432)"
"2012","Osceola","60.2","POINT (-85.354965 43.925728)"
"2010","Ingham","42.3","POINT (-84.354205 42.646894)"
"2014","Oscoda","95.8","POINT (-84.185712 44.62789)"
"2015","Macomb","44","POINT (-82.820974 42.716876)"
"2013","Clinton","49.3","POINT (-84.522219 42.966346)"
"2012","Ontonagon",,"POINT (-89.313119 46.872791)"
"2010","Washtenaw","26.3","POINT (-83.84730200000001 42.307649)"
"2011","Allegan","33.2","POINT (-85.908443 42.593874)"
"2015","Gladwin","31.7","POINT (-84.354205 44.032789)"
"2016","Cass","60.1","POINT (-86.012157 41.929916)"
"2013","Oceana","64.9","POINT (-86.289505 43.643476)"
"2011","Livingston","28","POINT (-83.84730200000001 42.620795)"
"2011","Montmorency","114.7","POINT (-84.140314 45.074279)"
"2015","Genesee","72.1","POINT (-83.677393 43.077729)"
"2017","Mason","86","POINT (-86.2801 43.9547)"
"2017","Presque Isle","117.3","POINT (-83.961353 45.369264)"
"2015","Ingham","38.5","POINT (-84.354205 42.646894)"
"2011","Shiawassee","34.3","POINT (-85.520024 41.911804)"
"2015","Cheboygan","55.1","POINT (-84.56362800000001 45.547226)"
"2015","Osceola","47.7","POINT (-85.354965 43.925728)"
"2013","Baraga","92.1","POINT (-88.30104 46.735276)"
"2010","St. Joseph","37.5","POINT (-86.190362 46.069352)"
"2017","Otsego","93.7","POINT (-84.64824 45.099206)"
"2011","Mecosta","41.4","POINT (-85.354965 43.620103)"
"2012","Genesee","61.2","POINT (-83.677393 43.077729)"
"2013","Emmet","63.5","POINT (-84.976907 45.641897)"
"2014","Clare","42.3","POINT (-84.856793 44.056505)"
"2012","Muskegon","51.1","POINT (-86.126106 43.294941)"
"2010","Dickinson","130","POINT (-87.86161 45.960139)"
"2012","St. Joseph","60.7","POINT (-86.190362 46.069352)"
"2017","Alger",,"POINT (-86.490452 46.424618)"
"2016","Mason","86.6","POINT (-86.2801 43.9547)"
"2014","Osceola","43.2","POINT (-85.354965 43.925728)"
"2010","Isabella","37","POINT (-84.856793 43.598799)"
"2013","Cass","52.1","POINT (-86.012157 41.929916)"
"2013","Macomb","39.8","POINT (-82.820974 42.716876)"
"2013","Roscommon","62.7","POINT (-84.68975 44.351611)"
"2012","Saginaw","43.4","POINT (-84.016742 43.404425)"
"2012","Kalkaska","46.8","POINT (-85.023346 44.667444)"
"2017","Leelanau","73.9","POINT (-85.8556 44.8555)"
"2012","Arenac","51.6","POINT (-83.893019 44.074876)"
"2016","Clare","69.2","POINT (-84.856793 44.056505)"
"2010","Arenac","56.8","POINT (-83.893019 44.074876)"
"2017","Midland","51.6","POINT (-84.354205 43.575098)"
"2013","Arenac","45.4","POINT (-83.893019 44.074876)"
"2014","Kent","29.7","POINT (-85.520024 43.009703)"
"2011","Delta","75.8","POINT (-86.9377261 45.7406948)"
"2015","Mecosta","39.5","POINT (-85.354965 43.620103)"
"2017","Oscoda","144.8","POINT (-84.185712 44.62789)"
"2017","Clinton","42.1","POINT (-84.522219 42.966346)"
"2010","Lake","52.1","POINT (-85.848624 43.9447)"
"2017","Kalkaska","39.7","POINT (-85.023346 44.667444)"
"2017","Delta","58.4","POINT (-86.9377261 45.7406948)"
"2017","Menominee","34.7","POINT (-87.574628 45.499528)"
"2010","Alger","73.2","POINT (-86.490452 46.424618)"
"2017","Crawford","71.9","POINT (-84.68975 44.652432)"
"2016","Kent","35.5","POINT (-85.520024 43.009703)"
"2013","Ionia","37.5","POINT (-85.023346 42.989212)"
"2010","Roscommon","73.6","POINT (-84.68975 44.351611)"
"2013","Van Buren","38.5","POINT (-86.012157 42.245967)"
"2016","Oceana","69.2","POINT (-86.289505 43.643476)"
"2012","Cheboygan","54.3","POINT (-84.56362800000001 45.547226)"
"2012","Delta","57","POINT (-86.9377261 45.7406948)"
"2010","Delta","56.6","POINT (-86.9377261 45.7406948)"
"2011","Iosco","93.9","POINT (-83.638623 44.334046)"
"2013","Crawford","86.3","POINT (-84.68975 44.652432)"
"2014","Sanilac","38.4","POINT (-84.185712 42.949754)"
"2012","Ingham","37.5","POINT (-84.354205 42.646894)"
"2011","Crawford","114.1","POINT (-84.68975 44.652432)"
"2012","Lenawee","35.4","POINT (-84.016742 41.843386)"
"2013","Otsego","37.3","POINT (-84.64824 45.099206)"
"2012","Roscommon","58","POINT (-84.68975 44.351611)"
"2013","Monroe","44.6","POINT (-83.50702 41.973889)"
"2015","Lenawee","53.9","POINT (-84.016742 41.843386)"
"2011","Cheboygan","57.8","POINT (-84.56362800000001 45.547226)"
"2017","Calhoun","60.4","POINT (-85.023346 42.207391)"
"2015","Antrim","73.5","POINT (-85.176909 44.973044)"
"2014","Berrien","70.1","POINT (-86.520538 41.95246100000001)"
"2011","Lake",,"POINT (-85.848624 43.9447)"
"2010","Wexford","45.8","POINT (-85.520024 44.387157)"
"2014","Cheboygan","97.3","POINT (-84.56362800000001 45.547226)"
"2012","Grand Traverse","58.4","POINT (-85.520024 44.687984)"
"2012","Gladwin","31.4","POINT (-84.354205 44.032789)"
"2015","Wexford","69.8","POINT (-85.520024 44.387157)"
"2010","Berrien","77.2","POINT (-86.520538 41.95246100000001)"
"2011","Alcona","111.4","POINT (-83.60224 44.672794)"
"2017","Shiawassee","62.8","POINT (-85.520024 41.911804)"
"2010","Monroe","41.5","POINT (-83.50702 41.973889)"
"2014","Oceana","38.2","POINT (-86.289505 43.643476)"
"2011","Tuscola","36.1","POINT (-83.50702 43.530114000000005)"
"2010","St. Clair","45.5","POINT (-82.734714 43.406904)"
"2017","Allegan","42.1","POINT (-85.908443 42.593874)"
"2013","Lenawee","41.5","POINT (-84.016742 41.843386)"
"2012","Branch","54.8","POINT (-85.023346 41.891384)"
"2014","Cass","54","POINT (-86.012157 41.929916)"
"2014","Antrim","64.5","POINT (-85.176909 44.973044)"
"2010","Otsego","49.7","POINT (-84.64824 45.099206)"
"2016","Alcona","106.3","POINT (-83.60224 44.672794)"
"2015","Isabella","45.3","POINT (-84.856793 43.598799)"
"2013","Keweenaw",,"POINT (-88.049091 47.340015)"
"2013","Benzie","69","POINT (-86.037126 44.645845)"
"2012","Manistee","36.5","POINT (-86.324223 44.24447)"
"2015","Montmorency","75.6","POINT (-84.140314 45.074279)"
"2016","Van Buren","57.2","POINT (-86.012157 42.245967)"
"2013","Shiawassee","47.9","POINT (-85.520024 41.911804)"
"2014","Van Buren","41.2","POINT (-86.012157 42.245967)"
"2015","Keweenaw",,"POINT (-88.049091 47.340015)"
"2015","Calhoun","51.3","POINT (-85.023346 42.207391)"
"2013","Iron","95.6","POINT (-88.490278 46.275815)"
"2014","Kalamazoo","39","POINT (-85.520024 42.227835)"
"2011","Antrim","42.8","POINT (-85.176909 44.973044)"
"2014","Monroe","50","POINT (-83.50702 41.973889)"
"2011","Keweenaw",,"POINT (-88.049091 47.340015)"
"2015","St. Joseph","64.1","POINT (-86.190362 46.069352)"
"2011","Mackinac","54.2","POINT (-84.996308 46.023372)"
"2010","Baraga",,"POINT (-88.30104 46.735276)"
"2016","Otsego","77.6","POINT (-84.64824 45.099206)"
"2017","Berrien","68.1","POINT (-86.520538 41.95246100000001)"
"2016","Luce","94.4","POINT (-85.513329 46.582751)"
"2010","Oceana","67.9","POINT (-86.289505 43.643476)"
"2015","Oscoda",,"POINT (-84.185712 44.62789)"
"2010","Newaygo","41.3","POINT (-85.766664 43.559358)"
"2015","Otsego","70.1","POINT (-84.64824 45.099206)"
"2016","Alpena","94.1","POINT (-83.540541 45.031721)"
"2013","Clare","55.6","POINT (-84.856793 44.056505)"
"2015","Lapeer","54.3","POINT (-83.1649 43.048243)"
"2014","Roscommon","58.5","POINT (-84.68975 44.351611)"
"2015","Eaton","49.7","POINT (-84.773332 42.58865)"
"2017","Cass","52.5","POINT (-86.012157 41.929916)"
"2016","Sanilac","36.2","POINT (-84.185712 42.949754)"
"2011","Macomb","47.1","POINT (-82.820974 42.716876)"
"2014","Marquette","51.7","POINT (-87.559382 46.644579)"
"2010","Iosco","58.1","POINT (-83.638623 44.334046)"
"2014","Missaukee","46.6","POINT (-85.023346 44.366621)"
"2014","Ionia","23.3","POINT (-85.023346 42.989212)"
"2014","Kalkaska","46","POINT (-85.023346 44.667444)"
"2016","St. Clair","43.9","POINT (-82.734714 43.406904)"
"2017","Bay","48.9","POINT (-84.016742 43.710973)"
"2017","Saginaw","54.7","POINT (-84.016742 43.404425)"
"2012","Montmorency","63.2","POINT (-84.140314 45.074279)"
"2016","Leelanau","50.5","POINT (-85.8556 44.8555)"
"2012","Macomb","43.8","POINT (-82.820974 42.716876)"
"2012","Iron","95","POINT (-88.490278 46.275815)"
"2017","Ionia","29.6","POINT (-85.023346 42.989212)"
"2017","Branch","43.8","POINT (-85.023346 41.891384)"
"2013","Newaygo","56.3","POINT (-85.766664 43.559358)"
"2014","Grand Traverse","67.1","POINT (-85.520024 44.687984)"
"2016","Barry","56.9","POINT (-85.354965 42.53543200000001)"
"2014","Keweenaw",,"POINT (-88.049091 47.340015)"
"2013","Dickinson","88.4","POINT (-87.86161 45.960139)"
"2013","Presque Isle","92","POINT (-83.961353 45.369264)"
"2011","Clare","54.9","POINT (-84.856793 44.056505)"
"2010","Emmet","36.8","POINT (-84.976907 45.641897)"
"2010","Kalkaska","58.4","POINT (-85.023346 44.667444)"
"2011","Cass","45.8","POINT (-86.012157 41.929916)"
"2014","Eaton","50.6","POINT (-84.773332 42.58865)"
"2016","Genesee","80.8","POINT (-83.677393 43.077729)"
"2014","Baraga",,"POINT (-88.30104 46.735276)"
"2017","Lake","116.5","POINT (-85.848624 43.9447)"
"2017","Lapeer","43.1","POINT (-83.1649 43.048243)"
"2011","Chippewa","41.1","POINT (-84.593209 46.311708)"
"2013","Ogemaw","66","POINT (-84.185712 44.327074)"
"2011","Alger","83.8","POINT (-86.490452 46.424618)"
"2017","Emmet","75.3","POINT (-84.976907 45.641897)"
"2011","Isabella","28.3","POINT (-84.856793 43.598799)"
"2010","Mackinac","63.1","POINT (-84.996308 46.023372)"
"2010","Ionia","32.9","POINT (-85.023346 42.989212)"
"2013","Chippewa","33.7","POINT (-84.593209 46.311708)"
"2014","Bay","46.1","POINT (-84.016742 43.710973)"
