"name_of_scholarship","url","county","deadline_date"
"The Gerber Foundation Merit Scholarship","http://www.gerberfoundation.org/scholarships-programs/","Muskegon","2222-03-15T00:00:00.000"
"The Gerber Foundation Merit Scholarship","http://www.gerberfoundation.org/scholarships-programs/","Newaygo","2222-03-16T00:00:00.000"
"The Gerber Foundation Merit Scholarship","http://www.gerberfoundation.org/scholarships-programs/","Oceana","2222-03-17T00:00:00.000"
"Gladwin County Community Foundation Scholarships","http://www.gladwinfoundation.org/scholarships-1/","Gladwin","2222-03-18T00:00:00.000"
"Gull Lake Community Schools Foundation Scholarships","http://www.glcsf.org/2020-2021-scholarship-summary.html","Kalamazoo","2222-03-19T00:00:00.000"
"Huron County Community Foundation","http://www.huroncountycommunityfoundation.org/apply-here","Huron","2222-03-20T00:00:00.000"
"Huron County Community Foundation","http://www.huroncountycommunityfoundation.org/apply-here","Tuscola","2222-03-21T00:00:00.000"
"Huron County Community Foundation","http://www.huroncountycommunityfoundation.org/apply-here","Sanilac","2222-03-22T00:00:00.000"
"Huron County Community Foundation Scholarships","http://www.huroncountycommunityfoundation.org/apply-here","Ingham","2222-03-23T00:00:00.000"
"Nancy C. Niles Donovan Scholarship","http://www.kalfound.org/Scholarships/ScholarshipSearch/tabid/230/s/1249/Default.aspx","St. Joseph","2222-03-24T00:00:00.000"
"Kreager Family Scholarship","http://www.kalfound.org/Scholarships/ScholarshipSearch/tabid/230/s/1274/Default.aspx","Van Buren","2222-03-25T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Bay","2222-06-14T00:00:00.000"
"Lloyd Welcher Memorial Scholarship","http://www.kalfound.org/Scholarships/ScholarshipSearch/tabid/230/s/1366/Default.aspx","Allegan","2222-03-26T00:00:00.000"
"Women's Education Coalition Grant","http://www.kalfound.org/Scholarships/ScholarshipSearch/tabid/230/s/1386/Default.aspx","Allegan","2222-03-27T00:00:00.000"
"Women's Education Coalition Grant","http://www.kalfound.org/Scholarships/ScholarshipSearch/tabid/230/s/1386/Default.aspx","Barry","2222-03-28T00:00:00.000"
"Women's Education Coalition Grant","http://www.kalfound.org/Scholarships/ScholarshipSearch/tabid/230/s/1386/Default.aspx","Calhoun","2222-03-29T00:00:00.000"
"Women's Education Coalition Grant","http://www.kalfound.org/Scholarships/ScholarshipSearch/tabid/230/s/1386/Default.aspx","Kalamazoo","2222-03-30T00:00:00.000"
"Women's Education Coalition Grant","http://www.kalfound.org/Scholarships/ScholarshipSearch/tabid/230/s/1386/Default.aspx","St. Joseph","2222-03-31T00:00:00.000"
"Women's Education Coalition Grant","http://www.kalfound.org/Scholarships/ScholarshipSearch/tabid/230/s/1386/Default.aspx","Van Buren","2222-04-01T00:00:00.000"
"Plainwell Education Foundation Scholarship","http://www.kalfound.org/Scholarships/ScholarshipSearch/tabid/230/s/1398/Default.aspx","Allegan","2222-04-02T00:00:00.000"
"Plainwell Rotary Scholarship","http://www.kalfound.org/Scholarships/ScholarshipSearch/tabid/230/s/1399/Default.aspx","Allegan","2222-04-03T00:00:00.000"
"Welch's/National Grape Cooperative Scholarship","http://www.kalfound.org/Scholarships/ScholarshipSearch/tabid/230/s/1403/Default.aspx","Allegan","2222-04-04T00:00:00.000"
"Welch's/National Grape Cooperative Scholarship","http://www.kalfound.org/Scholarships/ScholarshipSearch/tabid/230/s/1403/Default.aspx","Berrien","2222-04-05T00:00:00.000"
"Welch's/National Grape Cooperative Scholarship","http://www.kalfound.org/Scholarships/ScholarshipSearch/tabid/230/s/1403/Default.aspx","Calhoun","2222-04-06T00:00:00.000"
"Welch's/National Grape Cooperative Scholarship","http://www.kalfound.org/Scholarships/ScholarshipSearch/tabid/230/s/1403/Default.aspx","Cass","2222-04-07T00:00:00.000"
"Welch's/National Grape Cooperative Scholarship","http://www.kalfound.org/Scholarships/ScholarshipSearch/tabid/230/s/1403/Default.aspx","Kalamazoo","2222-04-08T00:00:00.000"
"Welch's/National Grape Cooperative Scholarship","http://www.kalfound.org/Scholarships/ScholarshipSearch/tabid/230/s/1403/Default.aspx","Kent","2222-04-09T00:00:00.000"
"Welch's/National Grape Cooperative Scholarship","http://www.kalfound.org/Scholarships/ScholarshipSearch/tabid/230/s/1403/Default.aspx","Van Buren","2222-04-10T00:00:00.000"
"Lansing Educational Advancement Foundation Scholarships","http://www.lansingleaf.org/scholarships.html","Ingham","2222-04-11T00:00:00.000"
"Member First Credit Union","http://www.mfcu.net/Scholarships","Midland","2222-04-12T00:00:00.000"
"Michigan Sugar Queen Scholarship","http://www.michigansugar.com/community/sugar-queen/","Arenac","2222-04-13T00:00:00.000"
"Michigan Sugar Queen Scholarship","http://www.michigansugar.com/community/sugar-queen/","Bay","2222-04-14T00:00:00.000"
"Michigan Sugar Queen Scholarship","http://www.michigansugar.com/community/sugar-queen/","Clinton","2222-04-15T00:00:00.000"
"Michigan Sugar Queen Scholarship","http://www.michigansugar.com/community/sugar-queen/","Genesee","2222-04-16T00:00:00.000"
"Michigan Sugar Queen Scholarship","http://www.michigansugar.com/community/sugar-queen/","Gladwin","2222-04-17T00:00:00.000"
"Michigan Sugar Queen Scholarship","http://www.michigansugar.com/community/sugar-queen/","Gratiot","2222-04-18T00:00:00.000"
"Michigan Sugar Queen Scholarship","http://www.michigansugar.com/community/sugar-queen/","Huron","2222-04-19T00:00:00.000"
"Michigan Sugar Queen Scholarship","http://www.michigansugar.com/community/sugar-queen/","Ionia","2222-04-20T00:00:00.000"
"Michigan Sugar Queen Scholarship","http://www.michigansugar.com/community/sugar-queen/","Iosco","2222-04-21T00:00:00.000"
"Michigan Sugar Queen Scholarship","http://www.michigansugar.com/community/sugar-queen/","Isabella","2222-04-22T00:00:00.000"
"Michigan Sugar Queen Scholarship","http://www.michigansugar.com/community/sugar-queen/","Lapeer","2222-04-23T00:00:00.000"
"Michigan Sugar Queen Scholarship","http://www.michigansugar.com/community/sugar-queen/","Macomb","2222-04-24T00:00:00.000"
"Michigan Sugar Queen Scholarship","http://www.michigansugar.com/community/sugar-queen/","Midland","2222-04-25T00:00:00.000"
"Michigan Sugar Queen Scholarship","http://www.michigansugar.com/community/sugar-queen/","Montcalm","2222-04-26T00:00:00.000"
"Michigan Sugar Queen Scholarship","http://www.michigansugar.com/community/sugar-queen/","Ogemaw","2222-04-27T00:00:00.000"
"Michigan Sugar Queen Scholarship","http://www.michigansugar.com/community/sugar-queen/","Saginaw","2222-04-28T00:00:00.000"
"Michigan Sugar Queen Scholarship","http://www.michigansugar.com/community/sugar-queen/","Sanilac","2222-04-29T00:00:00.000"
"Michigan Sugar Queen Scholarship","http://www.michigansugar.com/community/sugar-queen/","Shiawassee","2222-04-30T00:00:00.000"
"Michigan Sugar Queen Scholarship","http://www.michigansugar.com/community/sugar-queen/","St. Clair","2222-05-01T00:00:00.000"
"Michigan Sugar Queen Scholarship","http://www.michigansugar.com/community/sugar-queen/","Tuscola","2222-05-02T00:00:00.000"
"Susan K. and Douglas E. Dodge Scholarship Fund","http://www.mpacf.org/dodge","Osceola","2222-05-03T00:00:00.000"
"Richard C. Dubay Memorial Scholarship Fund","http://www.mpacf.org/dubay/","Saginaw","2222-05-04T00:00:00.000"
"Rockford High School Scholarships","http://www.rockfordschools.org/high-schools/rockford-high/counseling-guidance-office/scholarships/","Kent","2222-05-05T00:00:00.000"
"Bob and Betty Grills Scholarship","http://www.saginawfoundation.org/site/bob-and-betty-grills-scholarship/","Gladwin","2222-05-06T00:00:00.000"
"Kenneth Hugh MacDonald Sr., Broadcasting Scholarship","http://www.saginawfoundation.org/site/kenneth-hugh-macdonald-sr-broadcasting-scholarship/","Clinton","2222-05-07T00:00:00.000"
"Kenneth Hugh MacDonald Sr., Broadcasting Scholarship","http://www.saginawfoundation.org/site/kenneth-hugh-macdonald-sr-broadcasting-scholarship/","Eaton","2222-05-08T00:00:00.000"
"Kenneth Hugh MacDonald Sr., Broadcasting Scholarship","http://www.saginawfoundation.org/site/kenneth-hugh-macdonald-sr-broadcasting-scholarship/","Genesee","2222-05-09T00:00:00.000"
"Kenneth Hugh MacDonald Sr., Broadcasting Scholarship","http://www.saginawfoundation.org/site/kenneth-hugh-macdonald-sr-broadcasting-scholarship/","Huron","2222-05-10T00:00:00.000"
"Kenneth Hugh MacDonald Sr., Broadcasting Scholarship","http://www.saginawfoundation.org/site/kenneth-hugh-macdonald-sr-broadcasting-scholarship/","Ingham","2222-05-11T00:00:00.000"
"Kenneth Hugh MacDonald Sr., Broadcasting Scholarship","http://www.saginawfoundation.org/site/kenneth-hugh-macdonald-sr-broadcasting-scholarship/","Lapeer","2222-05-12T00:00:00.000"
"Kenneth Hugh MacDonald Sr., Broadcasting Scholarship","http://www.saginawfoundation.org/site/kenneth-hugh-macdonald-sr-broadcasting-scholarship/","Saginaw","2222-05-13T00:00:00.000"
"Kenneth Hugh MacDonald Sr., Broadcasting Scholarship","http://www.saginawfoundation.org/site/kenneth-hugh-macdonald-sr-broadcasting-scholarship/","Sanilac","2222-05-14T00:00:00.000"
"Kenneth Hugh MacDonald Sr., Broadcasting Scholarship","http://www.saginawfoundation.org/site/kenneth-hugh-macdonald-sr-broadcasting-scholarship/","Shiawassee","2222-05-15T00:00:00.000"
"Kenneth Hugh MacDonald Sr., Broadcasting Scholarship","http://www.saginawfoundation.org/site/kenneth-hugh-macdonald-sr-broadcasting-scholarship/","Tuscola","2222-05-16T00:00:00.000"
"Lawrence C. Hazen, D.O. Scholarship fund","http://www.saginawfoundation.org/site/lawrence-c-hazen-d-o-scholarship-fund/","Bay","2222-05-17T00:00:00.000"
"Lawrence C. Hazen, D.O. Scholarship fund","http://www.saginawfoundation.org/site/lawrence-c-hazen-d-o-scholarship-fund/","Huron","2222-05-18T00:00:00.000"
"Lawrence C. Hazen, D.O. Scholarship fund","http://www.saginawfoundation.org/site/lawrence-c-hazen-d-o-scholarship-fund/","Tuscola","2222-05-19T00:00:00.000"
"Nexteer Scholarship","http://www.saginawfoundation.org/site/nexteer-scholarship/","Clare","2222-05-20T00:00:00.000"
"Nexteer Scholarship","http://www.saginawfoundation.org/site/nexteer-scholarship/","Gratiot","2222-05-21T00:00:00.000"
"Nexteer Scholarship","http://www.saginawfoundation.org/site/nexteer-scholarship/","Gladwin","2222-05-22T00:00:00.000"
"Nexteer Scholarship","http://www.saginawfoundation.org/site/nexteer-scholarship/","Arenac","2222-05-23T00:00:00.000"
"Nexteer Scholarship","http://www.saginawfoundation.org/site/nexteer-scholarship/","Isabella","2222-05-24T00:00:00.000"
"Nexteer Scholarship","http://www.saginawfoundation.org/site/nexteer-scholarship/","Bay","2222-05-25T00:00:00.000"
"Nexteer Scholarship","http://www.saginawfoundation.org/site/nexteer-scholarship/","Midland","2222-05-26T00:00:00.000"
"Nexteer Scholarship","http://www.saginawfoundation.org/site/nexteer-scholarship/","Saginaw","2222-05-27T00:00:00.000"
"Nexteer Skilled Trade Scholarship","http://www.saginawfoundation.org/site/nexteer-skilled-trade-scholarship/","Isabella","2222-05-28T00:00:00.000"
"Nexteer Skilled Trade Scholarship","http://www.saginawfoundation.org/site/nexteer-skilled-trade-scholarship/","Midland","2222-05-29T00:00:00.000"
"Nexteer Skilled Trade Scholarship","http://www.saginawfoundation.org/site/nexteer-skilled-trade-scholarship/","Clare","2222-05-30T00:00:00.000"
"Nexteer Skilled Trade Scholarship","http://www.saginawfoundation.org/site/nexteer-skilled-trade-scholarship/","Saginaw","2222-05-31T00:00:00.000"
"Nexteer Skilled trade Scholarship","http://www.saginawfoundation.org/site/nexteer-skilled-trade-scholarship/","Arenac","2222-06-01T00:00:00.000"
"Nexteer Skilled trade Scholarship","http://www.saginawfoundation.org/site/nexteer-skilled-trade-scholarship/","Bay","2222-06-02T00:00:00.000"
"Nexteer Skilled trade Scholarship","http://www.saginawfoundation.org/site/nexteer-skilled-trade-scholarship/","Gladwin","2222-06-03T00:00:00.000"
"Saginaw Community Foundation Scholarships","http://www.saginawfoundation.org/site/scholarships/","Saginaw","2222-06-04T00:00:00.000"
"Saginaw Community Foundation Scholarships","http://www.saginawfoundation.org/site/scholarships/","Arenac","2222-06-05T00:00:00.000"
"Saginaw Community Foundation Scholarships","http://www.saginawfoundation.org/site/scholarships/","Midland","2222-06-06T00:00:00.000"
"Saginaw Community Foundation Scholarships","http://www.saginawfoundation.org/site/scholarships/","Bay","2222-06-07T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Alcona","2222-06-08T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Alger","2222-06-09T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Alpena","2222-06-10T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Antrim","2222-06-11T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Arenac","2222-06-12T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Baraga","2222-06-13T00:00:00.000"
"STARR Charitable Foundation Scholarship","https://starr.msu.edu/","Dickinson","2223-06-19T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Benzie","2222-06-15T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Charlevoix","2222-06-16T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Cheboygan","2222-06-17T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Chippewa","2222-06-18T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Clare","2222-06-19T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Clinton","2222-06-20T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Delta","2222-06-21T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Dickinson","2222-06-22T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Emmet","2222-06-23T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Genesee","2222-06-24T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Gladwin","2222-06-25T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Gogebic","2222-06-26T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Grand Traverse","2222-06-27T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Gratiot","2222-06-28T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Houghton","2222-06-29T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Huron","2222-06-30T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Iosco","2222-07-01T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Iron","2222-07-02T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Isabella","2222-07-03T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Kalkaska","2222-07-04T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Kent","2222-07-05T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Keweenaw","2222-07-06T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Lake","2222-07-07T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Lapeer","2222-07-08T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Leelanau","2222-07-09T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Luce","2222-07-10T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Mackinac","2222-07-11T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Manistee","2222-07-12T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Marquette","2222-07-13T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Mason","2222-07-14T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Mecosta","2222-07-15T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Menominee","2222-07-16T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Midland","2222-07-17T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Missaukee","2222-07-18T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Montcalm","2222-07-19T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Montmorency","2222-07-20T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Muskegon","2222-07-21T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Newaygo","2222-07-22T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Oceana","2222-07-23T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Ogemaw","2222-07-24T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Ontonagon","2222-07-25T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Osceola","2222-07-26T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Osceola","2222-07-27T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Oscoda","2222-07-28T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Otsego","2222-07-29T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Ottawa","2222-07-30T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Presque Isle","2222-07-31T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Roscommon","2222-08-01T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Saginaw","2222-08-02T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Sanilac","2222-08-03T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Schoolcraft","2222-08-04T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Shiawassee","2222-08-05T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","St. Clair","2222-08-06T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Tuscola","2222-08-07T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Wexford","2222-08-08T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Ionia","2222-08-09T00:00:00.000"
"Team One Credit Union Scholarship","http://www.saginawfoundation.org/site/team-one-credit-union-scholarship/","Ionia","2222-08-09T00:00:00.000"
"Saginaw Valley State University Academic Scholarships","http://www.svsu.edu/scholarshipsfinancialaid/typesoffinancialaid/scholarships/academicscholarships/","Saginaw","2222-08-12T00:00:00.000"
"Greater Toledo Community Foundation","http://www.toledocf.org/main/scholarships/","Lenawee","2222-08-13T00:00:00.000"
"Wayne County Community Foundation","https://www.waynefoundation.org/scholarships#:~:text=Scholarships%20for%20all%20Wayne%20County%20resident%20students%20Akers,Scholarships%3A%20%241000%20%283%20available%29%3A%20Based%20on%20academic%20achievement","Wayne","2222-08-14T00:00:00.000"
"Washtenaw Community College Scholarships","http://www.wccnet.edu/services/financial-aid/scholarships/foundation-scholarships/","Washtenaw","2222-08-15T00:00:00.000"
"Hillsdale County Community Foundation","https://abouthccf.org/scholarships/","Hillsdale","2222-08-17T00:00:00.000"
"Hillsdale County Community Foundation","https://abouthccf.org/scholarships/","Branch","2222-08-18T00:00:00.000"
"Hillsdale County Community Foundation","https://abouthccf.org/scholarships/","Calhoun","2222-08-19T00:00:00.000"
"Hillsdale County Community Foundation","https://abouthccf.org/scholarships/","Wayne","2222-08-20T00:00:00.000"
"Hillsdale County Community Foundation","https://abouthccf.org/scholarships/","Jackson","2222-08-21T00:00:00.000"
"Kalamazoo College Scholarships","https://admission.kzoo.edu/cost-value/","Kalamazoo","2222-08-22T00:00:00.000"
"Mackinaw Memorial Parade, Inc. Scholarship","https://affiliatecfnemscholarships.awardspring.com/Home/Scholarships","Mackinac","2222-08-23T00:00:00.000"
"Allegan Community Foundation Scholarships","https://alleganfoundation.org/scholarships/students/before-you-apply/","Allegan","2222-08-24T00:00:00.000"
"Alpha Rho Sigma Chapter of Phi Beta Sigma Fraternity - I Am My Brothers Keeper Scholarship","https://alpharhosigma.wixsite.com/gr-sigmas/scholarships","Kent","2222-08-25T00:00:00.000"
"Alpha Rho Sigma Chapter of Phi Beta Sigma Fraternity - I Am My Brothers Keeper Scholarship","https://alpharhosigma.wixsite.com/gr-sigmas/scholarships","Muskegon","2222-08-26T00:00:00.000"
"Alpha Rho Sigma Chapter of Phi Beta Sigma Fraternity - I Am My Brothers Keeper Scholarship","https://alpharhosigma.wixsite.com/gr-sigmas/scholarships","Ottawa","2222-08-27T00:00:00.000"
"Andrews Univeristy Alumni Legacy Scholarship","https://alumni.andrews.edu/legacy/","Berrien","2222-08-28T00:00:00.000"
"Bay Area Community Foundation","https://bayfoundation.org/what-we-do/areas-of-impact/education-youth/scholarships","Arenac","2222-08-29T00:00:00.000"
"Bay Area Community Foundation","https://bayfoundation.org/what-we-do/areas-of-impact/education-youth/scholarships","Bay","2222-08-30T00:00:00.000"
"Bay Area Community Foundation","https://bayfoundation.org/what-we-do/areas-of-impact/education-youth/scholarships","Huron","2222-08-31T00:00:00.000"
"Bay Area Community Foundation","https://bayfoundation.org/what-we-do/areas-of-impact/education-youth/scholarships","Midland","2222-09-01T00:00:00.000"
"Bay Area Community Foundation","https://bayfoundation.org/what-we-do/areas-of-impact/education-youth/scholarships","Ogemaw","2222-09-02T00:00:00.000"
"Bay Area Community Foundation","https://bayfoundation.org/what-we-do/areas-of-impact/education-youth/scholarships","Saginaw","2222-09-03T00:00:00.000"
"Bay Area Community Foundation","https://bayfoundation.org/what-we-do/areas-of-impact/education-youth/scholarships","Tuscola","2222-09-04T00:00:00.000"
"Arenac County Farm Bureau Scholarship","https://bayfoundation.org/what-we-do/areas-of-impact/education-youth/scholarships","Arenac","2222-09-05T00:00:00.000"
"Bay Area Community Foundation","https://bayfoundation.org/what-we-do/areas-of-impact/education-youth/scholarships","Bay","2222-09-06T00:00:00.000"
"Bay Area Community Foundation","https://bayfoundation.org/what-we-do/areas-of-impact/education-youth/scholarships","Arenac","2222-09-07T00:00:00.000"
"Cadillac Area Community Foundation","https://cadillacfoundation.org/scholarships/","Wexford","2222-09-08T00:00:00.000"
