"category","title","year"
"Annual Report","ERP: Annual Report of the State Geologist 1841 &#91;Joint Doc. 11&#93; - Houghton Part 1 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/1841_Joint_11A_opt_306048_7.pdf)","1841"
"Annual Report","ERP: Annual Report of the State Geologist 1841 &#91;Joint Doc. 11&#93; - Houghton Part 2 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/1841_Joint_11B_opt_306049_7.pdf)","1841"
"Annual Report","ERP: Annual Report of the State Geologist 1842 &#91;House No. 14&#93; - Houghton OGS-GIMDL Text (https://www.michigan.gov/documents/deq/1842_House_14_306052_7.pdf)","1842"
"Annual Report","ERP: Annual Report of the State Geologist 1842 &#91;House No. 14&#93; - Houghton OGS-GIMDL Image (https://www.michigan.gov/documents/deq/1842_House_14_opt_306053_7.pdf)","1842"
"Annual Report","ERP: Annual Report of the State Geologist 1843 &#91;Senate No. 8&#93; - Houghton OGS-GIMDL Text (https://www.michigan.gov/documents/deq/1843_Senate_8_306054_7.pdf)","1843"
"Annual Report","ERP: Annual Report of the State Geologist 1843 &#91;Senate No. 8&#93; - Houghton OGS-GIMDL Image (https://www.michigan.gov/documents/deq/1843_Senate_8_opt_306055_7.pdf)","1843"
"Annual Directory","ADR: Annual Directory 1: Directory of Mineral Producers 1965 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AD_01_301469_7.pdf)","1965"
"Annual Directory","ADR: Annual Directory 2: Michigan Mineral Producers 1966 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AD_02_301472_7.pdf)","1966"
"Annual Directory","ADR: Annual Directory 3: Michigan Mineral Producers 1968 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AD_03opt_301475_7.pdf)","1968"
"Annual Directory","ADR: Annual Directory 4: Michigan Mineral Producers 1969 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AD_04opt_301477_7.pdf)","1969"
"Annual Directory","ADR: Annual Directory 5: Michigan Mineral Producers 1971 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AD_05opt_301479_7.pdf)","1971"
"Annual Directory","ADR: Annual Directory 6: Michigan Mineral Producers 1972 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AD_06opt_301485_7.pdf)","1972"
"Annual Directory","ADR: Annual Directory 7: Michigan Mineral Producers 1973 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AD_07opt_301487_7.pdf)","1973"
"Annual Directory","ADR: Annual Directory 8: Michigan Mineral Producers 1975 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AD_08opt_301489_7.pdf)","1975"
"Annual Directory","ADR: Annual Directory 9: Michigan Mineral Producers 1975 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AD_09opt_301491_7.pdf)","1975"
"Annual Directory","ADR: Annual Directory 10: Michigan Mineral Producers 1976 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AD_10opt_301493_7.pdf)","1976"
"Annual Directory","ADR: Annual Directory 11: Michigan Mineral Producers 1977 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AD_11opt_301496_7.pdf)","1977"
"Annual Directory","ADR: Annual Directory 12: Michigan Mineral Producers 1978 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AD_12_opt_301499_7.pdf)","1978"
"Annual Directory","ADR: Directory of Michigan Mineral Operators 1963 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AD_1963opt_301517_7.pdf)","1963"
"Annual Directory","ADR: Directory of Michigan Mineral Operators 1964 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AD_1964opt_301518_7.pdf)","1964"
"Annual Report","ANR: Annual Report 1877 Part 3 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1877_Copper_a_opt_303313_7.pdf)","1877"
"Annual Report","ANR: Annual Report 1877 Part 4 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1877_Copper_b_opt_303314_7.pdf)","1877"
"Annual Report","ANR: Annual Report 1877 Part 1 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1877_Historical_opt_303309_7.pdf)","1877"
"Annual Report","ANR: Annual Report 1877 Part 2 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1877_Iron_opt_303310_7.pdf)","1877"
"Annual Report","ANR: Annual Report 1877 Part 5 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1877_Other_opt_303316_7.pdf)","1877"
"Annual Report","ANR: Annual Report 1877 Oversize Figures OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1877_Oversize_303318_7.pdf)","1877"
"Annual Report","ANR: Annual Report 1901 Part 1 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1901_1opt_303353_7.pdf)","1901"
"Annual Report","ANR: Annual Report 1901 Part 2 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1901_2opt_303358_7.pdf)","1901"
"Annual Report","ANR: Annual Report 1901 Part 3 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1901_3opt_303362_7.pdf)","1901"
"Annual Report","ANR: Annual Report 1901 Oversize Plates OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1901_plates_303368_7.pdf)","1901"
"Annual Report","ANR: Annual Report 1902 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1902_303371_7.pdf)","1902"
"Annual Report","ANR: Annual Report 1903 Part 1 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1903_1opt_303432_7.pdf)","1903"
"Annual Report","ANR: Annual Report 1903 Part 2 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1903_2opt_303433_7.pdf)","1903"
"Annual Report","ANR: Annual Report 1903 Part 3 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1903_3opt_303434_7.pdf)","1903"
"Annual Report","ANR: Annual Report 1903 Part 4 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1903_4opt_303435_7.pdf)","1903"
"Annual Report","ANR: Annual Report 1903 Part 5 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1903_5opt_303437_7.pdf)","1903"
"Annual Report","ANR: Annual Report 1903 Oversize Plates OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1903_platesopt_303438_7.pdf)","1903"
"Annual Report","ANR: Annual Report 1904 Part 1 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1904_Aopt_314316_7.pdf)","1904"
"Annual Report","ANR: Annual Report 1904 Part 2 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1904_Bopt_314317_7.pdf)","1904"
"Annual Report","ANR: Annual Report 1904 Part 3 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1904_Copt_314318_7.pdf)","1904"
"Annual Report","ANR: Annual Report 1904 Plate XVI OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1904_Plate_XVIopt_314320_7.pdf)","1904"
"Annual Report","ANR: Annual Report 1905 Figures OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1905_Figures_303568_7.pdf)","1905"
"Annual Report","ANR: Annual Report 1905 Part 1 OGS-GIMDL Text (https://www.michigan.gov/documents/deq/AR_1905_Part1_Adamstext_303547_7.pdf)","1905"
"Annual Report","ANR: Annual Report 1905 Part 1A OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1905_Part1Aopt_303553_7.pdf)","1905"
"Annual Report","ANR: Annual Report 1905 Part 1B OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1905_Part1Bopt_303554_7.pdf)","1905"
"Annual Report","ANR: Annual Report 1905 Part 2A OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1905_Part2Aopt_303555_7.pdf)","1905"
"Annual Report","ANR: Annual Report 1905 Part 2B OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1905_Part2Bopt_303556_7.pdf)","1905"
"Annual Report","ANR: Annual Report 1905 Part 2 OGS-GIMDL Text (https://www.michigan.gov/documents/deq/AR_1905_Part2_Coopertext_303548_7.pdf)","1905"
"Annual Report","ANR: Annual Report 1905 Part 2C OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1905_Part2Copt_303560_7.pdf)","1905"
"Annual Report","ANR: Annual Report 1905 Part 3A OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1905_Part3Aopt_303562_7.pdf)","1905"
"Annual Report","ANR: Annual Report 1905 Part 3B OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1905_Part3Bopt_303563_7.pdf)","1905"
"Annual Report","ANR: Annual Report 1905 Part 3 OGS-GIMDL Text (https://www.michigan.gov/documents/deq/AR_1905_Part3_Walkertext_303549_7.pdf)","1905"
"Annual Report","ANR: Annual Report 1905 Part 4 OGS-GIMDL Text (https://www.michigan.gov/documents/deq/AR_1905_Part4_ARtext_303550_7.pdf)","1905"
"Annual Report","ANR: Annual Report 1905 Part 4 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1905_Part4opt_303565_7.pdf)","1905"
"Annual Report","ANR: Annual Report 1905 Part 5 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1905_Part5opt_303566_7.pdf)","1905"
"Annual Report","ANR: Annual Report 1905 Tables OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1905_Tables_303569_7.pdf)","1905"
"Annual Report","ANR: Annual Report 1906 Part 1 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1906_Part1opt_303643_7.pdf)","1906"
"Annual Report","ANR: Annual Report 1906 Part 2A OGS-GIMDL Text (https://www.michigan.gov/documents/deq/AR_1906_Part2A_text_303632_7.pdf)","1906"
"Annual Report","ANR: Annual Report 1906 Part 2B OGS-GIMDL Text (https://www.michigan.gov/documents/deq/AR_1906_Part2B_text_303635_7.pdf)","1906"
"Annual Report","ANR: Annual Report 1906 Part 2C OGS-GIMDL Text (https://www.michigan.gov/documents/deq/AR_1906_Part2C_text_303637_7.pdf)","1906"
"Annual Report","ANR: Annual Report 1906 Part 3 OGS-GIMDL Text (https://www.michigan.gov/documents/deq/AR_1906_Part3_text_303639_7.pdf)","1906"
"Annual Report","ANR: Annual Report 1906 Part 4 OGS-GIMDL Text (https://www.michigan.gov/documents/deq/AR_1906_Part4_text_303640_7.pdf)","1906"
"Annual Report","ANR: Annual Report 1906 Part 5 OGS-GIMDL Text (https://www.michigan.gov/documents/deq/AR_1906_Part5_text_303641_7.pdf)","1906"
"Annual Report","ANR: Annual Report 1906 Part 1 OGS-GIMDL Text (https://www.michigan.gov/documents/deq/AR_1906_Part1_text_303630_7.pdf)","1906"
"Annual Report","ANR: Annual Report 1906 Part 2A OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1906_Part2Aopt_303646_7.pdf)","1906"
"Annual Report","ANR: Annual Report 1906 Part 2C OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1906_Part2Copt_303651_7.pdf)","1906"
"Annual Report","ANR: Annual Report 1906 Part 3 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1906_Part3opt_303652_7.pdf)","1906"
"Annual Report","ANR: Annual Report 1906 Part 4-5 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1906_Part4opt_303654_7.pdf)","1906"
"Annual Report","ANR: Annual Report 1906 Oversize Plates A OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1906_PlatesA_303657_7.pdf)","1906"
"Annual Report","ANR: Annual Report 1906 Oversize Plates B OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1906_PlatesB_303660_7.pdf)","1906"
"Annual Report","ANR: Annual Report 1907 Part 1 OGS-GIMDL Text (https://www.michigan.gov/documents/deq/AR_1907_Part1_314336_7.pdf)","1907"
"Annual Report","ANR: Annual Report 1907 Part 1 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1907_Part1opt_303874_7.pdf)","1907"
"Annual Report","ANR: Annual Report 1907 Part 2 OGS-GIMDL Text (https://www.michigan.gov/documents/deq/AR_1907_Part2_314338_7.pdf)","1907"
"Annual Report","ANR: Annual Report 1907 Part 2 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1907_Part2opt_303875_7.pdf)","1907"
"Annual Report","ANR: Annual Report 1907 Part 3 OGS-GIMDL Text (https://www.michigan.gov/documents/deq/AR_1907_Part3_314340_7.pdf)","1907"
"Annual Report","ANR: Annual Report 1907 Part 3A OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1907_Part3Aopt_303876_7.pdf)","1907"
"Annual Report","ANR: Annual Report 1907 Part 3B OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1907_Part3Bopt_303877_7.pdf)","1907"
"Annual Report","ANR: Annual Report 1907 Part 4 OGS-GIMDL Text (https://www.michigan.gov/documents/deq/AR_1907_Part4_314343_7.pdf)","1907"
"Annual Report","ANR: Annual Report 1907 Part 4 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1907_Part4opt_303878_7.pdf)","1907"
"Annual Report","ANR: Annual Report 1907 Plates 1 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1907_Plates1opt_303879_7.pdf)","1907"
"Annual Report","ANR: Annual Report 1907 Plates 2 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1907_Plates2opt_303880_7.pdf)","1907"
"Annual Report","ANR: Annual Report 1907 Plates 3 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1907_Plates3opt_303881_7.pdf)","1907"
"Annual Report","ANR: Annual Report 1907 Plates 4 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1907_Plates4opt_303882_7.pdf)","1907"
"Annual Report","ANR: Annual Report 1908 Part 1 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1908_1opt_303454_7.pdf)","1908"
"Annual Report","ANR: Annual Report 1908 Part 2 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1908_2opt_303455_7.pdf)","1908"
"Annual Report","ANR: Annual Report 1908 Part 3A OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1908_3Aopt_303456_7.pdf)","1908"
"Annual Report","ANR: Annual Report 1908 Part 3B OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1908_3Bopt_303457_7.pdf)","1908"
"Annual Report","ANR: Annual Report 1908 Part 4 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1908_4opt_303458_7.pdf)","1908"
"Annual Report","ANR: Annual Report 1908 Oversize Figures OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AR_1908_FiguresOpt_303459_7.pdf)","1908"
"Annual Statistical Summary","ASU: Annual Statistical Summary 0:  Michigan's Oil and Gas Fields 1963 Part 1 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_00_1opt_301611_7.pdf)","1963"
"Annual Statistical Summary","ASU: Annual Statistical Summary 0:  Michigan's Oil and Gas Fields 1963 Part 2 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_00_2opt_301612_7.pdf)","1963"
"Annual Statistical Summary","ASU: Annual Statistical Summary 1: Mineral Industry of Michigan 1963 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_01opt_303883_7.pdf)","1963"
"Annual Statistical Summary","ASU: Annual Statistical Summary 2:  Michigan's Oil and Gas Fields 1965 Part 1 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_02_1opt_301613_7.pdf)","1965"
"Annual Statistical Summary","ASU: Annual Statistical Summary 2:  Michigan's Oil and Gas Fields 1965 Part 2 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_02_2opt_301614_7.pdf)","1965"
"Annual Statistical Summary","ASU: Annual Statistical Summary 3: Mineral Industry of Michigan 1964 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_03opt_301616_7.pdf)","1964"
"Annual Statistical Summary","ASU: Annual Statistical Summary 4:  Michigan's Oil and Gas Fields 1965 Part 1 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_04_1opt_301617_7.pdf)","1965"
"Annual Statistical Summary","ASU: Annual Statistical Summary 4:  Michigan's Oil and Gas Fields 1965 Part 2 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_04_2opt_301618_7.pdf)","1965"
"Annual Statistical Summary","ASU: Annual Statistical Summary 5: Mineral Industry of Michigan 1965 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_05opt_301619_7.pdf)","1965"
"Annual Statistical Summary","ASU: Annual Statistical Summary 6:  Michigan's Oil and Gas Fields 1966 Part 1 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_06_1opt_301622_7.pdf)","1966"
"Annual Statistical Summary","ASU: Annual Statistical Summary 6: Michigan's Oil and Gas Fields 1966 Part 2 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_06_2opt_301624_7.pdf)","1966"
"Annual Statistical Summary","ASU: Annual Statistical Summary 7: Mineral Industry of Michigan 1966 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_07opt_301627_7.pdf)","1966"
"Annual Statistical Summary","ASU: Annual Statistical Summary 8: Michigan's Oil and Gas Fields 1967 Part 1 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_08_1opt_301630_7.pdf)","1967"
"Annual Statistical Summary","ASU: Annual Statistical Summary 8: Michigan's Oil and Gas Fields 1967 Part 2 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_08_2opt_301631_7.pdf)","1967"
"Annual Statistical Summary","ASU: Annual Statistical Summary 9: Mineral Industry of Michigan 1967 OGS-GIMDL Text (https://www.michigan.gov/documents/deq/AS_09_306018_7.pdf)","1967"
"Annual Statistical Summary","ASU: Annual Statistical Summary 9: Mineral Industry of Michigan 1967 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_09_opt_306020_7.pdf)","1967"
"Annual Statistical Summary","ASU: Annual Statistical Summary 10: Michigan's Oil and Gas Fields 1968 Part 1 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_10_1opt_301632_7.pdf)","1968"
"Annual Statistical Summary","ASU: Annual Statistical Summary 10: Michigan's Oil and Gas Fields 1968 Part 2 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_10_2opt_301633_7.pdf)","1968"
"Annual Statistical Summary","ASU: Annual Statistical Summary 11: Mineral Industry of Michigan 1968 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_11opt_301635_7.pdf)","1968"
"Annual Statistical Summary","ASU: Annual Statistical Summary 12: Michigan's Oil and Gas Fields 1969 Part 1 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_12_1opt_301636_7.pdf)","1969"
"Annual Statistical Summary","ASU: Annual Statistical Summary 12: Michigan's Oil and Gas Fields 1969 Part 2 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_12_2opt_301637_7.pdf)","1969"
"Annual Statistical Summary","ASU: Annual Statistical Summary 13: Mineral Industry of Michigan 1969 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_13opt_301638_7.pdf)","1969"
"Annual Statistical Summary","ASU: Annual Statistical Summary 14: Michigan's Oil and Gas Fields 1970 Part 1 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_14_1opt_301639_7.pdf)","1970"
"Annual Statistical Summary","ASU: Annual Statistical Summary 14: Michigan's Oil and Gas Fields 1970 Part 2 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_14_2opt_301640_7.pdf)","1970"
"Annual Statistical Summary","ASU: Annual Statistical Summary 15: Mineral Industry of Michigan 1970 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_15opt_301642_7.pdf)","1970"
"Annual Statistical Summary","ASU: Annual Statistical Summary 16: Michigan's Oil and Gas Fields 1971. OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_16opt_314456_7.pdf)","1971"
"Annual Statistical Summary","ASU: Annual Statistical Summary 17: Mineral Industry of Michigan 1971 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_17opt_301644_7.pdf)","1971"
"Annual Statistical Summary","ASU: Annual Statistical Summary 18: Michigan's Oil and Gas Fields 1972 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_18opt_301647_7.pdf)","1972"
"Annual Statistical Summary","ASU: Annual Statistical Summary 19: Mineral Industry of Michigan 1972 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_19opt_301649_7.pdf)","1972"
"Annual Statistical Summary","ASU: Annual Statistical Summary 20: Michigan's Oil and Gas Fields 1973 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_20opt_301656_7.pdf)","1973"
"Annual Statistical Summary","ASU: Annual Statistical Summary 21: Mineral Industry of Michigan 1973 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_21opt_301658_7.pdf)","1973"
"Annual Statistical Summary","ASU: Annual Statistical Summary 22: Michigan's Oil and Gas Fields 1974 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_22opt_301659_7.pdf)","1974"
"Annual Statistical Summary","ASU: Annual Statistical Summary 23: Mineral Industry of Michigan 1974 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_23opt_301660_7.pdf)","1974"
"Annual Statistical Summary","ASU: Annual Statistical Summary 24: Michigan's Oil and Gas Fields 1975 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_24opt_301661_7.pdf)","1975"
"Annual Statistical Summary","ASU: Annual Statistical Summary 25: Mineral Industry of Michigan 1975 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_25opt_301662_7.pdf)","1975"
"Annual Statistical Summary","ASU: Annual Statistical Summary 26: Michigan's Oil and Gas Fields 1976 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_26opt_301663_7.pdf)","1976"
"Annual Statistical Summary","ASU: Annual Statistical Summary 27: Mineral Industry of Michigan 1976 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_27opt_301664_7.pdf)","1976"
"Annual Statistical Summary","ASU: Annual Statistical Summary 28: Michigan's Oil and Gas Fields 1977 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_28opt_301665_7.pdf)","1977"
"Annual Statistical Summary","ASU: Annual Statistical Summary 30: Michigan's Oil and Gas Fields 1978. OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_30opt_314474_7.pdf)","1978"
"Annual Statistical Summary","ASU: Annual Statistical Summary 32: Michigan's Oil and Gas Fields 1979 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_32opt_301667_7.pdf)","1979"
"Annual Statistical Summary","ASU: Annual Statistical Summary 36: Michigan's Oil and Gas Fields 1981. OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_36opt_317052_7.pdf)","1981"
"Annual Statistical Summary","ASU: Annual Statistical Summary 38: Michigan's Oil and Gas Fields 1982 Field Map OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_38_Field_Map_301670_7.pdf)","1982"
"Annual Statistical Summary","ASU: Annual Statistical Summary 38: Michigan's Oil and Gas Fields 1982 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/AS_38opt_301669_7.pdf)","1982"
"Map","CM: Map: Bay County Coal Mines 1 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/BayA_301704_7.pdf)",
"Map","CM: Map: Bay County Coal Mines 2 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/BayB_301706_7.pdf)",
"General Geology","GG: General Geology: Figure: Bedrock and cross section OGS-GIMDL Image (https://www.michigan.gov/documents/deq/Bedrock_and_cross_section_301678_7.pdf)",
"Biennial Report","BR: First Biennial Report of the Progress of the Geological Survey of Michigan... 1861. Map. OGS-GIMDL Image (https://www.michigan.gov/documents/deq/BR_01_Mapopt_312704_7.pdf)","1861"
"Biennial Report","BR: First Biennial Report of the Progress of the Geological Survey of Michigan... 1861. Part 1. Geology. OGS-GIMDL Text (https://www.michigan.gov/documents/deq/BR_01_Part1_312701_7.pdf)","1861"
"Biennial Report","BR: First Biennial Report of the Progress of the Geological Survey of Michigan... 1861. Part 2. Zoology. OGS-GIMDL Text (https://www.michigan.gov/documents/deq/BR_01_Part2_312702_7.pdf)","1861"
"Biennial Report","BR: First Biennial Report of the Progress of the Geological Survey of Michigan... 1861. Part 3. Botany. OGS-GIMDL Text (https://www.michigan.gov/documents/deq/BR_01_Part3_312703_7.pdf)","1861"
"Biennial Report","BR: Twenty-Fourth Biennial Report 1967-1968 OGS-GIMDL Text (https://www.michigan.gov/documents/deq/BR_24_306024_7.pdf)",
"Biennial Report","BR: Twenty-Fourth Biennial Report 1967-1968 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/BR_24_opt_306026_7.pdf)",
"Biennial Report","BR: Twenty-Fifth Biennial Report 1969-1970 OGS-GIMDL Text (https://www.michigan.gov/documents/deq/BR_25_306028_7.pdf)",
"Biennial Report","BR: Twenty-Fifth Biennial Report 1969-1970 OGS-GIMDL Image (https://www.michigan.gov/documents/deq/BR_25_opt_306029_7.pdf)",
"Biennial Report","BR: Twenty-Sixth Biennial Report 1971-1972 OGS-GIMDL Text (https://www.michigan.gov/documents/deq/BR_26_306030_7.pdf)",
