"month","procurement_hard_savings","procurement_har_savings_target","procurement_nps","procurement_csat","css_csc_contact_resolution","ors_customer_contact","dtmb_engagementscore","dtmb_engagement_action_plan","bls_deliverables_completed","freight_services_at_market_rate","savings_from_reutilized_property","dtmb_customer_satisfaction_score","lmisi_gf_deliverables_completed","bls_deliverables_target","gen_fund_deliverables_target"
"2017-11-01T00:00:00.000","8800000","7000000",,,,,"0.83",,"0.18",,,"0.71",,"0.17",
"2017-12-01T00:00:00.000","8800000","7000000","65",,,,"0.83",,"0.25",,,"0.71",,"0.25",
"2018-01-01T00:00:00.000","8800000","7000000",,,"0.8499","0.96","0.83",,"0.35",,,,,"0.35",
"2018-02-01T00:00:00.000","8800000","7000000",,,"0.8627","0.92","0.83",,"0.41",,,,,"0.40",
"2018-03-01T00:00:00.000","8800000","7000000","51",,"0.8375","0.92","0.83","1","0.53",,"26160",,,"0.52",
"2018-04-01T00:00:00.000","8800000","7000000",,,"0.8655","0.95","0.83",,"0.62",,,,,"0.62",
"2018-05-01T00:00:00.000","8800000","7000000",,,"0.8446","0.94","0.83",,"0.70",,,,,"0.70",
"2018-06-01T00:00:00.000","8800000","7000000","82",,"0.8197","0.95","0.83","0.96","0.77",,"22180",,,"0.77",
"2018-07-01T00:00:00.000","8800000","7000000",,,"0.8001","0.92","0.83",,"0.86",,,,,"0.86",
"2018-08-01T00:00:00.000","8800000","7000000",,,"0.7942","0.95","0.83",,"0.94",,,,,"0.93",
"2018-09-01T00:00:00.000","8800000","7000000","91",,"0.8066","0.95","0.83","0.96","1.00",,"32550",,,"1.00",
"2018-10-01T00:00:00.000","13300000","8000000",,,"0.817","0.93","0.83",,"0.09",,,,,"0.09",
"2018-11-01T00:00:00.000","13300000","8000000",,,"0.8557","0.95","0.83",,"0.18",,,,,"0.18",
"2018-12-01T00:00:00.000","13300000","8000000","93",,"0.8597","0.97","0.83","0.96","0.25",,"60405",,,"0.25",
"2019-01-01T00:00:00.000","13300000","8000000",,,"0.8188","0.95",,,"0.35",,,"0.75",,"0.35",
"2019-02-01T00:00:00.000","13300000","8000000",,,"0.8339","0.965",,,"0.40",,,"0.75",,"0.40",
"2019-03-01T00:00:00.000","13300000","8000000","87",,"0.8272","0.909",,"0.96","0.52",,"27895","0.75",,"0.52",
"2019-04-01T00:00:00.000","13300000","8000000",,,"0.812","0.938",,,"0.61",,,"0.75",,"0.61",
"2019-05-01T00:00:00.000","13300000","8000000",,,"0.7948","0.942",,,"0.70",,,"0.75",,"0.70",
"2019-06-01T00:00:00.000","13300000","8000000","77","0.95","0.8414","0.948",,"1","0.77","0.02","49940","0.75",,"0.77",
"2019-07-01T00:00:00.000","13300000","8000000",,,"0.8292","0.96",,,"0.84",,,"0.75",,"0.86",
"2019-08-01T00:00:00.000","13300000","8000000",,,"0.8489","0.94",,,"0.93",,,"0.75",,"0.93",
"2019-09-01T00:00:00.000","13300000","8000000","88","1","0.8244","0.942",,"1","1.00","0.02","46505","0.75",,"1.00",
"2019-10-01T00:00:00.000","20700000","9000000",,,"0.8531","0.958",,,"0.10",,,"0.75","0.07","0.10","0.07"
"2019-11-01T00:00:00.000","20700000","9000000",,,"0.8377","0.936",,,"0.18",,,"0.75","0.14","0.18","0.14"
"2019-12-01T00:00:00.000","20700000","9000000","80","0.96","0.8578","0.952",,"1","0.25","0.01","15750","0.75","0.24","0.25","0.24"
"2020-01-01T00:00:00.000","20700000","9000000",,,"0.8574","0.956","0.85",,"0.35",,,,"0.31","0.36","0.34"
"2020-02-01T00:00:00.000","20700000","9000000",,,"0.852","0.955","0.85",,"0.41",,,,"0.38","0.42","0.41"
"2020-03-01T00:00:00.000","20700000","9000000","82","0.97","0.8425","0.887","0.85","1","0.54","0.01","38600",,"0.45","0.54","0.52"
"2020-04-01T00:00:00.000","20700000","9000000",,,"0.8432","0.951","0.85",,"0.63",,,,"0.59","0.63","0.59"
"2020-05-01T00:00:00.000","20700000","9000000",,,"0.8162","0.924","0.85",,"0.70",,,,"0.69","0.70","0.66"
"2020-06-01T00:00:00.000","20700000","9000000","94","0.98","0.8148","0.928","0.85","1","0.77","0.01","0",,"0.76","0.77","0.76"
"2020-07-01T00:00:00.000","20700000","9000000",,,"0.8428","0.954","0.85",,"0.85",,,,"0.83","0.85","0.83"
"2020-08-01T00:00:00.000","20700000","9000000",,,"0.8405","0.952","0.85",,"0.93",,,,"0.90","0.93","0.90"
"2020-09-01T00:00:00.000","20700000","9000000","100","1","0.8486","0.954","0.85","1","1.00","0.01","5580",,"1.00","1.00","1.00"
"2020-10-01T00:00:00.000","11600000","900000",,,"0.8409","0.967","0.85",,"0.10",,,,"0.11","0.11","0.07"
"2020-11-01T00:00:00.000","11600000","900000",,,"0.8514","0.96","0.85",,"0.17",,,,"0.18","0.19","0.14"
"2020-12-01T00:00:00.000","11600000","900000","94","0.98","0.8492","0.965","0.85","1","0.25","0.01","19070",,"0.21","0.26","0.25"
"2021-01-01T00:00:00.000","11600000","900000",,,"0.8512","0.966",,,"0.35",,,,"0.29","0.36","0.29"
"2021-02-01T00:00:00.000","11600000","900000",,,"0.8517","0.963",,,"0.41",,,,"0.36","0.43","0.36"
"2021-03-01T00:00:00.000","11600000","900000","94","1","0.8547","0.963",,"1","0.5","0.01","19340",,"0.46","0.51","0.46"
"2021-04-01T00:00:00.000","11600000","900000",,,"0.8511","0.966",,,"0.6",,,,"0.57","0.61","0.57"
"2021-05-01T00:00:00.000","11600000","900000",,,"0.8611","0.963",,,"0.67",,,,"0.64","0.69","0.64"
"2021-06-01T00:00:00.000","11600000","900000","91","0.99","0.8606","0.953",,"1","0.75","0.01","8935",,"0.75","0.77","0.75"
"2021-07-01T00:00:00.000","11600000","900000",,,"0.8418","0.958",,,"0.84",,,,"0.82","0.86","0.82"
"2021-08-01T00:00:00.000","11600000","900000",,,"0.8327","0.98",,,"0.91",,,,"0.86","0.93","0.86"
"2021-09-01T00:00:00.000","11600000","900000","89","0.99","0.8351","0.969",,"1","0.98","0.01","64945",,"0.96","1","1"
"2021-10-01T00:00:00.000",,,,,"0.8342","0.966",,,"0.1",,,,"0.08","0.1","0.08"
"2021-11-01T00:00:00.000",,,,,"0.8618","0.961",,,"0.19",,,,"0.17","0.19","0.17"
"2021-12-01T00:00:00.000",,,"95","1","0.8697","0.935",,"1","0.26","0.01","105555",,"0.25","0.26","0.25"
"2022-01-01T00:00:00.000",,,,,"0.857","0.954",,,"0.36",,,,"0.33","0.36","0.33"
"2022-02-01T00:00:00.000",,,,,"0.8417","0.972",,,"0.36",,,,"0.33","0.36","0.33"
"2022-03-01T00:00:00.000",,,"90","0.99","0.8371","0.972",,"1","0.51","0.01","21346",,"0.5","0.51","0.5"
"2022-04-01T00:00:00.000",,,,,"0.8149","0.961",,,"0.61",,,,"0.58","0.61","0.58"
"2022-05-01T00:00:00.000",,,,,"0.8482","0.966",,,"0.69",,,,"0.67","0.69","0.67"
"2022-06-01T00:00:00.000",,,"91","0.97","0.8297","0.973",,"1","0.77","0.01","53540",,"0.75","0.77","0.75"
"2022-07-01T00:00:00.000",,,,,"0.8356","0.971",,,"0.86",,,,"0.83","0.86","0.83"
"2022-08-01T00:00:00.000",,,,,,,,,,,,,,,
"2022-09-01T00:00:00.000",,,,,,,,,,,,,,,
