Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link,Single Member Council Districts,BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes,Zoning Review Cases_data,Zip Codes
A863310,"W BRAKER LN
AUSTIN 78758",Yes (come to the shelter),08/08/2022,Dog,German Shepherd,Sable,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A863310,,,,,,,
A863167,"1704 GARDEN ST
AUSTIN 78702
(30.254896, -97.727405)",Yes (come to the shelter),08/05/2022,Dog,Alaskan Husky/Anatolian Shepherd,White/Black,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863167,3,3,35,309,1,553,2857
A863148,"14632 PLOVERPLACE78617
(30.123605, -97.61554)",Yes (come to the shelter),08/05/2022,Dog,Alaskan Husky,Tan,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863148,,,,484,45,,8002
A863150,"14632 PLOVERPLACE78617
(30.123605, -97.61554)",Yes (come to the shelter),08/05/2022,Dog,Alaskan Husky,Tan,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863150,,,,484,45,,8002
A863151,"14632 PLOVERPLACE78617
(30.123605, -97.61554)",Yes (come to the shelter),08/05/2022,Dog,Alaskan Husky,Tan,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863151,,,,484,45,,8002
A863153,"14632 PLOVERPLACE78617
(30.123605, -97.61554)",Yes (come to the shelter),08/05/2022,Dog,Alaskan Husky,Tan,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863153,,,,484,45,,8002
A863147,"5702 CHINA BERRY RD
AUSTIN 78744
(30.19146, -97.73399)",Yes (come to the shelter),08/05/2022,Cat,Domestic Shorthair,Blue/White,Intact Male,12 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863147,2,4,61,484,20,,3258
A863157,"HOLLY ST
AUSTIN 78702",Yes (come to the shelter),08/05/2022,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863157,,,,,,,
A863152,"14632 PLOVERPLACE78617
(30.123605, -97.61554)",Yes (come to the shelter),08/05/2022,Dog,Alaskan Husky,Black,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863152,,,,484,45,,8002
A863289,"14632 PLOVERPLACE78617
(30.123605, -97.61554)",Yes (come to the shelter),08/08/2022,Dog,Siberian Husky,Black,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863289,,,,484,45,,8002
A863348,"6100 CLUB TERRACE
AUSTIN 78741
(30.234977, -97.700617)",Yes (come to the shelter),08/09/2022,Dog,Pit Bull,Tan,Intact Male,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863348,3,3,46,365,55,,3256
A863288,"2807 EAST 4TH
AUSTIN 78702
(30.255507, -97.710976)",Yes (come to the shelter),08/08/2022,Cat,Domestic Shorthair,Black,Neutered Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A863288,3,3,29,309,1,,2857
A863407,"2309 BERKELEY AVE
AUSTIN 78745
(30.209404, -97.805936)",Yes (come to the shelter),08/09/2022,Dog,Maltese,White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A863407,5,1,83,373,23,3447,3259
A863218,"5501 ROSS RD
AUSTIN 78617
(30.173081, -97.620846)",Yes (come to the shelter),08/06/2022,Dog,Pit Bull Mix,White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863218,2,4,,484,45,,8002
A863349,"5721 ALSACE
AUSTIN 78724
(30.289128, -97.647094)",Yes (come to the shelter),08/09/2022,Cat,Domestic Medium Hair,Orange Tabby/White,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863349,1,8,,309,8,,3240
A863219,"EAST 7TH STREET
AUSTIN 78702",Yes (come to the shelter),08/06/2022,Dog,Rat Terrier Mix,White/Brown,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A863219,,,,,,,
A863455,"4300 CALDWELL LANE78617
(30.188202, -97.556111)",Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,Calico,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863455,,,,248,45,,8002
A863457,"4300 CALDWELL LANE78617
(30.188202, -97.556111)",Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,Black/White,Intact Male,1 week,http://www.petharbor.com/pet.asp?uaid=ASTN.A863457,,,,248,45,,8002
A863458,"4300 CALDWELL LANE78617
(30.188202, -97.556111)",Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,Black/White,Intact Male,1 week,http://www.petharbor.com/pet.asp?uaid=ASTN.A863458,,,,248,45,,8002
A856723,"5900 CAMERON RD
AUSTIN 78723
(30.316866, -97.700121)",Yes (come to the shelter),08/09/2022,Dog,Pit Bull,White/Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A856723,4,9,84,309,33,,3239
A863350,"5721 ALSACE
AUSTIN 78724
(30.289128, -97.647094)",Yes (come to the shelter),08/09/2022,Cat,Domestic Shorthair,Calico/White,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863350,1,8,,309,8,,3240
A863351,"5721 ALSACE
AUSTIN 78724
(30.289128, -97.647094)",Yes (come to the shelter),08/09/2022,Cat,Domestic Shorthair,Calico/White,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863351,1,8,,309,8,,3240
A863459,"4300 CALDWELL LANE78617
(30.188202, -97.556111)",Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,White/Black,Intact Female,1 week,http://www.petharbor.com/pet.asp?uaid=ASTN.A863459,,,,248,45,,8002
A863460,"4300 CALDWELL LANE78617
(30.188202, -97.556111)",Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,Orange/White,Intact Female,1 week,http://www.petharbor.com/pet.asp?uaid=ASTN.A863460,,,,248,45,,8002
A863217,"13113 PERCONTE
AUSTIN 78617
(30.167866, -97.61841)",Yes (come to the shelter),08/06/2022,Dog,German Shepherd Mix,Black/Brown,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863217,2,4,,484,45,,8002
A863425,"5721 ALSACE TRAIL
AUSTIN 78724
(30.289128, -97.647094)",Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,Calico,Intact Female,8 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863425,1,8,,309,8,,3240
A863424,"739 W WILLIAM CANNON DR
AUSTIN 78749",Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,Tortie,Intact Female,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863424,,,,,,,
A863429,"6708 TAMPA CV
AUSTIN 78723
(30.312847, -97.669762)",Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,Brown Tabby,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863429,1,8,41,309,33,,3239
A863430,"6708 TAMPA CV
AUSTIN 78723
(30.312847, -97.669762)",Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,Brown Tabby,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863430,1,8,41,309,33,,3239
A863184,"7627 NEZ PERCE TRCE78653
(30.277899, -97.570735)",Yes (come to the shelter),08/05/2022,Cat,Domestic Medium Hair,Orange Tabby,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863184,,,,248,5,,8030
A863172,"11811 MILLWRIGHT PARKWAY
AUSTIN 78750
(30.44821, -97.803833)",Yes (come to the shelter),08/05/2022,Dog,Catahoula Mix,Brown Merle/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863172,6,6,,540,28,,3639
A863226,"17101 PEARCE LN78617
(30.143206, -97.570223)",Yes (come to the shelter),08/06/2022,Dog,German Shepherd Mix,Tan/Black,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A863226,,,,484,45,,8002
A863222,"17101 PEARCE LN78617
(30.143206, -97.570223)",Yes (come to the shelter),08/06/2022,Dog,German Shepherd Mix,Tan/Black,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A863222,,,,484,45,,8002
A863221,"17101 PEARCE LN78617
(30.143206, -97.570223)",Yes (come to the shelter),08/06/2022,Dog,German Shepherd Mix,Tan/Black,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863221,,,,484,45,,8002
A863322,"1500 FARO DR
AUSTIN 78741
(30.234717, -97.713723)",Yes (come to the shelter),08/08/2022,Cat,Domestic Medium Hair,Blue Tabby,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863322,3,3,94,248,55,3697,3256
A863323,"1500 FARO DR
AUSTIN 78741
(30.234717, -97.713723)",Yes (come to the shelter),08/08/2022,Cat,Domestic Medium Hair,Blue Tabby,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863323,3,3,94,248,55,3697,3256
A863324,"1500 FARO DR
AUSTIN 78741
(30.234717, -97.713723)",Yes (come to the shelter),08/08/2022,Cat,Domestic Medium Hair,Blue Tabby,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863324,3,3,94,248,55,3697,3256
A863314,"BERMAN DRIVE
AUSTIN 78723",Yes (come to the shelter),08/08/2022,Dog,Labrador Retriever,Black,Intact Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863314,,,,,,,
A863316,"LOYOLA LN
AUSTIN 78724",Yes (come to the shelter),08/08/2022,Dog,Cairn Terrier/Scottish Terrier,White,Intact Female,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863316,,,,,,,
A863419,"739 W WILLIAM CANNON DR
AUSTIN 78749",Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,Orange Tabby,Intact Male,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863419,,,,,,,
A863420,"739 W WILLIAM CANNON DR
AUSTIN 78749",Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,Orange Tabby,Intact Male,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863420,,,,,,,
A863284,"10258 OLD LOCKHART RD
AUSTIN 78747
(30.134479, -97.756915)",Yes (come to the shelter),08/08/2022,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863284,,,,484,4,,3261
A863287,"2807 EAST 4TH
AUSTIN 78702
(30.255507, -97.710976)",Yes (come to the shelter),08/08/2022,Cat,Domestic Shorthair,Tortie/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A863287,3,3,29,309,1,,2857
A863421,"739 W WILLIAM CANNON DR
AUSTIN 78749",Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,Brown Tabby,Intact Male,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863421,,,,,,,
A863426,"5721 ALSACE TRAIL
AUSTIN 78724
(30.289128, -97.647094)",Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,White/Cream,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A863426,1,8,,309,8,,3240
A863183,"7627 NEZ PERCE TRCE78653
(30.277899, -97.570735)",Yes (come to the shelter),08/05/2022,Cat,Domestic Shorthair,Orange Tabby,Unknown,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863183,,,,248,5,,8030
A863321,"1500 FARO DR
AUSTIN 78741
(30.234717, -97.713723)",Yes (come to the shelter),08/08/2022,Cat,Domestic Medium Hair,Blue Tabby,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863321,3,3,94,248,55,3697,3256
A863179,"2606 WHELESS LANE
AUSTIN 78723
(30.30926, -97.681085)",Yes (come to the shelter),08/05/2022,Dog,Border Collie Mix,Black/White,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863179,1,8,84,309,33,,3239
A863180,"2606 WHELESS LANE
AUSTIN 78723
(30.30926, -97.681085)",Yes (come to the shelter),08/05/2022,Dog,Border Collie Mix,Black/White,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863180,1,8,84,309,33,,3239
A863428,"4543 DOSS
AUSTIN 78734
(30.409431, -97.930116)",Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,Orange Tabby,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863428,,,,540,32,,3250
A863422,"739 W WILLIAM CANNON DR
AUSTIN 78749",Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,Brown Tabby,Intact Male,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863422,,,,,,,
A863423,"739 W WILLIAM CANNON DR
AUSTIN 78749",Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,Black,Intact Female,2 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863423,,,,,,,
A863329,"1804 W RUNDBERG
AUSTIN 78758
(30.37143, -97.714291)",Yes (come to the shelter),08/08/2022,Cat,Domestic Shorthair,Gray Tabby,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863329,4,9,16,63,18,3851,3646
A863188,"10214 N INTERSTATE HWY
AUSTIN 78753",Yes (come to the shelter),08/05/2022,Dog,Pit Bull Mix,Brown/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A863188,,,,,,,
A863330,"1804 W RUNDBERG
AUSTIN 78758
(30.37143, -97.714291)",Yes (come to the shelter),08/08/2022,Cat,Domestic Shorthair,Brown Tabby,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863330,4,9,16,63,18,3851,3646
A863331,"1804 W RUNDBERG
AUSTIN 78758
(30.37143, -97.714291)",Yes (come to the shelter),08/08/2022,Cat,Domestic Shorthair,Brown Tabby,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863331,4,9,16,63,18,3851,3646
A863332,"1804 W RUNDBERG
AUSTIN 78758
(30.37143, -97.714291)",Yes (come to the shelter),08/08/2022,Cat,Domestic Shorthair,Brown Tabby,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863332,4,9,16,63,18,3851,3646
A863379,"10401 NORTH BLVD
AUSTIN 78753",Yes (come to the shelter),08/09/2022,Cat,Domestic Shorthair,Black Smoke/Black Tabby,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863379,,,,,,,
A863294,"1707 VARGAS ROAD
AUSTIN 78741
(30.226158, -97.699532)",Yes (come to the shelter),08/08/2022,Dog,Labrador Retriever Mix,White,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863294,3,3,46,114,55,1760,3256
A863319,"3543 GREYSTONE DRIVE
AUSTIN 78731
(30.358232, -97.751915)",Yes (come to the shelter),08/08/2022,Dog,American Pit Bull Terrier,Black/White,Intact Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863319,10,5,,217,66,,3247
A863291,"7610 CAMERON RD
AUSTIN 78752
(30.331272, -97.687441)",Yes (come to the shelter),08/08/2022,Dog,Pointer,Black/White,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863291,4,9,43,63,3,202,3641
A863292,"7610 CAMERON RD
AUSTIN 78752
(30.331272, -97.687441)",Yes (come to the shelter),08/08/2022,Dog,Pointer,Black/White,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863292,4,9,43,63,3,202,3641
A863375,"10401 NORTH BLVD
AUSTIN 78753",Yes (come to the shelter),08/09/2022,Cat,Domestic Shorthair,Blue,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863375,,,,,,,
A863435,15024 BRECCIA RD MANOR78653,Yes (come to the shelter),08/10/2022,Dog,German Shepherd,Black,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863435,,,,,,,
A863437,15024 BRECCIA RD MANOR78653,Yes (come to the shelter),08/10/2022,Dog,German Shepherd,Black/Tan,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863437,,,,,,,
A863380,"CHESTNUT AVE
AUSTIN 78702",Yes (come to the shelter),08/09/2022,Dog,Yorkshire Terrier,Brown/Silver,Intact Male,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863380,,,,,,,
A863333,"1804 W RUNDBERG
AUSTIN 78758
(30.37143, -97.714291)",Yes (come to the shelter),08/08/2022,Cat,Domestic Shorthair,Brown Tabby,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863333,4,9,16,63,18,3851,3646
A863334,"1804 W RUNDBERG
AUSTIN 78758
(30.37143, -97.714291)",Yes (come to the shelter),08/08/2022,Cat,Domestic Shorthair,Brown Tabby,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863334,4,9,16,63,18,3851,3646
A863371,"WELLS BRANCH PKWY AUSTIN 78728
(30.450836, -97.682765)",Yes (come to the shelter),08/09/2022,Dog,Labrador Retriever Mix,Black,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863371,,,,540,48,,3244
A863431,"6708 TAMPA CV
AUSTIN 78723
(30.312847, -97.669762)",Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,Tortie,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863431,1,8,41,309,33,,3239
A863432,"15305 PALE GLOW CV
AUSTIN 78617",Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,Black,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863432,,,,,,,
A863376,"7600 METROPOLIS DRIVE
AUSTIN 78704
(30.20692, -97.696455)",Yes (come to the shelter),08/09/2022,Dog,German Shepherd,Tan/Black,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A863376,2,4,3,484,20,4025,3258
A863449,"AIRPORT BLVD AUSTIN 78702
(30.264271, -97.71608)",Yes (come to the shelter),08/10/2022,Dog,Pointer,Tan/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863449,1,8,59,309,1,3316,2857
A863448,"740 BASTROP HWY
AUSTIN 78741",Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,Orange Tabby,Neutered Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863448,,,,,,,
A863463,"1601 E SLAUGHTER LANE
AUSTIN 78747
(30.152714, -97.768598)",Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863463,,,,484,4,,3261
A863368,"QUICK SILVER BLVD AUSTIN 78744
(30.186349, -97.738673)",Yes (come to the shelter),08/09/2022,Cat,Domestic Shorthair,Blue Tabby/White,Intact Male,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863368,2,4,61,484,20,,3258
A863462,"1601 E SLAUGHTER LANE
AUSTIN 78747
(30.152714, -97.768598)",Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,Blue Tabby/White,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863462,,,,484,4,,3261
A863370,"WELLS BRANCH PKWY AUSTIN 78728
(30.450836, -97.682765)",Yes (come to the shelter),08/09/2022,Dog,Pit Bull Mix,Brown Brindle,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A863370,,,,540,48,,3244
A863377,"10401 NORTH BLVD
AUSTIN 78753",Yes (come to the shelter),08/09/2022,Cat,Domestic Shorthair,Blue,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863377,,,,,,,
A863378,"10401 NORTH BLVD
AUSTIN 78753",Yes (come to the shelter),08/09/2022,Cat,Domestic Shorthair,Brown Tabby,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863378,,,,,,,
A863369,"1218 BONNIE BAE ST
AUSTIN 78753
(30.357531, -97.676153)",Yes (come to the shelter),08/09/2022,Dog,Pit Bull,Brown Brindle,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863369,4,9,40,217,78,2761,3642
A647333,"SOUTH 1ST STREET
ELMO AUSTIN 78745",Yes (come to the shelter),08/08/2022,Dog,Pit Bull Mix,Brown Brindle,Neutered Male,11 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A647333,,,,,,,
A863388,"9505 STONE LAKE
AUSTIN 78759
(30.38593, -97.739052)",Yes (come to the shelter),08/09/2022,Dog,Black Mouth Cur,Tan/Black,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863388,7,7,32,217,58,,3647
A863392,"10003 DORSETT
AUSTIN 78753
(30.360456, -97.67534)",Yes (come to the shelter),08/09/2022,Dog,Chihuahua Shorthair,White/Tan,Intact Male,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863392,4,9,87,217,78,2761,3642
A863367,"QUICK SILVER BLVD AUSTIN 78744
(30.186349, -97.738673)",Yes (come to the shelter),08/09/2022,Cat,Domestic Shorthair,Blue Tabby/White,Intact Male,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863367,2,4,61,484,20,,3258
A863393,"10003 DORSETT
AUSTIN 78753
(30.360456, -97.67534)",Yes (come to the shelter),08/09/2022,Dog,Chihuahua Shorthair,Tan/White,Intact Male,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863393,4,9,87,217,78,2761,3642
A863433,"15305 PALE GLOW CV
AUSTIN 78617",Yes (come to the shelter),08/10/2022,Cat,Domestic Medium Hair,Black,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863433,,,,,,,
A863438,15024 BRECCIA RD MANOR78653,Yes (come to the shelter),08/10/2022,Dog,German Shepherd,Black/Tan,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863438,,,,,,,
A863439,15024 BRECCIA RD MANOR78653,Yes (come to the shelter),08/10/2022,Dog,German Shepherd,Black/Tan,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863439,,,,,,,
A863390,"5604 VALIANT COVE
AUSTIN 78749
(30.234318, -97.853081)",Yes (come to the shelter),08/09/2022,Dog,American Pit Bull Terrier,Brown/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863390,8,2,11,126,53,3764,3638
A863468,"2502 ALLRED DR
AUSTIN 78748
(30.174674, -97.830351)",Yes (come to the shelter),08/10/2022,Cat,Domestic Medium Hair,Brown Tabby/White,Intact Male,7 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863468,5,1,,369,22,1990,3637
A863474,"312 EAST GRADY
AUSTIN 78753
(30.37263, -97.682646)",Yes (come to the shelter),08/10/2022,Dog,Chihuahua Shorthair,Tan,Unknown,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A863474,4,9,51,217,78,1404,3642
A854185,"1156 W CESAR
CHAVEZ AUSTIN 78703",Yes (come to the shelter),08/09/2022,Dog,Boxer Mix,Brown Brindle/White,Spayed Female,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A854185,,,,,,,
A863440,15024 BRECCIA RD MANOR78653,Yes (come to the shelter),08/10/2022,Dog,German Shepherd,Black/Tan,Intact Female,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863440,,,,,,,
A863473,"508 HOWARD LANE78660
(30.419712, -97.661315)",Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,Orange Tabby,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A863473,7,7,,540,39,,8481
A863470,1200 MUSTANG DRIVE78610,Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,Black,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863470,,,,,,,
A863471,1200 MUSTANG DRIVE78610,Yes (come to the shelter),08/10/2022,Cat,Domestic Shorthair,Black,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A863471,,,,,,,
