"nombre","descripci_n","idioma","medio","formato","estado","vicepresidencia"
"Estudios estrategia del negocio generación","Investigaciones, consultorías estratégicas para decisiones de crecimiento e inversión del negocio","Español/Inglés","Electrónico","Documentos de MS Office, PDF, Etc.","No disponible (Clasificada o Reservada)",
"Zonas de influencia de las centrales en operación","Generalidades de los territorios donde se encuentra la infraestructura de Generación Energía.","Español","Electrónico","Documentos de MS Office, PDF, SIG, Etc.","Disponible",
"Características generales de las centrales de generación","Infraestructura, capacidad instalada,  Ubicación geográfica, generación real.","Español","Electrónico","Documentos de MS Office, PDF, SIG, Etc.","Disponible",
"Caracterísitcas técnicas detalladas de las centrales","Diseños, Planos detallados, características de los equipos, características de obras principales,","Español","Electrónico","Documentos de MS Office, PDF, AutoCad, Etc.","No disponible (Clasificada o Reservada)",
"Sistemas de Gestión de Calidad","Sistema de Gestión de Calidad del proceso Producción Energía -ISO 9001, Sistema de Gestión Ambiental-ISO 14001-para la minicentral Pajarito y las centrales Troneras, Guadalupe III, Guadalupe IV y Porce II -ISO 14001.","Español","Electrónico","Documentos, manuales de procedimientos","No disponible (Clasificada o Reservada)",
"Información hidrometeorológica general","Información general de clima, pluviosidad, sedimentos, caudales; entre otros.","Español","Electrónico","Registros de base de datos","Disponible",
"Información hidrometeorológica reservada","Información hidrometeorológica que apoya las decisiones comerciales y estratégicas del negocio (cambio climático, etc...)","Español","Electrónico","Registros de base de datos","No disponible (Clasificada o Reservada)",
"Plan integrado de mantenimiento para las centrales en operación (PIM)","Serie de pautas para la gestión de los mantenimientos predictivos, preventivos, correctivos, periféricos en las centrales en operación.","Español","Electrónico","Documentos, manuales de procedimientos","No disponible (Clasificada o Reservada)",
"Información de la estrategia comercial","Información para la toma de decisiones respecto a la participación en el mercado de energía.","Español","Electrónico","Documentos de MS Office, PDF, Etc.","No disponible (Clasificada o Reservada)",
"Información de la estrategía de riesgo climático NO","Directrices y lineamientos para enfrentar el cambio climático.","Español","Electrónico","Documentos de MS Office, PDF, Etc.","No disponible (Clasificada o Reservada)",
"Cuadro de Mando Integral","Sistema de indicadores para dar cuenta del cumplimiento de las metas del negocio Generación de Energía.","Español","Electrónico","Documentos de MS Office, PDF, Etc.","No disponible (Clasificada o Reservada)",
"Referenciamiento interno y externo, nacional e internacional","Documentos, estudios que dan cuenta de las estrategias exitosas y lecciones aprendidas de otras empresas pares o de interés del negocio.","Español","Electrónico","Documentos de MS Office, PDF, Etc.","No disponible (Clasificada o Reservada)",
"Atención a los proveedores de aseguramiento","Documentos sobre la atención que se presta a diferentes requerimientos de los entes de control.","Español","Electrónico","Documentos de MS Office, PDF, Etc.","No disponible (Clasificada o Reservada)",
"Informe de Gestión del Negocio Genración de Energía","Informe períodico donde se evalúa el desempeño del negocio y se proponen oportunidades de mejora para el cumplimiento de metas.","Español","Electrónico","Documentos de MS Office, PDF, Etc.","No disponible (Clasificada o Reservada)",
"Reporte consolidado de facturación","Información consolidada con totales de facturación de los servicios","Español","Electrónico","Documento de texto","Disponible para ser solicitada","Comercial"
"Reporte consolidado de número de clientes","Información consolidada de número de clientes por cada uno de los servicios, incluyendo el programa SOMOS","Español","Electrónico","Documento de texto","Disponible para ser solicitada","Comercial"
"Facturación","Información detallada de consumos, tarifas, nombre, teléfono, dirección y demás datos asociados a la facturación de los clientes de los servicios públicos","Español","Electrónico","Hojas de Cálculo y bases de datos en los sistemas de información","No disponible- información clasificada o reservada","Comercial"
"Georreferenciación","Información de coordenadas de las instalaciones atendidas por EPM","Español","Electrónico","Hojas de Cálculo y bases de datos en los sistemas de información","No disponible- información clasificada o reservada","Comercial"
"Plan Comercial","Plan estratégico comercial","Español","Electrónico","Hojas de Cálculo y Documentos de Texto","No disponible- información clasificada o reservada","Comercial"
"Clientes Segmentados","Información detallada o consolidada de los acuerdos y relacionamiento con clientes segmentados","Español","Electrónico","Hojas de Cálculo y Documentos de Texto","No disponible- información clasificada o reservada","Comercial"
"Planes de negocio de las ofertas comerciales","Documentos que soportan los estudios y planes de negocio de las ofertas comerciales","Español","Electrónico","Hojas de Cálculo y Documentos de Texto","No disponible- información clasificada o reservada","Comercial"
"Personal autorizado para realizar trabajos","Listados de funcionarios, contratistas y vehículos que pueden realizar trabajos en terreno","Español","Electrónico","Hojas de Cálculo","Disponible para ser solicitada","Comercial"
"Bases de datos a las que se les aplica mediciones o estudios y sus resultados","Estudios, análisis e investigaciones de mercado, análisis de entorno, medición de satisfacción y lealtad del Cliente","Español","Electrónico","Documento de texto","No disponible- información clasificada o reservada","Comercial"
"Reporte consolidado de peticiones, quejas y reclamos","Información consolidada con totales de peticiones, quejas y reclamos","Español","Electrónico","Documento de texto","Disponible para ser solicitada","Comercial"
"Reporte consolidado de morosidad de clientes","Información consolidada con totales del estado de morosidad de los clientes","Español","Electrónico","Documento de texto","Disponible para ser solicitada","Comercial"
"Matriz de requisitos","Listado de requisitos requeridos a los usuarios para la vinculación y atención","Español","Electrónico","Página web","Publicada
Link: https://www.epm.com.co/site/clientes_usuarios/Clientes-y-usuarios/Nuestros-trámites-Trámites-cliente","Comercial"
"Normograma","Detalles sobre normatividad asociada a la prestación de servicios públicos domiciliarios","Español","Electrónico","Hojas de Cálculo","Publicada
Link:
https://mibitacora.epm.com.co/areas/rcm/sgc/Sistema%20de%20Gestin%20de%20la%20Calidad/Normograma/Normograma1.xlsx?Web=1","Comercial"
"Horarios y puntos de atención","Información correspondiente a los diferentes canales de tención y sus horarios","Español","Electrónico","Página web","Publicada
Link:
https://www.epm.com.co/site/home/centro-de-contacto/canales-de-atencion/todas-las-oficinas-de-atencion","Comercial"
"Estadísticas Mensuales","Información sobre cifras y consolidados de ejecución de los diferentes canales de atención","Español","Electrónico","Página web","Publicada
Link:
https://www.epm.com.co/site/clientes_usuarios/Clientes-y-usuarios/Estadisticas-de-atencion","Comercial"
"PQRS","Registro detallado de peticiones, quejas y reclamos y datos personales de clientes que se reciben a través de los diferentes canales de atención","Español","Electrónico","Hojas de Cálculo y bases de datos en los sistemas de información","No disponible- información clasificada o reservada","Comercial"
"Morosidad","Información asociada al comportamiento comercial y financiero de los clientes por cada servicio","Español","Electrónico","Hojas de Cálculo y bases de datos en los sistemas de información","No disponible- información clasificada o reservada","Comercial"
"Citaciones y Avisos","Listado de citaciones y avisos teniendo en cuenta que EPM desconoce la dirección para dar respuesta a la petición presentada, o no fue posible contactar al peticionario, se publica en esta página, el oficio correspondiente a la atención del caso (Artículo 69 de la Ley 1437 de 2011)","Español","Electrónico
Físico (cartelera)","Página web","Publicada
Link: https://www.epm.com.co/site/clientes_usuarios/Publicación-de-citaciones-y-notificaciones","Comercial"
"Términos y condiciones del Programa Somos","Términos y condiciones de cada uno de los elementos y beneficios que deben aceptar todos los usuarios que se inscriben al programa, incluyendo manejo de datos personales","Español","Electrónico","Página web","Publicada
https://www.somosgrupoepm.com/descubre/terminos","Comercial"
"CMI Indicadores Comerciales","Información consolidada sobre el cumplimiento de objetivos estratégicos y operativos","Español","Electrónico","Documento de texto","No disponible- información clasificada o reservada","Comercial"
"Actas de interacción y de intervención con las filiales del Grupo, en los que se acuerda el desarrollo de los procesos comerciales, así como el proceso comercial","Acuerdos entre la empresa con sus filiales para las homologaciones del macroproceso Ciclo Comercial y los procesos comerciales que soportan la ejecución de la estrategia comercial que comprende la planificación operativa, el mercadeo, la ejecución de ventas, el relacionamiento con clientes / usuarios, el seguimiento y mejora a la gestión; incluyendo los costos de servir","Español","Electrónico","Documento de texto","No disponible- información clasificada o reservada","Comercial"
"Acuerdos de negociación de deudas con clientes","Acuerdos de negociación de deuda o acuerdos de pago específicos con clientes","Español","Electrónico","Documento de texto","No disponible- información clasificada o reservada","Comercial"
"Contratos de condiciones uniformes","Condiciones uniformes para la prestación de los servicios públicos domiciliarios de energía eléctrica, aguas y gas","Español","Electrónico","PDF","Publicada
https://www.epm.com.co/site/Portals/0/centro_de_documentos/normatividad_y_legislacion/Agua/CCU-AguaySaneamiento-Sep-4-2018.pdf?ver=2018-09-05-08132
https://www.epm.com.co/site/Portals/0/centro_de_documentos/normatividad_y_legislacion/energia/ccu-energia-agosto-2017.pdf 
https://www.epm.com.co/site/Portals/0/centro_de_documentos/normatividad_y_legislacion/gas_natural/contrato-de-condiciones-uniformes-gas.pdf","Comercial"
"Sistema Acueducto","Mapa donde se muestra los municipios atendidos por EPM metropolitana y que contiene además las fuentes de abastecimiento y las plantas de potabilización","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada","Agua y Saneamiento"
"Configuracion del sistema","Muestra las plantas de potabilización y los tanques que son abastecidos por cada una de ellas, tanto en forma exclusiva como compartida","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada","Agua y Saneamiento"
"Infraestructura Acueducto","Comprende la infraestructura de tuberías desde las fuentes hasta la entrega del agua al cliente final","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada","Agua y Saneamiento"
"Produccion de Agua Potable","Describe el volumen de agua producida (M3) anualmente en cada una de las plantas de potabilización","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada","Agua y Saneamiento"
"Calidad del Agua","Resultados de la medición de la calidad del Agua de acuerdo con la normatividad vigente","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada","Agua y Saneamiento"
"Indicadores de Acueducto","Refleja las principales mediciones realizadas para el Agua Potable","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada","Agua y Saneamiento"
"Sistema Alcantarillado","Mapa donde se muestra los municipios atendidos por EPM metropolitana y que contiene además las plantas de tratamiento","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada","Agua y Saneamiento"
"Infraestructura Alcantarillado","Comprende la infraestructura de las redes de recolección y transporte de las aguas residuales","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada","Agua y Saneamiento"
"Plantas de tratamiento","Refleja el caudal tratado cada año por cada una de las planta que conforman el sistema","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada","Agua y Saneamiento"
"Biosolidos","Uso y alternativas de aprovechamiento de los biosólidos","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada","Agua y Saneamiento"
"Indicadores de Alcantarillado","Refleja las principales mediciones realizadas para el Agua Residual","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada","Agua y Saneamiento"
"Indicadores de Control Social","Corresponde a la publicación anual que realiza la empresa en un medio impreso de comunicación masivo de los indicadores de acueducto y alcantarillado definidos en la resolución CRA 151 de 2001.","Español","Físico","Documento-Prensa","Disponible para ser solicitada","Agua y Saneamiento"
"Agua Cruda Bombeada","corresponde a la información anual del agua cruda bombeada.","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada","Agua y Saneamiento"
"Agua tratada Bombeada","corresponde a la información anual del agua tratada bombeada.","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada","Agua y Saneamiento"
"Informe Embalse La Fe","Datos que se reportan anualmente a la UNAL para estudios que se realizan al embalse La Fe","Español","Electronico","Excel","Disponible para ser solicitada","Generación Energía"
"Plegable de cifras","Corresponde a la publicación anual que realiza la empresa donde se registra información de infraestructura, indicadores, calidad del agua, producción de agua, agua bombeada","Español","Fisico, Electronico","Boletin, PDF","Publicada y disponible para ser solicitada","Agua y Saneamiento"
"Direccionamiento del negocio en responsabilidad social","Marco de actuación ""Alianzas para el desarrollo""","Español","Electrónico","Documentos de MS Office, PDF","Disponible","Proyectos e Ingeniería"
"Proyectos de expansión","Información de los proyectos en estudio.","Español","Electrónico","Documentos de MS Office, PDF, AutoCad, Etc.","No disponible (Clasificada o Reservada)","Proyectos e Ingeniería y VP T&D"
"Opciones de inversión","Información de las posibles opciones de inversión en Generación Energía.","Español","Electrónico","Documentos de MS Office, PDF, AutoCad, Etc.","No disponible (Clasificada o Reservada)","Generación Energía"
"Plan de negocio","Plan estratégico del negocio Generación Energía.","Español","Electrónico","Documentos de MS Office, PDF, Etc.","No disponible (Clasificada o Reservada)","Generación Energía"
"Plan de optimización de la infraestructura existente","Estudios y documentos asociados a las optimizaciones de la infraestructura del negocio.","Español","Electrónico","Documentos de MS Office, PDF, Etc.","No disponible (Clasificada o Reservada)","Generación Energía"
"Gestión socioambiental discrecional del negocio en los territorios","Planes de gestión ambiental y social.","Español","Electrónico","Documentos de MS Office, PDF, Etc.","Disponible","Proyectos e Ingeniería"
"Gestión socioambiental obligatoria del negocio en los territorios","Cumplimiento de obligaciones y requerimientos legales de las autoridades ambientales: planes de manejo ambiental, permisos y concesiones de aguas, permisos de aprovechamiento forestal, Planes de Emergencia y demás requerimientos.","Español","Electrónico","Documentos de MS Office, PDF, Etc.","No disponible (Clasificada o Reservada)","Agua y Saneamiento"
"Estudios socioambientales especializados","Investigaciones arqueológicas, estudios de biodiversidad, fauna y flora; entre otros.","Español","Electrónico","Documentos de MS Office, PDF, Etc.","Disponible","Proyectos e Ingeniería"
"Estudios estrategia del negocio generación","Investigaciones, consultorías estratégicas para decisiones de crecimiento e inversión del negocio","Español/Inglés","Electrónico","Documentos de MS Office, PDF, Etc.","No disponible (Clasificada o Reservada)","Generación Energía"
"Zonas de influencia de las centrales en operación","Generalidades de los territorios donde se encuentra la infraestructura de Generación Energía.","Español","Electrónico","Documentos de MS Office, PDF, SIG, Etc.","Disponible","Generación Energía"
"Características generales de las centrales de generación","Infraestructura, capacidad instalada,  Ubicación geográfica, generación real.","Español","Electrónico","Documentos de MS Office, PDF, SIG, Etc.","Disponible","Generación Energía"
"Caracterísitcas técnicas detalladas de las centrales","Diseños, Planos detallados, características de los equipos, características de obras principales,","Español","Electrónico","Documentos de MS Office, PDF, AutoCad, Etc.","No disponible (Clasificada o Reservada)","Generación Energía"
"Sistemas de Gestión de Calidad","Sistema de Gestión de Calidad del proceso Producción Energía -ISO 9001, Sistema de Gestión Ambiental-ISO 14001-para la minicentral Pajarito y las centrales Troneras, Guadalupe III, Guadalupe IV y Porce II -ISO 14001.","Español","Electrónico","Documentos, manuales de procedimientos","No disponible (Clasificada o Reservada)","Generación Energía"
"Información hidrometeorológica general","Información general de clima, pluviosidad, sedimentos, caudales; entre otros.","Español","Electrónico","Registros de base de datos","Disponible","Generación Energía"
"Información hidrometeorológica reservada","Información hidrometeorológica que apoya las decisiones comerciales y estratégicas del negocio (cambio climático, etc...)","Español","Electrónico","Registros de base de datos","No disponible (Clasificada o Reservada)","Generación Energía"
"Plan integrado de mantenimiento para las centrales en operación (PIM)","Serie de pautas para la gestión de los mantenimientos predictivos, preventivos, correctivos, periféricos en las centrales en operación.","Español","Electrónico","Documentos, manuales de procedimientos","No disponible (Clasificada o Reservada)","Generación Energía"
"Información de la estrategia comercial","Información para la toma de decisiones respecto a la participación en el mercado de energía.","Español","Electrónico","Documentos de MS Office, PDF, Etc.","No disponible (Clasificada o Reservada)","Generación Energía"
"Información de la estrategía de riesgo climático NO","Directrices y lineamientos para enfrentar el cambio climático.","Español","Electrónico","Documentos de MS Office, PDF, Etc.","No disponible (Clasificada o Reservada)","Generación Energía"
"Cuadro de Mando Integral","Sistema de indicadores para dar cuenta del cumplimiento de las metas del negocio Generación de Energía.","Español","Electrónico","Documentos de MS Office, PDF, Etc.","No disponible (Clasificada o Reservada)","Generación Energía"
"Referenciamiento interno y externo, nacional e internacional","Documentos, estudios que dan cuenta de las estrategias exitosas y lecciones aprendidas de otras empresas pares o de interés del negocio.","Español","Electrónico","Documentos de MS Office, PDF, Etc.","No disponible (Clasificada o Reservada)","Estrategia y Crecimiento"
"Atención a los proveedores de aseguramiento","Documentos sobre la atención que se presta a diferentes requerimientos de los entes de control.","Español","Electrónico","Documentos de MS Office, PDF, Etc.","No disponible (Clasificada o Reservada)","Auditoría Corporativa"
"Informe de Gestión del Negocio Genración de Energía","Informe períodico donde se evalúa el desempeño del negocio y se proponen oportunidades de mejora para el cumplimiento de metas.","Español","Electrónico","Documentos de MS Office, PDF, Etc.","No disponible (Clasificada o Reservada)","Generación Energía"
"Reporte consolidado de facturación","Información consolidada con totales de facturación de los servicios","Español","Electrónico","Documento de texto","Disponible para ser solicitada","Comercial"
"Reporte consolidado de número de clientes","Información consolidada de número de clientes por cada uno de los servicios, incluyendo el programa SOMOS","Español","Electrónico","Documento de texto","Disponible para ser solicitada","Comercial"
"Facturación","Información detallada de consumos, tarifas, nombre, teléfono, dirección y demás datos asociados a la facturación de los clientes de los servicios públicos","Español","Electrónico","Hojas de Cálculo y bases de datos en los sistemas de información","No disponible- información clasificada o reservada","Comercial"
"Georreferenciación","Información de coordenadas de las instalaciones atendidas por EPM","Español","Electrónico","Hojas de Cálculo y bases de datos en los sistemas de información","No disponible- información clasificada o reservada","Comercial"
"Plan Comercial","Plan estratégico comercial","Español","Electrónico","Hojas de Cálculo y Documentos de Texto","No disponible- información clasificada o reservada","Comercial"
"Clientes Segmentados","Información detallada o consolidada de los acuerdos y relacionamiento con clientes segmentados","Español","Electrónico","Hojas de Cálculo y Documentos de Texto","No disponible- información clasificada o reservada","Comercial"
"Planes de negocio de las ofertas comerciales","Documentos que soportan los estudios y planes de negocio de las ofertas comerciales","Español","Electrónico","Hojas de Cálculo y Documentos de Texto","No disponible- información clasificada o reservada","Comercial"
"Personal autorizado para realizar trabajos","Listados de funcionarios, contratistas y vehículos que pueden realizar trabajos en terreno","Español","Electrónico","Hojas de Cálculo","Disponible para ser solicitada","Comercial"
"Bases de datos a las que se les aplica mediciones o estudios y sus resultados","Estudios, análisis e investigaciones de mercado, análisis de entorno, medición de satisfacción y lealtad del Cliente","Español","Electrónico","Documento de texto","No disponible- información clasificada o reservada","Comercial"
"Reporte consolidado de peticiones, quejas y reclamos","Información consolidada con totales de peticiones, quejas y reclamos","Español","Electrónico","Documento de texto","Disponible para ser solicitada","Comercial"
"Reporte consolidado de morosidad de clientes","Información consolidada con totales del estado de morosidad de los clientes","Español","Electrónico","Documento de texto","Disponible para ser solicitada","Comercial"
"Planes Comercial y Operativo","Plan estratégico u operativos del frente comercial","Español","Electrónico","Hojas de Cálculo y Documentos de Texto","No disponible- información clasificada o reservada","Comercial"
"Matriz de requisitos","Listado de requisitos requeridos a los usuarios para la vinculación y atención","Español","Electrónico","Página web","Publicada
Link: https://cu.epm.com.co/clientesyusuarios/tramites-y-servicios","Comercial"
"Normograma","Detalles sobre normatividad asociada a la prestación de servicios públicos domiciliarios","Español","Electrónico","Hojas de Cálculo","Publicada
Link:
https://mibitacora.epm.com.co/areas/rcm/sgc/SitePages/Inicio.aspx?RootFolder=%2Fareas%2Frcm%2Fsgc%2FSistema%20de%20Gestin%20de%20la%20Calidad%2FOtros%20Dctos%20del%20SGC%2FNormograma&FolderCTID=0x012000AF67AB7E9F2BB74097BE25B9FFA63A96&View=%7BC5EEDF0C%2D3580%2D42BB%2DB400%2D019C800F884E%7D","Comercial"
"Horarios y puntos de atención","Información correspondiente a los diferentes canales de tención y sus horarios","Español","Electrónico","Página web","Publicada
Link:
https://cu.epm.com.co/clientesyusuarios/servicio-al-cliente/comunicate-con-nosotros","Comercial"
"Estadísticas Mensuales","Información sobre cifras y consolidados de ejecución de los diferentes canales de atención","Español","Electrónico","Página web","Publicada
Link:
https://cu.epm.com.co/clientesyusuarios/servicio-al-cliente/estadisticas-de-atencion#Ver-resultados-obtenidos-en-a-os-anteriores-175","Comercial"
"PQRS","Registro detallado de peticiones, quejas y reclamos y datos personales de clientes que se reciben a través de los diferentes canales de atención","Español","Electrónico","Hojas de Cálculo y bases de datos en los sistemas de información","No disponible- información clasificada o reservada","Comercial"
"Morosidad","Información asociada al comportamiento comercial y financiero de los clientes por cada servicio","Español","Electrónico","Hojas de Cálculo y bases de datos en los sistemas de información","No disponible- información clasificada o reservada","Comercial"
"Citaciones y Avisos","Listado de citaciones y avisos teniendo en cuenta que EPM desconoce la dirección para dar respuesta a la petición presentada, o no fue posible contactar al peticionario, se publica en esta página, el oficio correspondiente a la atención del caso (Artículo 69 de la Ley 1437 de 2011)","Español","Electrónico
Físico (cartelera)","Página web","Publicada
Link: https://cu.epm.com.co/clientesyusuarios/servicio-al-cliente/citaciones-y-notificaciones-por-aviso-en-la-web","Comercial"
"Términos y condiciones del Programa Somos","Términos y condiciones de cada uno de los elementos y beneficios que deben aceptar todos los usuarios que se inscriben al programa, incluyendo manejo de datos personales","Español","Electrónico","Página web","Publicada
https://www.somosgrupoepm.com/descubre/terminos","Comercial"
"CMI Indicadores Comerciales","Información consolidada sobre el cumplimiento de objetivos estratégicos y operativos","Español","Electrónico","Documento de texto","No disponible- información clasificada o reservada","Comercial"
"Actas de interacción y de intervención con las filiales del Grupo, en los que se acuerda el desarrollo de los procesos comerciales, así como el proceso comercial","Acuerdos entre la empresa con sus filiales para las homologaciones del macroproceso Ciclo Comercial y los procesos comerciales que soportan la ejecución de la estrategia comercial que comprende la planificación operativa, el mercadeo, la ejecución de ventas, el relacionamiento con clientes / usuarios, el seguimiento y mejora a la gestión; incluyendo los costos de servir","Español","Electrónico","Documento de texto","No disponible- información clasificada o reservada","Comercial"
"Acuerdos de negociación de deudas con clientes","Acuerdos de negociación de deuda o acuerdos de pago específicos con clientes","Español","Electrónico","Documento de texto","No disponible- información clasificada o reservada","Comercial"
"Contratos de condiciones uniformes","Condiciones uniformes para la prestación de los servicios públicos domiciliarios de energía eléctrica, aguas y gas","Español","Electrónico","PDF","Publicada
https://www.epm.com.co/site/Portals/0/centro_de_documentos/normatividad_y_legislacion/Agua/CCU-AguaySaneamiento-Sep-4-2018.pdf?ver=2018-09-05-08132
https://www.epm.com.co/site/Portals/0/centro_de_documentos/normatividad_y_legislacion/energia/ccu-energia-agosto-2017.pdf 
https://www.epm.com.co/site/Portals/0/centro_de_documentos/normatividad_y_legislacion/gas_natural/contrato-de-condiciones-uniformes-gas.pdf","Comercial"
"Información hidrometeorológica reservada","Información -minutal y horaria-  hidrometeorológica relacionada con la expansión de nuevos proyectos y/ o negocios en la actividad de generación de energía y aguas (en los componentes de planeación, construcción, operación distinta a la información reportada a los operadores del mercado mayorista de energía -XM, CNO- de proyectos); así mismo,  la información  hidrometeorológica  que apoya las decisiones comerciales y estratégicas del negocio; finalmente, los estudios hidrometeorológicos (tendencias, variaciones y cambio climáticos,  etc...)","Español","Electrónico (Hydstra)","PDF","No disponible- información clasificada o reservada","Generación Energía"
"Información hidrometeorológica reservada","Información diaria hidrometeorológica relacionada con la reportada a los operadores del mercado mayorista de energía -XM, CNO-","Español","Electrónico (Hydstra)","Documentos de MS Office, PDF, Etc.","Disponible para ser solicitada","Generación Energía"
"Plan de Unidad de Negocios T&D","El Plan de Unidad de Negocios T&D  comprende: el direccionamiento estratégico corporativo y competitivo, el plan de inversión, el plan comercial y los planes empresariales de las filiales de T&D del Grupo EPM.","Español","Digital/Electrónico  Físico","PDF","No disponible- información clasificada o reservada","T&D Energía"
"Plan de negocio de Grupo","Plan de inversiones de Grupo y proyecciones financieras.","Español","Electrónico","PDF","No disponible- información clasificada o reservada","Estrategia y Crecimiento"
"Seguimiento al Plan de Negocio de Grupo","Seguimiento al avance físico y presupuestal de las iniciativas del Plan.","Español","Electrónico","PDF","No disponible- información clasificada o reservada","Estrategia y Crecimiento"
"Direccionamiento estratégico","Indicadores estratégicos, metas y el seguimiento al cuadro de mando integral","Español","Electrónico/Quickscore","PDF","No disponible- información clasificada o reservada","Estrategia y Crecimiento"
