"deporte","tipo","fecha_desde","fecha_hasta","pais","lugar"
"ESGRIMA","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-11-01T00:00:00.000",,"CIRCUITO EUROPEO"
"AUTOMOVILISMO","NACIONAL","NACIONAL","2018-10-27T00:00:00.000","Colombia","Tocancipa"
"TEJO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-27T00:00:00.000","Colombia","BOGOTÁ D.C."
"TEJO","CAPACITACION","CAPACITACION","2018-10-26T00:00:00.000","Colombia","BOGOTÁ D.C."
"ECUESTRE","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-25T00:00:00.000","Colombia","BOGOTA   COL"
"GIMNASIA","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-25T00:00:00.000",,"DOHA - QATAR"
"TENIS DE MESA","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-25T00:00:00.000",,"SANTO DOMINGO"
"JUDO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-25T00:00:00.000","Colombia","MANIZALES"
"CANOTAJE","RESERVA DEPORTIVA","RESERVA DEPORTIVA","2018-10-24T00:00:00.000","Colombia","GUATAPE"
"ARQUERIA","NACIONAL","NACIONAL","2018-10-22T00:00:00.000","Colombia","CALI"
"FUTBOL DE SALON","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-22T00:00:00.000","Colombia","VALLEDUPAR"
"MOTOCICLISMO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-21T00:00:00.000","Colombia","CUNDINARCA"
"VELA","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-20T00:00:00.000","Argentina","BUENOS AIRES (ARG)"
"AUTOMOVILISMO","NACIONAL","NACIONAL","2018-10-20T00:00:00.000","Colombia","Tocancipa"
"VOLEIBOL","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-19T00:00:00.000","Colombia","BOGOTA"
"TAEKWONDO","CALENDARIO INTERNACIONAL.","CALENDARIO INTERNACIONAL.","2018-10-19T00:00:00.000",,"MANCHESTER"
"LUCHA","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-18T00:00:00.000",,"BUDAPEST"
"JUDO","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-15T00:00:00.000",,"BAHAMAS"
"JUDO","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-15T00:00:00.000",,"NASSAU"
"BALONCESTO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-14T00:00:00.000","Colombia","FUSA"
"MOTOCICLISMO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-14T00:00:00.000","Colombia","TOCANCIPA"
"SOFTBOL","INTERNACIONAL","INTERNACIONAL","2018-10-14T00:00:00.000",,"PERU"
"NATACION","CAPACITACION","CAPACITACION","2018-10-13T00:00:00.000","Colombia","Cali"
"ACTIVIDADES SUBACUATICAS","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-13T00:00:00.000","Colombia","Bogotá"
"VELA","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-13T00:00:00.000","Colombia","CALIMA - CLUB NÁUTICO DEL PACÍFICO"
"ESQUI","CALENDARIO UNICO","CALENDARIO UNICO","2018-10-13T00:00:00.000","Colombia","MEDELLIN"
"NATACION","CAPACITACION","CAPACITACION","2018-10-13T00:00:00.000","Colombia","Bogotá"
"ACTIVIDADES SUBACUATICAS","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-12T00:00:00.000","Colombia","POPAYAN"
"JUDO","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-12T00:00:00.000","Mexico","CANCUN"
"BEISBOL","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-12T00:00:00.000","Panama","PANAMA"
"CANOTAJE","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-12T00:00:00.000","Argentina","BUENOS AIRES, ARGENTINA"
"ARQUERIA","NACIONAL","NACIONAL","2018-10-12T00:00:00.000","Colombia","BUCARAMANGA"
"ATLETISMO","CALENDARIO UNICO","CALENDARIO UNICO","2018-10-11T00:00:00.000","Argentina","BUENOS AIRES"
"TEJO","JUEGOS NACIONALES","JUEGOS NACIONALES","2018-10-11T00:00:00.000","Colombia","MONTERÍA CORDOBA"
"TENIS DE MESA","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-11T00:00:00.000","Colombia","BOGOTA"
"BADMINTON","RESERVA DEPORTIVA","RESERVA DEPORTIVA","2018-10-10T00:00:00.000","Colombia","NARIÑO"
"ECUESTRE","ENTRENADORES","ENTRENADORES","2018-10-10T00:00:00.000","Colombia","CUNDINAMARCA"
"NATACION","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-10T00:00:00.000","Peru","Lima"
"NATACION","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-10T00:00:00.000","Peru","Lima"
"NATACION","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-10T00:00:00.000","Peru","Lima"
"NATACION","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-10T00:00:00.000","Peru","Lima"
"NATACION","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-10T00:00:00.000","Peru","Lima"
"FUTBOL DE SALON","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-10T00:00:00.000","Colombia","ARMENIA"
"BEISBOL","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-10T00:00:00.000","Colombia","CARTAGENA"
"LUCHA","CALENDARIO INTERNACINAL","CALENDARIO INTERNACINAL","2018-10-08T00:00:00.000",,"HUNGRIA"
"MOTOCICLISMO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-07T00:00:00.000","Colombia","NARIÑO"
"LEV DE PESAS","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-07T00:00:00.000","Colombia","CARTAGENA"
"AUTOMOVILISMO","NACIONAL","NACIONAL","2018-10-07T00:00:00.000","Colombia","Tocancipa"
"AUTOMOVILISMO","NACIONAL","NACIONAL","2018-10-07T00:00:00.000","Colombia","Tocancipa"
"VELA","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-07T00:00:00.000","Colombia","GUATAPÉ- ANTIOQUIA"
"VELA","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-07T00:00:00.000",,"WRIGHTSVILLE BEACH/NC / USA"
"ARQUERIA","EVENTO DEL CICLO OLÍMPICO","EVENTO DEL CICLO OLÍMPICO","2018-10-06T00:00:00.000","Argentina","BUENOS AIRES"
"NATACION","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-06T00:00:00.000","Argentina","Buenos Aires"
"NATACION","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-06T00:00:00.000","Argentina","Buenos Aires"
"AUTOMOVILISMO","NACIONAL","NACIONAL","2018-10-06T00:00:00.000","Colombia","Tocancipa"
"VELA","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-06T00:00:00.000","USA","SAN DIEGO CA USA"
"TRIATLON","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-06T00:00:00.000","Colombia","PAIPA"
"TEJO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-04T00:00:00.000","Colombia","VILLETA CUNDINAMARCA"
"ECUESTRE","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-04T00:00:00.000","España","BARCELONA ESPAÑA"
"BALONMAMO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-04T00:00:00.000","Colombia","Palmira - Valle - Colombia"
"VELA","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-03T00:00:00.000",,"WRIGHTSVILLE BEACH/NC / USA"
"BILLAR","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-01T00:00:00.000","Colombia","COLOMBIA/ Pendiente"
"ACTIVIDADES SUBACUATICAS","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-01T00:00:00.000","Colombia","SANTA MARTA"
"MOTONAUTICA","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-01T00:00:00.000","Colombia","CUNDINAMARCA"
"CANOTAJE","RESERVA DEPORTIVA","RESERVA DEPORTIVA","2018-10-01T00:00:00.000","Colombia","Neusa, Cundinamarca"
"TAEKWONDO","CALENDARIO INTERNACIONAL.","CALENDARIO INTERNACIONAL.","2018-10-01T00:00:00.000",,"SPOKANE - USA"
"BILLAR","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-01T00:00:00.000","Egipto","Egypto/ Cairo"
"SURF","NACIONAL","NACIONAL","2018-10-01T00:00:00.000","Colombia","CARTAGENA"
"SOFTBOL","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-01T00:00:00.000",,"COLOMBIA"
"MOTONAUTICA","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-01T00:00:00.000","USA","LAS VEGAS"
"MOTONAUTICA","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-01T00:00:00.000",,"MONACO"
"ESGRIMA","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-10-01T00:00:00.000",,"CIRCUITO EUROPEO"
"GIMNASIA","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-01T00:00:00.000",,"POR DEFINIR"
"BILLAR","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-10-01T00:00:00.000","Colombia","Colombia/ Pendiente"
"VELA","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-09-29T00:00:00.000",,"TOMINÉ - MUÑA"
"AUTOMOVILISMO","NACIONAL","NACIONAL","2018-09-29T00:00:00.000","Colombia","Tocancipa"
"ATLETISMO","CALENDARIO UNICO","CALENDARIO UNICO","2018-09-29T00:00:00.000","Ecuador","CUENCA -ECUADOR"
"ATLETISMO","CALENDARIO UNICO","CALENDARIO UNICO","2018-09-29T00:00:00.000","Colombia","SANTA MARTA"
"KARATE DO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-09-27T00:00:00.000","Colombia","CHIA - CMARCA"
"TEJO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-09-27T00:00:00.000","Colombia","MALAGA NORTE S/DER"
"JIUJITSU","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-09-25T00:00:00.000","Colombia","CARTAGENA"
"ESQUI","CALENDARIO UNICO","CALENDARIO UNICO","2018-09-23T00:00:00.000","Colombia","CUNDINAMARCA"
"AUTOMOVILISMO","NACIONAL","NACIONAL","2018-09-23T00:00:00.000","Colombia","Chia"
"AUTOMOVILISMO","NACIONAL","NACIONAL","2018-09-23T00:00:00.000","Colombia","Cajica"
"ACTIVIDADES SUBACUATICAS","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-09-22T00:00:00.000","Colombia","Cartagena"
"ACTIVIDADES SUBACUATICAS","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-09-22T00:00:00.000","Colombia","Medellin"
"AUTOMOVILISMO","NACIONAL","NACIONAL","2018-09-22T00:00:00.000","Colombia","Cali"
"BALONMAMO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-09-21T00:00:00.000","Colombia","CARTAGENA"
"SQUASH","INTERNACIONAL","INTERNACIONAL","2018-09-21T00:00:00.000","Colombia","BOGOTA"
"GIMNASIA","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-09-20T00:00:00.000","Colombia","MEDELLÍN"
"BADMINTON","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-09-20T00:00:00.000","Colombia","RISARALDA"
"TAEKWONDO","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-09-19T00:00:00.000",,"Taoyuan, Chinese"
"TENIS DE MESA","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-09-18T00:00:00.000","Colombia","PAIPA"
"LUCHA","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-09-17T00:00:00.000","Colombia","RIONEGRO"
"NATACION","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-09-17T00:00:00.000","Peru","Lima"
"JUDO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-09-13T00:00:00.000","Colombia","BOGOTA"
"BALONCESTO","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-09-08T00:00:00.000","Colombia","NEIVA"
"GIMNASIA","CALENDARIO NACIONAL","CALENDARIO NACIONAL","2018-09-07T00:00:00.000","Colombia","BOGOTÁ - COLOMBIA"
"GOLF","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-09-06T00:00:00.000","Argentina","PILAR-ARGENTINA"
"GOLF","CALENDARIO INTERNACIONAL","CALENDARIO INTERNACIONAL","2018-09-05T00:00:00.000","Peru","LIMA -PERU"
"ECUESTRE","ENTRENADORES","ENTRENADORES","2018-09-01T00:00:00.000","Colombia","BOGOTA"
"GOLF","DEPORTIVO","DEPORTIVO","2017-12-20T00:00:00.000","ESTADOS UNIDOS","CORAL GABLES, FL"
"DEPORTES AÉREOS","DEPORTIVO","DEPORTIVO","2017-12-15T00:00:00.000","VALLE","ROLDANILLO - VALLE"
"AJEDREZ",,,"2017-12-14T00:00:00.000","COLOMBIA","CARTAGENA"
"GOLF","CONCENTRACIÓN","CONCENTRACIÓN","2017-12-13T00:00:00.000","ESTADOS UNIDOS","CAROLINA DEL SUR"
"SOFTBOL",,,"2017-12-10T00:00:00.000","COLOMBIA","BOGOTA"
"GOLF","DEPORTIVO","DEPORTIVO","2017-12-10T00:00:00.000","ESTADOS UNIDOS","SARASOTA"
"BRIDGE",,,"2017-12-10T00:00:00.000","BOGOTA","BOGOTA"
"SAMBO",,,"2017-12-09T00:00:00.000","EUROPA","TOLIMA"
"RUGBY","CONCENTRACIÓN","CONCENTRACIÓN","2017-12-09T00:00:00.000","COLOMBIA","CALI/CUCUTA/PEREIRA/MEDELLIN/BOGOTA/BARRANQUILLA/RIOACHA/SANTANDER/"
"GOLF","DEPORTIVO","DEPORTIVO","2017-12-08T00:00:00.000","COLOMBIA","MEDELLÍN"
"DEPORTES AÉREOS","DEPORTIVO","DEPORTIVO","2017-12-08T00:00:00.000","VALLE","BELLO HORIZINTE -VALLE"
"GOLF","DEPORTIVO","DEPORTIVO","2017-12-07T00:00:00.000","CHILE","SANTIAGO DE CHILE"
"ECUESTRE","DEPORTIVO","DEPORTIVO","2017-12-07T00:00:00.000","COLOMBIA","BOGOTA"
"BOWLING",,,"2017-12-04T00:00:00.000","KUWAIT","KUWAIT"
"JIU-JITSU",,,"2017-12-02T00:00:00.000","COLOMBIA","BOGOTA"
"TENIS","CONCENTRACIÓN","CONCENTRACIÓN","2017-12-02T00:00:00.000","COLOMBIA","BOGOTA"
"AUTOMOVILISMO","DEPORTIVO","DEPORTIVO","2017-12-01T00:00:00.000","COLOMBIA","TOCANCIPA"
"GIMNASIA","DEPORTIVO","DEPORTIVO","2017-12-01T00:00:00.000","BOYACA","COLOMBIA"
"DEPORTES AÉREOS","DEPORTIVO","DEPORTIVO","2017-12-01T00:00:00.000","META","VILLAVICENCIO - META"
"SQUASH",,,"2017-12-01T00:00:00.000",,"LIGA DE SQUASH DE BOGOTÀ- NOGAL"
"ARQUERIA","DEPORTIVO","DEPORTIVO","2017-12-01T00:00:00.000","TAILANDIA","BANGKOK"
"GOLF","DEPORTIVO","DEPORTIVO","2017-12-01T00:00:00.000","COLOMBIA","BARRANQUILLA"
"LUCHA","DEPORTIVO","DEPORTIVO","2017-12-01T00:00:00.000","SIN DEFINIR","COLOMBIA"
"ECUESTRE","DEPORTIVO","DEPORTIVO","2017-11-30T00:00:00.000","COLOMBIA","BOGOTA"
"GOLF","DEPORTIVO","DEPORTIVO","2017-11-29T00:00:00.000","COLOMBIA","BUCARAMANGA"
"SAMBO",,,"2017-11-28T00:00:00.000","COLOMBIA","SOCCHI"
"GIMNASIA","CONCENTRACIÓN","CONCENTRACIÓN","2017-11-27T00:00:00.000","CALI","POR DEFINIR"
"GIMNASIA","DEPORTIVO","DEPORTIVO","2017-11-27T00:00:00.000","CALI","COLOMBIA"
"AUTOMOVILISMO","DEPORTIVO","DEPORTIVO","2017-11-26T00:00:00.000","COLOMBIA","TOCANCIPA"
"JUDO","DEPORTIVO","DEPORTIVO","2017-11-26T00:00:00.000","COLOMBIA","SANTA MARTA"
"BOXEO","DEPORTIVO","DEPORTIVO","2017-11-26T00:00:00.000","MANAGUA, NICARAGUA","MANAGUA, NICARAGUA"
"AUTOMOVILISMO","DEPORTIVO","DEPORTIVO","2017-11-26T00:00:00.000","COLOMBIA","MEDELLIN"
"ESQUI NAUTICO","DEPORTIVO","DEPORTIVO","2017-11-25T00:00:00.000","COLOMBIA","SANTANDER"
"TIRO SPORTING CLAYS","DEPORTIVO","DEPORTIVO","2017-11-25T00:00:00.000","COLOMBIA","MONTERIA"
