"curso","pa_s","ciudad","fecha_inicial","fecha_final","hora_inicial","hora_final","d_as_curso","cupo_m_ximo","costo_pesos","costo_dolares"
"Metrología de Par torsional","Colombia","Bogotá D. C.","2020-05-27T00:00:00.000","2020-05-29T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","3","8","1166700.00","432.00"
"Metrología de Par torsional","Colombia","Bogotá D. C.","2020-10-14T00:00:00.000","2020-10-16T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","3","8","1166700.00","432.00"
"Conceptos Básicos en Metrología Química","Colombia","Bogotá D. C.","2020-05-22T00:00:00.000","2020-05-22T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","1","15","619100.00","229.00"
"Conceptos Básicos en Metrología Química","Colombia","Bogotá D. C.","2020-10-16T00:00:00.000","2020-10-16T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","1","15","619100.00","229.00"
"Validación Métodos Químicos Cuantitativos","Colombia","Bogotá D. C.","2020-08-13T00:00:00.000","2020-08-14T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","2","15","975400.00","361.00"
"Metrología de Pequeños Volúmenes","Colombia","Bogotá D. C.","2020-07-15T00:00:00.000","2020-07-17T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","3","8","1166700.00","432.00"
"Metrología de Pequeños Volúmenes","Colombia","Bogotá D. C.","2020-09-23T00:00:00.000","2020-09-25T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","3","8","1166700.00","432.00"
"Metrología de Pequeños Volúmenes","Colombia","Bogotá D. C.","2020-12-02T00:00:00.000","2020-12-04T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","3","8","1166700.00","432.00"
"Metrología de Grandes Volúmenes","Colombia","Bogotá D. C.","2020-04-15T00:00:00.000","2020-04-17T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","3","8","1166700.00","432.00"
"Metrología de Grandes Volúmenes","Colombia","Bogotá D. C.","2020-11-11T00:00:00.000","2020-11-13T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","3","8","1166700.00","432.00"
"Calibración Espectrofotómetros UV-Vis","Colombia","Bogotá D. C.","2020-05-14T00:00:00.000","2020-05-15T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","2","6","975400.00","361.00"
"Calibración Espectrofotómetros UV-Vis","Colombia","Bogotá D. C.","2020-09-28T00:00:00.000","2020-09-29T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","2","6","975400.00","361.00"
"NORMA NTC-ISO/IEC 17025:2017","Colombia","Bogotá D. C.","2020-07-08T00:00:00.000","2020-07-10T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","3","20","1166700.00","432.00"
"NORMA NTC-ISO/IEC 17025:2017","Colombia","Bogotá D. C.","2020-09-09T00:00:00.000","2020-09-11T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","3","20","1166700.00","432.00"
"NORMA NTC-ISO/IEC 17025:2017","Colombia","Bogotá D. C.","2020-11-11T00:00:00.000","2020-11-13T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","3","20","1166700.00","432.00"
"Introducción a la Metrología de Masa","Colombia","Bogotá D. C.","2020-03-03T00:00:00.000","2020-03-06T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","4","12","1467900.00","543.00"
"Introducción a la Metrología de Masa","Colombia","Bogotá D. C.","2020-07-07T00:00:00.000","2020-07-10T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","4","12","1467900.00","543.00"
"Introducción a la Metrología de Masa","Colombia","Bogotá D. C.","2020-10-06T00:00:00.000","2020-10-09T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","4","12","1467900.00","543.00"
"Instrumentos de Pesaje de funcionamiento no automático en el contexto metrológico legal colombiano","Colombia","Bogotá D. C.","2020-06-09T00:00:00.000","2020-06-12T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","4","12","1467900.00","543.00"
"Calibración de Instrumentos de Pesaje de funcionamiento no automático según Guía SIM","Colombia","Bogotá D. C.","2020-07-27T00:00:00.000","2020-07-31T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","5","12","1769200.00","654.00"
"Calibración de Instrumentos de Pesaje de funcionamiento no automático según Guía SIM","Colombia","Bogotá D. C.","2020-10-26T00:00:00.000","2020-10-30T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","5","12","1769200.00","654.00"
"Calibración de Masa de Alta exactitud","Colombia","Bogotá D. C.","2020-09-07T00:00:00.000","2020-09-18T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","10","4","3252000.00","1203.00"
"Estimación de incertidumbre en métodos químicos cuantitativos","Colombia","Bogotá D. C.","2020-08-27T00:00:00.000","2020-08-28T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","2","15","975400.00","361.00"
"Buenas Prácticas de Medición del pH y la conductividad electrolítica","Colombia","Bogotá D. C.","2020-06-25T00:00:00.000","2020-06-26T00:00:00.000","1899-12-31T08:15:00.000","1899-12-31T17:00:00.000","2","6","975400.00","361.00"
