"id","tipo_asset","nombre_del_asset","nombre_del_programa","tipo","temporada","capitulo","canal","url"
"4988","Video","Tinta roja- Cap. 3 El sombrerero","Con la lavadora al fondo","Inventos","Amor en tiempos de coronavirus","108","Original RTVCPlay","https://www.rtvcplay.co/inventos/con-la-lavadora-al-fondo/tinta-roja-cap-3-sombrerero"
"4987","Video","Tinta roja- Cap. 2 Cartas perdidas","Con la lavadora al fondo","Inventos","Amor en tiempos de coronavirus","107","Original RTVCPlay","https://www.rtvcplay.co/inventos/con-la-lavadora-al-fondo/tinta-roja-cap-2-cartas-perdidas"
"4986","Video","Tinta roja- Cap. 1 Escribiendo una historia","Con la lavadora al fondo","Inventos","Amor en tiempos de coronavirus","106","Original RTVCPlay","https://www.rtvcplay.co/inventos/con-la-lavadora-al-fondo/tinta-roja-cap-1-escribiendo-historia"
"4981","Video","Necesité de una pandemia - Isabela González","Con la lavadora al fondo","Inventos","Cantando en la ducha","101","Original RTVCPlay","https://www.rtvcplay.co/inventos/con-la-lavadora-al-fondo/necesite-pandemia-isabela-gonzalez"
"4979","Video","Cuarentena - Carlos Alberto Gómez","Con la lavadora al fondo","Inventos","Bitácora de la cuarentena","99","Original RTVCPlay","https://www.rtvcplay.co/inventos/con-la-lavadora-al-fondo/cuarentena-carlos-alberto-gomez"
"4978","Video","Hoy tengo que creer - Keren Ardila","Con la lavadora al fondo","Inventos","Bitácora de la cuarentena","98","Original RTVCPlay","https://www.rtvcplay.co/inventos/con-la-lavadora-al-fondo/hoy-tengo-creer-keren-ardila"
"4977","Video","Clase 111 - Profe en tu casa","Profe en tu casa","Competencias básicas, ciudadanas y socioemocionales","Sin definir","111","Señal Colombia","https://www.rtvcplay.co/competencias-basicas-ciudadanas-y-socioemocionales/profe-en-tu-casa/clase-111-profe-tu-casa"
"4967","Video","Clase 110 - Profe en tu casa","Profe en tu casa","Competencias básicas, ciudadanas y socioemocionales","Sin definir","110","Señal Colombia","https://www.rtvcplay.co/competencias-basicas-ciudadanas-y-socioemocionales/profe-en-tu-casa/clase-110-profe-tu-casa"
"1205","Video","Cimarrón","Sin definir","Sin definir","Sin definir","Sin definir","Sin definir","https://www.rtvcplay.co/cimarron"
"4966","Audio","El humor en la radio de América Latina","Jajaja...¿De qué nos reímos?","Series podcasts","Sin definir","8","Radio Nacional","https://www.rtvcplay.co/series-podcasts/jajajade-que-nos-reimos/humor-radio-america-latina"
"4965","Audio","Hebert Castro, el coloso del humor","Jajaja...¿De qué nos reímos?","Series podcasts","Sin definir","7","Radio Nacional","https://www.rtvcplay.co/series-podcasts/jajajade-que-nos-reimos/hebert-castro-coloso-del-humor"
"4964","Audio","Los Tolimenses, humor con sonido a tiple","Jajaja...¿De qué nos reímos?","Series podcasts","Sin definir","6","Radio Nacional","https://www.rtvcplay.co/series-podcasts/jajajade-que-nos-reimos/tolimenses-humor-sonido-tiple"
"4963","Audio","Los Chaparrines y el Manicomio de Vargasvil","Jajaja...¿De qué nos reímos?","Series podcasts","Sin definir","5","Radio Nacional","https://www.rtvcplay.co/series-podcasts/jajajade-que-nos-reimos/chaparrines-manicomio-vargasvil"
"4962","Audio","Las aventuras de Montecristo","Jajaja...¿De qué nos reímos?","Series podcasts","Sin definir","4","Radio Nacional","https://www.rtvcplay.co/series-podcasts/jajajade-que-nos-reimos/aventuras-montecristo"
"4961","Video","Carrera infernal en Inglaterra","MARATON MAN","Series documentales","Temporada 1","2","Señal Colombia","https://www.rtvcplay.co/series-documentales/maraton-man/carrera-infernal-inglaterra"
"4960","Video","Kenia, la cuna del running","MARATON MAN","Series documentales","Temporada 1","1","Señal Colombia","https://www.rtvcplay.co/series-documentales/maraton-man/kenia-cuna-del-running"
"4959","Video","Clase 109 - Profe en tu casa","Profe en tu casa","Competencias básicas, ciudadanas y socioemocionales","Sin definir","109","Señal Colombia","https://www.rtvcplay.co/competencias-basicas-ciudadanas-y-socioemocionales/profe-en-tu-casa/clase-109-profe-tu-casa"
"4957","Video","Baladí","Baladí","Cortometrajes documentales","Sin definir","Sin definir","Señal Colombia","https://www.rtvcplay.co/cortometrajes-documentales/baladi/baladi"
"4955","Video","Clase 108 - Profe en tu casa","Profe en tu casa","Competencias básicas, ciudadanas y socioemocionales","Sin definir","108","Señal Colombia","https://www.rtvcplay.co/competencias-basicas-ciudadanas-y-socioemocionales/profe-en-tu-casa/clase-108-profe-tu-casa"
"4954","Video","Clase 107 - Profe en tu casa","Profe en tu casa","Competencias básicas, ciudadanas y socioemocionales","Sin definir","107","Señal Colombia","https://www.rtvcplay.co/competencias-basicas-ciudadanas-y-socioemocionales/profe-en-tu-casa/clase-107-profe-tu-casa"
"4952","Audio","Clase 107 - Profe en tu casa","Podcast - Profe en tu casa","Series podcasts","Sin definir","107","Señal Colombia","https://www.rtvcplay.co/series-podcasts/podcast-profe-en-tu-casa/clase-107-profe-tu-casa"
"4951","Audio","Clase 106 - Profe en tu casa","Podcast - Profe en tu casa","Series podcasts","Sin definir","106","Señal Colombia","https://www.rtvcplay.co/series-podcasts/podcast-profe-en-tu-casa/clase-106-profe-tu-casa"
"4950","Audio","Clase 105 - Profe en tu casa","Podcast - Profe en tu casa","Series podcasts","Sin definir","105","Señal Colombia","https://www.rtvcplay.co/series-podcasts/podcast-profe-en-tu-casa/clase-105-profe-tu-casa"
"4949","Audio","Clase 104 - Profe en tu casa","Podcast - Profe en tu casa","Series podcasts","Sin definir","104","Señal Colombia","https://www.rtvcplay.co/series-podcasts/podcast-profe-en-tu-casa/clase-104-profe-tu-casa"
"4948","Audio","Clase 103 - Profe en tu casa","Podcast - Profe en tu casa","Series podcasts","Sin definir","103","Señal Colombia","https://www.rtvcplay.co/series-podcasts/podcast-profe-en-tu-casa/clase-103-profe-tu-casa"
"4947","Audio","Clase 102 - Profe en tu casa","Podcast - Profe en tu casa","Series podcasts","Sin definir","102","Señal Colombia","https://www.rtvcplay.co/series-podcasts/podcast-profe-en-tu-casa/clase-102-profe-tu-casa"
"4946","Audio","Clase 101 - Profe en tu casa","Podcast - Profe en tu casa","Series podcasts","Sin definir","101","Señal Colombia","https://www.rtvcplay.co/series-podcasts/podcast-profe-en-tu-casa/clase-101-profe-tu-casa"
