"n_senado","n_camara","titulo","autor","f_presentado","comision","estado"
"012/17",,"POR LA CUAL SE OTORGAN FACULTADES EXTRAORDINARIAS PRO TÉMPORE AL PRESIDENTE DE LA REPÚBLICA PARA EXPEDIR UN RÉGIMEN LABORAL ESPECIAL PARA LOS SERVIDORES PÚBLICOS DE LAS EMPRESAS SOCIALES DEL ESTADO DEL NIVEL NACIONAL Y TERRITORIAL Y PARA EXPEDIR EL SISTEMA ESPECÍFICO DE CARRERA ADMINISTRATIVA DEL PERSONAL QUE PRESTA SUS SERVICIOS EN LAS ENTIDADES QUE INTEGRAN EL SISTEMA NACIONAL DE CIENCIA, TECNOLOGÍA E INNOVACIÓN Y LA EXPEDICIÓN DEL SISTEMA DE ESTÍMULOS, CAPACITACIÓN Y SITUACIONES ADMINISTRATIVAS ESPECIALES DE LOS SERVIDORES PÚBLICOS VINCULADOS A TALES ENTIDADES, Y SE DICTAN OTRAS DISPOSICIONES","Ministro de Salud y Protección Social, ALEJANDRO GAVIRIA URIBE","2017-07-20","SEPTIMA","ARCHIVADO"
"013/17",,"POR LA CUAL SE ESTABLECEN MEDIDAS DE PROTECCIÓN Y USO DE LAS PLAYAS MARINAS Y TERRENOS DE BAJAMAR Y SE DICTAN OTRAS DISPOSICIONES, LEY DE COSTAS","H.S. ALVARO ANTONIO ASHTON GIRALDO.","2017-07-20","SEGUNDA","ARCHIVADO"
"014/17",,"POR MEDIO DE LA CUAL SE FORTALECE LA POLÍTICA CRIMINAL Y PENITENCIARIA EN COLOMBIA Y SE DICTAN OTRAS DISPOSICIONES","Ministro de Justicia y del Derecho, ENRIQUE GIL BOTERO","2017-10-25","PRIMERA","ARCHIVADO"
"015/17","245/17","POR MEDIO DEL CUAL SE DECLARA EL JUEGO AL TURMEQUÉ (TEJO), COMO PATRIMONIO CULTURAL INMATERIAL DE LA NACIÓN, Y SE DICTAN OTRAS DISPOSICIONES","HS. ANTONIO NAVARRO WOLFF, HR. SANDRA LILIANA ORTIZ NOVA","2017-07-25","SEGUNDA","LEY"
"016/17","005/17 Acum 052/17 S, 047/17 S, 117 C, 114 C","POR MEDIO DE LA CUAL SE FORTALECEN LOS MECANISMOS DE PREVENCIÓN, INVESTIGACIÓN Y SANCIÓN DE LOS ACTOS DE CORRUPCIÓN Y CONTROL DE GESTIÓN PÚBLICA","H.S. MARIA DEL ROSARIO GUERRA, ALVARO URIBE","2017-07-26","PRIMERA","ARCHIVADO"
"017/17",,"POR MEDIO DE LA CUAL SE APRUEBA EL «CONVENIO 149 SOBRE EL PERSONAL DE ENFERMERÍA», ADOPTADO POR LA 63ª REUNIÓN DE LA CONFERENCIA INTERNACIONAL DEL TRABAJO, REALIZADA EN GINEBRA – SUIZA, EL 21 DE  JUNIO DE 1977","Ministra de Relaciones Exteriores, MARÍA ÁNGELA HOLGUÍN CUÉLLAR, Ministra de Trabajo, GRISELDA JANETH RESTREPO GALLEGO","2017-07-25","SEGUNDA","ARCHIVADO"
"018/17",,"POR MEDIO DE LA CUAL SE APRUEBA EL «CONVENIO 183 SOBRE LA PROTECCIÓN DE LA MATERNIDAD» ¸ ADOPTADO POR LA 88ª REUNIÓN DE LA CONFERENCIA INTERNACIONAL DEL TRABAJO, REALIZADA EN GINEBRA – SUIZA EL 15 DE JUNIO DEL 2000","Ministra de Relaciones Exteriores, MARÍA ÁNGELA HOLGUÍN CUÉLLAR, Ministra de Trabajo, GRISELDA JANETH RESTREPO GALLEGO","2017-07-20","SEGUNDA","ARCHIVADO"
"019/17",,"POR MEDIO DE LA CUAL SE APRUEBA EL «CONVENIO 135 SOBRE LOS REPRESENTANTES DE LOS TRABAJADORES», ADOPTADO EN GINEBRA, CONFEDERACIÓN SUIZA, EN EL MARCO DE LA 56 A REUNIÓN DE LA CONFERENCIA INTERNACIONAL DE LA ORGANIZACIÓN INTERNACIONAL DEL TRABAJO, EL 23 DE JUNIO DE 1971","Ministra de Relaciones Exteriores, MARÍA ÁNGELA HOLGUÍN CUÉLLAR, Ministra de Trabajo, GRISELDA JANETH RESTREPO GALLEGO","2017-07-25","SEGUNDA","ARCHIVADO"
"020/17",,"POR MEDIO DE LA CUAL SE REFORMA EL DERECTO 1421 DE 1993 EN RELACIÓN CON LA REMUNERACIÓN DE LOS ALCALDES LOCALES Y LOS EDILES DE BOGOTÁ","HS ROY BARRERAS MONTEALEGRE","2017-07-25","PRIMERA","ARCHIVADO"
"021/17",,"POR LA CUAL SE ACTUALIZA LA POLÍTICA PÚBLICA Y SE AJUSTA LA INSTITUCIONALIDAD, REGULACIÓN, VIGILANCIA Y CONTROL Y DE PROTECCIÓN DE USUARIOS DE SERVICIOS DE TELEVISIÓN EN UN CONTEXTO DE CONVERGENCIA TECNOLÓGICA","HS. MARÍA DEL ROSARIO GUERRA DE LA ESPRIELLA","2017-07-20","SEXTA","ARCHIVADO"
"022/17",,"POR MEDIO DE LA CUAL SE REGLAMENTA EL TRANSPORTE PÚBLICO RURAL EN COLOMBIA","HS. MARÍA DEL ROSARIO GUERRA DE LA ESPRIELLA","2017-07-26","SEXTA","ARCHIVADO POR RETIRO DEL AUTOR"
"023/17",,"POR LA CUAL SE REGLAMENTAN LOS ESTÁNDARES DE CALIDAD Y HABITABILIDAD EN LA VIVIENDA DE INTERÉS SOCIAL Y DE INTERÉS PRIORITARIO URBANO","HS. MARÍA DEL ROSARIO GUERRA DE LA ESPRIELLA","2017-07-20","SEPTIMA","ARCHIVADO"
"024/17",,"POR MEDIO DE LA CUAL SE REGULA EL COBRO DE DERECHOS DE GRADO, DERECHOS COMPLEMENTARIOS Y SE DICTAN OTRAS DISPOSICIONES","HS. NADIA BLEL SCAAF","2017-07-26","SEXTA","ARCHIVADO"
"025/17",,"PROYECTO DE LEY POR MEDIO DE CUAL SE ESTABLECEN MEDIDAS PARA FOMENTAR LA FORMACIÓN PROFESIONAL DE LOS TRABAJADORES DEL TERRITORIO COLOMBIANO Y SE DICTAN OTRAS DISPOSICIONES","HS. NADIA BLEL SCAAF","2017-07-26","SEPTIMA","ARCHIVADO"
"026/17",,"POR MEDIO DE LA CUAL SE ESTABLECEN DISPOSICIONES PARA GARANTIZAR EL DERECHO DE LAS PERSONAS A DESARROLLARSE FÍSICA E INTELECTUALMENTE EN UN AMBIENTE LIBRE DE PLOMO, SE FIJAN LÍMITES PARA EL CONTENIDO DE PLOMO EN PRODUCTOS COMERCIALIZADOS EN EL PAÍS Y SE DICTAN OTRAS DISPOSICIONES","HS. NADIA BLEL SCAFF, JORGE PRIETO, SANDRA VILLADIEGO, ANTONIO NAVARRO, LIDIO ARTURO GARCIA, DAIRA GALVIS, IVAN CEPEDA, JORGE IVAN OSPINA, LUIS FERNANDO VELASCO, LUIS EVELIS ANDRADE, MARCO ANIBAL AVIRAMA, HR, OSCAR OSPINA, INTI RAUL ASPRILLA, RAFAEL ROMERO PIÑERES.","2017-07-26","SEPTIMA","ARCHIVADO"
"027/17",,"POR MEDIO DE CUAL SE ESTABLECEN MEDIDAS PARA CONTRARRESTAR LA DESERCIÓN ESCOLAR Y SE DICTAN OTRAS DISPOSICIONES","HS. NADIA BLEL SCAAF","2017-07-26","SEPTIMA","ARCHIVADO"
"028/17",,"POR MEDIO DEL CUAL SE CREAN PARQUES INFANTILES DE INTEGRACION EN EL TERRITORIO NACIONAL Y SE DICTAN OTRAS DISPOSICIONES","HS. NADIA BLEL SCAAF","2017-07-20","SEPTIMA","ARCHIVADO"
"029/17",,"POR MEDIO DE LA CUAL SE DEROGA EL DECRETO LEY 898 DE 2017","HS, JAIME AMIN HERNANDEZ, ALFREDO RANGEL, DANIEL CABRALES, PALOMA VALENCIA, CARLOS FELIPE MEJIA.","2017-07-26","PRIMERA","ARCHIVADO"
"030/17",,"POR MEDIO DEL CUAL SE MODIFICA EL DECRETO LEY 888 DE 2017","HS. JAIME AMIN HERNANDEZ, ALFREDO RANGEL, PALOMA VALENCIA, CARLOS FELIPE MEJIA.","2017-07-26","PRIMERA","ARCHIVADO"
"031/17",,"POR MEDIO DE LA CUAL SE DEROGA EL DECRETO LEY 902 DE 2017","HS. HS. JAIME AMIN HERNANDEZ, ALFREDO RANGEL, DANIEL CABRALES, PALOMA VALENCIA, CARLOS FELIPE MEJIA.","2017-07-20","QUINTA","ARCHIVADO"
"032/17",,"POR MEDIO DEL CUAL SE MODIFICA EL DECRETO 903 DEL 29 DE MAYO DE 2017 Y SE DICTAN OTRAS DISPOSICIONES","HS.HS. JAIME AMIN HERNANDEZ, ALFREDO RANGEL, DANIEL CABRALES, PALOMA VALENCIA, CARLOS FELIPE MEJIA.","2017-07-20","PRIMERA","ARCHIVADO"
"033/17",,"POR MEDIO DE LA CUAL SE ADICIONA UN PARÁGRAFO AL ARTÍCULO 12 DE LA LEY 1537 DE 2012 Y SE DESTINA UN 10% DEL TOTAL DE UNIDADES DE VIVIENDA CONSTRUIDAS EN CADA PROYECTO DE INTERÉS PRIORITARIO PARA LA POBLACIÓN EN CONDICIÓN DE DISCAPACIDAD.","HS. NOHORA TOVAR REY","2017-07-20","SEPTIMA","ARCHIVADO POR RETIRO DEL AUTOR"
"034/17",,"POR MEDIO DEL CUAL SE FORTALECE EL EJERCICIO FUNCIONAL DE LAS PERSONERÍAS MUNICIPALES","HS. ROY BARRERAS MONTEALEGRE","2017-07-26","PRIMERA","ARCHIVADO"
"035/17",,"POR LA CUAL SE MODIFICA Y ADICIONA LA LEY 5ª DE 1992, SE CREA LA COMISIÓN LEGAL DEL CONGRESO DE LA REPÚBLICA PARA LA DEFENSA, PROTECCIÓN Y PROMOCIÓN DE LOS DERECHOS DE LOS PUEBLOS INDÍGENAS Y SE DICTAN OTRAS DISPOSICIONES","HS. MARCO ANIBAL AVIRAMA AVIRAMA, LUIS EVELIS ANDRADE CASAMA, HR, GERMAN CARLOSAMA.","2017-07-26","PRIMERA","ARCHIVADO"
"036/17","249/18","POR MEDIO DE LA CUAL LA NACIÓN RINDE HONORES A LA MEMORIA DEL LÍDER INDÍGENA MANUEL QUINTÍN LAME CHANTRE AL CUMPLIRSE 50 AÑOS DE SU FALLECIMIENTO Y SE DICTAN OTRAS DISPOSICIONES","HS. MARCO ANIBAL AVIRAMA AVIRAMA","2017-07-26","SEGUNDA","ARCHIVADO"
"037/17",,"POR MEDIO DEL CUAL SE PROMUEVE, SE FOMENTA, SE REGULA, SE ORIENTA Y SE CONTROLA EL APROVECHAMIENTO TURÍSTICO DE LOS BALNEARIOS TERMALES Y EL USO DE AGUAS TERMALES","HS. MARCO ANIBAL AVIRAMA AVIRAMA","2017-07-26","SEXTA","ARCHIVADO"
"038/17",,"POR LA CUAL SE ESTABLECEN LOS LINEAMIENTOS PARA LA FORMULACIÓN DE LA POLÍTICA PÚBLICA SOCIAL QUE PROTEGE EL EJERCICIO DE LOS DERECHOS DE LAS PERSONAS EN SITUACIÓN DE DISCAPACIDAD","HS, LUIS FERNANDO DUQUE GARCIA, JUAN CARLOS RESTREPO, GERMAN DARIO HOYOS IVAN NAME VASQUEZ, HR,  MAURICIO GOMEZ AMÍN, OSCAR DARIO PEREZ, CARLOS EDWARD OSORIO","2017-07-26","PRIMERA","ARCHIVADO"
"039/17",,"POR LA CUAL SE ESTABLECE LA GRATUIDAD EN LA EDUCACIÓN SUPERIOR PÚBLICA Y SE DICTAN OTRAS DISPOSICIONES","HS. LUIS FERNANDO DUQUE GARCIA","2017-07-26","SEXTA","ARCHIVADO"
"040/17",,"POR MEDIO DE LA CUAL SE ESTABLECE LA JORNADA NACIONAL DE CONCILIACIÓN EXTRAJUDICIAL, Y SE DICTAN OTRAS DISPOSICIONES","HS. LUIS FERNANDO DUQUE GARCIA","2017-07-26","PRIMERA","ARCHIVADO"
"041/17",,"POR MEDIO DE LA CUAL SE ESTABLECEN MEDIDAS PARA LA ADAPTACIÓN Y MITIGACIÓN DEL CAMBIO CLIMÁTICO, Y SE ESTABLECEN OTRAS DISPOSICIONES","HS. LUIS FERNANDO DUQUE GARCIA","2017-07-26","QUINTA","ARCHIVADO"
"042/17","168/18","POR MEDIO DE LA CUAL LA NACIÓN SE ASOCIA A LA CONMEMORACIÓN DE LOS 400 AÑOS DE LA FUNDACIÓN DEL MUNICIPIO DE SABANALARGA, EN EL DEPARTAMENTO DE ANTIOQUIA Y SE DICTAN OTRAS DISPOSICIONES","HS: LUIS FERNANDO DUQUE GARCIA","2017-07-26","SEGUNDA","ARCHIVADO"
"043/17",,"POR MEDIO DE LA CUAL LA NACIÓN SE VINCULA A LA CONMEMORACIÓN Y RINDE PÚBLICO HOMENAJE AL MUNICIPIO DE RIOSUCIO, DEPARTAMENTO DE CALDAS, CON MOTIVO DE LOS 200 AÑOS DE SU FUNDACIÓN","HS. LUIS F ERNANDO DUQUE GARCÍA","2017-07-26","SEGUNDA","ARCHIVADO"
"044/17",,"POR MEDIO DE LA CUAL LA NACIÓN SE VINCULA A LA CONMEMORACIÓN Y RINDE PÚBLICO HOMENAJE AL MUNICIPIO DE BURITICÁ, DEPARTAMENTO DE ANTIOQUIA, CON MOTIVO DE LOS 400 AÑOS DE SU FUNDACIÓN","hs. LUIS FERNANDO DUQUE GARCIA","2017-07-26","SEGUNDA","ARCHIVADO"
"045/17","075/17","POR MEDIO DEL CUAL SE CREA EL “FONDO PARA EL DESARROLLO INTEGRAL DEL DISTRITO ESPECIAL DE BUENAVENTURA” Y SE ADOPTAN MEDIDAS PARA PROMOVER EL DESARROLLO INTEGRAL DEL DISTRITO ESPECIAL, INDUSTRIAL, PORTUARIO, BIODIVERSO Y ECOTURÍSTICO DE BUENAVENTURA ""MENSAJE DE URGENCIA""","Ministro del Interior, DR. GUILLERMO RIVERA FLÓREZ","2017-07-26","TERCERA","LEY"
"046/17",,"POR MEDIO DEL CUAL SE INTRODUCE LA PUBLICIDAD ABUSIVA AL ESTATUTO DEL CONSUMIDOR Y SE MODIFICAN ALGUNAS DISPOSICIONES DE LA LEY 1480 DE 2011","HS, SANDRA VILLADIEGO, JORGE ELIECER PRIETO, LUIS EVELIS ANDRADE, JORGE IVAN OSPINA, MARCO ANIBAL AVIRAMA, NADIA BLEL SCAFF, CLAUDIA LOPEZ, Y HR, VICTOR JAVIER CORREA, RAFAEL ROMERO, ANGELICA LOZANO, OSCAR OSPINA, ANA CRISTINAP, MAURICIO SALAZAR.","2017-07-26","TERCERA","ARCHIVADO"
"047/17","005/17 Acum 016/17S, 052/17 S, 114/17 C, 100/17 C","POR MEDIO DE LA CUAL SE ADICIONA EL ARTÍCULO 397A Y SE MODIFICAN LOS ARTÍCULOS 399A, 400ª Y 415 DE LEY 599 DE 2000 Y LOS ARTÍCULOS 202 Y 205 DE LA LEY 906 DE 2004","HS, ÁLVARO URIBE VÉLEZ, HONORIO MIGUEL HENRÍQUEZ PINEDO, EVERTH BUSTAMANTE GARCÍA","2017-07-26","PRIMERA","ARCHIVADO"
"048/17",,"POR MEDIO DE LA CUAL SE DICTAN NORMAS PARA IMPLEMENTAR E INCENTIVAR SISTEMAS DE RECOLECCIÓN, TRATAMIENTO Y APROVECHAMIENTO DE AGUAS LLUVIAS Y DE CAPTACIÓN DE ENERGÍA SOLAR Y SE DICTAN OTRAS DISPOSICIONES","H.S. MARITZA MARTÍNEZ ARISTIZÁBAL, CLAUDIA LÓPEZ HERNÁNDEZ, H.R. ANGÉLICA LOZANO CORREA.","2017-07-26","QUINTA","ARCHIVADO"
"049/17",,"POR MEDIO DE LA CUAL SE MODIFICA EL DECRETO LEY NO. 890 DE 2017 PARA DAR PREVALENCIA A LAS VÍCTIMAS FRENTE A LOS DESMOVILIZADOS DE LS FARC EN SUBSIDIOS DE VIVIENDA E INTERESES DE CRÉDITO","HS JAIME AMIN HERNANDEZ, RIGOBERTO NEIRA BARON, FERNANDO ARAUJO, PALOMA VALENCIA LASERNA, HR, PIERRE GARCIA","2017-07-26","SEPTIMA","ARCHIVADO"
"050/17","213/18","POR MEDIO DE LA CUAL SE MODIFICA EL ARTÍCULO 116, EL NUMERAL 2 DEL ARTÍCULO 140, SE DEROGA EL ARTÍCULO 117 DEL CÓDIGO CIVIL Y SE DICTAN OTRAS DISPOSICIONES","H.S. HONORIO MIGUEL HENRÍQUEZ PINEDO","2017-07-26","PRIMERA","ARCHIVADO"
"051/17",,"POR MEDIO DE LA CUAL SE PROTEGE EL DERECHO A LA SALUD DEL MENOR","H.S. RODRIGO VILLALBA MOSQUERA; H.R. FLORA PERDOMO ANDRADE","2017-07-26","SEPTIMA","ARCHIVADO"
"052/17","005/17 Acum 016/17S, 047/17S, 114/17 C, 100/17 C","POR MEDIO DE LA CUAL SE ESTABLECEN MEDIDAS PARA COMBATIR LA CORRUPCIÓN CON LOS RECURSOS PÚBLICOS DESTINADOS A LA FINANCIACIÓN DEL SISTEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD Y SE DICTAN OTRAS DISPOSICIONES","HS. FERNANDO NICOLÁS ARAÚJO RUMIÉ, HR. SAMUEL ALEJANDRO HOYOS MEJÍA, Fiscal General de la Nacion Dr Nesto Humberto Martinez Neira, H.S Maria del Rosario Guerra, Alvaro Uribe Velez, Honorio Miguel Henriquez Pineda, Ever Bustamante Garcia, Nicolas Araujo Rumie, H.R Samuel Alejandor Hoyos, Eduar David Rodriguez Rodrigues, Ministro de Justica D.R Enriquez Gil botero","2017-07-31","PRIMERA","ARCHIVADO"
"053/17",,"POR MEDIO DEL CUAL SE ADOPTA EL REGLAMENTO NACIONAL DEL COLEO Y SE DICTAN OTRAS DISPOSICIONES","HS, MARITZA MARTÍNEZ ARISTIZÁBAL","2017-07-31","SEPTIMA","ARCHIVADO POR RETIRO DEL AUTOR"
"054/17",,"POR MEDIO DEL CUAL SE OTORGA LA CATEGORÍA DE DISTRITO PETROQUÍMICO, PORTUARIO Y TURÍSTICO AL MUNICIPIO DE BARRANCABERMEJA SANTANDER","HS, JUAN MANUEL GALÁN, JORGE ENRIQUE ROBLEDO","2017-07-31","PRIMERA","ARCHIVADO"
"055/17",,"POR MEDIO DE LA CUAL SE APRUEBA EL «PROTOCOLO ADICIONAL DEL ACUERDO COMERCIAL ENTRE LA UNIÓN EUROPEA Y SUS ESTADOS MIEMBROS POR UNA PARTE, Y COLOMBIA Y EL PERÚ, POR OTRA, PARA TENER EN CUENTA LA ADHESIÓN DE LA REPÚBLICA DE CROACIA A LA UNIÓN EUROPEA», SUSCRITO EN BRUSELAS, BÉLGICA, EL 30 DE JUNIO DE 2015","Ministra de Relaciones Exteriores, MARÍA ÁNGELA HOLGUÍN CUÉLLAR, Ministra de Comercio, Industria y Turismo, MARÍA CLAUDIA LACOUTURE P.","2017-07-31","SEGUNDA","ARCHIVADO"
"056/17","051/17","POR LA CUAL SE DECRETA EL PRESUPUESTO DE RENTAS RECURSOS DE CAPITAL Y LEY DE APROPIACIONES PARA LA VIGENCIA FISCAL DEL 1o. DE ENERO AL 31 DE DICIEMBRE DE 2018. “AJUSTE EXITOSO, REPUNTE EN MARCHA”","El Ministro de Hacienda y Crédito Público, MAURICIO CÁRDENAS SANTAMARIA","2017-07-28","ECONOMICAS","LEY"
"057/17","211/18","POR LA CUAL SE AUTORIZA A LA NACIÓN - MINISTERIO DE HACIENDA Y CRÉDITO PÚBLICO- CAPITALIZAR AL SERVICIO AÉREO A TERRITORIOS NACIONALES S.A. – SATENA","EL MINISTRO DE HACIENDA Y CRÉDITO PÚBLICO, MAURICIO CÁRDENAS SANTAMARÍA, El MINISTRO DE DEFENSA NACIONAL, LUIS CARLOS VILLEGAS ECHEVERRI","2017-08-01","CUARTA","LEY"
"058/17","230/18","POR MEDIO DE LA CUAL SE APRUEBA EL «CONVENIO SOBRE LA CIBERDELINCUENCIA», ADOPTADO EL 23 DE NOVIEMBRE DE 2001, EN BUDAPEST","Ministra de Relaciones Exteriores, MARÍA ÁNGELA HOLGUÍN CUÉLLAR, Ministro de Defensa Nacional, LUIS CARLOS VILLEGAS ECHEVERRI, Ministro de Justicia y del Derecho, ENRIQUE GIL BOTERO, Ministro de Tecnologías de la Información y las Comunicaciones, DAVID LUNA","2017-08-01","SEGUNDA","LEY"
"059/17",,"POR MEDIO DE LA CUAL SE OTORGAN INCENTIVOS A LA AGROINDUSTRIA PANELERA Y SE DICTAN OTRAS DISPOSICIONES","H.S. ERNESTO MACÍAS TOVAR","2017-08-01","QUINTA","ARCHIVADO"
"060/17",,"POR LA CUAL SE ESTABLECE LA CATEGORIA DE HOSPITAL PUBLICO UNIVERSITARIO, SE FIJA UNA FUENTE ESPECIAL DE FINANCIACIÓN Y SE DICTAN OTRAS DISPOSICIONES","HS SANDRA VILLADIEGO V.","2017-08-01","SEPTIMA","ARCHIVADO"
"061/17","302/18","POR EL CUAL SE PROHIBE EL USO DE ASBESTO EN EL TERRITORIO NACIONAL Y SE ESTABLECEN GARANTIAS DE PROTECCION A LA SALUD DE LOS COLOMBIANOS FRENTE A SUSTANCIAS NOCIVAS.","HH.SS. NADIA BLEL SCAFF, JORGE IVAN OSPINA, LIBIO GARCIA, NIDIA M OSORIO, MYRIAM PAREDES, YAMINA PESTANA, NOHORA GARCIA BURGOS, LUIS FERNANDO VELASCO, ANDRES GARCIA ZUCCARDI, EFRAIN CEPEDA, SANDRA VILLADIEGO, HR, ALIRIO URIBE M, OSCAR OSPINA, ANGELICA LOZANO.","2017-08-02","SEPTIMA","LEY"
"062/17",,"POR MEDIO DEL CUAL SE ENDURECEN LAS SANCIONES PARA LA INASISTENCIA DE LOS CONGRESISTAS Y  FUNCIONARIOS","H.S. ALFREDO RAMOS MAYA","2017-08-02","PRIMERA","ARCHIVADO"
"063/17",,"POR MEDIO DE LA CUAL SE DECLARA PATRIMONIO HISTÓRICO Y CULTURAL DE LA NACIÓN, AL MUNICIPIO DE FLANDES DEL DEPARTAMENTO DE TOLIMA, POR SER LA CUNA DE LA AVIACIÓN MILITAR DE COLOMBIA","H.R. CARLOS EDWARD OSORIO AGUIAR","2017-08-02","SEGUNDA","ARCHIVADO"
"064/17",,"POR EL CUAL SE RECONOCE EL DERECHO FUNDAMENTAL A LA IDENTIDAD ÉTNICA DE LAS COMUNIDADES NEGRAS O POBLACIÓN AFROCOLOMBIANA, SE ADOPTAN POLÍTICAS PARA LA EQUIDAD E INCLUSIÓN SOCIAL DE ESTE GRUPO ÉTNICO, LA IGUALDAD DE OPORTUNIDADES Y SE DICTAN OTRAS DISPOSICIONES","HH.SS. EDINSON DELGADO RUIZ, LUIS EVELIS ANDRADE CASAMA ; HH.RR. GUILLERMINA BRAVO MONTAÑO, CARLOS ALBERTO CUERO V., CARLOS EDUARDO GUEVARA V., ANA PAOLA AGUDELO GARCIA, JOSÉ BERNARDO FLÓREZ ASPRILLA, NILTON CORDOBA MANYOMA, CARLOS JULIO BONILLA SOTO, ELBERT DÍAZ LOZANO, HERNÁN SINISTERRA VALENCIA, JULIO EUGENIO GALLARDO A, NEFTALÍ CORREA DÍAZ, SILVIO JOSÉ CARRASQUILLA T., WILSON CORDOBA MENA.","2017-08-02","PRIMERA","ARCHIVADO"
"065/17",,"POR MEDIO DE LA CUAL SE MODIFICA LA LEY 1675 DE 2013 ""GALEON""","H.S. JAIME AMÍN HERNÁNDEZ","2017-08-02","SEXTA","ARCHIVADO"
"066/17","208/18","POR EL CUAL SE REFORMA EL ARTÍCULO 60 DEL DECRETO LEY 1799 DE 2000","H.S. THANIA VEGA DE PLAZAS","2017-08-02","SEGUNDA","ARCHIVADO"
