"f","departamento","municipio","n_convocatoria","estado","g_nero_benef","cant_estudiantes_en_el_hogar","zona","zona_geografica","barrio","estrato_socieconomico","velocidad","medio_de_tramisi_n"
"15","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"16","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"17","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"18","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"19","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"20","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"21","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Brisas del Llano","1","10 Mb","Fibra Optica"
"22","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","El Mirador","1","10 Mb","Fibra Optica"
"23","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","El Mirador","1","10 Mb","Fibra Optica"
"24","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","El Mirador","1","10 Mb","Fibra Optica"
"25","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","El Mirador","1","10 Mb","Fibra Optica"
"26","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","El Mirador","1","10 Mb","Fibra Optica"
"27","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","El Mirador","1","10 Mb","Fibra Optica"
"28","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","El Mirador","1","10 Mb","Fibra Optica"
"29","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","El Mirador","1","10 Mb","Fibra Optica"
"30","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","El Mirador","1","10 Mb","Fibra Optica"
"31","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","El Mirador","1","10 Mb","Fibra Optica"
"32","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","El Mirador","1","10 Mb","Fibra Optica"
"33","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","El Sol","1","10 Mb","Fibra Optica"
"34","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","El Triunfo","1","10 Mb","Fibra Optica"
"35","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","El Triunfo","1","10 Mb","Fibra Optica"
"36","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","El Triunfo","1","10 Mb","Fibra Optica"
"37","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","El Triunfo","1","10 Mb","Fibra Optica"
"38","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","El Triunfo","1","10 Mb","Fibra Optica"
"39","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","La Esperanza","1","10 Mb","Fibra Optica"
"40","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","La Esperanza","1","10 Mb","Fibra Optica"
"41","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","La Esperanza","1","10 Mb","Fibra Optica"
"42","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","La Esperanza","1","10 Mb","Fibra Optica"
"43","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"44","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"45","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"46","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"47","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"48","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"49","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"50","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"51","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"52","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"53","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"54","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"55","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"56","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"57","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"58","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"59","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"60","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"61","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"62","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"63","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"64","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"65","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"66","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"67","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"68","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"69","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"70","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"71","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"72","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"73","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"74","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"75","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"76","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"77","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"78","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"79","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"80","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"81","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"82","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"83","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"84","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"85","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"86","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"87","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"88","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"89","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"90","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"91","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"92","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"93","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"94","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"95","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"96","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"97","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"98","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"99","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"100","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"101","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"102","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"103","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Los Naranjos","2","10 Mb","Fibra Optica"
"104","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Los Naranjos","2","10 Mb","Fibra Optica"
"105","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Los Naranjos","2","10 Mb","Fibra Optica"
"106","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Los Naranjos","2","10 Mb","Fibra Optica"
"107","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Los Naranjos","2","10 Mb","Fibra Optica"
"108","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Los Naranjos","2","10 Mb","Fibra Optica"
"109","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Los Naranjos","2","10 Mb","Fibra Optica"
"110","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Los Naranjos","2","10 Mb","Fibra Optica"
"111","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Los Naranjos","2","10 Mb","Fibra Optica"
"112","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"113","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"114","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"115","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"116","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Montebello 2","2","10 Mb","Fibra Optica"
"117","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Montebello 2","2","10 Mb","Fibra Optica"
"118","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Montebello 2","2","10 Mb","Fibra Optica"
"119","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Montebello 2","2","10 Mb","Fibra Optica"
"120","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Montebello 2","2","10 Mb","Fibra Optica"
"121","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Montebello 2","2","10 Mb","Fibra Optica"
"122","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Montebello 2","2","10 Mb","Fibra Optica"
"123","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Montebello 2","2","10 Mb","Fibra Optica"
"124","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Montebello 2","2","10 Mb","Fibra Optica"
"125","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"126","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"127","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"128","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"129","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"130","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"131","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"132","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"133","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"134","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"135","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"136","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"137","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"138","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"139","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"140","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"141","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"142","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"143","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"144","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"145","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"146","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"147","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"148","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"149","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"150","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"151","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"152","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"153","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"154","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"155","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"156","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"157","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"158","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"159","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"160","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"161","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"162","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"163","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"164","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"165","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"166","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"167","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"168","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"169","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"170","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"171","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"172","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"173","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Valles del Mirador","1","10 Mb","Fibra Optica"
"174","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villa Betania","2","10 Mb","Fibra Optica"
"175","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villa Mayerly","2","10 Mb","Fibra Optica"
"176","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Villa Mayerly","2","10 Mb","Fibra Optica"
"177","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villa Nicol","2","10 Mb","Fibra Optica"
"178","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villa Nicol","2","10 Mb","Fibra Optica"
"179","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villa Sonia","2","10 Mb","Fibra Optica"
"180","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villa Sonia","2","10 Mb","Fibra Optica"
"181","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villa Sonia","2","10 Mb","Fibra Optica"
"182","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Villa Sonia","2","10 Mb","Fibra Optica"
"183","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villa Sonia","2","10 Mb","Fibra Optica"
"184","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"185","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"186","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"187","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"188","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"189","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"190","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"191","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"192","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"193","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"194","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"195","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"196","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"197","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"198","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"199","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"200","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"201","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"202","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"203","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"204","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"205","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"206","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"207","Norte de Santander","Los Patios","1","Beneficiario","Masculino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
"208","Norte de Santander","Los Patios","1","Beneficiario","Femenino","1","Urbana","Sur","Villas de San Diego","1","10 Mb","Fibra Optica"
