"bancarizado","codigodepartamentoatencion","codigomunicipioatencion","discapacidad","estadobeneficiario","etnia","fechainscripcionbeneficiario","genero","nivelescolaridad","nombredepartamentoatencion","nombremunicipioatencion","pais","tipoasignacionbeneficio","tipobeneficio","tipodocumento","tipopoblacion","rangobeneficioconsolidadoasignado","rangoultimobeneficioasignado","fechaultimobeneficioasignado","rangoedad","titular","cantidaddebeneficiarios"
"SI","70","70708","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","SAN MARCOS","ND","MONETARIO","ND","CC","UNIDOS","> 6.000.001","0 - 1.300.000","2018-01-01",">65","SI","1"
"SI","70","70708","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","SAN MARCOS","ND","MONETARIO","ND","CC","UNIDOS","> 6.000.001","0 - 1.300.000","2018-01-01",">65","SI","1"
"SI","70","70713","NO","ACTIVO","AFROCOLOMBIANO – NEGRO","2013-01-01","Mujer","ND","SUCRE","SAN ONOFRE","ND","MONETARIO","ND","CC","DESPLAZADOS","3.000.001 - 4.500.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70708","NO","NO ACTIVO","ND","2013-01-01","Hombre","ND","SUCRE","SAN MARCOS","ND","MONETARIO","ND","CC","UNIDOS","3.000.001 - 4.500.000","0 - 1.300.000","2018-01-01",">65","NO","1"
"SI","70","70508","NO","ACTIVO","ND","2014-05-01","Hombre","ND","SUCRE","OVEJAS","ND","MONETARIO","ND","CC","DESPLAZADOS","3.000.001 - 4.500.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"ND","70","70230","ND","ACTIVO","AFROCOLOMBIANO – NEGRO","2014-07-01","Hombre","ND","SUCRE","CHALAN","Colombia","ND","NUTRICIÓN MENOR","RC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"ND","70","70713","ND","ACTIVO","AFROCOLOMBIANO – NEGRO","2013-01-01","Mujer","ND","SUCRE","SAN ONOFRE","Colombia","ND","EDUCACIÓN SECUNDARIA","CC","UNIDOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","18-29","NO","1"
"NO","70","70713","NO","ACTIVO","ND","2016-08-01","Mujer","SECUNDARIA","SUCRE","SAN ONOFRE","ND","ND","EDUCACIÓN SECUNDARIA","TI","SISBEN","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","2"
"NO","70","70708","NO","ACTIVO","ND","2013-10-01","Hombre","ND","SUCRE","SAN MARCOS","ND","ND","ND","RC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","2"
"NO","70","70001","NO","ACTIVO","ND","2018-06-01","Hombre","ND","SUCRE","SINCELEJO","ND","ND","ND","RC","UNIDOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","00-05","NO","1"
"ND","70","70713","ND","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","SAN ONOFRE","Colombia","ND","EDUCACIÓN PRIMARIA","TI","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","3"
"NO","70","70702","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","SAN JUAN DE BETULIA","ND","MONETARIO","ND","CC","DESPLAZADOS","3.000.001 - 4.500.000","0 - 1.300.000","2016-01-01","30-49","NO","1"
"NO","70","70508","NO","ACTIVO","ND","2015-02-01","Hombre","PRIMARIA","SUCRE","OVEJAS","ND","ND","EDUCACIÓN PRIMARIA","TI","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"NO","70","70001","NO","NO ACTIVO","INDIGENA","2012-11-01","Hombre","ND","SUCRE","SINCELEJO","ND","MONETARIO","ND","CC","UNIDOS","1.500.001 - 3.000.000","0 - 1.300.000","2017-01-01","30-49","SI","1"
"NO","70","70001","NO","ACTIVO","INDIGENA","2018-04-01","Hombre","PRIMARIA","SUCRE","SINCELEJO","ND","ND","EDUCACIÓN PRIMARIA","RC","INDIGENAS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"NO","70","70001","NO","ACTIVO","ND","2012-11-01","Mujer","ND","SUCRE","SINCELEJO","ND","MONETARIO","ND","CC","DESPLAZADOS","3.000.001 - 4.500.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70124","NO","ACTIVO","ROM O GITANO","2012-12-01","Hombre","ND","SUCRE","CAIMITO","ND","MONETARIO","ND","CC","UNIDOS","0 - 1.500.000","0 - 1.300.000","2018-01-01",">65","SI","1"
"NO","70","70001","NO","ACTIVO","ND","2017-03-01","Mujer","TRANSICION","SUCRE","SINCELEJO","ND","ND","TRANSICIÓNNUTRICIÓN MENOR","RC","UNIDOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
"NO","70","70523","NO","NO ACTIVO","INDIGENA","2013-02-01","Mujer","ND","SUCRE","PALMITO","ND","ND","ND","CC","INDIGENAS","0 - 1.500.000","0 - 1.300.000","1900-01-01","18-29","NO","31"
"NO","70","70713","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","SAN ONOFRE","ND","ND","ND","RC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","29"
"SI","70","70110","NO","NO ACTIVO","ND","2012-11-01","Mujer","ND","SUCRE","BUENAVISTA","ND","MONETARIO","ND","CC","UNIDOS","3.000.001 - 4.500.000","0 - 1.300.000","2017-01-01","50-65","SI","1"
"ND","70","70215","ND","ACTIVO","ND","2012-10-01","Mujer","ND","SUCRE","COROZAL","Colombia","MONETARIO","ND","CC","DESPLAZADOS","1.500.001 - 3.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"ND","70","70001","ND","ACTIVO","ND","2012-10-01","Mujer","ND","SUCRE","SINCELEJO","Colombia","ND","EDUCACIÓN PRIMARIA","RC","UNIDOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","2"
"SI","70","70523","NO","ACTIVO","INDIGENA","2013-12-01","Mujer","ND","SUCRE","PALMITO","ND","MONETARIO","ND","CC","DESPLAZADOS","3.000.001 - 4.500.000","0 - 1.300.000","2018-01-01","50-65","SI","1"
"SI","70","70823","NO","ACTIVO","INDIGENA","2012-10-01","Mujer","ND","SUCRE","TOLU VIEJO","ND","MONETARIO","ND","CC","INDIGENAS","1.500.001 - 3.000.000","0 - 1.300.000","2018-01-01",">65","SI","1"
"SI","70","70110","NO","ACTIVO","ND","2014-05-01","Mujer","ND","SUCRE","BUENAVISTA","ND","MONETARIO","ND","CC","UNIDOS","1.500.001 - 3.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"ND","70","70523","ND","ACTIVO","INDIGENA","2013-02-01","Mujer","ND","SUCRE","PALMITO","Colombia","ND","EDUCACIÓN PRIMARIA","TI","INDIGENAS","0 - 1.500.000","0 - 1.300.000","1900-01-01","06-17","NO","1"
,"70","70215","ND","ACTIVO","ND","2017-03-01","Mujer","ND","SUCRE","COROZAL","COLOMBIA","MONETARIO","ND","CC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70221","NO","ACTIVO","ND","2014-02-01","Hombre","ND","SUCRE","COVEÑAS","ND","MONETARIO","ND","CC","SISBEN","1.500.001 - 3.000.000","0 - 1.300.000","2018-01-01","50-65","SI","1"
"SI","70","70124","NO","NO ACTIVO","ND","2012-12-01","Hombre","ND","SUCRE","CAIMITO","ND","MONETARIO","ND","CC","SISBEN","0 - 1.500.000","0 - 1.300.000","2018-01-01",">65","SI","1"
"SI","70","70820","NO","ACTIVO","AFROCOLOMBIANO – NEGRO","2012-11-01","Hombre","ND","SUCRE","SANTIAGO DE TOLU","ND","MONETARIO","ND","CC","UNIDOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","50-65","SI","1"
"ND","70","70823","ND","ACTIVO","INDIGENA","2016-06-01","Mujer","ND","SUCRE","TOLU VIEJO","Colombia","MONETARIO","NUTRICIÓN","CC","DESPLAZADOS","1.500.001 - 3.000.000","0 - 1.300.000","2018-01-01","18-29","SI","1"
"NO","70","70713","NO","ACTIVO","ND","2013-01-01","Mujer","SECUNDARIA","SUCRE","SAN ONOFRE","ND","ND","EDUCACIÓN SECUNDARIA","TI","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","18-29","NO","213"
"NO","70","70713","NO","NO ACTIVO","ND","2017-03-01","Hombre","ND","SUCRE","SAN ONOFRE","ND","ND","ND","CC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000","1900-01-01","18-29","NO","1"
"SI","70","70708","NO","NO ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","SAN MARCOS","Colombia","MONETARIO","ND","CC","ND","1.500.001 - 3.000.000","0 - 1.300.000","2014-01-01","30-49","SI","2"
"NO","70","70001","NO","NO ACTIVO","ND","2012-10-01","Hombre","ND","SUCRE","SINCELEJO","ND","MONETARIO","NUTRICIÓN","CC","ND","0 - 1.500.000","0 - 1.300.000","2014-01-01","50-65","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
"SI","70","70418","NO","ACTIVO","ND","2013-01-01","Mujer","ND","SUCRE","LOS PALMITOS","ND","MONETARIO","ND","CC","DESPLAZADOS","4.500.001 - 6.000.000","0 - 1.300.000","2018-01-01","30-49","SI","1"
