"cantidaddebeneficiarios","cantidadbeneficioconsolidado","cantidadultimobeneficio","codigodepartamentoatencion","codigomunicipioatencion","condicionsexual","discapacidad","estadobeneficiario","estadocivil","etnia","fechainscripcionbeneficiario","fechaultimobeneficioasignado","genero","nivelescolaridad","nombredepartamentoatencion","nombremunicipioatencion","pais","parentesco","rangoedad","tipoasignacionbeneficio","tipobeneficio","tipodocumento","tipopoblacion","rangovalorbeneficioconsolidadoasignado","rangovalorultimobeneficioasignado"
"4","5","1","27","27245","ND","NO","ACTIVO","Sin Información","AFROCOLOMBIANO – NEGRO","2016-04-01","2016-01-01","Mujer","ND","CHOCO","EL CARMEN DE ATRATO","ND","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","1.300.001 - 2.600.000"
"43","5","1","05","05847","ND","NO","ACTIVO","Sin Información","ND","2016-04-01","2015-01-01","Mujer","ND","ANTIOQUIA","URRAO","ND","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","1.300.001 - 2.600.000"
"2","4","1","47","47288","ND","NO","ACTIVO","Sin Información","ND","2016-04-01","2014-01-01","Hombre","ND","MAGDALENA","FUNDACION","Colombia","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","2.600.001 - 3.900.000"
"1","1","1","86","86568","ND","NO","NO ACTIVO","Sin Información","ND","2016-04-01","2015-01-01","Hombre","ND","PUTUMAYO","PUERTO ASIS","Colombia","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","0 - 1.500.000","0 - 1.300.000"
"1","4","1","20","20001","ND","ND","ACTIVO","UL","ND","2016-04-01","2014-01-01","Mujer","SIN ESPECIFICAR","CESAR","VALLEDUPAR","ND","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","4.500.001 - 6.000.000","2.600.001 - 3.900.000"
"1","4","1","66","66456","ND","NO","ACTIVO","Sin Información","INDIGENA","2016-04-01","2016-01-01","Mujer","ND","RISARALDA","MISTRATO","ND","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","4.500.001 - 6.000.000","1.300.001 - 2.600.000"
"1","4","1","70","70508","ND","ND","ACTIVO","ND","ND","2016-04-01","2014-01-01","ND","ND","SUCRE","OVEJAS","169","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","4.500.001 - 6.000.000","2.600.001 - 3.900.000"
"1","3","1","86","86569","H-HOMBRE","NO","ACTIVO","UL","ND","2018-03-01","2018-01-01","Hombre","TECNICO","PUTUMAYO","PUERTO CAICEDO","COLOMBIA","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"1","3","1","70","70678","M-MUJER","NO","NO ACTIVO","VI","ND","2016-12-01","2017-01-01","Mujer","ND","SUCRE","SAN BENITO ABAD","COLOMBIA","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"2","2","1","05","05660","ND","NO","ACTIVO","Sin Información","ND","2018-03-01","2018-01-01","Hombre","ND","ANTIOQUIA","SAN LUIS","ND","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","1.500.001 - 3.000.000","1.300.001 - 2.600.000"
"2","3","1","23","23855","H-HOMBRE","ND","ACTIVO","CA","AFROCOLOMBIANO – NEGRO","2018-03-01","2018-01-01","Hombre","SIN ESPECIFICAR","CORDOBA","VALENCIA","ND","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"1","3","1","05","05234","H-HOMBRE","NO","ACTIVO","CA","ND","2017-01-01","2017-01-01","Hombre","SIN ESPECIFICAR","ANTIOQUIA","DABEIBA","ND","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"1","5","1","27","27006","ND","ND","ACTIVO","Sin Información","ND","2016-04-01","2015-01-01","Hombre","ND","CHOCO","ACANDI","Colombia","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","1.300.001 - 2.600.000"
"2","4","1","20","20517","ND","ND","ACTIVO","Sin Información","ND","2016-04-01","2014-01-01","Hombre","SIN ESPECIFICAR","CESAR","PAILITAS","ND","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","2.600.001 - 3.900.000"
"1","3","1","05","05234","H-HOMBRE","NO","NO ACTIVO","UL","ND","2016-12-01","2017-01-01","Hombre","ND","ANTIOQUIA","DABEIBA","ND","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"1","3","1","20","20001","ND","ND","ACTIVO","Sin Información","ND","2017-02-01","2017-01-01","Hombre","PRIMARIA","CESAR","VALLEDUPAR","Colombia","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"1","4","1","05","05837","ND","NO","ACTIVO","Sin Información","AFROCOLOMBIANO – NEGRO","2016-04-01","2014-01-01","Hombre","ND","ANTIOQUIA","TURBO","ND","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","0 - 1.300.000"
"1","2","1","18","18094","M-MUJER","NO","NO ACTIVO","UL","ND","2018-04-01","2018-01-01","Mujer","PRIMARIA","CAQUETA","BELEN DE LOS ANDAQUIES","COLOMBIA","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","1.500.001 - 3.000.000","1.300.001 - 2.600.000"
"1","5","1","13","13657","H-HOMBRE","ND","ACTIVO","Sin Información","ND","2016-04-01","2016-01-01","Hombre","SIN ESPECIFICAR","BOLIVAR","SAN JUAN NEPOMUCENO","ND","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","1.300.001 - 2.600.000"
"1","5","1","73","73283","ND","NO","NO ACTIVO","CA","ND","2016-04-01","2015-01-01","Hombre","SIN ESPECIFICAR","TOLIMA","FRESNO","ND","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","1.300.001 - 2.600.000"
"1","3","1","54","54206","H-HOMBRE","NO","NO ACTIVO","DI","ND","2016-12-01","2017-01-01","Hombre","PRIMARIA","NORTE DE SANTANDER","CONVENCION","COLOMBIA","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","CC","VULNERABLE","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"2","5","1","18","18410","M-MUJER","NO","NO ACTIVO","ND","ND","2016-04-01","2016-01-01","Mujer","ND","CAQUETA","LA MONTAÑITA","COLOMBIA","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","1.300.001 - 2.600.000"
"1","4","1","05","05313","ND","ND","NO ACTIVO","ND","ND","2016-04-01","2014-01-01","ND","ND","ANTIOQUIA","GRANADA","169","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","4.500.001 - 6.000.000","2.600.001 - 3.900.000"
"3","5","1","05","05837","ND","NO","NO ACTIVO","Sin Información","ND","2016-04-01","2015-01-01","Hombre","ND","ANTIOQUIA","TURBO","Colombia","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","4.500.001 - 6.000.000","1.300.001 - 2.600.000"
"1","3","1","20","20001","ND","ND","NO ACTIVO","ND","ND","2016-12-01","2017-01-01","ND","ND","CESAR","VALLEDUPAR","169","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"3","5","1","05","05652","ND","NO","NO ACTIVO","ND","ND","2016-04-01","2015-01-01","Mujer","ND","ANTIOQUIA","SAN FRANCISCO","COLOMBIA","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","4.500.001 - 6.000.000","1.300.001 - 2.600.000"
"2","3","1","54","54670","ND","NO","ACTIVO","Sin Información","ND","2016-12-01","2017-01-01","Hombre","ND","NORTE DE SANTANDER","SAN CALIXTO","Colombia","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"5","5","1","20","20032","ND","NO","ACTIVO","Sin Información","ND","2016-04-01","2016-01-01","Mujer","ND","CESAR","ASTREA","ND","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","1.300.001 - 2.600.000"
"1","4","1","05","05667","ND","ND","ACTIVO","ND","ND","2016-04-01","2014-01-01","ND","ND","ANTIOQUIA","SAN RAFAEL","169","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","2.600.001 - 3.900.000"
"2","3","1","70","70823","H-HOMBRE","ND","ACTIVO","Sin Información","ND","2016-12-01","2017-01-01","Hombre","SIN ESPECIFICAR","SUCRE","TOLU VIEJO","ND","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"1","5","1","73","73283","ND","ND","ACTIVO","CA","ND","2016-04-01","2015-01-01","Hombre","SIN ESPECIFICAR","TOLIMA","FRESNO","ND","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","1.300.001 - 2.600.000"
"84","3","1","05","05051","ND","NO","ACTIVO","Sin Información","ND","2016-12-01","2017-01-01","Mujer","ND","ANTIOQUIA","ARBOLETES","ND","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"1","2","1","05","05154","ND","NO","ACTIVO","Sin Información","ND","2018-06-01","2018-01-01","Mujer","ND","ANTIOQUIA","CAUCASIA","ND","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","UNIDOS","1.500.001 - 3.000.000","1.300.001 - 2.600.000"
"1","3","1","54","54670","H-HOMBRE","NO","ACTIVO","UL","ND","2017-01-01","2017-01-01","Hombre","SECUNDARIA","NORTE DE SANTANDER","SAN CALIXTO","COLOMBIA","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"1","3","1","05","05649","ND","NO","ACTIVO","Sin Información","ND","2018-03-01","2018-01-01","Hombre","ND","ANTIOQUIA","SAN CARLOS","ND","ND","18-29","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"1","3","1","23","23855","ND","NO","NO ACTIVO","SO","ND","2018-03-01","2018-01-01","Hombre","SIN ESPECIFICAR","CORDOBA","VALENCIA","ND","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"1","3","1","05","05847","H-HOMBRE","NO","ACTIVO","CA","ND","2016-12-01","2017-01-01","Hombre","ND","ANTIOQUIA","URRAO","COLOMBIA","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"3","4","1","20","20001","ND","NO","NO ACTIVO","Sin Información","ND","2016-04-01","2014-01-01","Hombre","ND","CESAR","VALLEDUPAR","Colombia","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","2.600.001 - 3.900.000"
"1","5","1","17","17433","ND","ND","ACTIVO","ND","ND","2016-04-01","2015-01-01","Mujer","ND","CALDAS","MANZANARES","Colombia","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","No Definido","DESPLAZADOS","4.500.001 - 6.000.000","1.300.001 - 2.600.000"
"1","4","1","27","27615","ND","NO","NO ACTIVO","Sin Información","ND","2016-04-01","2014-01-01","Hombre","ND","CHOCO","RIOSUCIO","Colombia","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","0 - 1.300.000"
"3","5","1","05","05147","ND","ND","ACTIVO","Sin Información","ND","2016-04-01","2015-01-01","Hombre","ND","ANTIOQUIA","CAREPA","Colombia","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","4.500.001 - 6.000.000","1.300.001 - 2.600.000"
"2","3","1","86","86569","ND","ND","ACTIVO","Sin Información","ND","2018-03-01","2018-01-01","Hombre","ND","PUTUMAYO","PUERTO CAICEDO","COLOMBIA","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"8","5","1","27","27006","ND","NO","ACTIVO","Sin Información","AFROCOLOMBIANO – NEGRO","2016-04-01","2015-01-01","Hombre","SIN ESPECIFICAR","CHOCO","ACANDI","ND","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","1.300.001 - 2.600.000"
"1","3","1","05","05051","ND","ND","ACTIVO","ND","ND","2016-12-01","2017-01-01","Mujer","ND","ANTIOQUIA","ARBOLETES","Colombia","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"2","3","1","27","27073","H-HOMBRE","NO","NO ACTIVO","CA","INDIGENA","2017-04-01","2017-01-01","Hombre","PRIMARIA","CHOCO","BAGADO","COLOMBIA","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"1","4","1","47","47288","ND","ND","NO ACTIVO","ND","ND","2016-04-01","2014-01-01","ND","ND","MAGDALENA","FUNDACION","169","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","4.500.001 - 6.000.000","2.600.001 - 3.900.000"
"1","4","1","27","27615","ND","ND","NO ACTIVO","ND","ND","2016-04-01","2014-01-01","ND","ND","CHOCO","RIOSUCIO","169","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","2.600.001 - 3.900.000"
"1","1","1","11","11001","ND","NO","ACTIVO","Sin Información","ND","2016-04-01","2014-01-01","Mujer","ND","BOGOTA","BOGOTA D.C.","Colombia","ND","18-29","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","0 - 1.500.000","0 - 1.300.000"
"1","3","1","86","86568","ND","NO","ACTIVO","Sin Información","ND","2016-12-01","2017-01-01","Mujer","ND","PUTUMAYO","PUERTO ASIS","ND","ND","18-29","RURAL","MONETARIO Y EN ESPECIE","TI","DESPLAZADOS","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"1","3","1","13","13654","ND","NO","ACTIVO","Sin Información","AFROCOLOMBIANO – NEGRO","2016-12-01","2017-01-01","Hombre","ND","BOLIVAR","SAN JACINTO","ND","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"4","5","1","13","13244","H-HOMBRE","NO","ACTIVO","ND","ND","2016-04-01","2016-01-01","Hombre","ND","BOLIVAR","EL CARMEN DE BOLIVAR","COLOMBIA","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","4.500.001 - 6.000.000","1.300.001 - 2.600.000"
"1","4","1","20","20001","ND","ND","NO ACTIVO","ND","ND","2016-04-01","2014-01-01","ND","ND","CESAR","VALLEDUPAR","169","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","4.500.001 - 6.000.000","2.600.001 - 3.900.000"
"2","4","1","68","68081","ND","NO","ACTIVO","ND","ND","2016-04-01","2014-01-01","Hombre","ND","SANTANDER","BARRANCABERMEJA","COLOMBIA","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","4.500.001 - 6.000.000","2.600.001 - 3.900.000"
"1","3","1","44","44279","H-HOMBRE","ND","ACTIVO","Sin Información","ND","2016-12-01","2017-01-01","Hombre","SIN ESPECIFICAR","LA GUAJIRA","FONSECA","ND","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"1","4","1","70","70204","ND","NO","ACTIVO","Sin Información","ND","2016-04-01","2014-01-01","Mujer","ND","SUCRE","COLOSO","ND","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","0 - 1.300.000"
"3","3","1","86","86865","ND","ND","ACTIVO","Sin Información","ND","2018-02-01","2018-01-01","Hombre","ND","PUTUMAYO","VALLE DEL GUAMUEZ","Colombia","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"3","4","1","47","47288","ND","ND","ACTIVO","ND","ND","2016-04-01","2014-01-01","ND","ND","MAGDALENA","FUNDACION","169","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","4.500.001 - 6.000.000","2.600.001 - 3.900.000"
"1","2","1","05","05756","H-HOMBRE","NO","ACTIVO","DI","ND","2018-03-01","2018-01-01","Hombre","ND","ANTIOQUIA","SONSON","COLOMBIA","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","1.500.001 - 3.000.000","1.300.001 - 2.600.000"
"1","2","1","18","18094","H-HOMBRE","NO","NO ACTIVO","CA","ND","2018-03-01","2018-01-01","Hombre","PRIMARIA","CAQUETA","BELEN DE LOS ANDAQUIES","COLOMBIA","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","1.500.001 - 3.000.000","1.300.001 - 2.600.000"
"86","5","1","05","05172","ND","NO","ACTIVO","Sin Información","ND","2016-04-01","2015-01-01","Mujer","ND","ANTIOQUIA","CHIGORODO","ND","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","4.500.001 - 6.000.000","1.300.001 - 2.600.000"
"2","5","1","52","52490","ND","NO","ACTIVO","ND","ND","2016-04-01","2015-01-01","Hombre","ND","NARIÑO","OLAYA HERRERA","COLOMBIA","ND",">65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","4.500.001 - 6.000.000","1.300.001 - 2.600.000"
"1","3","1","50","50711","ND","ND","ACTIVO","Sin Información","ND","2016-12-01","2017-01-01","Hombre","PRIMARIA","META","VISTAHERMOSA","Colombia","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"1","2","1","05","05483","ND","NO","ACTIVO","Sin Información","ND","2016-04-01","2015-01-01","Mujer","ND","ANTIOQUIA","NARIÑO","ND","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"1","5","1","05","05197","ND","NO","NO ACTIVO","Sin Información","ND","2016-04-01","2015-01-01","Hombre","ND","ANTIOQUIA","COCORNA","Colombia","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","4.500.001 - 6.000.000","2.600.001 - 3.900.000"
"1","3","1","20","20032","ND","NO","ACTIVO","Sin Información","ND","2018-03-01","2018-01-01","Mujer","ND","CESAR","ASTREA","ND","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","3.000.001 - 4.500.000","1.300.001 - 2.600.000"
"3","4","1","13","13244","ND","NO","ACTIVO","Sin Información","ND","2016-04-01","2014-01-01","Hombre","SIN ESPECIFICAR","BOLIVAR","EL CARMEN DE BOLIVAR","ND","ND","30-49","RURAL","MONETARIO Y EN ESPECIE","CC","AMBAS CONDICIONES","4.500.001 - 6.000.000","0 - 1.300.000"
"1","4","1","47","47605","ND","NO","NO ACTIVO","ND","ND","2016-04-01","2014-01-01","Mujer","ND","MAGDALENA","REMOLINO","169","ND","50-65","RURAL","MONETARIO Y EN ESPECIE","CC","DESPLAZADOS","4.500.001 - 6.000.000","2.600.001 - 3.900.000"
