"c_digo_de_barras","signatura_topogr_fica","sede_donde_se_encuentra","colecci_n","tipo_de_documento","t_tulo_del_documento","url"
"000000009814","191CD","Central","Electrónica","CD","Implementación del proceso de recuperación de los recursos naturales de Cerro Bravo :","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_4600_2003.pdf"
"000000009813","192CD","Central","Electrónica","CD","Evaluación de la cacería de subsistencia y la pérdida de área de distribución potencial sobre algunas poblaciones naturales de Crax alberti (familia cracidae), en el nororiente de Antioquia /","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_4711_2003.pdf"
"000000009811","194CD","Central","Electrónica","CD","Informe final sobre el establecimiento de criterios para la protección y conservación del loro orejiamarillo (ognorhynchus icterotis) en el Suroeste de Antioquia /","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_4865_2003.pdf"
"000000009810","195CD","Central","Electrónica","CD","Efecto del tamaño de fragmento sobre la diversidad y tamaño corporal de anuros andinos en el nororiente antioqueño /","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_4036_2002.pdf"
"000000009268","234DVD","Central","Electrónica","DVD","Estudio de la ecología del loro orejiamarillo (Ognorhynchus icterotis) en Antioquia con fines de conservación :","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_3420_2001.pdf"
"000000009497","236DVD","Central","Electrónica","DVD","Plan de ordenación y manejo de la cuenca hidrográfica del río Amacerí en el municipio de El Bagre Antioquia /","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_4042_2003.pdf"
"000000009252","237DVD","Central","Electrónica","DVD","Evaluación de los fragmentos boscosos más sobresalientes en el Parque Regional Arví, con miras a detectar la posibilidad de establecer corredores biológicos y realización de un trabajo de simulación que permitan ubicarlos para instaurar en el parque como una de las estrategias de conservación de los recursos boscosos y su fauna asociada [recurso electrónico] /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_4537_2002.pdf"
"000000009808","202CD","Central","Electrónica","CD","Manejo de evaluación de la porquinaza obtenida mediante procesos de compostación, como materia prima para la formulación de abonos orgánicos :","http://www.corantioquia.gov.co/ciadoc/AGROECOLOG%C3%8DA/GC_CN_4586_2003_PORQUINAZA_COMPOST.pdf"
"000000009808","202CD","Central","Electrónica","CD","Manejo de evaluación de la porquinaza obtenida mediante procesos de compostación, como materia prima para la formulación de abonos orgánicos :","http://www.corantioquia.gov.co/ciadoc/AGROECOLOG%C3%8DA/GC_CN_4586_CARTILLA_TECNICA.pdf"
"000000009807","203CD","Central","Electrónica","CD","Plan de ordenación y manejo de la cuenca hidrográfica del Caño Barro en jurisdicción del municipio de Nechí, Antioquia :","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_5205_2003.pdf"
"000000003694","1805Reg","Central","Regiones","Libro","Proyecto de distribución de las aguas :","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_1916_1999.pdf"
,"GC00030","Central","Gestión de la Cultura","MEMORIA","Actividades para el fortalecimiento de los Consejos Comunitarios de San Nicolás de Bari (Sopetrán) y San Andrés (Girardota)","http://www.corantioquia.gov.co/ciadoc/CULTURA/AFROCOLOMBIANOS/GC_CV_731_2011.pdf"
"000000009797","215CD","Central","Electrónica","CD","Clasificación y priorización con fines de ordenación de cuencas hidrográficas en jurisdicción de la Corporación Autónoma Regional del Centro de Antioquia /","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_5051_2003.pdf"
,"AIRNR00596","Central","AIRNR","MEMORIA","Mapa potencial minero de la jurisdicción de CORANTIOQUIA /","http://www.corantioquia.gov.co/ciadoc/SUELO/AIRNR_CN_4993_2003.pdf"
"000000009774","217CD","Central","Electrónica","CD","Estudio paleoambiental en la cuenca alta de la Quebrada Piedras Blancas Parque Regional Arví Antioquia Colombia :","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_5073_2003.pdf"
"000000009773","218CD","Central","Electrónica","CD","Plan de ordenación y manejo de la cuenca hidrográfica de la quebrada la Bermejala :","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_5137_2004.pdf"
"000000009928","167CD","Central","Electrónica","CD","Análisis de la variabilidad y estructura genética de cuatro especies amenazadas de Dugandiodendron (Magnoliaceae) en la jurisdicción de CORANTIOQUIA mediante AFLP /","http://www.corantioquia.gov.co/ciadoc/FLORA/AINR_CN_4928_2003.pdf"
"000000009095","352DVD","Central","Electrónica","DVD","Plan de manejo forestal de un bosque natural de 700 héctareas en el municipio de Nechí Antioquia veredas San Pedro Alto, San Pedro Arriba, San Pedro Medio y San Pedro Abajo /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_5175_2003.pdf"
"000000009760","235CD","Central","Electrónica","CD","Estudio de las plantas vasculares sin semillas (helechos, licopodios, selaginelas y equisetos) del sistema de páramos y bosques altoandinos del Noroccidente medio antioqueño /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_3706_2002.pdf"
"000000009759","236CD","Central","Electrónica","CD","Ocupación y cambio social en territorios del Parque Regional Arví l :","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_5014_2004.pdf"
"000000009253","239DVD","Central","Electrónica","DVD","Identificación del microclúster de la guadua en las territoriales Cartama y Citará de CORANTIOQUIA /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_5077_2003.pdf"
"000000009750","247CD","Central","Electrónica","CD","Estrategia de conservación y propagación para las poblaciones de tres especies endémicas y en peligro de extinción en la jurisdicción de CORANTIOQUIA /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_5085_2003.pdf"
"000000009747","250CD","Central","Electrónica","CD","Evaluación del potencial ornamental de algunas especies nativas de un bosque de niebla en la reserva de Farallones del Citará (Antioquia, Colombia) /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_4328_2002.pdf"
,"253CD","Central","Electrónica","CD","Programa biodiversidad para el desarrollo proyecto manejo y conservación de la flora /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_4958_2003_V.1.pdf"
,"253CD","Central","Electrónica","CD","Programa biodiversidad para el desarrollo proyecto manejo y conservación de la flora /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_4958_2003_V.2.pdf"
"000000009744","254CD","Central","Electrónica","CD","Censo de industrias y empresas forestales ubicadas en los municipios de Medellín, Caldas, La Estrella, Sabaneta, Envigado, Itagüí, Bello, Girardota y Copacabana /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_4484_2002.pdf"
"000000009743","256CD","Central","Electrónica","CD","Identificación de los canales de comercialización y mercadeo de las maderas procedentes de los municipios ubicados en las regionales del Zenufaná y Panzenú y el municipio de Anorí [recurso electrónico] /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_4238_2002.pdf"
"000000009738","260CD","Central","Electrónica","CD","Exploración de relaciones simbióticas en raíces de pino romerón (Retrophyllum Rospigliosii) (Pilg.) C.N. Page (Podocarpaceae) en un fragmento de bosque andino /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_4444_2002.pdf"
"000000009256","242DVD","Central","Electrónica","DVD","Implementación de un modelo de aprovechamiento sostenible del Ponche Hidrochaeris hydrochaeris isthmius Caucasia Antioquia :","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_4318_2004.pdf"
"000000009733","268CD","Central","Electrónica","CD","Catálogo ilustrado de las especies del género Peperomia Ruíz Pavon (Piperaceae) presentes en el municipio de Yarumal - Antioquia /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_4933_2003.pdf"
"000000009730","271CD","Central","Electrónica","CD","Estudio de las plantas vasculares sin semillas (helechos, licopodios, selaginelas y equisetos) del municipio de Anorí /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_4940_2003.pdf"
"000000009729","273CD","Central","Electrónica","CD","Propagación in vitro de cinco especies de importancia ecológica y económica :","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_5038_2003.pdf"
"000000009484","274CD","Central","Electrónica","CD","Memorias subproyecto restablecimiento de la relación Emberá - tierra a través de la seguridad alimentaria en la comunidad indígena Emberá Chamí Bernardino Panchi /","http://www.corantioquia.gov.co/ciadoc/CULTURA/COMUNIDADES%20IND%C3%8DGENAS/GC_CN_5099_2004.pdf"
"000000009495","275CD","Central","Electrónica","CD","Implementación y coordinación de un sistema de monitoreo remoto de fauna silvestre-telemetría /","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_4267_2002.pdf"
"000000009717","287CD","Central","Electrónica","CD","Identificación y caracterización del estado actual de los caminos antiguos localizados en la zona occidental del Valle de Aburrá entre la Serranía de las Baldías, Cerro del Padre Amaya, El Astillero, El Barcino y El Pico el Manzanillo /","http://www.corantioquia.gov.co/ciadoc/AREAS%20PROTEGIDAS/AIRNR_CN_5278_2003.pdf"
"000000009726","278CD","Central","Electrónica","CD","Promoción de planes de ahorro y mejoramiento de prácticas de manufactura y mantenimiento en la pequeña y mediana agroindustria de la panela del municipio de Buriticá, Antioquia /","http://www.corantioquia.gov.co/ciadoc/PRODUCCION%20MAS%20LIMPIA/AIRNR_CN_5311_2004.pdf"
"000000026093","1374FLL","Central","Folletos","Folleto","Cartilla para el manejo ambiental de proyectos de escombreras","http://www.corantioquia.gov.co/ciadoc/AUTORIDAD%20AMBIENTAL/AIRNR_AUTORIDAD%20AMBIENTAL_1374FLL_2005.pdf"
"000000009503","201CD","Central","Electrónica","CD","Estudios sobre el uso actual del suelo y algunos parámetros morfométricos de la cuenca de la quebrada La Tigra /","http://www.corantioquia.gov.co/ciadoc/SUELO/AIRNR_CN_017_2003.pdf"
"000000007481","99CD","Central","Electrónica","CD","Diagnóstico ambiental de las microcuencas de las quebradas La Pava, Ventiadero y Faldón del municipio de Liborina /","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_3144_2001.pdf"
"000000009504","173CD","Central","Electrónica","CD","Diagnóstico ambiental de la cuenca de la quebrada Insor municipio de Ebéjico Antioquia /","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_AGUA_173CD_2002.pdf"
"000000001286","1004Reg","Central","General","Libro","Inventario preliminar de entomofauna en el distrito de manejo integrado de los recursos naturales Cañón del Río Alicante /","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_2582_2000.pdf"
"000000009258","244DVD","Central","Electrónica","DVD","Plan de manejo del Area de Reserva Cuchilla Cerro Plateado - Alto San José, ubicada entre los municipios de Salgar, Betulia y Concordia /","http://www.corantioquia.gov.co/ciadoc/AREAS%20PROTEGIDAS/AIRNR_CN_5272_2003.pdf"
"000000009259","245DVD","Central","Electrónica","DVD","Plan de ordenación y manejo cuenca río El Bagre, municipios de Segovia, Remedios y Zaragoza Antioquia :","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_5495_2004.pdf"
"000000009662","311CD","Central","Electrónica","CD","Ocupación humana y entorno natural en las cavernas del Río Alicante, Maceo - Puerto Berrío (Antioquia) :","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_4183_2002.pdf"
"000000009260","246DVD","Central","Electrónica","DVD","Plan sectorial de desarrollo ecoturístico municipio de la Estrella [recurso electrónico] /","http://www.corantioquia.gov.co/ciadoc/CULTURA/GC_CN_5263_2003.pdf"
"000000009657","317CD","Central","Electrónica","CD","Búsqueda de poblaciones y algunos aspectos de la utilización de hábitat de la Danta Colombiana Tapirus terrestris colombianus, en el nordeste antioqueño /","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_4840_2004.pdf"
"000000012914","325CD","Central","Electrónica","CD","Plan de ordenamiento y manejo de la cuenca del río Tarazá /","http://www.corantioquia.gov.co/ciadoc/AGUA/GA_CN_5600_2004.pdf"
"000000009650","326CD","Central","Electrónica","CD","Estudio de la genética poblacional del magnolio de monte (talauma espinalii) en Antioquia mediante la técnica de AFLPS :","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_5497_2004.pdf"
"000000009649","327CD","Central","Electrónica","CD","Insectos xilófagos presentes en catorce especies de maderas comercializadas en el Valle de Aburrá :","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_5804_2004.pdf"
"000000009494","333CD","Central","Electrónica","CD","Modelo de control poblacional de la rana toro (rana catesbeiana) :","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_1081_2003.pdf"
"000000009562","405CD","Central","Electrónica","CD","Modelación matemática para el cálculo de caudales en algunas cuencas de la jurisdicción de CORANTIOQUIA :","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_6409_2005.pdf"
,"339CD","Central","Electrónica","CD","Informe de resultados, implementación del subproyecto de educación ambiental y capacitación ciudadana microcuenca La Culebra municipio de La Estrella /","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_AGUA_339CD_2003_MQLaCulebra.pdf"
"000000009645","335CD","Central","Electrónica","CD","Anfibios y reptiles reportados en el área de jurisdicción de la Corporación Autónoma Regional del Centro de Antioquia, CORANTIOQUIA /","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_5586_2004.pdf"
"000000009643","336CD","Central","Electrónica","CD","Distribución, uso de microhábitat y dieta de la nutria neotropical Lontra longicaudis (Olfers, 1818) en el Cañón del Río Alicante Antioquia, Colombia /","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_3793_2002.pdf"
"000000009642","337CD","Central","Electrónica","CD","Situación y distribución de la Nutria neotropical Lontra Longicaudis Annectens (Major, 1897) en la cuenca del río San Juan, Antioquia, Colombia /","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_4719_2003.pdf"
"000000009640","339CD","Central","Electrónica","CD","Informe de resultados, implementación del subproyecto de educación :","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_AGUA_339CD_2003_MFrana.pdf"
"000000009615","356CD","Central","Electrónica","CD","Plan de manejo forestal municipio de Cáceres, veredas Los Mangos, La Floresta, Vijagüal y Alto San Juan de los Cuatro Morros /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_5916_2004.pdf"
"000000009611","360CD","Central","Electrónica","CD","Ejecución del contrato para el apoyo a la aplicación de los protocolos de recepción, evaluación, tratamiento y rehabilitación inicial de la fauna rescatada en la jurisdicción de CORANTIOQUIA :","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_5765_2004.pdf"
"000000003274","2185Reg","Central","Regiones","Libro","Plan de manejo ambiental del complejo cenagoso El Sapo en el municipio de Nechí Antioquia /","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_5792_2004.pdf"
"000000009610","362CD","Central","Electrónica","CD","Inventario hídrico regional Zenufaná /","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_5802_2005.pdf"
"000000009609","363CD","Central","Electrónica","CD","Inventario hídrico Regional Panzenú /","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_5803_2005.pdf"
"000000010180","1394FLL","Central","Folletos","Folleto","Plan para la gestión del riesgo /","http://www.corantioquia.gov.co/ciadoc/GESTI%C3%93N%20DEL%20RIESGO/GA_CN_5723_2004.pdf"
"000000003633","1864Reg","Central","Regiones","Libro","Plan de ordenación y manejo del área de reserva natural ""La Candela, La María y Corcovado"" municipio de Titiribí, Antioquia :","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_5910_2004.pdf"
"000000009605","368CD","Central","Electrónica","CD","PRAE :","http://www.corantioquia.gov.co/ciadoc/CULTURA/GC_CN_5129_2003.pdf"
"000000009604","369CD","Central","Electrónica","CD","Plan de ordenación y manejo de la cuenca del Río La Cruz, en jurisdicción de los municipios de Vegachí, Yalí, Amalfi y Yolombó, Antioquia /","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_5629_2004.pdf"
"000000009602","370CD","Central","Electrónica","CD","Plan de manejo del área de reserva forestal protectora de la parte alta de la microcuenca La Chaparrala, ubicada entre los municipios de Fredonia y Caldas, Antioquia /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_5501_2004.pdf"
"000000009598","373CD","Central","Electrónica","CD","Fundamentación en investigación educativa ambiental y construcción participativa de PRAE en instituciones educativas del Norte del Valle de Aburrá :","http://www.corantioquia.gov.co/ciadoc/CULTURA/GC_CN_5559_2004.pdf"
"000000009597","374CD","Central","Electrónica","CD","Plan de ordenación y manejo cuenca hidrográfica del río Frío municipio de Támesis y Jericó /","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_6199_2005.pdf"
,"AIRNR00607","Central","AIRNR","MEMORIA","Plan de ordenación y manejo cuenca hidrográfica del Río Pedral Municipio de Betania e Hispania /","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_6200_2005.pdf"
,"AIRNR00147","Central","AIRNR","MEMORIA","Informe del desarrollo del taller teórico práctico sobre la aplicación y seguimiento a los protocolos de marcaje en fauna silvestre /","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_6011_2004.PDF"
"000000009587","382CD","Central","Electrónica","CD","Plan de manejo parte alta de las microcuencas Los Bedoya, Los Chica y Los Cadavid que abastecen el acueducto multiveredal Santa Bárbara, California y La Gómez del municipio de Pueblorrico Antioquia :","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_6034_2004.pdf"
"000000009585","383CD","Central","Electrónica","CD","Plan de manejo ambiental del Complejo Cenagoso Barbacoas municipio de Yondó Antioquia /","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_5791_2004.pdf"
"000000010201","1412FLL","Central","Folletos","Folleto","Manual y guía técnica pesquera para la Ciénaga Colombia en el Municipio de Caucasia Departamento de Antioquia /","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_5200_2003_2.pdf"
"000000010202","1413FLL","Central","Folletos","Folleto","Elementos básicos de reconocimiento de la motosierra /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_845_1997_3.pdf"
"000000025505","397CD","Central","Electrónica","CD","Evaluación de los valores patrimoniales en áreas de influencia de las microcuencas la Aguada, La Aguadita y Mediagua, corregimiento de Santa Elena :","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_6544_2005.pdf"
"000000009570","398CD","Central","Electrónica","CD","Diagnóstico ambiental y perfil del plan de ordenación y manejo de la cuenca de la quebrada La Correa, municipio de Girardota Antioquia /","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_6527_2005.pdf"
"000000009567","400CD","Central","Electrónica","CD","Plan de ordenación y manejo de la cuenca hidrográfica del Río Buey /","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_6198_2005.pdf"
"000000009566","401CD","Central","Electrónica","CD","Estudio socioeconómico zona de reserva del río Cauca [recurso electrónico] /","http://www.corantioquia.gov.co/ciadoc/AREAS%20PROTEGIDAS/AIRNR_CN_6321_2005.pdf"
"000000009560","407CD","Central","Electrónica","CD","Informe final inventario hídrico del municipio de Titiribí /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_2631_2000.pdf"
"000000009554","410CD","Central","Electrónica","CD","Estrategia nacional para la conservación de perezosos de tres uñas, Bradypus sp. y de dos uñas, Choloepus sp. en Colombia [recurso electrónico] /","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_6012_2004_2.pdf"
"000000009553","411CD","Central","Electrónica","CD","Protocolos de rehabilitación, reintroducción o reubicación de perezosos de dos uñas (C. hoffmanni) y de tres uñas (B. variegatus) /","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_6012_2004_1.pdf"
"000000009553","411CD","Central","Electrónica","CD","Protocolos de rehabilitación, reintroducción o reubicación de perezosos de dos uñas (C. hoffmanni) y de tres uñas (B. variegatus) /","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_6012_2004_2.pdf"
"000000009548","415CD","Central","Electrónica","CD","Determinación de la variabilidad del paujil de pico azul (Crax Alberti) por medio de secuencias microsatélites :","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_5918_2005.pdf"
"000000000041","51Reg","Central","Regiones","Libro","Informe de gestión y realizaciones 2005 /","http://www.corantioquia.gov.co/ciadoc/AUTORIDAD%20AMBIENTAL/AIRNR_AUTORIDADAMBIENTAL_51REG_2006.pdf"
"000000009529","431CD","Central","Electrónica","CD","Diagnóstico ambiental y plan de manejo de la cuenca Orobajo en el municipio de Santa Rosa de Osos, Antioquia /","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_6532_2005.pdf"
"000000009527","432CD","Central","Electrónica","CD","Estudio de algunos aspectos de biologia poblacional e historia natural de Rhamphophryne macrorhina y Elecutherodactylus suetus en bosques de la cordillera central colombiana /","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_6422_2005.pdf"
"000000009526","433CD","Central","Electrónica","CD","Plan de manejo ambiental del humedal de la Ciénaga Colombia en el municipio de Caucasia Antioquia /","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_5200_2003_1.pdf"
,"AIRNR00028","Central","AIRNR","MEMORIA","Censo de fauna silvestre mantenida como mascota en los hogares de 32 municipios de la Jurisdicción de Corantioquia","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_4973_2004.pdf"
"000000009519","442CD","Central","Electrónica","CD","Plan de manejo ambiental del humedal de montaña ""Laguna la cascada"" en el municipio de Tarso Antioquia /","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_6540_2005.pdf"
"000000011824","548CD","Central","Electrónica","CD","Estudio de la familia Melastomataceae en el área de jurisdicción de CORANTIOQUIA :","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_7186_2006.pdf"
"000000009518","443CD","Central","Electrónica","CD","Reglamentación de usos del suelo del tramo comprendido entre Puente Iglesias y Bolombolo en el área de la reserva de recursos naturales de la zona ribereña del Río Cauca en la jurisdicción de CORANTIOQUIA /","http://www.corantioquia.gov.co/ciadoc/SUELO/AIRNR_CN_6251_2005.pdf"
"000000009517","444CD","Central","Electrónica","CD","Avances en el estudio de la germinación y almacenamiento de las semillas y el manejo de plantas en vivero de ocho especies forestales en la jurisdicción de CORANTIOQUIA :","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_6408_2005.pdf"
"000000009516","445CD","Central","Electrónica","CD","Diagnóstico biofísico y económico del tramo comprendido entre el municipio de La Pintada y el corregimiento de Peñalisa de la reserva de recursos naturales de la zona ribereña del río Cauca /","http://www.corantioquia.gov.co/ciadoc/AREAS%20PROTEGIDAS/AIRNR_CN_6350_2005.pdf"
"000000009633","446CD","Central","Electrónica","CD","Caracterización y cuantificación de las áreas degradadas de la Territorial Panzenú :","http://www.corantioquia.gov.co/ciadoc/SUELO/AIRNR_CN_5682_2004.pdf"
"000000011925","457CD","Central","Electrónica","CD","Formación de docentes en procesos de investigación en educación ambiental /","http://www.corantioquia.gov.co/ciadoc/CULTURA/GC_CN_5869_2004.pdf"
"000000011896","487CD","Central","Electrónica","CD","Establecimiento y adaptación del Camu Camu Myrciaria dubia (Kunth) McVaugh en el Bajo Cauca antioqueño :","http://www.corantioquia.gov.co/ciadoc/FLORA/AIRNR_CN_6345_2005.pdf"
"000000011891","491CD","Central","Electrónica","CD","Identificación y caracterización socioeconómica y geotécnica de las zonas de alto riesgo no recuperable de la ciudad de Medellín y formulación del plan integral /","http://www.corantioquia.gov.co/ciadoc/SUELO/AIRNR_CN_5723_2004.pdf"
"000000011890","492CD","Central","Electrónica","CD","Censo de fauna silvestre mantenida como mascota en los hogares urbanos de veinte municipios de la jurisdicción de CORANTIOQUIA /","http://www.corantioquia.gov.co/ciadoc/FAUNA/AIRNR_CN_6025_2004.pdf"
"000000009534","425CD","Central","Electrónica","CD","Plan de ordenación y manejo de la cuenca hidrográfica del río Santa Rita en el municipio de Andes /","http://www.corantioquia.gov.co/ciadoc/AGUA/AIRNR_CN_5772_2005.pdf"
