"a_o","identificador_de_la_orden","rama_de_la_entidad","sector_de_la_entidad","entidad","solicitante","fecha","proveedor","estado","solicitud","items","total","agregacion","ciudad","entidad_obigada"
"2021","83254","Ejecutiva","Salud y Protección Social","FONDO FINANCIERO DISTRITAL DE SALUD","Luz  Ciro Florez","2021-12-21T00:00:00.000","Controles Empresariales Controles Empresariales SAS","Emitida","145863","Ver Conjunto detalle","4163888971","IAD Softare I  Microsoft","BOGOTA","No obligada"
"2022","94239","Organismos autónomo o independientes","Agricultura y Desarrollo Rural","INSTITUTO DE PROTECCION Y BIENESTAR ANIMAL DE CUNDINAMARCA","Carlos   Gomez Vera","2022-08-03T00:00:00.000","UT Nimbit Union Temporal Nimbit","Emitida","163671","Ver Conjunto detalle","4636878","IAD Softare I  Microsoft","BOGOTA DC","Obligada"
"2022","90071","Ejecutiva","Inclusión social y reconciliación","DEPARTAMENTO ADMINISTRATIVO PARA LA PROSPERIDAD SOCIAL","Andrea Eliana Salazar Pérez","2022-05-18T00:00:00.000","UT SOFTLINEBEX 2020","Emitida","156166","Ver Conjunto detalle","1843776621","IAD Softare I  Microsoft","Bogotá","Obligada"
"2022","90090","Ejecutiva","Defensa Nacional","HOSPITAL MILITAR CENTRAL","Ricardo   Hoyos Lanziano","2022-05-18T00:00:00.000","UT Nimbit Union Temporal Nimbit","Emitida","157180","Ver Conjunto detalle","509386800","IAD Softare I  Microsoft","BOGOTÁ, D.C.","Obligada"
"2022","90094","Ejecutiva","Defensa Nacional","CLUB MILITAR DE OFICIALES","David Tadeo Piña Sabahg","2022-05-18T00:00:00.000","UT Soft IG 3","Emitida","157186","Ver Conjunto detalle","20334264","IAD Softare I  Microsoft","Bogotá D.C.","Obligada"
"2022","89596","Ejecutiva","Minas y Energía","MINISTERIO DE MINAS Y ENERGIA  GESTION GENERAL","Sonia Rosmira Rodriguez Garcia","2022-05-10T00:00:00.000","UT SOFTLINEBEX 2020","Emitida","156360","Ver Conjunto detalle","798293336","IAD Softare I  Microsoft","-Bogotá, D.C.","Obligada"
"2022","84459","Ejecutiva","Presidencia de la República","AGENCIA PARA LA REINCORPORACIÓN Y LA NORMALIZACIÓN  ARN","Javier Mauricio Mosquera Lasso","2022-01-25T00:00:00.000","UT Nimbit Union Temporal Nimbit","Emitida","147617","Ver Conjunto detalle","173502000","IAD Softare I  Microsoft","BOGOTÁ","Obligada"
"2022","90020","Ejecutiva","Función Pública","BOGOTA  ALCALDIA LOCAL ANTONIO NARIÑO","Mónica Díaz Chacón","2022-05-17T00:00:00.000","Unión Temporal DELL EMC","Emitida","157062","Ver Conjunto detalle","49278000","IAD Softare I  Microsoft","Bogota","No obligada"
"2022","90120","Ejecutiva","Información Estadí­stica","DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADISTICA DANE","Diego Alberto Vargas Vanegas","2022-05-19T00:00:00.000","UT SOFTLINEBEX 2020","Emitida","157201","Ver Conjunto detalle","2439397385","IAD Softare I  Microsoft","Bogota","Obligada"
"2022","90153","Ejecutiva","Transporte","BOGOTA  SECRETARIA DISTRITAL DE MOVILIDAD","Jady Pérez Cruz","2022-05-19T00:00:00.000","Unión Temporal DELL EMC","Emitida","157289","Ver Conjunto detalle","432939816","IAD Softare I  Microsoft","Bogotá","No obligada"
"2022","94332","Ejecutiva","Defensa Nacional","COMANDO GENERAL FUERZAS MILITARES","Emerson Jimenez Martinez","2022-08-05T00:00:00.000","BRANCH OF MICROSOFT COLOMBIA INC","Emitida","163835","Ver Conjunto detalle","148158183","IAD Softare I  Microsoft","BOGOTA","Obligada"
"2022","94333","Ejecutiva","No Aplica","FONDO DE DESARROLLO LOCAL DE SAN CRISTOBAL","Juan Carlos Triana Rubiano","2022-08-05T00:00:00.000","UT Soft IG 3","Emitida","163847","Ver Conjunto detalle","102774000","IAD Softare I  Microsoft","BOGOTÁ","No obligada"
"2022","94341","Ejecutiva","Vivienda, Ciudad y Territorio","FONDO DE VIVIENDA DE INTERES SOCIAL Y REFORMA URBANA CARTAGENA","Nestor Edilson Castro Castañeda","2022-08-05T00:00:00.000","Soluciones Orión Sucursal Colombia","Emitida","163830","Ver Conjunto detalle","24816756","IAD Softare I  Microsoft","Cartagena","No obligada"
"2022","90236","Ejecutiva","Justicia y del Derecho","ANDJE","Juan Camilo Guerrero Restrepo","2022-05-20T00:00:00.000","CONTROLES EMPRESARIALES SAS","Emitida","157461","Ver Conjunto detalle","317385467","IAD Softare I  Microsoft","BOGOTÁ","Obligada"
"2022","88931","Ejecutiva","Minas y Energía","SERVICIO GEOLOGICO COLOMBIANO","Rubiela Gonzalez Gonzalez","2022-04-27T00:00:00.000","Unión Temporal DELL EMC","Emitida","154909","Ver Conjunto detalle","267502000","IAD Softare I  Microsoft","Bogotá D.C. Colombia","Obligada"
"2022","90290","Organismos autónomo o independientes","Función Pública","ANTIOQUIA  ALCALDIA DE RIONEGRO","Rodrigo Hernandez Alzate","2022-05-23T00:00:00.000","Unión Temporal DELL EMC","Emitida","157592","Ver Conjunto detalle","949705200","IAD Softare I  Microsoft","Rionegro","No obligada"
"2022","90285","Ejecutiva",,"BOGOTA DC  ALCALDIA LOCAL DE ENGATIVA","Angela Maria Moreno Torres","2022-05-23T00:00:00.000","UT SOFTLINEBEX 2020","Cerrada","157415","Ver Conjunto detalle","190002373","IAD Softare I  Microsoft","BOGOTÁ","No obligada"
"2021","82249","Ejecutiva","Agricultura y Desarrollo Rural","UNIDAD ADMINISTRATIVA ESPECIAL DE GESTION DE RESTITUCION DE TIERRAS DESPOJADAS","Hector Hernando Acosta Jiménez","2021-12-09T00:00:00.000","UT SOFTLINEBEX 2020","Cerrada","144484","Ver Conjunto detalle","808239390","IAD Softare I  Microsoft","Bogotá","Obligada"
"2022","94375","Ejecutiva","Hacienda y Crédito Público","UAE  AGENCIA DEL INSPECTOR GENERAL DE TRIBUTOS RENTAS Y CONTRIBUCIONES PARAFISCALES","Ítala  Rodríguez Suárez","2022-08-08T00:00:00.000","UT Nimbit Union Temporal Nimbit","Emitida","163788","Ver Conjunto detalle","193145999","IAD Softare I  Microsoft","Bogotá D.C.","Obligada"
"2022","90497","Organismos autónomo o independientes","Transporte","CONSEJO PROFESIONAL NACIONAL DE INGENIERIA","Olga Lucia RODRIGUEZ MURICA","2022-05-24T00:00:00.000","Unión Temporal DELL EMC","Emitida","157802","Ver Conjunto detalle","159446400","IAD Softare I  Microsoft","Bogotá","No obligada"
"2022","90499","Ejecutiva","Ciencia y Tecnología","MINISTERIO DE CIENCIA TECNOLOGIA E INNOVACION","Maria Reyes Gomez","2022-05-24T00:00:00.000","CONTROLES EMPRESARIALES SAS","Emitida","157804","Ver Conjunto detalle","254860437","IAD Softare I  Microsoft","Bogotá D.C","Obligada"
"2022","90547","Organismos autónomo o independientes",,"SECRETARIA DISTRITAL DE LA MUJER","Luis Guillermo Flechas Salcedo","2022-05-24T00:00:00.000","UT Soft IG 3","Emitida","157135","Ver Conjunto detalle","1427616946","IAD Softare I  Microsoft","Bogotá D.C. Colombia","No obligada"
"2022","94399","Ejecutiva","Cultura","MINISTERIO DE CULTURA","Oscar Andres Victoria Báquiro","2022-08-09T00:00:00.000","UT Soft IG 3","Emitida","163978","Ver Conjunto detalle","606549260","IAD Softare I  Microsoft","Bogota D.C.","Obligada"
"2022","94400","Ejecutiva","Cultura","MINISTERIO DE CULTURA","Oscar Andres Victoria Báquiro","2022-08-09T00:00:00.000","UT SOFTLINEBEX 2020","Emitida","163980","Ver Conjunto detalle","20544903","IAD Softare I  Microsoft","Bogota D.C.","Obligada"
"2022","90655","Organismos autónomo o independientes","Ambiente y Desarrollo Sostenible","CORPORACION AUTONOMA REGIONAL PARA LA DEFENSA DE LA MESETA DE BUCARAMANGA","Chanel  Lopez Aldana","2022-05-25T00:00:00.000","UT Nimbit Union Temporal Nimbit","Emitida","157953","Ver Conjunto detalle","104234236","IAD Softare I  Microsoft","bucaramanga","No obligada"
"2022","90707","Ejecutiva","Función Pública","ACI Agencia de Cooperación e Inversión de Medellín  y el Área Metropolitana","Luisa Fernanda Marquez Ruiz","2022-05-26T00:00:00.000","UT Nimbit Union Temporal Nimbit","Emitida","158076","Ver Conjunto detalle","55781280","IAD Softare I  Microsoft","Medellín","No obligada"
"2022","90733","Ejecutiva","Transporte","AGENCIA NACIONAL DE SEGURIDAD VIAL","Luz Andrea Venegas Casallas","2022-05-26T00:00:00.000","UT SOFTLINEBEX 2020","Emitida","158135","Ver Conjunto detalle","892442094","IAD Softare I  Microsoft","Bogotá","Obligada"
"2022","90747","Ejecutiva","Agricultura y Desarrollo Rural","MINAGRICULTURA","Alfonso Javier Celedon Simon","2022-05-26T00:00:00.000","UT Soft IG 3","Emitida","158096","Ver Conjunto detalle","1870036045","IAD Softare I  Microsoft","Bogotá D.C.","Obligada"
"2022","90753","Ejecutiva",,"UAE  CATASTRO DISTRITAL","Luis Javier Cleves Gonzalez","2022-05-26T00:00:00.000","Unión Temporal DELL EMC","Emitida","158060","Ver Conjunto detalle","1161195595","IAD Softare I  Microsoft","Bogota D.C","No obligada"
"2020","52138","Ejecutiva","Ambiente y Desarrollo Sostenible","PARQUES NACIONALES NATURALES DE COLOMBIA","Luis Alberto Ortiz Morales","2020-07-16T00:00:00.000","Unión Temporal DELL EMC","Cerrada","91426","Ver Conjunto detalle","112814608","IAD Softare I  Microsoft","Bogotá D.C.","Obligada"
"2020","52402","Ejecutiva","Tecnologías de la Información y las comunicaciones","COMISION DE REGULACION DE COMUNICACIONES","Astrid Del Carmen Angel Bulla","2020-07-22T00:00:00.000","UT Soft IG 3","Cerrada","91956","Ver Conjunto detalle","31761286","IAD Softare I  Microsoft","Bogotá D.C.","Obligada"
"2020","53186","Ejecutiva","Tecnologías de la Información y las comunicaciones","COMISION DE REGULACION DE COMUNICACIONES","Astrid Del Carmen Angel Bulla","2020-08-03T00:00:00.000","UT Soft IG 3","Cerrada","93267","Ver Conjunto detalle","94331558","IAD Softare I  Microsoft","Bogotá D.C.","Obligada"
"2021","70506","Ejecutiva","Trabajo","SUPERINTENDENCIA DE SUBSIDIO FAMILIAR","Andres Mauricio Neira Alvarez","2021-06-08T00:00:00.000","Colsoft COLOMBIANA DE SOFTARE Y HARDARE COLSOF SA","Cerrada","125245","Ver Conjunto detalle","234995181","IAD Softare I  Microsoft","BOGOTÁ","Obligada"
"2021","72414","Ejecutiva","Salud y Protección Social","ADMINISTRADORA DE LOS RECURSOS DEL SISTEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD","Jenny Carolina Garcia Varon","2021-07-13T00:00:00.000","UT Soft IG 3","Cerrada","128708","Ver Conjunto detalle","2341344892","IAD Softare I  Microsoft","Bogotá","No obligada"
"2022","90809","Ejecutiva","Función Pública","ALCALDIA MANIZALES","Rafael Antonio Tejada Quintero","2022-05-27T00:00:00.000","Unión Temporal DELL EMC","Emitida","158242","Ver Conjunto detalle","143280000","IAD Softare I  Microsoft","Manizales","No obligada"
"2022","94425","Ejecutiva",,"CUNDINAMARCA  ALCALDIA DE FUSAGASUGA","Doris  Rodríguez Domínguez","2022-08-09T00:00:00.000","UT Nimbit Union Temporal Nimbit","Emitida","163949","Ver Conjunto detalle","57239000","IAD Softare I  Microsoft","FUSAGASUGA","No obligada"
"2020","54143","Organismos autónomo o independientes","Educación Nacional","INSTITUTO COLOMBIANO DE CREDITO EDUCATIVO Y ESTUDIOS TECNICOS EN EL EXTERIOR MARIANO OSPINA PEREZ ICETEX","Oscar Yovany Baquero Moreno","2020-08-27T00:00:00.000","Union Temporal Nimbit","Cerrada","95586","Ver Conjunto detalle","53821320","IAD Softare I  Microsoft","BOGOTA","No obligada"
"2022","90920","Ejecutiva","Función Pública","ALCALDIA MANIZALES","Rafael Antonio Tejada Quintero","2022-05-31T00:00:00.000","Unión Temporal DELL EMC","Emitida","158373","Ver Conjunto detalle","186240036","IAD Softare I  Microsoft","Manizales","No obligada"
"2022","90950","Ejecutiva","Ambiente y Desarrollo Sostenible","FONDO NACIONAL AMBIENTAL  AUTORIDAD NACIONAL DE LICENCIAS AMBIENTALES","Nany Heidi Alonso Triana","2022-05-31T00:00:00.000","Unión Temporal DELL EMC","Emitida","158374","Ver Conjunto detalle","1930969653","IAD Softare I  Microsoft","BOGOTA D.C.","Obligada"
"2022","91016","Ejecutiva","Transporte","INSTITUTO NACIONAL DE VIAS","Laura Valentina Sanín Morales","2022-05-31T00:00:00.000","UT SOFTLINEBEX 2020","Emitida","158512","Ver Conjunto detalle","2013816636","IAD Softare I  Microsoft","BOGOTÁ D.C","Obligada"
"2020","57383","Organismos autónomo o independientes","No Aplica","JURISDICCION ESPECIAL PARA LA PAZ","Luis Felipe Rivera García","2020-10-28T00:00:00.000","Controles Empresariales SAS","Cerrada","102407","Ver Conjunto detalle","1020954316","IAD Softare I  Microsoft","BOGOTA","No obligada"
"2020","61111","Ejecutiva","Defensa Nacional","BOYACA  POLICIA METROPOLITANA DE TUNJA","Jose Darin Angulo Gonzalez","2020-12-09T00:00:00.000","UT Soft IG 3","Cerrada","108876","Ver Conjunto detalle","77877899","IAD Softare I  Microsoft","TUNJA","Obligada"
"2021","81454","Ejecutiva","Función Pública","DISTRITO DE BARRANQUILLA","Orlando Mario Hernandez Ariza","2021-12-01T00:00:00.000","UT Nimbit Union Temporal Nimbit","Cerrada","141848","Ver Conjunto detalle","45302951","IAD Softare I  Microsoft","Barranquilla","No obligada"
"2021","83123","Judicial","Justicia y del Derecho","RAMA JUDICIAL  CONSEJO SUPERIOR DE LA JUDICATURA","Carlos Julio Modesto Castellanos","2021-12-20T00:00:00.000","Unión Temporal DELL EMC","Cerrada","145227","Ver Conjunto detalle","7645347304","IAD Softare I  Microsoft","Bogota d.c.","No obligada"
"2022","91064","Organismos autónomo o independientes","Justicia y del Derecho","DEFENSORIA DEL PUEBLO","Altus Baquero Rueda","2022-06-01T00:00:00.000","UT SOFTLINEBEX 2020","Emitida","158594","Ver Conjunto detalle","175908447","IAD Softare I  Microsoft","bogota","No obligada"
"2022","91068","Ejecutiva","Agricultura y Desarrollo Rural","BOGOTA DCAGENCIA DE DESARROLLO RURAL","John Fredy Toro Gonzalez","2022-06-01T00:00:00.000","UT SOFTLINEBEX 2020","Emitida","158559","Ver Conjunto detalle","632688798","IAD Softare I  Microsoft","BOGOTA D.C.","Obligada"
"2022","94460","Ejecutiva","Minas y Energía","COMISION DE REGULACION DE ENERGIA Y GAS","Mauricio Velosa Cortes","2022-08-10T00:00:00.000","COLSOF SAS","Emitida","164097","Ver Conjunto detalle","172328228","IAD Softare I  Microsoft","Bogotá D.C.","Obligada"
"2021","72605","Ejecutiva","Defensa Nacional","POLICIA NACIONAL  GESTION GENERAL","Rafael Fernando Amaya Amaya","2021-07-15T00:00:00.000","UT SOFTLINEBEX 2020","Cerrada","129091","Ver Conjunto detalle","3381260786","IAD Softare I  Microsoft","Bogotá","Obligada"
"2021","81758","Judicial","Justicia y del Derecho","RAMA JUDICIAL  CONSEJO SUPERIOR DE LA JUDICATURA","Carlos Julio Modesto Castellanos","2021-12-03T00:00:00.000","Unión Temporal DELL EMC","Cerrada","143521","Ver Conjunto detalle","2456064630","IAD Softare I  Microsoft","Bogota d.c.","No obligada"
"2022","91170","Ejecutiva","Inclusión social y reconciliación","SECRETARIA DISTRITAL DE INTEGRACION SOCIAL","Franky González Daza","2022-06-02T00:00:00.000","UT SOFTLINEBEX 2020","Emitida","158756","Ver Conjunto detalle","3238333476","IAD Softare I  Microsoft","Bogotá D.C.","No obligada"
"2022","91247","Ejecutiva","Vivienda, Ciudad y Territorio","COMISION REG AGUA POTABLE SANEAMIENTO BASICO","Sandro Javier Romero Hernández","2022-06-03T00:00:00.000","UT Nimbit Union Temporal Nimbit","Emitida","158862","Ver Conjunto detalle","23768681","IAD Softare I  Microsoft","Bogotá","Obligada"
"2020","55316","Organismos autónomo o independientes","Transporte","VALLE DEL CAUCA  CENTRO DE DIAGNOSTICO AUTOMOTOR DEL VALLE LIMITADA","Nestor Raul Salinas Collazos","2020-09-17T00:00:00.000","Unión Temporal DELL EMC","Cerrada","97953","Ver Conjunto detalle","264403417","IAD Softare I  Microsoft","CALI","No obligada"
"2021","76722","Organismos autónomo o independientes","Transporte","VALLE DEL CAUCA  CENTRO DE DIAGNOSTICO AUTOMOTOR DEL VALLE LIMITADA","Jaime Cardenas Tobon","2021-09-28T00:00:00.000","Unión Temporal DELL EMC","Cerrada","135443","Ver Conjunto detalle","98400000","IAD Softare I  Microsoft","CALI","No obligada"
"2022","91281","Ejecutiva","Planeación","SECRETARIA DISTRITAL DE PLANEACION","Nora Alejandra Muñoz Barrios","2022-06-06T00:00:00.000","Unión Temporal DELL EMC","Emitida","158918","Ver Conjunto detalle","243602163","IAD Softare I  Microsoft","Bogotá","No obligada"
"2022","91311","Ejecutiva","Agricultura y Desarrollo Rural","AGENCIA NACIONAL DE TIERRAS","illiam Andres Robledo Acosta","2022-06-06T00:00:00.000","Unión Temporal DELL EMC","Emitida","158903","Ver Conjunto detalle","1273293588","IAD Softare I  Microsoft","BOGOTÁ","Obligada"
"2020","52864","Ejecutiva","Defensa Nacional","FONDO ROTATORIO DE LA POLICIA","Rosalba Zamora Castro","2020-07-29T00:00:00.000","Unión Temporal DELL EMC","Cerrada","92899","Ver Conjunto detalle","403036706","IAD Softare I  Microsoft","Bogotá D.C.","Obligada"
"2022","91346","Organismos autónomo o independientes","No Aplica","SANTANDER  UNIDADES TECNOLOGICAS DE SANTANDER  BUCARAMANGA","Humberto  Rangel Lizcano","2022-06-07T00:00:00.000","Soluciones Orión Sucursal Colombia","Emitida","158973","Ver Conjunto detalle","2541916","IAD Softare I  Microsoft","Bucaramanga","No obligada"
"2022","91359","Ejecutiva","Educación Nacional","BOGOTA  UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS","Eduard Arnulfo Pinilla Rivera","2022-06-07T00:00:00.000","UT Soft IG 3","Emitida","159073","Ver Conjunto detalle","224780072","IAD Softare I  Microsoft","Bogota D.C.","No obligada"
"2022","91369","Ejecutiva","Función Pública","FONDO DE DESARROLLO LOCAL DE KENNEDY","Yeimy Carolina Agudelo Hernandez","2022-06-07T00:00:00.000","UT SOFTLINEBEX 2020","Emitida","159033","Ver Conjunto detalle","305051956","IAD Softare I  Microsoft","Bogotá","No obligada"
"2022","91421","Ejecutiva","Vivienda, Ciudad y Territorio","ANTIOQUIA  INSTITUTO SOCIAL DE VIVIENDA Y HABITAT DE MEDELLÍN","Vilmer Hoyos Hoyos","2022-06-07T00:00:00.000","UT SOFTLINEBEX 2020","Emitida","159023","Ver Conjunto detalle","296382165","IAD Softare I  Microsoft","Medellín","No obligada"
"2022","91428","Ejecutiva","Función Pública","BOGOTA DC  ALCALDIA LOCAL DE BARRIOS UNIDOS","Antonio Carrillo Rosas","2022-06-07T00:00:00.000","Unión Temporal DELL EMC","Emitida","159125","Ver Conjunto detalle","46908000","IAD Softare I  Microsoft","Bogota","No obligada"
"2022","94568","Ejecutiva","Ambiente y Desarrollo Sostenible","JARDIN BOTANICO DE BOGOTA JOSE CELESTINO MUTIS","Martha Liliana Perdomo Ramirez","2022-08-11T00:00:00.000","Unión Temporal DELL EMC","Emitida","164234","Ver Conjunto detalle","330822000","IAD Softare I  Microsoft","BOGOTA","No obligada"
"2022","91549","Organismos autónomo o independientes","Función Pública","COMISION NACIONAL DEL SERVICIO CIVIL","Hernan Dario Gutierrez Casas","2022-06-09T00:00:00.000","UT SOFTLINEBEX 2020","Emitida","159301","Ver Conjunto detalle","473318883","IAD Softare I  Microsoft","Bogota","No obligada"
