"vigencia_proyecto","periodo","dependencia","proyecto","estado"
"2021","Semestre I","PROYECTOS PLAN VIAL Y CANALIZACIONES AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI - PENDIENTE.","Canalización del arroyo Hospital.","En Ejecución"
"2021","Semestre I","PROYECTOS PLAN VIAL Y CANALIZACIONES AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI - PENDIENTE.","Canalización del arroyo de la Carrera 65.","En Ejecución"
"2021","Semestre I","PROYECTOS PLAN VIAL Y CANALIZACIONES AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI - PENDIENTE.","Canalización arroyo de la calle 76.","En Ejecución (Avance 100%)."
"2021","Semestre I","PROYECTOS PLAN VIAL Y CANALIZACIONES AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI - PENDIENTE.","Canalización Arroyo Felicidad.","En Ejecución"
"2020","Semestre I","AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI","Mantenimiento y adecuacion de superficies y cerramientos en zonas de juegos, canchas y plazoletas en el distrito de barranquilla","En Ejecución"
"2020","Semestre I","AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI","Mantenimiento y adecuación de parques y areas públicas de la localidad sur occidente en el distrito de barranquilla.","Terminado"
"2020","Semestre I","AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI","Recuperación urbanistica del espacio publico desde la linea de bordillo a la linea de propiedad de la carrera 54","En Ejecución"
"2021","Semestre I","AGENCIA DISTRITAL DE INFRAESTRUCTURA - ADI","Mantenimiento y adecuación de parques y areas públicas de la localidad sur oriente en el distrito de barranquilla.","En Ejecución"
"2021","Semestre II","OBRAS EN EJECUCIÓN VIGENCIA 2021 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Ejecución del Proyecto de Urbanismo Comunitario ""Barrios a la Obra"" - Etapa VII.","En Ejecución"
"2021","Semestre II","OBRAS EN EJECUCIÓN VIGENCIA 2021 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Plan Malla Vial (Calles Para La Prosperidad) - Reparcheo de vías Express.","En Ejecución"
"2021","Semestre II","OBRAS EN EJECUCIÓN VIGENCIA 2021 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Plan Malla Vial (100% Porcentaje de avance en la formulación del Plan malla vial formulado).","En Ejecución"
"2021","Semestre II","OBRAS EN EJECUCIÓN VIGENCIA 2021 - SECRETARÍA DISTRITAL DE OBRAS PÚBLICAS","Mejoramiento de Viviendas.","En Ejecución"
