"id","razon_social","direcci_n","codigo_rnt","descrici_n_categoria","correo_electronico"
"108","BABILONIA CENTRO VACACIONAL","KM 7 VIA TRES PUERTAS","40330","ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO","ACTIVO"
"109","HOTEL CENTRAL ARAUCA","CRA. 4 7-29 ARAUCA","40299","ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO","ACTIVO"
"110","BAMBUSA ECOPARQUE SAS","FINCA EL COROZO VDA. SANTAGUEDA","39437","ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES","ACTIVO"
"111","HOTEL CURAZAO","KIM. 3 VIA CHINCHINA PALESTINA","34531","ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO","ACTIVO"
"112","HOSPEDAJE Y RESTAURANTE CASA DEL AEROPUERTO","CL. 9 11-35","24998","ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO","ACTIVO"
"113","CENTRO ECOTURISTICO LA GRANJITA","SANTAGUEDA","19254","VIVIENDAS TURÍSTICAS","ACTIVO"
"115","PALESTINA ECOHOTEL CENTRO DE CONVENCIONES LTDA.","KM 7 VIA CHINCHINA SANTAGUEDA-VEREDA MULETA","14103","VIVIENDAS TURÍSTICAS","ACTIVO"
"116","FINCA LA ACUARELA","VEREDA SANTAGUEDA ENTRADA 1 CASA 25 VIA HACIENDA V","13194","VIVIENDAS TURÍSTICAS","ACTIVO"
"117","APARTAHOTEL LA FLORIDA","VEREDA LA PLATA","13186","ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO","ACTIVO"
"118","HOTEL MALOCA","VEREDA SANTAGUEDA","9446","VIVIENDAS TURÍSTICAS","ACTIVO"
"119","FINCA HOTEL LAS CAROLAS SAS","KM 2 VIA MARSELLA","8043","VIVIENDAS TURÍSTICAS","ACTIVO"
"120","CENTRO VACACIONAL VILLA BEATRIZ","SANTAGUEDA","5515","VIVIENDAS TURÍSTICAS","ACTIVO"
"121","HOSTERIA DEL CAFE","KM 3 NUEVA VIA CHINCHINA PALESTINA","5347","VIVIENDAS TURÍSTICAS","ACTIVO"
"122","CENTRO VACACIONAL SANTAGUEDA","KILOMETRO 29 VIA ARAUCA","2140","ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO","ACTIVO"
"123","CENTRO VACACIONAL LA ROCHELA CONFAMILIARES","KILOMENTRO 32 VIA ARAUCA","2107","ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO","ACTIVO"
