"predio","direccion","estrato"
"25-290-01-00-0005-0028-000","C 2 10 22","2.0"
"25-290-01-00-0005-0029-000","D 2 10 07","2.0"
"25-290-01-00-0005-0031-000","D 2 10 63 71","2.0"
"25-290-01-00-0005-0032-000","D 2 10 53","2.0"
"25-290-01-00-0005-0033-000","D 2 10 43","2.0"
"25-290-01-00-0005-0034-000","D 2 10 35","2.0"
"25-290-01-00-0005-0035-000","C 1 10 13 N","2.0"
"25-290-01-00-0005-0036-000","D 2 10 27","2.0"
"25-290-01-00-0005-0037-000","K 11A 1 21","2.0"
"25-290-01-00-0005-0038-000","C 1 11 21","2.0"
"25-290-01-00-0005-0039-000","C 1 11A 05","2.0"
"25-290-01-00-0005-0040-000","C 2 10 38 42","2.0"
"25-290-01-00-0005-0041-000","C 1 11A 41","2.0"
"25-290-01-00-0005-0042-000","C 2 10A 10 12","2.0"
"25-290-01-00-0005-0043-000","C 2 10A 14","2.0"
"25-290-01-00-0005-0044-000","CLL 2 No. 10 A - 24","2.0"
"25-290-01-00-0005-0045-000","C 2 10 10","2.0"
"25-290-01-00-0005-0047-000","C 2 11 04","2.0"
"25-290-01-00-0005-0048-000","C 2 10A 46 48","2.0"
"25-290-01-00-0005-0051-000","C 1 10 75","2.0"
"25-290-01-00-0005-0053-000","C 1 10 77","2.0"
"25-290-01-00-0005-0054-901","C 2 11A 24 Ap 201","2.0"
"25-290-01-00-0005-0055-000","C 2 10A 44","2.0"
"25-290-01-00-0006-0002-000","K 13 1 33","2.0"
"25-290-01-00-0006-0003-000","CARRERA 13 No 1-27","2.0"
"25-290-01-00-0006-0004-000","K 13 2 17","2.0"
"25-290-01-00-0006-0005-000","Lo No 1","3.0"
"25-290-01-00-0006-0006-000","Lo No 3","2.0"
"25-290-01-00-0006-0007-000","Lo No 2","2.0"
"25-290-01-00-0007-0002-000","K 13 2 32","2.0"
"25-290-01-00-0007-0003-000","K 13 2 24","2.0"
"25-290-01-00-0007-0004-000","K 13 2 23","2.0"
"25-290-01-00-0007-0005-000","K 13 2 04","2.0"
"25-290-01-00-0007-0006-000","C 2 12 45","2.0"
"25-290-01-00-0007-0007-000","CLL 22 No. 12 31/35","3.0"
"25-290-01-00-0007-0008-000","C 2 12 27","3.0"
"25-290-01-00-0007-0009-000","C 2 12 13 21","2.0"
"25-290-01-00-0007-0010-000","K 12 2 16","2.0"
"25-290-01-00-0007-0011-000","K 12 2 24 28","2.0"
"25-290-01-00-0007-0012-000","K 12 2 37 39","2.0"
"25-290-01-00-0007-0013-000","K 12 2 64","2.0"
"25-290-01-00-0007-0014-000","C 3 12 10","2.0"
"25-290-01-00-0007-0015-000","K 12 2 21","2.0"
"25-290-01-00-0007-0016-000","K 13 2 40","2.0"
"25-290-01-00-0007-0017-000","K 12 2 51","2.0"
"25-290-01-00-0007-0018-000","K 12 1 09 D 1 12 13","2.0"
"25-290-01-00-0007-0019-901","C 3 12 22 Cs 1","2.0"
"25-290-01-00-0007-0020-901","C 3 12 22 Cs 2","2.0"
"25-290-01-00-0008-0001-000","C 2 11 13","2.0"
"25-290-01-00-0008-0002-000","C 2 11 05","2.0"
"25-290-01-00-0008-0003-000","K 11 2 15","2.0"
"25-290-01-00-0008-0004-000","K 11 2 23","2.0"
"25-290-01-00-0008-0005-000","K 11 2 29","2.0"
"25-290-01-00-0008-0006-000","K 11 2 39","3.0"
"25-290-01-00-0008-0007-000","K 11 2 45 47","2.0"
"25-290-01-00-0008-0008-000","C 3 11 16","2.0"
"25-290-01-00-0008-0009-000","C 2 11 25","2.0"
"25-290-01-00-0008-0010-000","C 2 11 33","2.0"
"25-290-01-00-0008-0011-000","C 2 11 45","2.0"
"25-290-01-00-0008-0012-000","C 2 11 57","2.0"
"25-290-01-00-0008-0013-000","C 2 11 67 K 12 2 08","2.0"
"25-290-01-00-0008-0014-000","K 12 2 16","2.0"
"25-290-01-00-0008-0015-000","K 12 2 22","2.0"
"25-290-01-00-0008-0016-000","K 12  2 32","2.0"
"25-290-01-00-0008-0017-000","K 12 2 40","2.0"
"25-290-01-00-0008-0018-000","K 12 2 46 50","2.0"
"25-290-01-00-0008-0019-000","C 3  11 48","2.0"
"25-290-01-00-0008-0020-000","C 3 11 40","2.0"
"25-290-01-00-0008-0021-000","C 3 11 32","3.0"
"25-290-01-00-0008-0022-000","C 3  11 18 20 26","2.0"
"25-290-01-00-0008-0023-000","C 2 K 12","2.0"
"25-290-01-00-0008-0024-000","K 11 2 97 C 3 11 04","2.0"
"25-290-01-00-0008-0025-000","C 3  11 58","2.0"
"25-290-01-00-0009-0001-000","C 3 10A 22 24","2.0"
"25-290-01-00-0009-0002-000","C 3 10A 04 K 10A 2 59","2.0"
"25-290-01-00-0009-0003-000","K 11  2 46","2.0"
"25-290-01-00-0009-0004-000","K 10A 2 49","2.0"
"25-290-01-00-0009-0005-000","K 11 2 36","2.0"
"25-290-01-00-0009-0006-000","K 10A 2 39","2.0"
"25-290-01-00-0009-0007-000","K 11 2 26","2.0"
"25-290-01-00-0009-0008-000","K 10A 2 29","2.0"
"25-290-01-00-0009-0009-000","K 11 2 12 14","2.0"
"25-290-01-00-0009-0010-000","K 10A 2 19","2.0"
"25-290-01-00-0009-0011-000","K 11 2 06 C 2 10A 25","2.0"
"25-290-01-00-0009-0012-000","K 10A 2 09 13","2.0"
"25-290-01-00-0009-0013-000","K 10A 2 33","2.0"
"25-290-01-00-0009-0014-000","K 11 2 56 C 3 10A 32","2.0"
"25-290-01-00-0009-0015-000","K 10A 2 03 C 2 10A 07","2.0"
"25-290-01-00-0009-0016-000","C 2 10A 15","2.0"
"25-290-01-00-0009-0017-901","C 3 10A 12 Cs A","3.0"
"25-290-01-00-0009-0020-901","C 3 10A 16 Cs B","2.0"
"25-290-01-00-0010-0001-000","K 10A 2 52","2.0"
"25-290-01-00-0010-0002-000","C 3 10 14","2.0"
"25-290-01-00-0010-0003-000","C 3 10 06","2.0"
"25-290-01-00-0010-0004-000","K 10 2 63","3.0"
"25-290-01-00-0010-0005-000","K 10 2 43","2.0"
"25-290-01-00-0010-0006-000","K 10 2 35","2.0"
"25-290-01-00-0010-0007-000","K 10 2 25","2.0"
"25-290-01-00-0010-0009-000","C 2 10 21","2.0"
"25-290-01-00-0010-0010-000","C 2 10 37","2.0"
"25-290-01-00-0010-0011-000","K 10A 2 24","2.0"
"25-290-01-00-0010-0012-000","CRA 10 A N° 1-36","3.0"
"25-290-01-00-0010-0013-000","K 10A 2 38 40","2.0"
"25-290-01-00-0010-0014-000","K 10A 2 14","2.0"
"25-290-01-00-0010-0016-000","C 3 10 22 K 10A 2 62","2.0"
"25-290-01-00-0010-0017-000","K 10 2 11","2.0"
"25-290-01-00-0010-0018-000","Lo No 2","3.0"
"25-290-01-00-0010-0019-000","KR 10 No. 1 - 13","2.0"
"25-290-01-00-0011-0007-000","K 8 1N 23","3.0"
"25-290-01-00-0011-0011-000","T 9 2 30 N","2.0"
"25-290-01-00-0011-0020-901","K 9 1A 02 06N","2.0"
"25-290-01-00-0011-0021-000","Lo No 1","2.0"
"25-290-01-00-0011-0027-000","D 1A Bis 8 18 N","2.0"
"25-290-01-00-0011-0034-000","Lo No 1","2.0"
"25-290-01-00-0011-0036-000","K 8 1 20 N","2.0"
"25-290-01-00-0011-0038-000","C 1 Bis 8 04 N","2.0"
"25-290-01-00-0011-0042-000","K 8 1 27 N","2.0"
"25-290-01-00-0011-0043-000","K 8 1 05","3.0"
"25-290-01-00-0011-0047-000","D 1 8 09 N","2.0"
"25-290-01-00-0011-0048-000","Lo No 2","2.0"
"25-290-01-00-0011-0050-000","Lo No 4A","3.0"
"25-290-01-00-0011-0051-000","T 8 Bis 1 30 N","3.0"
"25-290-01-00-0011-0052-000","D 1B Bis 8 30 N","3.0"
"25-290-01-00-0011-0053-000","K 8 1 28 N","3.0"
"25-290-01-00-0011-0054-000","C 1 8B 40 N","2.0"
"25-290-01-00-0011-0070-000","D 1 Bis 8 16 N","2.0"
"25-290-01-00-0011-0071-000","Lo No 3","2.0"
"25-290-01-00-0011-0073-000","LT 5","3.0"
"25-290-01-00-0011-0074-901","K 9 1A 2 N","2.0"
"25-290-01-00-0011-0075-000","TRASNVERSAL 8 Bis No. int - 61","2.0"
"25-290-01-00-0011-0076-000","K 8 Bis 1 17 N","2.0"
"25-290-01-00-0011-0077-000","CRA 52 B No. 19-15, MANZANA E LOTE 2 (prov)","3.0"
"25-290-01-00-0011-0079-000","TV 8 BIS No. 1 A NORTE - 33","2.0"
"25-290-01-00-0011-0080-000","T 8 Bis 1A 26 N","2.0"
"25-290-01-00-0011-0081-000","Lo No 2","3.0"
"25-290-01-00-0011-0082-000","C 1 Bis 8 33 N","2.0"
"25-290-01-00-0011-0083-000","T 8 Bis 1 34 N","2.0"
"25-290-01-00-0011-0085-000","T 8 Bis 1A 48 N","1.0"
"25-290-01-00-0011-0086-000","T 8 Bis 1 43 N","2.0"
"25-290-01-00-0011-0087-000","Lo No 1","3.0"
"25-290-01-00-0011-0106-000","Lo No 2","2.0"
"25-290-01-00-0011-0109-000","CASA B","2.0"
"25-290-01-00-0011-0110-000","T 9  1 D NORTE 18","2.0"
"25-290-01-00-0011-0111-000","LT 3 MZ C","2.0"
"25-290-01-00-0011-0112-000","LT 4  MZ C","2.0"
"25-290-01-00-0011-0113-902","D 1 D NORTE 8 A 17 Cs 1","2.0"
"25-290-01-00-0011-0114-902","D 1 D NORTE 8 A 17 Cs 2","2.0"
"25-290-01-00-0011-0115-000","K 9 1 NORTE 26","2.0"
"25-290-01-00-0011-0116-000","TV 9  1 D  NORTE 14  14","4.0"
"25-290-01-00-0011-0117-000","LT 5 MZ F","2.0"
"25-290-01-00-0011-0118-000","LT 6 MZ F","2.0"
