"noid","codigo_departamento","nombre_departamento","codigo_municipio","nombre_municipio","zona_postal","codigo_postal","limite_norte","limite_sur","limite_este","limite_oeste","tipo","barrios_contenidos_en_el","veredas_contenidas_en_el"
"2.198","50","META","50110","BARRANCA DE UPIA","5.01","501.001","CL 13","CL 1","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Cabecera Municipal- Caiman Alto-  Las Moras-  Zona Urbana"
"1.7","25","CUNDINAMARCA","25797","TENA","2.526","252.61","CL 9","DG 2 S","KR 0","KR 8B","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.192","50","META","50001","VILLAVICENCIO","5","500.004","AK 40 Y KR 33","RIO OCOA  Y  LIM URB","KR  22","KR 48 Y VIA P/LELA C. TIGRE","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"914","15","BOYACA","15638","SACHICA","1.538","153.88","CL 8","CL 0","KR 0","KR 7","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.008","17","CALDAS","17653","SALAMINA","1.72","172.001","LIMITE URBANO","LIMITE URBANO","KR 9","KR 1","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.876","68","SANTANDER","68209","CONFINES","6.835","683.531","CL 15","CL 3","KR 4","KR 7","Urbano","Sin Informacion de Barrios","Cabecera Municipal- Salitre"
"48","5","ANTIOQUIA","5308","GIRARDOTA","510","51.037","MUNICIPIO DON MATIAS","LIMITE URBANO","MUNICIPIO BARBOSA","MUNICIPIO COPACABANA","Rural","Sin Informacion de Barrios","El Socorro- El Tigre-  La Mata-  La Matica-  Loma de los Ochoa-  Mercedes abrego-  Potrerito"
"401","8","ATLANTICO","8573","PUERTO COLOMBIA","810","81.007","MAR CA. Y M. B/QUILLA","VIA B/QUILLA-PTO. COL.","MPIO. B/QUILLA","MAR CARIBE","Rural","Sin Informacion de Barrios","Sin Informacion de Veredas"
"820","15","BOYACA","15047","AQUITANIA","1.524","152.429","QUEBRADA SISVACA","M. SAN EDUARDO Y PAEZ","MUNICIPIO CHAMEZA","M. RONDON Y ZETAQUIRA","Rural","Sin Informacion de Barrios","Alejandria- Alpes-  Brisas de Tonce-  Cardoso-  Corales-  Jordan Alto-  Jordan Bajo-  La Esperanza-  Magavita Centro-  Morgui-  Palmar-  Providencia"
"340","5","ANTIOQUIA","5042","SANTAFE DE ANTIOQUIA","570","57.05","CL 20","CL 7","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"225","5","ANTIOQUIA","5400","LA UNION","550","55.02","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Cabecera Municipal- La Almeria-  La Concha-  Quebrada Negra-  Vallejuelito"
"861","15","BOYACA","15798","TENZA","1.532","153.207","MPIO. LA CAPILLA Y PACHAVITA","MUNICIPIO SUTATENZA","MUNICIPIO GARAGOA","M. LA CAPILLA- TIBIRITA Y GUATEQUE","Rural","Sin Informacion de Barrios","Sin Informacion de Veredas"
"786","15","BOYACA","15464","MONGUA","1.52","152.001","CL 8","LIMITE URBANO","LIMITE URBANO","KR 7","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.681","63","QUINDIO","63272","FILANDIA","6.34","634.001","LIMITE URBANO","KR 1","CL 11B","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.935","41","HUILA","41676","SANTA MARIA","4.12","412.02","KR 9","KR 1","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"176","5","ANTIOQUIA","5667","SAN RAFAEL","538","53.838","MUNICIPIO SAN ROQUE","MUNICIPIO SAN CARLOS","MUNICIPIO SAN ROQUE","MUNICIPIO ALEJANDRIA","Rural","Sin Informacion de Barrios","Agua Bonita- El Chico-  El Diamante-  El Golgota-  La Florida-  La Iraca-  Las Divisas-  Las Flores-  Santa Cruz"
"752","15","BOYACA","15673","SAN MATEO","1.512","151.201","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"271","5","ANTIOQUIA","5030","AMAGA","558","55.84","LIMITE URBANO","LIMITE URBANO","KR 54B","KR 54 E","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"103","5","ANTIOQUIA","5819","TOLEDO","520","52.05","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"338","5","ANTIOQUIA","5306","GIRALDO","570","57.04","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.814","68","SANTANDER","68160","CEPITA","6.82","682.061","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.607","54","NORTE DE SANTANDER","54109","BUCARASICA","5.455","545.557","QDA. AGUABLANCA Y M. SARDINATA","MPIO. VILLA CARO Y LOURDES","MUNICIPIO SARDINATA","Q/DA. AGUABLANCA Y M. VILLA CARO","Rural","Sin Informacion de Barrios","El Alto- Nuevo Mundo-  Provincia-  San Juana-  San Pablo-  Santa Rita-  Santa Rita"
"2.63","54","NORTE DE SANTANDER","54670","SAN CALIXTO","5.47","547.01","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"430","8","ATLANTICO","8433","MALAMBO","830","83.027","MUNICIPIO SOLEDAD","M. SABANAGRANDE","M. SITIONUEVO","NO SE ENCONTRO NINGUN LIMITE PARA ESTE COSTADO","Rural","Malambito","Sin Informacion de Veredas"
"1.772","25","CUNDINAMARCA","25148","CAPARRAPI","2.534","253.46","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.939","68","SANTANDER","68720","SANTA HELENA DEL OPON","6.855","685.501","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.805","68","SANTANDER","68468","MOLAGAVITA","6.82","682.031","CL 1","CL 8","KR 1","KR 7","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.875","68","SANTANDER","68533","PARAMO","6.835","683.528","QUEBRADA GUAYANA","MUNICIPIO CHARALA","M. OCAMONTE Y VALLE DE SAN JOSE","MPIO. CONFINES Y SOCORRO","Rural","Sin Informacion de Barrios","Pedregal Arriba"
"2.151","47","MAGDALENA","47161","CERRO SAN ANTONIO","4.76","476.02","CL 0","CL 10","KR 12","KR 0","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.046","17","CALDAS","17873","VILLAMARIA","1.76","176.001","LIMITE URBANO","LIMITE URBANO","KR 0","LIMITE URBANO","Urbano","Sin Informacion de Barrios","La Floresta"
"1.573","25","CUNDINAMARCA","25407","LENGUAZAQUE","2.506","250.601","CL 8","CL 3 S","KR 2 S","KR 7","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.908","68","SANTANDER","68296","GALAN","6.84","684.051","CL 10","CL 2","KR 2","KR 11","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"659","13","BOLIVAR","13810","TIQUISIO","1.34","134.04","CL 3","LIMITE URBANO","KR 16","KR 1","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"873","15","BOYACA","15172","CHINAVITA","1.532","153.287","NORTE TIBANA","MUNICIPIO GARAGOA","M. RAMIRIQUI Y ZETAQUIRA","M. UMBITA Y PACHAVITA","Rural","Sin Informacion de Barrios","Chiguata- Guayabal-  Quichatoque-  Uvero-  Uvero"
"335","5","ANTIOQUIA","5113","BURITICA","570","57.03","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"3.129","73","TOLIMA","73870","VILLAHERMOSA","7.315","731.501","CL 1","CL 14","KR 0","A CASABLANCA","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"881","15","BOYACA","15879","VIRACACHA","1.534","153.45","CL 7","LIMITE URBANO","KR 1","KR 9","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"595","13","BOLIVAR","13140","CALAMAR","1.315","131.547","MUNICIPIO SAN CRISTOBAL","M. ARROYOHONDO Y VIA SATO-SUAN","M. SANTA LUCIA Y SUAN","M. ARROYOHONDO Y SOPLAVIENTO","Rural","Sin Informacion de Barrios","Sin Informacion de Veredas"
"3.51","86","PUTUMAYO","86219","COLON","8.61","861.04","KR 1","KR 15","CL 1","CL 7A","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.842","27","CHOCO","27600","RIO QUITO","2.72","272.05","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.983","41","HUILA","41791","TARQUI","4.16","416.001","CL 7","CL 5 S","KR 2 E","KR 13","Urbano","Sin Informacion de Barrios","LLANO DEL HATO- SAN JOAQUIN"
"2.933","68","SANTANDER","68773","SUCRE","6.85","685.041","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"3.567","91","AMAZONAS","91669","PUERTO SANTANDER","9.15","915.01","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.532","25","CUNDINAMARCA","25754","SOACHA","2.5","250.051","AK TERRER-TV 13D-KR 77G","TV  7  Y  KR 7","AU SUR","LIMITE URBANO","Urbano","Acuaparque Altanare- Alameda del Pinar- Altos de Camilo Torres- Altos de Portalegre- Altos del Bosque I- Altos del Bosque II- Altos del Bosque III- Altos del Pinar I- Altos del Pinar II- Altos del Pinar III- Altos del Pinar IV- Altos del Sacromonte- Bochi","Sin Informacion de Veredas"
"724","15","BOYACA","15092","BETEITIVA","1.506","150.61","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","KR 5","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.637","54","NORTE DE SANTANDER","54206","CONVENCION","5.47","547.05","KR 20B","KR 1","CL 1","CL 11","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"607","13","BOLIVAR","13894","ZAMBRANO","1.32","132.047","M. SAN JUAN NEPOMUCENO","MUNICIPIO CORDOBA","MPIO. PLATO Y TENERIFE","M. SAN JACINTO Y EL CARMEN DE B.","Rural","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.11","18","CAQUETA","18756","SOLANO","1.84","184.01","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"416","8","ATLANTICO","8558","POLONUEVO","820","82.04","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Alfonso Lopez- Almendros- Arenosa- Avianca- Camilo Torres- Centro- El Camen- El Porvenir- El Pradito- La Loma- La Victoria- Miraflores- Plaza- Tamarindo","Sin Informacion de Veredas"
"1.783","25","CUNDINAMARCA","25491","NOCAIMA","2.536","253.62","CL 12","CL 1","KR 1","KR 9","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.494","23","CORDOBA","23682","SAN JOSE DE URE","2.34","234.01","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.736","25","CUNDINAMARCA","25040","ANOLAIMA","2.53","253.04","CL 3B","DG 6A","KR 14","KR 0","Urbano","Sin Informacion de Barrios","CALNDAIMA- CORAMA-  LA ESMERALDA-  LA LAGUNA-  LA MARIA-  SAN CAYETANO-  SAN ISIDRO-  SAN JUANITO"
"916","15","BOYACA","15407","VILLA DE LEYVA","1.54","154.001","KR 14","KR 3","CL 19A","CL 2","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"405","8","ATLANTICO","8832","TUBARA","810","81.028","MUNICIPIO PUERTO COLOMBIOA","MUNICIPIO  JUAN DE ACOSTA","VIA TUBARA - BARRANQUILLA","MAR CARIBE","Rural","Sin Informacion de Barrios","Sin Informacion de Veredas"
"449","8","ATLANTICO","8638","SABANALARGA","850","85.001","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.031","44","LA GUAJIRA","44001","RIOHACHA","4.4","440.003","CL 40","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.073","44","LA GUAJIRA","44279","FONSECA","4.44","444.01","CL 2","CL 29","KR 1","KR 28","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.485","23","CORDOBA","23350","LA APARTADA","2.335","233.501","CL 43","CL 16","KR 20","KR 9","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"580","13","BOLIVAR","13052","ARJONA","1.31","131.028","VIA B/QUILLA-SINCELEJO","MUNICIPIO MARIA LA BAJA","MUNICIPIO MAHATES","VIA ARJONA - CORREA","Rural","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.294","19","CAUCA","19450","MERCADERES","1.95","195.06","CL 2N","CL 18","KR 5","KR 6","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"398","8","ATLANTICO","8001","BARRANQUILLA","800","80.016","KR  38","KR  13","CL  68","CL  83","Urbano","Carlos Meisel- El Silencio- La Esmeralda- La Florida- La Libertad- Las Colinas- Las Terrazas- Me Quejo- Mercedes Sur- Nueva Colombia- Olaya- San Felipe- Villa Rosario","Sin Informacion de Veredas"
"326","5","ANTIOQUIA","5093","BETULIA","568","56.86","LIMITE URBANO","LIMITE URBANO","KR 17","KR 24A","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"981","15","BOYACA","15507","OTANCHE","1.55","155.06","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Centro- Danubio- El Carmen- Porvenir","Sin Informacion de Veredas"
"3.207","73","TOLIMA","73236","DOLORES","7.345","734.54","KR 11","KR 2","CL 4 E","CL 19","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.887","68","SANTANDER","68344","HATO","6.835","683.571","CL 12","CL 0","KR 1","KR 11","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"90","5","ANTIOQUIA","5686","SANTA ROSA DE OSOS","518","51.86","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"3.141","73","TOLIMA","73520","PALOCABILDO","7.315","731.58","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.898","68","SANTANDER","68872","VILLANUEVA","6.84","684.021","CL 20","DG 1","KR 8","TV 17B","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.678","25","CUNDINAMARCA","25290","FUSAGASUGA","2.522","252.212","C 19-T-12-C11Y10","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","BETHEL- LA VENTA-  MOSQUERA"
"756","15","BOYACA","15248","EL ESPINO","1.512","151.24","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"141","5","ANTIOQUIA","5040","ANORI","528","52.85","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"334","5","ANTIOQUIA","5628","SABANALARGA","570","57.028","QUEBRADA NIQUIA","MUNICIPIO LIBORINA","MUNICIPIO SAN ANDRES DE CUERQUIA","MUNICIPIO BURITICA","Rural","Sin Informacion de Barrios","Barbacoas- Cabecera Municipal-  El Clavel-  El Encanto-  El Madero-  La Ceja-  La Ermita-  La Fragua-  La Travesia-  Machado-  Mal Paso_Buenos Aires-  Membrillal-  Niquia-  San Cristobal_pena-  San Pedro-  Tesorero-  Tesorito"
"174","5","ANTIOQUIA","5667","SAN RAFAEL","538","53.83","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.061","17","CALDAS","17616","RISARALDA","1.77","177.06","CL 20A","CL 6 S","KR 0","KR 8","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.179","47","MAGDALENA","47980","ZONA BANANERA","4.78","478.02","CL 1","CL 7","KR 20","LIMITE URBANO","Urbano","BARRIO ARRIBA- BARRIO EL PARQUE- BARRIO EL RIO- BARRIO GABRIELA- BARRIO LA BAMBONERA- BARRIO LA BOMBONERA- BARRIO LA CENTRAL- BARRIO LA ESCOBILLA- BARRIO LOS CACHACOS- BARRIO RABO LARGO- BARRIO SAN TROPEL","Sin Informacion de Veredas"
"143","5","ANTIOQUIA","5885","YALI","530","53.01","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"3.282","76","VALLE DEL CAUCA","76892","YUMBO","7.605","760.507","VIA YUMBO  - LA CUMBRE","MUNICIPIO CALI","LIMITE URBANO","MUNICIPIO LA CUMBRE","Rural","Sin Informacion de Barrios","La Buitrera- Medio Dapa-  Miravalle Dapa-  Pilas de Dapa"
"3.342","76","VALLE DEL CAUCA","76497","OBANDO","7.625","762.501","VIA FERROCARRIL","LIMITE URBANO","LIMITE URBANO","KR 7","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"3.448","85","CASANARE","85225","NUNCHIA","8.51","851.07","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Casco Urbano- Moralito-  Palmita"
"411","8","ATLANTICO","8296","GALAPA","820","82.001","KR 31","KR 9","LIMITE URBANO","CL 27A","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"355","5","ANTIOQUIA","5842","URAMITA","574","57.44","KR 24","KR 9","CL 28","CL 19","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"443","8","ATLANTICO","8137","CAMPO DE LA CRUZ","840","84.04","CL 5 N","CL 20","KR 1","KR 17A","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"3.149","73","TOLIMA","73349","HONDA","7.32","732.04","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"158","5","ANTIOQUIA","5579","PUERTO BERRIO","534","53.42","LIMITE URBANO","LIMITE URBANO","RIO MAGDALENA","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"732","15","BOYACA","15537","PAZ DE RIO","1.506","150.68","CL 11","CL 1","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.972","68","SANTANDER","68689","SAN VICENTE DE CHUCURI","6.865","686.531","KR 31","LIMITE URBANO","CL 1","LIMITE URBANO","Urbano","Sin Informacion de Barrios","CASCO URBANO- EL CENTRO"
"1.864","27","CHOCO","27745","SIPI","2.74","274.05","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"234","5","ANTIOQUIA","5679","SANTA BARBARA","550","55.05","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","San Jose"
"1.003","17","CALDAS","17272","FILADELFIA","1.71","171.02","KR 11","KR 1","CL 11","CL 1","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"696","15","BOYACA","15500","OICATA","1.502","150.22","CL 7","CL 0","KR 0","KR 6","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"3.563","91","AMAZONAS","91530","PUERTO ALEGRIA","9.13","913.05","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"728","15","BOYACA","15087","BELEN","1.506","150.64","CL 12","CL 1","LIMITE URBANO","KR 11","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.248","19","CAUCA","19622","ROSAS","1.935","193.55","KR 8","KR 1","CL 9","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"911","15","BOYACA","15808","TINJACA","1.538","153.847","M. SABOYA Y SUTAMARCHAN","M. SAN MIGUEL DE SEMA Y RAQUIRA","M. SUTAMARCHAN Y RAQUIRA","M. CHIQUINQUI. Y SAN MIGUEL DE SE.","Rural","Sin Informacion de Barrios","Sin Informacion de Veredas"
"3.311","76","VALLE DEL CAUCA","76246","EL CAIRO","7.615","761.501","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.796","68","SANTANDER","68669","SAN ANDRES","6.82","682.001","AL TRAPICHE","LIMITE URBANO","KR 1A","TV 7","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.236","19","CAUCA","19585","PURACE","1.93","193.001","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.8","25","CUNDINAMARCA","25885","YACOPI","2.538","253.84","CL 17","CL 1","KR 1","KR 8","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.672","25","CUNDINAMARCA","25120","CABRERA","2.52","252.04","DG 10","CL 2 S","KR 0","KR 4","Urbano","Sin Informacion de Barrios","ALTO ARIARI- SANTA LUCIA-  SANTA RITA"
"3.098","73","TOLIMA","73001","IBAGUE","7.3","730.006","KR 5","KR 1- CL 32 Y LIMITE URBANO","CL 60","CL 6 Y KR 1","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.88","27","CHOCO","27075","BAHIA SOLANO","2.76","276.03","CL 1","CL 10","LIMITE URBANO","KR 0","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.271","19","CAUCA","19022","ALMAGUER","1.94","194.08","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.581","25","CUNDINAMARCA","25779","SUSA","2.506","250.63","CL 18","LIMITE URBANO","KR 2 S","KR 6A","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"780","15","BOYACA","15550","PISBA","1.518","151.801","LIMITE URBANO","CL 4","LIMITE URBANO","KR 4","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.672","63","QUINDIO","63548","PIJAO","6.32","632.06","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","KR 7","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.864","68","SANTANDER","68245","EL GUACAMAYO","6.83","683.061","CL 7","CL 1","KR 1","KR 8","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"665","13","BOLIVAR","13458","MONTECRISTO","1.34","134.07","CL 10","CL 1","KR 13A","KR 0","Urbano","Sin Informacion de Barrios","Cabecera Municipal- Montecristo"
"2.191","50","META","50001","VILLAVICENCIO","5","500.003","CL  35","KR 22 Y RIO OCOA","LIMITE URBANO","AK CIRCUNVALAR","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.944","41","HUILA","41615","RIVERA","4.13","413.001","LIMITE URBANO","CL 4 S","LIMITE URBANO","KR 14 A","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"3.054","70","SUCRE","70265","GUARANDA","7.03","703.07","LIMITE URBANO","LIMITE URBANO","KR 2","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.952","68","SANTANDER","68861","VELEZ","6.855","685.561","CL 13B","CL 2 SUR","LIMITE  URBANO","KR 9","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"1.603","25","CUNDINAMARCA","25295","GACHANCIPA","2.51","251.02","CL 15","CL 7 S","KR 1","KR 9","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"850","15","BOYACA","15022","ALMEIDA","1.53","153.02","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","LIMITE URBANO","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
"2.786","68","SANTANDER","68425","MACARAVITA","6.815","681.531","KR 1","KR 6","LIMITE URBANO","CL 7","Urbano","Sin Informacion de Barrios","Sin Informacion de Veredas"
