"entity_name","fiscal_year","governmental_funds_net_opeb","governmental_funds_net_opeb_1","enterprise_funds_net_opeb","enterprise_funds_net_opeb_1","intenal_service_funds_net","intenal_service_funds_net_1","fiduciary_funds_net_opeb","fiduciary_funds_net_opeb_1","total_net_pension_asset","total_net_pension_liability"
"Sutter","2019",,"14460493",,,,"365712",,,"0","14826205"
"Tehama","2019",,"1244450",,,,"8395",,,"0","1252845"
"Trinity","2019",,"60951024",,"5817787",,,,,"0","66768811"
"Tulare","2019",,"18142000",,"182000",,"1188000",,,"0","19512000"
"Tuolumne","2019",,"30655029",,"191619",,,,,"0","30846648"
"Ventura","2019","1647411","98186332",,,,,,,"1647411","98186332"
"Yolo","2019",,"66960790",,"1226286",,,,,"0","68187076"
"Yuba","2019",,,,,,,,,"0","0"
"Alameda","2018",,"1487570098",,,,"73821553",,,"0","1561391651"
"Alpine","2018",,"11724223",,,,,,,"0","11724223"
"Amador","2018",,,,,,,,,"0","0"
"Butte","2018",,"232406712",,"1543488",,,,,"0","233950200"
"Calaveras","2018",,"64777187",,"369543",,,,,"0","65146730"
"Colusa","2018",,"70664012",,"1418520",,,,,"0","72082532"
"Contra Costa","2018",,"452419502",,"161303745",,"845244",,,"0","614568491"
"Del Norte","2018",,"42015820",,,,,,,"0","42015820"
"El Dorado","2018",,"345165615",,,,,,,"0","345165615"
"Fresno","2018",,"1202255000",,"9317000",,"58921000",,,"0","1270493000"
"Glenn","2018",,"72309148",,"885511",,,,,"0","73194659"
"Humboldt","2018",,"61701791",,"1243907",,,,,"0","62945698"
"Imperial","2018",,"126145494",,"152277",,"1856591",,"653,166","0","128807528"
"Inyo","2018",,"69892218",,"2801825",,"251770",,"540,971","0","73486784"
"Kern","2018",,"1796871349",,"28582035",,"2014591",,"2,521,949","0","1829989924"
"Kings","2018",,"157323058",,,,"10770177",,,"0","168093235"
"Lake","2018",,"87581781",,,,,,,"0","87581781"
"Lassen","2018",,"39651063",,,,"556636",,,"0","40207699"
"Los Angeles","2018",,"8879131000",,"1628234000",,"342566000",,,"0","10849931000"
"Madera","2018",,"182730070",,,,"695861",,,"0","183425931"
"Marin","2018",,"207841379",,,,,,,"0","207841379"
"Mariposa","2018",,"46260045",,"1716213",,"774330",,,"0","48750588"
"Mendocino","2018",,"186099824",,,,,,,"0","186099824"
"Merced","2018",,"448737725",,"1637349",,"12247273",,,"0","462622347"
"Modoc","2018",,"25399177",,"254570",,,,,"0","25653747"
"Mono","2018",,"50755678",,"957935",,"130927",,,"0","51844540"
"Monterey","2018",,"511328793",,"132723673",,,,,"0","644052466"
"Napa","2018",,"222477554",,"1724786",,"15030861",,,"0","239233201"
"Nevada","2018",,"147257523",,"3488386",,"1929223",,,"0","152675132"
"Orange","2018",,"3769504505",,"85716631",,"37768532",,,"0","3892989668"
"Placer","2018",,"514743000",,"505605",,"56272716",,,"0","571521321"
"Plumas","2018",,"44015642",,"118366",,,,,"0","44134008"
"Riverside","2018",,"2610047445",,"419546402",,"157679239",,,"0","3187273086"
"Sacramento","2018",,"1668028000",,"74619000",,"107124000",,,"0","1849771000"
"San Benito","2018",,"58835133",,"155206",,,,,"0","58990339"
"San Bernardino","2018",,"1688943186",,"239349000",,"46971983",,,"0","1975264169"
"San Diego","2018",,"3313468000",,"15258000",,"76731000",,,"0","3405457000"
"San Joaquin","2018",,"1160178078",,"311863380",,"9904403",,,"0","1481945861"
"San Luis Obispo","2018",,"476838230",,"5301694",,"46892827",,,"0","529032751"
"San Mateo","2018",,"444257438",,"100242300",,"1728436",,,"0","546228174"
"Santa Barbara","2018",,"733086140",,"12547825",,"12766456",,,"0","758400421"
"Santa Clara","2018",,"2796555090",,"1332971000",,,,,"0","4129526090"
"Santa Cruz","2018",,"411776664",,,,"50990312",,,"0","462766976"
"Shasta","2018",,"231874426",,,,,,,"0","231874426"
"Sierra","2018",,"19754799",,"84297",,,,,"0","19839096"
"Siskiyou","2018",,"77301069",,"624769",,"669287",,,"0","78595125"
"Solano","2018",,"519697544",,"509844",,"11669096",,,"0","531876484"
"Sonoma","2018",,,,"3183000",,"131955000",,,"0","135138000"
"Stanislaus","2018",,"543755616",,"22151889",,"12159216",,,"0","578066721"
"Sutter","2018",,"147050616",,,,"3614856",,,"0","150665472"
"Tehama","2018",,"91528078",,,,"715010",,,"0","92243088"
"Trinity","2018",,"52286206",,"3640313",,,,,"0","55926519"
"Tulare","2018",,"423068485",,"3291543",,"24226648",,"2,290,466","0","452877142"
"Tuolumne","2018",,"101857870",,"1775163",,,,,"0","103633033"
"Ventura","2018",,"229376642",,"76135215",,"42825166",,,"0","348337023"
"Yolo","2018",,"285646557",,"4606919",,,,,"0","290253476"
"Yuba","2018",,"141226349",,,,,,,"0","141226349"
