"employer_name","fiscal_year","category","actuarial_liabilities","market_value_of_assets","unfunded_liabilities","current_year","prior_year_1","prior_year_2","prior_year_3","employer_code"
"Burbank, City of","2020","4","331438074","229547523","101890550","69.3","68.9","70.2","68.6","2580244717"
"Burbank, City of","2020","3","252994690","190925483","62069206","75.5","75","76.5","74.6","2580244717"
"Burbank, City of","2020","1","945002583","711587696","233414886","75.3","75","76","73.4","2580244717"
"Burlingame, City of","2020","1","159084357","114727247","44357109","72.1","72.6","73.7","71.8","1429123533"
"Butte, County of","2020","1","802322822","571262903","231059918","71.2","71.4","73.8","72.5","7607918484"
"Butte, County of","2020","2","233660741","162531577","71129163","69.6","69.3","71.1","69.4","7607918484"
"Calaveras, County of","2020","1","197786398","138299931","59486466","69.9","70","71.2","69.5","1957548103"
"Cal Poly Corporation","2020","1","88874143","65111827","23762315","73.3","73.4","75.3","74.3","5301694017"
"Camarillo, City of","2020","1","118974480","87870142","31104337","73.9","73","73.2","69.3","4455599675"
"Campbell, City of","2020","1","118697143","85583005","33114137","72.1","72.2","73.7","71.1","2284247568"
"Carlsbad, City of","2020","1","410200348","322146602","88053745","78.5","76.5","74.3","69.9","3747905882"
"Carlsbad, City of","2020","2","324351564","243980037","80371526","75.2","71.4","72.4","69.3","3747905882"
"Carson, City of","2020","1","309143901","200573996","108569904","64.9","64.8","65.4","63","1835910357"
"Central Contra Costa Transit Authority","2020","1","104866557","93584576","11281980","89.2","89.8","91.5","88.9","2146548042"
"Central Valley Regional Center, Inc.","2020","1","141928690","122238219","19690470","86.1","86.6","90.1","93.2","5271394619"
"Cerritos, City of","2020","1","254155158","179310349","74844808","70.6","70.6","72.2","69.1","3202987374"
"Chico, City of","2020","1","198341004","130821690","67519313","66","65.2","65.8","63.9","6818749730"
"Chico, City of","2020","2","239346107","161681443","77664663","67.6","67.6","68.8","66.5","6818749730"
"Chino, City of","2020","1","195605084","179730815","15874268","91.9","92.2","73.4","72.1","6931700878"
"Chula Vista, City of","2020","2","553733020","389966130","163766889","70.4","69.6","71","69.3","4698580102"
"Chula Vista, City of","2020","1","583905485","393407213","190498271","67.4","67.1","67.4","64","4698580102"
"Claremont, City of","2020","1","104863600","72150921","32712678","68.8","66.9","68.5","65.5","2072700019"
"Clovis, City of","2020","1","223920056","155243061","68676994","69.3","69","70.3","68.5","1662820276"
"Clovis, City of","2020","2","238311454","147936715","90374738","62.1","62.5","64.1","62.4","1662820276"
"Coachella Valley Water District","2020","1","436250602","301378135","134872466","69.1","63.9","64.7","62.3","2760458496"
"Coastal Developmental Services Fdn Dba Westside Regional Center","2020","1","75295772","61955001","13340770","82.3","81.1","82.5","84.5","7433675132"
"Colton, City of","2020","1","159671169","111481399","48189769","69.8","69.5","71.6","70.4","1959058023"
"Colusa, County of","2020","1","173423130","104217063","69206066","60.1","60","61.2","60.1","6882588749"
"Commerce, City of","2020","1","120070671","85929612","34141058","71.6","71.2","72.9","71.5","1958786993"
"Compton, City of","2020","1","225301696","144898002","80403693","64.3","64","65","62.4","1001685032"
"Concord, City of","2020","2","299348157","183774417","115573739","61.4","61.3","63","63","7341818712"
"Concord, City of","2020","1","242079712","154132504","87947207","63.7","63.3","64.5","63.5","7341818712"
"Conejo Recreation and Park District","2020","1","70230050","54106402","16123647","77","77.3","78.3","76.6","2176990821"
"Cooperative Personnel Services","2020","1","65734937","59736727","5998209","90.9","90","92.9","91.7","3920146584"
"Corona, City of","2020","4","276409243","177824058","98585184","64.3","63.8","64.9","62.9","1307714161"
"Corona, City of","2020","1","377392462","256203189","121189272","67.9","65.4","62.7","60.1","1307714161"
"Coronado, City of","2020","1","112821239","88341302","24479936","78.3","77.5","78.6","75.9","1057970246"
"Costa Mesa, City of","2020","1","298160177","193257654","104902522","64.8","64.5","65.8","63","5937664258"
"Costa Mesa, City of","2020","4","317321957","188873128","128448828","59.5","58.7","58.7","56.8","5937664258"
"Cosumnes Community Services District","2020","1","58741024","43650065","15090958","74.3","74.1","77.6","80","6941382455"
"Cosumnes Community Services District","2020","2","212249911","142330303","69919607","67.1","66.7","68.9","67","6941382455"
"Covina, City of","2020","1","97676066","66081543","31594522","67.7","67.6","69.9","68.6","6374196181"
"Cucamonga Valley Water District","2020","1","96356613","69316077","27040535","71.9","70.3","71.4","68.1","7516476876"
"Culver City, City of","2020","2","419366995","258913097","160453897","61.7","61.9","63","61.6","5061097655"
"Culver City, City of","2020","1","327520152","224616598","102903553","68.6","67.8","69.4","67","5061097655"
"Cupertino, City of","2020","1","148525073","99363108","49161964","66.9","66.3","68.1","65.8","5045997158"
"Daly City, City of","2020","1","338885650","261801363","77084286","77.3","77.2","78.4","75.7","6727554025"
"Daly City, City of","2020","2","358906687","247780480","111126206","69","69.8","72.4","70.9","6727554025"
"Davis, City of","2020","1","234246442","149539599","84706842","63.8","64.4","65.5","63.7","6213369926"
"Del Norte, County of","2020","1","140974957","96671989","44302967","68.6","68.2","70.2","68.4","2628696052"
"Downey, City of","2020","2","433379631","287912279","145467351","66.4","66.5","67.8","66.7","1504613451"
"Downey, City of","2020","1","207485075","142335588","65149486","68.6","68.4","69.1","67.4","1504613451"
"East Bay Regional Park District","2020","1","361809012","253241078","108567933","70","69.6","70.7","67.6","7703330070"
"Eastern Municipal Water District","2020","1","488028638","333782932","154245705","68.4","68.4","69.6","67.7","4327726225"
"El Cajon, City of","2020","2","339193406","210268696","128924709","62","61.5","62.5","61.3","3551608662"
"El Cajon, City of","2020","1","239685601","161538723","78146877","67.4","66.9","68.2","65.8","3551608662"
"El Centro, City of","2020","1","85164395","66484034","18680360","78.1","78.6","79.6","77.7","5941230462"
"El Dorado, County of","2020","2","404679619","249609835","155069783","61.7","62","62.8","61.4","4797218318"
"El Dorado, County of","2020","1","792202543","545148007","247054535","68.8","68.1","69.4","67.1","4797218318"
"El Dorado Irrigation District","2020","1","178308751","109569532","68739218","61.4","61.2","61.8","60.1","1495331615"
"El Monte, City of","2020","2","335418963","245661284","89757678","73.2","72.8","72.6","69.8","6241013965"
"El Monte, City of","2020","1","168820631","123422571","45398059","73.1","72.7","72.9","69.4","6241013965"
"El Segundo, City of","2020","1","122659578","88083193","34576384","71.8","71.3","71.4","69.7","2657082556"
"Encinitas, City of","2020","1","117505338","90341562","27163775","76.9","76.1","76.3","73","7856446300"
"Escondido, City of","2020","1","452750724","308375654","144375069","68.1","67.7","68.5","65.8","1545398590"
"Escondido, City of","2020","2","425081065","299017755","126063309","70.3","69.9","70.8","68.6","1545398590"
"Eureka, City of","2020","1","109922578","68697875","41224702","62.5","63.2","64.2","62.7","3720044028"
"Fairfield, City of","2020","2","332321199","237431031","94890167","71.4","68.5","70.9","69.7","1879515394"
"Fairfield, City of","2020","1","349529828","243488599","106041228","69.7","70","71.4","70","1879515394"
"Far Northern Coordinating Council on Developmental Disabilities","2020","1","61636009","50464940","11171068","81.9","80.7","80.7","82.8","1548890922"
"Folsom, City of","2020","2","212094873","132270627","79824245","62.4","61.7","62.2","61.2","5310946449"
"Folsom, City of","2020","1","240485827","155173990","85311836","64.5","64","65.1","64.8","5310946449"
"Fontana, City of","2020","2","293427471","178353600","115073870","60.8","61.2","62.6","60.7","1650909259"
"Fontana, City of","2020","1","226342282","162956072","63386209","72","71.5","73.8","71.4","1650909259"
"Foster City, City of","2020","1","125439376","86023760","39415615","68.6","69","0","0","1673139670"
"Fremont, City of","2020","1","540268904","395176909","145091994","73.1","72.3","72.4","69.1","2378859287"
"Fremont, City of","2020","2","744318842","470325896","273992945","63.2","63.1","64.4","63.1","2378859287"
"Fresno City Housing Authority","2020","1","42453353","32230868","10222484","75.9","76.7","79.9","79.6","3809879183"
"Fresno County Housing Authority","2020","1","37829762","27620773","10208988","73","73.1","77","76.4","7736774172"
"Fullerton, City of","2020","2","520239904","332193720","188046183","63.9","64.3","65.2","64","3608564961"
"Fullerton, City of","2020","1","307714566","229179810","78534755","74.5","74.7","75.5","73.7","3608564961"
"Galt, City of","2020","1","48868056","34332191","14535864","70.3","70.7","71.5","69.9","6038671520"
"Gardena, City of","2020","1","176818258","129519026","47299231","73.2","73.2","75.9","74.5","4916209368"
"Garden Grove, City of","2020","1","339022359","234901507","104120851","69.3","69","70.1","67.1","4553365413"
"Garden Grove, City of","2020","2","565114729","359902546","205212182","63.7","63.8","65","63.1","4553365413"
"Gilroy, City of","2020","2","174930150","120173371","54756778","68.7","68.1","68.2","66","2484813561"
"Gilroy, City of","2020","1","118979998","81890179","37089818","68.8","68.8","71.1","69.7","2484813561"
"Glendale, City of","2020","1","1205382912","874028084","331354827","72.5","72.5","73.9","72.1","7588227145"
"Glendale, City of","2020","2","912537639","599136630","313401008","65.7","65.8","66.8","64.9","7588227145"
"Glendora, City of","2020","1","113167342","80553083","32614258","71.2","72.1","73","71.3","3884368391"
"Glenn, County of","2020","1","200901218","123728735","77172482","61.6","61.2","63.4","62.5","3880586994"
"Gold Coast Transit","2020","1","60905203","46267232","14637970","76","75.7","77.1","74.5","3767894911"
"Golden Gate Bridge Highway and Transportation District","2020","1","450826616","325942347","124884268","72.3","71.7","71.5","68.2","3087042275"
"Hanford, City of","2020","1","111666955","86057101","25609853","77.1","75.5","75.4","70.5","5052486602"
"Hawthorne, City of","2020","1","206381842","151074272","55307569","73.2","73.2","73.8","71.6","2458670034"
"Hayward Area Recreation and Park District","2020","1","87434656","59089003","28345652","67.6","67.7","69.4","66.5","2890833478"
"Hayward, City of","2020","4","423467879","254645553","168822325","60.1","60","61.3","59.2","4829348799"
"Hayward, City of","2020","1","489720049","317392666","172327382","64.8","64.5","65.9","64.2","4829348799"
"Hayward, City of","2020","3","319414980","193654186","125760793","60.6","61.1","62.1","61.2","4829348799"
"Helix Water District","2020","1","143335341","99974262","43361078","69.7","66.6","68.1","65.8","6878685786"
"Hemet, City of","2020","1","128837289","91613946","37223342","71.1","70.3","71.2","68.1","7650881726"
"Hemet, City of","2020","2","193857134","121201534","72655599","62.5","62.2","63.8","62.4","7650881726"
"Housing Authority of the City of Los Angeles","2020","1","540529720","364286813","176242906","67.4","66.6","67.4","65.5","5696253163"
"Housing Authority of the County of Kern","2020","1","42057269","31272792","10784476","74.4","74.8","76.7","76.5","3027364365"
"Humboldt, County of","2020","1","813708901","555820284","257888616","68.3","68.1","68.6","67.2","6432279447"
"Humboldt, County of","2020","2","237247097","163946166","73300930","69.1","69.1","70.3","69.1","6432279447"
"Huntington Beach, City of","2020","2","791606900","518801761","272805138","65.5","64.8","65.4","63.5","4840650877"
"Huntington Beach, City of","2020","1","595842161","432653063","163189097","72.6","71.5","71.9","69.4","4840650877"
"Indio, City of","2020","1","102127204","70415643","31711560","68.9","68.2","68.1","64.8","6664227892"
"Inglewood, City of","2020","2","465469617","315198749","150270867","67.7","68","69.1","68.1","3897160905"
"Inglewood, City of","2020","1","447746360","302724797","145021562","67.6","68.6","70.2","69.9","3897160905"
"Inland Counties Regional Center, Inc.","2020","1","222852236","184637407","38214828","82.9","81.7","82.1","81.3","7317840293"
"Inland Empire Health Plan","2020","1","239673934","221857026","17816907","92.6","93.3","97","87.1","7144283175"
"Inland Empire Utilities Agency","2020","1","226523731","181178070","45345660","80","78.2","77.9","73.2","5643527383"
"Inyo, County of","2020","1","205394013","144010290","61383722","70.1","69.5","70.3","68.2","1394497480"
"Irvine, City of","2020","2","309431034","241875318","67555715","78.2","75.5","74.7","72.8","2425341898"
"Irvine, City of","2020","1","446416136","355594774","90821361","79.7","77.3","77.1","73.9","2425341898"
"Irvine Ranch Water District","2020","1","298277979","222934159","75343819","74.7","74.7","75.8","73.4","5161985321"
"Kings, County of","2020","1","420008735","310839221","109169513","74","74.3","76","73.9","2807434242"
"Kings, County of","2020","2","291530160","210903409","80626750","72.3","72.7","74.8","73.7","2807434242"
"Laguna Beach, City of","2020","1","125429338","95033360","30395977","75.8","75","75.3","72","4447311817"
"La Habra, City of","2020","1","124762116","93179136","31582979","74.7","75","75.9","74.1","7337636747"
"Lake, County of","2020","1","270255629","199213125","71042503","73.7","73.5","75","73.1","1550680106"
"Lake, County of","2020","2","107034624","75430361","31604262","70.5","69.5","70.8","69.8","1550680106"
"Lakewood, City of","2020","1","145779962","110410815","35369146","75.7","76.1","78.1","76.5","6892935660"
"La Mesa, City of","2020","2","193771491","127421152","66350338","65.8","66.1","67.7","67.2","5592112687"
"La Mesa, City of","2020","1","119230482","80289323","38941158","67.3","67.2","68.5","67.1","5592112687"
"Lancaster, City of","2020","1","190809279","127352452","63456826","66.7","66.6","67.2","65.1","4498806845"
"Lassen, County of","2020","1","140584279","103286526","37297752","73.5","73.3","75","74","6494736374"
"Las Virgenes Municipal Water District","2020","1","105609578","83736873","21872704","79.3","80.3","81.5","77.1","7263774238"
"Livermore, City of","2020","1","314022313","218740722","95281590","69.7","69.7","71.3","68.5","1440106162"
"Lodi, City of","2020","2","207837399","123051225","84786173","59.2","58.6","59.8","58.3","6448562990"
"Lodi, City of","2020","1","207262408","143558757","63703650","69.3","69","70","68.4","6448562990"
"Lompoc, City of","2020","1","208131631","145781149","62350481","70","70.1","71.4","70","6552736085"
"Long Beach, City of","2020","1","2770769845","2105967212","664802632","76","75.8","76.4","73.4","5919361285"
"Long Beach, City of","2020","2","2673258552","2127317298","545941253","79.6","79.5","80.7","78.6","5919361285"
"Los Angeles County Development Authority","2020","1","289578980","240721602","48857377","83.1","84.1","86.5","83.9","6656908071"
"Los Angeles County Office of Education","2020","1","1070479589","798282458","272197130","74.6","74.3","75.7","73.7","1803111608"
"Los Angeles County Sanitation District No. 2","2020","1","1857488835","1419317531","438171303","76.4","76.4","77.5","74.8","5819694434"
"Los Angeles Unified School District","2020","2","438652239","320688115","117964123","73.1","72.7","72.2","68.9","3614620780"
"Los Gatos, Town of","2020","1","112050553","76137860","35912692","67.9","68.4","69.6","68.2","4589482285"
"Lynwood, City of","2020","1","108448698","74444763","34003934","68.6","72.2","73.1","68.9","2212002669"
"Madera, City of","2020","1","93904359","63626320","30278038","67.8","66.9","68.3","66.7","3574270028"
"Madera, County of","2020","1","494525054","314428055","180096998","63.6","63.2","63.6","63.4","3386221557"
"Madera, County of","2020","2","167083424","106292453","60790970","63.6","62.6","62.7","61.6","3386221557"
"Manhattan Beach, City of","2020","1","118377736","90121723","28256012","76.1","76.1","78.2","76.2","3161990216"
"Manteca, City of","2020","1","185142897","123963095","61179801","67","66.9","67.5","64","7604626108"
"Marin Municipal Water District","2020","1","273287771","170196145","103091625","62.3","62.3","63.6","61.8","5494247637"
"Mariposa, County of","2020","1","140585149","96812358","43772790","68.9","68.7","69.8","67.6","3760897012"
"Menlo Park, City of","2020","1","145910331","108031509","37878821","74","74.7","76.1","72.8","3956164441"
"Merced, City of","2020","1","162560162","111760592","50799570","68.8","68.9","70.2","68.5","5383836270"
"Merced, City of","2020","2","173382055","126658216","46723838","73.1","73.3","74.7","73.3","5383836270"
"Merced Irrigation District","2020","1","87150145","60022096","27128048","68.9","68.1","68.7","66.1","6334099697"
"Metropolitan Transportation Commission","2020","1","186014121","146655375","39358745","78.8","78.3","79.8","74.6","6361598907"
"Metropolitan Water District of Southern California","2020","1","2534200178","1810200892","723999285","71.4","71.7","72.7","70.3","4104962804"
"Milpitas, City of","2020","1","250398959","171473737","78925221","68.5","68.5","70.1","68.4","2854343611"
"Milpitas, City of","2020","2","369980785","233981518","135999266","63.2","63.1","64.5","62.9","2854343611"
"Mission Viejo, City of","2020","1","95454718","73373614","22081103","76.9","75.6","76.3","72.6","4532062373"
"Modesto, City of","2020","1","490376850","352917081","137459768","72","72.1","73.6","72.1","3490544689"
"Modesto, City of","2020","2","643977077","417636526","226340550","64.9","65","67","65.9","3490544689"
"Modoc, County of","2020","1","86802565","64424140","22378424","74.2","74.8","75.4","74.2","3728589676"
"Mono, County of","2020","1","125519030","86810108","38708922","69.2","68.9","70.2","68.4","6895684493"
"Monrovia, City of","2020","1","135502730","129881951","5620778","95.9","96.9","62.2","60.4","1084903188"
"Montebello, City of","2020","2","267600897","172529486","95071410","64.5","64.3","66.2","64.8","1885224868"
"Montebello, City of","2020","1","204648711","149205267","55443443","72.9","71.9","73.3","71.7","1885224868"
"Monterey, City of","2020","1","281490942","186158824","95332117","66.1","65.9","67.1","65.1","7892495109"
"Monterey, County of","2020","2","746585474","485347112","261238361","65","65.1","66.1","65","6813590383"
"Monterey, County of","2020","1","2060649621","1559410164","501239456","75.7","75.5","77.1","75","6813590383"
"Monterey Park, City of","2020","1","146994150","103674249","43319900","70.5","69.8","70.3","67.5","6309261745"
"Monterey Park, City of","2020","2","227241185","161913577","65327607","71.3","70.2","72","71.3","6309261745"
"Monterey Regional Waste Management District","2020","1","47135436","32869486","14265949","69.7","69.5","70.7","69.1","7676557366"
"Monterey-Salinas Transit District","2020","1","90078762","74641289","15437472","82.9","82.3","82.4","80","7468015141"
"Moreno Valley, City of","2020","1","226950772","148460980","78489791","65.4","64.9","65.9","62.6","4386023325"
"Morgan Hill, City of","2020","1","116248571","84721258","31527312","72.9","71.6","73.1","71.5","3509384723"
"Mountain View, City of","2020","2","390759188","275335094","115424093","70.5","69.4","68.9","66.6","3939681776"
"Mountain View, City of","2020","1","454000114","330548595","123451518","72.8","71.8","70.7","68","3939681776"
"Napa, City of","2020","2","264241590","171572810","92668779","64.9","64.7","65.9","64.3","7098613590"
"Napa, City of","2020","1","269916091","168847361","101068729","62.6","62.7","63.9","62.2","7098613590"
"Napa, County of","2020","1","876731786","638851457","237880328","72.9","72.4","74","71.6","2830167653"
"National City, City of","2020","2","216082113","140634488","75447624","65.1","64.6","65.5","64.4","1867545551"
"National City, City of","2020","1","138928305","99627354","39300950","71.7","71.8","72.5","70.5","1867545551"
"Nevada, County of","2020","1","528408060","336302850","192105209","63.6","63.5","64.6","62.8","1202485018"
"Nevada Irrigation District","2020","1","141485325","88420358","53064966","62.5","62.4","63.3","60.9","5193568792"
"Newark, City of","2020","1","125631345","78501850","47129494","62.5","62.9","63.9","62.6","2387354187"
"Newport Beach, City of","2020","1","442487002","322688376","119798625","72.9","71.4","70.3","67.9","1545983430"
"Newport Beach, City of","2020","2","601593299","395102063","206491235","65.7","63.7","62.8","60.8","1545983430"
"North Bay Regional Center","2020","1","59236944","43086129","16150814","72.7","72.2","72.7","71.8","4393826558"
"North County Transit District","2020","1","146805358","104203410","42601947","71","71.2","72.9","71.6","4409373197"
"Northern California Power Agency","2020","1","174811511","108640898","66170612","62.1","60.2","58.5","54","5023339837"
"North Kern-South Tulare Hospital District","2020","1","17923930","13898663","4025266","77.5","77","79.8","74.5","1201196431"
"North Los Angeles County Regional Center, Inc.","2020","1","123461790","114921950","8539839","93.1","89.7","90","91.9","4996003840"
"North of the River Recreation and Park District","2020","1","13413975","11940747","1473227","89","90.1","92.2","90.2","7226436154"
"Norwalk, City of","2020","1","194914208","136505862","58408345","70","69.7","70.9","68.8","3450669101"
"Novato, City of","2020","1","106982932","81208385","25774546","75.9","76.2","77.7","75.8","6944564299"
"Oakland City Housing Authority","2020","1","140917200","133498474","7418725","94.7","94.9","92.9","92.6","3818887468"
"Oakland, City of","2020","2","2302645074","1442885374","859759699","62.7","63","64.2","62.3","4015143822"
"Oakland, City of","2020","1","2912991022","1961088188","951902833","67.3","66.7","68.2","65.4","4015143822"
"Oceanside, City of","2020","1","456616147","338255559","118360587","74.1","72.8","73.9","71","2578435041"
"Oceanside, City of","2020","2","556832583","419468659","137363923","75.3","74.3","74.6","73","2578435041"
"Omnitrans","2020","1","207366370","173653958","33712411","83.7","83.2","86.1","84.7","5050725815"
"Ontario, City of","2020","1","398658192","293938108","104720083","73.7","73.8","75.6","73.6","1141706726"
"Ontario, City of","2020","3","310703162","210842750","99860411","67.9","69.2","72","71.6","1141706726"
"Ontario, City of","2020","4","423849540","276857465","146992074","65.3","66","68.4","66.8","1141706726"
"Orange, City of","2020","2","567395449","385931966","181463482","68","67.7","68.6","67.1","2643484567"
"Orange, City of","2020","1","372807324","265866144","106941179","71.3","71.2","72","69.7","2643484567"
"Orange County Health Authority","2020","1","191025200","160092031","30933168","83.8","82.6","83.2","82.1","7832606433"
"Otay Water District","2020","1","145193648","125820058","19373589","86.7","62.7","62.9","60.5","7662006988"
"Oxnard, City of","2020","1","510603551","368903237","141700313","72.2","72.2","74.2","72.5","6606606569"
"Oxnard, City of","2020","4","404407193","298395251","106011941","73.8","72.3","73.1","70.1","6606606569"
"Pacifica, City of","2020","1","107121618","85203388","21918229","79.5","80.8","83.1","80.7","3733978143"
"Padre Dam Municipal Water District","2020","1","129472638","81767508","47705129","63.2","63.4","63.6","61.9","2376081405"
"Palmdale, City of","2020","1","185278808","133719562","51559245","72.2","72.5","74.2","71.7","4343936830"
"Palm Desert, City of","2020","1","139610809","101795749","37815059","72.9","71","70.7","66.2","6627708364"
"Palm Springs, City of","2020","1","240678210","170725940","69952269","70.9","70.3","71.1","68.4","5389648201"
"Palm Springs, City of","2020","2","294627632","183740919","110886712","62.4","62.5","63.9","62.3","5389648201"
"Palo Alto, City of","2020","2","471338133","289117004","182221128","61.3","62.2","63.5","63.6","6373437857"
"Palo Alto, City of","2020","1","868716440","574012870","294703569","66.1","65.8","66.3","64.2","6373437857"
"Pasadena, City of","2020","2","691239940","497823671","193416268","72","71.6","72.6","70.9","6556986602"
"Pasadena, City of","2020","1","1185916510","859554755","326361754","72.5","71.8","72.6","70.1","6556986602"
"Paso Robles, City of","2020","1","83384134","56793745","26590388","68.1","66","67.4","61.8","2294259371"
"Petaluma, City of","2020","2","216566806","140756718","75810087","65","64.9","64.1","62.5","5476407298"
"Petaluma, City of","2020","1","126725688","96126525","30599162","75.9","76.7","75.5","73.2","5476407298"
"Pico Rivera, City of","2020","1","117584001","76623017","40960983","65.2","64.7","66.3","64.8","1600331280"
"Pittsburg, City of","2020","1","107986043","78164643","29821399","72.4","72.9","74.5","72.4","3561054561"
"Placer, County of","2020","2","525891780","325380400","200511379","61.9","61.9","63.1","61.6","4088970465"
"Placer, County of","2020","1","1437491016","917756938","519734077","63.8","63.9","65.6","63.4","4088970465"
"Placer County Water Agency","2020","1","146143117","96155857","49987259","65.8","65.6","66.1","63.3","3008623302"
"Pleasanton, City of","2020","3","236479259","152321594","84157664","64.4","63.9","64.8","62.6","4137785275"
"Pleasanton, City of","2020","1","301993579","196510656","105482922","65.1","64.9","66.8","64.8","4137785275"
"Plumas, County of","2020","1","157981956","110672182","47309773","70.1","69.8","71.5","70.7","4847817667"
"Pomona, City of","2020","1","306856501","225723225","81133275","73.6","73.2","74.8","73.1","3335870750"
"Pomona, City of","2020","2","398856086","261965871","136890214","65.7","66.1","68.3","67.2","3335870750"
"Porterville, City of","2020","1","105214494","68600183","36614310","65.2","64.6","64.8","61.6","5259660063"
"Poway, City of","2020","1","122086611","84224267","37862343","69","68.3","70.5","69.2","1599501570"
"Public Transportation Services Corporation","2020","1","922817591","723329467","199488123","78.4","78.3","79.8","77.9","7408020050"
"Rancho California Water District","2020","1","135857266","107844757","28012508","79.4","78.6","72.4","70","3101193611"
"Rancho Cucamonga, City of","2020","1","241479124","185254933","56224190","76.7","76.3","77.7","76.3","4095864907"
"Rancho Simi Recreation & Park District","2020","1","50102947","37572634","12530312","75","74.9","76.9","75.4","1477559518"
"Redding, City of","2020","1","469996216","312320844","157675371","66.5","66.5","67.7","65.8","4091792151"
"Redding, City of","2020","2","331742193","202917283","128824909","61.2","60.8","61.7","60","4091792151"
"Redlands, City of","2020","1","175535934","126766093","48769840","72.2","72","73","71.3","7117161098"
"Redondo Beach, City of","2020","2","389449076","246312980","143136095","63.2","63.5","65.9","64.6","5681155915"
"Redondo Beach, City of","2020","1","223341730","157762297","65579432","70.6","70.3","72.5","70.7","5681155915"
"Redwood City, City of","2020","2","423939849","265046592","158893256","62.5","62.6","63.1","61.6","4429157178"
"Redwood City, City of","2020","1","359120519","243710832","115409686","67.9","67.1","67.5","65.1","4429157178"
"Regional Center of Orange County","2020","1","107676277","93091426","14584850","86.5","83.3","81.9","82.9","7445388611"
"Regional Center of the East Bay","2020","1","113500229","96513894","16986334","85","84.3","84.2","85.4","6651160508"
"Rialto, City of","2020","1","141879436","97855612","44023823","69","69.4","70.1","67.5","7037905700"
"Rialto, City of","2020","2","303456044","213835074","89620969","70.5","70.2","69.3","66.3","7037905700"
"Richmond, City of","2020","1","508224474","373644835","134579638","73.5","72.9","73.8","71.4","2751275565"
