"ward","age","female","male","other"
"WARD 1","62","373","326","0"
"WARD 1","63","360","337","0"
"WARD 1","64","353","291","2"
"WARD 1","65","283","263","0"
"WARD 1","66","303","225","0"
"WARD 1","67","270","226","1"
"WARD 1","68","307","214","0"
"WARD 1","69","279","196","0"
"WARD 1","70","230","177","0"
"WARD 1","71","221","139","0"
"WARD 1","72","238","156","0"
"WARD 1","73","223","163","1"
"WARD 1","74","215","145","0"
"WARD 1","75","241","148","0"
"WARD 1","76","207","124","0"
"WARD 1","77","209","135","0"
"WARD 1","78","208","120","0"
"WARD 1","79","164","105","0"
"WARD 1","80","169","102","0"
"WARD 1","81","164","99","0"
"WARD 1","82","129","96","0"
"WARD 1","83","135","94","0"
"WARD 1","84","119","98","0"
"WARD 1","85+","692","401","0"
"WARD 1","No response","9020","9555","48"
"WARD 2","0","315","292","0"
"WARD 2","1","334","308","1"
"WARD 2","2","328","328","0"
"WARD 2","3","350","288","1"
"WARD 2","4","352","322","2"
"WARD 2","5","385","324","0"
"WARD 2","6","333","328","0"
"WARD 2","7","354","319","0"
"WARD 2","8","340","310","2"
"WARD 2","9","327","331","0"
"WARD 2","10","306","310","0"
"WARD 2","11","282","263","1"
"WARD 2","12","285","277","0"
"WARD 2","13","237","253","0"
"WARD 2","14","307","250","0"
"WARD 2","15","293","239","1"
"WARD 2","16","267","293","1"
"WARD 2","17","247","275","0"
"WARD 2","18","241","270","1"
"WARD 2","19","311","301","1"
"WARD 2","20","307","326","1"
"WARD 2","21","318","338","0"
"WARD 2","22","337","303","0"
"WARD 2","23","341","326","0"
"WARD 2","24","334","351","3"
"WARD 2","25","388","385","0"
"WARD 2","26","375","376","1"
"WARD 2","27","399","351","2"
"WARD 2","28","418","408","0"
"WARD 2","29","431","378","1"
"WARD 2","30","485","428","0"
"WARD 2","31","473","413","0"
"WARD 2","32","482","416","0"
"WARD 2","33","452","451","0"
"WARD 2","34","457","399","0"
"WARD 2","35","448","415","1"
"WARD 2","36","433","418","1"
"WARD 2","37","477","392","1"
"WARD 2","38","430","355","0"
"WARD 2","39","392","381","0"
"WARD 2","40","408","381","1"
"WARD 2","41","362","385","1"
"WARD 2","42","387","348","1"
"WARD 2","43","373","370","0"
"WARD 2","44","329","308","0"
"WARD 2","45","340","359","1"
"WARD 2","46","375","381","0"
"WARD 2","47","350","344","0"
"WARD 2","48","371","345","1"
"WARD 2","49","381","328","0"
"WARD 2","50","388","335","0"
"WARD 2","51","422","413","0"
"WARD 2","52","437","395","0"
"WARD 2","53","431","382","0"
"WARD 2","54","407","384","0"
"WARD 2","55","420","400","0"
"WARD 2","56","400","392","0"
"WARD 2","57","403","355","0"
"WARD 2","58","410","384","0"
"WARD 2","59","384","357","1"
"WARD 2","60","379","310","0"
"WARD 2","61","382","330","2"
"WARD 2","62","343","306","1"
"WARD 2","63","297","293","0"
"WARD 2","64","320","272","0"
"WARD 2","65","317","235","0"
"WARD 2","66","282","245","1"
"WARD 2","67","293","229","0"
"WARD 2","68","245","243","0"
"WARD 2","69","282","217","0"
"WARD 2","70","217","149","0"
"WARD 2","71","226","153","0"
"WARD 2","72","227","170","0"
"WARD 2","73","207","177","0"
"WARD 2","74","196","138","0"
"WARD 2","75","214","128","0"
"WARD 2","76","209","135","0"
"WARD 2","77","195","142","0"
"WARD 2","78","217","134","0"
"WARD 2","79","190","122","0"
"WARD 2","80","173","96","0"
"WARD 2","81","176","101","0"
"WARD 2","82","158","91","0"
"WARD 2","83","168","101","0"
"WARD 2","84","139","85","0"
"WARD 2","85+","1099","487","0"
"WARD 2","No response","9106","9832","15"
"WARD 3","0","292","258","0"
"WARD 3","1","305","231","0"
"WARD 3","2","362","307","0"
"WARD 3","3","348","325","0"
"WARD 3","4","356","338","0"
"WARD 3","5","354","361","0"
"WARD 3","6","392","366","0"
"WARD 3","7","389","324","0"
"WARD 3","8","403","337","0"
"WARD 3","9","387","360","1"
"WARD 3","10","378","348","0"
"WARD 3","11","347","330","0"
"WARD 3","12","357","341","0"
"WARD 3","13","344","341","0"
"WARD 3","14","354","357","0"
"WARD 3","15","370","335","0"
"WARD 3","16","369","349","0"
"WARD 3","17","351","354","1"
"WARD 3","18","335","365","0"
"WARD 3","19","383","341","0"
"WARD 3","20","372","405","0"
"WARD 3","21","391","364","0"
"WARD 3","22","362","371","0"
"WARD 3","23","365","361","1"
"WARD 3","24","353","366","0"
"WARD 3","25","406","396","1"
"WARD 3","26","418","352","0"
"WARD 3","27","392","367","0"
"WARD 3","28","392","378","0"
"WARD 3","29","396","389","0"
"WARD 3","30","367","346","0"
"WARD 3","31","407","348","0"
"WARD 3","32","424","344","1"
"WARD 3","33","403","344","1"
"WARD 3","34","429","343","1"
"WARD 3","35","419","364","0"
"WARD 3","36","416","389","0"
"WARD 3","37","415","349","0"
"WARD 3","38","379","355","0"
"WARD 3","39","410","361","0"
"WARD 3","40","371","342","0"
"WARD 3","41","412","337","0"
"WARD 3","42","395","343","1"
"WARD 3","43","383","322","0"
"WARD 3","44","402","353","0"
"WARD 3","45","390","389","0"
"WARD 3","46","367","367","1"
"WARD 3","47","409","380","0"
"WARD 3","48","386","390","0"
"WARD 3","49","419","357","0"
"WARD 3","50","402","354","0"
"WARD 3","51","481","389","0"
"WARD 3","52","438","381","1"
"WARD 3","53","516","413","0"
"WARD 3","54","468","365","0"
"WARD 3","55","478","405","0"
"WARD 3","56","424","429","0"
"WARD 3","57","473","435","0"
"WARD 3","58","436","376","0"
"WARD 3","59","434","430","0"
"WARD 3","60","385","350","1"
"WARD 3","61","359","358","0"
"WARD 3","62","375","320","1"
"WARD 3","63","348","292","0"
"WARD 3","64","321","289","0"
"WARD 3","65","292","266","1"
"WARD 3","66","298","275","1"
"WARD 3","67","243","269","0"
"WARD 3","68","257","254","0"
"WARD 3","69","275","255","0"
"WARD 3","70","235","198","0"
"WARD 3","71","195","183","0"
"WARD 3","72","201","144","0"
"WARD 3","73","185","166","1"
"WARD 3","74","165","151","0"
"WARD 3","75","145","162","0"
"WARD 3","76","147","168","0"
"WARD 3","77","130","144","0"
"WARD 3","78","140","154","1"
"WARD 3","79","126","100","0"
"WARD 3","80","107","102","0"
"WARD 3","81","92","97","0"
"WARD 3","82","91","74","0"
"WARD 3","83","84","69","0"
"WARD 3","84","65","72","0"
"WARD 3","85+","381","460","1"
"WARD 3","No response","7850","8124","15"
"WARD 4","0","488","407","0"
"WARD 4","1","420","429","0"
"WARD 4","2","496","433","0"
"WARD 4","3","506","429","0"
"WARD 4","4","512","406","0"
"WARD 4","5","491","435","0"
"WARD 4","6","472","459","0"
"WARD 4","7","477","425","0"
"WARD 4","8","460","415","0"
"WARD 4","9","428","382","1"
"WARD 4","10","393","374","0"
"WARD 4","11","374","357","0"
"WARD 4","12","384","343","1"
"WARD 4","13","393","344","0"
"WARD 4","14","349","338","0"
"WARD 4","15","383","369","0"
"WARD 4","16","378","354","0"
"WARD 4","17","345","337","2"
"WARD 4","18","399","363","0"
"WARD 4","19","373","422","0"
"WARD 4","20","424","389","0"
"WARD 4","21","415","377","0"
"WARD 4","22","427","368","0"
"WARD 4","23","386","407","0"
"WARD 4","24","498","448","0"
"WARD 4","25","516","467","0"
"WARD 4","26","556","501","1"
"WARD 4","27","537","490","0"
"WARD 4","28","564","503","0"
"WARD 4","29","615","516","0"
"WARD 4","30","632","509","0"
"WARD 4","31","591","551","0"
"WARD 4","32","621","521","0"
"WARD 4","33","607","537","0"
"WARD 4","34","628","505","0"
"WARD 4","35","525","516","0"
"WARD 4","36","483","485","0"
"WARD 4","37","475","467","0"
"WARD 4","38","501","458","0"
"WARD 4","39","474","452","0"
"WARD 4","40","456","409","0"
"WARD 4","41","466","416","0"
"WARD 4","42","441","409","0"
"WARD 4","43","437","350","0"
"WARD 4","44","451","379","0"
"WARD 4","45","426","400","0"
"WARD 4","46","415","401","0"
"WARD 4","47","421","367","0"
"WARD 4","48","461","380","0"
"WARD 4","49","383","378","0"
"WARD 4","50","393","397","0"
"WARD 4","51","429","411","0"
"WARD 4","52","477","410","0"
"WARD 4","53","480","430","1"
"WARD 4","54","420","389","0"
"WARD 4","55","458","366","0"
"WARD 4","56","475","394","1"
"WARD 4","57","461","419","0"
"WARD 4","58","455","408","0"
"WARD 4","59","394","390","0"
"WARD 4","60","403","339","0"
"WARD 4","61","350","296","0"
"WARD 4","62","385","313","0"
"WARD 4","63","352","297","1"
"WARD 4","64","372","291","1"
"WARD 4","65","291","286","0"
"WARD 4","66","295","269","1"
"WARD 4","67","306","249","0"
"WARD 4","68","292","231","0"
"WARD 4","69","299","252","2"
"WARD 4","70","217","185","0"
"WARD 4","71","217","165","0"
"WARD 4","72","211","175","0"
"WARD 4","73","168","144","0"
"WARD 4","74","171","139","0"
"WARD 4","75","179","131","0"
"WARD 4","76","160","132","0"
"WARD 4","77","155","108","0"
"WARD 4","78","128","117","0"
"WARD 4","79","120","77","0"
"WARD 4","80","78","90","0"
"WARD 4","81","69","58","0"
"WARD 4","82","86","55","0"
"WARD 4","83","63","54","0"
"WARD 4","84","56","47","0"
"WARD 4","85+","272","179","0"
"WARD 4","No response","7642","7787","18"
"WARD 5","0","332","294","0"
"WARD 5","1","319","313","0"
"WARD 5","2","353","319","0"
"WARD 5","3","342","344","0"
"WARD 5","4","394","362","0"
"WARD 5","5","384","381","0"
"WARD 5","6","404","366","0"
"WARD 5","7","395","361","0"
"WARD 5","8","380","366","0"
"WARD 5","9","367","362","0"
"WARD 5","10","351","369","0"
"WARD 5","11","329","317","0"
"WARD 5","12","318","330","0"
"WARD 5","13","298","329","0"
"WARD 5","14","329","294","0"
"WARD 5","15","300","311","0"
"WARD 5","16","312","327","0"
"WARD 5","17","321","308","1"
"WARD 5","18","340","322","1"
"WARD 5","19","281","348","0"
"WARD 5","20","306","315","0"
"WARD 5","21","351","324","1"
"WARD 5","22","323","339","2"
"WARD 5","23","339","295","0"
"WARD 5","24","340","321","0"
"WARD 5","25","340","330","0"
"WARD 5","26","342","338","0"
"WARD 5","27","356","323","0"
"WARD 5","28","362","342","1"
"WARD 5","29","434","359","0"
"WARD 5","30","402","397","0"
"WARD 5","31","418","370","0"
"WARD 5","32","445","393","0"
"WARD 5","33","427","403","0"
"WARD 5","34","475","388","0"
"WARD 5","35","430","372","0"
"WARD 5","36","441","402","0"
"WARD 5","37","453","380","0"
"WARD 5","38","424","384","0"
"WARD 5","39","428","378","0"
"WARD 5","40","387","354","0"
"WARD 5","41","424","363","0"
"WARD 5","42","377","392","0"
"WARD 5","43","359","324","0"
"WARD 5","44","419","354","0"
"WARD 5","45","373","360","0"
"WARD 5","46","367","339","0"
"WARD 5","47","362","313","0"
"WARD 5","48","367","359","0"
"WARD 5","49","340","331","0"
"WARD 5","50","371","332","0"
"WARD 5","51","379","352","0"
"WARD 5","52","436","363","0"
"WARD 5","53","425","355","0"
"WARD 5","54","442","370","0"
"WARD 5","55","399","375","0"
"WARD 5","56","458","362","0"
"WARD 5","57","410","360","0"
"WARD 5","58","422","346","0"
"WARD 5","59","398","345","0"
"WARD 5","60","404","329","0"
"WARD 5","61","367","324","0"
"WARD 5","62","337","295","0"
"WARD 5","63","323","269","1"
"WARD 5","64","309","258","0"
"WARD 5","65","325","267","1"
"WARD 5","66","295","258","1"
"WARD 5","67","283","238","1"
"WARD 5","68","267","239","0"
"WARD 5","69","254","214","0"
"WARD 5","70","190","168","0"
"WARD 5","71","174","146","0"
"WARD 5","72","189","145","0"
"WARD 5","73","151","112","1"
"WARD 5","74","164","106","0"
"WARD 5","75","155","105","0"
"WARD 5","76","139","98","0"
"WARD 5","77","132","104","1"
"WARD 5","78","120","95","0"
"WARD 5","79","113","109","0"
"WARD 5","80","78","89","0"
"WARD 5","81","86","61","0"
"WARD 5","82","93","68","0"
"WARD 5","83","99","58","0"
"WARD 5","84","85","68","0"
"WARD 5","85+","717","334","0"
"WARD 5","No response","8765","8870","101"
"WARD 6","0","217","196","0"
"WARD 6","1","165","174","3"
"WARD 6","2","184","194","2"
"WARD 6","3","163","139","1"
"WARD 6","4","169","145","0"
"WARD 6","5","169","163","1"
"WARD 6","6","151","128","0"
"WARD 6","7","137","133","0"
"WARD 6","8","135","146","0"
"WARD 6","9","119","116","0"
"WARD 6","10","136","111","0"
"WARD 6","11","122","108","0"
"WARD 6","12","108","103","0"
"WARD 6","13","105","94","0"
"WARD 6","14","115","100","0"
"WARD 6","15","124","128","0"
"WARD 6","16","137","95","2"
"WARD 6","17","139","115","0"
"WARD 6","18","168","133","0"
"WARD 6","19","234","186","2"
"WARD 6","20","372","270","1"
"WARD 6","21","398","332","0"
"WARD 6","22","398","370","1"
"WARD 6","23","491","387","0"
"WARD 6","24","548","472","3"
"WARD 6","25","646","555","0"
"WARD 6","26","654","595","1"
"WARD 6","27","682","634","0"
"WARD 6","28","635","600","2"
"WARD 6","29","661","619","3"
"WARD 6","30","635","627","3"
"WARD 6","31","595","616","3"
"WARD 6","32","557","616","1"
"WARD 6","33","543","558","3"
"WARD 6","34","472","527","2"
"WARD 6","35","445","487","3"
"WARD 6","36","378","447","1"
"WARD 6","37","404","462","1"
"WARD 6","38","330","399","1"
"WARD 6","39","314","402","1"
"WARD 6","40","307","363","0"
"WARD 6","41","291","355","0"
"WARD 6","42","296","334","0"
"WARD 6","43","243","297","0"
"WARD 6","44","273","351","0"
"WARD 6","45","289","296","0"
"WARD 6","46","315","278","0"
"WARD 6","47","339","325","1"
"WARD 6","48","269","299","0"
"WARD 6","49","262","309","1"
"WARD 6","50","279","324","0"
"WARD 6","51","303","359","0"
"WARD 6","52","295","353","0"
"WARD 6","53","298","354","1"
"WARD 6","54","350","354","0"
"WARD 6","55","340","381","0"
"WARD 6","56","403","328","0"
"WARD 6","57","355","357","1"
"WARD 6","58","327","378","0"
"WARD 6","59","342","355","1"
"WARD 6","60","322","361","0"
"WARD 6","61","357","345","0"
"WARD 6","62","309","363","1"
"WARD 6","63","322","285","0"
"WARD 6","64","307","294","0"
"WARD 6","65","251","278","2"
"WARD 6","66","263","268","2"
"WARD 6","67","274","244","0"
"WARD 6","68","251","262","0"
"WARD 6","69","230","225","0"
"WARD 6","70","188","166","0"
"WARD 6","71","213","180","0"
"WARD 6","72","209","141","0"
"WARD 6","73","189","166","0"
"WARD 6","74","178","132","0"
"WARD 6","75","174","115","0"
"WARD 6","76","151","108","0"
"WARD 6","77","178","99","0"
"WARD 6","78","155","95","0"
"WARD 6","79","161","83","1"
"WARD 6","80","137","82","0"
"WARD 6","81","121","83","0"
"WARD 6","82","148","86","0"
"WARD 6","83","112","79","0"
"WARD 6","84","125","80","0"
"WARD 6","85+","1030","437","0"
"WARD 6","No response","10181","11744","215"
"WARD 7","0","283","255","2"
"WARD 7","1","250","218","0"
"WARD 7","2","285","235","0"
"WARD 7","3","286","265","1"
"WARD 7","4","298","262","1"
"WARD 7","5","324","293","0"
"WARD 7","6","263","217","0"
"WARD 7","7","276","248","0"
"WARD 7","8","258","235","0"
"WARD 7","9","263","189","0"
"WARD 7","10","235","221","0"
"WARD 7","11","253","172","0"
"WARD 7","12","204","197","0"
"WARD 7","13","207","209","0"
"WARD 7","14","221","233","0"
"WARD 7","15","231","211","0"
"WARD 7","16","224","234","0"
"WARD 7","17","229","207","0"
"WARD 7","18","227","241","0"
"WARD 7","19","242","226","0"
"WARD 7","20","272","265","0"
"WARD 7","21","231","267","1"
"WARD 7","22","314","252","2"
"WARD 7","23","330","306","0"
"WARD 7","24","320","308","0"
"WARD 7","25","316","328","0"
"WARD 7","26","359","319","0"
"WARD 7","27","350","331","2"
"WARD 7","28","359","313","1"
"WARD 7","29","355","335","0"
"WARD 7","30","347","345","1"
"WARD 7","31","362","325","1"
"WARD 7","32","367","325","0"
"WARD 7","33","356","338","1"
"WARD 7","34","317","375","4"
"WARD 7","35","328","362","2"
"WARD 7","36","369","353","0"
"WARD 7","37","312","321","0"
"WARD 7","38","306","281","1"
"WARD 7","39","320","314","1"
"WARD 7","40","301","297","0"
"WARD 7","41","310","340","0"
"WARD 7","42","311","251","0"
"WARD 7","43","314","280","0"
"WARD 7","44","274","290","0"
"WARD 7","45","348","290","0"
"WARD 7","46","327","296","0"
"WARD 7","47","302","314","0"
"WARD 7","48","314","302","0"
"WARD 7","49","298","305","0"
"WARD 7","50","320","323","0"
"WARD 7","51","357","372","0"
"WARD 7","52","389","361","0"
"WARD 7","53","383","399","0"
"WARD 7","54","363","373","0"
"WARD 7","55","381","363","0"
"WARD 7","56","379","347","0"
"WARD 7","57","352","348","0"
"WARD 7","58","356","324","1"
"WARD 7","59","325","352","0"
"WARD 7","60","298","281","2"
"WARD 7","61","290","306","0"
"WARD 7","62","313","288","0"
"WARD 7","63","273","259","0"
"WARD 7","64","252","279","0"
"WARD 7","65","243","230","1"
"WARD 7","66","258","236","1"
"WARD 7","67","257","222","0"
"WARD 7","68","266","237","0"
"WARD 7","69","245","218","0"
"WARD 7","70","252","191","0"
"WARD 7","71","208","165","0"
"WARD 7","72","209","167","0"
"WARD 7","73","219","192","0"
"WARD 7","74","239","146","0"
"WARD 7","75","223","163","0"
"WARD 7","76","267","160","0"
"WARD 7","77","222","153","0"
"WARD 7","78","232","153","0"
"WARD 7","79","223","153","1"
"WARD 7","80","148","104","0"
"WARD 7","81","138","114","2"
"WARD 7","82","136","96","0"
"WARD 7","83","136","111","0"
"WARD 7","84","115","71","0"
"WARD 7","85+","807","429","0"
"WARD 7","No response","7313","8265","37"
"WARD 8","0","193","176","1"
"WARD 8","1","137","168","0"
"WARD 8","2","219","202","0"
"WARD 8","3","159","177","0"
"WARD 8","4","180","171","0"
"WARD 8","5","182","179","0"
"WARD 8","6","175","164","0"
"WARD 8","7","178","159","0"
"WARD 8","8","163","146","0"
"WARD 8","9","167","175","0"
"WARD 8","10","159","141","0"
"WARD 8","11","148","142","0"
"WARD 8","12","159","153","0"
"WARD 8","13","145","153","0"
"WARD 8","14","134","131","0"
"WARD 8","15","201","195","0"
"WARD 8","16","199","167","1"
"WARD 8","17","188","171","0"
"WARD 8","18","231","207","3"
"WARD 8","19","284","234","0"
"WARD 8","20","572","493","2"
"WARD 8","21","625","528","2"
"WARD 8","22","704","595","1"
"WARD 8","23","720","603","3"
"WARD 8","24","598","618","1"
"WARD 8","25","657","669","0"
"WARD 8","26","700","748","0"
"WARD 8","27","636","616","3"
"WARD 8","28","623","590","2"
"WARD 8","29","585","639","1"
"WARD 8","30","498","532","3"
"WARD 8","31","507","503","0"
"WARD 8","32","415","466","1"
"WARD 8","33","500","443","0"
"WARD 8","34","424","350","1"
"WARD 8","35","314","341","1"
"WARD 8","36","301","389","1"
"WARD 8","37","285","328","0"
"WARD 8","38","283","301","1"
"WARD 8","39","300","307","0"
"WARD 8","40","298","271","0"
"WARD 8","41","288","268","1"
"WARD 8","42","241","267","0"
"WARD 8","43","239","250","0"
"WARD 8","44","239","236","2"
"WARD 8","45","261","267","0"
"WARD 8","46","267","250","0"
"WARD 8","47","301","248","0"
"WARD 8","48","243","228","1"
"WARD 8","49","238","244","1"
"WARD 8","50","294","299","1"
"WARD 8","51","358","316","0"
"WARD 8","52","354","288","1"
"WARD 8","53","333","278","0"
"WARD 8","54","383","302","0"
"WARD 8","55","376","327","1"
"WARD 8","56","373","365","3"
"WARD 8","57","379","330","1"
"WARD 8","58","366","315","2"
"WARD 8","59","352","315","0"
"WARD 8","60","294","318","1"
"WARD 8","61","330","283","1"
"WARD 8","62","325","286","0"
"WARD 8","63","274","281","0"
"WARD 8","64","252","256","0"
"WARD 8","65","272","237","0"
"WARD 8","66","270","229","0"
"WARD 8","67","259","215","0"
"WARD 8","68","255","219","0"
"WARD 8","69","245","221","0"
"WARD 8","70","209","141","0"
"WARD 8","71","189","158","0"
"WARD 8","72","201","154","1"
"WARD 8","73","207","131","0"
"WARD 8","74","182","115","1"
"WARD 8","75","218","134","1"
"WARD 8","76","201","132","0"
"WARD 8","77","177","110","0"
"WARD 8","78","221","127","0"
"WARD 8","79","208","116","1"
"WARD 8","80","155","121","0"
"WARD 8","81","159","99","0"
"WARD 8","82","135","93","1"
"WARD 8","83","142","78","2"
"WARD 8","84","134","93","0"
"WARD 8","85+","909","515","1"
"WARD 8","No response","8050","8765","48"
"WARD 9","0","560","506","1"
"WARD 9","1","564","520","2"
"WARD 9","2","590","588","0"
"WARD 9","3","621","619","0"
"WARD 9","4","612","578","0"
"WARD 9","5","645","583","0"
"WARD 9","6","599","577","0"
"WARD 9","7","591","583","1"
"WARD 9","8","612","580","0"
"WARD 9","9","564","570","0"
"WARD 9","10","570","525","0"
"WARD 9","11","497","471","0"
"WARD 9","12","512","498","0"
"WARD 9","13","471","473","0"
"WARD 9","14","468","427","0"
"WARD 9","15","492","498","1"
"WARD 9","16","469","455","1"
"WARD 9","17","476","474","0"
"WARD 9","18","485","434","1"
"WARD 9","19","480","435","1"
"WARD 9","20","454","468","2"
"WARD 9","21","506","418","1"
"WARD 9","22","434","435","1"
"WARD 9","23","496","402","0"
"WARD 9","24","486","430","0"
"WARD 9","25","548","441","1"
"WARD 9","26","552","545","0"
"WARD 9","27","553","502","0"
"WARD 9","28","603","528","1"
"WARD 9","29","623","518","1"
"WARD 9","30","692","591","0"
"WARD 9","31","709","605","0"
"WARD 9","32","778","624","1"
"WARD 9","33","751","618","2"
"WARD 9","34","757","618","0"
"WARD 9","35","698","621","0"
"WARD 9","36","728","645","1"
"WARD 9","37","713","622","1"
"WARD 9","38","699","625","0"
"WARD 9","39","696","608","0"
"WARD 9","40","686","580","1"
"WARD 9","41","595","575","0"
"WARD 9","42","692","546","0"
"WARD 9","43","631","560","0"
"WARD 9","44","664","604","1"
"WARD 9","45","597","605","0"
"WARD 9","46","624","599","0"
"WARD 9","47","614","572","1"
"WARD 9","48","580","520","0"
"WARD 9","49","557","522","0"
"WARD 9","50","532","491","0"
"WARD 9","51","555","515","1"
"WARD 9","52","554","513","1"
"WARD 9","53","549","497","0"
"WARD 9","54","528","429","1"
"WARD 9","55","534","477","0"
"WARD 9","56","488","431","0"
"WARD 9","57","512","455","0"
"WARD 9","58","538","467","0"
"WARD 9","59","521","436","1"
"WARD 9","60","472","451","0"
"WARD 9","61","456","414","1"
"WARD 9","62","468","386","1"
"WARD 9","63","447","382","0"
"WARD 9","64","373","364","0"
"WARD 9","65","360","329","0"
"WARD 9","66","363","324","2"
"WARD 9","67","359","294","0"
"WARD 9","68","347","308","0"
"WARD 9","69","303","292","0"
"WARD 9","70","273","208","0"
"WARD 9","71","295","222","1"
"WARD 9","72","218","208","0"
"WARD 9","73","230","190","1"
"WARD 9","74","231","179","0"
"WARD 9","75","169","175","2"
"WARD 9","76","158","164","0"
"WARD 9","77","180","160","1"
"WARD 9","78","151","155","0"
"WARD 9","79","138","134","0"
"WARD 9","80","126","107","0"
"WARD 9","81","105","89","0"
"WARD 9","82","91","77","0"
"WARD 9","83","89","74","0"
"WARD 9","84","81","83","0"
"WARD 9","85+","609","373","0"
"WARD 9","No response","12172","12692","252"
"WARD 10","0","241","231","0"
"WARD 10","1","266","237","0"
"WARD 10","2","257","233","0"
"WARD 10","3","235","246","0"
"WARD 10","4","276","261","0"
"WARD 10","5","280","267","0"
"WARD 10","6","283","241","0"
"WARD 10","7","227","252","0"
"WARD 10","8","273","258","0"
"WARD 10","9","255","246","0"
"WARD 10","10","260","232","0"
"WARD 10","11","209","224","0"
"WARD 10","12","221","264","0"
"WARD 10","13","253","224","0"
"WARD 10","14","227","230","0"
"WARD 10","15","256","242","0"
"WARD 10","16","275","242","1"
"WARD 10","17","265","262","0"
"WARD 10","18","241","244","1"
"WARD 10","19","275","280","0"
"WARD 10","20","299","354","0"
"WARD 10","21","340","333","2"
"WARD 10","22","378","299","1"
"WARD 10","23","345","395","0"
"WARD 10","24","388","324","0"
"WARD 10","25","383","380","1"
"WARD 10","26","414","386","1"
"WARD 10","27","323","344","0"
"WARD 10","28","351","344","1"
"WARD 10","29","349","380","2"
"WARD 10","30","370","375","0"
"WARD 10","31","375","380","0"
"WARD 10","32","356","356","0"
"WARD 10","33","352","307","0"
"WARD 10","34","389","366","1"
"WARD 10","35","373","345","0"
"WARD 10","36","348","340","1"
"WARD 10","37","339","301","0"
"WARD 10","38","310","294","0"
"WARD 10","39","322","289","0"
"WARD 10","40","296","310","0"
"WARD 10","41","302","299","0"
"WARD 10","42","318","273","0"
"WARD 10","43","290","278","0"
"WARD 10","44","304","280","0"
"WARD 10","45","313","290","0"
"WARD 10","46","309","302","1"
"WARD 10","47","304","281","0"
"WARD 10","48","320","252","0"
"WARD 10","49","266","250","1"
"WARD 10","50","307","273","0"
"WARD 10","51","356","310","0"
"WARD 10","52","380","302","0"
"WARD 10","53","353","306","0"
"WARD 10","54","364","281","0"
"WARD 10","55","351","285","0"
"WARD 10","56","342","280","0"
"WARD 10","57","327","271","2"
"WARD 10","58","341","315","1"
"WARD 10","59","345","283","1"
"WARD 10","60","308","268","0"
"WARD 10","61","337","294","0"
"WARD 10","62","324","246","0"
"WARD 10","63","330","265","0"
"WARD 10","64","283","206","0"
"WARD 10","65","288","255","1"
"WARD 10","66","266","220","1"
"WARD 10","67","279","207","0"
"WARD 10","68","297","213","1"
"WARD 10","69","293","226","0"
"WARD 10","70","253","169","0"
"WARD 10","71","286","170","0"
"WARD 10","72","241","182","1"
"WARD 10","73","238","155","0"
"WARD 10","74","238","178","0"
"WARD 10","75","230","139","1"
"WARD 10","76","225","148","0"
"WARD 10","77","196","170","0"
"WARD 10","78","209","122","0"
"WARD 10","79","184","151","0"
"WARD 10","80","162","125","0"
"WARD 10","81","134","107","0"
"WARD 10","82","124","106","0"
"WARD 10","83","121","108","0"
"WARD 10","84","120","79","1"
"WARD 10","85+","716","442","1"
"WARD 10","No response","5968","6303","45"
