Neighbourhood,Address,Year,Quadrant,Ward,Category,LONGITUDE,LATITUDE,LOCATION,Neighbourhood Boundaries : 2019,Roadway Maintenance Area Polygon,"Edmonton Public School Board (EPSB) Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","Edmonton Catholic School District Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","City of Edmonton - Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)",Wards
Parkdale,8708 - 116 Avenue,2010,NW,7,Edible Front Yard,-113.475134,53.567351,"(53.567351, -113.475134)",147,150,4,3,10,7
Cloverdale,9607 - 96 Street,2013,NW,8,Edible Front Yard,-113.474751,53.534849,"(53.534849, -113.474751)",398,126,4,5,11,8
Eastwood,12125 - 85 Street,2012,NW,7,Edible Front Yard,-113.470837,53.575607,"(53.575607, -113.470837)",35,155,4,3,10,7
Hazeldean,9120 - 64 Avenue,2009,NW,11,Edible Front Yard,-113.469086,53.500888,"(53.500888, -113.469086)",272,67,7,5,3,11
Hazeldean,9120 - 64 Avenue,2013,NW,11,Edible Front Yard,-113.469086,53.500888,"(53.500888, -113.469086)",272,67,7,5,3,11
Rundle Heights,10807 - 31 Street,2009,NW,7,Edible Front Yard,-113.387594,53.561677,"(53.561677, -113.387594)",232,176,4,3,10,7
Rundle Heights,10823 - 31 Street,2009,NW,7,Edible Front Yard,-113.387554,53.561836,"(53.561836, -113.387554)",232,176,4,3,10,7
Riverdale,10184 - 87 Street,2011,NW,6,Edible Front Yard,-113.466769,53.546534,"(53.546534, -113.466769)",352,153,4,5,9,6
Sakaw,5613 - 14A Avenue,2013,NW,11,Edible Front Yard,-113.425917,53.44407,"(53.44407, -113.425917)",251,14,9,7,3,11
Oliver,10187 - 116 Street,2009,NW,6,Edible Front Yard,-113.521283,53.542596,"(53.542596, -113.521283)",182,222,4,5,9,6
McCauley,10927 - 95 Street,2009,NW,6,Edible Front Yard,-113.485357,53.557103,"(53.557103, -113.485357)",367,130,4,5,9,6
McCauley,10260 - 95 Street,2010,NW,6,Edible Front Yard,-113.479475,53.546473,"(53.546473, -113.479475)",154,153,4,5,9,6
Alberta Avenue,11608 - 92 Street,2013,NW,7,Edible Front Yard,-113.482752,53.56763,"(53.56763, -113.482752)",42,150,4,3,10,7
North Glenora,13319 - 109A Avenue,2013,NW,6,Edible Front Yard,-113.552898,53.55524,"(53.55524, -113.552898)",14,195,3,5,9,6
Beverly Heights,11440 - 44 Street,2009,NW,7,Edible Front Yard,-113.409167,53.567171,"(53.567171, -113.409167)",252,175,4,3,10,7
Ottewell,11616 - 48 Avenue,2013,NW,8,Edible Front Yard,-113.533185,53.485732,"(53.485732, -113.533185)",148,197,6,5,2,10
North Glenora,13615 - 108 Avenue,2012,NW,6,Edible Front Yard,-113.557731,53.552532,"(53.552532, -113.557731)",14,195,3,5,9,6
Capilano,10653 St. Gabriel School Road,2013,NW,8,Edible Front Yard,-113.423338,53.552124,"(53.552124, -113.423338)",41,31,4,5,11,8
Duggan,10920 - 37 Avenue,2012,NW,10,Edible Front Yard,-113.512214,53.472098,"(53.472098, -113.512214)",143,20,6,6,2,10
Tipaskan,8712 - 29 Avenue,2010,NW,11,Edible Front Yard,-113.462667,53.459636,"(53.459636, -113.462667)",54,56,9,7,3,11
Strathearn,8607 - 95 Avenue,2012,NW,8,Edible Front Yard,-113.459497,53.531752,"(53.531752, -113.459497)",342,126,4,5,11,8
Ellerslie,7748 - 7 Avenue,2013,SW,12,Edible Front Yard,-113.453539,53.427208,"(53.427208, -113.453539)",128,28,9,7,4,12
Meyonohk,"145, 2703 - 79 Street",2012,NW,11,Edible Front Yard,-113.453593,53.457838,"(53.457838, -113.453593)",52,238,9,7,3,11
Westmount,10256 - Wadhurst Road,2013,NW,6,Edible Front Yard,-113.538696,53.544511,"(53.544511, -113.538696)",164,145,3,5,9,6
Bonnie Doon,8540 - 84 Avenue,2012,NW,8,Edible Front Yard,-113.45954,53.520054,"(53.520054, -113.45954)",269,80,4,5,11,8
Gariepy,390 Lessard Drive,2013,NW,5,Edible Front Yard,-113.616948,53.492651,"(53.492651, -113.616948)",137,43,5,4,8,5
Pleasantview,10702 - 57 Avenue,2012,NW,10,Edible Front Yard,-113.508574,53.492696,"(53.492696, -113.508574)",50,19,6,5,2,10
Central McDougall,9402 - 109A Avenue,2009,NW,6,Edible Front Yard,-113.483833,53.557643,"(53.557643, -113.483833)",367,130,4,5,9,6
Malmo Plains,11612 - 48 Avenue,2013,NW,10,Edible Front Yard,-113.532948,53.485732,"(53.485732, -113.532948)",148,197,6,5,2,10
Strathcona,9820 - 85 Avenue,2013,NW,8,Edible Front Yard,-113.483955,53.520955,"(53.520955, -113.483955)",315,12,6,5,11,8
Blue Quill,11717 - 26 Avenue,2010,NW,10,Edible Front Yard,-113.53294,53.457632,"(53.457632, -113.53294)",140,171,6,6,2,10
North Glenora,13319 - 109a Avenue,2012,NW,6,Edible Front Yard,-113.552898,53.55524,"(53.55524, -113.552898)",14,195,3,5,9,6
Capilano,10742 - Capilano Street,2013,NW,8,Edible Front Yard,-113.425301,53.555131,"(53.555131, -113.425301)",41,31,4,5,11,8
North Glenora,13902 - 107A Avenue,2013,NW,6,Edible Front Yard,-113.561686,53.551627,"(53.551627, -113.561686)",14,195,3,5,9,6
Rosslyn,10527 - 133 Avenue,2013,NW,2,Edible Front Yard,-113.502349,53.593065,"(53.593065, -113.502349)",37,224,1,2,5,2
McCauley,10950 - 95 Street,2009,NW,6,Edible Front Yard,-113.485615,53.557524,"(53.557524, -113.485615)",367,130,4,5,9,6
Beaumaris,15916 - 102 Street,2013,NW,3,Edible Front Yard,-113.498944,53.620235,"(53.620235, -113.498944)",192,236,1,2,6,3
Westwood,12035 - 104 Street,2013,NW,2,Edible Front Yard,-113.499215,53.57414,"(53.57414, -113.499215)",5,151,3,1,5,2
Kilkenny,7248 - 149A Avenue,2011,NW,3,Edible Front Yard,-113.452122,53.611367,"(53.611367, -113.452122)",167,166,2,3,6,3
Oliver,11928 - 102 Avenue,2013,NW,6,Edible Front Yard,-113.527417,53.543025,"(53.543025, -113.527417)",182,144,4,5,9,6
Satoo,1014 - 88 Street,2010,NW,11,Edible Front Yard,-113.463938,53.443021,"(53.443021, -113.463938)",118,34,9,7,3,11
Riverdale,9926 - 87 Street,2010,NW,6,Edible Front Yard,-113.464934,53.541665,"(53.541665, -113.464934)",352,153,4,5,9,6
North Glenora,13319 - 109A Avenue,2010,NW,6,Edible Front Yard,-113.552898,53.55524,"(53.55524, -113.552898)",14,195,3,5,9,6
Strathcona,9836 - 86 Avenue,2013,NW,8,Edible Front Yard,-113.484745,53.521838,"(53.521838, -113.484745)",315,12,6,5,11,8
Newton,11929 - 54 Street,2012,NW,7,Edible Front Yard,-113.424571,53.572441,"(53.572441, -113.424571)",236,174,4,3,10,7
Grovenor,14312 - 106A Avenue,2010,NW,6,Edible Front Yard,-113.567447,53.549537,"(53.549537, -113.567447)",29,196,3,1,9,6
Grovenor,10437 - 143 Street,2010,NW,6,Edible Front Yard,-113.567466,53.546878,"(53.546878, -113.567466)",29,196,3,1,9,6
Ottewell,11235 - 58 Avenue,2013,NW,8,Edible Front Yard,-113.522029,53.496077,"(53.496077, -113.522029)",51,197,6,5,2,10
Strathcona,9734 - 86 Avenue,2010,NW,8,Edible Front Yard,-113.480859,53.521792,"(53.521792, -113.480859)",315,12,6,5,11,8
Sakaw,5613 - 14a Avenue,2012,NW,11,Edible Front Yard,-113.425917,53.44407,"(53.44407, -113.425917)",251,14,9,7,3,11
Canora,15004 - 103 Avenue,2009,NW,1,Edible Front Yard,-113.580041,53.544841,"(53.544841, -113.580041)",84,188,3,1,1,1
Belgravia,11630 - 74 Avenue,2012,NW,8,Edible Front Yard,-113.533227,53.510374,"(53.510374, -113.533227)",283,17,6,5,11,8
Strathcona,10035 - 88 Avenue,2013,NW,8,Edible Front Yard,-113.49076,53.52353,"(53.52353, -113.49076)",315,12,6,5,11,8
Baturyn,16719 - 98 Street,2013,NW,3,Edible Front Yard,-113.493462,53.629617,"(53.629617, -113.493462)",248,140,1,2,6,3
Carlisle,12220 - 144 Avenue,2012,NW,2,Edible Front Yard,-113.531925,53.606516,"(53.606516, -113.531925)",249,225,1,1,5,2
Duggan,11003 - 40 Avenue,2013,NW,10,Edible Front Yard,-113.5462,53.557518,"(53.557518, -113.5462)",164,198,3,5,9,6
Twin Brooks,950 - 119 Street,2012,NW,9,Edible Front Yard,-113.539495,53.439461,"(53.439461, -113.539495)",309,108,8,6,2,9
Bonnie Doon,8527 - 84 Avenue,2012,NW,8,Edible Front Yard,-113.459223,53.520039,"(53.520039, -113.459223)",269,80,4,5,11,8
Klarvatten,422 - Klarvatten Lake Wynd,2013,NW,3,Edible Front Yard,-113.475441,53.629897,"(53.629897, -113.475441)",353,190,2,2,6,3
Rundle Heights,10823 - 31 Street,2010,NW,7,Edible Front Yard,-113.387554,53.561836,"(53.561836, -113.387554)",232,176,4,3,10,7
Strathcona,9813 - 90 Avenue,2013,NW,8,Edible Front Yard,-113.48342,53.525394,"(53.525394, -113.48342)",315,12,6,5,11,8
Belgravia,11607 - 77 Avenue,2013,NW,8,Edible Front Yard,-113.531658,53.513199,"(53.513199, -113.531658)",59,17,6,5,11,8
Klarvatten,422 Klarvatten Lake Wynd,2010,NW,3,Edible Front Yard,-113.475441,53.629897,"(53.629897, -113.475441)",353,190,2,2,6,3
Terwillegar Towne,1752 Tomlinson Common,2013,NW,9,Edible Front Yard,-113.586052,53.449988,"(53.449988, -113.586052)",372,88,8,6,12,9
Rundle Heights,3316 - 111 Avenue,2013,NW,7,Edible Front Yard,-113.391978,53.564124,"(53.564124, -113.391978)",232,176,4,3,10,7
York,14012 - 59 Street,2011,NW,4,Edible Front Yard,-113.432059,53.602782,"(53.602782, -113.432059)",24,181,2,3,7,4
Alberta Avenue,11608 - 92 Street,2012,NW,7,Edible Front Yard,-113.482752,53.56763,"(53.56763, -113.482752)",42,150,4,3,10,7
Elmwood,16811 - 80 Avenue,2013,NW,5,Edible Front Yard,-113.610673,53.514015,"(53.514015, -113.610673)",9,98,5,4,8,5
Alberta Avenue,10939 - 92 Street,2009,NW,7,Edible Front Yard,-113.481308,53.557958,"(53.557958, -113.481308)",367,130,4,5,9,6
Greenfield,11142 - 34A Avenue,2012,NW,10,Edible Front Yard,-113.520275,53.466708,"(53.466708, -113.520275)",47,172,6,6,2,10
Malmo Plains,11616 - 48 Avenue,2013,NW,10,Edible Front Yard,-113.533185,53.485732,"(53.485732, -113.533185)",148,197,6,5,2,10
McCauley,10653 - 95 Street,2010,NW,6,Edible Front Yard,-113.482722,53.55242,"(53.55242, -113.482722)",367,130,4,5,9,6
Greenview,112 Grand Meadow Crescent,2013,NW,11,Edible Front Yard,-113.43495,53.47702,"(53.47702, -113.43495)",46,57,7,7,3,11
Riverdale,8732 - 101 Avenue,2013,NW,6,Edible Front Yard,-113.465463,53.543924,"(53.543924, -113.465463)",352,153,4,5,9,6
Ottewell,5303 - 107 Street,2013,NW,8,Edible Front Yard,-113.509023,53.490383,"(53.490383, -113.509023)",50,19,6,5,2,10
Argyll,8404 - 64 Avenue,2011,NW,11,Edible Front Yard,-113.455358,53.502912,"(53.502912, -113.455358)",223,67,7,5,3,11
McCauley,9544 - 109A Avenue,2009,NW,6,Edible Front Yard,-113.486813,53.557103,"(53.557103, -113.486813)",367,130,4,5,9,6
Homesteader,78 Henry Avenue,2009,NW,4,Edible Front Yard,-113.403676,53.586235,"(53.586235, -113.403676)",233,29,2,3,7,4
Greenfield,11146 - 35 Avenue,2013,NW,10,Edible Front Yard,-113.519329,53.468148,"(53.468148, -113.519329)",47,172,6,6,2,10
Belgravia,11614 - 71 Avenue,2013,NW,8,Edible Front Yard,-113.531819,53.507265,"(53.507265, -113.531819)",283,17,6,5,11,8
