"file_number","start_date","finish_date","work_reason","street_full_name","road_segment_intersections","intersecting_streets","spatial_reference","peak_hour_restrictions","bike_facilities_affected","on_street_parking_affected","pedestrian_affected","latitude","longitude","location","geometry_multiline"
"P2022-001052","2022-02-22T00:00:00.000","2022-12-31T00:00:00.000","CROSSING TEMPORARY TCP","81 STREET NW","From 104 AVENUE NW; To 105 AVENUE NW",,"Actual Road Segment","2 - No Restrictions","Unknown","Yes","Yes","53.54713665758222","-113.45247905308935","
,  
(53.54713665758222, -113.45247905308935)",
"P2022-004709","2022-06-20T00:00:00.000","2022-09-19T00:00:00.000","WASTE BIN POD SEACAN","78 STREET NW","From 102 AVENUE NW; To 103 AVENUE NW",,"Actual Road Segment","2 - No Restrictions","No","No","No","53.54400306114155","-113.44772418020469","
,  
(53.54400306114155, -113.44772418020469)",
"P2022-002421","2022-05-14T00:00:00.000","2022-10-15T00:00:00.000","ROAD CONSTRUCTION REHAB","84 STREET NW","From 101 AVENUE NW; To 102 AVENUE NW",,"Actual Road Segment","6 - Special Arrangement","No","Yes","Yes","53.542169281591974","-113.45710277189204","
,  
(53.542169281591974, -113.45710277189204)",
"P2022-005960","2022-07-27T00:00:00.000","2022-09-30T00:00:00.000","OTHER","156 STREET NW","From 81 AVENUE NW; To 83 AVENUE NW",,"Actual Road Segment",,"No","No","No","53.51536279304743","-113.59034278351558","
,  
(53.51536279304743, -113.59034278351558)",
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.4857817252998 53.571963692652254, -113.48578413453413 53.57314532094392))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.51394740286212 53.54826073296235, -113.51578510350576 53.548259591941864))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.482846836809 53.51138560153545, -113.48604774579137 53.511382310587535))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.36902918607984 53.40785500363305, -113.3689689108169 53.39583438109916))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.52122515251226 53.548256889911876, -113.5213899976715 53.548259461396825))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.63057022028839 53.52136456431024, -113.63108096230926 53.52141403525973, -113.63188493392087 53.52146423524037, -113.6325636961677 53.52150472911106, -113.63308221330041 53.521535660366844, -113.63401087202492 53.52158563744897, -113.63478279517521 53.52161781889478, -113.63548293128184 53.52163968794536, -113.63613949311053 53.52165388676757, -113.63699456396577 53.521663240464996, -113.63714974618325 53.52166383059645))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.51656224202513 53.58745822252267, -113.51654934277668 53.58960038132458))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.48279177133466 53.519045171492074, -113.47971350692045 53.51903918592251))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.4618190209077 53.57355618366842, -113.46274057443222 53.57355749631014, -113.46366192983535 53.5735588016467))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.53505252592952 53.590702325821965, -113.53505643315222 53.59130296522591))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.45895720446035 53.48119911975295, -113.45937897879526 53.481544705757116, -113.45995964111974 53.482020466978604, -113.46002321230827 53.48206631886393, -113.4600779580921 53.48210580497803, -113.46021297987313 53.482181810918604, -113.46036265360625 53.48224732992476, -113.46052471418332 53.48230135641521))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.5428697625756 53.55254205189019, -113.5428697101341 53.55394310588001))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.46483243265007 53.544018448781706, -113.46499816527842 53.543991465276164, -113.46569368052839 53.54388655195291, -113.46655697596388 53.54375632967918))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.48276204922327 53.52350982317613, -113.48609792694464 53.52351841037841))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.49764926325062 53.51424015854904, -113.49764608666142 53.51517465697424))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.34433733048124 53.63823082954264, -113.34432078326638 53.640724770394705, -113.34431881893136 53.64076972202761))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.45557680658891 53.54122418229182, -113.45684121189976 53.54122941544593))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.52866233371253 53.54301780106905, -113.52971496604036 53.543022033393015, -113.5300016505378 53.543023184564376, -113.53075398856271 53.543023751533646))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.55800356941668 53.543040488825746, -113.55800929643408 53.54360104494132, -113.55800441373465 53.54406674292181, -113.55800392135137 53.54433497620869))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.50032671529215 53.48815824114084, -113.49895874932906 53.48814851207158))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.50106756928759 53.540940868644185, -113.50106823755766 53.54150674409173, -113.50107001388272 53.543011020781194))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.49763236891545 53.51907160369364, -113.49761555581529 53.51903024699264, -113.497615847068 53.51859604740132, -113.49761616038377 53.518128898337466, -113.49762439636578 53.5180751617949))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.53349138529751 53.58494147825695, -113.5342780143072 53.584951852214424, -113.53505209689133 53.58496205578819))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.47315057248636 53.532022706793235, -113.47524876542172 53.53201961565933))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.55127482112431 53.57028804410614, -113.55215183901473 53.57028756410613, -113.55284632079712 53.57028988883327, -113.55465131750458 53.57029147125062))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.57985737694624 53.55415095772161, -113.57987277380668 53.55585760065363))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.60263881154546 53.54640304394868, -113.60264490661629 53.548060715233774, -113.60264729327076 53.54870980081261))"
"P2022-006862","2022-09-07T00:00:00.000","2022-09-14T00:00:00.000","CONCRETE REPAIR","83 AVENUE NW","From 98 STREET NW; To 97 STREET NW","23 AVENUE [WESTBOUND SIDE] NW, 66 STREET [SOUTHBOUND SIDE] NW","Actual Road Segment","1 - Standard (06:00-09:00, 15:30-18:30 hrs.)","Yes","Yes","Yes","53.5190421886136","-113.48125263895277","
,  
(53.5190421886136, -113.48125263895277)",
"P2022-005960","2022-07-27T00:00:00.000","2022-09-30T00:00:00.000","OTHER","80 AVENUE NW","From 154 STREET NW; To 80 AVENUE NW",,"Lat/Long Point for Reference",,"No","No","No","53.513595075293196","-113.58744476383966","
,  
(53.513595075293196, -113.58744476383966)",
"P2022-005246","2022-08-01T00:00:00.000","2023-03-31T00:00:00.000","CROSSING TEMPORARY TCP","103 AVENUE NW","From 147 STREET NW; To 148 STREET NW",,"Actual Road Segment","2 - No Restrictions",,,,"53.544018824725754","-113.57514432404975","
,  
(53.544018824725754, -113.57514432404975)",
"P2021-001303","2021-03-10T00:00:00.000","2031-06-22T00:00:00.000","X - OSCAM ADMIN","104 STREET NW","From 104 STREET NW; To ROSSDALE ROAD NW",,"Lat/Long Point for Reference","1 - Standard (06:00-09:00, 15:30-18:30 hrs.)","Unknown","Unknown","Unknown","53.53112000284278","-113.49876770934527","
,  
(53.53112000284278, -113.49876770934527)",
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.47969733392837 53.5673574531914, -113.47972994993361 53.568885771416035))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.49489699564558 53.5180697432344, -113.49485506431351 53.5180154373148, -113.493832196906 53.51801458133467, -113.493809867921 53.518011880631605))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.51381246965396 53.435166204468715, -113.51549376263694 53.43513865993285, -113.51583761914618 53.43513955635822, -113.516059438798 53.43514352667525, -113.51626785798797 53.43515379482507, -113.51653624532555 53.43517755709123, -113.51684796075399 53.43522055925377, -113.51719906950356 53.435279472162584, -113.51776165764564 53.43538130266319, -113.51816034508704 53.43545450613514, -113.51862297124063 53.43553587538279, -113.51877891352292 53.43564866914888, -113.5188352133502 53.435692513117935, -113.51887876196739 53.43573155220721, -113.51893793655633 53.43579473638149, -113.51898922215572 53.43586461285245, -113.51901983620215 53.43592325024354, -113.51904963977196 53.43599127249234, -113.51911485534316 53.43619199929331, -113.51898242010999 53.43650194162084, -113.51856957385593 53.43742695910577, -113.51839230906464 53.437842548738246, -113.51830814754214 53.438088268321884, -113.51823017481068 53.4383983308161, -113.51817537864201 53.43878326929458, -113.51816596781873 53.43901873049265, -113.51816511520796 53.43939852564067))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.51206944324254 53.52385132796802, -113.51253478715901 53.52384661588209, -113.5128324794659 53.523846479454036, -113.5132663321034 53.523846279457814, -113.5150071549271 53.523846535252204))"
"P2022-006569","2022-08-30T00:00:00.000","2022-10-07T00:00:00.000","GRINDING & PAVING","STANTON DRIVE SW","From 11 AVENUE SW; To 12 AVENUE SW",,"Actual Road Segment","1 - Standard (06:00-09:00, 15:30-18:30 hrs.)",,,,"53.423048118295334","-113.45530873565741","
,  
(53.423048118295334, -113.45530873565741)",
"P2022-006092","2022-09-06T00:00:00.000","2022-10-08T00:00:00.000","SIDEWALK REPAIR","167 AVENUE [WESTBOUND SIDE] NW","From 138 STREET NW; To 142 STREET [NORTHBOUND SIDE] NW",,"Actual Road Segment","6 - Special Arrangement","Unknown","Unknown","Unknown","53.6287783393495","-113.5635888453025","
,  
(53.6287783393495, -113.5635888453025)",
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.47648540542683 53.51133341901813, -113.4764885002136 53.51177543635288, -113.47649220249204 53.51180835108374, -113.47649468075254 53.51183917354971, -113.47651650189579 53.51190167840785, -113.47657525587759 53.512024108054895, -113.47673074830044 53.512282752790895))"
"P2021-001303","2021-03-10T00:00:00.000","2031-06-22T00:00:00.000","X - OSCAM ADMIN","97 AVENUE [EASTBOUND SIDE] NW","From 104 STREET NW; To ROSSDALE ROAD NW",,"Actual Road Segment","1 - Standard (06:00-09:00, 15:30-18:30 hrs.)","Unknown","Unknown","Unknown","53.53390790149998","-113.49813954988439","
,  
(53.53390790149998, -113.49813954988439)",
"P2022-005809","2022-07-25T00:00:00.000","2022-09-26T00:00:00.000","WASTE BIN POD SEACAN","147 STREET NW","From 106 AVENUE NW; To 106A AVENUE NW",,"Actual Road Segment","2 - No Restrictions","No","Yes","Yes","53.549458731482375","-113.57432218792263","
,  
(53.549458731482375, -113.57432218792263)",
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.51213432731404 53.520993508128626, -113.51213489325797 53.520519112989064, -113.51213621831207 53.52004474218325))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.61796723793266 53.519675851498235, -113.61846577972662 53.51970416747115, -113.619041745263 53.51974167136386, -113.6193980300221 53.51977038268452, -113.61963854670296 53.519792063604896, -113.61997246263638 53.51982448045592, -113.62024540606764 53.519856452284586, -113.62075662558684 53.51990837475326, -113.6209469415933 53.519937418216564, -113.62193554993833 53.520077756864225, -113.62196007089726 53.52008161348052, -113.62208084323227 53.52010086364406, -113.62368684792884 53.52036840751095))"
"P2022-002402","2022-06-29T00:00:00.000","2022-09-16T00:00:00.000","POWER REPAIR REPLACE","JASPER AVENUE NW","From 104 STREET NW; To 105 STREET NW",,"Actual Road Segment","2 - No Restrictions","No","No","No","53.54093603674061","-113.50015846806227","
,  
(53.54093603674061, -113.50015846806227)",
"P2022-002415","2022-04-13T00:00:00.000","2022-11-01T00:00:00.000","CAFE RETAIL SPACE","JASPER AVENUE NW","From 112 STREET NW; To 113 STREET NW",,"Actual Road Segment","2 - No Restrictions","No","Yes","Yes","53.54094041621164","-113.5148737381695","
,  
(53.54094041621164, -113.5148737381695)",
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.44298643588455 53.517983502935245, -113.4429870363544 53.517760533766655, -113.44298895613188 53.51704763660405))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.47968618235494 53.58914456757491, -113.47970295181584 53.590038088881045))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.41822807364 53.51086849630531, -113.41825790551464 53.51206428677414, -113.41827027000171 53.51249147088442))"
"P2021-001303","2021-03-10T00:00:00.000","2031-06-22T00:00:00.000","X - OSCAM ADMIN","97 AVENUE [EASTBOUND SIDE] NW","From 102 STREET NW; To 101 STREET NW",,"Actual Road Segment","1 - Standard (06:00-09:00, 15:30-18:30 hrs.)","Unknown","Unknown","Unknown","53.534006736331435","-113.49464732520704","
,  
(53.534006736331435, -113.49464732520704)",
"P2022-005441","2022-08-15T00:00:00.000","2022-09-15T00:00:00.000","DRAINAGE REPAIR REPLACE","105 STREET NW","From 87 AVENUE NW; To SASKATCHEWAN DRIVE NW",,"Actual Road Segment","2 - No Restrictions","Yes","No","Yes","53.52289314206299","-113.50044439825358","
,  
(53.52289314206299, -113.50044439825358)",
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.50872855317326 53.62047838349626, -113.50872944217731 53.62050056833456, -113.50871881881719 53.62054086253222, -113.5085755621988 53.620916294588035, -113.50843309232717 53.62148565866773, -113.50842120895096 53.62153070177478))"
"P2021-010584","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000",,"MEADOWLARK ROAD [SOUTHBOUND SIDE] NW","From 90 AVENUE NW; To 89 AVENUE NW",,"Actual Road Segment","6 - Special Arrangement","Unknown","Unknown","Unknown","53.52310507537524","-113.59283809229034","
,  
(53.52310507537524, -113.59283809229034)",
"P2022-007039","2022-09-06T00:00:00.000","2022-09-20T00:00:00.000","TELECOM REPAIR REPLACE","50 STREET [SOUTHBOUND SIDE] NW","From 94B AVENUE NW; To 94B AVENUE NW",,"Lat/Long Point for Reference","1 - Standard (06:00-09:00, 15:30-18:30 hrs.)","Unknown","Unknown","Unknown","53.53392899377589","-113.41869899177533","
,  
(53.53392899377589, -113.41869899177533)",
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.49408450459981 53.519979968218074, -113.4941786375877 53.52001191689964, -113.49433082137206 53.52095645152842))"
"P2021-009997","2022-01-10T00:00:00.000","2022-10-01T00:00:00.000","DRAINAGE TUNNEL SHAFT","118 AVENUE NW","From 87 STREET NW; To 88 STREET NW","118 AVENUE NW, 88 STREET NW","Actual Road Segment","6 - Special Arrangement","Unknown","Unknown","Yes","53.57039181536107","-113.47576334649087","
,  
(53.57039181536107, -113.47576334649087)",
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.5255744058307 53.523361596042754, -113.52556727858249 53.5230017279431, -113.5255548973155 53.522906504322165, -113.5255343702165 53.52274360691809, -113.52551005599129 53.52128573611331, -113.52550205992372 53.52080627729872, -113.52549927833762 53.52063948623436, -113.52549765850068 53.51935313617581))"
"P2022-002971","2022-05-02T00:00:00.000","2022-10-21T00:00:00.000","OTHER","109 STREET [NORTHBOUND SIDE] NW","From 109 STREET NW; To WALTERDALE HILL NW",,"Actual Road Segment","6 - Special Arrangement","Unknown","Unknown","Unknown","53.523413791981675","-113.51193422070725","
,  
(53.523413791981675, -113.51193422070725)",
"P2022-002417","2022-04-13T00:00:00.000","2022-11-01T00:00:00.000","CAFE RETAIL SPACE","124 STREET NW","From 102 AVENUE NW; To 103 AVENUE NW",,"Actual Road Segment","2 - No Restrictions","No","Yes","Yes","53.54382078998492","-113.53589747223299","
,  
(53.54382078998492, -113.53589747223299)",
"P2022-007398","2022-09-08T00:00:00.000","2022-10-08T00:00:00.000","WASTE BIN POD SEACAN","105 AVENUE NW","From 140 STREET NW; To 142 STREET NW",,"Actual Road Segment","2 - No Restrictions",,"Yes",,"53.54777402663438","-113.56440024603965","
,  
(53.54777402663438, -113.56440024603965)",
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.58208021527744 53.514193406781864, -113.58219186228435 53.514262694345625, -113.58225226898003 53.51430808526063, -113.58230517905386 53.514358302965995, -113.58235843523907 53.5144266984908, -113.58240808959687 53.51454125315667, -113.58241667121074 53.514632856166415, -113.5824050527666 53.5150470794662, -113.58228481682623 53.51505260774372, -113.58215162559169 53.51506554138205, -113.58201541222705 53.51508650475147, -113.58168179708017 53.51515558645295, -113.58127076010474 53.51524154849002, -113.58117170902416 53.51527865528625, -113.58111142580078 53.51533434135877, -113.58100195031541 53.51552239113752, -113.58098370347943 53.515565691049304, -113.58097829059646 53.51560597419067, -113.58097360859493 53.51609386817404, -113.5809770891542 53.51650709170032, -113.58097630941081 53.51692718614824, -113.57889089380923 53.51692561536274, -113.57816989470898 53.51692542289642))"
"P2022-004957","2022-07-20T00:00:00.000","2022-09-16T00:00:00.000","OTHER","129 AVENUE NW","From 103 STREET NW; To 104 STREET NW",,"Actual Road Segment","2 - No Restrictions","No","Yes","No","53.58736378595738","-113.49812312485258","
,  
(53.58736378595738, -113.49812312485258)",
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.49371843548803 53.53087921087853, -113.49371919437351 53.53246162872751))"
"P2022-005813","2022-08-25T00:00:00.000","2022-09-16T00:00:00.000","STREET LIGHT INSTALL","50 STREET [SOUTHBOUND SIDE] NW","From 50 STREET [SOUTHBOUND SIDE] NW; To SHERWOOD PARK FREEWAY [WESTBOUND SIDE] NW",,"Lat/Long Point for Reference","1 - Standard (06:00-09:00, 15:30-18:30 hrs.)","No","No","No","53.514794417921365","-113.41852645105553","
,  
(53.514794417921365, -113.41852645105553)",
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.47371111475776 53.60631183426597, -113.47293939325371 53.606450928703445, -113.47224252914786 53.606576513162246))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.50794663042784 53.4883075151736, -113.50876442536435 53.48830709132753, -113.50890811742643 53.48830683061179, -113.509540639299 53.48830399866322, -113.51097182247088 53.48830229333736, -113.51242196847657 53.4882991824581, -113.51319084159195 53.48829952876136, -113.51400715947105 53.488296249120474, -113.51591138132902 53.48829584576779, -113.5164748122138 53.48829408432268, -113.51675859696752 53.48829874361545, -113.51709905967057 53.48829656917638, -113.51768125465465 53.488303351504484, -113.5182752777132 53.48829856975916, -113.51834470709818 53.48830177401872, -113.51902926325693 53.4883084029731, -113.51978489629892 53.48830814831997, -113.52023516424963 53.488309647123515, -113.52099072812447 53.488312173452556, -113.52273120008809 53.4883135884054, -113.52401501069546 53.48831559526389, -113.5247740432707 53.48831830003953, -113.52549425530255 53.488323639927984, -113.525888421734 53.488324159328066, -113.52661396805655 53.48832280445975, -113.52732881479092 53.48832596223327, -113.52803880850176 53.48832248720054, -113.52877847812759 53.488334720139356, -113.53173992244625 53.488341140995374, -113.53372988988964 53.488338581295466, -113.53858083140234 53.48835740654184, -113.53989543410054 53.48835886271143, -113.54046639238909 53.48837864216335, -113.54105581594534 53.48837982425753, -113.54123166566293 53.488367026440265, -113.54210351144287 53.48836747863116, -113.54214984417956 53.48836729928474, -113.54221878584809 53.48830318287009))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.4826923041596 53.56581545778632, -113.48343773229395 53.56581014231926, -113.48418760985086 53.565803096954454))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.45812081376066 53.52460452221707, -113.45813079623107 53.524661961888505, -113.45814335111824 53.52470335165328, -113.45815881296906 53.524740992849516, -113.45817552615519 53.52477372787418, -113.45819622394535 53.524807661235585, -113.45821940933617 53.524840095747855, -113.45824954274008 53.52487633421573, -113.45828411711601 53.524912151473714, -113.45830354814073 53.52493968593508, -113.45830811591891 53.52496756890197, -113.45830232956483 53.52498889692857, -113.45828359065464 53.525014179435075, -113.45820869545727 53.52508545078189))"
"P2022-006368","2022-08-15T00:00:00.000","2022-09-30T00:00:00.000","GRINDING & PAVING","94 STREET NW","From 132A AVENUE NW; To 134 AVENUE NW",,"Actual Road Segment","2 - No Restrictions",,,,"53.59445189262651","-113.48631089728146","
,  
(53.59445189262651, -113.48631089728146)",
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.57968052511134 53.51605096650895, -113.57984552788457 53.51609134989834, -113.58029803803325 53.51609236133972, -113.58097360859493 53.51609386817404))"
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.53235781168465 53.541201173379356, -113.53235638989334 53.54144396666559, -113.53235467759308 53.541736321266, -113.5323471385971 53.54302366834077))"
"P2022-005292","2022-07-20T00:00:00.000","2022-09-30T00:00:00.000","TELECOM INSTALL","11 AVENUE SW","From 76 STREET SW; To STANTON DRIVE SW",,"Actual Road Segment","1 - Standard (06:00-09:00, 15:30-18:30 hrs.)","Unknown","Yes","Unknown","53.42345202829756","-113.45446505410301","
,  
(53.42345202829756, -113.45446505410301)",
"P2022-002910","2022-05-09T00:00:00.000","2023-05-02T00:00:00.000","OTHER","ELLERSLIE ROAD [EASTBOUND SIDE] SW","From HERITAGE VALLEY TRAIL SW; To 127 STREET SW",,"Actual Road Segment","1 - Standard (06:00-09:00, 15:30-18:30 hrs.)","No","No","No","53.42471338190701","-113.54434842156871","
,  
(53.42471338190701, -113.54434842156871)",
"P2022-002422","2022-04-25T00:00:00.000","2022-11-15T00:00:00.000","ROAD CONSTRUCTION REHAB","89 AVENUE NW","From UNIVERSITY TRANSIT CENTRE NW; To 112 STREET NW",,"Lat/Long Point for Reference","2 - No Restrictions","Yes","Yes","Yes","53.524743720161574","-113.52097613972182","
,  
(53.524743720161574, -113.52097613972182)",
"P2022-006498","2022-08-15T00:00:00.000","2022-09-14T00:00:00.000","F.A.C. INSPECTION","109 AVENUE NW","From 112 STREET NW; To 113 STREET NW",,"Actual Road Segment","1 - Standard (06:00-09:00, 15:30-18:30 hrs.)","No","Yes","No","53.55458649671965","-113.51487582600964","
,  
(53.55458649671965, -113.51487582600964)",
"P2022-004001","2022-08-02T00:00:00.000","2022-10-08T00:00:00.000","GAS LINE REPAIR REPLACE","168 AVENUE NW","From 100 STREET NW; To 101 STREET NW",,"Actual Road Segment","2 - No Restrictions",,"Yes","Yes","53.630124454601535","-113.49911661396625","
,  
(53.630124454601535, -113.49911661396625)",
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.57790291420903 53.58119350935722, -113.57688022064755 53.58118557392606, -113.57606444026545 53.58118274773479, -113.57391632041286 53.581195954532255, -113.5727590080571 53.5811933656849, -113.57117711526432 53.58118511495322))"
"P2021-004252","2021-06-28T00:00:00.000","2023-09-15T00:00:00.000","ROAD CONSTRUCTION NEW","YELLOWHEAD TRAIL [EASTBOUND SIDE] NW","From 149 STREET [SOUTHBOUND SIDE] NW; To 149 STREET [SOUTHBOUND SIDE] NW","149 STREET [SOUTHBOUND SIDE] NW, YELLOWHEAD TRAIL [WESTBOUND SIDE] NW","Lat/Long Point for Reference","6 - Special Arrangement","No","Unknown","Yes","53.58119292409112","-113.57809605998231","
,  
(53.58119292409112, -113.57809605998231)",
,,,,,,,,,,,,,,,"MULTILINESTRING ((-113.45522075534907 53.51809469046522, -113.45522085175398 53.51798954917155))"
"P2022-006739","2022-08-29T00:00:00.000","2022-09-14T00:00:00.000","MONITORING WELL INSTALL","FORT ROAD NW","From 85 STREET NW; To 115 AVENUE NW",,"Actual Road Segment","1 - Standard (06:00-09:00, 15:30-18:30 hrs.)","No","No","No","53.5659900451111","-113.47196645405124","
,  
(53.5659900451111, -113.47196645405124)",
"P2022-005966","2022-08-15T00:00:00.000","2022-09-15T00:00:00.000","WASTE BIN POD SEACAN","80 STREET NW","From 15 AVENUE NW; To 15A AVENUE NW",,"Actual Road Segment","1 - Standard (06:00-09:00, 15:30-18:30 hrs.)","No","Yes","Yes","53.44576866115634","-113.45313685698912","
,  
(53.44576866115634, -113.45313685698912)",
"P2021-010085","2022-02-18T00:00:00.000","2022-09-30T00:00:00.000","TREE SHRUB HOARDING","70 AVENUE NW","From 98 STREET NW; To 99 STREET [NORTHBOUND SIDE] NW",,"Actual Road Segment","6 - Special Arrangement","No","No","No","53.50663740112551","-113.48448749855473","
,  
(53.50663740112551, -113.48448749855473)",
"P2021-001303","2021-03-10T00:00:00.000","2031-06-22T00:00:00.000","X - OSCAM ADMIN","97 AVENUE [EASTBOUND SIDE] NW","From 101 STREET NW; To JAMES MACDONALD BRIDGE NW",,"Actual Road Segment","1 - Standard (06:00-09:00, 15:30-18:30 hrs.)","Unknown","Unknown","Unknown","53.535409257206844","-113.48996667871228","
,  
(53.535409257206844, -113.48996667871228)",
"P2022-006488","2022-08-23T00:00:00.000","2022-09-16T00:00:00.000","OTHER","GATEWAY BOULEVARD NW","From 34 AVENUE [EASTBOUND SIDE] NW; To 34 AVENUE [WESTBOUND SIDE] NW",,"Actual Road Segment","1 - Standard (06:00-09:00, 15:30-18:30 hrs.)","No","No","No","53.46773911028661","-113.49205361982989","
,  
(53.46773911028661, -113.49205361982989)",
