"year","month","month_number","license_date","neighbourhood","neighbourhood_id","pet_type","breed","gender","spayed_or_neutered","latitude","longitude","location","count","point_location"
"2020","November","11","2020-11-05T00:00:00.000","Montrose","2550","Dog","BULL TERRIER","Male","Yes","53.575116228950925","-113.44223031362239","
,  
(53.575116228950925, -113.44223031362239)","1","POINT (-113.44223031362239 53.575116228950925)"
"2021","December","12","2021-12-09T00:00:00.000","Cumberland","3150","Dog","LABRADOR RETRIEVER","Female","Yes","53.61056256776709","-113.55318813533495","
,  
(53.61056256776709, -113.55318813533495)","1","POINT (-113.55318813533495 53.61056256776709)"
"2022","June","6","2022-06-16T00:00:00.000","Pollard Meadows","6580","Dog","BEAGLE","Female","Yes","53.44911501879785","-113.41303221696194","
,  
(53.44911501879785, -113.41303221696194)","1","POINT (-113.41303221696194 53.44911501879785)"
"2022","March","3","2022-03-11T00:00:00.000","Beaumaris","3040","Dog","YORKSHIRE TERRIER","Male","Yes","53.61842233818305","-113.50500707136739","
,  
(53.61842233818305, -113.50500707136739)","1","POINT (-113.50500707136739 53.61842233818305)"
"2021","October","10","2021-10-15T00:00:00.000","King Edward Park","6360","Cat","DOMESTIC (SHORT HAIR)","Female","Yes","53.515151157263325","-113.45056960491442","
,  
(53.515151157263325, -113.45056960491442)","1","POINT (-113.45056960491442 53.515151157263325)"
"2021","October","10","2021-10-21T00:00:00.000","Jackson Heights","6330","Dog","BOXER","Female","Yes","53.481660241744535","-113.41084771732","
,  
(53.481660241744535, -113.41084771732)","1","POINT (-113.41084771732 53.481660241744535)"
"2022","August","8","2022-08-25T00:00:00.000","Inglewood","3240","Cat","BENGAL (TICA CERTIFIED F4 OR HIGHER)","Female","Yes","53.56460646698089","-113.5408521708131","
,  
(53.56460646698089, -113.5408521708131)","1","POINT (-113.5408521708131 53.56460646698089)"
"2021","October","10","2021-10-29T00:00:00.000","Twin Brooks","5511","Dog","GOLDEN RETRIEVER","Female","Yes","53.444688598308645","-113.53149747692723","
,  
(53.444688598308645, -113.53149747692723)","1","POINT (-113.53149747692723 53.444688598308645)"
"2022","June","6","2022-06-01T00:00:00.000","Evergreen","2270","Cat","DOMESTIC (LONG HAIR)","Male","Yes","53.63227722754216","-113.35048373190156","
,  
(53.63227722754216, -113.35048373190156)","1","POINT (-113.35048373190156 53.63227722754216)"
"2021","December","12","2021-12-12T00:00:00.000","Wellington","3430","Cat","DOMESTIC (SHORT HAIR)","Male","Yes","53.59583297330853","-113.55269493371438","
,  
(53.59583297330853, -113.55269493371438)","1","POINT (-113.55269493371438 53.59583297330853)"
"2022","April","4","2022-04-06T00:00:00.000","Ritchie","6610","Cat","DOMESTIC (SHORT HAIR)","Male","Yes","53.51327510136197","-113.48274211553915","
,  
(53.51327510136197, -113.48274211553915)","1","POINT (-113.48274211553915 53.51327510136197)"
"2022","April","4","2022-04-21T00:00:00.000","Woodcroft","3450","Cat","DOMESTIC (SHORT HAIR)","Female","Yes","53.56459542401217","-113.55832687217452","
,  
(53.56459542401217, -113.55832687217452)","1","POINT (-113.55832687217452 53.56459542401217)"
"2021","December","12","2021-12-10T00:00:00.000","Overlanders","2590","Dog","GERMAN SHEPHERD","Male","Yes","53.581010650540904","-113.38817648192281","
,  
(53.581010650540904, -113.38817648192281)","1","POINT (-113.38817648192281 53.581010650540904)"
"2021","November","11","2021-11-16T00:00:00.000","Kirkness","2430","Cat","DOMESTIC (LONG HAIR)","Male","Yes","53.611416205013775","-113.38839885107339","
,  
(53.611416205013775, -113.38839885107339)","1","POINT (-113.38839885107339 53.611416205013775)"
"2021","November","11","2021-11-30T00:00:00.000","Carlisle","3090","Dog","BICHON FRISE","Male","Yes","53.603520218665025","-113.5259146262839","
,  
(53.603520218665025, -113.5259146262839)","1","POINT (-113.5259146262839 53.603520218665025)"
"2022","March","3","2022-03-21T00:00:00.000","Eastwood","1100","Cat","DOMESTIC (MEDIUM HAIR)","Male","Yes","53.57610461451422","-113.46873040177114","
,  
(53.57610461451422, -113.46873040177114)","1","POINT (-113.46873040177114 53.57610461451422)"
"2021","December","12","2021-12-21T00:00:00.000","Parkdale","1160","Cat","DOMESTIC (SHORT HAIR)","Female","Yes","53.56571569943334","-113.4713503779581","
,  
(53.56571569943334, -113.4713503779581)","1","POINT (-113.4713503779581 53.56571569943334)"
"2022","July","7","2022-07-14T00:00:00.000","Twin Brooks","5511","Dog","SIBERIAN HUSKY","Female","Yes","53.444688598308645","-113.53149747692723","
,  
(53.444688598308645, -113.53149747692723)","1","POINT (-113.53149747692723 53.444688598308645)"
"2021","September","9","2021-09-16T00:00:00.000","Larkspur","6390","Cat","DOMESTIC (SHORT HAIR)","Female","Yes","53.4802104573005","-113.38123994870551","
,  
(53.4802104573005, -113.38123994870551)","1","POINT (-113.38123994870551 53.4802104573005)"
"2022","January","1","2022-01-24T00:00:00.000","Bisset","6030","Dog","LABRADOR RETRIEVER","Female","Yes","53.45890549448208","-113.40065946435666","
,  
(53.45890549448208, -113.40065946435666)","1","POINT (-113.40065946435666 53.45890549448208)"
"2021","December","12","2021-12-02T00:00:00.000","Rosslyn","3390","Cat","DOMESTIC (SHORT HAIR)","Male","Yes","53.59575774042817","-113.50428716089968","
,  
(53.59575774042817, -113.50428716089968)","1","POINT (-113.50428716089968 53.59575774042817)"
"2021","December","12","2021-12-30T00:00:00.000","Prince Charles","3350","Cat","DOMESTIC (SHORT HAIR)","Male","Yes","53.575635452188386","-113.53600199079429","
,  
(53.575635452188386, -113.53600199079429)","1","POINT (-113.53600199079429 53.575635452188386)"
"2022","April","4","2022-04-17T00:00:00.000","Ritchie","6610","Dog","BORDER COLLIE","Male","Yes","53.51327510136197","-113.48274211553915","
,  
(53.51327510136197, -113.48274211553915)","1","POINT (-113.48274211553915 53.51327510136197)"
"2020","October","10","2020-10-21T00:00:00.000","Windermere","5570","Dog","HAVANESE","Female","Yes","53.43256309736921","-113.62600779671197","
,  
(53.43256309736921, -113.62600779671197)","1","POINT (-113.62600779671197 53.43256309736921)"
"2021","September","9","2021-09-24T00:00:00.000","Beaumaris","3040","Dog","HAVANESE","Male","Yes","53.61842233818305","-113.50500707136739","
,  
(53.61842233818305, -113.50500707136739)","1","POINT (-113.50500707136739 53.61842233818305)"
"2021","November","11","2021-11-20T00:00:00.000","Parkdale","1160","Cat","DOMESTIC (SHORT HAIR)","Female","Yes","53.56571569943334","-113.4713503779581","
,  
(53.56571569943334, -113.4713503779581)","1","POINT (-113.4713503779581 53.56571569943334)"
"2021","December","12","2021-12-22T00:00:00.000","Belmont","2070","Dog","BORDER COLLIE","Female","No","53.59312408353891","-113.39437923899207","
,  
(53.59312408353891, -113.39437923899207)","1","POINT (-113.39437923899207 53.59312408353891)"
"2022","July","7","2022-07-11T00:00:00.000","Baturyn","3030","Dog","CHIHUAHUA (LONG HAIR)","Female","Yes","53.630979825087536","-113.50433944738286","
,  
(53.630979825087536, -113.50433944738286)","1","POINT (-113.50433944738286 53.630979825087536)"
"2022","September","9","2022-09-08T00:00:00.000","Beverly Heights","2100","Dog","GREAT PYRENEES","Female","No","53.56412226715621","-113.4026523522456","
,  
(53.56412226715621, -113.4026523522456)","1","POINT (-113.4026523522456 53.56412226715621)"
"2022","February","2","2022-02-04T00:00:00.000","Hollick-Kenyon","2340","Dog","RHODESIAN RIDGEBACK","Female","Yes","53.62224418238982","-113.42228786136482","
,  
(53.62224418238982, -113.42228786136482)","1","POINT (-113.42228786136482 53.62224418238982)"
"2022","August","8","2022-08-02T00:00:00.000","Britannia Youngstown","4060","Dog","AMERICAN ESKIMO (MINIATURE)","Male","Yes","53.546294619699125","-113.60151037145036","
,  
(53.546294619699125, -113.60151037145036)","1","POINT (-113.60151037145036 53.546294619699125)"
"2022","August","8","2022-08-14T00:00:00.000","Hazeldean","6290","Dog","LABRADOR RETRIEVER","Male","Yes","53.504205803712985","-113.47788889905675","
,  
(53.504205803712985, -113.47788889905675)","1","POINT (-113.47788889905675 53.504205803712985)"
"2022","September","9","2022-09-02T00:00:00.000","Ozerna","2600","Cat","DOMESTIC (SHORT HAIR)","Male","Yes","53.62227515498189","-113.44902424994382","
,  
(53.62227515498189, -113.44902424994382)","1","POINT (-113.44902424994382 53.62227515498189)"
"2022","May","5","2022-05-31T00:00:00.000","Beverly Heights","2100","Dog","DOBERMAN PINSCHER","Male","No","53.56412226715621","-113.4026523522456","
,  
(53.56412226715621, -113.4026523522456)","1","POINT (-113.4026523522456 53.56412226715621)"
"2021","November","11","2021-11-16T00:00:00.000","Ottewell","6550","Dog","UNKNOWN","Male","Yes","53.53128518402029","-113.43074600681692","
,  
(53.53128518402029, -113.43074600681692)","1","POINT (-113.43074600681692 53.53128518402029)"
"2022","March","3","2022-03-16T00:00:00.000","Bonnie Doon","6040","Dog","SIBERIAN HUSKY","Male","Yes","53.5253371249322","-113.46711141142592","
,  
(53.5253371249322, -113.46711141142592)","1","POINT (-113.46711141142592 53.5253371249322)"
"2021","June","6","2021-06-14T00:00:00.000","Wellington","3430","Dog","SHIH TZU","Female","Yes","53.59583297330853","-113.55269493371438","
,  
(53.59583297330853, -113.55269493371438)","1","POINT (-113.55269493371438 53.59583297330853)"
"2022","June","6","2022-06-10T00:00:00.000","Prince Charles","3350","Cat","UNKNOWN","Male","Yes","53.575635452188386","-113.53600199079429","
,  
(53.575635452188386, -113.53600199079429)","1","POINT (-113.53600199079429 53.575635452188386)"
"2022","April","4","2022-04-19T00:00:00.000","Dunluce","3180","Cat","HIMALAYAN","Female","Yes","53.621472989031105","-113.53018332469873","
,  
(53.621472989031105, -113.53018332469873)","1","POINT (-113.53018332469873 53.621472989031105)"
"2021","December","12","2021-12-09T00:00:00.000","Thorncliff","4560","Dog","LABRADOR RETRIEVER","Female","Yes","53.516698393669","-113.62282783095934","
,  
(53.516698393669, -113.62282783095934)","1","POINT (-113.62282783095934 53.516698393669)"
"2022","February","2","2022-02-14T00:00:00.000","Evansdale","2260","Dog","POMERANIAN","Male","Yes","53.6108411103013","-113.47956893114764","
,  
(53.6108411103013, -113.47956893114764)","1","POINT (-113.47956893114764 53.6108411103013)"
"2022","March","3","2022-03-25T00:00:00.000","Caernarvon","3060","Dog","WEST HIGHLAND WHITE TERRIER","Male","Yes","53.611899751032084","-113.52640171559892","
,  
(53.611899751032084, -113.52640171559892)","1","POINT (-113.52640171559892 53.611899751032084)"
"2022","August","8","2022-08-08T00:00:00.000","Montrose","2550","Cat","DOMESTIC (LONG HAIR)","Male","Yes","53.575116228950925","-113.44223031362239","
,  
(53.575116228950925, -113.44223031362239)","1","POINT (-113.44223031362239 53.575116228950925)"
"2022","August","8","2022-08-26T00:00:00.000","Westwood","1250","Dog","UNKNOWN","Female","Yes","53.57594235516385","-113.49858458540668","
,  
(53.57594235516385, -113.49858458540668)","1","POINT (-113.49858458540668 53.57594235516385)"
"2022","September","9","2022-09-03T00:00:00.000","Jackson Heights","6330","Dog","COCKER SPANIEL","Female","Yes","53.481660241744535","-113.41084771732","
,  
(53.481660241744535, -113.41084771732)","1","POINT (-113.41084771732 53.481660241744535)"
"2022","May","5","2022-05-16T00:00:00.000","Lauderdale","3260","Dog","BOXER","Male","Yes","53.58844884918568","-113.5042561895271","
,  
(53.58844884918568, -113.5042561895271)","1","POINT (-113.5042561895271 53.58844884918568)"
"2022","July","7","2022-07-25T00:00:00.000","Evansdale","2260","Cat","DOMESTIC (SHORT HAIR)","Female","Yes","53.6108411103013","-113.47956893114764","
,  
(53.6108411103013, -113.47956893114764)","1","POINT (-113.47956893114764 53.6108411103013)"
"2022","May","5","2022-05-11T00:00:00.000","Woodcroft","3450","Dog","LHASA APSO","Female","Yes","53.56459542401217","-113.55832687217452","
,  
(53.56459542401217, -113.55832687217452)","1","POINT (-113.55832687217452 53.56459542401217)"
"2021","November","11","2021-11-02T00:00:00.000","West Jasper Place","4580","Dog","LABRADOR RETRIEVER","Female","Yes","53.53662987133278","-113.58414434604617","
,  
(53.53662987133278, -113.58414434604617)","1","POINT (-113.58414434604617 53.53662987133278)"
"2021","November","11","2021-11-19T00:00:00.000","Wild Rose","6790","Dog","LABRADOR RETRIEVER","Male","Yes","53.47056409015751","-113.3811672388747","
,  
(53.47056409015751, -113.3811672388747)","1","POINT (-113.3811672388747 53.47056409015751)"
"2021","December","12","2021-12-03T00:00:00.000","Beverly Heights","2100","Dog","YORKSHIRE TERRIER","Male","Yes","53.56412226715621","-113.4026523522456","
,  
(53.56412226715621, -113.4026523522456)","1","POINT (-113.4026523522456 53.56412226715621)"
"2021","September","9","2021-09-17T00:00:00.000","Bisset","6030","Dog","ALASKAN MALAMUTE","Male","Yes","53.45890549448208","-113.40065946435666","
,  
(53.45890549448208, -113.40065946435666)","1","POINT (-113.40065946435666 53.45890549448208)"
"2022","February","2","2022-02-02T00:00:00.000","Greenfield","5220","Dog","CROSSBREED (MEDIUM)","Female","Yes","53.47107265307113","-113.52750541737437","
,  
(53.47107265307113, -113.52750541737437)","1","POINT (-113.52750541737437 53.47107265307113)"
"2020","October","10","2020-10-15T00:00:00.000","Strathcona","5480","Cat","DOMESTIC (SHORT HAIR)","Male","Yes","53.522390203493686","-113.4909855541071","
,  
(53.522390203493686, -113.4909855541071)","1","POINT (-113.4909855541071 53.522390203493686)"
"2022","July","7","2022-07-09T00:00:00.000","Holyrood","6310","Dog","RHODESIAN RIDGEBACK","Female","Yes","53.5313605818029","-113.45018981988963","
,  
(53.5313605818029, -113.45018981988963)","1","POINT (-113.45018981988963 53.5313605818029)"
"2022","January","1","2022-01-31T00:00:00.000","Wellington","3430","Cat","DOMESTIC (MEDIUM HAIR)","Male","Yes","53.59583297330853","-113.55269493371438","
,  
(53.59583297330853, -113.55269493371438)","1","POINT (-113.55269493371438 53.59583297330853)"
"2022","February","2","2022-02-24T00:00:00.000","Mayfield","4290","Dog","LABRADOR RETRIEVER","Female","Yes","53.555018032798024","-113.59817021632989","
,  
(53.555018032798024, -113.59817021632989)","1","POINT (-113.59817021632989 53.555018032798024)"
"2021","September","9","2021-09-16T00:00:00.000","Alberta Avenue","1010","Dog","SIBERIAN HUSKY","Female","Yes","53.568485381482176","-113.48511916925099","
,  
(53.568485381482176, -113.48511916925099)","1","POINT (-113.48511916925099 53.568485381482176)"
"2022","April","4","2022-04-03T00:00:00.000","Delwood","2230","Dog","UNKNOWN","Male","Yes","53.59594894276053","-113.4551303486196","
,  
(53.59594894276053, -113.4551303486196)","1","POINT (-113.4551303486196 53.59594894276053)"
"2022","June","6","2022-06-16T00:00:00.000","Pollard Meadows","6580","Dog","GERMAN SHEPHERD","Female","Yes","53.44911501879785","-113.41303221696194","
,  
(53.44911501879785, -113.41303221696194)","1","POINT (-113.41303221696194 53.44911501879785)"
"2022","February","2","2022-02-13T00:00:00.000","Ottewell","6550","Dog","LABRADOR RETRIEVER","Male","Yes","53.53128518402029","-113.43074600681692","
,  
(53.53128518402029, -113.43074600681692)","1","POINT (-113.43074600681692 53.53128518402029)"
"2022","July","7","2022-07-10T00:00:00.000","Beacon Heights","2040","Dog","DACHSHUND (MINIATURE SMOOTH HAIRED)","Female","No","53.57353937720545","-113.40604010233069","
,  
(53.57353937720545, -113.40604010233069)","1","POINT (-113.40604010233069 53.57353937720545)"
"2021","December","12","2021-12-30T00:00:00.000","Dovercourt","3170","Cat","DOMESTIC (SHORT HAIR)","Female","Yes","53.57572651756179","-113.55953411141283","
,  
(53.57572651756179, -113.55953411141283)","1","POINT (-113.55953411141283 53.57572651756179)"
"2021","December","12","2021-12-15T00:00:00.000","Bergman","2090","Dog","LABRADOR RETRIEVER","Female","Yes","53.57956358665413","-113.40966725222509","
,  
(53.57956358665413, -113.40966725222509)","1","POINT (-113.40966725222509 53.57956358665413)"
"2021","November","11","2021-11-26T00:00:00.000","Inglewood","3240","Dog","SIBERIAN HUSKY","Male","Yes","53.56460646698089","-113.5408521708131","
,  
(53.56460646698089, -113.5408521708131)","1","POINT (-113.5408521708131 53.56460646698089)"
"2021","November","11","2021-11-24T00:00:00.000","Delton","1080","Cat","DOMESTIC (MEDIUM HAIR)","Female","Yes","53.57904638464889","-113.48244944665866","
,  
(53.57904638464889, -113.48244944665866)","1","POINT (-113.48244944665866 53.57904638464889)"
"2021","November","11","2021-11-28T00:00:00.000","Woodcroft","3450","Cat","DOMESTIC (SHORT HAIR)","Male","Yes","53.56459542401217","-113.55832687217452","
,  
(53.56459542401217, -113.55832687217452)","1","POINT (-113.55832687217452 53.56459542401217)"
"2021","December","12","2021-12-21T00:00:00.000","Twin Brooks","5511","Dog","PUG","Female","Yes","53.444688598308645","-113.53149747692723","
,  
(53.444688598308645, -113.53149747692723)","1","POINT (-113.53149747692723 53.444688598308645)"
"2022","April","4","2022-04-22T00:00:00.000","Kiniski Gardens","6370","Cat","DOMESTIC (MEDIUM HAIR)","Female","Yes","53.47592374896073","-113.40330287696551","
,  
(53.47592374896073, -113.40330287696551)","1","POINT (-113.40330287696551 53.47592374896073)"
"2022","June","6","2022-06-14T00:00:00.000","Ozerna","2600","Cat","DOMESTIC (SHORT HAIR)","Male","Yes","53.62227515498189","-113.44902424994382","
,  
(53.62227515498189, -113.44902424994382)","1","POINT (-113.44902424994382 53.62227515498189)"
"2022","February","2","2022-02-28T00:00:00.000","Inglewood","3240","Dog","ENGLISH SPRINGER SPANIEL","Male","Yes","53.56460646698089","-113.5408521708131","
,  
(53.56460646698089, -113.5408521708131)","1","POINT (-113.5408521708131 53.56460646698089)"
"2022","April","4","2022-04-13T00:00:00.000","Inglewood","3240","Cat","DOMESTIC (SHORT HAIR)","Female","Yes","53.56460646698089","-113.5408521708131","
,  
(53.56460646698089, -113.5408521708131)","1","POINT (-113.5408521708131 53.56460646698089)"
"2021","December","12","2021-12-04T00:00:00.000","Montrose","2550","Dog","AMERICAN STAFFORDSHIRE TERRIER","Female","Yes","53.575116228950925","-113.44223031362239","
,  
(53.575116228950925, -113.44223031362239)","1","POINT (-113.44223031362239 53.575116228950925)"
"2022","July","7","2022-07-31T00:00:00.000","Jackson Heights","6330","Dog","SIBERIAN HUSKY","Male","No","53.481660241744535","-113.41084771732","
,  
(53.481660241744535, -113.41084771732)","1","POINT (-113.41084771732 53.481660241744535)"
