"name","latitude","longitude","location","type","address","quadrant","url","geometry_point"
"Kenilworth Arena","53.519168702593895","-113.43104958506059","
,  
(53.519168702593895, -113.43104958506059)","Arena","8313 68A St NW, Edmonton, AB T6B 1T3","SE","https://www.edmonton.ca/kenilwortharena/","POINT (-113.43104958506059 53.519168702593895)"
"Grand Trunk Fitness and Leisure Centre","53.58998146642474","-113.51193442897357","
,  
(53.58998146642474, -113.51193442897357)","Recreation Centre","13025 112 St NW, Edmonton, AB T5E 6E4","NW","https://www.edmonton.ca/grandtrunk/","POINT (-113.51193442897357 53.58998146642474)"
"JP Annex","53.526954207035516","-113.6040604826989","
,  
(53.526954207035516, -113.6040604826989)","Attraction",,"NW","https://www.edmonton.ca/activities_parks_recreation/jasper-place-annex.aspx","POINT (-113.6040604826989 53.526954207035516)"
"John Janzen Nature Centre","53.502192797327666","-113.57248750823767","
,  
(53.502192797327666, -113.57248750823767)","Attraction","7000 143 St NW, Edmonton, AB T6H 4P3","SW","https://www.edmonton.ca/johnjanzen/","POINT (-113.57248750823767 53.502192797327666)"
"Oliver Arena","53.54563935759972","-113.5262935676955","
,  
(53.54563935759972, -113.5262935676955)","Arena","10335 119 St NW, Edmonton, AB T5K 1Z6","NE","https://www.edmonton.ca/oliverarena/","POINT (-113.5262935676955 53.54563935759972)"
"Terwillegar Community Recreation Centre","53.458354753679764","-113.58254496423555","
,  
(53.458354753679764, -113.58254496423555)","Recreation Centre","2051 Leger Road","SW","https://www.edmonton.ca/terwillegarrec/","POINT (-113.58254496423555 53.458354753679764)"
"Borden Park Outdoor Pool","53.56344833528109","-113.45437203106174","
,  
(53.56344833528109, -113.45437203106174)","Pool","7615 Borden Park Rd NW, Edmonton, AB T5B 4W8",,,"POINT (-113.45437203106174 53.56344833528109)"
"Michael Cameron Arena","53.546675427027445","-113.423808332632","
,  
(53.546675427027445, -113.423808332632)","Arena","10404 56 St, Edmonton, AB T6A 2J2","SE","https://www.edmonton.ca/michaelcameronarena/","POINT (-113.423808332632 53.546675427027445)"
"Telus World of Science Edmonton","53.5610796944491","-113.56360611213374","
,  
(53.5610796944491, -113.56360611213374)","Attraction",,,,"POINT (-113.56360611213374 53.5610796944491)"
"A.C.T. Aquatics and Recreation Centre","53.55593752223927","-113.38677582601781","
,  
(53.55593752223927, -113.38677582601781)","Recreation Centre","2909 113 Ave NW, Edmonton, AB T5W 4S1","NE","https://www.edmonton.ca/act/","POINT (-113.38677582601781 53.55593752223927)"
"George S. Hughes South Side Arena","53.50809147124166","-113.50163523155757","
,  
(53.50809147124166, -113.50163523155757)","Arena","10525 72 Ave NW, Edmonton, AB T6E 0Z6","SW","https://www.edmonton.ca/georgeshughesarena/","POINT (-113.50163523155757 53.50809147124166)"
"Confederation Arena","53.47989854135753","-113.52054004523912","
,  
(53.47989854135753, -113.52054004523912)","Arena","11204 43 Ave NW, Edmonton, AB T6J 0X8","SW","https://www.edmonton.ca/confederationarena/","POINT (-113.52054004523912 53.47989854135753)"
"Commonwealth Stadium","53.559733375944475","-113.47612691065851","
,  
(53.559733375944475, -113.47612691065851)","Recreation Centre","11000 Stadium Rd NW, Edmonton, AB T5H 4E2","NW","https://www.edmonton.ca/attractions_events/commonwealth-stadium.aspx","POINT (-113.47612691065851 53.559733375944475)"
"City Arts Centre","53.5197226706864","-113.51403037941095","
,  
(53.5197226706864, -113.51403037941095)","Attraction","10943 84 Avenue, Edmonton AB T6G 0V5","SW","https://www.edmonton.ca/cityarts/","POINT (-113.51403037941095 53.5197226706864)"
"Bonnie Doon Leisure Centre","53.52370738944766","-113.45411060782166","
,  
(53.52370738944766, -113.45411060782166)","Recreation Centre","8648 81 St NW, Edmonton, AB T5H 3S1","SE","https://www.edmonton.ca/bonniedoonlc/","POINT (-113.45411060782166 53.52370738944766)"
"John Walter Museum","53.52807153146017","-113.50568071187196","
,  
(53.52807153146017, -113.50568071187196)","Attraction","9180 Walterdale Hill NW, Edmonton, AB T6E 2V3","SW","https://www.edmonton.ca/johnwalter/","POINT (-113.50568071187196 53.52807153146017)"
"Bill Hunter Arena","53.52740073150887","-113.60383004353592","
,  
(53.52740073150887, -113.60383004353592)","Arena","9200 163 St NW, Edmonton, AB T5R 0A7","NW","https://www.edmonton.ca/billhunterarena/","POINT (-113.60383004353592 53.52740073150887)"
"Confederation Leisure Centre","53.47995027106927","-113.5200624780147","
,  
(53.47995027106927, -113.5200624780147)","Recreation Centre",,"SW","https://www.edmonton.ca/confederation/","POINT (-113.5200624780147 53.47995027106927)"
"Westwood Arena","53.57440156419375","-113.49318205207233","
,  
(53.57440156419375, -113.49318205207233)","Arena","12040 97 St NW, Edmonton, AB T5G 2C1","NE","https://www.edmonton.ca/westwoodarena/","POINT (-113.49318205207233 53.57440156419375)"
"The Meadows Community Recreation Centre","53.457908015849114","-113.3710378916788","
,  
(53.457908015849114, -113.3710378916788)","Recreation Centre","2704 - 17 STREET NW","SE","https://www.edmonton.ca/meadowsrec/","POINT (-113.3710378916788 53.457908015849114)"
"Rundle Park Mini Golf","53.55329822386937","-113.38947381315144","
,  
(53.55329822386937, -113.38947381315144)","Attraction","Rundle Park",,,"POINT (-113.38947381315144 53.55329822386937)"
"Jasper Place Fitness and Leisure Centre","53.52658601580744","-113.60381662366197","
,  
(53.52658601580744, -113.60381662366197)","Recreation Centre","9200 163 St NW, Edmonton, AB T5R 0A7","NW","https://www.edmonton.ca/jasperplace/","POINT (-113.60381662366197 53.52658601580744)"
"Londonderry Arena","53.60733882727395","-113.44491019306845","
,  
(53.60733882727395, -113.44491019306845)","Arena","14520 66 St, Edmonton, AB T5C 3C8","NE","https://www.edmonton.ca/londonderryarena/","POINT (-113.44491019306845 53.60733882727395)"
"Downtown Community Arena","53.54737506228772","-113.49615140220985","
,  
(53.54737506228772, -113.49615140220985)","Arena","10245 105 Avenue NW","NW","https://www.edmonton.ca/activities_parks_recreation/downtown-community-arena.aspx","POINT (-113.49615140220985 53.54737506228772)"
"Scona Pool","53.50933150153346","-113.5001514882429","
,  
(53.50933150153346, -113.5001514882429)","Pool","10450 72 Avenue NW",,,"POINT (-113.5001514882429 53.50933150153346)"
"Glengarry Arena","53.59451808706859","-113.47263565746876","
,  
(53.59451808706859, -113.47263565746876)","Arena","13340 85 St NW, Edmonton, AB T5E 2Z8","NE","https://www.edmonton.ca/glengarryarena/","POINT (-113.47263565746876 53.59451808706859)"
"Oliver Outdoor Swimming Pool","53.54497536060087","-113.52632872596271","
,  
(53.54497536060087, -113.52632872596271)","Pool","10315 119 St NW, Edmonton, AB T5K 1Z6","NE","https://www.edmonton.ca/oliverpool/","POINT (-113.52632872596271 53.54497536060087)"
"Peter Hemingway Fitness and Leisure Centre","53.559864246247564","-113.56040717597992","
,  
(53.559864246247564, -113.56040717597992)","Recreation Centre","13808 111 Ave NW, Edmonton, AB T5M 2P2","NW","https://www.edmonton.ca/peterhemingway/","POINT (-113.56040717597992 53.559864246247564)"
"Muttart Conservatory","53.53520457452499","-113.47727303300204","
,  
(53.53520457452499, -113.47727303300204)","Attraction","9626 96A St NW, Edmonton, AB T6C 4L8","SE","https://www.edmonton.ca/muttart/","POINT (-113.47727303300204 53.53520457452499)"
"Rundle Park Paddle Boat House","53.55373270544806","-113.38900898464553","
,  
(53.55373270544806, -113.38900898464553)","Attraction","Rundle Park",,,"POINT (-113.38900898464553 53.55373270544806)"
"Coronation Arena","53.56118440553047","-113.55807302924669","
,  
(53.56118440553047, -113.55807302924669)","Arena","13500 112 Ave NW, Edmonton, AB T5M 2T8","NW","https://www.edmonton.ca/coronationarena/","POINT (-113.55807302924669 53.56118440553047)"
"Commonwealth Community Recreation Centre","53.558071616916","-113.47660937541524","
,  
(53.558071616916, -113.47660937541524)","Recreation Centre","11000 Stadium Road","NE","https://www.edmonton.ca/commonwealthrec/","POINT (-113.47660937541524 53.558071616916)"
"Eastglen Leisure Centre","53.5670755981187","-113.44502674068129","
,  
(53.5670755981187, -113.44502674068129)","Recreation Centre","11410 68 St NW, Edmonton, AB T5B 1P1","NE","https://www.edmonton.ca/eastglen/","POINT (-113.44502674068129 53.5670755981187)"
"Tipton Arena","53.51666019638949","-113.51135052379269","
,  
(53.51666019638949, -113.51135052379269)","Arena","10828 80 Ave NW, Edmonton, AB T6E, Canada","SW","https://www.edmonton.ca/tiptonarena/","POINT (-113.51135052379269 53.51666019638949)"
"Abbottsfield Recreation Centre","53.5726928910208","-113.3890929577955","
,  
(53.5726928910208, -113.3890929577955)","Recreation Centre",,,,"POINT (-113.3890929577955 53.5726928910208)"
