"row_id","site_id","location_description","direction","speed_limit","speed_unit_of_measure","minimum_speed_detection_setting","maximum_speed_detection_setting","log_timestamp","vehicle_count_for_log_interval","speed_range_for_bin","bin_number","minimum_speed_for_bin_number","maximum_speed_for_bin_number","bin_over_speed_limit_flag","vehicle_count_at_slowest_speed_detected","vehicle_count_at_highest_speed_detected"
"DFS068-2016091415:28:29-05","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:28:00.000","85","6","5","39","44","0","23","6"
"DFS068-2016091415:28:29-06","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:28:00.000","85","6","6","45","50","1","12","25"
"DFS068-2016091415:28:29-07","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:28:00.000","85","6","7","51","56","2","2","38"
"DFS068-2016091415:28:29-08","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:28:00.000","85","6","8","57","62","2","1","8"
"DFS068-2016091415:28:29-09","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:28:00.000","85","6","9","63","68","2","0","4"
"DFS068-2016091415:28:29-10","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:28:00.000","85","157","10","69","225","2","0","0"
"DFS068-2016091415:43:29-01","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:43:00.000","89","15","1","6","20","0","10","0"
"DFS068-2016091415:43:29-02","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:43:00.000","89","6","2","21","26","0","10","0"
"DFS068-2016091415:43:29-03","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:43:00.000","89","6","3","27","32","0","12","0"
"DFS068-2016091415:43:29-04","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:43:00.000","89","6","4","33","38","0","20","2"
"DFS068-2016091415:43:29-05","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:43:00.000","89","6","5","39","44","0","24","12"
"DFS068-2016091415:43:29-06","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:43:00.000","89","6","6","45","50","1","9","29"
"DFS068-2016091415:43:29-07","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:43:00.000","89","6","7","51","56","2","4","31"
"DFS068-2016091415:43:29-08","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:43:00.000","89","6","8","57","62","2","0","13"
"DFS068-2016091415:43:29-09","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:43:00.000","89","6","9","63","68","2","0","2"
"DFS068-2016091415:43:29-10","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:43:00.000","89","157","10","69","225","2","0","0"
"DFS068-2016091415:58:29-01","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:58:00.000","90","15","1","6","20","0","6","0"
"DFS068-2016091415:58:29-02","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:58:00.000","90","6","2","21","26","0","3","1"
"DFS068-2016091415:58:29-03","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:58:00.000","90","6","3","27","32","0","19","1"
"DFS068-2016091415:58:29-04","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:58:00.000","90","6","4","33","38","0","22","0"
"DFS068-2016091415:58:29-05","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:58:00.000","90","6","5","39","44","0","25","3"
"DFS068-2016091415:58:29-06","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:58:00.000","90","6","6","45","50","1","13","29"
"DFS068-2016091415:58:29-07","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:58:00.000","90","6","7","51","56","2","2","44"
"DFS068-2016091415:58:29-08","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:58:00.000","90","6","8","57","62","2","0","10"
"DFS068-2016091415:58:29-09","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T15:58:00.000","90","6","9","63","68","2","0","1"
