"area","park_name","address","drop_in_type_amenity","dates","hours","additional_info","latitude","longitude","location"
"Northeast","Fraser Park","14720 - 21 St","Flying Eagle","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.610659","-113.372952","(53.610659, -113.372952)"
"Northeast","Fraser Park","14720 - 21 St","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.610659","-113.372952","(53.610659, -113.372952)"
"Northeast","G. Edmund Kelly Water Spray Park","15005 79 St","Water Play","weekends in June; Jul 3 - Aug 23","Staffed 11am-6pm daily; operational hours 9am-9pm","https://edmonton.ca/waterplay","53.612318","-113.462089","(53.612318, -113.462089)"
"Northeast","Giovanni Caboto Park (McCauley)","9403 109A Ave","Flying Eagle","Aug 20 - 22","10am-1:30pm","https://edmonton.ca/flyingeagle","53.55631559","-113.4841374","(53.55631559, -113.4841374)"
"Northeast","Giovanni Caboto Park (McCauley)","9403 109A Ave","Green Shack","Jul 3 - Aug 23","10am-6pm weekdays","https://edmonton.ca/greenshacks","53.55631559","-113.4841374","(53.55631559, -113.4841374)"
"Northeast","Giovanni Caboto Park (McCauley)","9403 109A Ave","Water Play","Jul 3 - Aug 23","9am-9pm","https://edmonton.ca/waterplay","53.55631559","-113.4841374","(53.55631559, -113.4841374)"
"Northeast","Glengarry Spray Deck","13325 – 89 St","Water Play","weekends in June; Jul 3 - Aug 23","Staffed 11am-6pm daily; operational hours 9am-9pm","https://edmonton.ca/waterplay","53.59555429","-113.4846854","(53.59555429, -113.4846854)"
"Northeast","Hairsine Park","3120 139 Ave","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.60335963","-113.390266","(53.60335963, -113.390266)"
"Northeast","Highlands Park","6112 - 113 Ave","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.567897","-113.433427","(53.567897, -113.433427)"
"Northeast","Highlands Park","6112 - 113 Ave","Water Play","Jul 3 - Aug 23","9am-9pm daily","https://edmonton.ca/waterplay","53.567897","-113.433427","(53.567897, -113.433427)"
"Northeast","Hollick Kenyon Park","5315 159 Ave","Flying Eagle","Jul 16 - 20","2:30-6pm","https://edmonton.ca/flyingeagle","53.575139","-113.424586","(53.575139, -113.424586)"
"Northeast","Hollick Kenyon Park","5315 159 Ave","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.575139","-113.424586","(53.575139, -113.424586)"
"Northeast","Homesteader Park","575 Hermitage Rd NW","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.58705076","-113.4125381","(53.58705076, -113.4125381)"
"Northeast","Inglewood School Park","12515 – 116 Ave","Green Shack","Jul 3 - Aug 23","10am-6pm weekdays","https://edmonton.ca/greenshacks","53.56619612","-113.5394107","(53.56619612, -113.5394107)"
"Northeast","Jubilee Park (Beacon Heights)","12037 – 43 St","Green Shack","Jul 3 - Aug 23","10am-6pm weekdays","https://edmonton.ca/greenshacks","53.3085943","-113.5371963","(53.3085943, -113.5371963)"
"Northeast","Jubilee Park (Beacon Heights)","12037 – 43 St","Water Play","May 20 - Sep 21","9am-9pm daily","https://edmonton.ca/waterplay","53.3085943","-113.5371963","(53.3085943, -113.5371963)"
"Northeast","Kernohan Park","699 Clareview Rd","Pop Up Play","Jul 3 - Aug 23","Wednesdays & Fridays: 2:30-6pm","https://edmonton.ca/popupplay","53.59342845","-113.3835749","(53.59342845, -113.3835749)"
"Northeast","Kildare Park","14224 74 St","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.60556732","-113.4563143","(53.60556732, -113.4563143)"
"Northeast","Kilkenny Park","14840 – 72 St","Green Shack","Jul 3 - Aug 23","10am-6pm weekdays","https://edmonton.ca/greenshacks","53.610477","-113.449095","(53.610477, -113.449095)"
"Northeast","Killarney Park","8720 130A Ave","Flying Eagle","Jul 4 -6","2:30-6pm","https://edmonton.ca/flyingeagle","53.59062282","-113.4750129","(53.59062282, -113.4750129)"
"Northeast","Killarney Park","8720 – 130A Ave","Green Shack","Jul 3 - Aug 23","10am-6pm weekdays","https://edmonton.ca/greenshacks","53.59062282","-113.4750129","(53.59062282, -113.4750129)"
"Northeast","Killarney Park","8720 130A Ave","Water Play","Jul 3 - Aug 23","9am-9pm daily","https://edmonton.ca/waterplay","53.59062282","-113.4750129","(53.59062282, -113.4750129)"
"Northeast","Kirkness Park","630 Kirkness Rd","Green Shack","Jul 3 - Aug 23","10am-6pm weekdays","https://edmonton.ca/greenshacks","53.61171468","-113.385088","(53.61171468, -113.385088)"
"Northeast","Kitchener Park (Oliver)","11411 - 103 Ave","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.54458","-113.517647","(53.54458, -113.517647)"
"Northeast","Klarvatten Park","200 Klarvatten Rd","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.63312844","-113.4753565","(53.63312844, -113.4753565)"
"Northeast","Lago Lindo Park","17221 95 St NW","Flying Eagle","Jul 9 - 13","10am-1:30pm","https://edmonton.ca/flyingeagle","53.63479373","-113.4874213","(53.63479373, -113.4874213)"
"Northeast","Lago Lindo Park","17221 95 St NW","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.63479373","-113.4874213","(53.63479373, -113.4874213)"
"Northeast","Latitude 53","10242 - 106 St","Youth Events- Youth Art Show","Aug 14","6:00 pm","https://edmonton.ca/youth","53.544129","-113.502375","(53.544129, -113.502375)"
"Northeast","Matt Berry Park","15950 59A St","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.62191521","-113.4313124","(53.62191521, -113.4313124)"
"Northeast","Mayliewan Park","7503 161A Ave","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.5618921","-113.4515811","(53.5618921, -113.4515811)"
"Northeast","McLeod Park","14715 – 59 St","Pop Up Play","Jul 3 - Aug 23","Tuesdays & Thursdays: 10am-6pm","https://edmonton.ca/popupplay","53.61505565","-113.4413796","(53.61505565, -113.4413796)"
"Northeast","Miller Park","14903 50 St","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.61283059","-113.4160817","(53.61283059, -113.4160817)"
"Northeast","Montrose Park","5920 – 119 Ave","Flying Eagle","Aug 7 - 10","2:30-6pm","https://edmonton.ca/flyingeagle","53.57231622","-113.4330514","(53.57231622, -113.4330514)"
"Northeast","Montrose Park","5920 – 119 Ave","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.57231622","-113.4330514","(53.57231622, -113.4330514)"
"Northeast","Montrose Park","5920 – 119 Ave","Water Play","Jul 3 - Aug 23","9am-9pm","https://edmonton.ca/waterplay","53.57251572","-113.4328011","(53.57251572, -113.4328011)"
"Northeast","Newton Park","5510 - 121 Ave","Pop Up Play","Jul 2 - Aug 21","Tuesdays & Thursdays: 10am-1:30pm","https://edmonton.ca/popupplay","53.575086","-113.426078","(53.575086, -113.426078)"
"Northeast","Northmount Park","9208 – 140 Ave","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.60323891","-113.4815549","(53.60323891, -113.4815549)"
"Northeast","Norwood Square Park (Alberta Avenue)","9516 – 114 Ave","Flying Eagle","Aug 13 - 17","10am-1:30pm","https://edmonton.ca/flyingeagle","53.56006888","-113.4883657","(53.56006888, -113.4883657)"
"Northeast","Norwood Square Park (Alberta Avenue)","9516 – 114 Ave","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.56006888","-113.4883657","(53.56006888, -113.4883657)"
"Northeast","Overlanders Park","1130 Hermitage Rd","Green Shack","Jul 3 - Aug 23","10am-6pm weekdays","https://edmonton.ca/greenshacks","53.579537","-113.38393","(53.579537, -113.38393)"
"Northeast","Ozerna Park","7010 158 Ave","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.62088912","-113.4486751","(53.62088912, -113.4486751)"
"Northeast","Prince Charles Park","12325-127 St","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.578606","-113.541196","(53.578606, -113.541196)"
"Northeast","Queen Mary Park","10844 – 117 St","Green Shack","Jul 3 - Aug 23","10am-6pm weekdays","https://edmonton.ca/greenshacks","53.55417401","-113.5246873","(53.55417401, -113.5246873)"
"Northeast","Queen Mary Park","10844 – 117 St","Water Play","Jul 3 - Aug 23","9am-9pm","https://edmonton.ca/waterplay","53.55417401","-113.5246873","(53.55417401, -113.5246873)"
"Northeast","Riverdale Park","9231 – 100 Ave","Pop Up Play","Jul 3 - Aug 23","Tuesdays & Fridays: 10am-1:30pm","https://edmonton.ca/popupplay","53.54138324","-113.4732372","(53.54138324, -113.4732372)"
"Northeast","Riverdale Park","9231 – 100 Ave","Water Play","Jul 3 - Aug 23","9am-9pm daily","https://edmonton.ca/waterplay","53.54138324","-113.4732372","(53.54138324, -113.4732372)"
"Northeast","Rosslyn Park","11015 – 134 Ave","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.59413567","-113.5122458","(53.59400223, -113.5120775)"
"Northeast","Rosslyn Park","11015 – 134 Ave","Water Play","Jul 3 - Aug 23","9am-9pm daily","https://edmonton.ca/waterplay","53.59400223","-113.5120775","(53.59413567, -113.5122458)"
"Northeast","Rosssdale (Irene Parlby Park)","9545-100 St","Pop Up Play","Jul 3 - Aug 23","Tuesdays & Fridays: 2:30-6pm","https://edmonton.ca/popupplay","53.534155","-113.490621","(53.534155, -113.490621)"
"Northeast","Rural Northeast South Sturgeon","2 st & 163 Ave","Pop Up Play","Jul 3 - Aug 23","Mondays & Thursdays: 10am-1:30pm","https://edmonton.ca/popupplay","53.625743","-113.328605","(53.625743, -113.328605)"
"Northeast","Schonsee Park","5470 Schonsee Dr","Flying Eagle","Jul 16 - 20","10am-1:30pm","https://edmonton.ca/flyingeagle","53.632998","-113.45926","(53.632998, -113.45926)"
"Northeast","Schonsee Park","5470 Schonsee Dr","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.632998","-113.45926","(53.632998, -113.45926)"
"Northeast","Shaw Conference Centre","9797 Jasper Ave","Youth Events- City Challenge","Jul 17","12:30 pm","https://edmonton.ca/youth","53.541815","-113.48472","(53.541815, -113.48472)"
"Northeast","Sheila Bowker Park (Parkdale)","11335 – 85 St","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.56298628","-113.4714293","(53.56298628, -113.4714293)"
"Northeast","Sherbrooke Park","13008 – 122 Ave","Flying Eagle","Aug 20 - 22","2:30-6pm","https://edmonton.ca/flyingeagle","53.57487202","-113.5482598","(53.57487202, -113.5482598)"
"Northeast","Sherbrooke Park","13008 – 122 Ave","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.57481337","-113.5482665","(53.57487202, -113.5482598)"
"Northeast","Sherbrooke Park","13008 – 122 Ave","Water Play","Jul 3 - Aug 23","9am-9pm daily","https://edmonton.ca/waterplay","53.57487202","-113.5482598","(53.57481337, -113.5482665)"
"Northeast","Sheriff Robertson Park (Cromdale)","8112 – 111 Ave","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.5589481","-113.4663369","(53.5589481, -113.4663369)"
"Northeast","Sifton Park","4305 – 134 Ave","Flying Eagle","Jul 30 - Aug 3","2:30-6pm","https://edmonton.ca/flyingeagle","53.59412419","-113.4093789","(53.59412419, -113.4093789)"
"Northeast","Sifton Park","4305 – 134 Ave","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.59412419","-113.4093789","(53.59412419, -113.4093789)"
"Northeast","Spruce Avenue Park","10240 – 115 Ave","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.56541605","-113.4975431","(53.56541605, -113.4975431)"
"Northeast","Spruce Avenue Park","10240 – 115 Ave","Water Play","Jul 3 - Aug 23","9am-9pm daily","https://edmonton.ca/waterplay","53.56541605","-113.4975431","(53.56541605, -113.4975431)"
"Northeast","St. Teresa of Calcutta School Park (Boyle Street)","9008 – 105A Ave","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.55185851","-113.4760875","(53.55185851, -113.4760875)"
"Northeast","Westmount Park","10970 127 St","Flying Eagle","Jul 23 - 27","2:30-6pm","https://edmonton.ca/flyingeagle","53.554978","-113.544562","(53.554978, -113.544562)"
"Northeast","Westmount Park","10970 127 St","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.554978","-113.544562","(53.554978, -113.544562)"
"Northeast","Westmount Park","10970 127 St","Water Play","Jul 3 - Aug 23","9am-9pm daily","https://edmonton.ca/waterplay","53.554978","-113.544562","(53.554978, -113.544562)"
"Northeast","Westwood Park","12139 – 105 St","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.57613694","-113.4999075","(53.57613694, -113.4999075)"
"Northeast","Woodcroft (Coronation Park)","13915 – 115 Ave","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.565219","-113.562205","(53.565219, -113.562205)"
"Northeast","Woodcroft (Coronation Park)","13915 – 115 Ave","Water Play","Jul 3 - Aug 23","9am-9pm daily","https://edmonton.ca/waterplay","53.565219","-113.562205","(53.565219, -113.562205)"
"Northeast","York Park","5825 – 140 Ave","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.6026","-113.431838","(53.6026, -113.431838)"
"Northeast","Zoie Gardner Park (Balwin)","12710 70 St","Green Shack","Jul 3 - Aug 23","10am-6pm weekdays","https://edmonton.ca/greenshacks","53.58544553","-113.4505942","(53.58544553, -113.4505942)"
"Northeast","Zoie Gardner Park (Balwin)","12710 70 St","Water Play","Jul 3 - Aug 23","9am-9pm daily","https://edmonton.ca/waterplay","53.58544553","-113.4505942","(53.58544553, -113.4505942)"
"Northwest","Aldergrove Park","8535 – 182 St","Flying Eagle","Aug 7 - 10","2:30-6pm","https://edmonton.ca/flyingeagle","53.5189689","-113.6349116","(53.5189689, -113.6349116)"
"Northwest","Aldergrove Park","8535 – 182 St","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.5189689","-113.6349116","(53.5189689, -113.6349116)"
"Northwest","Athlone Park","13010 – 129 St","Flying Eagle","Jul 3 - Aug 23","2:30-6pm","https://edmonton.ca/flyingeagle","53.5891528","-113.5459163","(53.5891528, -113.5459163)"
"Northwest","Athlone Park","13010 – 129 St","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.5891528","-113.5459163","(53.5891528, -113.5459163)"
"Northwest","Athlone Park","13010 – 129 St","Water Play","Jul 3 - Aug 23","9am-9pm daily","https://edmonton.ca/waterplay","53.5891528","-113.5459163","(53.5891528, -113.5459163)"
"Northwest","Baturyn Park","10505 – 172 Ave","Flying Eagle","Jul 30 - Aug 3","10am-1:30pm","https://edmonton.ca/flyingeagle","53.63253221","-113.5048692","(53.63253221, -113.5048692)"
"Northwest","Baturyn Park","10505 – 172 Ave","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.63253221","-113.5048692","(53.63253221, -113.5048692)"
"Northwest","Beaumaris Park","10004 - 155 Ave","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.616088","-113.498182","(53.616088, -113.498182)"
"Northwest","Belmead Park","9109 – 182 St","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.52596027","-113.6355345","(53.52596027, -113.6355345)"
"Northwest","Caernarvon Park","14830 – 118 St","Flying Eagle","Aug 20 - 22","2:30-6pm","https://edmonton.ca/flyingeagle","53.61106179","-113.5282269","(53.61106179, -113.5282269)"
"Northwest","Caernarvon Park","14830 – 118 St","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.61106179","-113.5282269","(53.61106179, -113.5282269)"
"Northwest","Calder Community Park","12803 - 120 St NW","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.5888468","-113.5263856","(53.5888468, -113.5263856)"
"Northwest","Callingwood Park","17740 - 69 Ave NW","Water Play","Jul 3 - Aug 23","Staffed 11am-6pm daily; operational hours 9am-9pm","https://edmonton.ca/waterplay","53.50833165","-113.6223636","(53.50833165, -113.6223636)"
"Northwest","Callingwood Skate Park","17740 - 69 Ave NW","Skate Park","Jun 2 - Aug 26","Mon, Tues, Thurs, Fri: 12:30-8pm, Wed 3:30-8pm","https://edmonton.ca/skateparks","53.503944","-113.625165","(53.503944, -113.625165)"
"Northwest","Callingwood South","17605 - 64 Ave NW","Flying Eagle","Aug 13 - 17","2:30-6pm","https://edmonton.ca/flyingeagle","53.50833165","-113.6223636","(53.50833165, -113.6223636)"
"Northwest","Callingwood South","17605 - 64 Ave NW","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.50833165","-113.6223636","(53.50833165, -113.6223636)"
"Northwest","Cameron Heights","3265 Cameron Heights Way","Pop Up Play","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.473127","-113.636494","(53.473127, -113.636494)"
"Northwest","Canora Park","10425 – 152 St","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.54732369","-113.5825935","(53.54732369, -113.5825935)"
"Northwest","Canossa","17036 - 115 St NW","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.633544","-113.522501","(53.633544, -113.522501)"
"Northwest","Carlisle Park","14240 – 117 St","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.60501068","-113.5237433","(53.60501068, -113.5237433)"
"Northwest","Carlton Park","13815 – 160 Ave","Flying Eagle","Jul 9 - 13","10am-1:30pm","https://edmonton.ca/flyingeagle","53.61998698","-113.5598505","(53.61998698, -113.5598505)"
"Northwest","Carlton Park","13815 – 160 Ave","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.61998698","-113.5598505","(53.61998698, -113.5598505)"
"Northwest","Castle Downs Skate Park","11520 – 153 Ave","Skate Park","Jun 2 - Aug 26","Mon, Tues, Thurs, Fri: 12:30-8pm, Wed 3:30-8pm","https://edmonton.ca/skateparks","53.614336","-113.521112","(53.614336, -113.521112)"
"Northwest","Castle Downs Spray Park","11520 - 153 Ave","Water Play","Jul 3 - Aug 23","Staffed 11am-6pm daily; operational hours 9am-9pm","https://edmonton.ca/waterplay","53.61683143","-113.5255333","(53.61683143, -113.5255333)"
"Northwest","Colonel F.C. Jamieson Park (Jamieson)","5303 – 190 St","Flying Eagle","Jul 23 - 27","2:30-6pm","https://edmonton.ca/flyingeagle","53.489699","-113.651437","(53.489699, -113.651437)"
"Northwest","Colonel F.C. Jamieson Park (Jamieson)","5303 – 190 St","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.489699","-113.651437","(53.489699, -113.651437)"
"Northwest","Crestwood","14325 - 96 Ave","Pop Up Play","Jul 3 - Aug 23","Wednesdays & Fridays: 2:30-6pm","https://edmonton.ca/popupplay","53.532909","-113.568344","(53.532909, -113.568344)"
"Northwest","Cumberland Park","14816 129 St NW","Green Shack","Jul 3 - Aug 23","10am-1:30pm weekdays","https://edmonton.ca/greenshacks","53.61094399","-113.5444221","(53.61094399, -113.5444221)"
"Northwest","Dunluce Park","11620 – 162 Ave","Green Shack","Jul 3 - Aug 23","2:30-6pm weekdays","https://edmonton.ca/greenshacks","53.62367495","-113.5250818","(53.62367495, -113.5250818)"
