"name","field_number","length","width","latitude","longitude","location","geometry_point"
"Miller","2","305","200","53.61318322885769","-113.41726378342857","
,  
(53.61318322885769, -113.41726378342857)","POINT (-113.41726378342857 53.61318322885769)"
"Lady Prairies","1","180","100","53.499007246305055","-113.62629784573913","
,  
(53.499007246305055, -113.62629784573913)","POINT (-113.62629784573913 53.499007246305055)"
"S Bruce Smith","3","330","210","53.49077864277227","-113.63739623316138","
,  
(53.49077864277227, -113.63739623316138)","POINT (-113.63739623316138 53.49077864277227)"
"St. Nicholas","1","300","155","53.56696050522169","-113.39663163015582","
,  
(53.56696050522169, -113.39663163015582)","POINT (-113.39663163015582 53.56696050522169)"
"Fraser","2","240","150","53.61176253269079","-113.37403157100744","
,  
(53.61176253269079, -113.37403157100744)","POINT (-113.37403157100744 53.61176253269079)"
"Brintnell","1","270","170","53.6195420265486","-113.40694917514504","
,  
(53.6195420265486, -113.40694917514504)","POINT (-113.40694917514504 53.6195420265486)"
"Holyrood","1","240","180","53.53269227316609","-113.449722662912","
,  
(53.53269227316609, -113.449722662912)","POINT (-113.449722662912 53.53269227316609)"
"Notre Dame","4","240","145","53.52474144099892","-113.58933809679978","
,  
(53.52474144099892, -113.58933809679978)","POINT (-113.58933809679978 53.52474144099892)"
"Velma E Baker","4","330","190","53.4798554982847","-113.38271198075974","
,  
(53.4798554982847, -113.38271198075974)","POINT (-113.38271198075974 53.4798554982847)"
"Jasper Place Jubilee Park","1","330","210","53.52811269528503","-113.59749336235375","
,  
(53.52811269528503, -113.59749336235375)","POINT (-113.59749336235375 53.52811269528503)"
"St. Francis Xavier","5","285","165","53.53076174722847","-113.60497841997626","
,  
(53.53076174722847, -113.60497841997626)","POINT (-113.60497841997626 53.53076174722847)"
"LaPerle E","2","240","115","53.53288163317506","-113.63396850189041","
,  
(53.53288163317506, -113.63396850189041)","POINT (-113.63396850189041 53.53288163317506)"
"Lansdowne","2","340","210","53.48619279567805","-113.54435354394403","
,  
(53.48619279567805, -113.54435354394403)","POINT (-113.54435354394403 53.48619279567805)"
"Kiniski Gardens","4","240","150","53.479121313876284","-113.40678409677544","
,  
(53.479121313876284, -113.40678409677544)","POINT (-113.40678409677544 53.479121313876284)"
"St. John Bosco","2","180","100","53.6212956726715","-113.45879211904406","
,  
(53.6212956726715, -113.45879211904406)","POINT (-113.45879211904406 53.6212956726715)"
"Lynnwood","3","150","75","53.517012432057214","-113.58806306917195","
,  
(53.517012432057214, -113.58806306917195)","POINT (-113.58806306917195 53.517012432057214)"
"Mount Carmel","1","240","170","53.51293786635673","-113.50360493390014","
,  
(53.51293786635673, -113.50360493390014)","POINT (-113.50360493390014 53.51293786635673)"
"Lauderdale","1","240","150","53.58821737471135","-113.50191597160388","
,  
(53.58821737471135, -113.50191597160388)","POINT (-113.50191597160388 53.58821737471135)"
"Coronation","2","165","110","53.55517073835939","-113.55850462526408","
,  
(53.55517073835939, -113.55850462526408)","POINT (-113.55850462526408 53.55517073835939)"
"Gold Bar","1","270","150","53.550569451998484","-113.41450989262962","
,  
(53.550569451998484, -113.41450989262962)","POINT (-113.41450989262962 53.550569451998484)"
"Ermineskin","3","270","180","53.45949051956311","-113.50473211021094","
,  
(53.45949051956311, -113.50473211021094)","POINT (-113.50473211021094 53.45949051956311)"
"Foote Field","6","330","215","53.503107856533454","-113.52472109796597","
,  
(53.503107856533454, -113.52472109796597)","POINT (-113.52472109796597 53.503107856533454)"
"Hardisty","2","270","180","53.547667088340184","-113.43082283341764","
,  
(53.547667088340184, -113.43082283341764)","POINT (-113.43082283341764 53.547667088340184)"
"Ellerslie Park","1","300","160","53.42927074696167","-113.4573040548799","
,  
(53.42927074696167, -113.4573040548799)","POINT (-113.4573040548799 53.42927074696167)"
"Katherine Therrien","5","330","195","53.61127402131147","-113.53041573134867","
,  
(53.61127402131147, -113.53041573134867)","POINT (-113.53041573134867 53.61127402131147)"
"Minchau","2","180","90","53.468065623534216","-113.4075301918615","
,  
(53.468065623534216, -113.4075301918615)","POINT (-113.4075301918615 53.468065623534216)"
"Keheewin","5","240","170","53.44996880410203","-113.50523889560057","
,  
(53.44996880410203, -113.50523889560057)","POINT (-113.50523889560057 53.44996880410203)"
"High Park","1","150","90","53.55650188946366","-113.58589435346798","
,  
(53.55650188946366, -113.58589435346798)","POINT (-113.58589435346798 53.55650188946366)"
"St. Dominic","7","325","100","53.60782189734623","-113.43274388598134","
,  
(53.60782189734623, -113.43274388598134)","POINT (-113.43274388598134 53.60782189734623)"
"St. Charles","2","180","100","53.631937497382566","-113.50234173136616","
,  
(53.631937497382566, -113.50234173136616)","POINT (-113.50234173136616 53.631937497382566)"
"St. Stanislaus","2","330","190","53.47516844829014","-113.52511762176476","
,  
(53.47516844829014, -113.52511762176476)","POINT (-113.52511762176476 53.47516844829014)"
"Dunluce","1","300","180","53.62269970413632","-113.52542253310115","
,  
(53.62269970413632, -113.52542253310115)","POINT (-113.52542253310115 53.62269970413632)"
"M Lavallee","3","235","110","53.526229467333614","-113.47500167825149","
,  
(53.526229467333614, -113.47500167825149)","POINT (-113.47500167825149 53.526229467333614)"
"Woodcroft","1","300","180","53.567232926913185","-113.56033669164826","
,  
(53.567232926913185, -113.56033669164826)","POINT (-113.56033669164826 53.567232926913185)"
"St. Bernadette","1","240","90","53.57336648847279","-113.401662339909","
,  
(53.57336648847279, -113.401662339909)","POINT (-113.401662339909 53.57336648847279)"
"Athlone","1","240","150","53.58812362180527","-113.54593866714895","
,  
(53.58812362180527, -113.54593866714895)","POINT (-113.54593866714895 53.58812362180527)"
"Victoria HS","2","220","140","53.55449671111431","-113.49892420185601","
,  
(53.55449671111431, -113.49892420185601)","POINT (-113.49892420185601 53.55449671111431)"
"Tipaskan","3","240","160","53.46238251002813","-113.45675386695603","
,  
(53.46238251002813, -113.45675386695603)","POINT (-113.45675386695603 53.46238251002813)"
"Bisset","4","270","210","53.46040705306741","-113.40155622895325","
,  
(53.46040705306741, -113.40155622895325)","POINT (-113.40155622895325 53.46040705306741)"
"St. Thomas More","2","270","135","53.534362831085296","-113.60707064272135","
,  
(53.534362831085296, -113.60707064272135)","POINT (-113.60707064272135 53.534362831085296)"
"St. Martha","1","235","135","53.506653706579826","-113.63703063597099","
,  
(53.506653706579826, -113.63703063597099)","POINT (-113.63703063597099 53.506653706579826)"
"Rundle Park","2","325","165","53.55779762794414","-113.38384557618893","
,  
(53.55779762794414, -113.38384557618893)","POINT (-113.38384557618893 53.55779762794414)"
"Lago Lindo","3","240","150","53.63594010953641","-113.48452166041564","
,  
(53.63594010953641, -113.48452166041564)","POINT (-113.48452166041564 53.63594010953641)"
"Weinlos","2","195","90","53.46029917769586","-113.4131439404191","
,  
(53.46029917769586, -113.4131439404191)","POINT (-113.4131439404191 53.46029917769586)"
"Capilano","2","240","150","53.555298225618266","-113.42363539259333","
,  
(53.555298225618266, -113.42363539259333)","POINT (-113.42363539259333 53.555298225618266)"
"Parkview","1","300","180","53.52584042297615","-113.56773511210844","
,  
(53.52584042297615, -113.56773511210844)","POINT (-113.56773511210844 53.52584042297615)"
"McKernan","1","300","180","53.51330792504044","-113.52408651971842","
,  
(53.51330792504044, -113.52408651971842)","POINT (-113.52408651971842 53.51330792504044)"
"Hairsine","2","240","160","53.60528893649288","-113.39182815353163","
,  
(53.60528893649288, -113.39182815353163)","POINT (-113.39182815353163 53.60528893649288)"
"Aldergrove","1","180","100","53.51828549316601","-113.63445839088939","
,  
(53.51828549316601, -113.63445839088939)","POINT (-113.63445839088939 53.51828549316601)"
"Lago Lindo","4","150","85","53.634185846397216","-113.48808953071244","
,  
(53.634185846397216, -113.48808953071244)","POINT (-113.48808953071244 53.634185846397216)"
"St. Augustine","5","180","90","53.47441472127665","-113.50674533812027","
,  
(53.47441472127665, -113.50674533812027)","POINT (-113.50674533812027 53.47441472127665)"
"Edmonton Soccer Centre South","3","300","200","53.49756739874696","-113.43463793789051","
,  
(53.49756739874696, -113.43463793789051)","POINT (-113.43463793789051 53.49756739874696)"
"Overlander","2","330","180","53.58255904183833","-113.38518235536387","
,  
(53.58255904183833, -113.38518235536387)","POINT (-113.38518235536387 53.58255904183833)"
"Kameyosek","1","240","180","53.46143646330165","-113.44396041192994","
,  
(53.46143646330165, -113.44396041192994)","POINT (-113.44396041192994 53.46143646330165)"
"St. Mary","1","150","90","53.47540273207394","-113.58643296313286","
,  
(53.47540273207394, -113.58643296313286)","POINT (-113.58643296313286 53.47540273207394)"
"JA Fife","1","240","170","53.61347848094813","-113.46225315897752","
,  
(53.61347848094813, -113.46225315897752)","POINT (-113.46225315897752 53.61347848094813)"
"Donald R. Getty","3","150","90","53.40205719737849","-113.58377266994168","
,  
(53.40205719737849, -113.58377266994168)","POINT (-113.58377266994168 53.40205719737849)"
"Prince Charles","2","190","100","53.578395806996745","-113.5392605350072","
,  
(53.578395806996745, -113.5392605350072)","POINT (-113.5392605350072 53.578395806996745)"
"Blue Quill","2","180","100","53.459139919469344","-113.52177680768193","
,  
(53.459139919469344, -113.52177680768193)","POINT (-113.52177680768193 53.459139919469344)"
"Confederation","5","180","100","53.48228027550539","-113.52045162818384","
,  
(53.48228027550539, -113.52045162818384)","POINT (-113.52045162818384 53.48228027550539)"
"Pkdale","3","255","140","53.56879372809249","-113.47195660068024","
,  
(53.56879372809249, -113.47195660068024)","POINT (-113.47195660068024 53.56879372809249)"
"Abbottsfield","2","180","100","53.573886197526136","-113.39259145002197","
,  
(53.573886197526136, -113.39259145002197)","POINT (-113.39259145002197 53.573886197526136)"
"Potter Greens","2","150","90","53.51735235089049","-113.67600865546558","
,  
(53.51735235089049, -113.67600865546558)","POINT (-113.67600865546558 53.51735235089049)"
"Allard Park","1","330","200","53.39953422326465","-113.53375623949336","
,  
(53.39953422326465, -113.53375623949336)","POINT (-113.53375623949336 53.39953422326465)"
"Riverbend","3","300","170","53.49235168895927","-113.57785142218847","
,  
(53.49235168895927, -113.57785142218847)","POINT (-113.57785142218847 53.49235168895927)"
"A. Blair McPherson","1","330","210","53.46911982919531","-113.36189466292319","
,  
(53.46911982919531, -113.36189466292319)","POINT (-113.36189466292319 53.46911982919531)"
"Evansdale","2","180","120","53.60946077199226","-113.48286436128161","
,  
(53.60946077199226, -113.48286436128161)","POINT (-113.48286436128161 53.60946077199226)"
"St. William",,"150","100","53.59822115915079","-113.4332966754193","
,  
(53.59822115915079, -113.4332966754193)","POINT (-113.4332966754193 53.59822115915079)"
"Clareview Park","2","330","210","53.6039670518976","-113.40608980073138","
,  
(53.6039670518976, -113.40608980073138)","POINT (-113.40608980073138 53.6039670518976)"
"Delwood","3","180","120","53.59537728317031","-113.45509642204128","
,  
(53.59537728317031, -113.45509642204128)","POINT (-113.45509642204128 53.59537728317031)"
"Carlisle Park","7","240","180","53.6062614401307","-113.5256748850108","
,  
(53.6062614401307, -113.5256748850108)","POINT (-113.5256748850108 53.6062614401307)"
"Ormsby Place","4","175","100","53.49860277423957","-113.63672290361065","
,  
(53.49860277423957, -113.63672290361065)","POINT (-113.63672290361065 53.49860277423957)"
"Westglen","4","180","100","53.55459132149013","-113.54347311832815","
,  
(53.55459132149013, -113.54347311832815)","POINT (-113.54347311832815 53.55459132149013)"
"Balwin","4","150","90","53.590573349588766","-113.44798500447001","
,  
(53.590573349588766, -113.44798500447001)","POINT (-113.44798500447001 53.590573349588766)"
"Bishop Savaryn","1","185","100","53.622202757013795","-113.50707989351575","
,  
(53.622202757013795, -113.50707989351575)","POINT (-113.50707989351575 53.622202757013795)"
"Ellerslie","1","300","170","53.428204063389735","-113.44081110027257","
,  
(53.428204063389735, -113.44081110027257)","POINT (-113.44081110027257 53.428204063389735)"
"Greenview","1","240","160","53.475155367435356","-113.42844186813129","
,  
(53.475155367435356, -113.42844186813129)","POINT (-113.42844186813129 53.475155367435356)"
"Club Soccer","3","330","210","53.42753919120543","-113.41458723913145","
,  
(53.42753919120543, -113.41458723913145)","POINT (-113.41458723913145 53.42753919120543)"
"Kiniski Gardens","3","270","180","53.47850601366912","-113.40769662204954","
,  
(53.47850601366912, -113.40769662204954)","POINT (-113.40769662204954 53.47850601366912)"
"Horse Hills","3","240","150","53.65603546351705","-113.3413989848817","
,  
(53.65603546351705, -113.3413989848817)","POINT (-113.3413989848817 53.65603546351705)"
"Kernohan","5","230","115","53.59286132427998","-113.38132707744475","
,  
(53.59286132427998, -113.38132707744475)","POINT (-113.38132707744475 53.59286132427998)"
"Mount Pleasant","3","330","210","53.49613621994147","-113.50227299621","
,  
(53.49613621994147, -113.50227299621)","POINT (-113.50227299621 53.49613621994147)"
"Lymburn","6","180","100","53.50615609304455","-113.64390466228491","
,  
(53.50615609304455, -113.64390466228491)","POINT (-113.64390466228491 53.50615609304455)"
"Westmount","1","240","150","53.55533807944862","-113.54348845952646","
,  
(53.55533807944862, -113.54348845952646)","POINT (-113.54348845952646 53.55533807944862)"
"Weinlos","3","150","90","53.460685633539576","-113.41428473170185","
,  
(53.460685633539576, -113.41428473170185)","POINT (-113.41428473170185 53.460685633539576)"
"St. Philip","4","300","180","53.60819370185031","-113.47444751190274","
,  
(53.60819370185031, -113.47444751190274)","POINT (-113.47444751190274 53.60819370185031)"
"Castle Downs","6","300","180","53.61627435509711","-113.52420682367892","
,  
(53.61627435509711, -113.52420682367892)","POINT (-113.52420682367892 53.61627435509711)"
"Sifton","3","150","95","53.59389630738454","-113.40871834264223","
,  
(53.59389630738454, -113.40871834264223)","POINT (-113.40871834264223 53.59389630738454)"
"Herb Link # 2 S","2","330","210","53.46237033798363","-113.42499416515304","
,  
(53.46237033798363, -113.42499416515304)","POINT (-113.42499416515304 53.46237033798363)"
"Poplar Park","6","320","210","53.625983082882605","-113.46983885701374","
,  
(53.625983082882605, -113.46983885701374)","POINT (-113.46983885701374 53.625983082882605)"
"Haddow","3","300","210","53.45505654188123","-113.59769076690367","
,  
(53.45505654188123, -113.59769076690367)","POINT (-113.59769076690367 53.45505654188123)"
"Braemar","3","180","90","53.53197626016069","-113.42942368732221","
,  
(53.53197626016069, -113.42942368732221)","POINT (-113.42942368732221 53.53197626016069)"
"Confederation","3","330","180","53.481012041410175","-113.52148034502835","
,  
(53.481012041410175, -113.52148034502835)","POINT (-113.52148034502835 53.481012041410175)"
"Blackmud Creek Park 1","2","150","90","53.41965273313905","-113.51493134808327","
,  
(53.41965273313905, -113.51493134808327)","POINT (-113.51493134808327 53.41965273313905)"
"JJ Bowlen","5","245","150","53.606123278839604","-113.43538637925599","
,  
(53.606123278839604, -113.43538637925599)","POINT (-113.43538637925599 53.606123278839604)"
"Bannerman","2","190","120","53.604446044148766","-113.38002681365906","
,  
(53.604446044148766, -113.38002681365906)","POINT (-113.38002681365906 53.604446044148766)"
"Hillcrest","2","180","100","53.51523140050551","-113.6038315342822","
,  
(53.51523140050551, -113.6038315342822)","POINT (-113.6038315342822 53.51523140050551)"
"Miller","3","180","100","53.613455365567134","-113.41770401205011","
,  
(53.613455365567134, -113.41770401205011)","POINT (-113.41770401205011 53.613455365567134)"
"Holy Cross","3","180","100","53.547696581388166","-113.58132846236325","
,  
(53.547696581388166, -113.58132846236325)","POINT (-113.58132846236325 53.547696581388166)"
"Belmead","2","200","100","53.52566464640781","-113.6354385062591","
,  
(53.52566464640781, -113.6354385062591)","POINT (-113.6354385062591 53.52566464640781)"
"Wedgewood Heights","1","180","100","53.48140061354902","-113.64404878811037","
,  
(53.48140061354902, -113.64404878811037)","POINT (-113.64404878811037 53.48140061354902)"
"Strathearn","2","180","100","53.53035286809478","-113.46167450649116","
,  
(53.53035286809478, -113.46167450649116)","POINT (-113.46167450649116 53.53035286809478)"
,"1","300","180","53.535651412293475","-113.70943419436362","
,  
(53.535651412293475, -113.70943419436362)","POINT (-113.70943419436362 53.535651412293475)"
"Woodcroft","2","220","120","53.56659858468364","-113.55968392919318","
,  
(53.56659858468364, -113.55968392919318)","POINT (-113.55968392919318 53.56659858468364)"
"Windsor Park","1","240","130","53.524578117979","-113.53641465786862","
,  
(53.524578117979, -113.53641465786862)","POINT (-113.53641465786862 53.524578117979)"
"Rideau Park","1","180","90","53.477732305049784","-113.5052415764877","
,  
(53.477732305049784, -113.5052415764877)","POINT (-113.5052415764877 53.477732305049784)"
"Velma E Baker","2","180","90","53.48031998709758","-113.38350797341317","
,  
(53.48031998709758, -113.38350797341317)","POINT (-113.38350797341317 53.48031998709758)"
"Brightview","1","235","130","53.549386122657765","-113.58872637915988","
,  
(53.549386122657765, -113.58872637915988)","POINT (-113.58872637915988 53.549386122657765)"
"Ramsey Heights","3","300","160","53.48325842219966","-113.58407708332422","
,  
(53.48325842219966, -113.58407708332422)","POINT (-113.58407708332422 53.48325842219966)"
"Rosslyn","4","180","100","53.59301313794165","-113.51216517203801","
,  
(53.59301313794165, -113.51216517203801)","POINT (-113.51216517203801 53.59301313794165)"
"Edmonton Minor Soccer Association","5","330","210","53.429209562903935","-113.40707606028896","
,  
(53.429209562903935, -113.40707606028896)","POINT (-113.40707606028896 53.429209562903935)"
"Greenfield","4","180","90","53.472130589486774","-113.52572488189288","
,  
(53.472130589486774, -113.52572488189288)","POINT (-113.52572488189288 53.472130589486774)"
"Centennial","2","150","90","53.494696883470915","-113.62461049353792","
,  
(53.494696883470915, -113.62461049353792)","POINT (-113.62461049353792 53.494696883470915)"
"Baturyn","6","180","100","53.632328710863504","-113.50652036490874","
,  
(53.632328710863504, -113.50652036490874)","POINT (-113.50652036490874 53.632328710863504)"
"Scott Robertson","3","180","100","53.59589351734302","-113.50303329616354","
,  
(53.59589351734302, -113.50303329616354)","POINT (-113.50303329616354 53.59589351734302)"
"St. Kateri","3","250","160","53.4752056071835","-113.4014056891973","
,  
(53.4752056071835, -113.4014056891973)","POINT (-113.4014056891973 53.4752056071835)"
"Stratford","2","230","145","53.52104406753812","-113.58355935782333","
,  
(53.52104406753812, -113.58355935782333)","POINT (-113.58355935782333 53.52104406753812)"
"RJ Scott","2","180","120","53.56927302025396","-113.40220981160239","
,  
(53.56927302025396, -113.40220981160239)","POINT (-113.40220981160239 53.56927302025396)"
"Michael Strembitsky","1","150","90","53.41414691742917","-113.4638058678864","
,  
(53.41414691742917, -113.4638058678864)","POINT (-113.4638058678864 53.41414691742917)"
"DS McKenzie","2","150","90","53.47686487286288","-113.50845896554156","
,  
(53.47686487286288, -113.50845896554156)","POINT (-113.50845896554156 53.47686487286288)"
"Elsinore","2","180","100","53.64129340161685","-113.50523738225647","
,  
(53.64129340161685, -113.50523738225647)","POINT (-113.50523738225647 53.64129340161685)"
"Carlisle Park","2","150","90","53.60399011576496","-113.52450475703932","
,  
(53.60399011576496, -113.52450475703932)","POINT (-113.52450475703932 53.60399011576496)"
"St. Anne","4","180","100","53.60367775203124","-113.48363024993907","
,  
(53.60367775203124, -113.48363024993907)","POINT (-113.48363024993907 53.60367775203124)"
"Bishop Savaryn","7","240","150","53.622969121424106","-113.50726789243186","
,  
(53.622969121424106, -113.50726789243186)","POINT (-113.50726789243186 53.622969121424106)"
"McKee","2","180","100","53.48742881530066","-113.510286787527","
,  
(53.48742881530066, -113.510286787527)","POINT (-113.510286787527 53.48742881530066)"
"Winterburn","1","270","180","53.53532908395584","-113.68634083007053","
,  
(53.53532908395584, -113.68634083007053)","POINT (-113.68634083007053 53.53532908395584)"
"Pollard Meadows","5","150","90","53.448625081203595","-113.41092476695754","
,  
(53.448625081203595, -113.41092476695754)","POINT (-113.41092476695754 53.448625081203595)"
"Westridge","3","180","105","53.50680179408533","-113.60326206532324","
,  
(53.50680179408533, -113.60326206532324)","POINT (-113.60326206532324 53.50680179408533)"
"St. Boniface","1","180","90","53.4779660431348","-113.53745010056267","
,  
(53.4779660431348, -113.53745010056267)","POINT (-113.53745010056267 53.4779660431348)"
"Grovenor","1","240","150","53.54540954379754","-113.56673657024672","
,  
(53.54540954379754, -113.56673657024672)","POINT (-113.56673657024672 53.54540954379754)"
"LaPerle W","4","270","170","53.532467197329","-113.64619996929734","
,  
(53.532467197329, -113.64619996929734)","POINT (-113.64619996929734 53.532467197329)"
"Club Soccer","4","330","210","53.427535796363884","-113.41339706390065","
,  
(53.427535796363884, -113.41339706390065)","POINT (-113.41339706390065 53.427535796363884)"
"St. Joseph","1","270","150","53.555731590328804","-113.50895159447232","
,  
(53.555731590328804, -113.50895159447232)","POINT (-113.50895159447232 53.555731590328804)"
"Blue Quill II","1","235","140","53.45762683066007","-113.53822516438326","
,  
(53.45762683066007, -113.53822516438326)","POINT (-113.53822516438326 53.45762683066007)"
"Kiniski Gardens","1","180","90","53.478803879045564","-113.40533755425969","
,  
(53.478803879045564, -113.40533755425969)","POINT (-113.40533755425969 53.478803879045564)"
"Michaels Park","3","240","160","53.48044873582663","-113.45021646824095","
,  
(53.48044873582663, -113.45021646824095)","POINT (-113.45021646824095 53.48044873582663)"
"Herb Link","2","270","170","53.62449511757131","-113.5321410603203","
,  
(53.62449511757131, -113.5321410603203)","POINT (-113.5321410603203 53.62449511757131)"
"Kildare","1","240","150","53.60581856312679","-113.4568848050284","
,  
(53.60581856312679, -113.4568848050284)","POINT (-113.4568848050284 53.60581856312679)"
"Terwillegar South Park","1","270","170","53.440438308424525","-113.57612201346971","
,  
(53.440438308424525, -113.57612201346971)","POINT (-113.57612201346971 53.440438308424525)"
"Montrose","1","180","120","53.57259319451846","-113.43421851576818","
,  
(53.57259319451846, -113.43421851576818)","POINT (-113.43421851576818 53.57259319451846)"
"Lymburn","2","270","195","53.50699138373201","-113.64368158247514","
,  
(53.50699138373201, -113.64368158247514)","POINT (-113.64368158247514 53.50699138373201)"
"Crestwood","2","330","180","53.53434613035908","-113.56951665887686","
,  
(53.53434613035908, -113.56951665887686)","POINT (-113.56951665887686 53.53434613035908)"
"Clara Tyner","2","330","160","53.53234181544116","-113.43687420413919","
,  
(53.53234181544116, -113.43687420413919)","POINT (-113.43687420413919 53.53234181544116)"
"Princeton","3","180","100","53.590182843088634","-113.45761384654027","
,  
(53.590182843088634, -113.45761384654027)","POINT (-113.45761384654027 53.590182843088634)"
"Mother Margaret Mary","4","180","90","53.45961053345743","-113.57957401408623","
,  
(53.45961053345743, -113.57957401408623)","POINT (-113.57957401408623 53.45961053345743)"
"HE Beriault","4","330","225","53.51487798902754","-113.60817483694181","
,  
(53.51487798902754, -113.60817483694181)","POINT (-113.60817483694181 53.51487798902754)"
"McDougall","2","240","135","53.556489492936706","-113.50511878191199","
,  
(53.556489492936706, -113.50511878191199)","POINT (-113.50511878191199 53.556489492936706)"
"Eastwood","1","215","100","53.575723031169446","-113.46475665566285","
,  
(53.575723031169446, -113.46475665566285)","POINT (-113.46475665566285 53.575723031169446)"
"Bannerman","1","180","120","53.60435699138084","-113.3801428170705","
,  
(53.60435699138084, -113.3801428170705)","POINT (-113.3801428170705 53.60435699138084)"
"Caernarvon","3","180","110","53.609766124764214","-113.52745508380347","
,  
(53.609766124764214, -113.52745508380347)","POINT (-113.52745508380347 53.609766124764214)"
